Mes y año	Mes (código)	Mes nombre	Año	Sexo	Temporalidad	Comarca código	Comarca nombre	CIF	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	25	Jiloca	Otros	1	21	2718	129,428571428571428571428571428571428571
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	25	Jiloca	Otros	0	7	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	25	Jiloca	Otros	1	20	1688	84,4
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	26	Cuencas Mineras	A través de una ETT	0	5	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	26	Cuencas Mineras	A través de una ETT	1	26	569	21,88461538461538461538461538461538461538
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	26	Cuencas Mineras	A través de una ETT	0	6	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	26	Cuencas Mineras	A través de una ETT	1	52	475	9,13461538461538461538461538461538461538
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	26	Cuencas Mineras	Otros	0	16	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	26	Cuencas Mineras	Otros	1	15	2294	152,933333333333333333333333333333333333
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	26	Cuencas Mineras	Otros	0	12	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	26	Cuencas Mineras	Otros	1	21	652	31,04761904761904761904761904761904761905
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	27	Andorra-Sierra de Arcos	Otros	0	13	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	27	Andorra-Sierra de Arcos	Otros	1	10	461	46,1
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	27	Andorra-Sierra de Arcos	Otros	0	6	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	27	Andorra-Sierra de Arcos	Otros	1	21	864	41,14285714285714285714285714285714285714
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	28	Bajo Aragón	A través de una ETT	0	9	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	28	Bajo Aragón	A través de una ETT	1	13	101	7,76923076923076923076923076923076923077
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	28	Bajo Aragón	A través de una ETT	0	1	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	28	Bajo Aragón	A través de una ETT	1	2	36	18
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	28	Bajo Aragón	Otros	0	311	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	28	Bajo Aragón	Otros	1	59	7217	122,322033898305084745762711864406779661
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	28	Bajo Aragón	Otros	0	180	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	28	Bajo Aragón	Otros	1	49	4455	90,91836734693877551020408163265306122449
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	29	Comunidad de Teruel	A través de una ETT	0	12	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	29	Comunidad de Teruel	A través de una ETT	1	60	728	12,13333333333333333333333333333333333333
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	29	Comunidad de Teruel	A través de una ETT	0	7	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	29	Comunidad de Teruel	A través de una ETT	1	5	72	14,4
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	29	Comunidad de Teruel	Otros	0	138	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	29	Comunidad de Teruel	Otros	1	117	14896	127,316239316239316239316239316239316239
