Año	Grupo Antigüedad	Nº Accidentes	Ord_Temporalidad	Temporalidad	Código	Municipio
2020	De 4 a 6 meses	368	2	Temporal	50297	Zaragoza
2020	De 4 a 6 meses	10	3	Sin clasificar	50297	Zaragoza
2020	De 4 a 6 meses	7	1	Indefinido	50298	Zuera
2020	De 4 a 6 meses	21	2	Temporal	50298	Zuera
2020	De 7 a 9 meses	4	1	Indefinido	22048	Barbastro
2020	De 7 a 9 meses	26	2	Temporal	22048	Barbastro
2020	De 7 a 9 meses	40	1	Indefinido	22061	Binéfar
2020	De 7 a 9 meses	28	2	Temporal	22061	Binéfar
2020	De 7 a 9 meses	4	1	Indefinido	22112	Fraga
2020	De 7 a 9 meses	9	2	Temporal	22112	Fraga
2020	De 7 a 9 meses	2	3	Sin clasificar	22112	Fraga
2020	De 7 a 9 meses	17	1	Indefinido	22125	Huesca
2020	De 7 a 9 meses	20	2	Temporal	22125	Huesca
2020	De 7 a 9 meses	3	3	Sin clasificar	22125	Huesca
2020	De 7 a 9 meses	1	1	Indefinido	22130	Jaca
2020	De 7 a 9 meses	2	2	Temporal	22130	Jaca
2020	De 7 a 9 meses	8	1	Indefinido	22158	Monzón
2020	De 7 a 9 meses	3	2	Temporal	22158	Monzón
2020	De 7 a 9 meses	2	1	Indefinido	22199	Sabiñánigo
2020	De 7 a 9 meses	3	2	Temporal	22199	Sabiñánigo
2020	De 7 a 9 meses	2	1	Indefinido	44013	Alcañiz
2020	De 7 a 9 meses	5	2	Temporal	44013	Alcañiz
2020	De 7 a 9 meses	2	2	Temporal	44025	Andorra
2020	De 7 a 9 meses	12	1	Indefinido	44216	Teruel
2020	De 7 a 9 meses	26	2	Temporal	44216	Teruel
2020	De 7 a 9 meses	1	3	Sin clasificar	44216	Teruel
2020	De 7 a 9 meses	2	1	Indefinido	50008	Alagón
2020	De 7 a 9 meses	4	2	Temporal	50025	Almunia de Doña Godina (La)
2020	De 7 a 9 meses	1	1	Indefinido	50067	Calatayud
2020	De 7 a 9 meses	7	2	Temporal	50067	Calatayud
2020	De 7 a 9 meses	1	1	Indefinido	50074	Caspe
2020	De 7 a 9 meses	3	2	Temporal	50074	Caspe
2020	De 7 a 9 meses	1	3	Sin clasificar	50074	Caspe
2020	De 7 a 9 meses	1	1	Indefinido	50089	Cuarte de Huerva
2020	De 7 a 9 meses	4	2	Temporal	50089	Cuarte de Huerva
2020	De 7 a 9 meses	1	3	Sin clasificar	50089	Cuarte de Huerva
2020	De 7 a 9 meses	9	1	Indefinido	50095	Ejea de los Caballeros
2020	De 7 a 9 meses	9	2	Temporal	50095	Ejea de los Caballeros
2020	De 7 a 9 meses	1	3	Sin clasificar	50095	Ejea de los Caballeros
2020	De 7 a 9 meses	2	2	Temporal	50163	María de Huerva
2020	De 7 a 9 meses	6	1	Indefinido	50182	Muela (La)
2020	De 7 a 9 meses	1	2	Temporal	50182	Muela (La)
2020	De 7 a 9 meses	2	1	Indefinido	50219	Puebla de Alfindén (La)
2020	De 7 a 9 meses	4	2	Temporal	50219	Puebla de Alfindén (La)
2020	De 7 a 9 meses	2	1	Indefinido	50251	Tarazona
2020	De 7 a 9 meses	2	2	Temporal	50251	Tarazona
