Año	Municipio código	Municipio nombre	Origen	Tipo de alojamiento	Plazas	Establecimientos
2009	22079	Capdesaso	IAEST	Apartamentos turísticos	0	0
2009	22079	Capdesaso	IAEST	Campings y áreas de acampada	0	0
2009	22079	Capdesaso	IAEST	Hoteles, hostales y similares	0	0
2009	22079	Capdesaso	IAEST	Viviendas de turismo rural	0	0
2009	22080	Capella	IAEST	Apartamentos turísticos	0	0
2009	22080	Capella	IAEST	Campings y áreas de acampada	0	0
2009	22080	Capella	IAEST	Hoteles, hostales y similares	0	0
2009	22080	Capella	IAEST	Viviendas de turismo rural	22	3
2009	22081	Casbas de Huesca	IAEST	Apartamentos turísticos	30	5
2009	22081	Casbas de Huesca	IAEST	Campings y áreas de acampada	144	1
2009	22081	Casbas de Huesca	IAEST	Hoteles, hostales y similares	0	0
2009	22081	Casbas de Huesca	IAEST	Viviendas de turismo rural	65	7
2009	22082	Castejón del Puente	IAEST	Apartamentos turísticos	0	0
2009	22082	Castejón del Puente	IAEST	Campings y áreas de acampada	0	0
2009	22082	Castejón del Puente	IAEST	Hoteles, hostales y similares	0	0
2009	22082	Castejón del Puente	IAEST	Viviendas de turismo rural	0	0
2009	22083	Castejón de Monegros	IAEST	Apartamentos turísticos	0	0
2009	22083	Castejón de Monegros	IAEST	Campings y áreas de acampada	0	0
2009	22083	Castejón de Monegros	IAEST	Hoteles, hostales y similares	9	1
2009	22083	Castejón de Monegros	IAEST	Viviendas de turismo rural	0	0
2009	22084	Castejón de Sos	IAEST	Apartamentos turísticos	0	0
2009	22084	Castejón de Sos	IAEST	Campings y áreas de acampada	525	1
2009	22084	Castejón de Sos	IAEST	Hoteles, hostales y similares	188	6
2009	22084	Castejón de Sos	IAEST	Viviendas de turismo rural	21	3
2009	22085	Castelflorite	IAEST	Apartamentos turísticos	0	0
2009	22085	Castelflorite	IAEST	Campings y áreas de acampada	0	0
2009	22085	Castelflorite	IAEST	Hoteles, hostales y similares	0	0
2009	22085	Castelflorite	IAEST	Viviendas de turismo rural	0	0
2009	22086	Castiello de Jaca	IAEST	Apartamentos turísticos	0	0
2009	22086	Castiello de Jaca	IAEST	Campings y áreas de acampada	0	0
2009	22086	Castiello de Jaca	IAEST	Hoteles, hostales y similares	50	1
2009	22086	Castiello de Jaca	IAEST	Viviendas de turismo rural	20	3
2009	22087	Castigaleu	IAEST	Apartamentos turísticos	0	0
2009	22087	Castigaleu	IAEST	Campings y áreas de acampada	0	0
2009	22087	Castigaleu	IAEST	Hoteles, hostales y similares	0	0
2009	22087	Castigaleu	IAEST	Viviendas de turismo rural	4	1
2009	22088	Castillazuelo	IAEST	Apartamentos turísticos	0	0
