Número de miembros	Nº medio de miembros	Municipio codigo 	Municipio nombre	Nº hogares
1 persona	1	22232	Torralba de Aragón	11,4572651356
2 personas	2	22232	Torralba de Aragón	14,8482854484
3 personas	3	22232	Torralba de Aragón	12,1087525692
4 personas	4	22232	Torralba de Aragón	7,2302202507
7 o más personas		22232	Torralba de Aragón	
1 persona	1	22233	Torre la Ribera	7,7929906392
2 personas	2	22233	Torre la Ribera	7,9742586299
3 personas	3	22233	Torre la Ribera	9,1210028401
4 personas	4	22233	Torre la Ribera	4,8874897804
5 personas	5	22233	Torre la Ribera	0,8368490921
6 personas	6	22233	Torre la Ribera	1,1958733591
7 o más personas	8	22233	Torre la Ribera	2,4597495978
1 persona	1	22234	Torrente de Cinca	89,8457641316
2 personas	2	22234	Torrente de Cinca	91,9821763487
3 personas	3	22234	Torrente de Cinca	125,0125586365
4 personas	4	22234	Torrente de Cinca	90,1977920996
5 personas	5	22234	Torrente de Cinca	36,4320873733
6 personas	6	22234	Torrente de Cinca	5,7108298741
7 o más personas		22234	Torrente de Cinca	
1 persona	1	22235	Torres de Alcanadre	8,1856266156
2 personas	2	22235	Torres de Alcanadre	12,4576136533
3 personas	3	22235	Torres de Alcanadre	10,3762378101
4 personas	4	22235	Torres de Alcanadre	5,2805655679
5 personas	5	22235	Torres de Alcanadre	4,1192941601
7 o más personas		22235	Torres de Alcanadre	
1 persona	1	22236	Torres de Barbués	30,0219966482
2 personas	2	22236	Torres de Barbués	36,12905459
3 personas	3	22236	Torres de Barbués	34,7805252991
4 personas	4	22236	Torres de Barbués	19,2882793032
5 personas	5	22236	Torres de Barbués	2,0358236259
7 o más personas		22236	Torres de Barbués	
1 persona	1	22239	Tramaced	10,2903627281
2 personas	2	22239	Tramaced	3,0230173668
3 personas	3	22239	Tramaced	1,8519736448
4 personas	4	22239	Tramaced	10,3942449943
5 personas	5	22239	Tramaced	6,2147890671
7 o más personas		22239	Tramaced	
1 persona	1	22242	Valfarta	6,0105179403
2 personas	2	22242	Valfarta	7,17487773
3 personas	3	22242	Valfarta	13,4468268494
4 personas	4	22242	Valfarta	3,6302144946
7 o más personas		22242	Valfarta	
1 persona	1	22243	Valle de Bardají	1,7280654789
2 personas	2	22243	Valle de Bardají	0,9229681027
3 personas	3	22243	Valle de Bardají	5,1181322002
4 personas	4	22243	Valle de Bardají	2,4062057089
5 personas	5	22243	Valle de Bardají	0,1799923587
6 personas	6	22243	Valle de Bardají	3,185643633
7 o más personas		22243	Valle de Bardají	
1 persona	1	22244	Valle de Lierp	5,6389878491
2 personas	2	22244	Valle de Lierp	5,9027822695
3 personas	3	22244	Valle de Lierp	3,3893154852
4 personas	4	22244	Valle de Lierp	2,7620069066
5 personas	5	22244	Valle de Lierp	2,3452831403
6 personas	6	22244	Valle de Lierp	2,137470508
7 o más personas		22244	Valle de Lierp	
1 persona	1	22245	Velilla de Cinca	34,1341713156
2 personas	2	22245	Velilla de Cinca	39,2858487963
3 personas	3	22245	Velilla de Cinca	26,718500781
4 personas	4	22245	Velilla de Cinca	48,5717715348
5 personas	5	22245	Velilla de Cinca	3,0156130857
6 personas	6	22245	Velilla de Cinca	6,5333709004
7 o más personas		22245	Velilla de Cinca	
1 persona	1	22246	Beranuy	17,1052659207
2 personas	2	22246	Beranuy	12,9033393347
3 personas	3	22246	Beranuy	7,3438578114
4 personas	4	22246	Beranuy	2,974213779
6 personas	6	22246	Beranuy	3,5028376223
7 o más personas		22246	Beranuy	
1 persona	1	22247	Viacamp y Litera	10,3337696316
2 personas	2	22247	Viacamp y Litera	7,3001662488
3 personas	3	22247	Viacamp y Litera	4,0973294181
4 personas	4	22247	Viacamp y Litera	2,0160659447
7 o más personas		22247	Viacamp y Litera	
1 persona	1	22248	Vicién	11,2414128437
2 personas	2	22248	Vicién	21,4037156213
3 personas	3	22248	Vicién	7,1262778905
4 personas	4	22248	Vicién	9,4608862963
6 personas	6	22248	Vicién	0,6698552032
7 o más personas		22248	Vicién	
1 persona	1	22249	Villanova	13,1122686963
2 personas	2	22249	Villanova	19,3476656826
3 personas	3	22249	Villanova	17,6124220375
4 personas	4	22249	Villanova	7,8174990059
5 personas	5	22249	Villanova	1,9852967852
7 o más personas		22249	Villanova	
1 persona	1	22250	Villanúa	80,7532202867
2 personas	2	22250	Villanúa	54,3770278367
3 personas	3	22250	Villanúa	55,5058865833
4 personas	4	22250	Villanúa	28,3948033574
5 personas	5	22250	Villanúa	4,9346506407
7 o más personas		22250	Villanúa	
1 persona	1	22251	Villanueva de Sigena	38,9316277183
2 personas	2	22251	Villanueva de Sigena	39,7138438077
3 personas	3	22251	Villanueva de Sigena	27,9663326578
4 personas	4	22251	Villanueva de Sigena	25,6841355081
5 personas	5	22251	Villanueva de Sigena	17,8775980973
6 personas	6	22251	Villanueva de Sigena	4,8419084672
7 o más personas		22251	Villanueva de Sigena	
1 persona	1	22252	Yebra de Basa	21,6410464305
2 personas	2	22252	Yebra de Basa	20,9398399763
3 personas	3	22252	Yebra de Basa	6,0718126914
4 personas	4	22252	Yebra de Basa	10,398491056
7 o más personas	7	22252	Yebra de Basa	3,8993215782
1 persona	1	22253	Yésero	12,9257277099
2 personas	2	22253	Yésero	7,7716955133
3 personas	3	22253	Yésero	7,7169540609
4 personas	4	22253	Yésero	4,0950047703
7 o más personas		22253	Yésero	
1 persona	1	22254	Zaidín	153,0242628932
2 personas	2	22254	Zaidín	116,2722328254
3 personas	3	22254	Zaidín	119,7881644358
4 personas	4	22254	Zaidín	143,2457863549
5 personas	5	22254	Zaidín	51,5483755142
6 personas	6	22254	Zaidín	23,9168695891
7 o más personas		22254	Zaidín	
1 persona	1	22901	Valle de Hecho	78,8627688689
2 personas	2	22901	Valle de Hecho	102,2793312671
3 personas	3	22901	Valle de Hecho	69,2020683975
4 personas	4	22901	Valle de Hecho	92,6388240355
5 personas	5	22901	Valle de Hecho	9,6284890673
6 personas	6	22901	Valle de Hecho	2,5740000678
7 o más personas	7	22901	Valle de Hecho	1,1654870559
1 persona	1	22902	Puente la Reina de Jaca	25,5410888545
2 personas	2	22902	Puente la Reina de Jaca	39,7074743505
3 personas	3	22902	Puente la Reina de Jaca	24,0719008664
4 personas	4	22902	Puente la Reina de Jaca	10,5241973589
5 personas	5	22902	Puente la Reina de Jaca	9,8057550628
7 o más personas	7	22902	Puente la Reina de Jaca	2,1163510894
1 persona	1	22903	San Miguel del Cinca	71,176012349
2 personas	2	22903	San Miguel del Cinca	81,9142490615
3 personas	3	22903	San Miguel del Cinca	99,5805339806
4 personas	4	22903	San Miguel del Cinca	52,9389242052
5 personas	5	22903	San Miguel del Cinca	14,9227174863
6 personas	6	22903	San Miguel del Cinca	4,1314188369
7 o más personas		22903	San Miguel del Cinca	
1 persona	1	22904	Sotonera (La)	133,1424133309
2 personas	2	22904	Sotonera (La)	127,9938332105
3 personas	3	22904	Sotonera (La)	69,4375649578
4 personas	4	22904	Sotonera (La)	65,1328821728
5 personas	5	22904	Sotonera (La)	16,5234211271
6 personas	6	22904	Sotonera (La)	6,7367597475
7 o más personas	7	22904	Sotonera (La)	7,0040766116
1 persona	1	22905	Lupiñén-Ortilla	42,7676750083
2 personas	2	22905	Lupiñén-Ortilla	29,9106876375
3 personas	3	22905	Lupiñén-Ortilla	30,9722577065
4 personas	4	22905	Lupiñén-Ortilla	25,1169913212
5 personas	5	22905	Lupiñén-Ortilla	13,6804620419
6 personas	6	22905	Lupiñén-Ortilla	2,6039835172
7 o más personas		22905	Lupiñén-Ortilla	
1 persona	1	22906	Santa María de Dulcis	15,731590515
2 personas	2	22906	Santa María de Dulcis	17,1714690438
3 personas	3	22906	Santa María de Dulcis	19,7508637787
4 personas	4	22906	Santa María de Dulcis	14,058344402
5 personas	5	22906	Santa María de Dulcis	9,371849363
6 personas	6	22906	Santa María de Dulcis	1,2913011508
7 o más personas		22906	Santa María de Dulcis	
1 persona	1	22907	Aínsa-Sobrarbe	258,4869386261
2 personas	2	22907	Aínsa-Sobrarbe	192,236661022
3 personas	3	22907	Aínsa-Sobrarbe	212,2989478459
4 personas	4	22907	Aínsa-Sobrarbe	147,5641619447
5 personas	5	22907	Aínsa-Sobrarbe	52,2393667314
7 o más personas		22907	Aínsa-Sobrarbe	
1 persona	1	22908	Hoz y Costeán	25,5651390249
2 personas	2	22908	Hoz y Costeán	20,3778428846
3 personas	3	22908	Hoz y Costeán	18,3377348273
4 personas	4	22908	Hoz y Costeán	8,4453249216
5 personas	5	22908	Hoz y Costeán	5,3553744698
6 personas	6	22908	Hoz y Costeán	4,0075254731
7 o más personas		22908	Hoz y Costeán	
1 persona	1	22909	Vencillón	32,7506520601
2 personas	2	22909	Vencillón	41,9855699448
3 personas	3	22909	Vencillón	50,6447959336
4 personas	4	22909	Vencillón	34,6524729172
5 personas	5	22909	Vencillón	10,2795524526
7 o más personas		22909	Vencillón	
1 persona	1	44001	Ababuj	5,8018464032
2 personas	2	44001	Ababuj	13,3475519242
3 personas	3	44001	Ababuj	5,944439182
4 personas	4	44001	Ababuj	5,2400215912
7 o más personas		44001	Ababuj	
1 persona	1	44002	Abejuela	16,3968529043
2 personas	2	44002	Abejuela	6,806220829
3 personas	3	44002	Abejuela	5,0462660259
4 personas	4	44002	Abejuela	3,2129768401
7 o más personas		44002	Abejuela	
1 persona	1	44003	Aguatón	0,9940398135
2 personas	2	44003	Aguatón	1,6129804942
3 personas	3	44003	Aguatón	0,6894992237
4 personas	4	44003	Aguatón	3,4278753817
7 o más personas		44003	Aguatón	
1 persona	1	44004	Aguaviva	73,2868214891
2 personas	2	44004	Aguaviva	63,4800347617
3 personas	3	44004	Aguaviva	59,9590341277
4 personas	4	44004	Aguaviva	42,2336402328
5 personas	5	44004	Aguaviva	17,1275157337
6 personas	6	44004	Aguaviva	2,0248430894
7 o más personas		44004	Aguaviva	
1 persona	1	44005	Aguilar del Alfambra	7,3191002646
2 personas	2	44005	Aguilar del Alfambra	19,4142828311
4 personas	4	44005	Aguilar del Alfambra	1,5050632358
5 personas	5	44005	Aguilar del Alfambra	3,2609883958
6 personas	6	44005	Aguilar del Alfambra	0,7823705175
7 o más personas		44005	Aguilar del Alfambra	
1 persona	1	44006	Alacón	38,3510348977
2 personas	2	44006	Alacón	55,2672418151
3 personas	3	44006	Alacón	16,3911986487
4 personas	4	44006	Alacón	25,9107571234
6 personas	6	44006	Alacón	5,252671911
7 o más personas		44006	Alacón	
1 persona	1	44007	Alba	36,4487742739
2 personas	2	44007	Alba	34,1297718662
3 personas	3	44007	Alba	14,6016157034
4 personas	4	44007	Alba	8,1476995984
5 personas	5	44007	Alba	6,0729548857
6 personas	6	44007	Alba	1,8702475053
7 o más personas	7	44007	Alba	0,7815990971
1 persona	1	44008	Albalate del Arzobispo	203,3784639291
2 personas	2	44008	Albalate del Arzobispo	288,4038514706
3 personas	3	44008	Albalate del Arzobispo	188,0857079564
4 personas	4	44008	Albalate del Arzobispo	136,3870121011
5 personas	5	44008	Albalate del Arzobispo	32,3048828179
7 o más personas		44008	Albalate del Arzobispo	
1 persona	1	44009	Albarracín	89,3213086715
2 personas	2	44009	Albarracín	101,7005463914
3 personas	3	44009	Albarracín	123,121205468
4 personas	4	44009	Albarracín	66,8873986915
5 personas	5	44009	Albarracín	15,4842438994
6 personas	6	44009	Albarracín	2,1941466095
7 o más personas		44009	Albarracín	
1 persona	1	44010	Albentosa	31,3957710305
2 personas	2	44010	Albentosa	26,541110095
3 personas	3	44010	Albentosa	28,1496011949
4 personas	4	44010	Albentosa	17,7188201528
5 personas	5	44010	Albentosa	10,1151296225
7 o más personas		44010	Albentosa	
1 persona	1	44011	Alcaine	12,8594829469
2 personas	2	44011	Alcaine	15,0229627822
3 personas	3	44011	Alcaine	6,8156905479
4 personas	4	44011	Alcaine	1,2990845866
7 o más personas		44011	Alcaine	
1 persona	1	44012	Alcalá de la Selva	46,1946737995
2 personas	2	44012	Alcalá de la Selva	40,0136821193
3 personas	3	44012	Alcalá de la Selva	57,0366155586
4 personas	4	44012	Alcalá de la Selva	35,6538716507
5 personas	5	44012	Alcalá de la Selva	11,0927419022
7 o más personas		44012	Alcalá de la Selva	
1 persona	1	44013	Alcañiz	1579,8387773158
2 personas	2	44013	Alcañiz	1856,9613364682
3 personas	3	44013	Alcañiz	1450,0210601185
4 personas	4	44013	Alcañiz	1228,7485631662
5 personas	5	44013	Alcañiz	323,1757490581
6 personas	6	44013	Alcañiz	18,3282569145
7 o más personas		44013	Alcañiz	
1 persona	1	44014	Alcorisa	249,8955537159
2 personas	2	44014	Alcorisa	368,840103933
3 personas	3	44014	Alcorisa	213,2678164403
4 personas	4	44014	Alcorisa	325,6152877465
5 personas	5	44014	Alcorisa	81,6016317276
6 personas	6	44014	Alcorisa	13,8118140918
7 o más personas	8	44014	Alcorisa	5,0660607675
1 persona	1	44016	Alfambra	93,5261916886
2 personas	2	44016	Alfambra	93,7339040662
3 personas	3	44016	Alfambra	25,043352815
4 personas	4	44016	Alfambra	26,389608005
5 personas	5	44016	Alfambra	13,9073414476
6 personas	6	44016	Alfambra	1,0626329441
7 o más personas		44016	Alfambra	
1 persona	1	44017	Aliaga	65,9995041437
2 personas	2	44017	Aliaga	62,8721725013
3 personas	3	44017	Aliaga	24,3390239892
4 personas	4	44017	Aliaga	10,6373977343
5 personas	5	44017	Aliaga	10,3588472126
7 o más personas		44017	Aliaga	
2 personas	2	44018	Almohaja	14,5
7 o más personas		44018	Almohaja	
1 persona	1	44019	Alobras	11,808680004
2 personas	2	44019	Alobras	5,3837106098
3 personas	3	44019	Alobras	8,7865609385
4 personas	4	44019	Alobras	2,768291322
5 personas	5	44019	Alobras	3,3079738349
7 o más personas		44019	Alobras	
1 persona	1	44020	Alpeñés	4,5858616277
2 personas	2	44020	Alpeñés	1,4280102248
4 personas	4	44020	Alpeñés	2,8606211656
6 personas	6	44020	Alpeñés	0,9662683907
7 o más personas		44020	Alpeñés	
1 persona	1	44021	Allepuz	16,556854259
2 personas	2	44021	Allepuz	12,704712089
3 personas	3	44021	Allepuz	6,3025673544
4 personas	4	44021	Allepuz	9,425857078
5 personas	5	44021	Allepuz	4,2708497644
7 o más personas		44021	Allepuz	
1 persona	1	44022	Alloza	90,6316082272
2 personas	2	44022	Alloza	109,8083718969
3 personas	3	44022	Alloza	46,7551825894
4 personas	4	44022	Alloza	48,9161770576
5 personas	5	44022	Alloza	5,0546325586
7 o más personas		44022	Alloza	
1 persona	1	44023	Allueva	7,0210165431
2 personas	2	44023	Allueva	1,8081177923
7 o más personas	7	44023	Allueva	1,3902885549
1 persona	1	44024	Anadón	2,6220354515
2 personas	2	44024	Anadón	6,9807576084
4 personas	4	44024	Anadón	2,3541123329
7 o más personas		44024	Anadón	
1 persona	1	44025	Andorra	599,0367956333
2 personas	2	44025	Andorra	1081,0877498592
3 personas	3	44025	Andorra	603,5503576158
4 personas	4	44025	Andorra	738,4707055282
5 personas	5	44025	Andorra	90,0515297308
6 personas	6	44025	Andorra	28,5555078342
7 o más personas		44025	Andorra	
1 persona	1	44026	Arcos de las Salinas	21,8770281889
2 personas	2	44026	Arcos de las Salinas	8,128081996
3 personas	3	44026	Arcos de las Salinas	8,6076173199
4 personas	4	44026	Arcos de las Salinas	6,2255962914
5 personas	5	44026	Arcos de las Salinas	2,3841504616
6 personas	6	44026	Arcos de las Salinas	0,6463156875
7 o más personas		44026	Arcos de las Salinas	
1 persona	1	44027	Arens de Lledó	14,1573371749
2 personas	2	44027	Arens de Lledó	19,4589409152
3 personas	3	44027	Arens de Lledó	16,8438279352
4 personas	4	44027	Arens de Lledó	15,3200235023
5 personas	5	44027	Arens de Lledó	4,2680485173
6 personas	6	44027	Arens de Lledó	2,4295697133
7 o más personas		44027	Arens de Lledó	
1 persona	1	44028	Argente	13,1617976907
2 personas	2	44028	Argente	34,768933599
3 personas	3	44028	Argente	20,0763648755
4 personas	4	44028	Argente	15,7471822031
5 personas	5	44028	Argente	2,3612814946
7 o más personas		44028	Argente	
1 persona	1	44029	Ariño	95,9663478922
2 personas	2	44029	Ariño	100,3666236642
3 personas	3	44029	Ariño	85,4184422306
4 personas	4	44029	Ariño	43,2267328834
5 personas	5	44029	Ariño	20,2520429017
6 personas	6	44029	Ariño	5,7274924045
7 o más personas		44029	Ariño	
1 persona	1	44031	Azaila	30,6888006044
2 personas	2	44031	Azaila	28,2997540571
3 personas	3	44031	Azaila	5,127502084
4 personas	4	44031	Azaila	4,8119205926
5 personas	5	44031	Azaila	1,4117011461
7 o más personas		44031	Azaila	
1 persona	1	44032	Bádenas	4,3929724211
2 personas	2	44032	Bádenas	2,0378086993
3 personas	3	44032	Bádenas	4,1771367268
7 o más personas		44032	Bádenas	
1 persona	1	44033	Báguena	60,9690298257
2 personas	2	44033	Báguena	50,3602128624
3 personas	3	44033	Báguena	16,8886120128
4 personas	4	44033	Báguena	9,3984450961
5 personas	5	44033	Báguena	16,2721334579
6 personas	6	44033	Báguena	2,8890344039
7 o más personas	7	44033	Báguena	2,3959146206
1 persona	1	44034	Bañón	19,786966785
2 personas	2	44034	Bañón	27,1732972911
3 personas	3	44034	Bañón	15,1882441597
4 personas	4	44034	Bañón	5,6228880087
5 personas	5	44034	Bañón	3,9620308238
7 o más personas		44034	Bañón	
1 persona	1	44035	Barrachina	25,0423615065
2 personas	2	44035	Barrachina	22,4694634477
3 personas	3	44035	Barrachina	4,3062799925
4 personas	4	44035	Barrachina	11,3191780491
5 personas	5	44035	Barrachina	2,3749704866
7 o más personas		44035	Barrachina	
1 persona	1	44036	Bea	8,2141475993
2 personas	2	44036	Bea	5,1136444547
3 personas	3	44036	Bea	3,1861878305
7 o más personas		44036	Bea	
1 persona	1	44037	Beceite	51,2657804052
2 personas	2	44037	Beceite	65,0395037311
3 personas	3	44037	Beceite	35,6039901361
4 personas	4	44037	Beceite	50,534887842
5 personas	5	44037	Beceite	17,0585675065
6 personas	6	44037	Beceite	0,8108036628
7 o más personas		44037	Beceite	
1 persona	1	44038	Belmonte de San José	26,9801704642
2 personas	2	44038	Belmonte de San José	20,0073091962
3 personas	3	44038	Belmonte de San José	14,2638095108
4 personas	4	44038	Belmonte de San José	3,803445653
7 o más personas		44038	Belmonte de San José	
1 persona	1	44039	Bello	38,8492976708
2 personas	2	44039	Bello	37,4715926207
3 personas	3	44039	Bello	30,2791027207
4 personas	4	44039	Bello	11,4450305773
5 personas	5	44039	Bello	5,116332727
7 o más personas		44039	Bello	
1 persona	1	44040	Berge	35,3168725045
2 personas	2	44040	Berge	38,6766348699
3 personas	3	44040	Berge	18,9907070102
4 personas	4	44040	Berge	20,7696244535
5 personas	5	44040	Berge	0,5961311152
7 o más personas		44040	Berge	
1 persona	1	44041	Bezas	15,5712906386
2 personas	2	44041	Bezas	13,1423090849
3 personas	3	44041	Bezas	4,1394323914
4 personas	4	44041	Bezas	5,854437989
7 o más personas		44041	Bezas	
1 persona	1	44042	Blancas	18,9145451014
2 personas	2	44042	Blancas	31,3231853659
3 personas	3	44042	Blancas	10,8516078247
4 personas	4	44042	Blancas	11,224841625
6 personas	6	44042	Blancas	0,7116804023
7 o más personas		44042	Blancas	
1 persona	1	44043	Blesa	19,9218986664
2 personas	2	44043	Blesa	42,0467374923
3 personas	3	44043	Blesa	7,6615421162
7 o más personas		44043	Blesa	
1 persona	1	44044	Bordón	11,7085424142
2 personas	2	44044	Bordón	24,4387684474
3 personas	3	44044	Bordón	14,9785524786
4 personas	4	44044	Bordón	1,544300835
5 personas	5	44044	Bordón	3,2384085267
7 o más personas		44044	Bordón	
1 persona	1	44045	Bronchales	122,4988034724
2 personas	2	44045	Bronchales	34,6297780075
3 personas	3	44045	Bronchales	38,9388747525
4 personas	4	44045	Bronchales	26,8845894038
5 personas	5	44045	Bronchales	7,1421518343
6 personas	6	44045	Bronchales	2,1368962454
7 o más personas		44045	Bronchales	
1 persona	1	44046	Bueña	16,6975059492
2 personas	2	44046	Bueña	14,2217960438
3 personas	3	44046	Bueña	4,1461089771
4 personas	4	44046	Bueña	1,105143758
7 o más personas		44046	Bueña	
1 persona	1	44047	Burbáguena	35,1040984209
2 personas	2	44047	Burbáguena	26,0281639649
3 personas	3	44047	Burbáguena	12,7219046583
4 personas	4	44047	Burbáguena	15,9250733292
7 o más personas		44047	Burbáguena	
1 persona	1	44048	Cabra de Mora	6,0191954515
2 personas	2	44048	Cabra de Mora	6,7518307847
3 personas	3	44048	Cabra de Mora	7,5994923748
5 personas	5	44048	Cabra de Mora	2,4276065451
7 o más personas	9	44048	Cabra de Mora	3,0600703477
1 persona	1	44049	Calaceite	126,3806197953
2 personas	2	44049	Calaceite	117,9790000224
3 personas	3	44049	Calaceite	100,1149887228
4 personas	4	44049	Calaceite	76,373449822
5 personas	5	44049	Calaceite	10,9176675603
6 personas	6	44049	Calaceite	11,7632783929
7 o más personas		44049	Calaceite	
1 persona	1	44050	Calamocha	454,8249173963
2 personas	2	44050	Calamocha	482,6074408051
3 personas	3	44050	Calamocha	329,0625729531
4 personas	4	44050	Calamocha	462,7753133542
5 personas	5	44050	Calamocha	24,4805826792
6 personas	6	44050	Calamocha	28,322845572
7 o más personas		44050	Calamocha	
1 persona	1	44051	Calanda	271,5062644771
2 personas	2	44051	Calanda	469,1464173133
3 personas	3	44051	Calanda	260,716310806
4 personas	4	44051	Calanda	249,4911193707
5 personas	5	44051	Calanda	152,1192062422
6 personas	6	44051	Calanda	24,8619674352
7 o más personas		44051	Calanda	
1 persona	1	44052	Calomarde	18,3600627039
2 personas	2	44052	Calomarde	16,1974906024
3 personas	3	44052	Calomarde	6,4055803223
4 personas	4	44052	Calomarde	2,8965184499
5 personas	5	44052	Calomarde	1,6884282649
7 o más personas		44052	Calomarde	
1 persona	1	44053	Camañas	14,4612012583
2 personas	2	44053	Camañas	23,0617260158
3 personas	3	44053	Camañas	12,7090822316
4 personas	4	44053	Camañas	2,0188396675
5 personas	5	44053	Camañas	3,0469037962
6 personas	6	44053	Camañas	1,2468263223
7 o más personas		44053	Camañas	
1 persona	1	44054	Camarena de la Sierra	27,5597442579
2 personas	2	44054	Camarena de la Sierra	14,0361618118
3 personas	3	44054	Camarena de la Sierra	8,8652986142
4 personas	4	44054	Camarena de la Sierra	7,7714589072
7 o más personas	7	44054	Camarena de la Sierra	4,1783012283
1 persona	1	44055	Camarillas	12,093977283
2 personas	2	44055	Camarillas	16,6951155428
3 personas	3	44055	Camarillas	14,098133267
4 personas	4	44055	Camarillas	7,0080867256
7 o más personas		44055	Camarillas	
1 persona	1	44056	Caminreal	77,8811022112
2 personas	2	44056	Caminreal	88,6006606821
3 personas	3	44056	Caminreal	63,4053322335
4 personas	4	44056	Caminreal	60,2275866933
5 personas	5	44056	Caminreal	5,6218219242
7 o más personas		44056	Caminreal	
1 persona	1	44059	Cantavieja	60,8697844124
2 personas	2	44059	Cantavieja	72,4609889959
3 personas	3	44059	Cantavieja	67,8280129692
4 personas	4	44059	Cantavieja	44,3581250527
5 personas	5	44059	Cantavieja	12,6450223435
6 personas	6	44059	Cantavieja	7,5470399526
7 o más personas	7	44059	Cantavieja	6,3939246825
1 persona	1	44060	Cañada de Benatanduz	8,3159338307
2 personas	2	44060	Cañada de Benatanduz	8,3009976322
3 personas	3	44060	Cañada de Benatanduz	1,5814809344
4 personas	4	44060	Cañada de Benatanduz	2,3344070254
7 o más personas		44060	Cañada de Benatanduz	
1 persona	1	44061	Cañada de Verich (La)	15,7094618093
2 personas	2	44061	Cañada de Verich (La)	9,8531207509
3 personas	3	44061	Cañada de Verich (La)	5,5632357219
4 personas	4	44061	Cañada de Verich (La)	10,9072894814
5 personas	5	44061	Cañada de Verich (La)	1,4530863196
7 o más personas		44061	Cañada de Verich (La)	
1 persona	1	44062	Cañada Vellida	4,0899812871
2 personas	2	44062	Cañada Vellida	11,5136957905
3 personas	3	44062	Cañada Vellida	3,6275423773
7 o más personas		44062	Cañada Vellida	
1 persona	1	44063	Cañizar del Olivar	14,0435397092
2 personas	2	44063	Cañizar del Olivar	8,1143186721
3 personas	3	44063	Cañizar del Olivar	6,2307993627
4 personas	4	44063	Cañizar del Olivar	2,600190206
7 o más personas	10	44063	Cañizar del Olivar	4,5447166117
1 persona	1	44064	Cascante del Río	10,2528332244
2 personas	2	44064	Cascante del Río	17,7501940011
3 personas	3	44064	Cascante del Río	6,2699171468
4 personas	4	44064	Cascante del Río	7,3270224553
7 o más personas		44064	Cascante del Río	
1 persona	1	44065	Castejón de Tornos	9,9639632141
2 personas	2	44065	Castejón de Tornos	8,110411591
3 personas	3	44065	Castejón de Tornos	8,2961868947
4 personas	4	44065	Castejón de Tornos	2,2264841926
5 personas	5	44065	Castejón de Tornos	0,8041432299
7 o más personas		44065	Castejón de Tornos	
1 persona	1	44066	Castel de Cabra	7,561739562
2 personas	2	44066	Castel de Cabra	15,8356398278
3 personas	3	44066	Castel de Cabra	11,1166693612
4 personas	4	44066	Castel de Cabra	10,5139543306
5 personas	5	44066	Castel de Cabra	5,02233662
7 o más personas		44066	Castel de Cabra	
1 persona	1	44067	Castelnou	14,6129646192
2 personas	2	44067	Castelnou	19,3206248053
3 personas	3	44067	Castelnou	19,9671276902
4 personas	4	44067	Castelnou	16,0898011299
7 o más personas		44067	Castelnou	
1 persona	1	44068	Castelserás	42,8564222663
2 personas	2	44068	Castelserás	89,5608463622
3 personas	3	44068	Castelserás	86,6547529051
4 personas	4	44068	Castelserás	65,9188349457
5 personas	5	44068	Castelserás	9,4075732827
6 personas	6	44068	Castelserás	6,9340060716
7 o más personas		44068	Castelserás	
1 persona	1	44070	Castellar (El)	4,0120347948
2 personas	2	44070	Castellar (El)	7,7263211506
3 personas	3	44070	Castellar (El)	10,0956354725
5 personas	5	44070	Castellar (El)	3,2496832973
7 o más personas		44070	Castellar (El)	
1 persona	1	44071	Castellote	97,1235865226
2 personas	2	44071	Castellote	107,779137875
3 personas	3	44071	Castellote	58,3832571438
4 personas	4	44071	Castellote	63,9412438044
5 personas	5	44071	Castellote	1,4049428108
6 personas	6	44071	Castellote	4,1847725329
7 o más personas		44071	Castellote	
1 persona	1	44074	Cedrillas	34,4974648718
2 personas	2	44074	Cedrillas	45,7520981852
3 personas	3	44074	Cedrillas	49,7481862433
4 personas	4	44074	Cedrillas	70,4392508039
5 personas	5	44074	Cedrillas	4,2572813325
6 personas	6	44074	Cedrillas	1,3247895932
7 o más personas	7	44074	Cedrillas	0,7095781925
1 persona	1	44075	Celadas	22,687537081
2 personas	2	44075	Celadas	33,3577894607
3 personas	3	44075	Celadas	37,7142997727
4 personas	4	44075	Celadas	21,2867200363
5 personas	5	44075	Celadas	10,7307768776
6 personas	6	44075	Celadas	12,6316636527
7 o más personas		44075	Celadas	
1 persona	1	44076	Cella	227,4967941115
2 personas	2	44076	Cella	394,0313902796
3 personas	3	44076	Cella	208,796195356
4 personas	4	44076	Cella	247,3775946359
5 personas	5	44076	Cella	35,8459889729
6 personas	6	44076	Cella	11,7099739453
7 o más personas		44076	Cella	
1 persona	1	44077	Cerollera (La)	8,576416956
2 personas	2	44077	Cerollera (La)	17,7964711312
3 personas	3	44077	Cerollera (La)	5,5476790879
4 personas	4	44077	Cerollera (La)	8,3283776617
7 o más personas	8	44077	Cerollera (La)	2,2863828288
1 persona	1	44080	Codoñera (La)	40,4791213113
2 personas	2	44080	Codoñera (La)	55,8900071527
3 personas	3	44080	Codoñera (La)	29,1613621252
4 personas	4	44080	Codoñera (La)	23,7634436221
5 personas	5	44080	Codoñera (La)	3,4655897227
6 personas	6	44080	Codoñera (La)	0,780120352
7 o más personas	7	44080	Codoñera (La)	1,1640052229
1 persona	1	44082	Corbalán	19,1853962744
2 personas	2	44082	Corbalán	6,0622324417
3 personas	3	44082	Corbalán	8,7678410322
4 personas	4	44082	Corbalán	9,0020412369
