Año	Código del municipio	Nombre del municipio	Personas que son mano de obra familiar	Personas que son mano de obra familiar hombres	Personas que son mano de obra familiar mujeres	Personas que son mano de obra familiar <35 años	Personas que son mano de obra familiar de 35 a 45 años	Personas que son mano de obra familiar de 55 a 64 años	Personas que son mano de obra familiar de más de 65 años
1989	50064	Cabañas de Ebro	151	133	18	25	72	37	17
1989	50065	Cabolafuente	33	31	2	6	5	14	8
1989	50066	Cadrete	76	66	10	8	25	22	21
1989	50067	Calatayud	965	830	135	148	307	281	229
1989	50068	Calatorao	991	763	228	159	397	272	163
1989	50069	Calcena	49	43	6	1	13	7	28
1989	50070	Calmarza	29	29	0	1	16	6	6
1989	50071	Campillo de Aragón	85	78	7	17	32	29	7
1989	50072	Carenas	145	106	39	15	45	47	38
1989	50073	Cariñena	1005	786	219	234	366	201	204
1989	50074	Caspe	1510	1299	211	236	578	403	293
1989	50075	Castejón de Alarba	98	65	33	14	32	38	14
1989	50076	Castejón de las Armas	90	74	16	2	25	25	38
1989	50077	Castejón de Valdejasa	204	172	32	21	74	65	44
1989	50078	Castiliscar	149	125	24	13	50	42	44
1989	50079	Cervera de la Cañada	194	148	46	19	74	59	42
1989	50080	Cerveruela	2	2	0	1	0	1	0
1989	50081	Cetina	240	208	32	26	75	77	62
1989	50082	Cimballa	47	41	6	5	17	15	10
1989	50083	Cinco Olivas	7	7	0	3	0	2	2
1989	50084	Clarés de Ribota	96	80	16	4	31	34	27
1989	50085	Codo	22	20	2	1	13	4	4
1989	50086	Codos	360	249	111	39	137	100	84
1989	50087	Contamina	29	25	4	1	5	6	17
1989	50088	Cosuenda	407	290	117	85	152	78	92
1989	50089	Cuarte de Huerva	30	24	6	2	9	9	10
1989	50090	Cubel	62	58	4	17	29	13	3
1989	50091	Cuerlas (Las)	27	26	1	4	5	16	2
1989	50092	Chiprana	58	41	17	13	23	13	9
1989	50093	Chodes	117	101	16	13	43	27	34
1989	50094	Daroca	262	228	34	19	77	88	78
1989	50095	Ejea de los Caballeros	4647	3790	857	863	1648	1063	1073
1989	50096	Embid de Ariza	23	23	0	4	3	8	8
1989	50098	Encinacorba	217	171	46	27	64	67	59
1989	50099	Épila	1244	1056	188	297	473	277	197
1989	50100	Erla	60	39	21	9	18	12	21
1989	50101	Escatrón	470	314	156	66	149	131	124
1989	50102	Fabara	552	337	215	117	198	162	75
1989	50104	Farlete	142	129	13	12	63	33	34
1989	50105	Fayón	125	89	36	9	35	34	47
1989	50106	Fayos (Los)	86	66	20	4	28	24	30
1989	50107	Figueruelas	124	117	7	16	44	36	28
1989	50108	Fombuena	7	7	0	0	4	1	2
1989	50109	Frago (El)	45	35	10	3	6	22	14
1989	50110	Frasno (El)	601	428	173	112	217	162	110
1989	50111	Fréscano	101	81	20	33	34	26	8
1989	50113	Fuendejalón	338	287	51	58	165	61	54
1989	50114	Fuendetodos	56	52	4	11	15	20	10
1989	50115	Fuentes de Ebro	658	620	38	101	289	174	94
1989	50116	Fuentes de Jiloca	205	188	17	35	65	54	51
1989	50117	Gallocanta	51	45	6	15	20	15	1
1989	50118	Gallur	610	531	79	108	205	181	116
1989	50119	Gelsa	419	307	112	80	129	153	57
1989	50120	Godojos	62	54	8	7	13	17	25
1989	50121	Gotor	157	110	47	37	70	33	17
1989	50122	Grisel	51	41	10	7	19	16	9
1989	50123	Grisén	84	79	5	9	23	27	25
1989	50124	Herrera de los Navarros	267	217	50	38	68	74	87
1989	50125	Ibdes	296	265	31	47	92	78	79
1989	50126	Illueca	394	318	76	66	138	106	84
1989	50128	Isuerre	39	34	5	4	9	3	23
1989	50129	Jaraba	90	78	12	3	40	22	25
1989	50130	Jarque	334	229	105	68	101	100	65
1989	50131	Jaulín	80	69	11	17	26	24	13
1989	50132	Joyosa (La)	89	80	9	10	40	22	17
1989	50133	Lagata	49	45	4	4	14	25	6
1989	50134	Langa del Castillo	39	32	7	5	17	16	1
1989	50135	Layana	7	6	1	1	4	0	2
1989	50136	Lécera	224	214	10	33	78	69	44
1989	50137	Leciñena	290	273	17	70	128	75	17
1989	50138	Lechón	22	19	3	2	9	6	5
1989	50139	Letux	141	122	19	16	47	51	27
1989	50140	Litago	89	71	18	13	27	21	28
1989	50141	Lituénigo	92	65	27	15	21	44	12
1989	50142	Lobera de Onsella	77	56	21	2	12	17	46
1989	50143	Longares	579	394	185	148	219	126	86
1989	50144	Longás	59	44	15	4	12	10	33
1989	50146	Lucena de Jalón	143	109	34	34	37	42	30
1989	50147	Luceni	215	203	12	20	84	69	42
1989	50148	Luesia	137	108	29	25	36	52	24
1989	50149	Luesma	21	15	6	2	5	5	9
1989	50150	Lumpiaque	161	140	21	19	65	34	43
1989	50151	Luna	623	475	148	55	168	158	242
1989	50152	Maella	1025	704	321	167	409	256	193
1989	50153	Magallón	554	439	115	163	197	147	47
1989	50154	Mainar	33	32	1	9	16	5	3
1989	50155	Malanquilla	51	42	9	2	19	16	14
1989	50156	Maleján	0	0	0	0	0	0	0
1989	50157	Malón	140	109	31	21	47	33	39
1989	50159	Maluenda	392	327	65	54	169	101	68
1989	50160	Mallén	584	488	96	130	224	162	68
1989	50161	Manchones	66	51	15	3	22	19	22
1989	50162	Mara	216	140	76	27	68	61	60
1989	50163	María de Huerva	161	147	14	33	50	43	35
1989	50164	Mediana de Aragón	186	165	21	26	58	54	48
1989	50165	Mequinenza	801	531	270	144	315	176	166
1989	50166	Mesones de Isuela	197	156	41	35	76	44	42
1989	50167	Mezalocha	152	102	50	40	51	48	13
1989	50168	Mianos	17	15	2	4	7	3	3
1989	50169	Miedes de Aragón	269	210	59	50	101	78	40
1989	50170	Monegrillo	194	165	29	30	83	42	39
1989	50171	Moneva	56	51	5	6	25	15	10
1989	50172	Monreal de Ariza	124	89	35	31	54	38	1
1989	50173	Monterde	36	36	0	1	18	11	6
1989	50174	Montón	113	81	32	12	49	33	19
1989	50175	Morata de Jalón	634	506	128	59	226	199	150
1989	50176	Morata de Jiloca	174	118	56	19	69	57	29
1989	50177	Morés	377	293	84	71	107	112	87
1989	50178	Moros	355	305	50	54	110	105	86
1989	50179	Moyuela	133	106	27	19	44	52	18
1989	50180	Mozota	53	51	2	2	15	25	11
1989	50181	Muel	219	192	27	18	75	80	46
1989	50182	Muela (La)	195	163	32	29	56	53	57
1989	50183	Munébrega	317	248	69	51	114	95	57
1989	50184	Murero	64	54	10	9	20	21	14
1989	50185	Murillo de Gállego	88	67	21	5	14	33	36
1989	50186	Navardún	39	27	12	5	11	8	15
1989	50187	Nigüella	62	53	9	4	18	19	21
1989	50188	Nombrevilla	12	11	1	1	6	3	2
1989	50189	Nonaspe	437	304	133	83	146	107	101
1989	50190	Novallas	207	178	29	20	67	57	63
1989	50191	Novillas	404	330	74	88	165	104	47
1989	50192	Nuévalos	15	15	0	3	7	4	1
1989	50193	Nuez de Ebro	73	66	7	6	24	31	12
1989	50194	Olvés	209	140	69	50	80	57	22
1989	50195	Orcajo	23	16	7	1	12	10	0
1989	50196	Orera	130	92	38	26	39	41	24
1989	50197	Orés	50	39	11	1	15	13	21
1989	50198	Oseja	92	50	42	1	38	30	23
1989	50199	Osera de Ebro	74	64	10	7	35	22	10
1989	50200	Paniza	629	451	178	137	239	129	124
1989	50201	Paracuellos de Jiloca	277	241	36	39	105	76	57
1989	50202	Paracuellos de la Ribera	328	219	109	46	120	96	66
1989	50203	Pastriz	206	186	20	20	75	61	50
1989	50204	Pedrola	485	393	92	91	205	142	47
1989	50205	Pedrosas (Las)	39	36	3	6	9	8	16
1989	50206	Perdiguera	157	143	14	33	53	47	24
1989	50207	Piedratajada	101	86	15	10	35	20	36
1989	50208	Pina de Ebro	591	504	87	64	201	183	143
1989	50209	Pinseque	212	207	5	21	90	61	40
1989	50210	Pintanos (Los)	68	52	16	3	21	20	24
1989	50211	Plasencia de Jalón	138	126	12	18	61	34	25
1989	50212	Pleitas	29	24	5	4	9	10	6
1989	50213	Plenas	90	69	21	11	34	31	14
1989	50214	Pomer	47	33	14	1	3	17	26
1989	50215	Pozuel de Ariza	18	11	7	3	1	12	2
1989	50216	Pozuelo de Aragón	142	124	18	36	54	32	20
1989	50217	Pradilla de Ebro	222	171	51	49	78	62	33
1989	50218	Puebla de Albortón	61	54	7	8	27	17	9
1989	50219	Puebla de Alfindén (La)	130	126	4	13	46	40	31
1989	50220	Puendeluna	38	31	7	4	5	13	16
1989	50221	Purujosa	3	2	1	1	0	2	0
1989	50222	Quinto	386	368	18	64	165	94	63
1989	50223	Remolinos	153	128	25	34	60	46	13
1989	50224	Retascón	52	44	8	10	24	15	3
1989	50225	Ricla	1157	857	300	316	449	246	146
1989	50227	Romanos	55	51	4	11	20	13	11
1989	50228	Rueda de Jalón	261	230	31	41	108	65	47
1989	50229	Ruesca	69	44	25	20	20	20	9
1989	50230	Sádaba	327	272	55	43	111	88	85
1989	50231	Salillas de Jalón	70	59	11	9	16	18	27
1989	50232	Salvatierra de Esca	62	52	10	5	19	17	21
1989	50233	Samper del Salz	26	22	4	1	10	6	9
1989	50234	San Martín de la Virgen de Moncayo	40	30	10	4	19	10	7
1989	50235	San Mateo de Gállego	311	285	26	48	116	99	48
1989	50236	Santa Cruz de Grío	261	191	70	36	79	75	71
1989	50237	Santa Cruz de Moncayo	56	44	12	5	18	14	19
1989	50238	Santa Eulalia de Gállego	57	40	17	0	14	17	26
1989	50239	Santed	25	22	3	4	12	9	0
1989	50240	Sástago	281	257	24	35	115	72	59
1989	50241	Saviñán	426	332	94	84	139	125	78
1989	50242	Sediles	102	65	37	9	39	31	23
1989	50243	Sestrica	537	404	133	134	212	121	70
1989	50244	Sierra de Luna	112	96	16	14	40	34	24
1989	50245	Sigüés	72	58	14	7	17	18	30
1989	50246	Sisamón	23	22	1	3	9	8	3
1989	50247	Sobradiel	148	131	17	17	55	47	29
1989	50248	Sos del Rey Católico	279	227	52	47	89	60	83
1989	50249	Tabuenca	303	232	71	28	133	85	57
1989	50250	Talamantes	33	26	7	1	8	12	12
1989	50251	Tarazona	1584	1385	199	200	576	449	359
1989	50252	Tauste	1770	1553	217	399	599	463	309
1989	50253	Terrer	284	170	114	31	89	76	88
1989	50254	Tierga	206	180	26	44	86	44	32
1989	50255	Tobed	170	114	56	27	60	47	36
1989	50256	Torralba de los Frailes	43	41	2	7	17	15	4
1989	50257	Torralba de Ribota	117	86	31	9	41	38	29
1989	50258	Torralbilla	25	25	0	1	10	10	4
1989	50259	Torrehermosa	49	36	13	12	18	19	0
1989	50260	Torrelapaja	16	10	6	2	11	3	0
1989	50261	Torrellas	48	36	12	5	10	14	19
1989	50262	Torres de Berrellén	418	346	72	59	154	118	87
1989	50263	Torrijo de la Cañada	431	336	95	57	148	104	122
1989	50264	Tosos	271	201	70	32	93	92	54
1989	50265	Trasmoz	69	50	19	7	23	29	10
1989	50266	Trasobares	134	117	17	9	40	45	40
1989	50267	Uncastillo	447	351	96	43	99	123	182
1989	50268	Undués de Lerda	43	25	18	4	6	12	21
1989	50269	Urrea de Jalón	164	132	32	37	58	50	19
1989	50270	Urriés	35	28	7	0	6	8	21
1989	50271	Used	114	99	15	19	63	21	11
1989	50272	Utebo	280	261	19	21	136	78	45
1989	50273	Valdehorna	46	33	13	2	12	15	17
1989	50274	Val de San Martín	39	25	14	3	10	18	8
1989	50275	Valmadrid	37	31	6	2	9	18	8
1989	50276	Valpalmas	88	67	21	9	36	25	18
1989	50277	Valtorres	47	32	15	0	14	18	15
1989	50278	Velilla de Ebro	101	73	28	17	36	33	15
1989	50279	Velilla de Jiloca	96	67	29	22	32	29	13
1989	50280	Vera de Moncayo	160	133	27	19	51	46	44
1989	50281	Vierlas	39	27	12	4	15	9	11
1989	50282	Vilueña (La)	87	66	21	22	19	31	15
1989	50283	Villadoz	36	29	7	3	22	11	0
1989	50284	Villafeliche	148	111	37	14	42	57	35
1989	50285	Villafranca de Ebro	158	144	14	9	50	71	28
1989	50286	Villalba de Perejil	67	57	10	7	26	18	16
1989	50287	Villalengua	230	177	53	47	70	62	51
1989	50288	Villanueva de Gállego	485	424	61	64	177	138	106
1989	50289	Villanueva de Jiloca	67	50	17	2	23	26	16
1989	50290	Villanueva de Huerva	428	298	130	92	129	133	74
1989	50291	Villar de los Navarros	84	71	13	13	26	29	16
1989	50292	Villarreal de Huerva	29	25	4	2	14	12	1
1989	50293	Villarroya de la Sierra	610	408	202	136	186	175	113
1989	50294	Villarroya del Campo	29	28	1	4	11	9	5
1989	50295	Vistabella	154	129	25	7	36	48	63
1989	50296	Zaida (La)	67	62	5	5	31	25	6
1989	50297	Zaragoza	3154	2610	544	384	1172	982	616
1989	50298	Zuera	769	714	55	92	280	236	161
1989	50901	Biel	53	42	11	2	14	18	19
1999	22001	Abiego	85	73	12	15	30	18	22
1999	22002	Abizanda	49	36	13	7	16	16	10
1999	22003	Adahuesca	60	51	9	4	29	6	21
1999	22004	Agüero	78	60	18	6	19	18	35
1999	22006	Aísa	40	34	6	7	8	11	14
1999	22007	Albalate de Cinca	287	227	60	34	125	79	49
1999	22008	Albalatillo	29	23	6	5	11	6	7
1999	22009	Albelda	486	360	126	103	173	99	111
1999	22011	Albero Alto	29	26	3	5	8	4	12
1999	22012	Albero Bajo	62	54	8	13	23	13	13
1999	22013	Alberuela de Tubo	71	57	14	13	42	8	8
1999	22014	Alcalá de Gurrea	60	52	8	17	19	12	12
1999	22015	Alcalá del Obispo	121	99	22	9	54	25	33
1999	22016	Alcampell	431	291	140	66	132	96	137
1999	22017	Alcolea de Cinca	244	197	47	25	102	53	64
1999	22018	Alcubierre	130	104	26	22	41	29	38
1999	22019	Alerre	16	15	1	4	6	1	5
1999	22020	Alfántega	58	46	12	11	26	14	7
1999	22021	Almudévar	639	532	107	101	214	132	192
1999	22022	Almunia de San Juan	182	140	42	27	64	43	48
1999	22023	Almuniente	165	144	21	30	91	21	23
1999	22024	Alquézar	95	81	14	4	38	17	36
1999	22025	Altorricón	307	229	78	57	131	61	58
1999	22027	Angüés	105	96	9	12	38	20	35
1999	22028	Ansó	35	32	3	3	15	9	8
1999	22029	Antillón	59	40	19	7	31	12	9
1999	22032	Aragüés del Puerto	20	17	3	4	8	2	6
1999	22035	Arén	72	58	14	10	27	13	22
1999	22036	Argavieso	30	29	1	2	8	10	10
1999	22037	Arguis	24	18	6	3	6	7	8
1999	22039	Ayerbe	187	149	38	14	54	47	72
1999	22040	Azanuy-Alins	140	92	48	10	45	34	51
1999	22041	Azara	81	64	17	15	32	15	19
1999	22042	Azlor	80	57	23	17	27	14	22
1999	22043	Baells	87	76	11	11	32	18	26
1999	22044	Bailo	115	101	14	14	47	16	38
1999	22045	Baldellou	93	75	18	7	24	19	43
1999	22046	Ballobar	364	223	141	78	177	50	59
1999	22047	Banastás	4	4	0	2	0	1	1
1999	22048	Barbastro	727	550	177	67	240	173	247
1999	22049	Barbués	51	40	11	9	22	12	8
1999	22050	Barbuñales	46	36	10	3	19	16	8
1999	22051	Bárcabo	62	41	21	7	17	18	20
1999	22052	Belver de Cinca	531	399	132	153	208	94	76
1999	22053	Benabarre	333	236	97	26	137	67	103
1999	22054	Benasque	45	32	13	9	9	11	16
1999	22055	Berbegal	138	110	28	17	56	31	34
1999	22057	Bielsa	46	35	11	6	19	9	12
1999	22058	Bierge	126	105	21	9	38	21	58
1999	22059	Biescas	151	119	32	18	46	28	59
1999	22060	Binaced	469	326	143	91	221	83	74
1999	22061	Binéfar	268	219	49	16	101	58	93
1999	22062	Bisaurri	67	51	16	7	29	16	15
1999	22063	Biscarrués	84	70	14	16	26	14	28
1999	22064	Blecua y Torres	65	56	9	8	27	14	16
1999	22066	Boltaña	54	44	10	9	25	5	15
1999	22067	Bonansa	23	15	8	6	11	3	3
1999	22068	Borau	9	8	1	1	5	2	1
1999	22069	Broto	83	61	22	16	48	10	9
1999	22072	Caldearenas	60	56	4	9	25	14	12
1999	22074	Campo	13	11	2	0	7	2	4
1999	22075	Camporrells	74	55	19	3	23	12	36
1999	22076	Canal de Berdún	135	113	22	17	42	29	47
1999	22077	Candasnos	117	87	30	38	47	22	10
1999	22078	Canfranc	6	4	2	2	3	0	1
1999	22079	Capdesaso	24	21	3	2	12	7	3
1999	22080	Capella	112	86	26	11	53	19	29
1999	22081	Casbas de Huesca	130	112	18	17	60	30	23
1999	22082	Castejón del Puente	64	49	15	13	21	22	8
1999	22083	Castejón de Monegros	203	170	33	33	67	53	50
1999	22084	Castejón de Sos	32	26	6	4	5	11	12
1999	22085	Castelflorite	74	57	17	20	21	24	9
1999	22086	Castiello de Jaca	14	13	1	2	5	4	3
1999	22087	Castigaleu	25	21	4	5	13	4	3
1999	22088	Castillazuelo	124	81	43	15	35	15	59
1999	22089	Castillonroy	155	102	53	25	66	24	40
1999	22090	Colungo	94	57	37	5	27	17	45
1999	22094	Chalamera	55	40	15	8	18	12	17
1999	22095	Chía	21	18	3	6	8	4	3
1999	22096	Chimillas	17	16	1	5	6	2	4
1999	22099	Esplús	205	159	46	25	68	35	77
1999	22102	Estada	60	42	18	6	26	13	15
1999	22103	Estadilla	254	173	81	32	92	59	71
1999	22105	Estopiñán del Castillo	121	82	39	11	32	19	59
1999	22106	Fago	9	8	1	3	2	3	1
1999	22107	Fanlo	9	8	1	0	3	2	4
1999	22109	Fiscal	55	46	9	12	20	15	8
1999	22110	Fonz	271	219	52	36	89	60	86
1999	22111	Foradada del Toscar	77	54	23	19	37	14	7
1999	22112	Fraga	1948	1278	670	440	780	411	317
1999	22113	Fueva (La)	202	146	56	26	96	38	42
1999	22114	Gistaín	85	60	25	15	32	17	21
1999	22115	Grado (El)	190	147	43	19	68	34	69
1999	22116	Grañén	308	256	52	50	148	51	59
1999	22117	Graus	450	337	113	71	146	102	131
1999	22119	Gurrea de Gállego	315	285	30	49	129	72	65
1999	22122	Hoz de Jaca	10	9	1	2	1	3	4
1999	22124	Huerto	128	103	25	27	63	22	16
1999	22125	Huesca	440	378	62	49	142	112	137
1999	22126	Ibieca	25	23	2	4	11	4	6
1999	22127	Igriés	57	47	10	6	24	10	17
1999	22128	Ilche	109	96	13	17	52	18	22
1999	22129	Isábena	99	69	30	5	51	18	25
1999	22130	Jaca	410	337	73	65	140	84	121
1999	22131	Jasa	19	16	3	4	6	5	4
1999	22133	Labuerda	10	9	1	0	5	2	3
1999	22135	Laluenga	104	89	15	27	35	16	26
1999	22136	Lalueza	244	203	41	35	126	45	38
1999	22137	Lanaja	433	348	85	80	159	87	107
1999	22139	Laperdiguera	27	23	4	7	7	4	9
1999	22141	Lascellas-Ponzano	85	66	19	11	32	19	23
1999	22142	Lascuarre	37	30	7	7	12	6	12
1999	22143	Laspaúles	70	47	23	8	34	15	13
1999	22144	Laspuña	37	33	4	4	13	7	13
1999	22149	Loarre	166	135	31	19	61	31	55
1999	22150	Loporzano	245	192	53	33	80	55	77
1999	22151	Loscorrales	53	43	10	3	16	6	28
1999	22155	Monesma y Cajigar	47	36	11	6	20	10	11
1999	22156	Monflorite-Lascasas	62	50	12	9	28	15	10
1999	22157	Montanuy	136	103	33	24	56	30	26
1999	22158	Monzón	881	695	186	134	319	236	192
1999	22160	Naval	43	40	3	8	18	5	12
1999	22162	Novales	37	31	6	5	17	3	12
1999	22163	Nueno	93	78	15	6	36	20	31
1999	22164	Olvena	38	25	13	6	20	3	9
1999	22165	Ontiñena	201	155	46	32	78	46	45
1999	22167	Osso de Cinca	249	171	78	68	104	47	30
1999	22168	Palo	12	10	2	2	5	4	1
1999	22170	Panticosa	29	26	3	4	16	3	6
1999	22172	Peñalba	167	131	36	48	75	26	18
1999	22173	Peñas de Riglos (Las)	91	79	12	13	38	10	30
1999	22174	Peralta de Alcofea	204	152	52	47	78	33	46
1999	22175	Peralta de Calasanz	179	141	38	15	52	37	75
1999	22176	Peraltilla	72	52	20	7	37	12	16
1999	22177	Perarrúa	36	30	6	5	8	12	11
1999	22178	Pertusa	39	35	4	7	18	7	7
1999	22181	Piracés	52	43	9	16	8	12	16
1999	22182	Plan	115	82	33	13	45	17	40
1999	22184	Poleñino	84	75	9	12	31	20	21
1999	22186	Pozán de Vero	151	94	57	12	48	27	64
1999	22187	Puebla de Castro (La)	86	65	21	12	26	14	34
1999	22188	Puente de Montañana	20	15	5	5	4	5	6
1999	22189	Puértolas	38	30	8	5	21	6	6
1999	22190	Pueyo de Araguás (El)	44	35	9	7	24	9	4
1999	22193	Pueyo de Santa Cruz	60	45	15	15	18	12	15
1999	22195	Quicena	15	11	4	4	5	1	5
1999	22197	Robres	203	174	29	35	77	40	51
1999	22199	Sabiñánigo	264	220	44	50	80	43	91
1999	22200	Sahún	51	40	11	8	26	9	8
1999	22201	Salas Altas	207	154	53	22	74	46	65
1999	22202	Salas Bajas	107	77	30	14	39	12	42
1999	22203	Salillas	31	27	4	5	10	5	11
1999	22204	Sallent de Gállego	102	85	17	12	33	19	38
1999	22205	San Esteban de Litera	336	270	66	31	113	98	94
1999	22206	Sangarrén	68	61	7	12	21	18	17
1999	22207	San Juan de Plan	73	53	20	19	15	19	20
1999	22208	Santa Cilia	34	28	6	9	14	6	5
1999	22209	Santa Cruz de la Serós	36	28	8	7	15	7	7
1999	22212	Santaliestra y San Quílez	18	16	2	2	8	3	5
1999	22213	Sariñena	583	474	109	116	275	115	77
1999	22214	Secastilla	57	40	17	4	22	11	20
1999	22215	Seira	30	20	10	1	12	7	10
1999	22217	Sena	181	149	32	40	81	36	24
1999	22218	Senés de Alcubierre	24	20	4	7	12	4	1
1999	22220	Sesa	62	59	3	9	17	15	21
1999	22221	Sesué	18	12	6	0	4	3	11
1999	22222	Siétamo	130	112	18	16	45	23	46
1999	22223	Sopeira	21	16	5	5	7	6	3
1999	22225	Tamarite de Litera	830	547	283	144	314	170	202
1999	22226	Tardienta	175	146	29	23	60	35	57
1999	22227	Tella-Sin	14	14	0	0	7	1	6
1999	22228	Tierz	29	26	3	9	7	4	9
1999	22229	Tolva	78	56	22	8	32	14	24
1999	22230	Torla-Ordesa	52	39	13	4	26	9	13
1999	22232	Torralba de Aragón	47	39	8	11	17	12	7
1999	22233	Torre la Ribera	53	37	16	4	18	12	19
1999	22234	Torrente de Cinca	259	163	96	65	111	48	35
1999	22235	Torres de Alcanadre	41	35	6	5	21	4	11
1999	22236	Torres de Barbués	60	53	7	10	23	11	16
1999	22239	Tramaced	52	42	10	10	26	10	6
1999	22242	Valfarta	66	53	13	24	17	10	15
1999	22243	Valle de Bardají	16	13	3	5	6	4	1
1999	22244	Valle de Lierp	18	14	4	2	5	5	6
1999	22245	Velilla de Cinca	145	100	45	37	52	20	36
1999	22246	Beranuy	72	53	19	1	20	13	38
1999	22247	Viacamp y Litera	33	23	10	3	13	12	5
1999	22248	Vicién	11	10	1	0	8	0	3
1999	22249	Villanova	10	9	1	1	4	3	2
1999	22250	Villanúa	10	7	3	0	2	3	5
1999	22251	Villanueva de Sigena	183	138	45	42	81	31	29
1999	22252	Yebra de Basa	30	29	1	6	13	4	7
1999	22253	Yésero	11	6	5	4	3	3	1
1999	22254	Zaidín	565	436	129	157	231	86	91
1999	22901	Valle de Hecho	182	147	35	37	67	38	40
1999	22902	Puente la Reina de Jaca	80	66	14	16	22	13	29
1999	22903	San Miguel del Cinca	284	223	61	75	116	44	49
1999	22904	Sotonera (La)	485	389	96	43	170	91	181
1999	22905	Lupiñén-Ortilla	97	89	8	21	38	18	20
1999	22906	Santa María de Dulcis	124	80	44	11	47	24	42
1999	22907	Aínsa-Sobrarbe	195	167	28	24	85	38	48
1999	22908	Hoz y Costeán	187	137	50	27	71	23	66
1999	22909	Vencillón	137	117	20	46	52	21	18
1999	44001	Ababuj	36	24	12	3	17	10	6
1999	44002	Abejuela	19	12	7	2	8	2	7
1999	44003	Aguatón	11	9	2	1	1	5	4
1999	44004	Aguaviva	130	91	39	10	46	29	45
1999	44005	Aguilar del Alfambra	35	24	11	1	10	10	14
1999	44006	Alacón	173	116	57	7	61	44	61
1999	44007	Alba	94	78	16	15	37	24	18
1999	44008	Albalate del Arzobispo	762	556	206	62	272	167	261
1999	44009	Albarracín	88	68	20	12	38	13	25
1999	44010	Albentosa	72	53	19	6	33	17	16
1999	44011	Alcaine	10	8	2	4	4	2	0
1999	44012	Alcalá de la Selva	55	42	13	7	19	19	10
1999	44013	Alcañiz	1385	977	408	197	527	298	363
1999	44014	Alcorisa	1014	686	328	154	399	176	285
1999	44016	Alfambra	221	161	60	29	84	49	59
1999	44017	Aliaga	88	64	24	16	26	14	32
1999	44018	Almohaja	5	4	1	1	1	1	2
1999	44019	Alobras	24	21	3	4	10	3	7
1999	44020	Alpeñés	11	9	2	0	4	5	2
1999	44021	Allepuz	62	47	15	5	27	15	15
1999	44022	Alloza	547	358	189	48	200	125	174
1999	44023	Allueva	1	1	0	1	0	0	0
1999	44024	Anadón	11	6	5	4	3	4	0
1999	44025	Andorra	991	603	388	123	410	201	257
1999	44026	Arcos de las Salinas	29	22	7	3	7	11	8
1999	44027	Arens de Lledó	145	92	53	27	63	35	20
1999	44028	Argente	86	74	12	6	37	20	23
1999	44029	Ariño	100	85	15	9	30	21	40
1999	44031	Azaila	90	64	26	11	26	24	29
1999	44032	Bádenas	5	5	0	0	0	3	2
1999	44033	Báguena	226	186	40	19	62	44	101
1999	44034	Bañón	46	40	6	16	9	15	6
1999	44035	Barrachina	39	24	15	4	18	9	8
1999	44036	Bea	8	6	2	5	3	0	0
1999	44037	Beceite	126	104	22	10	52	28	36
1999	44038	Belmonte de San José	152	94	58	20	40	34	58
1999	44039	Bello	145	100	45	16	40	34	55
1999	44040	Berge	138	99	39	14	52	26	46
1999	44041	Bezas	10	9	1	0	1	5	4
1999	44042	Blancas	70	44	26	5	34	21	10
1999	44043	Blesa	70	60	10	10	21	16	23
1999	44044	Bordón	35	22	13	5	14	8	8
1999	44045	Bronchales	32	23	9	5	16	7	4
1999	44046	Bueña	42	31	11	3	10	11	18
1999	44047	Burbáguena	187	113	74	4	35	45	103
1999	44048	Cabra de Mora	22	13	9	2	6	9	5
1999	44049	Calaceite	510	360	150	106	203	93	108
1999	44050	Calamocha	566	432	134	60	216	147	143
1999	44051	Calanda	807	551	256	140	332	135	200
1999	44052	Calomarde	16	11	5	0	7	6	3
1999	44053	Camañas	58	47	11	15	20	13	10
1999	44054	Camarena de la Sierra	20	14	6	6	7	7	0
1999	44055	Camarillas	43	32	11	9	16	11	7
1999	44056	Caminreal	243	170	73	24	94	67	58
1999	44059	Cantavieja	194	122	72	22	102	48	22
1999	44060	Cañada de Benatanduz	24	17	7	2	11	5	6
1999	44061	Cañada de Verich (La)	19	15	4	1	4	5	9
1999	44062	Cañada Vellida	48	45	3	10	12	14	12
1999	44063	Cañizar del Olivar	20	15	5	1	3	6	10
1999	44064	Cascante del Río	28	23	5	5	7	9	7
1999	44065	Castejón de Tornos	56	33	23	7	18	15	16
1999	44066	Castel de Cabra	28	18	10	1	4	10	13
1999	44067	Castelnou	30	24	6	4	9	6	11
1999	44068	Castelserás	156	110	46	15	60	24	57
1999	44070	Castellar (El)	28	21	7	1	6	14	7
1999	44071	Castellote	360	230	130	45	129	81	105
1999	44074	Cedrillas	118	82	36	6	52	36	24
1999	44075	Celadas	163	119	44	34	69	42	18
1999	44076	Cella	526	375	151	39	255	145	87
1999	44077	Cerollera (La)	61	41	20	3	18	12	28
1999	44080	Codoñera (La)	155	95	60	26	49	29	51
1999	44082	Corbalán	32	22	10	3	7	6	16
1999	44084	Cortes de Aragón	24	19	5	4	7	3	10
1999	44085	Cosa	39	33	6	13	8	16	2
1999	44086	Cretas	276	217	59	52	116	57	51
1999	44087	Crivillén	58	41	17	15	12	15	16
1999	44088	Cuba (La)	24	14	10	1	15	6	2
1999	44089	Cubla	28	21	7	7	4	7	10
1999	44090	Cucalón	27	25	2	3	9	11	4
