Municipio código	Municipio nombre	Clase vivienda (agregado)	Clase vivienda (detalle)	Total viviendas
44063	Cañizar del Olivar	Familiar	Familiar principal	44
44064	Cascante del Río	Familiar	Familiar no principal	144
44064	Cascante del Río	Familiar	Familiar principal	52
44065	Castejón de Tornos	Familiar	Familiar no principal	92
44065	Castejón de Tornos	Familiar	Familiar principal	43
44066	Castel de Cabra	Familiar	Familiar no principal	98
44066	Castel de Cabra	Familiar	Familiar principal	62
44067	Castelnou	Familiar	Familiar no principal	88
44067	Castelnou	Familiar	Familiar principal	42
44068	Castelserás	Familiar	Familiar no principal	230
44068	Castelserás	Familiar	Familiar principal	309
44070	Castellar (El)	Familiar	Familiar no principal	72
44070	Castellar (El)	Familiar	Familiar principal	38
44071	Castellote	Familiar	Familiar no principal	589
44071	Castellote	Familiar	Familiar principal	335
44074	Cedrillas	Colectiva	Colectiva	2
44074	Cedrillas	Familiar	Familiar no principal	190
44074	Cedrillas	Familiar	Familiar principal	191
44075	Celadas	Familiar	Familiar no principal	66
44075	Celadas	Familiar	Familiar principal	200
44076	Cella	Familiar	Familiar no principal	515
44076	Cella	Familiar	Familiar principal	1086
44077	Cerollera (La)	Familiar	Familiar no principal	42
44077	Cerollera (La)	Familiar	Familiar principal	41
44080	Codoñera (La)	Familiar	Familiar no principal	162
44080	Codoñera (La)	Familiar	Familiar principal	129
44082	Corbalán	Familiar	Familiar no principal	63
44082	Corbalán	Familiar	Familiar principal	38
44084	Cortes de Aragón	Familiar	Familiar no principal	85
44084	Cortes de Aragón	Familiar	Familiar principal	50
44085	Cosa	Familiar	Familiar no principal	61
44085	Cosa	Familiar	Familiar principal	38
44086	Cretas	Familiar	Familiar no principal	142
44086	Cretas	Familiar	Familiar principal	218
44087	Crivillén	Familiar	Familiar no principal	136
44087	Crivillén	Familiar	Familiar principal	48
44088	Cuba (La)	Familiar	Familiar no principal	50
44088	Cuba (La)	Familiar	Familiar principal	27
44089	Cubla	Familiar	Familiar no principal	86
44089	Cubla	Familiar	Familiar principal	23
44090	Cucalón	Familiar	Familiar no principal	114
44090	Cucalón	Familiar	Familiar principal	32
44092	Cuervo (El)	Familiar	Familiar no principal	85
44092	Cuervo (El)	Familiar	Familiar principal	56
44093	Cuevas de Almudén	Familiar	Familiar no principal	23
44093	Cuevas de Almudén	Familiar	Familiar principal	37
44094	Cuevas Labradas	Familiar	Familiar no principal	41
44094	Cuevas Labradas	Familiar	Familiar principal	63
44096	Ejulve	Familiar	Familiar no principal	174
44096	Ejulve	Familiar	Familiar principal	88
44097	Escorihuela	Familiar	Familiar no principal	104
44097	Escorihuela	Familiar	Familiar principal	90
44099	Escucha	Colectiva	Colectiva	1
44099	Escucha	Familiar	Familiar no principal	244
44099	Escucha	Familiar	Familiar principal	371
44100	Estercuel	Familiar	Familiar no principal	132
44100	Estercuel	Familiar	Familiar principal	125
44101	Ferreruela de Huerva	Familiar	Familiar no principal	37
44101	Ferreruela de Huerva	Familiar	Familiar principal	39
44102	Fonfría	Familiar	Familiar no principal	32
44102	Fonfría	Familiar	Familiar principal	12
44103	Formiche Alto	Familiar	Familiar no principal	150
44103	Formiche Alto	Familiar	Familiar principal	82
44105	Fórnoles	Familiar	Familiar no principal	107
44105	Fórnoles	Familiar	Familiar principal	48
44106	Fortanete	Familiar	Familiar no principal	169
44106	Fortanete	Familiar	Familiar principal	83
44107	Foz-Calanda	Familiar	Familiar no principal	102
44107	Foz-Calanda	Familiar	Familiar principal	99
44108	Fresneda (La)	Familiar	Familiar no principal	321
44108	Fresneda (La)	Familiar	Familiar principal	182
44109	Frías de Albarracín	Familiar	Familiar no principal	110
44109	Frías de Albarracín	Familiar	Familiar principal	65
44110	Fuenferrada	Familiar	Familiar no principal	74
44110	Fuenferrada	Familiar	Familiar principal	19
44111	Fuentes Calientes	Familiar	Familiar no principal	50
44111	Fuentes Calientes	Familiar	Familiar principal	49
44112	Fuentes Claras	Familiar	Familiar no principal	142
44112	Fuentes Claras	Familiar	Familiar principal	258
44113	Fuentes de Rubielos	Familiar	Familiar no principal	98
44113	Fuentes de Rubielos	Familiar	Familiar principal	42
44114	Fuentespalda	Familiar	Familiar no principal	120
44114	Fuentespalda	Familiar	Familiar principal	132
44115	Galve	Familiar	Familiar no principal	38
44115	Galve	Familiar	Familiar principal	53
44116	Gargallo	Familiar	Familiar no principal	99
44116	Gargallo	Familiar	Familiar principal	47
44117	Gea de Albarracín	Colectiva	Colectiva	1
44117	Gea de Albarracín	Familiar	Familiar no principal	190
44117	Gea de Albarracín	Familiar	Familiar principal	178
44118	Ginebrosa (La)	Familiar	Familiar no principal	152
44118	Ginebrosa (La)	Familiar	Familiar principal	101
44119	Griegos	Familiar	Familiar no principal	96
44119	Griegos	Familiar	Familiar principal	57
44120	Guadalaviar	Familiar	Familiar no principal	87
44120	Guadalaviar	Familiar	Familiar principal	104
44121	Gúdar	Familiar	Familiar no principal	126
44121	Gúdar	Familiar	Familiar principal	29
44122	Híjar	Colectiva	Colectiva	2
44122	Híjar	Familiar	Familiar no principal	527
44122	Híjar	Familiar	Familiar principal	752
44123	Hinojosa de Jarque	Familiar	Familiar no principal	53
44123	Hinojosa de Jarque	Familiar	Familiar principal	56
44124	Hoz de la Vieja (La)	Familiar	Familiar no principal	198
44124	Hoz de la Vieja (La)	Familiar	Familiar principal	61
44125	Huesa del Común	Familiar	Familiar no principal	158
44125	Huesa del Común	Familiar	Familiar principal	66
44126	Iglesuela del Cid (La)	Familiar	Familiar no principal	151
44126	Iglesuela del Cid (La)	Familiar	Familiar principal	191
44127	Jabaloyas	Familiar	Familiar no principal	112
44127	Jabaloyas	Familiar	Familiar principal	35
44128	Jarque de la Val	Familiar	Familiar no principal	42
44128	Jarque de la Val	Familiar	Familiar principal	39
44129	Jatiel	Familiar	Familiar no principal	56
44129	Jatiel	Familiar	Familiar principal	25
44130	Jorcas	Familiar	Familiar no principal	66
44130	Jorcas	Familiar	Familiar principal	20
44131	Josa	Familiar	Familiar no principal	116
44131	Josa	Familiar	Familiar principal	20
44132	Lagueruela	Familiar	Familiar no principal	46
44132	Lagueruela	Familiar	Familiar principal	32
44133	Lanzuela	Familiar	Familiar no principal	19
44133	Lanzuela	Familiar	Familiar principal	14
44135	Libros	Familiar	Familiar no principal	108
44135	Libros	Familiar	Familiar principal	75
44136	Lidón	Familiar	Familiar no principal	35
44136	Lidón	Familiar	Familiar principal	39
44137	Linares de Mora	Familiar	Familiar no principal	238
44137	Linares de Mora	Familiar	Familiar principal	122
44138	Loscos	Familiar	Familiar no principal	117
44138	Loscos	Familiar	Familiar principal	85
44141	Lledó	Familiar	Familiar no principal	38
44141	Lledó	Familiar	Familiar principal	68
44142	Maicas	Familiar	Familiar no principal	54
44142	Maicas	Familiar	Familiar principal	31
44143	Manzanera	Familiar	Familiar no principal	807
44143	Manzanera	Familiar	Familiar principal	203
44144	Martín del Río	Familiar	Familiar no principal	159
44144	Martín del Río	Familiar	Familiar principal	185
44145	Mas de las Matas	Colectiva	Colectiva	1
44145	Mas de las Matas	Familiar	Familiar no principal	319
44145	Mas de las Matas	Familiar	Familiar principal	515
44146	Mata de los Olmos (La)	Familiar	Familiar no principal	97
44146	Mata de los Olmos (La)	Familiar	Familiar principal	96
44147	Mazaleón	Familiar	Familiar no principal	188
44147	Mazaleón	Familiar	Familiar principal	224
44148	Mezquita de Jarque	Familiar	Familiar no principal	34
44148	Mezquita de Jarque	Familiar	Familiar principal	52
44149	Mirambel	Familiar	Familiar no principal	63
44149	Mirambel	Familiar	Familiar principal	53
44150	Miravete de la Sierra	Familiar	Familiar no principal	59
44150	Miravete de la Sierra	Familiar	Familiar principal	22
44151	Molinos	Familiar	Familiar no principal	205
44151	Molinos	Familiar	Familiar principal	126
44152	Monforte de Moyuela	Familiar	Familiar no principal	86
44152	Monforte de Moyuela	Familiar	Familiar principal	35
44153	Monreal del Campo	Familiar	Familiar no principal	439
44153	Monreal del Campo	Familiar	Familiar principal	870
44154	Monroyo	Familiar	Familiar no principal	95
44154	Monroyo	Familiar	Familiar principal	140
44155	Montalbán	Familiar	Familiar no principal	485
44155	Montalbán	Familiar	Familiar principal	552
44156	Monteagudo del Castillo	Familiar	Familiar no principal	77
44156	Monteagudo del Castillo	Familiar	Familiar principal	26
44157	Monterde de Albarracín	Familiar	Familiar no principal	114
44157	Monterde de Albarracín	Familiar	Familiar principal	39
44158	Mora de Rubielos	Familiar	Familiar no principal	770
44158	Mora de Rubielos	Familiar	Familiar principal	536
44159	Moscardón	Familiar	Familiar no principal	62
44159	Moscardón	Familiar	Familiar principal	27
44160	Mosqueruela	Colectiva	Colectiva	1
44160	Mosqueruela	Familiar	Familiar no principal	315
44160	Mosqueruela	Familiar	Familiar principal	265
44161	Muniesa	Colectiva	Colectiva	1
44161	Muniesa	Familiar	Familiar no principal	247
44161	Muniesa	Familiar	Familiar principal	299
44163	Noguera de Albarracín	Familiar	Familiar no principal	76
44163	Noguera de Albarracín	Familiar	Familiar principal	77
44164	Nogueras	Familiar	Familiar no principal	76
44164	Nogueras	Familiar	Familiar principal	8
44165	Nogueruelas	Colectiva	Colectiva	1
44165	Nogueruelas	Familiar	Familiar no principal	192
44165	Nogueruelas	Familiar	Familiar principal	89
44167	Obón	Familiar	Familiar no principal	211
44167	Obón	Familiar	Familiar principal	39
44168	Odón	Familiar	Familiar no principal	139
44168	Odón	Familiar	Familiar principal	97
44169	Ojos Negros	Familiar	Familiar no principal	331
44169	Ojos Negros	Familiar	Familiar principal	231
44171	Olba	Familiar	Familiar no principal	375
44171	Olba	Familiar	Familiar principal	96
44172	Oliete	Familiar	Familiar no principal	423
44172	Oliete	Familiar	Familiar principal	218
44173	Olmos (Los)	Familiar	Familiar no principal	117
44173	Olmos (Los)	Familiar	Familiar principal	55
44174	Orihuela del Tremedal	Familiar	Familiar no principal	242
44174	Orihuela del Tremedal	Familiar	Familiar principal	256
44175	Orrios	Familiar	Familiar no principal	62
44175	Orrios	Familiar	Familiar principal	62
44176	Palomar de Arroyos	Familiar	Familiar no principal	118
44176	Palomar de Arroyos	Familiar	Familiar principal	78
44177	Pancrudo	Familiar	Familiar no principal	136
44177	Pancrudo	Familiar	Familiar principal	64
44178	Parras de Castellote (Las)	Familiar	Familiar no principal	173
44178	Parras de Castellote (Las)	Familiar	Familiar principal	36
44179	Peñarroya de Tastavins	Familiar	Familiar no principal	228
44179	Peñarroya de Tastavins	Familiar	Familiar principal	198
44180	Peracense	Familiar	Familiar no principal	64
44180	Peracense	Familiar	Familiar principal	53
44181	Peralejos	Familiar	Familiar no principal	44
44181	Peralejos	Familiar	Familiar principal	36
44182	Perales del Alfambra	Familiar	Familiar no principal	113
44182	Perales del Alfambra	Familiar	Familiar principal	107
44183	Pitarque	Familiar	Familiar no principal	98
44183	Pitarque	Familiar	Familiar principal	46
44184	Plou	Familiar	Familiar no principal	57
44184	Plou	Familiar	Familiar principal	26
44185	Pobo (El)	Familiar	Familiar no principal	94
44185	Pobo (El)	Familiar	Familiar principal	60
44187	Portellada (La)	Familiar	Familiar no principal	100
44187	Portellada (La)	Familiar	Familiar principal	114
44189	Pozondón	Familiar	Familiar no principal	84
44189	Pozondón	Familiar	Familiar principal	41
44190	Pozuel del Campo	Familiar	Familiar no principal	107
44190	Pozuel del Campo	Familiar	Familiar principal	55
44191	Puebla de Híjar (La)	Familiar	Familiar no principal	472
44191	Puebla de Híjar (La)	Familiar	Familiar principal	411
44192	Puebla de Valverde (La)	Familiar	Familiar no principal	268
44192	Puebla de Valverde (La)	Familiar	Familiar principal	215
44193	Puertomingalvo	Colectiva	Colectiva	1
44193	Puertomingalvo	Familiar	Familiar no principal	152
44193	Puertomingalvo	Familiar	Familiar principal	67
44194	Ráfales	Familiar	Familiar no principal	94
44194	Ráfales	Familiar	Familiar principal	86
44195	Rillo	Familiar	Familiar no principal	63
44195	Rillo	Familiar	Familiar principal	54
44196	Riodeva	Familiar	Familiar no principal	120
44196	Riodeva	Familiar	Familiar principal	90
44197	Ródenas	Familiar	Familiar no principal	80
44197	Ródenas	Familiar	Familiar principal	37
44198	Royuela	Familiar	Familiar no principal	77
44198	Royuela	Familiar	Familiar principal	90
44199	Rubiales	Familiar	Familiar no principal	29
44199	Rubiales	Familiar	Familiar principal	23
44200	Rubielos de la Cérida	Familiar	Familiar no principal	57
44200	Rubielos de la Cérida	Familiar	Familiar principal	25
44201	Rubielos de Mora	Colectiva	Colectiva	1
44201	Rubielos de Mora	Familiar	Familiar no principal	521
44201	Rubielos de Mora	Familiar	Familiar principal	266
44203	Salcedillo	Familiar	Familiar no principal	27
44203	Salcedillo	Familiar	Familiar principal	6
44204	Saldón	Familiar	Familiar no principal	71
44204	Saldón	Familiar	Familiar principal	21
44205	Samper de Calanda	Familiar	Familiar no principal	303
44205	Samper de Calanda	Familiar	Familiar principal	408
44206	San Agustín	Familiar	Familiar no principal	143
44206	San Agustín	Familiar	Familiar principal	64
44207	San Martín del Río	Familiar	Familiar no principal	167
44207	San Martín del Río	Familiar	Familiar principal	127
44208	Santa Cruz de Nogueras	Familiar	Familiar no principal	36
44208	Santa Cruz de Nogueras	Familiar	Familiar principal	17
44209	Santa Eulalia	Familiar	Familiar no principal	344
44209	Santa Eulalia	Familiar	Familiar principal	491
44210	Sarrión	Colectiva	Colectiva	1
44210	Sarrión	Familiar	Familiar no principal	521
44210	Sarrión	Familiar	Familiar principal	407
44211	Segura de los Baños	Familiar	Familiar no principal	72
44211	Segura de los Baños	Familiar	Familiar principal	20
44212	Seno	Familiar	Familiar no principal	74
44212	Seno	Familiar	Familiar principal	23
44213	Singra	Familiar	Familiar no principal	61
44213	Singra	Familiar	Familiar principal	41
44215	Terriente	Familiar	Familiar no principal	118
44215	Terriente	Familiar	Familiar principal	71
44216	Teruel	Colectiva	Colectiva	18
44216	Teruel	Familiar	Familiar no principal	4946
44216	Teruel	Familiar	Familiar principal	10721
44217	Toril y Masegoso	Familiar	Familiar no principal	77
44217	Toril y Masegoso	Familiar	Familiar principal	14
44218	Tormón	Familiar	Familiar no principal	50
44218	Tormón	Familiar	Familiar principal	20
44219	Tornos	Familiar	Familiar no principal	152
44219	Tornos	Familiar	Familiar principal	112
44220	Torralba de los Sisones	Familiar	Familiar no principal	57
44220	Torralba de los Sisones	Familiar	Familiar principal	87
44221	Torrecilla de Alcañiz	Familiar	Familiar no principal	138
44221	Torrecilla de Alcañiz	Familiar	Familiar principal	161
44222	Torrecilla del Rebollar	Familiar	Familiar no principal	135
44222	Torrecilla del Rebollar	Familiar	Familiar principal	75
44223	Torre de Arcas	Familiar	Familiar no principal	51
44223	Torre de Arcas	Familiar	Familiar principal	39
44224	Torre de las Arcas	Familiar	Familiar no principal	81
44224	Torre de las Arcas	Familiar	Familiar principal	19
44225	Torre del Compte	Familiar	Familiar no principal	121
44225	Torre del Compte	Familiar	Familiar principal	78
44226	Torrelacárcel	Familiar	Familiar no principal	120
44226	Torrelacárcel	Familiar	Familiar principal	123
44227	Torre los Negros	Familiar	Familiar no principal	87
44227	Torre los Negros	Familiar	Familiar principal	34
44228	Torremocha de Jiloca	Familiar	Familiar no principal	55
44228	Torremocha de Jiloca	Familiar	Familiar principal	70
44229	Torres de Albarracín	Familiar	Familiar no principal	84
44229	Torres de Albarracín	Familiar	Familiar principal	66
44230	Torrevelilla	Familiar	Familiar no principal	105
44230	Torrevelilla	Familiar	Familiar principal	90
44231	Torrijas	Familiar	Familiar no principal	154
44231	Torrijas	Familiar	Familiar principal	36
44232	Torrijo del Campo	Familiar	Familiar no principal	152
44232	Torrijo del Campo	Familiar	Familiar principal	232
44234	Tramacastiel	Familiar	Familiar no principal	132
44234	Tramacastiel	Familiar	Familiar principal	49
44235	Tramacastilla	Familiar	Familiar no principal	72
44235	Tramacastilla	Familiar	Familiar principal	58
44236	Tronchón	Familiar	Familiar no principal	81
44236	Tronchón	Familiar	Familiar principal	46
44237	Urrea de Gaén	Familiar	Familiar no principal	193
44237	Urrea de Gaén	Familiar	Familiar principal	228
44238	Utrillas	Colectiva	Colectiva	3
44238	Utrillas	Familiar	Familiar no principal	505
44238	Utrillas	Familiar	Familiar principal	1098
44239	Valacloche	Familiar	Familiar no principal	56
44239	Valacloche	Familiar	Familiar principal	12
44240	Valbona	Familiar	Familiar no principal	185
44240	Valbona	Familiar	Familiar principal	87
44241	Valdealgorfa	Familiar	Familiar no principal	147
44241	Valdealgorfa	Familiar	Familiar principal	287
44243	Valdecuenca	Familiar	Familiar no principal	66
44243	Valdecuenca	Familiar	Familiar principal	17
44244	Valdelinares	Familiar	Familiar no principal	106
44244	Valdelinares	Familiar	Familiar principal	55
44245	Valdeltormo	Familiar	Familiar no principal	100
44245	Valdeltormo	Familiar	Familiar principal	142
44246	Valderrobres	Familiar	Familiar no principal	530
44246	Valderrobres	Familiar	Familiar principal	737
44247	Valjunquera	Familiar	Familiar no principal	137
44247	Valjunquera	Familiar	Familiar principal	169
44249	Vallecillo (El)	Familiar	Familiar no principal	51
44249	Vallecillo (El)	Familiar	Familiar principal	27
44250	Veguillas de la Sierra	Familiar	Familiar no principal	35
44250	Veguillas de la Sierra	Familiar	Familiar principal	14
44251	Villafranca del Campo	Familiar	Familiar no principal	127
44251	Villafranca del Campo	Familiar	Familiar principal	155
44252	Villahermosa del Campo	Familiar	Familiar no principal	35
44252	Villahermosa del Campo	Familiar	Familiar principal	31
44256	Villanueva del Rebollar de la Sierra	Familiar	Familiar no principal	72
44256	Villanueva del Rebollar de la Sierra	Familiar	Familiar principal	19
44257	Villar del Cobo	Familiar	Familiar no principal	56
44257	Villar del Cobo	Familiar	Familiar principal	89
44258	Villar del Salz	Familiar	Familiar no principal	57
44258	Villar del Salz	Familiar	Familiar principal	41
44260	Villarluengo	Familiar	Familiar no principal	120
44260	Villarluengo	Familiar	Familiar principal	90
44261	Villarquemado	Familiar	Familiar no principal	148
44261	Villarquemado	Familiar	Familiar principal	361
44262	Villarroya de los Pinares	Familiar	Familiar no principal	114
44262	Villarroya de los Pinares	Familiar	Familiar principal	81
44263	Villastar	Familiar	Familiar no principal	116
44263	Villastar	Familiar	Familiar principal	141
44264	Villel	Familiar	Familiar no principal	207
44264	Villel	Familiar	Familiar principal	151
44265	Vinaceite	Familiar	Familiar no principal	72
44265	Vinaceite	Familiar	Familiar principal	120
44266	Visiedo	Familiar	Familiar no principal	67
44266	Visiedo	Familiar	Familiar principal	83
44267	Vivel del Río Martín	Familiar	Familiar no principal	176
44267	Vivel del Río Martín	Familiar	Familiar principal	40
44268	Zoma (La)	Familiar	Familiar no principal	14
44268	Zoma (La)	Familiar	Familiar principal	8
50001	Abanto	Familiar	Familiar no principal	77
50001	Abanto	Familiar	Familiar principal	80
50002	Acered	Familiar	Familiar no principal	95
50002	Acered	Familiar	Familiar principal	109
50003	Agón	Familiar	Familiar no principal	52
50003	Agón	Familiar	Familiar principal	60
50004	Aguarón	Colectiva	Colectiva	1
50004	Aguarón	Familiar	Familiar no principal	211
50004	Aguarón	Familiar	Familiar principal	295
50005	Aguilón	Familiar	Familiar no principal	123
50005	Aguilón	Familiar	Familiar principal	134
50006	Ainzón	Colectiva	Colectiva	1
50006	Ainzón	Familiar	Familiar no principal	257
50006	Ainzón	Familiar	Familiar principal	510
50007	Aladrén	Familiar	Familiar no principal	117
50007	Aladrén	Familiar	Familiar principal	38
50008	Alagón	Colectiva	Colectiva	6
50008	Alagón	Familiar	Familiar no principal	564
50008	Alagón	Familiar	Familiar principal	1965
50009	Alarba	Familiar	Familiar no principal	134
50009	Alarba	Familiar	Familiar principal	59
50010	Alberite de San Juan	Familiar	Familiar no principal	40
50010	Alberite de San Juan	Familiar	Familiar principal	37
50011	Albeta	Familiar	Familiar no principal	34
50011	Albeta	Familiar	Familiar principal	52
50012	Alborge	Familiar	Familiar no principal	53
50012	Alborge	Familiar	Familiar principal	49
50013	Alcalá de Ebro	Familiar	Familiar no principal	68
50013	Alcalá de Ebro	Familiar	Familiar principal	109
50014	Alcalá de Moncayo	Familiar	Familiar no principal	26
50014	Alcalá de Moncayo	Familiar	Familiar principal	50
50015	Alconchel de Ariza	Familiar	Familiar no principal	135
50015	Alconchel de Ariza	Familiar	Familiar principal	53
50016	Aldehuela de Liestos	Familiar	Familiar no principal	84
50016	Aldehuela de Liestos	Familiar	Familiar principal	18
50017	Alfajarín	Colectiva	Colectiva	2
50017	Alfajarín	Familiar	Familiar no principal	178
50017	Alfajarín	Familiar	Familiar principal	559
50018	Alfamén	Familiar	Familiar no principal	116
50018	Alfamén	Familiar	Familiar principal	437
50019	Alforque	Familiar	Familiar no principal	75
50019	Alforque	Familiar	Familiar principal	35
50020	Alhama de Aragón	Familiar	Familiar no principal	337
50020	Alhama de Aragón	Familiar	Familiar principal	459
50021	Almochuel	Familiar	Familiar no principal	11
50021	Almochuel	Familiar	Familiar principal	25
50022	Almolda (La)	Familiar	Familiar no principal	119
50022	Almolda (La)	Familiar	Familiar principal	231
50023	Almonacid de la Cuba	Familiar	Familiar no principal	38
50023	Almonacid de la Cuba	Familiar	Familiar principal	124
50024	Almonacid de la Sierra	Colectiva	Colectiva	1
50024	Almonacid de la Sierra	Familiar	Familiar no principal	192
50024	Almonacid de la Sierra	Familiar	Familiar principal	317
50025	Almunia de Doña Godina (La)	Colectiva	Colectiva	5
50025	Almunia de Doña Godina (La)	Familiar	Familiar no principal	734
50025	Almunia de Doña Godina (La)	Familiar	Familiar principal	1997
50026	Alpartir	Familiar	Familiar no principal	126
50026	Alpartir	Familiar	Familiar principal	225
50027	Ambel	Familiar	Familiar no principal	185
50027	Ambel	Familiar	Familiar principal	147
50028	Anento	Familiar	Familiar no principal	103
50028	Anento	Familiar	Familiar principal	41
50029	Aniñón	Familiar	Familiar no principal	219
50029	Aniñón	Familiar	Familiar principal	321
50030	Añón de Moncayo	Colectiva	Colectiva	2
50030	Añón de Moncayo	Familiar	Familiar no principal	82
50030	Añón de Moncayo	Familiar	Familiar principal	115
50031	Aranda de Moncayo	Familiar	Familiar no principal	212
50031	Aranda de Moncayo	Familiar	Familiar principal	99
50032	Arándiga	Familiar	Familiar no principal	252
50032	Arándiga	Familiar	Familiar principal	202
50033	Ardisa	Familiar	Familiar no principal	83
50033	Ardisa	Familiar	Familiar principal	33
50034	Ariza	Colectiva	Colectiva	1
50034	Ariza	Familiar	Familiar no principal	361
50034	Ariza	Familiar	Familiar principal	491
50035	Artieda	Familiar	Familiar no principal	16
50035	Artieda	Familiar	Familiar principal	39
50036	Asín	Familiar	Familiar no principal	61
50036	Asín	Familiar	Familiar principal	40
50037	Atea	Familiar	Familiar no principal	132
50037	Atea	Familiar	Familiar principal	107
50038	Ateca	Colectiva	Colectiva	1
50038	Ateca	Familiar	Familiar no principal	505
50038	Ateca	Familiar	Familiar principal	753
50039	Azuara	Familiar	Familiar no principal	493
50039	Azuara	Familiar	Familiar principal	283
50040	Badules	Familiar	Familiar no principal	64
50040	Badules	Familiar	Familiar principal	48
50041	Bagüés	Familiar	Familiar no principal	8
50041	Bagüés	Familiar	Familiar principal	17
50042	Balconchán	Familiar	Familiar no principal	30
50042	Balconchán	Familiar	Familiar principal	12
50043	Bárboles	Familiar	Familiar no principal	115
50043	Bárboles	Familiar	Familiar principal	132
50044	Bardallur	Familiar	Familiar no principal	82
50044	Bardallur	Familiar	Familiar principal	117
50045	Belchite	Colectiva	Colectiva	1
50045	Belchite	Familiar	Familiar no principal	349
50045	Belchite	Familiar	Familiar principal	652
50046	Belmonte de Gracián	Familiar	Familiar no principal	92
50046	Belmonte de Gracián	Familiar	Familiar principal	111
50047	Berdejo	Familiar	Familiar no principal	75
50047	Berdejo	Familiar	Familiar principal	26
50048	Berrueco	Familiar	Familiar no principal	27
50048	Berrueco	Familiar	Familiar principal	16
50050	Bijuesca	Familiar	Familiar no principal	224
50050	Bijuesca	Familiar	Familiar principal	54
50051	Biota	Familiar	Familiar no principal	186
50051	Biota	Familiar	Familiar principal	456
50052	Bisimbre	Familiar	Familiar no principal	26
50052	Bisimbre	Familiar	Familiar principal	51
50053	Boquiñeni	Familiar	Familiar no principal	76
50053	Boquiñeni	Familiar	Familiar principal	364
50054	Bordalba	Familiar	Familiar no principal	123
50054	Bordalba	Familiar	Familiar principal	32
50055	Borja	Colectiva	Colectiva	6
50055	Borja	Familiar	Familiar no principal	1639
50055	Borja	Familiar	Familiar principal	1557
50056	Botorrita	Familiar	Familiar no principal	48
50056	Botorrita	Familiar	Familiar principal	191
50057	Brea de Aragón	Colectiva	Colectiva	1
50057	Brea de Aragón	Familiar	Familiar no principal	291
50057	Brea de Aragón	Familiar	Familiar principal	687
50058	Bubierca	Familiar	Familiar no principal	102
50058	Bubierca	Familiar	Familiar principal	44
50059	Bujaraloz	Colectiva	Colectiva	1
50059	Bujaraloz	Familiar	Familiar no principal	91
50059	Bujaraloz	Familiar	Familiar principal	350
50060	Bulbuente	Familiar	Familiar no principal	158
50060	Bulbuente	Familiar	Familiar principal	119
50061	Bureta	Familiar	Familiar no principal	49
50061	Bureta	Familiar	Familiar principal	120
50062	Burgo de Ebro (El)	Familiar	Familiar no principal	156
50062	Burgo de Ebro (El)	Familiar	Familiar principal	607
50063	Buste (El)	Familiar	Familiar no principal	79
50063	Buste (El)	Familiar	Familiar principal	39
50064	Cabañas de Ebro	Familiar	Familiar no principal	74
50064	Cabañas de Ebro	Familiar	Familiar principal	196
50065	Cabolafuente	Familiar	Familiar no principal	89
50065	Cabolafuente	Familiar	Familiar principal	19
50066	Cadrete	Colectiva	Colectiva	1
50066	Cadrete	Familiar	Familiar no principal	388
50066	Cadrete	Familiar	Familiar principal	684
50067	Calatayud	Colectiva	Colectiva	12
50067	Calatayud	Familiar	Familiar no principal	2415
50067	Calatayud	Familiar	Familiar principal	6471
50068	Calatorao	Colectiva	Colectiva	1
50068	Calatorao	Familiar	Familiar no principal	399
50068	Calatorao	Familiar	Familiar principal	1038
50069	Calcena	Colectiva	Colectiva	1
50069	Calcena	Familiar	Familiar no principal	43
50069	Calcena	Familiar	Familiar principal	54
50070	Calmarza	Familiar	Familiar no principal	56
50070	Calmarza	Familiar	Familiar principal	40
50071	Campillo de Aragón	Familiar	Familiar no principal	148
50071	Campillo de Aragón	Familiar	Familiar principal	76
50072	Carenas	Familiar	Familiar no principal	350
50072	Carenas	Familiar	Familiar principal	97
50073	Cariñena	Familiar	Familiar no principal	374
50073	Cariñena	Familiar	Familiar principal	1095
50074	Caspe	Colectiva	Colectiva	3
50074	Caspe	Familiar	Familiar no principal	1307
50074	Caspe	Familiar	Familiar principal	2878
50075	Castejón de Alarba	Familiar	Familiar no principal	106
50075	Castejón de Alarba	Familiar	Familiar principal	44
50076	Castejón de las Armas	Familiar	Familiar no principal	69
50076	Castejón de las Armas	Familiar	Familiar principal	57
50077	Castejón de Valdejasa	Colectiva	Colectiva	1
50077	Castejón de Valdejasa	Familiar	Familiar no principal	92
50077	Castejón de Valdejasa	Familiar	Familiar principal	132
50078	Castiliscar	Familiar	Familiar no principal	227
50078	Castiliscar	Familiar	Familiar principal	149
50079	Cervera de la Cañada	Familiar	Familiar no principal	98
50079	Cervera de la Cañada	Familiar	Familiar principal	134
50080	Cerveruela	Familiar	Familiar no principal	86
50080	Cerveruela	Familiar	Familiar principal	21
50081	Cetina	Familiar	Familiar no principal	332
50081	Cetina	Familiar	Familiar principal	312
50082	Cimballa	Familiar	Familiar no principal	118
50082	Cimballa	Familiar	Familiar principal	62
50083	Cinco Olivas	Familiar	Familiar no principal	65
50083	Cinco Olivas	Familiar	Familiar principal	55
50084	Clarés de Ribota	Familiar	Familiar no principal	74
50084	Clarés de Ribota	Familiar	Familiar principal	53
50085	Codo	Familiar	Familiar no principal	171
50085	Codo	Familiar	Familiar principal	114
