Año	Comarca código	Comarca nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2016	25	Jiloca	23538	86558,48	86178,4	508892	465230
2016	26	Cuencas Mineras	13769	42964,85	42536,18	286116	229871
2016	27	Andorra-Sierra de Arcos	8730	32947,8	31515,37	211358	185715
2016	28	Bajo Aragón	17470	87683,56	86869,81	707484	677046
2016	29	Comunidad de Teruel	25264	95211,3	92294,94	575608	467524
2016	30	Maestrazgo	7169	32261,21	30961,93	205997	159015
2016	31	Sierra de Albarracín	12389	54246,7	21252,06	101420	68958
2016	32	Gúdar-Javalambre	19702	58436,05	43935,69	302968	197169
2016	33	Matarraña / Matarranya	13551	40907,98	37937,35	185950	158663
2017	01	La Jacetania	2971	78342	75146	412446	412446
2017	02	Alto Gállego	1477	36232	33000	231130	231130
2017	03	Sobrarbe	2871	58917	55224	389757	389624
2017	04	La Ribagorza	4899	83478	80872	480475	480475
2017	05	Cinco Villas	12556	349330	344474	2244175	2244175
2017	06	Hoya de Huesca / Plana de Uesca	9516	222179	220853	1459548	1454072
2017	07	Somontano de Barbastro	7164	110149	109593	819714	819434
2017	08	Cinca Medio	5824	139682	139682	1060084	1060084
2017	09	La Litera / La Llitera	6350	230390	220264	1701454	1701454
2017	10	Los Monegros	10657	318276	318256	2374257	2369142
2017	11	Bajo Cinca / Baix Cinca	8527	333106	332928	2084788	1872894
2017	12	Tarazona y el Moncayo	7823	39123	38895	278678	276938
2017	13	Campo de Borja	9808	60660	59471	460893	460893
2017	14	Aranda	6460	16863	16178	71074	66419
2017	15	Ribera Alta del Ebro	7064	98596	96547	641313	641313
2017	16	Valdejalón	9165	159323	157117	1077269	1077269
2017	17	D.C. Zaragoza	28616	722533	665863	4534275	3900654
2017	18	Ribera Baja del Ebro	5104	93754	93734	584749	584749
2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	31826	102013	101836	622810	622810
2017	20	Comunidad de Calatayud	29740	121681	119516	726316	726316
2017	21	Campo de Cariñena	6094	59586	59100	450305	450305
2017	22	Campo de Belchite	6787	41934	41172	282347	282347
2017	23	Bajo Martín	8156	45330	45330	328592	292741
2017	24	Campo de Daroca	9390	49996	49239	247079	247079
2017	25	Jiloca	23530	86634	86634	505943	461471
2017	26	Cuencas Mineras	13834	44543	44543	296306	239645
2017	27	Andorra-Sierra de Arcos	8761	32226	32226	209179	186296
2017	28	Bajo Aragón	17499	87688	87688	712012	678966
2017	29	Comunidad de Teruel	25262	99031	99031	611527	491449
2017	30	Maestrazgo	7162	33277	33277	220275	168893
2017	31	Sierra de Albarracín	12439	53921	53921	312327	64371
2017	32	Gúdar-Javalambre	19791	57855	57855	391072	188642
2017	33	Matarraña / Matarranya	13638	40900	40900	201969	160478
