Comarca código	Comarca nombre	Tipo estudios	Personas residentes viviendas familiares
24	Campo de Daroca	Salud, Servicios Sociales	80
24	Campo de Daroca	Otros Servicios	39
25	Jiloca	Derecho	57
25	Jiloca	Magisterio, Educación infantil...	220
25	Jiloca	Ciencias Sociales	191
25	Jiloca	Artes y Humanidades	88
25	Jiloca	Informática	20
25	Jiloca	Ingenierías	90
25	Jiloca	Formación Técnica e Industrial	270
25	Jiloca	Ciencias	57
25	Jiloca	Arquitectura o Construcción	16
25	Jiloca	Agricultura, Veterinaria,...	87
25	Jiloca	Salud, Servicios Sociales	185
25	Jiloca	Otros Servicios	50
26	Cuencas Mineras	Derecho	26
26	Cuencas Mineras	Magisterio, Educación infantil...	100
26	Cuencas Mineras	Ciencias Sociales	122
26	Cuencas Mineras	Artes y Humanidades	27
26	Cuencas Mineras	Informática	15
26	Cuencas Mineras	Ingenierías	48
26	Cuencas Mineras	Formación Técnica e Industrial	230
26	Cuencas Mineras	Ciencias	25
26	Cuencas Mineras	Arquitectura o Construcción	8
26	Cuencas Mineras	Agricultura, Veterinaria,...	21
26	Cuencas Mineras	Salud, Servicios Sociales	101
26	Cuencas Mineras	Otros Servicios	40
27	Andorra-Sierra de Arcos	Derecho	29
27	Andorra-Sierra de Arcos	Magisterio, Educación infantil...	166
27	Andorra-Sierra de Arcos	Ciencias Sociales	211
27	Andorra-Sierra de Arcos	Artes y Humanidades	61
27	Andorra-Sierra de Arcos	Informática	26
27	Andorra-Sierra de Arcos	Ingenierías	79
27	Andorra-Sierra de Arcos	Formación Técnica e Industrial	468
27	Andorra-Sierra de Arcos	Ciencias	31
27	Andorra-Sierra de Arcos	Arquitectura o Construcción	10
27	Andorra-Sierra de Arcos	Agricultura, Veterinaria,...	23
27	Andorra-Sierra de Arcos	Salud, Servicios Sociales	140
27	Andorra-Sierra de Arcos	Otros Servicios	54
28	Bajo Aragón	Derecho	112
28	Bajo Aragón	Magisterio, Educación infantil...	394
28	Bajo Aragón	Ciencias Sociales	537
28	Bajo Aragón	Artes y Humanidades	222
28	Bajo Aragón	Informática	87
28	Bajo Aragón	Ingenierías	144
28	Bajo Aragón	Formación Técnica e Industrial	678
28	Bajo Aragón	Ciencias	120
28	Bajo Aragón	Arquitectura o Construcción	45
28	Bajo Aragón	Agricultura, Veterinaria,...	94
28	Bajo Aragón	Salud, Servicios Sociales	483
28	Bajo Aragón	Otros Servicios	105
29	Comunidad de Teruel	Derecho	475
29	Comunidad de Teruel	Magisterio, Educación infantil...	1163
29	Comunidad de Teruel	Ciencias Sociales	1184
29	Comunidad de Teruel	Artes y Humanidades	558
29	Comunidad de Teruel	Informática	96
29	Comunidad de Teruel	Ingenierías	374
29	Comunidad de Teruel	Formación Técnica e Industrial	1309
29	Comunidad de Teruel	Ciencias	205
29	Comunidad de Teruel	Arquitectura o Construcción	119
29	Comunidad de Teruel	Agricultura, Veterinaria,...	213
29	Comunidad de Teruel	Salud, Servicios Sociales	1364
29	Comunidad de Teruel	Otros Servicios	239
30	Maestrazgo	Derecho	15
30	Maestrazgo	Magisterio, Educación infantil...	49
30	Maestrazgo	Ciencias Sociales	36
30	Maestrazgo	Artes y Humanidades	7
30	Maestrazgo	Informática	3
30	Maestrazgo	Ingenierías	14
30	Maestrazgo	Formación Técnica e Industrial	39
30	Maestrazgo	Ciencias	11
30	Maestrazgo	Arquitectura o Construcción	6
30	Maestrazgo	Agricultura, Veterinaria,...	13
30	Maestrazgo	Salud, Servicios Sociales	35
30	Maestrazgo	Otros Servicios	16
31	Sierra de Albarracín	Derecho	12
31	Sierra de Albarracín	Magisterio, Educación infantil...	88
31	Sierra de Albarracín	Ciencias Sociales	55
31	Sierra de Albarracín	Artes y Humanidades	33
31	Sierra de Albarracín	Informática	2
31	Sierra de Albarracín	Ingenierías	18
31	Sierra de Albarracín	Formación Técnica e Industrial	110
31	Sierra de Albarracín	Ciencias	19
31	Sierra de Albarracín	Arquitectura o Construcción	10
31	Sierra de Albarracín	Agricultura, Veterinaria,...	7
31	Sierra de Albarracín	Salud, Servicios Sociales	60
31	Sierra de Albarracín	Otros Servicios	12
32	Gúdar-Javalambre	Derecho	36
32	Gúdar-Javalambre	Magisterio, Educación infantil...	97
32	Gúdar-Javalambre	Ciencias Sociales	128
32	Gúdar-Javalambre	Artes y Humanidades	34
32	Gúdar-Javalambre	Informática	16
32	Gúdar-Javalambre	Ingenierías	29
32	Gúdar-Javalambre	Formación Técnica e Industrial	201
32	Gúdar-Javalambre	Ciencias	24
32	Gúdar-Javalambre	Arquitectura o Construcción	21
32	Gúdar-Javalambre	Agricultura, Veterinaria,...	35
32	Gúdar-Javalambre	Salud, Servicios Sociales	101
32	Gúdar-Javalambre	Otros Servicios	41
33	Matarraña / Matarranya	Derecho	25
33	Matarraña / Matarranya	Magisterio, Educación infantil...	89
33	Matarraña / Matarranya	Ciencias Sociales	159
33	Matarraña / Matarranya	Artes y Humanidades	36
33	Matarraña / Matarranya	Informática	10
33	Matarraña / Matarranya	Ingenierías	30
33	Matarraña / Matarranya	Formación Técnica e Industrial	136
33	Matarraña / Matarranya	Ciencias	28
33	Matarraña / Matarranya	Arquitectura o Construcción	8
33	Matarraña / Matarranya	Agricultura, Veterinaria,...	30
33	Matarraña / Matarranya	Salud, Servicios Sociales	73
33	Matarraña / Matarranya	Otros Servicios	33
