Comarca código	Comarca nombre	Año	Sistema de cultivo	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Eriales	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos	Total (A+B+C+D)
06	Hoya de Huesca / Plana de Uesca	2016	Regadío	24748	21969	1844	935	0	0	0	19	19	0	0	0	0	0	0	0	0	24767
06	Hoya de Huesca / Plana de Uesca	2016	Secano	99634	84936	8746	5952	41551	0	896	71838	49800	9915	12123	14766	40655	0	4121	6598	4047	227789
07	Somontano de Barbastro	2016	Regadío	16539	13447	1520	1572	0	0	0	23	23	0	0	0	0	0	0	0	0	16562
07	Somontano de Barbastro	2016	Secano	36088	23523	5091	7474	21390	0	336	35534	18301	10299	6934	7099	21054	0	1108	3351	2640	100111
08	Cinca Medio	2016	Regadío	34284	29343	2233	2708	0	0	0	62	62	0	0	0	0	0	0	0	0	34346
08	Cinca Medio	2016	Secano	5314	3190	1770	354	6221	0	790	6026	1262	580	4184	5756	5431	0	1147	2169	2440	23317
09	La Litera / La Llitera	2016	Regadío	26636	22626	2313	1697	0	0	0	2	2	0	0	0	0	0	0	0	0	26638
09	La Litera / La Llitera	2016	Secano	16393	12172	2657	1564	8572	0	110	17216	7421	7047	2748	4567	8462	0	1483	1982	1102	46748
10	Los Monegros	2016	Regadío	76847	71381	4493	973	0	0	0	182	182	0	0	0	0	0	0	0	0	77029
10	Los Monegros	2016	Secano	105127	62929	40930	1268	52558	0	20625	26240	20311	3556	2373	15578	31933	0	2545	8490	4543	199503
11	Bajo Cinca / Baix Cinca	2016	Regadío	33864	16057	3032	14775	0	0	0	22	22	0	0	0	0	0	0	0	0	33886
11	Bajo Cinca / Baix Cinca	2016	Secano	38201	16741	18693	2767	29778	0	10690	29733	14040	15693	0	10635	19088	0	1657	4271	4707	108347
12	Tarazona y el Moncayo	2016	Regadío	4376	2751	853	772	0	0	0	52	52	0	0	0	0	0	0	0	0	4428
12	Tarazona y el Moncayo	2016	Secano	8406	3722	3931	753	17136	0	6806	12834	8629	1085	3120	2414	10330	0	643	1352	419	40790
13	Campo de Borja	2016	Regadío	10373	5105	952	4316	0	0	0	12	12	0	0	0	0	0	0	0	0	10385
13	Campo de Borja	2016	Secano	23852	7525	7920	8407	20417	0	8820	10514	6129	4385	0	3910	11597	0	777	1898	1235	58693
14	Aranda	2016	Regadío	330	87	30	213	0	0	0	4	4	0	0	0	0	0	0	0	0	334
14	Aranda	2016	Secano	6408	1973	1847	2588	23843	0	10949	23730	10089	4699	8942	1785	12894	0	240	967	578	55766
15	Ribera Alta del Ebro	2016	Regadío	14726	13861	249	616	0	0	0	215	215	0	0	0	0	0	0	0	0	14941
15	Ribera Alta del Ebro	2016	Secano	10149	5612	4459	78	7895	0	3116	2364	2126	238	0	6222	4779	0	1859	2381	1982	26630
16	Valdejalón	2016	Regadío	15172	5419	987	8766	0	0	0	51	51	0	0	0	0	0	0	0	0	15223
16	Valdejalón	2016	Secano	34656	14601	14553	5502	30233	0	9276	6344	5072	1272	0	6875	20957	0	1933	3932	1010	78108
17	Central	2016	Regadío	27351	24825	906	1620	0	0	0	82	82	0	0	0	0	0	0	0	0	27433
17	Central	2016	Secano	56610	30755	25422	433	95987	0	40121	18466	15548	2918	0	27249	55866	0	9124	15873	2252	198312
18	Ribera Baja del Ebro	2016	Regadío	14256	11701	509	2046	0	0	0	4	4	0	0	0	0	0	0	0	0	14260
18	Ribera Baja del Ebro	2016	Secano	41220	20979	20085	156	32056	0	10985	5150	2281	2869	0	6304	21071	0	1107	3016	2181	84730
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2016	Regadío	11817	4327	838	6652	0	0	0	0	0	0	0	0	0	0	0	0	0	11817
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2016	Secano	23041	6788	7349	8904	33693	0	9120	22342	12846	9496	0	8827	24573	0	554	2688	5585	87903
20	Comunidad de Calatayud	2016	Regadío	7937	3390	618	3929	0	0	0	77	77	0	0	0	0	0	0	0	0	8014
20	Comunidad de Calatayud	2016	Secano	61451	29646	17307	14498	103187	0	47900	67325	37517	14086	15722	11931	55287	0	1460	6290	4181	243894
21	Campo de Cariñena	2016	Regadío	7935	1878	799	5258	0	0	0	11	11	0	0	0	0	0	0	0	0	7946
21	Campo de Cariñena	2016	Secano	36155	12947	12508	10700	17558	0	9613	11441	10749	692	0	4095	7945	0	744	2502	849	69249
22	Campo de Belchite	2016	Regadío	4121	1281	772	2068	0	0	0	11	11	0	0	0	0	0	0	0	0	4132
22	Campo de Belchite	2016	Secano	62042	31521	28659	1862	29243	0	9361	5543	4812	731	0	3412	19882	0	480	2116	816	100240
23	Bajo Martín	2016	Regadío	4154	2613	702	839	0	0	0	6	6	0	0	0	0	0	0	0	0	4160
23	Bajo Martín	2016	Secano	45742	21187	21268	3287	19893	0	5602	6919	6540	379	0	2806	14291	0	656	1702	448	75360
24	Campo de Daroca	2016	Regadío	1562	1398	102	62	0	0	0	29	29	0	0	0	0	0	0	0	0	1591
