Comarca código	Comarca nombre	Continente	Area nacionalidad, código	Area nacionalidad	Nivel estudios (agregado)	Grado de formación
08	Cinca Medio	Oceanía	08	Oceanía	Primer grado	3
08	Cinca Medio	Oceanía	08	Oceanía	Segundo grado	5
09	La Litera / La Llitera	Europa	01	UE-15	Sin estudios	5
09	La Litera / La Llitera	Europa	01	UE-15	Primer grado	10
09	La Litera / La Llitera	Europa	01	UE-15	Segundo grado	9
09	La Litera / La Llitera	Europa	01	UE-15	Tercer grado	5
09	La Litera / La Llitera	Europa	02	Resto de Europa	Analfabetos	6
09	La Litera / La Llitera	Europa	02	Resto de Europa	Sin estudios	11
09	La Litera / La Llitera	Europa	02	Resto de Europa	Primer grado	16
09	La Litera / La Llitera	Europa	02	Resto de Europa	Segundo grado	44
09	La Litera / La Llitera	Europa	02	Resto de Europa	Tercer grado	5
09	La Litera / La Llitera	África	03	Magreb	Analfabetos	11
09	La Litera / La Llitera	África	03	Magreb	Sin estudios	3
09	La Litera / La Llitera	África	03	Magreb	Primer grado	20
09	La Litera / La Llitera	África	03	Magreb	Segundo grado	22
09	La Litera / La Llitera	África	03	Magreb	Tercer grado	3
09	La Litera / La Llitera	África	04	Resto de África	Analfabetos	91
09	La Litera / La Llitera	África	04	Resto de África	Sin estudios	92
09	La Litera / La Llitera	África	04	Resto de África	Primer grado	32
09	La Litera / La Llitera	África	04	Resto de África	Segundo grado	28
09	La Litera / La Llitera	África	04	Resto de África	Tercer grado	6
09	La Litera / La Llitera	América	05	América del Norte	Segundo grado	3
09	La Litera / La Llitera	América	06	Resto de América	Analfabetos	6
09	La Litera / La Llitera	América	06	Resto de América	Sin estudios	21
09	La Litera / La Llitera	América	06	Resto de América	Primer grado	56
09	La Litera / La Llitera	América	06	Resto de América	Segundo grado	72
09	La Litera / La Llitera	América	06	Resto de América	Tercer grado	8
09	La Litera / La Llitera	Asia	07	Asia	Primer grado	2
09	La Litera / La Llitera	Asia	07	Asia	Segundo grado	4
09	La Litera / La Llitera	Asia	07	Asia	Tercer grado	1
09	La Litera / La Llitera	Oceanía	08	Oceanía	Analfabetos	1
09	La Litera / La Llitera	Oceanía	08	Oceanía	Primer grado	1
09	La Litera / La Llitera	Oceanía	08	Oceanía	Tercer grado	1
10	Los Monegros	Europa	01	UE-15	Analfabetos	1
10	Los Monegros	Europa	01	UE-15	Sin estudios	4
10	Los Monegros	Europa	01	UE-15	Primer grado	6
