Comarca codigo	Comarca nombre	Nivel estudios, código	Nivel estudios	Sexo, código	Sexo	Personas
12	Tarazona y el Moncayo	7	FP Grado Superior	1	Hombre	312,0609494204
13	Campo de Borja	7	FP Grado Superior	1	Hombre	415,8192717842
14	Aranda	7	FP Grado Superior	1	Hombre	80,3387294278
15	Ribera Alta del Ebro	7	FP Grado Superior	1	Hombre	994,2598782478
16	Valdejalón	7	FP Grado Superior	1	Hombre	959,4552918468
17	D.C. Zaragoza	7	FP Grado Superior	1	Hombre	25712,1889591831
18	Ribera Baja del Ebro	7	FP Grado Superior	1	Hombre	277,1503758028
19	Bajo Aragón-Caspe / Baix Aragó-Casp	7	FP Grado Superior	1	Hombre	321,8566882332
20	Comunidad de Calatayud	7	FP Grado Superior	1	Hombre	1308,2075275655
21	Campo de Cariñena	7	FP Grado Superior	1	Hombre	183,4795288958
22	Campo de Belchite	7	FP Grado Superior	1	Hombre	84,1845056373
23	Bajo Martín	7	FP Grado Superior	1	Hombre	96,2276094604
24	Campo de Daroca	7	FP Grado Superior	1	Hombre	146,0074415714
25	Jiloca	7	FP Grado Superior	1	Hombre	267,4141841208
26	Cuencas Mineras	7	FP Grado Superior	1	Hombre	176,2987000051
27	Andorra-Sierra de Arcos	7	FP Grado Superior	1	Hombre	402,1408189603
28	Bajo Aragón	7	FP Grado Superior	1	Hombre	687,5393100729
29	Comunidad de Teruel	7	FP Grado Superior	1	Hombre	1347,2075651184
30	Maestrazgo	7	FP Grado Superior	1	Hombre	68,2103073731
31	Sierra de Albarracín	7	FP Grado Superior	1	Hombre	129,3629586918
32	Gúdar-Javalambre	7	FP Grado Superior	1	Hombre	192,9401347973
33	Matarraña / Matarranya	7	FP Grado Superior	1	Hombre	190,2048864047
01	La Jacetania	8	Diplomatura	1	Hombre	567,3632145725
02	Alto Gállego	8	Diplomatura	1	Hombre	306,1048938482
03	Sobrarbe	8	Diplomatura	1	Hombre	177,1810839533
04	La Ribagorza	8	Diplomatura	1	Hombre	296,0560867226
05	Cinco Villas	8	Diplomatura	1	Hombre	652,5460934076
06	Hoya de Huesca / Plana de Uesca	8	Diplomatura	1	Hombre	1966,0018354118
07	Somontano de Barbastro	8	Diplomatura	1	Hombre	484,3539715136
08	Cinca Medio	8	Diplomatura	1	Hombre	543,1656296811
09	La Litera / La Llitera	8	Diplomatura	1	Hombre	239,9374129587
10	Los Monegros	8	Diplomatura	1	Hombre	250,6939977248
11	Bajo Cinca / Baix Cinca	8	Diplomatura	1	Hombre	312,9705313614
12	Tarazona y el Moncayo	8	Diplomatura	1	Hombre	219,9156764841
13	Campo de Borja	8	Diplomatura	1	Hombre	131,0800770036
14	Aranda	8	Diplomatura	1	Hombre	85,1042932468
15	Ribera Alta del Ebro	8	Diplomatura	1	Hombre	350,4661299882
16	Valdejalón	8	Diplomatura	1	Hombre	403,7798385992
17	D.C. Zaragoza	8	Diplomatura	1	Hombre	22562,3208193861
18	Ribera Baja del Ebro	8	Diplomatura	1	Hombre	79,7624006634
19	Bajo Aragón-Caspe / Baix Aragó-Casp	8	Diplomatura	1	Hombre	232,1780299149
20	Comunidad de Calatayud	8	Diplomatura	1	Hombre	634,2538163105
21	Campo de Cariñena	8	Diplomatura	1	Hombre	117,2477422598
22	Campo de Belchite	8	Diplomatura	1	Hombre	43,5489804986
23	Bajo Martín	8	Diplomatura	1	Hombre	83,8591355065
24	Campo de Daroca	8	Diplomatura	1	Hombre	98,4080634918
25	Jiloca	8	Diplomatura	1	Hombre	233,9686390591
26	Cuencas Mineras	8	Diplomatura	1	Hombre	69,4483335316
27	Andorra-Sierra de Arcos	8	Diplomatura	1	Hombre	202,7641272936
28	Bajo Aragón	8	Diplomatura	1	Hombre	510,2401307807
29	Comunidad de Teruel	8	Diplomatura	1	Hombre	1270,390083039
30	Maestrazgo	8	Diplomatura	1	Hombre	40,4307202304
31	Sierra de Albarracín	8	Diplomatura	1	Hombre	63,6177133825
32	Gúdar-Javalambre	8	Diplomatura	1	Hombre	101,7289243391
33	Matarraña / Matarranya	8	Diplomatura	1	Hombre	109,5680680824
01	La Jacetania	9	Licenciatura y Grado	1	Hombre	120,2770088143
02	Alto Gállego	9	Licenciatura y Grado	1	Hombre	101,0802928574
03	Sobrarbe	9	Licenciatura y Grado	1	Hombre	60,9309663485
04	La Ribagorza	9	Licenciatura y Grado	1	Hombre	105,1457393921
05	Cinco Villas	9	Licenciatura y Grado	1	Hombre	106,6135924368
06	Hoya de Huesca / Plana de Uesca	9	Licenciatura y Grado	1	Hombre	412,5017229011
07	Somontano de Barbastro	9	Licenciatura y Grado	1	Hombre	84,4236694026
08	Cinca Medio	9	Licenciatura y Grado	1	Hombre	47,8404054146
09	La Litera / La Llitera	9	Licenciatura y Grado	1	Hombre	38,7135258515
10	Los Monegros	9	Licenciatura y Grado	1	Hombre	50,2059740848
11	Bajo Cinca / Baix Cinca	9	Licenciatura y Grado	1	Hombre	140,1199409365
12	Tarazona y el Moncayo	9	Licenciatura y Grado	1	Hombre	36,6095742785
13	Campo de Borja	9	Licenciatura y Grado	1	Hombre	39,1977452208
14	Aranda	9	Licenciatura y Grado	1	Hombre	14,5943202091
15	Ribera Alta del Ebro	9	Licenciatura y Grado	1	Hombre	80,2791343521
16	Valdejalón	9	Licenciatura y Grado	1	Hombre	94,2719267503
17	D.C. Zaragoza	9	Licenciatura y Grado	1	Hombre	4569,9439982775
18	Ribera Baja del Ebro	9	Licenciatura y Grado	1	Hombre	28,718111216
19	Bajo Aragón-Caspe / Baix Aragó-Casp	9	Licenciatura y Grado	1	Hombre	24,9644602867
20	Comunidad de Calatayud	9	Licenciatura y Grado	1	Hombre	232,6236581548
21	Campo de Cariñena	9	Licenciatura y Grado	1	Hombre	71,4050653935
22	Campo de Belchite	9	Licenciatura y Grado	1	Hombre	25,7135657777
23	Bajo Martín	9	Licenciatura y Grado	1	Hombre	15,6039508795
24	Campo de Daroca	9	Licenciatura y Grado	1	Hombre	13,2623810694
25	Jiloca	9	Licenciatura y Grado	1	Hombre	20,5955296758
26	Cuencas Mineras	9	Licenciatura y Grado	1	Hombre	23,0888742226
27	Andorra-Sierra de Arcos	9	Licenciatura y Grado	1	Hombre	6,0781359809
28	Bajo Aragón	9	Licenciatura y Grado	1	Hombre	95,5317801237
29	Comunidad de Teruel	9	Licenciatura y Grado	1	Hombre	191,0944748398
30	Maestrazgo	9	Licenciatura y Grado	1	Hombre	2,5776720006
31	Sierra de Albarracín	9	Licenciatura y Grado	1	Hombre	15,7897144523
32	Gúdar-Javalambre	9	Licenciatura y Grado	1	Hombre	29,5409971988
33	Matarraña / Matarranya	9	Licenciatura y Grado	1	Hombre	26,2457710067
01	La Jacetania	10	Licenciatura y Grado	1	Hombre	484,9032492778
02	Alto Gállego	10	Licenciatura y Grado	1	Hombre	360,9002747967
03	Sobrarbe	10	Licenciatura y Grado	1	Hombre	145,4868883757
04	La Ribagorza	10	Licenciatura y Grado	1	Hombre	341,542258451
05	Cinco Villas	10	Licenciatura y Grado	1	Hombre	580,9337311126
06	Hoya de Huesca / Plana de Uesca	10	Licenciatura y Grado	1	Hombre	2304,7729577256
07	Somontano de Barbastro	10	Licenciatura y Grado	1	Hombre	490,322188639
08	Cinca Medio	10	Licenciatura y Grado	1	Hombre	427,4427567026
09	La Litera / La Llitera	10	Licenciatura y Grado	1	Hombre	296,5757455291
10	Los Monegros	10	Licenciatura y Grado	1	Hombre	315,0910793403
11	Bajo Cinca / Baix Cinca	10	Licenciatura y Grado	1	Hombre	299,4959433515
12	Tarazona y el Moncayo	10	Licenciatura y Grado	1	Hombre	122,0921530219
13	Campo de Borja	10	Licenciatura y Grado	1	Hombre	182,3302719074
14	Aranda	10	Licenciatura y Grado	1	Hombre	46,3800828595
15	Ribera Alta del Ebro	10	Licenciatura y Grado	1	Hombre	370,7266359833
16	Valdejalón	10	Licenciatura y Grado	1	Hombre	451,9013275016
17	D.C. Zaragoza	10	Licenciatura y Grado	1	Hombre	28321,0451327706
18	Ribera Baja del Ebro	10	Licenciatura y Grado	1	Hombre	92,502410936
19	Bajo Aragón-Caspe / Baix Aragó-Casp	10	Licenciatura y Grado	1	Hombre	142,4358230712
20	Comunidad de Calatayud	10	Licenciatura y Grado	1	Hombre	768,8140361128
21	Campo de Cariñena	10	Licenciatura y Grado	1	Hombre	182,6974772003
22	Campo de Belchite	10	Licenciatura y Grado	1	Hombre	60,0321117865
23	Bajo Martín	10	Licenciatura y Grado	1	Hombre	65,9798403912
24	Campo de Daroca	10	Licenciatura y Grado	1	Hombre	94,8317617317
25	Jiloca	10	Licenciatura y Grado	1	Hombre	157,0959476884
26	Cuencas Mineras	10	Licenciatura y Grado	1	Hombre	107,8347471297
27	Andorra-Sierra de Arcos	10	Licenciatura y Grado	1	Hombre	67,1825152122
28	Bajo Aragón	10	Licenciatura y Grado	1	Hombre	505,6415117852
29	Comunidad de Teruel	10	Licenciatura y Grado	1	Hombre	1056,0668183273
30	Maestrazgo	10	Licenciatura y Grado	1	Hombre	34,0955886816
31	Sierra de Albarracín	10	Licenciatura y Grado	1	Hombre	45,9055479906
32	Gúdar-Javalambre	10	Licenciatura y Grado	1	Hombre	122,4106593125
33	Matarraña / Matarranya	10	Licenciatura y Grado	1	Hombre	100,2304696184
01	La Jacetania	11	Doctorado y Máster	1	Hombre	114,4494903423
02	Alto Gállego	11	Doctorado y Máster	1	Hombre	73,4842040458
03	Sobrarbe	11	Doctorado y Máster	1	Hombre	10,4670723555
04	La Ribagorza	11	Doctorado y Máster	1	Hombre	66,5032530286
05	Cinco Villas	11	Doctorado y Máster	1	Hombre	43,1124785082
06	Hoya de Huesca / Plana de Uesca	11	Doctorado y Máster	1	Hombre	229,0513900661
07	Somontano de Barbastro	11	Doctorado y Máster	1	Hombre	55,9692890273
08	Cinca Medio	11	Doctorado y Máster	1	Hombre	49,976727751
09	La Litera / La Llitera	11	Doctorado y Máster	1	Hombre	30,1612108951
10	Los Monegros	11	Doctorado y Máster	1	Hombre	25,0724774547
11	Bajo Cinca / Baix Cinca	11	Doctorado y Máster	1	Hombre	33,1175284311
12	Tarazona y el Moncayo	11	Doctorado y Máster	1	Hombre	26,918392375
13	Campo de Borja	11	Doctorado y Máster	1	Hombre	4,9824839064
15	Ribera Alta del Ebro	11	Doctorado y Máster	1	Hombre	40,3115753372
16	Valdejalón	11	Doctorado y Máster	1	Hombre	73,2670181901
17	D.C. Zaragoza	11	Doctorado y Máster	1	Hombre	3772,974571211
18	Ribera Baja del Ebro	11	Doctorado y Máster	1	Hombre	3,0465906909
19	Bajo Aragón-Caspe / Baix Aragó-Casp	11	Doctorado y Máster	1	Hombre	34,6760884175
20	Comunidad de Calatayud	11	Doctorado y Máster	1	Hombre	13,5971635589
21	Campo de Cariñena	11	Doctorado y Máster	1	Hombre	47,0221032717
22	Campo de Belchite	11	Doctorado y Máster	1	Hombre	3,4634394876
24	Campo de Daroca	11	Doctorado y Máster	1	Hombre	5,3776450492
25	Jiloca	11	Doctorado y Máster	1	Hombre	2,3490490659
26	Cuencas Mineras	11	Doctorado y Máster	1	Hombre	4,2794707894
27	Andorra-Sierra de Arcos	11	Doctorado y Máster	1	Hombre	21,704766926
28	Bajo Aragón	11	Doctorado y Máster	1	Hombre	46,7988784813
29	Comunidad de Teruel	11	Doctorado y Máster	1	Hombre	97,1760807311
30	Maestrazgo	11	Doctorado y Máster	1	Hombre	1,5170946822
31	Sierra de Albarracín	11	Doctorado y Máster	1	Hombre	0,4508817195
32	Gúdar-Javalambre	11	Doctorado y Máster	1	Hombre	18,2643167836
33	Matarraña / Matarranya	11	Doctorado y Máster	1	Hombre	3,0812172629
01	La Jacetania	12	Doctorado y Máster	1	Hombre	263,4577883205
02	Alto Gállego	12	Doctorado y Máster	1	Hombre	6,9487416138
03	Sobrarbe	12	Doctorado y Máster	1	Hombre	7,4623480117
04	La Ribagorza	12	Doctorado y Máster	1	Hombre	32,7790457311
05	Cinco Villas	12	Doctorado y Máster	1	Hombre	17,2669929139
06	Hoya de Huesca / Plana de Uesca	12	Doctorado y Máster	1	Hombre	281,4139022867
07	Somontano de Barbastro	12	Doctorado y Máster	1	Hombre	7,1725015743
08	Cinca Medio	12	Doctorado y Máster	1	Hombre	10,387171092
09	La Litera / La Llitera	12	Doctorado y Máster	1	Hombre	8,4291468192
10	Los Monegros	12	Doctorado y Máster	1	Hombre	22,6340118231
11	Bajo Cinca / Baix Cinca	12	Doctorado y Máster	1	Hombre	10,2225606263
12	Tarazona y el Moncayo	12	Doctorado y Máster	1	Hombre	6,0236264608
13	Campo de Borja	12	Doctorado y Máster	1	Hombre	8,1803145103
14	Aranda	12	Doctorado y Máster	1	Hombre	1,3675560388
15	Ribera Alta del Ebro	12	Doctorado y Máster	1	Hombre	44,2666113792
16	Valdejalón	12	Doctorado y Máster	1	Hombre	32,949410439
17	D.C. Zaragoza	12	Doctorado y Máster	1	Hombre	3697,7418784771
18	Ribera Baja del Ebro	12	Doctorado y Máster	1	Hombre	3,8968862042
19	Bajo Aragón-Caspe / Baix Aragó-Casp	12	Doctorado y Máster	1	Hombre	10,570469514
20	Comunidad de Calatayud	12	Doctorado y Máster	1	Hombre	20,6090286419
21	Campo de Cariñena	12	Doctorado y Máster	1	Hombre	9,2330392365
22	Campo de Belchite	12	Doctorado y Máster	1	Hombre	11,9724543056
23	Bajo Martín	12	Doctorado y Máster	1	Hombre	8,4527133019
24	Campo de Daroca	12	Doctorado y Máster	1	Hombre	5,6760588772
25	Jiloca	12	Doctorado y Máster	1	Hombre	7,7000948301
26	Cuencas Mineras	12	Doctorado y Máster	1	Hombre	2,9360039021
27	Andorra-Sierra de Arcos	12	Doctorado y Máster	1	Hombre	1,3149958133
28	Bajo Aragón	12	Doctorado y Máster	1	Hombre	17,1898594283
29	Comunidad de Teruel	12	Doctorado y Máster	1	Hombre	64,550324894
