Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con superficie >= 0,1 y <5 hectáreas	Explotaciones con superficie >=5 y <10 hectáreas	Explotaciones con superficie >=10 y <20 hectáreas	Explotaciones con superficie >= 20 y <50 hectáreas	Explotaciones con superficie >= 50 y <100 hectáreas	Explotaciones con superficie >= 100 hectáreas	Explotaciones con tierras
1989	44182	Perales del Alfambra	106	0	39	9	7	11	21	19	106
1989	44183	Pitarque	101	0	19	8	19	27	17	11	101
1989	44184	Plou	20	0	5	4	4	2	2	3	20
1989	44185	Pobo (El)	60	3	9	8	10	9	11	10	57
1989	44187	Portellada (La)	70	0	8	10	22	27	3	0	70
1989	44189	Pozondón	36	0	3	3	5	17	6	2	36
1989	44190	Pozuel del Campo	26	0	1	0	0	7	10	8	26
1989	44191	Puebla de Híjar (La)	136	4	55	20	19	21	6	11	132
1989	44192	Puebla de Valverde (La)	294	3	114	64	26	28	19	40	291
1989	44193	Puertomingalvo	101	0	21	8	11	18	14	29	101
1989	44194	Ráfales	72	0	7	8	25	22	10	0	72
1989	44195	Rillo	33	0	0	2	3	7	6	15	33
1989	44196	Riodeva	282	0	97	95	70	17	0	3	282
1989	44197	Ródenas	41	0	1	2	10	13	8	7	41
1989	44198	Royuela	46	3	7	6	17	5	5	3	43
1989	44199	Rubiales	51	1	39	3	1	4	1	2	50
1989	44200	Rubielos de la Cérida	21	0	0	0	4	5	5	7	21
1989	44201	Rubielos de Mora	287	0	219	23	7	8	15	15	287
1989	44203	Salcedillo	6	1	0	0	0	1	0	4	5
1989	44204	Saldón	23	0	8	6	4	0	0	5	23
1989	44205	Samper de Calanda	214	10	94	16	12	32	21	29	204
1989	44206	San Agustín	190	0	31	85	51	12	6	5	190
1989	44207	San Martín del Río	184	1	87	47	29	18	0	2	183
1989	44208	Santa Cruz de Nogueras	13	0	0	0	3	3	2	5	13
1989	44209	Santa Eulalia	131	1	26	17	25	39	20	3	130
1989	44210	Sarrión	277	2	98	60	52	34	22	9	275
1989	44211	Segura de los Baños	24	0	3	3	1	4	3	10	24
1989	44212	Seno	50	0	19	11	10	4	4	2	50
1989	44213	Singra	31	0	1	2	2	2	11	13	31
1989	44215	Terriente	59	0	17	12	15	7	3	5	59
1989	44216	Teruel	505	6	88	79	98	107	68	59	499
1989	44217	Toril y Masegoso	12	0	0	3	4	1	1	3	12
1989	44218	Tormón	16	0	5	5	2	0	0	4	16
1989	44219	Tornos	77	0	3	11	12	26	17	8	77
1989	44220	Torralba de los Sisones	63	0	1	2	13	29	14	4	63
1989	44221	Torrecilla de Alcañiz	91	0	26	17	19	20	6	3	91
1989	44222	Torrecilla del Rebollar	43	0	1	3	2	9	14	14	43
1989	44223	Torre de Arcas	36	0	3	2	1	11	6	13	36
1989	44224	Torre de las Arcas	25	0	4	6	4	4	4	3	25
1989	44225	Torre del Compte	118	0	52	24	21	17	3	1	118
1989	44226	Torrelacárcel	73	0	15	4	14	18	17	5	73
1989	44227	Torre los Negros	41	0	11	0	4	8	12	6	41
1989	44228	Torremocha de Jiloca	47	0	3	5	4	20	14	1	47
1989	44229	Torres de Albarracín	39	0	18	7	6	4	2	2	39
1989	44230	Torrevelilla	93	0	31	22	20	13	4	3	93
1989	44231	Torrijas	34	0	9	7	8	7	0	3	34
1989	44232	Torrijo del Campo	141	0	24	22	31	43	19	2	141
1989	44234	Tramacastiel	175	0	124	34	11	1	1	4	175
1989	44235	Tramacastilla	25	0	3	6	9	3	0	4	25
1989	44236	Tronchón	49	0	7	7	7	2	11	15	49
1989	44237	Urrea de Gaén	142	3	84	9	9	20	10	7	139
1989	44238	Utrillas	72	0	22	19	15	6	2	8	72
1989	44239	Valacloche	68	0	40	17	8	1	0	2	68
1989	44240	Valbona	101	0	44	31	14	5	2	5	101
1989	44241	Valdealgorfa	208	0	83	38	49	32	4	2	208
1989	44243	Valdecuenca	6	0	1	2	0	0	0	3	6
1989	44244	Valdelinares	57	0	10	6	5	16	8	12	57
1989	44245	Valdeltormo	33	0	4	7	11	6	5	0	33
1989	44246	Valderrobres	389	4	116	78	88	77	18	8	385
1989	44247	Valjunquera	124	0	38	19	26	36	4	1	124
1989	44249	Vallecillo (El)	10	0	4	3	0	0	0	3	10
1989	44250	Veguillas de la Sierra	12	0	2	0	3	5	0	2	12
1989	44251	Villafranca del Campo	97	0	17	13	21	19	16	11	97
1989	44252	Villahermosa del Campo	26	1	1	0	0	4	15	5	25
1989	44256	Villanueva del Rebollar de la Sierra	13	0	0	2	0	1	5	5	13
1989	44257	Villar del Cobo	60	1	8	10	23	11	1	6	59
1989	44258	Villar del Salz	46	0	5	16	9	7	6	3	46
1989	44260	Villarluengo	93	0	18	10	15	7	5	38	93
1989	44261	Villarquemado	226	4	71	43	53	48	4	3	222
1989	44262	Villarroya de los Pinares	72	0	14	20	8	11	8	11	72
1989	44263	Villastar	64	0	4	22	18	14	1	5	64
1989	44264	Villel	412	2	272	85	34	8	1	10	410
1989	44265	Vinaceite	89	4	15	4	8	15	25	18	85
1989	44266	Visiedo	59	0	2	2	5	15	20	15	59
1989	44267	Vivel del Río Martín	34	0	3	1	7	5	9	9	34
1989	44268	Zoma (La)	29	0	8	1	10	7	0	3	29
1989	50001	Abanto	46	1	0	4	14	15	9	3	45
1989	50002	Acered	129	1	47	44	25	7	1	4	128
1989	50003	Agón	52	1	25	6	6	8	4	2	51
1989	50004	Aguarón	297	3	162	61	47	17	4	3	294
1989	50005	Aguilón	123	0	40	23	20	16	13	11	123
1989	50006	Ainzón	325	2	204	55	30	17	11	6	323
1989	50007	Aladrén	101	1	63	13	15	4	1	4	100
1989	50008	Alagón	772	16	671	58	19	4	4	0	756
1989	50009	Alarba	88	0	27	23	27	9	1	1	88
1989	50010	Alberite de San Juan	19	0	3	4	3	8	0	1	19
1989	50011	Albeta	5	0	3	0	0	2	0	0	5
1989	50012	Alborge	11	0	10	0	0	0	0	1	11
1989	50013	Alcalá de Ebro	112	0	85	22	4	1	0	0	112
1989	50014	Alcalá de Moncayo	47	0	16	9	8	11	2	1	47
1989	50015	Alconchel de Ariza	67	0	25	9	2	7	8	16	67
1989	50016	Aldehuela de Liestos	17	0	0	0	3	4	5	5	17
1989	50017	Alfajarín	237	7	115	39	16	16	8	36	230
1989	50018	Alfamén	357	0	93	93	83	57	14	17	357
1989	50019	Alforque	38	4	18	3	0	7	4	2	34
1989	50020	Alhama de Aragón	118	2	49	31	19	10	1	6	116
1989	50021	Almochuel	13	1	1	0	0	0	3	8	12
1989	50022	Almolda (La)	227	4	21	42	48	55	31	26	223
1989	50023	Almonacid de la Cuba	100	0	5	4	25	43	18	5	100
1989	50024	Almonacid de la Sierra	358	0	160	86	69	34	2	7	358
1989	50025	Almunia de Doña Godina (La)	840	5	697	74	43	14	4	3	835
1989	50026	Alpartir	243	0	145	72	18	2	1	5	243
1989	50027	Ambel	187	1	110	31	17	9	4	15	186
1989	50028	Anento	20	0	2	2	2	5	4	5	20
1989	50029	Aniñón	322	0	154	88	61	14	0	5	322
1989	50030	Añón de Moncayo	101	0	60	27	6	2	4	2	101
1989	50031	Aranda de Moncayo	96	7	40	14	19	11	1	4	89
1989	50032	Arándiga	228	0	124	58	25	11	4	6	228
1989	50033	Ardisa	38	0	15	7	3	5	3	5	38
1989	50034	Ariza	265	17	86	48	29	28	39	18	248
1989	50035	Artieda	14	0	2	3	0	4	2	3	14
1989	50036	Asín	25	0	15	1	0	1	2	6	25
1989	50037	Atea	187	1	83	43	31	21	4	4	186
1989	50038	Ateca	441	4	313	70	33	13	1	7	437
