Municipio codigo	Municipio nombre	Tipo de edificio	Tipo de edificio, código	Nº edificios
44047	Burbáguena	Destinado principal o exclusivamente a viviendas	1	290
44048	Cabra de Mora	Destinado principal o exclusivamente a viviendas	1	102
44049	Calaceite	Destinado principal o exclusivamente a viviendas	1	782
44050	Calamocha	Destinado principal o exclusivamente a viviendas	1	2191
44051	Calanda	Destinado principal o exclusivamente a viviendas	1	1444
44052	Calomarde	Destinado principal o exclusivamente a viviendas	1	119
44053	Camañas	Destinado principal o exclusivamente a viviendas	1	88
44054	Camarena de la Sierra	Destinado principal o exclusivamente a viviendas	1	286
44055	Camarillas	Destinado principal o exclusivamente a viviendas	1	181
44056	Caminreal	Destinado principal o exclusivamente a viviendas	1	485
44059	Cantavieja	Destinado principal o exclusivamente a viviendas	1	421
44060	Cañada de Benatanduz	Destinado principal o exclusivamente a viviendas	1	79
44061	Cañada de Verich (La)	Destinado principal o exclusivamente a viviendas	1	88
44062	Cañada Vellida	Destinado principal o exclusivamente a viviendas	1	51
44063	Cañizar del Olivar	Destinado principal o exclusivamente a viviendas	1	135
44064	Cascante del Río	Destinado principal o exclusivamente a viviendas	1	191
44065	Castejón de Tornos	Destinado principal o exclusivamente a viviendas	1	116
44066	Castel de Cabra	Destinado principal o exclusivamente a viviendas	1	162
44067	Castelnou	Destinado principal o exclusivamente a viviendas	1	136
44068	Castelserás	Destinado principal o exclusivamente a viviendas	1	554
44070	Castellar (El)	Destinado principal o exclusivamente a viviendas	1	108
44071	Castellote	Destinado principal o exclusivamente a viviendas	1	732
44074	Cedrillas	Destinado principal o exclusivamente a viviendas	1	356
44075	Celadas	Destinado principal o exclusivamente a viviendas	1	200
44076	Cella	Destinado principal o exclusivamente a viviendas	1	1208
44077	Cerollera (La)	Destinado principal o exclusivamente a viviendas	1	91
44080	Codoñera (La)	Destinado principal o exclusivamente a viviendas	1	269
44082	Corbalán	Destinado principal o exclusivamente a viviendas	1	109
44084	Cortes de Aragón	Destinado principal o exclusivamente a viviendas	1	135
44085	Cosa	Destinado principal o exclusivamente a viviendas	1	81
44086	Cretas	Destinado principal o exclusivamente a viviendas	1	427
44087	Crivillén	Destinado principal o exclusivamente a viviendas	1	157
44088	Cuba (La)	Destinado principal o exclusivamente a viviendas	1	87
44089	Cubla	Destinado principal o exclusivamente a viviendas	1	113
44090	Cucalón	Destinado principal o exclusivamente a viviendas	1	144
44092	Cuervo (El)	Destinado principal o exclusivamente a viviendas	1	145
