Año	Residencia CCAA nombre	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad país código	Nacionalidad país nombre	Edad (grandes grupos)	Sexo	Extranjeros
1998	Aragón	06	Resto de América	323	Nicaragua	16 a 64	Hombres	5
1998	Aragón	06	Resto de América	323	Nicaragua	16 a 64	Mujeres	3
1998	Aragón	06	Resto de América	324	Panamá	0 a 15	Hombres	1
1998	Aragón	06	Resto de América	324	Panamá	16 a 64	Hombres	5
1998	Aragón	06	Resto de América	324	Panamá	16 a 64	Mujeres	8
1998	Aragón	06	Resto de América	326	República Dominicana	0 a 15	Hombres	31
1998	Aragón	06	Resto de América	326	República Dominicana	0 a 15	Mujeres	28
1998	Aragón	06	Resto de América	326	República Dominicana	16 a 64	Hombres	27
1998	Aragón	06	Resto de América	326	República Dominicana	16 a 64	Mujeres	244
1998	Aragón	06	Resto de América	326	República Dominicana	65 y más	Hombres	1
1998	Aragón	06	Resto de América	340	Argentina	0 a 15	Hombres	11
1998	Aragón	06	Resto de América	340	Argentina	0 a 15	Mujeres	13
1998	Aragón	06	Resto de América	340	Argentina	16 a 64	Hombres	108
1998	Aragón	06	Resto de América	340	Argentina	16 a 64	Mujeres	108
1998	Aragón	06	Resto de América	340	Argentina	65 y más	Hombres	10
1998	Aragón	06	Resto de América	340	Argentina	65 y más	Mujeres	21
1998	Aragón	06	Resto de América	341	Bolivia	0 a 15	Hombres	1
1998	Aragón	06	Resto de América	341	Bolivia	0 a 15	Mujeres	3
1998	Aragón	06	Resto de América	341	Bolivia	16 a 64	Hombres	6
1998	Aragón	06	Resto de América	341	Bolivia	16 a 64	Mujeres	4
1998	Aragón	06	Resto de América	341	Bolivia	65 y más	Hombres	1
1998	Aragón	06	Resto de América	342	Brasil	0 a 15	Hombres	10
1998	Aragón	06	Resto de América	342	Brasil	0 a 15	Mujeres	9
1998	Aragón	06	Resto de América	342	Brasil	16 a 64	Hombres	26
1998	Aragón	06	Resto de América	342	Brasil	16 a 64	Mujeres	73
1998	Aragón	06	Resto de América	342	Brasil	65 y más	Hombres	1
1998	Aragón	06	Resto de América	342	Brasil	65 y más	Mujeres	1
1998	Aragón	06	Resto de América	343	Colombia	0 a 15	Hombres	8
1998	Aragón	06	Resto de América	343	Colombia	0 a 15	Mujeres	9
1998	Aragón	06	Resto de América	343	Colombia	16 a 64	Hombres	40
1998	Aragón	06	Resto de América	343	Colombia	16 a 64	Mujeres	80
1998	Aragón	06	Resto de América	343	Colombia	65 y más	Mujeres	4
1998	Aragón	06	Resto de América	344	Chile	0 a 15	Mujeres	3
1998	Aragón	06	Resto de América	344	Chile	16 a 64	Hombres	24
1998	Aragón	06	Resto de América	344	Chile	16 a 64	Mujeres	48
1998	Aragón	06	Resto de América	344	Chile	65 y más	Hombres	1
1998	Aragón	06	Resto de América	344	Chile	65 y más	Mujeres	5
1998	Aragón	06	Resto de América	345	Ecuador	0 a 15	Hombres	6
1998	Aragón	06	Resto de América	345	Ecuador	0 a 15	Mujeres	2
1998	Aragón	06	Resto de América	345	Ecuador	16 a 64	Hombres	17
1998	Aragón	06	Resto de América	345	Ecuador	16 a 64	Mujeres	25
1998	Aragón	06	Resto de América	347	Paraguay	16 a 64	Hombres	3
1998	Aragón	06	Resto de América	347	Paraguay	16 a 64	Mujeres	7
1998	Aragón	06	Resto de América	348	Perú	0 a 15	Hombres	8
1998	Aragón	06	Resto de América	348	Perú	0 a 15	Mujeres	15
1998	Aragón	06	Resto de América	348	Perú	16 a 64	Hombres	80
1998	Aragón	06	Resto de América	348	Perú	16 a 64	Mujeres	103
1998	Aragón	06	Resto de América	348	Perú	65 y más	Hombres	5
1998	Aragón	06	Resto de América	348	Perú	65 y más	Mujeres	10
1998	Aragón	06	Resto de América	350	Uruguay	0 a 15	Hombres	2
1998	Aragón	06	Resto de América	350	Uruguay	0 a 15	Mujeres	2
1998	Aragón	06	Resto de América	350	Uruguay	16 a 64	Hombres	22
1998	Aragón	06	Resto de América	350	Uruguay	16 a 64	Mujeres	18
1998	Aragón	06	Resto de América	350	Uruguay	65 y más	Mujeres	2
1998	Aragón	06	Resto de América	351	Venezuela	0 a 15	Hombres	15
1998	Aragón	06	Resto de América	351	Venezuela	0 a 15	Mujeres	12
1998	Aragón	06	Resto de América	351	Venezuela	16 a 64	Hombres	44
1998	Aragón	06	Resto de América	351	Venezuela	16 a 64	Mujeres	56
1998	Aragón	06	Resto de América	351	Venezuela	65 y más	Hombres	5
1998	Aragón	06	Resto de América	351	Venezuela	65 y más	Mujeres	4
1998	Aragón	07	Asia	401	Afganistán	16 a 64	Hombres	1
1998	Aragón	07	Asia	407	China	0 a 15	Hombres	17
1998	Aragón	07	Asia	407	China	0 a 15	Mujeres	16
1998	Aragón	07	Asia	407	China	16 a 64	Hombres	82
1998	Aragón	07	Asia	407	China	16 a 64	Mujeres	67
1998	Aragón	07	Asia	407	China	65 y más	Hombres	1
1998	Aragón	07	Asia	407	China	65 y más	Mujeres	2
1998	Aragón	07	Asia	409	Filipinas	16 a 64	Hombres	4
1998	Aragón	07	Asia	409	Filipinas	16 a 64	Mujeres	13
1998	Aragón	07	Asia	409	Filipinas	65 y más	Hombres	1
1998	Aragón	07	Asia	410	India	0 a 15	Mujeres	2
1998	Aragón	07	Asia	410	India	16 a 64	Hombres	6
1998	Aragón	07	Asia	410	India	16 a 64	Mujeres	7
1998	Aragón	07	Asia	410	India	65 y más	Hombres	1
1998	Aragón	07	Asia	410	India	65 y más	Mujeres	2
1998	Aragón	07	Asia	412	Irak	16 a 64	Hombres	2
1998	Aragón	07	Asia	413	Irán	16 a 64	Hombres	4
1998	Aragón	07	Asia	413	Irán	16 a 64	Mujeres	1
1998	Aragón	07	Asia	414	Israel	16 a 64	Hombres	3
1998	Aragón	07	Asia	414	Israel	16 a 64	Mujeres	2
1998	Aragón	07	Asia	415	Japón	0 a 15	Hombres	1
1998	Aragón	07	Asia	415	Japón	0 a 15	Mujeres	1
1998	Aragón	07	Asia	415	Japón	16 a 64	Hombres	1
1998	Aragón	07	Asia	415	Japón	16 a 64	Mujeres	4
1998	Aragón	07	Asia	416	Jordania	0 a 15	Hombres	3
1998	Aragón	07	Asia	416	Jordania	0 a 15	Mujeres	3
1998	Aragón	07	Asia	416	Jordania	16 a 64	Hombres	16
1998	Aragón	07	Asia	416	Jordania	16 a 64	Mujeres	4
1998	Aragón	07	Asia	419	Laos	16 a 64	Hombres	2
1998	Aragón	07	Asia	419	Laos	16 a 64	Mujeres	6
1998	Aragón	07	Asia	420	Líbano	0 a 15	Mujeres	1
1998	Aragón	07	Asia	420	Líbano	16 a 64	Hombres	18
1998	Aragón	07	Asia	420	Líbano	16 a 64	Mujeres	2
1998	Aragón	07	Asia	420	Líbano	65 y más	Mujeres	1
1998	Aragón	07	Asia	421	Malasia	16 a 64	Hombres	1
1998	Aragón	07	Asia	421	Malasia	16 a 64	Mujeres	2
1998	Aragón	07	Asia	423	Mongolia	16 a 64	Mujeres	1
1998	Aragón	07	Asia	426	Pakistán	0 a 15	Hombres	2
1998	Aragón	07	Asia	426	Pakistán	0 a 15	Mujeres	4
1998	Aragón	07	Asia	426	Pakistán	16 a 64	Hombres	34
1998	Aragón	07	Asia	426	Pakistán	16 a 64	Mujeres	7
1998	Aragón	07	Asia	430	República de Corea	0 a 15	Hombres	2
1998	Aragón	07	Asia	430	República de Corea	0 a 15	Mujeres	1
1998	Aragón	07	Asia	430	República de Corea	16 a 64	Hombres	9
1998	Aragón	07	Asia	430	República de Corea	16 a 64	Mujeres	12
1998	Aragón	07	Asia	433	Siria	0 a 15	Hombres	4
