Mes (código)	Mes y año	Dirección provincial (código)	Sector código	Sector descripción	Número Empresas	Régimen	Dirección provincial nombre
201603	Marzo 2016	22	1	Agricultura, ganadería y pesca	1362	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201603	Marzo 2016	22	2	Industria y energía	822	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201603	Marzo 2016	22	3	Construcción	872	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201603	Marzo 2016	22	4	Servicios	5574	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201603	Marzo 2016	44	1	Agricultura, ganadería y pesca	551	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201603	Marzo 2016	44	2	Industria y energía	515	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201603	Marzo 2016	44	3	Construcción	589	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201603	Marzo 2016	44	4	Servicios	2953	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201603	Marzo 2016	50	1	Agricultura, ganadería y pesca	1661	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201603	Marzo 2016	50	2	Industria y energía	3048	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201603	Marzo 2016	50	3	Construcción	2297	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201603	Marzo 2016	50	4	Servicios	21526	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201603	Marzo 2016	50		Sin clasificar	2	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201512	Diciembre 2015	22	1	Agricultura, ganadería y pesca	1382	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201512	Diciembre 2015	22	2	Industria y energía	824	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201512	Diciembre 2015	22	3	Construcción	857	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201512	Diciembre 2015	22	4	Servicios	5638	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201512	Diciembre 2015	44	1	Agricultura, ganadería y pesca	539	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201512	Diciembre 2015	44	2	Industria y energía	522	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201512	Diciembre 2015	44	3	Construcción	602	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201512	Diciembre 2015	44	4	Servicios	2946	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201512	Diciembre 2015	50	1	Agricultura, ganadería y pesca	1691	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201512	Diciembre 2015	50	2	Industria y energía	3063	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201512	Diciembre 2015	50	3	Construcción	2200	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201512	Diciembre 2015	50	4	Servicios	21653	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201512	Diciembre 2015	50		Sin clasificar	2	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
