Año	Comarca código	Comarca nombre	Rama código	Rama descripción	VAB
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	J	Información y comunicaciones	1757,2
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	K	Actividades financieras y de seguros	3471,3
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	L	Actividades inmobiliarias	5136,2
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	5012,4
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	32318,4
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	5925,6
2009	20	Comunidad de Calatayud	A	Agricultura, ganadería, silvicultura y pesca	53974,2
2009	20	Comunidad de Calatayud	B+E	Extractivas; Energía y Agua	13106,3
2009	20	Comunidad de Calatayud	C	Industria manufacturera	88860,3
2009	20	Comunidad de Calatayud	F	Construcción	112128,4
2009	20	Comunidad de Calatayud	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	159484,8
2009	20	Comunidad de Calatayud	J	Información y comunicaciones	8450,6
2009	20	Comunidad de Calatayud	K	Actividades financieras y de seguros	10721,7
2009	20	Comunidad de Calatayud	L	Actividades inmobiliarias	22775,5
2009	20	Comunidad de Calatayud	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	20340,5
2009	20	Comunidad de Calatayud	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	119751,8
2009	20	Comunidad de Calatayud	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	12474,8
2009	21	Campo de Cariñena	A	Agricultura, ganadería, silvicultura y pesca	32610,5
2009	21	Campo de Cariñena	B+E	Extractivas; Energía y Agua	7794,1
2009	21	Campo de Cariñena	C	Industria manufacturera	125604,2
2009	21	Campo de Cariñena	F	Construcción	33065,3
2009	21	Campo de Cariñena	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	31930,4
2009	21	Campo de Cariñena	J	Información y comunicaciones	794,9
2009	21	Campo de Cariñena	K	Actividades financieras y de seguros	2127,1
2009	21	Campo de Cariñena	L	Actividades inmobiliarias	3721,3
2009	21	Campo de Cariñena	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	3174,1
2009	21	Campo de Cariñena	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	19521,3
2009	21	Campo de Cariñena	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	2610,9
2009	22	Campo de Belchite	A	Agricultura, ganadería, silvicultura y pesca	41569,2
2009	22	Campo de Belchite	B+E	Extractivas; Energía y Agua	11867,3
2009	22	Campo de Belchite	C	Industria manufacturera	10123,5
2009	22	Campo de Belchite	F	Construcción	11724,8
2009	22	Campo de Belchite	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	13326,5
2009	22	Campo de Belchite	J	Información y comunicaciones	310,5
2009	22	Campo de Belchite	K	Actividades financieras y de seguros	642,6
2009	22	Campo de Belchite	L	Actividades inmobiliarias	1754,5
