Municipio código	Municipio nombre	Edad (grupos quinquenales)	Sexo	Personas
22205	San Esteban de Litera	05 a 09	Mujeres	7
22205	San Esteban de Litera	10 a 14	Mujeres	5
22205	San Esteban de Litera	15 a 19	Mujeres	16
22205	San Esteban de Litera	20 a 24	Mujeres	20
22205	San Esteban de Litera	25 a 29	Mujeres	19
22205	San Esteban de Litera	30 a 34	Mujeres	8
22205	San Esteban de Litera	35 a 39	Mujeres	17
22205	San Esteban de Litera	40 a 44	Mujeres	13
22205	San Esteban de Litera	45 a 49	Mujeres	19
22205	San Esteban de Litera	50 a 54	Mujeres	16
22205	San Esteban de Litera	55 a 59	Mujeres	23
22205	San Esteban de Litera	60 a 64	Mujeres	18
22205	San Esteban de Litera	65 a 69	Mujeres	30
22205	San Esteban de Litera	70 a 74	Mujeres	19
22205	San Esteban de Litera	75 a 79	Mujeres	29
22205	San Esteban de Litera	80 a 84	Mujeres	16
22205	San Esteban de Litera	85 a 90	Mujeres	15
22205	San Esteban de Litera	90 ó más	Mujeres	6
22205	San Esteban de Litera	00 a 04	Hombres	8
22205	San Esteban de Litera	05 a 09	Hombres	10
22205	San Esteban de Litera	10 a 14	Hombres	7
22205	San Esteban de Litera	15 a 19	Hombres	10
22205	San Esteban de Litera	20 a 24	Hombres	19
22205	San Esteban de Litera	25 a 29	Hombres	31
22205	San Esteban de Litera	30 a 34	Hombres	14
22205	San Esteban de Litera	35 a 39	Hombres	22
22205	San Esteban de Litera	40 a 44	Hombres	16
22205	San Esteban de Litera	45 a 49	Hombres	18
22205	San Esteban de Litera	50 a 54	Hombres	11
22205	San Esteban de Litera	55 a 59	Hombres	22
22205	San Esteban de Litera	60 a 64	Hombres	21
22205	San Esteban de Litera	65 a 69	Hombres	26
22205	San Esteban de Litera	70 a 74	Hombres	25
22205	San Esteban de Litera	75 a 79	Hombres	19
22205	San Esteban de Litera	80 a 84	Hombres	12
22205	San Esteban de Litera	85 a 90	Hombres	4
22205	San Esteban de Litera	90 ó más	Hombres	4
22206	Sangarrén	05 a 09	Mujeres	2
22206	Sangarrén	10 a 14	Mujeres	3
22206	Sangarrén	15 a 19	Mujeres	2
22206	Sangarrén	20 a 24	Mujeres	14
22206	Sangarrén	25 a 29	Mujeres	7
22206	Sangarrén	30 a 34	Mujeres	10
22206	Sangarrén	35 a 39	Mujeres	3
22206	Sangarrén	40 a 44	Mujeres	4
22206	Sangarrén	45 a 49	Mujeres	11
22206	Sangarrén	50 a 54	Mujeres	11
22206	Sangarrén	55 a 59	Mujeres	11
22206	Sangarrén	60 a 64	Mujeres	7
22206	Sangarrén	65 a 69	Mujeres	9
22206	Sangarrén	70 a 74	Mujeres	6
22206	Sangarrén	75 a 79	Mujeres	11
22206	Sangarrén	80 a 84	Mujeres	9
22206	Sangarrén	85 a 90	Mujeres	4
22206	Sangarrén	90 ó más	Mujeres	5
22206	Sangarrén	00 a 04	Hombres	1
22206	Sangarrén	05 a 09	Hombres	3
22206	Sangarrén	10 a 14	Hombres	4
22206	Sangarrén	15 a 19	Hombres	4
22206	Sangarrén	20 a 24	Hombres	8
22206	Sangarrén	25 a 29	Hombres	8
22206	Sangarrén	30 a 34	Hombres	5
22206	Sangarrén	35 a 39	Hombres	5
22206	Sangarrén	40 a 44	Hombres	5
22206	Sangarrén	45 a 49	Hombres	6
22206	Sangarrén	50 a 54	Hombres	6
22206	Sangarrén	55 a 59	Hombres	12
22206	Sangarrén	60 a 64	Hombres	7
22206	Sangarrén	65 a 69	Hombres	17
22206	Sangarrén	70 a 74	Hombres	10
22206	Sangarrén	75 a 79	Hombres	7
22206	Sangarrén	80 a 84	Hombres	6
22206	Sangarrén	85 a 90	Hombres	4
22206	Sangarrén	90 ó más	Hombres	3
22207	San Juan de Plan	00 a 04	Mujeres	2
22207	San Juan de Plan	05 a 09	Mujeres	2
22207	San Juan de Plan	10 a 14	Mujeres	6
22207	San Juan de Plan	15 a 19	Mujeres	3
22207	San Juan de Plan	20 a 24	Mujeres	3
22207	San Juan de Plan	25 a 29	Mujeres	1
22207	San Juan de Plan	30 a 34	Mujeres	6
22207	San Juan de Plan	35 a 39	Mujeres	6
22207	San Juan de Plan	40 a 44	Mujeres	2
22207	San Juan de Plan	45 a 49	Mujeres	3
22207	San Juan de Plan	50 a 54	Mujeres	5
22207	San Juan de Plan	55 a 59	Mujeres	7
22207	San Juan de Plan	60 a 64	Mujeres	4
22207	San Juan de Plan	65 a 69	Mujeres	9
22207	San Juan de Plan	70 a 74	Mujeres	7
22207	San Juan de Plan	75 a 79	Mujeres	4
22207	San Juan de Plan	80 a 84	Mujeres	3
22207	San Juan de Plan	00 a 04	Hombres	3
22207	San Juan de Plan	05 a 09	Hombres	1
22207	San Juan de Plan	10 a 14	Hombres	2
22207	San Juan de Plan	15 a 19	Hombres	4
22207	San Juan de Plan	20 a 24	Hombres	9
22207	San Juan de Plan	25 a 29	Hombres	9
22207	San Juan de Plan	30 a 34	Hombres	6
22207	San Juan de Plan	35 a 39	Hombres	6
22207	San Juan de Plan	40 a 44	Hombres	7
22207	San Juan de Plan	45 a 49	Hombres	4
22207	San Juan de Plan	50 a 54	Hombres	4
22207	San Juan de Plan	55 a 59	Hombres	5
22207	San Juan de Plan	60 a 64	Hombres	6
22207	San Juan de Plan	65 a 69	Hombres	7
22207	San Juan de Plan	70 a 74	Hombres	6
22207	San Juan de Plan	75 a 79	Hombres	3
22207	San Juan de Plan	80 a 84	Hombres	3
22207	San Juan de Plan	85 a 90	Hombres	1
22207	San Juan de Plan	90 ó más	Hombres	1
22208	Santa Cilia	00 a 04	Mujeres	3
22208	Santa Cilia	05 a 09	Mujeres	2
22208	Santa Cilia	10 a 14	Mujeres	3
22208	Santa Cilia	15 a 19	Mujeres	5
22208	Santa Cilia	20 a 24	Mujeres	1
22208	Santa Cilia	25 a 29	Mujeres	4
22208	Santa Cilia	30 a 34	Mujeres	8
22208	Santa Cilia	35 a 39	Mujeres	10
22208	Santa Cilia	40 a 44	Mujeres	5
22208	Santa Cilia	45 a 49	Mujeres	3
22208	Santa Cilia	50 a 54	Mujeres	3
22208	Santa Cilia	55 a 59	Mujeres	4
22208	Santa Cilia	60 a 64	Mujeres	3
22208	Santa Cilia	65 a 69	Mujeres	10
22208	Santa Cilia	70 a 74	Mujeres	7
22208	Santa Cilia	75 a 79	Mujeres	4
22208	Santa Cilia	80 a 84	Mujeres	5
22208	Santa Cilia	85 a 90	Mujeres	2
22208	Santa Cilia	00 a 04	Hombres	7
22208	Santa Cilia	05 a 09	Hombres	7
22208	Santa Cilia	10 a 14	Hombres	2
22208	Santa Cilia	15 a 19	Hombres	3
22208	Santa Cilia	20 a 24	Hombres	2
22208	Santa Cilia	25 a 29	Hombres	4
22208	Santa Cilia	30 a 34	Hombres	9
22208	Santa Cilia	35 a 39	Hombres	14
22208	Santa Cilia	40 a 44	Hombres	14
22208	Santa Cilia	45 a 49	Hombres	8
22208	Santa Cilia	50 a 54	Hombres	3
22208	Santa Cilia	55 a 59	Hombres	6
22208	Santa Cilia	60 a 64	Hombres	4
22208	Santa Cilia	65 a 69	Hombres	10
22208	Santa Cilia	70 a 74	Hombres	5
22208	Santa Cilia	75 a 79	Hombres	8
22208	Santa Cilia	80 a 84	Hombres	2
22208	Santa Cilia	85 a 90	Hombres	1
22209	Santa Cruz de la Serós	00 a 04	Mujeres	1
22209	Santa Cruz de la Serós	05 a 09	Mujeres	4
22209	Santa Cruz de la Serós	10 a 14	Mujeres	5
22209	Santa Cruz de la Serós	15 a 19	Mujeres	4
22209	Santa Cruz de la Serós	20 a 24	Mujeres	3
22209	Santa Cruz de la Serós	25 a 29	Mujeres	2
22209	Santa Cruz de la Serós	30 a 34	Mujeres	6
22209	Santa Cruz de la Serós	35 a 39	Mujeres	6
22209	Santa Cruz de la Serós	40 a 44	Mujeres	6
22209	Santa Cruz de la Serós	45 a 49	Mujeres	6
22209	Santa Cruz de la Serós	50 a 54	Mujeres	6
22209	Santa Cruz de la Serós	55 a 59	Mujeres	3
22209	Santa Cruz de la Serós	60 a 64	Mujeres	3
22209	Santa Cruz de la Serós	65 a 69	Mujeres	2
22209	Santa Cruz de la Serós	70 a 74	Mujeres	2
22209	Santa Cruz de la Serós	75 a 79	Mujeres	2
22209	Santa Cruz de la Serós	80 a 84	Mujeres	1
22209	Santa Cruz de la Serós	85 a 90	Mujeres	2
22209	Santa Cruz de la Serós	00 a 04	Hombres	5
22209	Santa Cruz de la Serós	05 a 09	Hombres	8
22209	Santa Cruz de la Serós	10 a 14	Hombres	1
22209	Santa Cruz de la Serós	15 a 19	Hombres	6
22209	Santa Cruz de la Serós	20 a 24	Hombres	3
22209	Santa Cruz de la Serós	25 a 29	Hombres	4
22209	Santa Cruz de la Serós	30 a 34	Hombres	8
22209	Santa Cruz de la Serós	35 a 39	Hombres	8
22209	Santa Cruz de la Serós	40 a 44	Hombres	5
22209	Santa Cruz de la Serós	45 a 49	Hombres	4
22209	Santa Cruz de la Serós	50 a 54	Hombres	5
22209	Santa Cruz de la Serós	55 a 59	Hombres	7
22209	Santa Cruz de la Serós	60 a 64	Hombres	5
22209	Santa Cruz de la Serós	65 a 69	Hombres	6
22209	Santa Cruz de la Serós	70 a 74	Hombres	5
22209	Santa Cruz de la Serós	75 a 79	Hombres	7
22209	Santa Cruz de la Serós	90 ó más	Hombres	1
22212	Santaliestra y San Quílez	00 a 04	Mujeres	2
22212	Santaliestra y San Quílez	10 a 14	Mujeres	1
22212	Santaliestra y San Quílez	15 a 19	Mujeres	3
22212	Santaliestra y San Quílez	20 a 24	Mujeres	1
22212	Santaliestra y San Quílez	25 a 29	Mujeres	3
22212	Santaliestra y San Quílez	30 a 34	Mujeres	6
22212	Santaliestra y San Quílez	35 a 39	Mujeres	3
22212	Santaliestra y San Quílez	40 a 44	Mujeres	2
22212	Santaliestra y San Quílez	45 a 49	Mujeres	6
22212	Santaliestra y San Quílez	50 a 54	Mujeres	2
22212	Santaliestra y San Quílez	55 a 59	Mujeres	4
22212	Santaliestra y San Quílez	60 a 64	Mujeres	5
22212	Santaliestra y San Quílez	65 a 69	Mujeres	5
22212	Santaliestra y San Quílez	70 a 74	Mujeres	5
22212	Santaliestra y San Quílez	75 a 79	Mujeres	6
22212	Santaliestra y San Quílez	80 a 84	Mujeres	5
22212	Santaliestra y San Quílez	85 a 90	Mujeres	2
22212	Santaliestra y San Quílez	90 ó más	Mujeres	1
22212	Santaliestra y San Quílez	00 a 04	Hombres	1
22212	Santaliestra y San Quílez	05 a 09	Hombres	1
22212	Santaliestra y San Quílez	10 a 14	Hombres	1
22212	Santaliestra y San Quílez	15 a 19	Hombres	1
22212	Santaliestra y San Quílez	20 a 24	Hombres	3
22212	Santaliestra y San Quílez	25 a 29	Hombres	1
22212	Santaliestra y San Quílez	30 a 34	Hombres	5
22212	Santaliestra y San Quílez	35 a 39	Hombres	8
22212	Santaliestra y San Quílez	40 a 44	Hombres	3
22212	Santaliestra y San Quílez	45 a 49	Hombres	6
22212	Santaliestra y San Quílez	50 a 54	Hombres	7
22212	Santaliestra y San Quílez	55 a 59	Hombres	5
22212	Santaliestra y San Quílez	60 a 64	Hombres	1
22212	Santaliestra y San Quílez	65 a 69	Hombres	5
22212	Santaliestra y San Quílez	70 a 74	Hombres	2
22212	Santaliestra y San Quílez	75 a 79	Hombres	2
22212	Santaliestra y San Quílez	80 a 84	Hombres	5
22212	Santaliestra y San Quílez	85 a 90	Hombres	2
22212	Santaliestra y San Quílez	90 ó más	Hombres	2
22213	Sariñena	00 a 04	Mujeres	65
22213	Sariñena	05 a 09	Mujeres	78
22213	Sariñena	10 a 14	Mujeres	107
22213	Sariñena	15 a 19	Mujeres	110
22213	Sariñena	20 a 24	Mujeres	134
22213	Sariñena	25 a 29	Mujeres	134
22213	Sariñena	30 a 34	Mujeres	132
22213	Sariñena	35 a 39	Mujeres	143
22213	Sariñena	40 a 44	Mujeres	129
22213	Sariñena	45 a 49	Mujeres	122
22213	Sariñena	50 a 54	Mujeres	118
22213	Sariñena	55 a 59	Mujeres	85
22213	Sariñena	60 a 64	Mujeres	90
22213	Sariñena	65 a 69	Mujeres	109
22213	Sariñena	70 a 74	Mujeres	142
22213	Sariñena	75 a 79	Mujeres	98
22213	Sariñena	80 a 84	Mujeres	80
22213	Sariñena	85 a 90	Mujeres	55
22213	Sariñena	90 ó más	Mujeres	28
22213	Sariñena	00 a 04	Hombres	86
22213	Sariñena	05 a 09	Hombres	85
22213	Sariñena	10 a 14	Hombres	94
22213	Sariñena	15 a 19	Hombres	124
22213	Sariñena	20 a 24	Hombres	134
22213	Sariñena	25 a 29	Hombres	141
22213	Sariñena	30 a 34	Hombres	116
22213	Sariñena	35 a 39	Hombres	171
22213	Sariñena	40 a 44	Hombres	143
22213	Sariñena	45 a 49	Hombres	141
22213	Sariñena	50 a 54	Hombres	133
22213	Sariñena	55 a 59	Hombres	120
22213	Sariñena	60 a 64	Hombres	89
22213	Sariñena	65 a 69	Hombres	109
22213	Sariñena	70 a 74	Hombres	112
22213	Sariñena	75 a 79	Hombres	94
22213	Sariñena	80 a 84	Hombres	58
22213	Sariñena	85 a 90	Hombres	27
22213	Sariñena	90 ó más	Hombres	14
22214	Secastilla	00 a 04	Mujeres	2
22214	Secastilla	05 a 09	Mujeres	2
22214	Secastilla	10 a 14	Mujeres	4
22214	Secastilla	15 a 19	Mujeres	2
22214	Secastilla	20 a 24	Mujeres	3
22214	Secastilla	25 a 29	Mujeres	5
22214	Secastilla	30 a 34	Mujeres	1
22214	Secastilla	35 a 39	Mujeres	7
22214	Secastilla	40 a 44	Mujeres	5
22214	Secastilla	45 a 49	Mujeres	6
22214	Secastilla	50 a 54	Mujeres	2
22214	Secastilla	55 a 59	Mujeres	3
22214	Secastilla	60 a 64	Mujeres	4
22214	Secastilla	65 a 69	Mujeres	10
22214	Secastilla	70 a 74	Mujeres	3
22214	Secastilla	75 a 79	Mujeres	6
22214	Secastilla	80 a 84	Mujeres	8
22214	Secastilla	85 a 90	Mujeres	4
22214	Secastilla	90 ó más	Mujeres	2
22214	Secastilla	05 a 09	Hombres	2
22214	Secastilla	10 a 14	Hombres	4
22214	Secastilla	20 a 24	Hombres	3
22214	Secastilla	25 a 29	Hombres	5
22214	Secastilla	30 a 34	Hombres	4
22214	Secastilla	40 a 44	Hombres	5
22214	Secastilla	45 a 49	Hombres	6
22214	Secastilla	50 a 54	Hombres	6
22214	Secastilla	55 a 59	Hombres	2
22214	Secastilla	60 a 64	Hombres	2
22214	Secastilla	65 a 69	Hombres	6
22214	Secastilla	70 a 74	Hombres	3
22214	Secastilla	75 a 79	Hombres	7
22214	Secastilla	80 a 84	Hombres	6
22214	Secastilla	85 a 90	Hombres	2
22214	Secastilla	90 ó más	Hombres	2
22215	Seira	00 a 04	Mujeres	3
22215	Seira	05 a 09	Mujeres	5
22215	Seira	10 a 14	Mujeres	4
22215	Seira	15 a 19	Mujeres	4
22215	Seira	20 a 24	Mujeres	8
22215	Seira	25 a 29	Mujeres	9
22215	Seira	30 a 34	Mujeres	7
22215	Seira	35 a 39	Mujeres	5
22215	Seira	40 a 44	Mujeres	6
22215	Seira	45 a 49	Mujeres	3
22215	Seira	50 a 54	Mujeres	6
22215	Seira	55 a 59	Mujeres	9
22215	Seira	60 a 64	Mujeres	4
22215	Seira	65 a 69	Mujeres	3
22215	Seira	70 a 74	Mujeres	7
22215	Seira	75 a 79	Mujeres	11
22215	Seira	80 a 84	Mujeres	3
22215	Seira	85 a 90	Mujeres	2
22215	Seira	90 ó más	Mujeres	3
22215	Seira	00 a 04	Hombres	2
22215	Seira	05 a 09	Hombres	4
22215	Seira	10 a 14	Hombres	3
22215	Seira	15 a 19	Hombres	4
22215	Seira	20 a 24	Hombres	4
22215	Seira	25 a 29	Hombres	6
22215	Seira	30 a 34	Hombres	14
22215	Seira	35 a 39	Hombres	7
22215	Seira	40 a 44	Hombres	8
22215	Seira	45 a 49	Hombres	8
22215	Seira	50 a 54	Hombres	8
22215	Seira	55 a 59	Hombres	2
22215	Seira	60 a 64	Hombres	4
22215	Seira	65 a 69	Hombres	8
22215	Seira	70 a 74	Hombres	3
22215	Seira	75 a 79	Hombres	5
22215	Seira	80 a 84	Hombres	7
22215	Seira	85 a 90	Hombres	2
22215	Seira	90 ó más	Hombres	1
22217	Sena	00 a 04	Mujeres	11
22217	Sena	05 a 09	Mujeres	9
22217	Sena	10 a 14	Mujeres	6
22217	Sena	15 a 19	Mujeres	6
22217	Sena	20 a 24	Mujeres	18
22217	Sena	25 a 29	Mujeres	13
22217	Sena	30 a 34	Mujeres	19
22217	Sena	35 a 39	Mujeres	18
22217	Sena	40 a 44	Mujeres	12
22217	Sena	45 a 49	Mujeres	16
22217	Sena	50 a 54	Mujeres	11
22217	Sena	55 a 59	Mujeres	15
22217	Sena	60 a 64	Mujeres	16
22217	Sena	65 a 69	Mujeres	13
22217	Sena	70 a 74	Mujeres	19
22217	Sena	75 a 79	Mujeres	25
22217	Sena	80 a 84	Mujeres	14
22217	Sena	85 a 90	Mujeres	13
22217	Sena	90 ó más	Mujeres	2
22217	Sena	00 a 04	Hombres	7
22217	Sena	05 a 09	Hombres	14
22217	Sena	10 a 14	Hombres	9
22217	Sena	15 a 19	Hombres	13
22217	Sena	20 a 24	Hombres	27
22217	Sena	25 a 29	Hombres	33
22217	Sena	30 a 34	Hombres	28
22217	Sena	35 a 39	Hombres	24
22217	Sena	40 a 44	Hombres	22
22217	Sena	45 a 49	Hombres	17
22217	Sena	50 a 54	Hombres	16
22217	Sena	55 a 59	Hombres	18
22217	Sena	60 a 64	Hombres	15
22217	Sena	65 a 69	Hombres	19
22217	Sena	70 a 74	Hombres	15
22217	Sena	75 a 79	Hombres	17
22217	Sena	80 a 84	Hombres	17
22217	Sena	85 a 90	Hombres	6
22217	Sena	90 ó más	Hombres	4
22218	Senés de Alcubierre	00 a 04	Mujeres	1
22218	Senés de Alcubierre	20 a 24	Mujeres	1
22218	Senés de Alcubierre	25 a 29	Mujeres	2
22218	Senés de Alcubierre	30 a 34	Mujeres	4
22218	Senés de Alcubierre	35 a 39	Mujeres	2
22218	Senés de Alcubierre	40 a 44	Mujeres	1
22218	Senés de Alcubierre	50 a 54	Mujeres	2
22218	Senés de Alcubierre	55 a 59	Mujeres	3
22218	Senés de Alcubierre	60 a 64	Mujeres	1
22218	Senés de Alcubierre	65 a 69	Mujeres	3
22218	Senés de Alcubierre	70 a 74	Mujeres	1
22218	Senés de Alcubierre	85 a 90	Mujeres	1
22218	Senés de Alcubierre	00 a 04	Hombres	2
22218	Senés de Alcubierre	05 a 09	Hombres	3
22218	Senés de Alcubierre	25 a 29	Hombres	3
22218	Senés de Alcubierre	30 a 34	Hombres	4
22218	Senés de Alcubierre	35 a 39	Hombres	2
22218	Senés de Alcubierre	40 a 44	Hombres	1
22218	Senés de Alcubierre	45 a 49	Hombres	1
22218	Senés de Alcubierre	50 a 54	Hombres	2
22218	Senés de Alcubierre	55 a 59	Hombres	4
22218	Senés de Alcubierre	60 a 64	Hombres	2
22218	Senés de Alcubierre	65 a 69	Hombres	2
22218	Senés de Alcubierre	70 a 74	Hombres	3
22218	Senés de Alcubierre	80 a 84	Hombres	1
22220	Sesa	00 a 04	Mujeres	2
22220	Sesa	05 a 09	Mujeres	2
22220	Sesa	10 a 14	Mujeres	1
22220	Sesa	15 a 19	Mujeres	1
22220	Sesa	20 a 24	Mujeres	4
22220	Sesa	25 a 29	Mujeres	7
22220	Sesa	30 a 34	Mujeres	9
22220	Sesa	35 a 39	Mujeres	11
22220	Sesa	40 a 44	Mujeres	6
22220	Sesa	45 a 49	Mujeres	5
22220	Sesa	50 a 54	Mujeres	5
22220	Sesa	55 a 59	Mujeres	7
22220	Sesa	60 a 64	Mujeres	12
22220	Sesa	65 a 69	Mujeres	13
22220	Sesa	70 a 74	Mujeres	16
22220	Sesa	75 a 79	Mujeres	7
22220	Sesa	80 a 84	Mujeres	9
22220	Sesa	85 a 90	Mujeres	5
22220	Sesa	90 ó más	Mujeres	1
22220	Sesa	00 a 04	Hombres	6
22220	Sesa	05 a 09	Hombres	2
22220	Sesa	10 a 14	Hombres	2
22220	Sesa	15 a 19	Hombres	4
22220	Sesa	20 a 24	Hombres	6
22220	Sesa	25 a 29	Hombres	10
22220	Sesa	30 a 34	Hombres	11
22220	Sesa	35 a 39	Hombres	9
22220	Sesa	40 a 44	Hombres	7
22220	Sesa	45 a 49	Hombres	3
22220	Sesa	50 a 54	Hombres	9
22220	Sesa	55 a 59	Hombres	8
22220	Sesa	60 a 64	Hombres	6
22220	Sesa	65 a 69	Hombres	21
22220	Sesa	70 a 74	Hombres	8
22220	Sesa	75 a 79	Hombres	9
22220	Sesa	80 a 84	Hombres	9
22220	Sesa	85 a 90	Hombres	3
22220	Sesa	90 ó más	Hombres	2
22221	Sesué	00 a 04	Mujeres	2
22221	Sesué	05 a 09	Mujeres	9
22221	Sesué	10 a 14	Mujeres	2
22221	Sesué	15 a 19	Mujeres	3
22221	Sesué	20 a 24	Mujeres	1
22221	Sesué	25 a 29	Mujeres	2
22221	Sesué	30 a 34	Mujeres	8
22221	Sesué	35 a 39	Mujeres	5
22221	Sesué	40 a 44	Mujeres	5
22221	Sesué	45 a 49	Mujeres	4
22221	Sesué	50 a 54	Mujeres	4
22221	Sesué	55 a 59	Mujeres	1
22221	Sesué	60 a 64	Mujeres	2
22221	Sesué	65 a 69	Mujeres	4
22221	Sesué	70 a 74	Mujeres	3
22221	Sesué	75 a 79	Mujeres	3
22221	Sesué	80 a 84	Mujeres	3
22221	Sesué	85 a 90	Mujeres	1
22221	Sesué	00 a 04	Hombres	6
22221	Sesué	05 a 09	Hombres	3
22221	Sesué	10 a 14	Hombres	5
22221	Sesué	15 a 19	Hombres	6
22221	Sesué	20 a 24	Hombres	1
22221	Sesué	25 a 29	Hombres	5
22221	Sesué	30 a 34	Hombres	3
22221	Sesué	35 a 39	Hombres	14
22221	Sesué	40 a 44	Hombres	9
22221	Sesué	50 a 54	Hombres	4
22221	Sesué	55 a 59	Hombres	4
22221	Sesué	65 a 69	Hombres	3
22221	Sesué	70 a 74	Hombres	2
22221	Sesué	75 a 79	Hombres	4
22221	Sesué	80 a 84	Hombres	3
22222	Siétamo	00 a 04	Mujeres	7
22222	Siétamo	05 a 09	Mujeres	10
22222	Siétamo	10 a 14	Mujeres	7
22222	Siétamo	15 a 19	Mujeres	8
22222	Siétamo	20 a 24	Mujeres	11
22222	Siétamo	25 a 29	Mujeres	24
22222	Siétamo	30 a 34	Mujeres	17
22222	Siétamo	35 a 39	Mujeres	13
22222	Siétamo	40 a 44	Mujeres	12
22222	Siétamo	45 a 49	Mujeres	12
22222	Siétamo	50 a 54	Mujeres	9
22222	Siétamo	55 a 59	Mujeres	12
22222	Siétamo	60 a 64	Mujeres	4
22222	Siétamo	65 a 69	Mujeres	16
22222	Siétamo	70 a 74	Mujeres	20
22222	Siétamo	75 a 79	Mujeres	11
22222	Siétamo	80 a 84	Mujeres	8
22222	Siétamo	85 a 90	Mujeres	3
22222	Siétamo	90 ó más	Mujeres	1
22222	Siétamo	00 a 04	Hombres	7
22222	Siétamo	05 a 09	Hombres	9
22222	Siétamo	10 a 14	Hombres	11
22222	Siétamo	15 a 19	Hombres	11
22222	Siétamo	20 a 24	Hombres	15
22222	Siétamo	25 a 29	Hombres	17
22222	Siétamo	30 a 34	Hombres	24
22222	Siétamo	35 a 39	Hombres	20
22222	Siétamo	40 a 44	Hombres	25
22222	Siétamo	45 a 49	Hombres	20
22222	Siétamo	50 a 54	Hombres	10
22222	Siétamo	55 a 59	Hombres	12
22222	Siétamo	60 a 64	Hombres	6
22222	Siétamo	65 a 69	Hombres	15
22222	Siétamo	70 a 74	Hombres	16
22222	Siétamo	75 a 79	Hombres	14
22222	Siétamo	80 a 84	Hombres	9
22222	Siétamo	85 a 90	Hombres	4
22222	Siétamo	90 ó más	Hombres	3
22223	Sopeira	00 a 04	Mujeres	2
22223	Sopeira	10 a 14	Mujeres	1
22223	Sopeira	15 a 19	Mujeres	3
22223	Sopeira	20 a 24	Mujeres	4
22223	Sopeira	25 a 29	Mujeres	1
22223	Sopeira	30 a 34	Mujeres	4
22223	Sopeira	35 a 39	Mujeres	2
22223	Sopeira	40 a 44	Mujeres	4
22223	Sopeira	45 a 49	Mujeres	4
22223	Sopeira	50 a 54	Mujeres	1
22223	Sopeira	55 a 59	Mujeres	3
22223	Sopeira	60 a 64	Mujeres	2
22223	Sopeira	65 a 69	Mujeres	4
22223	Sopeira	70 a 74	Mujeres	4
22223	Sopeira	75 a 79	Mujeres	5
22223	Sopeira	80 a 84	Mujeres	4
22223	Sopeira	85 a 90	Mujeres	2
22223	Sopeira	90 ó más	Mujeres	1
22223	Sopeira	00 a 04	Hombres	4
22223	Sopeira	05 a 09	Hombres	2
22223	Sopeira	10 a 14	Hombres	2
22223	Sopeira	20 a 24	Hombres	4
22223	Sopeira	25 a 29	Hombres	2
22223	Sopeira	30 a 34	Hombres	4
22223	Sopeira	35 a 39	Hombres	5
22223	Sopeira	40 a 44	Hombres	6
22223	Sopeira	45 a 49	Hombres	4
22223	Sopeira	50 a 54	Hombres	2
22223	Sopeira	55 a 59	Hombres	3
22223	Sopeira	60 a 64	Hombres	1
22223	Sopeira	65 a 69	Hombres	3
22223	Sopeira	70 a 74	Hombres	3
22223	Sopeira	75 a 79	Hombres	4
22223	Sopeira	80 a 84	Hombres	4
22223	Sopeira	85 a 90	Hombres	1
22225	Tamarite de Litera	00 a 04	Mujeres	63
22225	Tamarite de Litera	05 a 09	Mujeres	74
22225	Tamarite de Litera	10 a 14	Mujeres	77
22225	Tamarite de Litera	15 a 19	Mujeres	73
22225	Tamarite de Litera	20 a 24	Mujeres	117
22225	Tamarite de Litera	25 a 29	Mujeres	105
22225	Tamarite de Litera	30 a 34	Mujeres	95
22225	Tamarite de Litera	35 a 39	Mujeres	125
22225	Tamarite de Litera	40 a 44	Mujeres	121
22225	Tamarite de Litera	45 a 49	Mujeres	108
22225	Tamarite de Litera	50 a 54	Mujeres	105
22225	Tamarite de Litera	55 a 59	Mujeres	114
22225	Tamarite de Litera	60 a 64	Mujeres	87
22225	Tamarite de Litera	65 a 69	Mujeres	127
22225	Tamarite de Litera	70 a 74	Mujeres	131
22225	Tamarite de Litera	75 a 79	Mujeres	132
22225	Tamarite de Litera	80 a 84	Mujeres	92
22225	Tamarite de Litera	85 a 90	Mujeres	51
22225	Tamarite de Litera	90 ó más	Mujeres	25
22225	Tamarite de Litera	00 a 04	Hombres	66
22225	Tamarite de Litera	05 a 09	Hombres	84
22225	Tamarite de Litera	10 a 14	Hombres	62
22225	Tamarite de Litera	15 a 19	Hombres	93
22225	Tamarite de Litera	20 a 24	Hombres	125
22225	Tamarite de Litera	25 a 29	Hombres	137
22225	Tamarite de Litera	30 a 34	Hombres	151
22225	Tamarite de Litera	35 a 39	Hombres	132
22225	Tamarite de Litera	40 a 44	Hombres	118
22225	Tamarite de Litera	45 a 49	Hombres	107
22225	Tamarite de Litera	50 a 54	Hombres	97
22225	Tamarite de Litera	55 a 59	Hombres	97
22225	Tamarite de Litera	60 a 64	Hombres	94
22225	Tamarite de Litera	65 a 69	Hombres	121
22225	Tamarite de Litera	70 a 74	Hombres	125
22225	Tamarite de Litera	75 a 79	Hombres	102
22225	Tamarite de Litera	80 a 84	Hombres	61
22225	Tamarite de Litera	85 a 90	Hombres	46
22225	Tamarite de Litera	90 ó más	Hombres	15
22226	Tardienta	00 a 04	Mujeres	15
22226	Tardienta	05 a 09	Mujeres	13
22226	Tardienta	10 a 14	Mujeres	21
22226	Tardienta	15 a 19	Mujeres	30
22226	Tardienta	20 a 24	Mujeres	28
