Año	Código del municipio	Nombre del municipio	Superficie total regada	Superficie regada por aspersión	Superficie regada por riego localizado (goteo, microaspersión, etc.)	Superficie regada por gravedad	Superficie regada por otros métodos	Superficie regada con aguas subterráneas de pozo o sondeo	Superficie regada con aguas superficiales	Superficie regada con aguas depuradas	Superficie regada con concesión integrada en una Comunidad de Regantes	Superficie regada con concesión individual	Superficie regada con agua suficiente	Superficie regada con agua insuficiente	Superficie no regada, disponiendo la explotación de instalaciones y agua
1989	44106	Fortanete	1,96	1,96	0	0	0	1,96	0				1,96	0	0
1989	44107	Foz-Calanda	120,19	0	7	113,19	0	0	120,19				113,51	6,68	0
1989	44108	Fresneda (La)	60,65	0,38	5,08	55,19	0	7,75	52,9				59,44	1,21	6,97
1989	44109	Frías de Albarracín	1	0,01	0,04	0,55	0,4	0,04	0,96				0,94	0,06	0
1989	44110	Fuenferrada	0,38	0	0	0	0,38	0,38	0				0,38	0	0
1989	44111	Fuentes Calientes	8,75	0,05	0	8,7	0	0,05	8,7				8,41	0,34	0,46
1989	44112	Fuentes Claras	349,62	19,31	0,29	329,12	0,9	151,28	198,34				251,05	98,57	25,03
1989	44113	Fuentes de Rubielos	4,85	0	0	4,85	0	0	4,85				0,1	4,75	0
1989	44114	Fuentespalda	29,03	0,01	0,06	28,95	0,01	12,14	16,89				22,02	7,01	4,2
1989	44115	Galve	67,6	0,01	0,01	67,57	0,01	1,02	66,58				65	2,6	0
1989	44116	Gargallo	4,84	0,11	0	4,73	0	0,08	4,76				4,74	0,1	13,69
1989	44117	Gea de Albarracín	123,63	0	0,8	77,91	44,92	1,3	122,33				123,39	0,24	0
1989	44118	Ginebrosa (La)	165,71	6,35	0,56	133,39	25,41	8,71	157				148,38	17,33	2
1989	44119	Griegos	0	0	0	0	0	0	0				0	0	0
1989	44120	Guadalaviar	0,18	0,01	0,12	0,01	0,04	0,04	0,14				0,08	0,1	0
1989	44121	Gúdar	30,4	0,11	0,49	29,69	0,11	0,15	30,25				30,02	0,38	0,17
1989	44122	Híjar	1003,49	13,2	0,01	990,26	0,02	134,93	868,56				914,36	89,13	0,79
1989	44123	Hinojosa de Jarque	10,42	0	0	10,42	0	0	10,42				9,42	1	4,13
1989	44124	Hoz de la Vieja (La)	6,23	0	0	6,23	0	0,03	6,2				3,08	3,15	0
1989	44125	Huesa del Común	44,03	0	0	44,03	0	0	44,03				40,14	3,89	6,3
1989	44126	Iglesuela del Cid (La)	3,47	0	0	0,08	3,39	0,61	2,86				0,08	3,39	0
1989	44127	Jabaloyas	0	0	0	0	0	0	0				0	0	0
1989	44128	Jarque de la Val	27,15	0	0	27,15	0	0	27,15				23,68	3,47	9,15
1989	44129	Jatiel	72,15	0	0	72,15	0	0	72,15				68,35	3,8	0
1989	44130	Jorcas	56,59	0	0	56,59	0	0	56,59				3,04	53,55	0
1989	44131	Josa	3,56	0	0	3,54	0,02	0,02	3,54				2,18	1,38	23,92
1989	44132	Lagueruela	1,32	0	0	1,32	0	0	1,32				1,32	0	0
1989	44133	Lanzuela	4,45	4,3	0	0,15	0	4,3	0,15				4,45	0	0
1989	44135	Libros	77	0	0	77	0	0	77				76,35	0,65	15,45
1989	44136	Lidón	0,07	0,01	0	0,02	0,04	0,04	0,03				0,06	0,01	0
1989	44137	Linares de Mora	15,48	0,23	0,28	14,34	0,63	0,86	14,62				12,67	2,81	0
1989	44138	Loscos	3,08	0	0,05	3,03	0	0,18	2,9				1,28	1,8	0
1989	44141	Lledó	23,63	0	11	12,43	0,2	11,56	12,07				10,78	12,85	0,12
1989	44142	Maicas	1,41	0	0	1,41	0	0	1,41				1,41	0	0
1989	44143	Manzanera	109,41	0	0	109,41	0	2,58	106,83				108,24	1,17	214,12
1989	44144	Martín del Río	274,22	0	0	274,15	0,07	0,07	274,15				274,2	0,02	0
1989	44145	Mas de las Matas	218,67	0	4,58	5,19	208,9	0,28	218,39				169,4	49,27	0
1989	44146	Mata de los Olmos (La)	3,72	0	0,06	3,62	0,04	0,52	3,2				2,85	0,87	0
1989	44147	Mazaleón	166,75	0,1	13,95	152,09	0,61	5,94	160,81				165,21	1,54	4,79
1989	44148	Mezquita de Jarque	0,31	0	0	0,25	0,06	0,31	0				0,31	0	0
1989	44149	Mirambel	3,39	0	0	3,39	0	0,99	2,4				1,48	1,91	0,17
1989	44150	Miravete de la Sierra	40,04	0	0	40,04	0	0	40,04				23,64	16,4	0
1989	44151	Molinos	71,08	0,24	0,15	70,08	0,61	0,33	70,75				49,87	21,21	0
1989	44152	Monforte de Moyuela	7,04	0	0	7,04	0	0	7,04				7,04	0	0
1989	44153	Monreal del Campo	778,61	466,68	8,6	299,45	3,88	648,62	129,99				741,82	36,79	13,76
1989	44154	Monroyo	6,65	0,12	0,59	5,74	0,2	0	6,65				5,87	0,78	0
1989	44155	Montalbán	66,65	0,14	0,35	65,97	0,19	6,28	60,37				56,33	10,32	19,54
1989	44156	Monteagudo del Castillo	0	0	0	0	0	0	0				0	0	0
1989	44157	Monterde de Albarracín	0	0	0	0	0	0	0				0	0	0
1989	44158	Mora de Rubielos	231,2	16,92	12,19	199,16	2,93	32,31	198,89				200,66	30,54	36,18
1989	44159	Moscardón	1,75	0,02	0,01	1,72	0	0,05	1,7				1,18	0,57	1,4
1989	44160	Mosqueruela	2,12	0,37	0,01	0,04	1,7	0,41	1,71				0,41	1,71	0
1989	44161	Muniesa	1,54	0,01	0	1,35	0,18	0,26	1,28				1,53	0,01	0
1989	44163	Noguera de Albarracín	3,95	0,05	0	0,05	3,85	0,01	3,94				3,95	0	0
1989	44164	Nogueras	1,55	0	0	1,55	0	0	1,55				1,55	0	0
1989	44165	Nogueruelas	46,14	0	0	46,14	0	0	46,14				16,25	29,89	0
1989	44167	Obón	5,01	0,24	0	4,77	0	0,24	4,77				5,01	0	4,8
1989	44168	Odón	121,85	1,2	0	120,65	0	121,82	0,03				1,35	120,5	0
1989	44169	Ojos Negros	65,83	9,27	0	56,52	0,04	61,4	4,43				51,41	14,42	0
1989	44171	Olba	56,66	0,12	0,02	52,79	3,73	0,2	56,46				13,79	42,87	220,27
1989	44172	Oliete	133,35	0,1	0,03	133,19	0,03	0,69	132,66				126,98	6,37	0,61
1989	44173	Olmos (Los)	37,32	0	0	37,32	0	0,7	36,62				18,67	18,65	0
1989	44174	Orihuela del Tremedal	6,48	0	0	0,23	6,25	0,08	6,4				6,29	0,19	0
1989	44175	Orrios	174,53	0	0	174,53	0	0	174,53				162,53	12	0
1989	44176	Palomar de Arroyos	4,43	0	0	4,05	0,38	0,38	4,05				4,43	0	0
1989	44177	Pancrudo	4,65	0	0	0	4,65	4,6	0,05				4,65	0	0
1989	44178	Parras de Castellote (Las)	19,47	0	6	0,75	12,72	6,83	12,64				9,42	10,05	0
1989	44179	Peñarroya de Tastavins	56,32	18	0	38,32	0	30,46	25,86				45,97	10,35	2,1
1989	44180	Peracense	0	0	0	0	0	0	0				0	0	0
1989	44181	Peralejos	41,3	0	0	41,3	0	0	41,3				37,6	3,7	0
1989	44182	Perales del Alfambra	74,52	0,02	0	74,42	0,08	0,11	74,41				74,43	0,09	0
1989	44183	Pitarque	26,96	8	0	18,96	0	0	26,96				25,81	1,15	0
1989	44184	Plou	0,02	0	0	0	0,02	0,02	0				0	0,02	0
1989	44185	Pobo (El)	0,69	0	0	0,69	0	0,55	0,14				0,25	0,44	0
1989	44187	Portellada (La)	14,55	0	1	13,55	0	0,89	13,66				11,73	2,82	0,06
1989	44189	Pozondón	5	0	0	5	0	5	0				5	0	0
1989	44190	Pozuel del Campo	0	0	0	0	0	0	0				0	0	0
1989	44191	Puebla de Híjar (La)	805,4	9	94,61	696,9	4,89	0	805,4				732,82	72,58	0,78
1989	44192	Puebla de Valverde (La)	10,69	0,02	0,01	10,66	0	0,01	10,68				10,65	0,04	0
1989	44193	Puertomingalvo	17,23	16,1	0	0,53	0,6	16,71	0,52				16,63	0,6	0
1989	44194	Ráfales	17,73	0	0	17,73	0	1,41	16,32				8,15	9,58	0
1989	44195	Rillo	1,7	0	0	0,1	1,6	1,59	0,11				1,6	0,1	0
1989	44196	Riodeva	26,69	0	0	26,69	0	0	26,69				26,69	0	0
1989	44197	Ródenas	2	0	0	2	0	0	2				2	0	0
1989	44198	Royuela	92,55	0,08	0	11,36	81,11	0,07	92,48				48,09	44,46	0
1989	44199	Rubiales	2,1	0	0	2,1	0	0	2,1				2,1	0	0
1989	44200	Rubielos de la Cérida	2,3	0	2,3	0	0	2,3	0				2,3	0	0
1989	44201	Rubielos de Mora	160,3	0	0	160,3	0	0	160,3				1,19	159,11	0,69
1989	44203	Salcedillo	9	0	0	9	0	0	9				9	0	0
1989	44204	Saldón	0,2	0	0	0,2	0	0	0,2				0	0,2	0
1989	44205	Samper de Calanda	452,9	0	0	449,6	3,3	31	421,9				400,89	52,01	0
1989	44206	San Agustín	29,58	0,71	13,81	14,88	0,18	13,59	15,99				25,54	4,04	25
1989	44207	San Martín del Río	94,56	0,1	2,14	92,13	0,19	1,17	93,39				89,57	4,99	15,71
1989	44208	Santa Cruz de Nogueras	1,52	0	0	1,52	0	0,01	1,51				1,52	0	0
1989	44209	Santa Eulalia	581,71	122,75	0	458,76	0,2	358,61	223,1				443,23	138,48	5,67
1989	44210	Sarrión	45,9	0,07	0	45,83	0	0,05	45,85				43,77	2,13	0
1989	44211	Segura de los Baños	4,53	0	0	4,53	0	0	4,53				4,51	0,02	0
1989	44212	Seno	36,91	0,05	4,21	31,28	1,37	4,42	32,49				25,47	11,44	1,05
1989	44213	Singra	287,67	0	0	287,67	0	188,17	99,5				125,5	162,17	0
1989	44215	Terriente	1,73	0,02	0,02	1,69	0	0,03	1,7				1,69	0,04	0,02
1989	44216	Teruel	937,96	85,23	4,86	845,53	2,34	102,86	835,1				902,52	35,44	0
1989	44217	Toril y Masegoso	0	0	0	0	0	0	0				0	0	0
1989	44218	Tormón	7,32	0	0	7,32	0	0	7,32				6,8	0,52	0,02
1989	44219	Tornos	1,26	0,4	0	0,75	0,11	0,51	0,75				1,26	0	0
1989	44220	Torralba de los Sisones	9,87	9	0	0,75	0,12	9,12	0,75				9,87	0	0
1989	44221	Torrecilla de Alcañiz	29,03	0,89	0,13	28,01	0	2,67	26,36				10,05	18,98	0
1989	44222	Torrecilla del Rebollar	1,56	0	0	0	1,56	1,56	0				1,56	0	0
1989	44223	Torre de Arcas	0,26	0,03	0	0,23	0	0	0,26				0,23	0,03	0
1989	44224	Torre de las Arcas	0,86	0	0	0,86	0	0	0,86				0,71	0,15	5,05
1989	44225	Torre del Compte	66,02	0	13,55	52,47	0	3,38	62,64				62,69	3,33	7,46
1989	44226	Torrelacárcel	304,46	32	0	272,46	0	105,65	198,81				126,6	177,86	13
1989	44227	Torre los Negros	21,76	0	0	21,76	0	0	21,76				21,76	0	0
1989	44228	Torremocha de Jiloca	98,06	56,1	0	41,96	0	57,2	40,86				57,56	40,5	3,7
1989	44229	Torres de Albarracín	78,82	0,35	0	0,46	78,01	2,21	76,61				77,75	1,07	0
1989	44230	Torrevelilla	17,76	0	8,8	8,96	0	6,7	11,06				14,24	3,52	0
1989	44231	Torrijas	5,97	1,05	0	4,92	0	0	5,97				4,72	1,25	0
1989	44232	Torrijo del Campo	439,01	117,74	0	321,27	0	219,36	219,65				435,71	3,3	0,3
1989	44234	Tramacastiel	15,23	0	0	15,23	0	0	15,23				15,23	0	0
1989	44235	Tramacastilla	48,7	4,08	0,1	0	44,52	1,06	47,64				45,55	3,15	0
1989	44236	Tronchón	4,19	0	0	4,19	0	0	4,19				3,26	0,93	0
1989	44237	Urrea de Gaén	367,23	0,58	0,01	366,5	0,14	0	367,23				367,23	0	0
1989	44238	Utrillas	33,23	0,01	0	33,22	0	0,12	33,11				30,22	3,01	10,51
1989	44239	Valacloche	13,15	0	0	13,15	0	0	13,15				1	12,15	0
1989	44240	Valbona	95	0,03	0,03	94,5	0,44	1,08	93,92				93,3	1,7	53,35
1989	44241	Valdealgorfa	3,17	3	0	0,17	0	2,99	0,18				0,35	2,82	0
1989	44243	Valdecuenca	0	0	0	0	0	0	0				0	0	0
1989	44244	Valdelinares	0,56	0,02	0	0	0,54	0,07	0,49				0,04	0,52	0
1989	44245	Valdeltormo	24,25	0	0,4	23,85	0	0,56	23,69				21,44	2,81	1
1989	44246	Valderrobres	191,46	0	13,77	177,69	0	5,38	186,08				183,17	8,29	2,53
1989	44247	Valjunquera	9,32	0	0,12	9,2	0	3,14	6,18				7,32	2	0,13
1989	44249	Vallecillo (El)	4,53	4,5	0	0,03	0	4,5	0,03				4,5	0,03	0
1989	44250	Veguillas de la Sierra	0,56	0	0	0,56	0	0	0,56				0,56	0	0
1989	44251	Villafranca del Campo	656,27	118,99	0	537,28	0	531,09	125,18				476,62	179,65	30,24
1989	44252	Villahermosa del Campo	2,03	1,2	0	0,83	0	0,1	1,93				1,99	0,04	0
1989	44256	Villanueva del Rebollar de la Sierra	0,45	0	0	0,45	0	0	0,45				0,45	0	0
1989	44257	Villar del Cobo	0	0	0	0	0	0	0				0	0	0
1989	44258	Villar del Salz	0,48	0	0	0,48	0	0	0,48				0,48	0	0
1989	44260	Villarluengo	20,05	0	0	20,05	0	0,5	19,55				20,05	0	0
1989	44261	Villarquemado	624,26	288,58	11	323,43	1,25	288,58	335,68				295,84	328,42	36,54
1989	44262	Villarroya de los Pinares	3,88	1	0	2,88	0	0	3,88				3,32	0,56	0
1989	44263	Villastar	98,63	0	0	98,63	0	0	98,63				96,36	2,27	0
1989	44264	Villel	157,96	3,01	0,19	154,76	0	3,19	154,77				152,83	5,13	0
1989	44265	Vinaceite	143,26	0	1,41	140,35	1,5	1,41	141,85				1,93	141,33	0
1989	44266	Visiedo	0	0	0	0	0	0	0				0	0	0
1989	44267	Vivel del Río Martín	77,33	0	0	76,31	1,02	0,12	77,21				77,33	0	0
1989	44268	Zoma (La)	5,92	1,01	0,47	4,14	0,3	0,05	5,87				5,32	0,6	3,09
1989	50001	Abanto	35,8	0	0	35,8	0	0	35,8				35,3	0,5	0
1989	50002	Acered	0,24	0,24	0	0	0	0	0,24				0,21	0,03	3,2
1989	50003	Agón	437,29	6,68	0	430,61	0	0	437,29				282,05	155,24	2,1
1989	50004	Aguarón	17,21	10,38	3,75	3,08	0	5,38	11,83				13,99	3,22	0
1989	50005	Aguilón	3,8	0	0	3,8	0	0	3,8				3,3	0,5	8
1989	50006	Ainzón	456,96	91,06	80	285,9	0	171,47	285,49				329,12	127,84	0
1989	50007	Aladrén	1,46	0	0	1,44	0,02	0,98	0,48				0,86	0,6	0
1989	50008	Alagón	1563,96	3,98	7,63	1552	0,35	0,1	1563,86				1562,29	1,67	2,92
1989	50009	Alarba	9,76	0,01	0,03	9,72	0	0,01	9,75				6,67	3,09	2,79
1989	50010	Alberite de San Juan	56,48	0	0	56,48	0	0	56,48				32,06	24,42	0
1989	50011	Albeta	2,11	0	0	2,11	0	0	2,11				1,89	0,22	0
1989	50012	Alborge	8,82	0	0	8,82	0	0	8,82				8,82	0	0
1989	50013	Alcalá de Ebro	366,65	0,06	0,19	366,27	0,13	0,06	366,59				359,9	6,75	0
1989	50014	Alcalá de Moncayo	107,82	5,43	0	102,39	0	0	107,82				0	107,82	0
1989	50015	Alconchel de Ariza	0,13	0	0	0,12	0,01	0,13	0				0,13	0	0
1989	50016	Aldehuela de Liestos	0,04	0	0	0,04	0	0	0,04				0,04	0	0
1989	50017	Alfajarín	1221,46	45,23	0	1176,23	0	3,5	1217,96				1221,06	0,4	0,2
1989	50018	Alfamén	2383,22	914,46	445,46	872	151,3	1863,92	519,3				2277,39	105,83	4
1989	50019	Alforque	101,44	0	0	101,44	0	0	101,44				101,44	0	0
1989	50020	Alhama de Aragón	97,21	2,25	0,14	94,12	0,7	5,51	91,7				94,72	2,49	0
1989	50021	Almochuel	106,89	0	0	106,89	0	0	106,89				17,86	89,03	6,29
1989	50022	Almolda (La)	0	0	0	0	0	0	0				0	0	0
1989	50023	Almonacid de la Cuba	139,67	0,57	2,01	137,01	0,08	3,32	136,35				94,17	45,5	0
1989	50024	Almonacid de la Sierra	1059,67	764,46	232,38	62,83	0	974,23	85,44				377,7	681,97	8,85
1989	50025	Almunia de Doña Godina (La)	2588,95	325,31	525,17	1644,16	94,31	1009,07	1579,88				2323,23	265,72	34,94
1989	50026	Alpartir	46,64	0,02	23,88	22,31	0,43	35,24	11,4				33,5	13,14	0
1989	50027	Ambel	343,91	0,01	0,02	343,87	0,01	0,9	343,01				4,05	339,86	0
1989	50028	Anento	30,64	7	0	23,64	0	7,08	23,56				27,44	3,2	2,1
1989	50029	Aniñón	76,14	0,2	0,56	75,23	0,15	3,98	72,16				13,09	63,05	0
1989	50030	Añón de Moncayo	86,44	1,19	1,19	82,87	1,19	0	86,44				57,12	29,32	7,01
1989	50031	Aranda de Moncayo	151,18	0	0	147,48	3,7	0	151,18				151,13	0,05	24,02
1989	50032	Arándiga	446,18	0	36,4	409,78	0	0	446,18				443,58	2,6	0,3
1989	50033	Ardisa	0,16	0	0	0,01	0,15	0	0,16				0,16	0	57,2
1989	50034	Ariza	484,47	8,51	8,79	465,65	1,52	17,14	467,33				203,98	280,49	0
1989	50035	Artieda	1,2	0	0	1,2	0	0	1,2				0,8	0,4	2
1989	50036	Asín	18,75	1,14	3,44	13,41	0,76	15,96	2,79				13,05	5,7	0
1989	50037	Atea	0,13	0	0,01	0,12	0	0	0,13				0,13	0	0
1989	50038	Ateca	341,73	104,62	10,02	226,9	0,19	57,86	283,87				235,87	105,86	17,34
1989	50039	Azuara	294,09	41,2	0	3,35	249,54	40,7	253,39				270,05	24,04	0
1989	50040	Badules	24,25	1,87	0	22,13	0,25	2,12	22,13				24,19	0,06	24,5
1989	50041	Bagüés	0,2	0,2	0	0	0	0	0,2				0,2	0	0
1989	50042	Balconchán	10	0	0	10	0	0	10				10	0	0
1989	50043	Bárboles	826,59	299	62	425,59	40	0	826,59				648,71	177,88	0
1989	50044	Bardallur	191,87	1,53	0,32	189,82	0,2	0,11	191,76				191,59	0,28	0
1989	50045	Belchite	2478,29	0,53	82,61	2394,62	0,53	65,74	2412,55				2378,19	100,1	0
1989	50046	Belmonte de Gracián	95,04	0,37	9,17	85,13	0,37	17,17	77,87				18,48	76,56	0,75
1989	50047	Berdejo	6,04	0,12	0,63	0,33	4,96	0,63	5,41				6	0,04	0
1989	50048	Berrueco	0,01	0	0	0,01	0	0	0,01				0,01	0	0
1989	50050	Bijuesca	72,04	0,05	0,33	71,63	0,03	0,34	71,7				72,01	0,03	1
1989	50051	Biota	2227,44	0,08	0,08	2227,24	0,04	3,5	2223,94				1538,85	688,59	0
1989	50052	Bisimbre	265,44	0	0	265,44	0	0	265,44				259,2	6,24	0
1989	50053	Boquiñeni	813,44	8,43	0,01	758,88	46,12	8,42	805,02				798,54	14,9	0,21
1989	50054	Bordalba	10	0	0	10	0	5,3	4,7				10	0	0
1989	50055	Borja	1904,54	3,64	0,01	1862,97	37,92	14,93	1889,61				1333,7	570,84	10
1989	50056	Botorrita	72,04	0	1,8	67,64	2,6	1,07	70,97				67,54	4,5	0
1989	50057	Brea de Aragón	40,29	0,16	0,26	39,47	0,4	5,58	34,71				38,51	1,78	2,22
1989	50058	Bubierca	79,58	0,04	0,18	79,33	0,03	2,69	76,89				78,8	0,78	0
1989	50059	Bujaraloz	3	0	0	3	0	3	0				3	0	0
1989	50060	Bulbuente	242,04	0	0	242,04	0	0	242,04				0	242,04	0
1989	50061	Bureta	249,12	7,5	0	241,62	0	7,5	241,62				8,5	240,62	0
1989	50062	Burgo de Ebro (El)	1299,63	0	0	1216,31	83,32	0	1299,63				1271,56	28,07	13,76
1989	50063	Buste (El)	1,41	0	0	1,41	0	0,03	1,38				0,25	1,16	0
1989	50064	Cabañas de Ebro	425,17	0,18	0	422,94	2,05	0,03	425,14				424,42	0,75	0
1989	50065	Cabolafuente	0,1	0	0	0,1	0	0	0,1				0	0,1	0
1989	50066	Cadrete	88,47	0	0	88,47	0	0	88,47				76,42	12,05	0
1989	50067	Calatayud	1317,02	2,21	167,87	1129,46	17,48	144,99	1172,03				1208,78	108,24	0
1989	50068	Calatorao	1921,61	213,99	114,28	1593,29	0,05	279,59	1642,02				1627,02	294,59	10,86
1989	50069	Calcena	5,94	0	0	5,94	0	0	5,94				5,94	0	0
1989	50070	Calmarza	12,7	0	0	12,7	0	0	12,7				12,5	0,2	0
1989	50071	Campillo de Aragón	0,5	0	0	0,5	0	0,43	0,07				0,5	0	0
1989	50072	Carenas	68,94	0	0,59	68,35	0	2,05	66,89				68,64	0,3	0
1989	50073	Cariñena	715,89	338,09	279,94	35,97	61,89	681,85	34,04				512,42	203,47	0
1989	50074	Caspe	3732,32	81,48	430,04	3216,29	4,51	7,25	3725,07				3655,34	76,98	106,22
1989	50075	Castejón de Alarba	0	0	0	0	0	0	0				0	0	0
1989	50076	Castejón de las Armas	68,8	0,36	0,52	65,4	2,52	0,3	68,5				68,54	0,26	0,5
1989	50077	Castejón de Valdejasa	5,88	0,01	0,04	5,82	0,01	0,16	5,72				5,57	0,31	0
1989	50078	Castiliscar	1089,09	0	0	1070,95	18,14	25,55	1063,54				1004,4	84,69	0
1989	50079	Cervera de la Cañada	92,58	25,16	0,21	66,85	0,36	35,1	57,48				20,48	72,1	0
1989	50080	Cerveruela	10,03	2	0	8,03	0	0	10,03				10,03	0	0
1989	50081	Cetina	489,66	5,75	21,42	450,77	11,72	22,77	466,89				41,28	448,38	22,67
1989	50082	Cimballa	83,59	0	0,28	80,36	2,95	3,4	80,19				79,63	3,96	0,6
1989	50083	Cinco Olivas	12,41	0	0	12,41	0	0	12,41				12,41	0	0
1989	50084	Clarés de Ribota	12,23	0,06	0,07	12,03	0,07	0,51	11,72				1,72	10,51	0
1989	50085	Codo	207,74	0	0	207,74	0	151	56,74				207,74	0	0
1989	50086	Codos	96,71	0,2	29,58	63,35	3,58	25,23	71,48				31,48	65,23	0
1989	50087	Contamina	70,3	0,08	0,75	69,26	0,21	0,3	70				62,02	8,28	0
1989	50088	Cosuenda	41,17	26,89	7,68	6,6	0	36,16	5,01				28,52	12,65	0
1989	50089	Cuarte de Huerva	100,15	0	0	100,15	0	0	100,15				94,95	5,2	0
1989	50090	Cubel	0	0	0	0	0	0	0				0	0	0
1989	50091	Cuerlas (Las)	10,03	10	0	0,03	0	10,03	0				10,03	0	0
1989	50092	Chiprana	793,08	393	135	265,08	0	18	775,08				793,08	0	0
1989	50093	Chodes	93,09	0	0	93,09	0	0,75	92,34				91,83	1,26	0
1989	50094	Daroca	221,65	1,17	2,49	217,99	0	0,53	221,12				209,36	12,29	0,2
1989	50095	Ejea de los Caballeros	19456,88	700,02	43,8	18691,93	21,13	47,18	19409,7				18389,19	1067,69	32,55
1989	50096	Embid de Ariza	31,42	0	0	31,42	0	0	31,42				31,42	0	0,6
1989	50098	Encinacorba	12,93	2,33	0,15	10,17	0,28	12,22	0,71				7,56	5,37	0
1989	50099	Épila	2683,19	565,99	885,18	1232,02	0	1361,61	1321,58				2676,87	6,32	0
1989	50100	Erla	290,05	55	0	235,05	0	55	235,05				214,97	75,08	0
1989	50101	Escatrón	517,69	1,62	0,04	516,03	0	1,66	516,03				513,81	3,88	33,66
1989	50102	Fabara	472,8	0,21	8,23	459,63	4,73	0,53	472,27				436,19	36,61	34,5
1989	50104	Farlete	16,78	0	0	16,78	0	0	16,78				16,78	0	0
1989	50105	Fayón	23,95	0,64	1,2	19,71	2,4	0,01	23,94				0,35	23,6	3,94
1989	50106	Fayos (Los)	42,76	0,22	0,46	42,05	0,03	0,01	42,75				32,46	10,3	55,26
1989	50107	Figueruelas	524,88	0,05	0,1	524,73	0	0	524,88				519,28	5,6	0
1989	50108	Fombuena	24,06	0	0	24,06	0	0	24,06				24,06	0	0
1989	50109	Frago (El)	2,38	0,03	0,09	2,24	0,02	0,05	2,33				1,53	0,85	0
1989	50110	Frasno (El)	75,95	0,03	21,27	53	1,65	26,53	49,42				46,15	29,8	0
1989	50111	Fréscano	665,59	0,01	7,69	652,52	5,37	0	665,59				634,11	31,48	0
1989	50113	Fuendejalón	17,43	0	0	17,43	0	3,58	13,85				13,76	3,67	0
1989	50114	Fuendetodos	1,1	0,4	0	0,4	0,3	0,2	0,9				0,7	0,4	0
1989	50115	Fuentes de Ebro	3659,57	856,4	1,76	2787,21	14,2	55,73	3603,84				3507,5	152,07	131,44
1989	50116	Fuentes de Jiloca	212,3	0	22,12	190,18	0	22,12	190,18				206,82	5,48	23,38
1989	50117	Gallocanta	0,19	0,01	0	0,18	0	0,07	0,12				0,18	0,01	0
1989	50118	Gallur	2608,09	621	25,05	1960,93	1,11	12,35	2595,74				2365,22	242,87	115
1989	50119	Gelsa	1116,87	0	0	1116,87	0	0,05	1116,82				1112,27	4,6	0
1989	50120	Godojos	1,9	0	0	1,9	0	1,4	0,5				0,5	1,4	0
1989	50121	Gotor	41,9	0	0	41,9	0	0	41,9				41,5	0,4	0,1
1989	50122	Grisel	183,28	0	0	183,28	0	0,15	183,13				32,38	150,9	3
1989	50123	Grisén	196,95	2,82	0,23	193,76	0,14	0,08	196,87				180,6	16,35	0
1989	50124	Herrera de los Navarros	3,23	0,02	0,01	0,25	2,95	0,08	3,15				0,83	2,4	0
1989	50125	Ibdes	96,82	0	0	96,81	0,01	3,88	92,94				94,23	2,59	40,78
1989	50126	Illueca	47,18	0,01	2,49	44,34	0,34	3,56	43,62				44,17	3,01	0,4
1989	50128	Isuerre	0,31	0	0	0,27	0,04	0,04	0,27				0,12	0,19	0
1989	50129	Jaraba	48,89	0	0,06	48,15	0,68	6	42,89				44,54	4,35	3,19
1989	50130	Jarque de Moncayo	104,05	0	7,84	96,21	0	0	104,05				103,49	0,56	4,8
1989	50131	Jaulín	0	0	0	0	0	0	0				0	0	0
1989	50132	Joyosa (La)	383,44	2,36	0	381,08	0	0	383,44				374,26	9,18	0
1989	50133	Lagata	50,47	0,23	0	50,24	0	0	50,47				49,78	0,69	0
1989	50134	Langa del Castillo	0,52	0	0	0,49	0,03	0,03	0,49				0,52	0	0
1989	50135	Layana	2,6	0	0	2,6	0	0	2,6				2,6	0	0
1989	50136	Lécera	1,65	0	0	0,05	1,6	0	1,65				1,65	0	0
1989	50137	Leciñena	590,81	318,01	0,25	264,03	8,52	0,62	590,19				540,42	50,39	0
1989	50138	Lechón	12,18	1,04	0	11,04	0,1	1,12	11,06				12,18	0	6,44
1989	50139	Letux	152,32	4,62	0,58	147,03	0,09	5,04	147,28				145,49	6,83	0
1989	50140	Litago	75,29	0	0	75,29	0	3,12	72,17				74,74	0,55	0
1989	50141	Lituénigo	70,2	0	0	68,24	1,96	3,12	67,08				67,96	2,24	0
1989	50142	Lobera de Onsella	0,55	0	0	0,55	0	0	0,55				0	0,55	0
1989	50143	Longares	73,48	60,98	12,5	0	0	73,48	0				69,48	4	3
1989	50144	Longás	0,17	0	0	0,17	0	0	0,17				0,13	0,04	0
1989	50146	Lucena de Jalón	295,38	103	14,5	177,88	0	123,2	172,18				293,48	1,9	0
1989	50147	Luceni	1023,63	115	0,04	896,01	12,58	0,78	1022,85				1010,73	12,9	0,52
1989	50148	Luesia	166,65	76,75	0,01	89,88	0,01	0,04	166,61				88,5	78,15	0,09
1989	50149	Luesma	0,13	0	0	0,11	0,02	0,02	0,11				0,13	0	0
1989	50150	Lumpiaque	121,32	7,41	0,02	113,87	0,02	5,45	115,87				108,91	12,41	0
1989	50151	Luna	1145,63	6,1	211,59	922,84	5,1	12,63	1133				541,41	604,22	0
1989	50152	Maella	936,77	0,95	217,75	682,97	35,1	2,11	934,66				901,31	35,46	26,52
1989	50153	Magallón	1074,02	0,19	1,76	1070	2,07	17,06	1056,96				34,94	1039,08	0,53
