Municipio codigo	Municipio nombre	Grandes grupos, código	Grandes grupos	Sexo, código	Sexo	Total	Españoles	Extranjeros
22022	Almunia de San Juan	2	De 26 a 45	1	Hombre	110,4812400927	107,6397147525	2,8415253402
22022	Almunia de San Juan	3	De 46 a 64	1	Hombre	96,1728317747	96,1728317747	0
22022	Almunia de San Juan	4	De 65 y más	1	Hombre	70,0950722382	70,0950722382	0
22022	Almunia de San Juan	5	De 65 y más	1	Hombre	9,9049277621	9,9049277621	0
22023	Almuniente	0	Menor de 16	1	Hombre	20,9999999999	20,9999999999	0
22023	Almuniente	1	De 16 a 25	1	Hombre	9,0153801124	9,0153801124	0
22023	Almuniente	2	De 26 a 45	1	Hombre	124,678547861	120,2240410381	4,4545068229
22023	Almuniente	3	De 46 a 64	1	Hombre	63,3060720267	63,3060720267	0
22023	Almuniente	4	De 65 y más	1	Hombre	59,7892134782	59,7892134782	0
22023	Almuniente	5	De 65 y más	1	Hombre	6,2107865222	6,2107865222	0
22024	Alquézar	0	Menor de 16	1	Hombre	10,2274007004	9,4022428283	0,8251578721
22024	Alquézar	1	De 16 a 25	1	Hombre	9,469827121	9,469827121	0
22024	Alquézar	2	De 26 a 45	1	Hombre	48,3230257152	35,1699930048	13,1530327104
22024	Alquézar	3	De 46 a 64	1	Hombre	46,6638265028	37,0668616416	9,5969648612
22024	Alquézar	4	De 65 y más	1	Hombre	35,8212305104	31,2995342428	4,5216962676
22024	Alquézar	5	De 65 y más	1	Hombre	2,6038512189	2,6038512189	0
22025	Altorricón	0	Menor de 16	1	Hombre	95,7069249541	56,6287444221	39,078180532
22025	Altorricón	1	De 16 a 25	1	Hombre	74,6804431935	35,6935537664	38,9868894271
22025	Altorricón	2	De 26 a 45	1	Hombre	251,1816955535	186,5259879144	64,6557076391
22025	Altorricón	3	De 46 a 64	1	Hombre	202,1809922225	176,7722501204	25,4087421021
22025	Altorricón	4	De 65 y más	1	Hombre	148,5296375096	148,5296375096	0
22025	Altorricón	5	De 65 y más	1	Hombre	30,4703624904	30,4703624904	0
22027	Angüés	0	Menor de 16	1	Hombre	26,7974150145	26,7974150145	0
22027	Angüés	1	De 16 a 25	1	Hombre	19,5063774559	11,196844215	8,3095332409
22027	Angüés	2	De 26 a 45	1	Hombre	54,5326275647	46,2230943238	8,3095332409
22027	Angüés	3	De 46 a 64	1	Hombre	46,1635799644	46,1635799644	0
22027	Angüés	4	De 65 y más	1	Hombre	33,4344070376	33,4344070376	0
22027	Angüés	5	De 65 y más	1	Hombre	6,7207909621	6,7207909621	0
22028	Ansó	0	Menor de 16	1	Hombre	24,7572264845	24,7572264845	0
22028	Ansó	1	De 16 a 25	1	Hombre	10,6515714727	10,6515714727	0
22028	Ansó	2	De 26 a 45	1	Hombre	67,4773097234	67,4773097234	0
22028	Ansó	3	De 46 a 64	1	Hombre	54,1138923189	53,1746674099	0,939224909
