Año	Comarca	Municipio	Entidad singular	Núcleo	Personas
2017	03-Sobrarbe	22066-Boltaña	220660005 - Morillo de Sampietro	22066000599 - *Diseminado*	4
2017	03-Sobrarbe	22066-Boltaña	220660006 - Pueyo de Morcat (El)	22066000699 - *Diseminado*	5
2017	03-Sobrarbe	22066-Boltaña	220660007 - Sieste	22066000799 - *Diseminado*	22
2017	03-Sobrarbe	22066-Boltaña	220660008 - Valle (La)	22066000899 - *Diseminado*	9
2017	03-Sobrarbe	22066-Boltaña	220660009 - Aguilar	22066000999 - *Diseminado*	3
2017	03-Sobrarbe	22066-Boltaña	220660010 - Matidero	22066001099 - *Diseminado*	1
2017	03-Sobrarbe	22066-Boltaña	220660011 - Seso	22066001199 - *Diseminado*	2
2017	03-Sobrarbe	22066-Boltaña	220660012 - Silves	22066001299 - *Diseminado*	3
2017	03-Sobrarbe	22069-Broto	220690001 - Asín de Broto	22069000101 - Asín de Broto	21
2017	03-Sobrarbe	22069-Broto	220690002 - Bergua	22069000201 - Bergua	32
2017	03-Sobrarbe	22069-Broto	220690003 - Broto	22069000301 - Broto	274
2017	03-Sobrarbe	22069-Broto	220690003 - Broto	22069000399 - *Diseminado*	6
2017	03-Sobrarbe	22069-Broto	220690004 - Buesa	22069000401 - Buesa	49
2017	03-Sobrarbe	22069-Broto	220690005 - Oto	22069000501 - Oto	72
2017	03-Sobrarbe	22069-Broto	220690006 - Sarvisé	22069000601 - Sarvisé	98
2017	03-Sobrarbe	22107-Fanlo	221070001 - Buerba	22107000101 - Buerba	28
2017	03-Sobrarbe	22107-Fanlo	221070002 - Buisán	22107000299 - *Diseminado*	7
2017	03-Sobrarbe	22107-Fanlo	221070003 - Fanlo	22107000301 - Fanlo	30
2017	03-Sobrarbe	22107-Fanlo	221070004 - Nerín	22107000401 - Nerín	19
2017	03-Sobrarbe	22107-Fanlo	221070005 - Vio	22107000501 - Vio	5
2017	03-Sobrarbe	22107-Fanlo	221070006 - Yeba	22107000601 - Yeba	13
2017	03-Sobrarbe	22109-Fiscal	221090001 - Albella	22109000101 - Albella	17
2017	03-Sobrarbe	22109-Fiscal	221090002 - Arresa	22109000201 - Arresa	9
2017	03-Sobrarbe	22109-Fiscal	221090003 - Borrastre	22109000301 - Borrastre	28
2017	03-Sobrarbe	22109-Fiscal	221090004 - Fiscal	22109000401 - Fiscal	176
2017	03-Sobrarbe	22109-Fiscal	221090005 - Jánovas	22109000599 - *Diseminado*	1
2017	03-Sobrarbe	22109-Fiscal	221090006 - Javierre de Ara	22109000601 - Javierre de Ara	12
2017	03-Sobrarbe	22109-Fiscal	221090008 - Lardiés	22109000801 - Lardiés	9
2017	03-Sobrarbe	22109-Fiscal	221090009 - Ligüerre de Ara	22109000901 - Ligüerre de Ara	42
2017	03-Sobrarbe	22109-Fiscal	221090010 - Planillo	22109001001 - Planillo	7
2017	03-Sobrarbe	22109-Fiscal	221090011 - San Felices de Ara	22109001101 - San Felices de Ara	12
2017	03-Sobrarbe	22109-Fiscal	221090012 - San Juste	22109001201 - San Juste	7
2017	03-Sobrarbe	22109-Fiscal	221090013 - San Martín de Solana	22109001301 - San Martín de Solana	2
2017	03-Sobrarbe	22109-Fiscal	221090014 - Santa Olaria de Ara	22109001401 - Santa Olaria de Ara	1
2017	03-Sobrarbe	22113-Fueva (La)	221130001 - Alueza	22113000199 - *Diseminado*	9
2017	03-Sobrarbe	22113-Fueva (La)	221130003 - Buetas	22113000399 - *Diseminado*	28
2017	03-Sobrarbe	22113-Fueva (La)	221130004 - Cabezonada (La)	22113000499 - *Diseminado*	42
2017	03-Sobrarbe	22113-Fueva (La)	221130005 - Charo	22113000501 - Charo	26
2017	03-Sobrarbe	22113-Fueva (La)	221130005 - Charo	22113000599 - *Diseminado*	6
2017	03-Sobrarbe	22113-Fueva (La)	221130006 - Formigales	22113000601 - Formigales	25
2017	03-Sobrarbe	22113-Fueva (La)	221130007 - Fosado	22113000799 - *Diseminado*	27
2017	03-Sobrarbe	22113-Fueva (La)	221130008 - Fuendecampo	22113000899 - *Diseminado*	29
2017	03-Sobrarbe	22113-Fueva (La)	221130009 - Humo de Muro (El)	22113000999 - *Diseminado*	13
2017	03-Sobrarbe	22113-Fueva (La)	221130010 - Humo de Rañín (El)	22113001099 - *Diseminado*	14
2017	03-Sobrarbe	22113-Fueva (La)	221130011 - Aluján	22113001199 - *Diseminado*	21
