Municipio código	Municipio nombre	Sexo	Sector actividad	Rama actividad, código	Rama actividad, descripción	Personas residentes viviendas familiares
22013	Alberuela de Tubo	Varones	Servicios	12	Transporte y comunicaciones	6
22013	Alberuela de Tubo	Varones	Servicios	13	Finanzas y servicios a empresas	3
22013	Alberuela de Tubo	Varones	Servicios	14	Administración pública	3
22013	Alberuela de Tubo	Varones	Servicios	16	Sanidad	1
22014	Alcalá de Gurrea	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	1
22014	Alcalá de Gurrea	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	3
22014	Alcalá de Gurrea	Mujeres	Industria y energía	04	Textil y calzado	1
22014	Alcalá de Gurrea	Mujeres	Industria y energía	07	Metal	1
22014	Alcalá de Gurrea	Mujeres	Servicios	10	Comercio y reparación	6
22014	Alcalá de Gurrea	Mujeres	Servicios	11	Hostelería	4
22014	Alcalá de Gurrea	Mujeres	Servicios	13	Finanzas y servicios a empresas	1
22014	Alcalá de Gurrea	Mujeres	Servicios	14	Administración pública	6
22014	Alcalá de Gurrea	Mujeres	Servicios	15	Educación	2
22014	Alcalá de Gurrea	Mujeres	Servicios	16	Sanidad	4
22014	Alcalá de Gurrea	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22014	Alcalá de Gurrea	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	27
22014	Alcalá de Gurrea	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	3
22014	Alcalá de Gurrea	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	3
22014	Alcalá de Gurrea	Varones	Industria y energía	07	Metal	10
22014	Alcalá de Gurrea	Varones	Construcción	09	Construcción	12
22014	Alcalá de Gurrea	Varones	Servicios	10	Comercio y reparación	4
22014	Alcalá de Gurrea	Varones	Servicios	11	Hostelería	2
22014	Alcalá de Gurrea	Varones	Servicios	12	Transporte y comunicaciones	4
22014	Alcalá de Gurrea	Varones	Servicios	13	Finanzas y servicios a empresas	1
22014	Alcalá de Gurrea	Varones	Servicios	14	Administración pública	8
22014	Alcalá de Gurrea	Varones	Servicios	15	Educación	1
22015	Alcalá del Obispo	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1
22015	Alcalá del Obispo	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	1
22015	Alcalá del Obispo	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	1
22015	Alcalá del Obispo	Mujeres	Industria y energía	07	Metal	1
22015	Alcalá del Obispo	Mujeres	Servicios	10	Comercio y reparación	6
22015	Alcalá del Obispo	Mujeres	Servicios	11	Hostelería	3
22015	Alcalá del Obispo	Mujeres	Servicios	12	Transporte y comunicaciones	1
22015	Alcalá del Obispo	Mujeres	Servicios	13	Finanzas y servicios a empresas	3
22015	Alcalá del Obispo	Mujeres	Servicios	14	Administración pública	5
22015	Alcalá del Obispo	Mujeres	Servicios	15	Educación	2
22015	Alcalá del Obispo	Mujeres	Servicios	16	Sanidad	7
22015	Alcalá del Obispo	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	4
22015	Alcalá del Obispo	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	43
22015	Alcalá del Obispo	Varones	Industria y energía	02	Extractivas, energía, gas y agua	3
22015	Alcalá del Obispo	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	1
22015	Alcalá del Obispo	Varones	Industria y energía	07	Metal	4
22015	Alcalá del Obispo	Varones	Construcción	09	Construcción	12
22015	Alcalá del Obispo	Varones	Servicios	10	Comercio y reparación	14
