Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	CIF	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Febrero 2019	201902	Febrero	2019	22	Huesca	Otros	Mujeres	Temporal	0	827	0	0
Febrero 2019	201902	Febrero	2019	22	Huesca	Otros	Mujeres	Temporal	1	1480	100548	67,93783783783783783783783783783783783784
Febrero 2019	201902	Febrero	2019	44	Teruel	A través de una ETT	Hombres	Temporal	0	53	0	0
Febrero 2019	201902	Febrero	2019	44	Teruel	A través de una ETT	Hombres	Temporal	1	618	3871	6,26375404530744336569579288025889967638
Febrero 2019	201902	Febrero	2019	44	Teruel	A través de una ETT	Mujeres	Temporal	0	26	0	0
Febrero 2019	201902	Febrero	2019	44	Teruel	A través de una ETT	Mujeres	Temporal	1	237	1388	5,85654008438818565400843881856540084388
Febrero 2019	201902	Febrero	2019	44	Teruel	Otros	Hombres	Temporal	0	419	0	0
Febrero 2019	201902	Febrero	2019	44	Teruel	Otros	Hombres	Temporal	1	798	62169	77,90601503759398496240601503759398496241
Febrero 2019	201902	Febrero	2019	44	Teruel	Otros	Mujeres	Temporal	0	353	0	0
Febrero 2019	201902	Febrero	2019	44	Teruel	Otros	Mujeres	Temporal	1	864	44556	51,56944444444444444444444444444444444444
Febrero 2019	201902	Febrero	2019	50	Zaragoza	A través de una ETT	Hombres	Temporal	0	1216	0	0
Febrero 2019	201902	Febrero	2019	50	Zaragoza	A través de una ETT	Hombres	Temporal	1	3761	43379	11,5339005583621377293273065674022866259
Febrero 2019	201902	Febrero	2019	50	Zaragoza	A través de una ETT	Mujeres	Temporal	0	753	0	0
Febrero 2019	201902	Febrero	2019	50	Zaragoza	A través de una ETT	Mujeres	Temporal	1	2898	28090	9,692891649413388543823326432022084196
Febrero 2019	201902	Febrero	2019	50	Zaragoza	Otros	Hombres	Temporal	0	4235	0	0
Febrero 2019	201902	Febrero	2019	50	Zaragoza	Otros	Hombres	Temporal	1	5726	439895	76,82413552217953195948305972755850506462
Febrero 2019	201902	Febrero	2019	50	Zaragoza	Otros	Mujeres	Temporal	0	3487	0	0
Febrero 2019	201902	Febrero	2019	50	Zaragoza	Otros	Mujeres	Temporal	1	6337	406610	64,16443111882594287517752879911630108884
Enero 2019	201901	Enero	2019	22	Huesca	A través de una ETT	Hombres	Temporal	0	213	0	0
Enero 2019	201901	Enero	2019	22	Huesca	A través de una ETT	Hombres	Temporal	1	164	6433	39,22560975609756097560975609756097560976
Enero 2019	201901	Enero	2019	22	Huesca	A través de una ETT	Mujeres	Temporal	0	124	0	0
Enero 2019	201901	Enero	2019	22	Huesca	A través de una ETT	Mujeres	Temporal	1	80	2062	25,775
Enero 2019	201901	Enero	2019	22	Huesca	Otros	Hombres	Temporal	0	1299	0	0
Enero 2019	201901	Enero	2019	22	Huesca	Otros	Hombres	Temporal	1	1538	115297	74,96553966189856957087126137841352405722
Enero 2019	201901	Enero	2019	22	Huesca	Otros	Mujeres	Temporal	0	808	0	0
Enero 2019	201901	Enero	2019	22	Huesca	Otros	Mujeres	Temporal	1	1641	90077	54,8915295551492992078001218769043266301
Enero 2019	201901	Enero	2019	44	Teruel	A través de una ETT	Hombres	Temporal	0	54	0	0
Enero 2019	201901	Enero	2019	44	Teruel	A través de una ETT	Hombres	Temporal	1	860	5841	6,79186046511627906976744186046511627907
Enero 2019	201901	Enero	2019	44	Teruel	A través de una ETT	Mujeres	Temporal	0	13	0	0
Enero 2019	201901	Enero	2019	44	Teruel	A través de una ETT	Mujeres	Temporal	1	316	1519	4,80696202531645569620253164556962025316
Enero 2019	201901	Enero	2019	44	Teruel	Otros	Hombres	Temporal	0	516	0	0
Enero 2019	201901	Enero	2019	44	Teruel	Otros	Hombres	Temporal	1	698	45567	65,28223495702005730659025787965616045845
Enero 2019	201901	Enero	2019	44	Teruel	Otros	Mujeres	Temporal	0	358	0	0
Enero 2019	201901	Enero	2019	44	Teruel	Otros	Mujeres	Temporal	1	840	41916	49,9
Enero 2019	201901	Enero	2019	50	Zaragoza	A través de una ETT	Hombres	Temporal	0	1747	0	0
Enero 2019	201901	Enero	2019	50	Zaragoza	A través de una ETT	Hombres	Temporal	1	5191	75570	14,557888653438643806588325948757464843
Enero 2019	201901	Enero	2019	50	Zaragoza	A través de una ETT	Mujeres	Temporal	0	1084	0	0
Enero 2019	201901	Enero	2019	50	Zaragoza	A través de una ETT	Mujeres	Temporal	1	3502	38270	10,92804111936036550542547115933752141633
Enero 2019	201901	Enero	2019	50	Zaragoza	Otros	Hombres	Temporal	0	4295	0	0
Enero 2019	201901	Enero	2019	50	Zaragoza	Otros	Hombres	Temporal	1	6385	519853	81,4178543461237274862960062646828504307
Enero 2019	201901	Enero	2019	50	Zaragoza	Otros	Mujeres	Temporal	0	3865	0	0
Enero 2019	201901	Enero	2019	50	Zaragoza	Otros	Mujeres	Temporal	1	7320	407509	55,67062841530054644808743169398907103825
Diciembre 2018	201812	Diciembre	2018	22	Huesca	A través de una ETT	Hombres	Temporal	0	227	0	0
Diciembre 2018	201812	Diciembre	2018	22	Huesca	A través de una ETT	Hombres	Temporal	1	113	3866	34,2123893805309734513274336283185840708
Diciembre 2018	201812	Diciembre	2018	22	Huesca	A través de una ETT	Mujeres	Temporal	0	133	0	0
Diciembre 2018	201812	Diciembre	2018	22	Huesca	A través de una ETT	Mujeres	Temporal	1	64	777	12,140625
Diciembre 2018	201812	Diciembre	2018	22	Huesca	Otros	Hombres	Temporal	0	1031	0	0
Diciembre 2018	201812	Diciembre	2018	22	Huesca	Otros	Hombres	Temporal	1	1539	109675	71,26380766731643924626380766731643924626
