Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sector código	Sector descripción	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración media contrato
Noviembre 2017	201711	Noviembre	2017	44	Teruel	3	Construcción	Hombres	Temporal	1	50	6619	132,38
Noviembre 2017	201711	Noviembre	2017	44	Teruel	3	Construcción	Mujeres	Temporal	0	4	0	0
Noviembre 2017	201711	Noviembre	2017	44	Teruel	3	Construcción	Mujeres	Temporal	1	4	780	195
Noviembre 2017	201711	Noviembre	2017	44	Teruel	4	Servicios	Hombres	Temporal	0	171	0	0
Noviembre 2017	201711	Noviembre	2017	44	Teruel	4	Servicios	Hombres	Temporal	1	594	39676	66,79461279461279461279461279461279461279
Noviembre 2017	201711	Noviembre	2017	44	Teruel	4	Servicios	Mujeres	Temporal	0	309	0	0
Noviembre 2017	201711	Noviembre	2017	44	Teruel	4	Servicios	Mujeres	Temporal	1	995	49066	49,31256281407035175879396984924623115578
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	1206	0	0
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	Temporal	1	337	12527	37,17210682492581602373887240356083086053
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	240	0	0
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	Temporal	1	81	3250	40,12345679012345679012345679012345679012
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	2	Industria y energía	Hombres	Temporal	0	970	0	0
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	2	Industria y energía	Hombres	Temporal	1	4202	184026	43,79485959067110899571632555925749643027
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	2	Industria y energía	Mujeres	Temporal	0	533	0	0
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	2	Industria y energía	Mujeres	Temporal	1	2448	62670	25,6004901960784313725490196078431372549
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	3	Construcción	Hombres	Temporal	0	832	0	0
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	3	Construcción	Hombres	Temporal	1	260	20223	77,78076923076923076923076923076923076923
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	3	Construcción	Mujeres	Temporal	0	20	0	0
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	3	Construcción	Mujeres	Temporal	1	31	3072	99,09677419354838709677419354838709677419
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	4	Servicios	Hombres	Temporal	0	2770	0	0
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	4	Servicios	Hombres	Temporal	1	7482	372555	49,79350441058540497193263833199679230152
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	4	Servicios	Mujeres	Temporal	0	3986	0	0
Noviembre 2017	201711	Noviembre	2017	50	Zaragoza	4	Servicios	Mujeres	Temporal	1	9057	428117	47,26918405653086010820359942585845202606
Octubre 2017	201710	Octubre	2017	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	384	0	0
Octubre 2017	201710	Octubre	2017	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	Temporal	1	225	13891	61,73777777777777777777777777777777777778
Octubre 2017	201710	Octubre	2017	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	99	0	0
Octubre 2017	201710	Octubre	2017	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	Temporal	1	74	2142	28,94594594594594594594594594594594594595
Octubre 2017	201710	Octubre	2017	22	Huesca	2	Industria y energía	Hombres	Temporal	0	168	0	0
Octubre 2017	201710	Octubre	2017	22	Huesca	2	Industria y energía	Hombres	Temporal	1	190	25274	133,021052631578947368421052631578947368
Octubre 2017	201710	Octubre	2017	22	Huesca	2	Industria y energía	Mujeres	Temporal	0	35	0	0
Octubre 2017	201710	Octubre	2017	22	Huesca	2	Industria y energía	Mujeres	Temporal	1	60	6991	116,516666666666666666666666666666666667
Octubre 2017	201710	Octubre	2017	22	Huesca	3	Construcción	Hombres	Temporal	0	245	0	0
Octubre 2017	201710	Octubre	2017	22	Huesca	3	Construcción	Hombres	Temporal	1	86	9133	106,197674418604651162790697674418604651
Octubre 2017	201710	Octubre	2017	22	Huesca	3	Construcción	Mujeres	Temporal	0	3	0	0
Octubre 2017	201710	Octubre	2017	22	Huesca	3	Construcción	Mujeres	Temporal	1	7	421	60,14285714285714285714285714285714285714
Octubre 2017	201710	Octubre	2017	22	Huesca	4	Servicios	Hombres	Temporal	0	580	0	0
Octubre 2017	201710	Octubre	2017	22	Huesca	4	Servicios	Hombres	Temporal	1	1661	74008	44,55629139072847682119205298013245033113
Octubre 2017	201710	Octubre	2017	22	Huesca	4	Servicios	Mujeres	Temporal	0	973	0	0
Octubre 2017	201710	Octubre	2017	22	Huesca	4	Servicios	Mujeres	Temporal	1	1954	100552	51,4595701125895598771750255885363357216
