Municipio código	Municipio nombre	Explotaciones	Porcentaje de SAU en propiedad del titular
22036	Argavieso	2	e) >=50% a < 75%  de la SAU en propiedad
22036	Argavieso	1	f) >= 75% a < 90%  de la SAU en propiedad
22036	Argavieso	21	g) >= 90%  de la SAU en propiedad
22037	Arguis	5	b) < 10% de la SAU en propiedad
22037	Arguis	1	c) >=10% a < 25%  de la SAU en propiedad
22037	Arguis	1	e) >=50% a < 75%  de la SAU en propiedad
22037	Arguis	7	g) >= 90%  de la SAU en propiedad
22039	Ayerbe	8	b) < 10% de la SAU en propiedad
22039	Ayerbe	6	c) >=10% a < 25%  de la SAU en propiedad
22039	Ayerbe	7	d) >=25% a < 50%  de la SAU en propiedad
22039	Ayerbe	5	e) >=50% a < 75%  de la SAU en propiedad
22039	Ayerbe	4	f) >= 75% a < 90%  de la SAU en propiedad
22039	Ayerbe	61	g) >= 90%  de la SAU en propiedad
22040	Azanuy-Alins	1	a) No hay SAU
22040	Azanuy-Alins	10	b) < 10% de la SAU en propiedad
22040	Azanuy-Alins	2	c) >=10% a < 25%  de la SAU en propiedad
22040	Azanuy-Alins	5	d) >=25% a < 50%  de la SAU en propiedad
22040	Azanuy-Alins	4	e) >=50% a < 75%  de la SAU en propiedad
22040	Azanuy-Alins	6	f) >= 75% a < 90%  de la SAU en propiedad
22040	Azanuy-Alins	34	g) >= 90%  de la SAU en propiedad
22041	Azara	3	b) < 10% de la SAU en propiedad
22041	Azara	3	d) >=25% a < 50%  de la SAU en propiedad
22041	Azara	3	e) >=50% a < 75%  de la SAU en propiedad
22041	Azara	1	f) >= 75% a < 90%  de la SAU en propiedad
22041	Azara	29	g) >= 90%  de la SAU en propiedad
22042	Azlor	3	b) < 10% de la SAU en propiedad
22042	Azlor	2	c) >=10% a < 25%  de la SAU en propiedad
22042	Azlor	3	d) >=25% a < 50%  de la SAU en propiedad
22042	Azlor	3	e) >=50% a < 75%  de la SAU en propiedad
22042	Azlor	4	f) >= 75% a < 90%  de la SAU en propiedad
22042	Azlor	25	g) >= 90%  de la SAU en propiedad
22043	Baells	1	a) No hay SAU
22043	Baells	5	b) < 10% de la SAU en propiedad
22043	Baells	2	c) >=10% a < 25%  de la SAU en propiedad
22043	Baells	4	d) >=25% a < 50%  de la SAU en propiedad
