Mes y año	Mes (código)	Provincia código	Provincia nombre	Sexo	Número de contratos	Temporalidad
Junio 2019	201906	44	Teruel	Mujeres	185	Indefinido
Junio 2019	201906	44	Teruel	Hombres	2611	Temporal
Junio 2019	201906	44	Teruel	Mujeres	1898	Temporal
Junio 2019	201906	50	Zaragoza	Hombres	2418	Indefinido
Junio 2019	201906	50	Zaragoza	Mujeres	1568	Indefinido
Junio 2019	201906	50	Zaragoza	Hombres	23134	Temporal
Junio 2019	201906	50	Zaragoza	Mujeres	18834	Temporal
Mayo 2019	201905	22	Huesca	Hombres	1027	Indefinido
Mayo 2019	201905	22	Huesca	Mujeres	575	Indefinido
Mayo 2019	201905	22	Huesca	Hombres	7036	Temporal
Mayo 2019	201905	22	Huesca	Mujeres	4153	Temporal
Mayo 2019	201905	44	Teruel	Hombres	297	Indefinido
Mayo 2019	201905	44	Teruel	Mujeres	192	Indefinido
Mayo 2019	201905	44	Teruel	Hombres	2816	Temporal
Mayo 2019	201905	44	Teruel	Mujeres	1775	Temporal
Mayo 2019	201905	50	Zaragoza	Hombres	2190	Indefinido
Mayo 2019	201905	50	Zaragoza	Mujeres	1642	Indefinido
Mayo 2019	201905	50	Zaragoza	Hombres	24433	Temporal
Mayo 2019	201905	50	Zaragoza	Mujeres	19797	Temporal
Abril 2019	201904	22	Huesca	Hombres	556	Indefinido
Abril 2019	201904	22	Huesca	Mujeres	340	Indefinido
Abril 2019	201904	22	Huesca	Hombres	4103	Temporal
Abril 2019	201904	22	Huesca	Mujeres	3187	Temporal
Abril 2019	201904	44	Teruel	Hombres	223	Indefinido
Abril 2019	201904	44	Teruel	Mujeres	151	Indefinido
Abril 2019	201904	44	Teruel	Hombres	2280	Temporal
Abril 2019	201904	44	Teruel	Mujeres	1699	Temporal
Abril 2019	201904	50	Zaragoza	Hombres	1814	Indefinido
Abril 2019	201904	50	Zaragoza	Mujeres	1376	Indefinido
Abril 2019	201904	50	Zaragoza	Hombres	16585	Temporal
Abril 2019	201904	50	Zaragoza	Mujeres	14254	Temporal
Marzo 2019	201903	22	Huesca	Hombres	562	Indefinido
Marzo 2019	201903	22	Huesca	Mujeres	365	Indefinido
Marzo 2019	201903	22	Huesca	Hombres	3843	Temporal
Marzo 2019	201903	22	Huesca	Mujeres	2925	Temporal
Marzo 2019	201903	44	Teruel	Hombres	282	Indefinido
Marzo 2019	201903	44	Teruel	Mujeres	163	Indefinido
Marzo 2019	201903	44	Teruel	Hombres	2148	Temporal
Marzo 2019	201903	44	Teruel	Mujeres	1620	Temporal
Marzo 2019	201903	50	Zaragoza	Hombres	1777	Indefinido
Marzo 2019	201903	50	Zaragoza	Mujeres	1456	Indefinido
Marzo 2019	201903	50	Zaragoza	Hombres	15763	Temporal
Marzo 2019	201903	50	Zaragoza	Mujeres	14291	Temporal
Febrero 2019	201902	22	Huesca	Hombres	411	Indefinido
Febrero 2019	201902	22	Huesca	Mujeres	292	Indefinido
Febrero 2019	201902	22	Huesca	Hombres	3111	Temporal
Febrero 2019	201902	22	Huesca	Mujeres	2442	Temporal
Febrero 2019	201902	44	Teruel	Hombres	277	Indefinido
Febrero 2019	201902	44	Teruel	Mujeres	129	Indefinido
Febrero 2019	201902	44	Teruel	Hombres	1888	Temporal
Febrero 2019	201902	44	Teruel	Mujeres	1480	Temporal
Febrero 2019	201902	50	Zaragoza	Hombres	1719	Indefinido
Febrero 2019	201902	50	Zaragoza	Mujeres	1418	Indefinido
Febrero 2019	201902	50	Zaragoza	Hombres	14938	Temporal
Febrero 2019	201902	50	Zaragoza	Mujeres	13475	Temporal
Enero 2019	201901	22	Huesca	Hombres	520	Indefinido
Enero 2019	201901	22	Huesca	Mujeres	332	Indefinido
Enero 2019	201901	22	Huesca	Hombres	3214	Temporal
Enero 2019	201901	22	Huesca	Mujeres	2653	Temporal
Enero 2019	201901	44	Teruel	Hombres	333	Indefinido
Enero 2019	201901	44	Teruel	Mujeres	163	Indefinido
Enero 2019	201901	44	Teruel	Hombres	2128	Temporal
Enero 2019	201901	44	Teruel	Mujeres	1527	Temporal
Enero 2019	201901	50	Zaragoza	Hombres	2000	Indefinido
Enero 2019	201901	50	Zaragoza	Mujeres	1592	Indefinido
Enero 2019	201901	50	Zaragoza	Hombres	17618	Temporal
Enero 2019	201901	50	Zaragoza	Mujeres	15771	Temporal
Diciembre 2018	201812	22	Huesca	Hombres	463	Indefinido
Diciembre 2018	201812	22	Huesca	Mujeres	313	Indefinido
Diciembre 2018	201812	22	Huesca	Hombres	2910	Temporal
Diciembre 2018	201812	22	Huesca	Mujeres	2819	Temporal
Diciembre 2018	201812	44	Teruel	Hombres	243	Indefinido
Diciembre 2018	201812	44	Teruel	Mujeres	136	Indefinido
Diciembre 2018	201812	44	Teruel	Hombres	1601	Temporal
Diciembre 2018	201812	44	Teruel	Mujeres	1376	Temporal
Diciembre 2018	201812	50	Zaragoza	Hombres	1657	Indefinido
Diciembre 2018	201812	50	Zaragoza	Mujeres	1423	Indefinido
Diciembre 2018	201812	50	Zaragoza	Hombres	14211	Temporal
Diciembre 2018	201812	50	Zaragoza	Mujeres	14372	Temporal
Noviembre 2018	201811	22	Huesca	Hombres	573	Indefinido
Noviembre 2018	201811	22	Huesca	Mujeres	384	Indefinido
Noviembre 2018	201811	22	Huesca	Hombres	3064	Temporal
Noviembre 2018	201811	22	Huesca	Mujeres	2420	Temporal
Noviembre 2018	201811	44	Teruel	Hombres	293	Indefinido
Noviembre 2018	201811	44	Teruel	Mujeres	161	Indefinido
Noviembre 2018	201811	44	Teruel	Hombres	2198	Temporal
Noviembre 2018	201811	44	Teruel	Mujeres	1722	Temporal
Noviembre 2018	201811	50	Zaragoza	Hombres	2109	Indefinido
Noviembre 2018	201811	50	Zaragoza	Mujeres	1859	Indefinido
Noviembre 2018	201811	50	Zaragoza	Hombres	17168	Temporal
Noviembre 2018	201811	50	Zaragoza	Mujeres	16248	Temporal
Octubre 2018	201810	22	Huesca	Hombres	642	Indefinido
Octubre 2018	201810	22	Huesca	Mujeres	431	Indefinido
Octubre 2018	201810	22	Huesca	Hombres	3663	Temporal
Octubre 2018	201810	22	Huesca	Mujeres	3327	Temporal
Octubre 2018	201810	44	Teruel	Hombres	333	Indefinido
Octubre 2018	201810	44	Teruel	Mujeres	230	Indefinido
Octubre 2018	201810	44	Teruel	Hombres	2575	Temporal
Octubre 2018	201810	44	Teruel	Mujeres	1965	Temporal
Octubre 2018	201810	50	Zaragoza	Hombres	2545	Indefinido
Octubre 2018	201810	50	Zaragoza	Mujeres	2404	Indefinido
Octubre 2018	201810	50	Zaragoza	Hombres	23763	Temporal
Octubre 2018	201810	50	Zaragoza	Mujeres	21616	Temporal
Septiembre 2018	201809	22	Huesca	Hombres	579	Indefinido
Septiembre 2018	201809	22	Huesca	Mujeres	420	Indefinido
Septiembre 2018	201809	22	Huesca	Hombres	4020	Temporal
Septiembre 2018	201809	22	Huesca	Mujeres	3160	Temporal
Septiembre 2018	201809	44	Teruel	Hombres	318	Indefinido
Septiembre 2018	201809	44	Teruel	Mujeres	193	Indefinido
Septiembre 2018	201809	44	Teruel	Hombres	2429	Temporal
Septiembre 2018	201809	44	Teruel	Mujeres	2163	Temporal
Septiembre 2018	201809	50	Zaragoza	Hombres	2568	Indefinido
Septiembre 2018	201809	50	Zaragoza	Mujeres	2561	Indefinido
Septiembre 2018	201809	50	Zaragoza	Hombres	21979	Temporal
Septiembre 2018	201809	50	Zaragoza	Mujeres	18705	Temporal
Agosto 2018	201808	22	Huesca	Hombres	396	Indefinido
Agosto 2018	201808	22	Huesca	Mujeres	282	Indefinido
Agosto 2018	201808	22	Huesca	Hombres	4737	Temporal
Agosto 2018	201808	22	Huesca	Mujeres	3297	Temporal
Agosto 2018	201808	44	Teruel	Hombres	252	Indefinido
Agosto 2018	201808	44	Teruel	Mujeres	135	Indefinido
Agosto 2018	201808	44	Teruel	Hombres	1933	Temporal
Agosto 2018	201808	44	Teruel	Mujeres	1562	Temporal
Agosto 2018	201808	50	Zaragoza	Hombres	1702	Indefinido
Agosto 2018	201808	50	Zaragoza	Mujeres	1362	Indefinido
Agosto 2018	201808	50	Zaragoza	Hombres	20172	Temporal
Agosto 2018	201808	50	Zaragoza	Mujeres	15897	Temporal
Julio 2018	201807	22	Huesca	Hombres	600	Indefinido
Julio 2018	201807	22	Huesca	Mujeres	423	Indefinido
Julio 2018	201807	22	Huesca	Hombres	6287	Temporal
Julio 2018	201807	22	Huesca	Mujeres	4916	Temporal
Julio 2018	201807	44	Teruel	Hombres	253	Indefinido
Julio 2018	201807	44	Teruel	Mujeres	147	Indefinido
Julio 2018	201807	44	Teruel	Hombres	2764	Temporal
Julio 2018	201807	44	Teruel	Mujeres	2102	Temporal
Julio 2018	201807	50	Zaragoza	Hombres	2416	Indefinido
Julio 2018	201807	50	Zaragoza	Mujeres	1763	Indefinido
Julio 2018	201807	50	Zaragoza	Hombres	24011	Temporal
Julio 2018	201807	50	Zaragoza	Mujeres	18721	Temporal
Junio 2018	201806	22	Huesca	Hombres	640	Indefinido
Junio 2018	201806	22	Huesca	Mujeres	581	Indefinido
Junio 2018	201806	22	Huesca	Hombres	5815	Temporal
Junio 2018	201806	22	Huesca	Mujeres	4613	Temporal
Junio 2018	201806	44	Teruel	Hombres	275	Indefinido
Junio 2018	201806	44	Teruel	Mujeres	185	Indefinido
Junio 2018	201806	44	Teruel	Hombres	2585	Temporal
Junio 2018	201806	44	Teruel	Mujeres	1929	Temporal
