Municipio código	Municipio nombre	REGTENEN ORDEN	Régimen de tenencia (agregado)	Régimen de tenencia (detalle)	Número hogares
22909	Vencillón	1	En propiedad	En propiedad, por compra totalmente pagada	48
22909	Vencillón	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	95
22909	Vencillón	1	En propiedad	En propiedad, por herencia o donación	4
44001	Ababuj	1	En propiedad	En propiedad, por compra totalmente pagada	15
44001	Ababuj	1	En propiedad	En propiedad, por herencia o donación	15
44002	Abejuela	1	En propiedad	En propiedad, por compra totalmente pagada	16
44002	Abejuela	1	En propiedad	En propiedad, por herencia o donación	14
44003	Aguatón	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44003	Aguatón	1	En propiedad	En propiedad, por herencia o donación	7
44004	Aguaviva	1	En propiedad	En propiedad, por compra totalmente pagada	121
44004	Aguaviva	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	17
44004	Aguaviva	1	En propiedad	En propiedad, por herencia o donación	77
44005	Aguilar del Alfambra	1	En propiedad	En propiedad, por compra totalmente pagada	8
44005	Aguilar del Alfambra	1	En propiedad	En propiedad, por herencia o donación	19
44006	Alacón	1	En propiedad	En propiedad, por compra totalmente pagada	83
44006	Alacón	1	En propiedad	En propiedad, por herencia o donación	74
44007	Alba	1	En propiedad	En propiedad, por compra totalmente pagada	22
44007	Alba	1	En propiedad	En propiedad, por herencia o donación	58
44008	Albalate del Arzobispo	1	En propiedad	En propiedad, por compra totalmente pagada	540
44008	Albalate del Arzobispo	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	31
44008	Albalate del Arzobispo	1	En propiedad	En propiedad, por herencia o donación	181
44009	Albarracín	1	En propiedad	En propiedad, por compra totalmente pagada	119
44009	Albarracín	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	24
44009	Albarracín	1	En propiedad	En propiedad, por herencia o donación	85
44010	Albentosa	1	En propiedad	En propiedad, por compra totalmente pagada	41
44010	Albentosa	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	3
44010	Albentosa	1	En propiedad	En propiedad, por herencia o donación	33
44011	Alcaine	1	En propiedad	En propiedad, por compra totalmente pagada	20
44011	Alcaine	1	En propiedad	En propiedad, por herencia o donación	21
44012	Alcalá de la Selva	1	En propiedad	En propiedad, por compra totalmente pagada	103
44012	Alcalá de la Selva	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	9
44012	Alcalá de la Selva	1	En propiedad	En propiedad, por herencia o donación	53
44013	Alcañiz	1	En propiedad	En propiedad, por compra totalmente pagada	2475
44013	Alcañiz	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1273
44013	Alcañiz	1	En propiedad	En propiedad, por herencia o donación	317
44014	Alcorisa	1	En propiedad	En propiedad, por compra totalmente pagada	551
44014	Alcorisa	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	227
44014	Alcorisa	1	En propiedad	En propiedad, por herencia o donación	206
44016	Alfambra	1	En propiedad	En propiedad, por compra totalmente pagada	160
44016	Alfambra	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	16
44016	Alfambra	1	En propiedad	En propiedad, por herencia o donación	53
44017	Aliaga	1	En propiedad	En propiedad, por compra totalmente pagada	88
44017	Aliaga	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	13
44017	Aliaga	1	En propiedad	En propiedad, por herencia o donación	52
44018	Almohaja	1	En propiedad	En propiedad, por compra totalmente pagada	7
44018	Almohaja	1	En propiedad	En propiedad, por herencia o donación	2
44019	Alobras	1	En propiedad	En propiedad, por compra totalmente pagada	14
44019	Alobras	1	En propiedad	En propiedad, por herencia o donación	26
44020	Alpeñés	1	En propiedad	En propiedad, por compra totalmente pagada	5
44020	Alpeñés	1	En propiedad	En propiedad, por herencia o donación	7
44021	Allepuz	1	En propiedad	En propiedad, por compra totalmente pagada	20
44021	Allepuz	1	En propiedad	En propiedad, por herencia o donación	34
44022	Alloza	1	En propiedad	En propiedad, por compra totalmente pagada	168
44022	Alloza	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	34
44022	Alloza	1	En propiedad	En propiedad, por herencia o donación	83
44023	Allueva	1	En propiedad	En propiedad, por compra totalmente pagada	7
44023	Allueva	1	En propiedad	En propiedad, por herencia o donación	2
44024	Anadón	1	En propiedad	En propiedad, por compra totalmente pagada	4
44024	Anadón	1	En propiedad	En propiedad, por herencia o donación	2
44025	Andorra	1	En propiedad	En propiedad, por compra totalmente pagada	1560
44025	Andorra	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	445
44025	Andorra	1	En propiedad	En propiedad, por herencia o donación	213
44026	Arcos de las Salinas	1	En propiedad	En propiedad, por compra totalmente pagada	32
44026	Arcos de las Salinas	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44026	Arcos de las Salinas	1	En propiedad	En propiedad, por herencia o donación	22
44027	Arens de Lledó	1	En propiedad	En propiedad, por compra totalmente pagada	16
44027	Arens de Lledó	1	En propiedad	En propiedad, por herencia o donación	52
44028	Argente	1	En propiedad	En propiedad, por compra totalmente pagada	38
44028	Argente	1	En propiedad	En propiedad, por herencia o donación	57
44029	Ariño	1	En propiedad	En propiedad, por compra totalmente pagada	221
44029	Ariño	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	10
44029	Ariño	1	En propiedad	En propiedad, por herencia o donación	66
44031	Azaila	1	En propiedad	En propiedad, por compra totalmente pagada	34
44031	Azaila	1	En propiedad	En propiedad, por herencia o donación	41
44032	Bádenas	1	En propiedad	En propiedad, por compra totalmente pagada	5
44032	Bádenas	1	En propiedad	En propiedad, por herencia o donación	4
44033	Báguena	1	En propiedad	En propiedad, por compra totalmente pagada	150
44033	Báguena	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	4
44033	Báguena	1	En propiedad	En propiedad, por herencia o donación	32
44034	Bañón	1	En propiedad	En propiedad, por compra totalmente pagada	20
44034	Bañón	1	En propiedad	En propiedad, por herencia o donación	46
44035	Barrachina	1	En propiedad	En propiedad, por compra totalmente pagada	11
44035	Barrachina	1	En propiedad	En propiedad, por herencia o donación	53
44036	Bea	1	En propiedad	En propiedad, por compra totalmente pagada	5
44036	Bea	1	En propiedad	En propiedad, por herencia o donación	7
44037	Beceite	1	En propiedad	En propiedad, por compra totalmente pagada	93
44037	Beceite	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	9
44037	Beceite	1	En propiedad	En propiedad, por herencia o donación	106
44038	Belmonte de San José	1	En propiedad	En propiedad, por compra totalmente pagada	23
44038	Belmonte de San José	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44038	Belmonte de San José	1	En propiedad	En propiedad, por herencia o donación	31
44039	Bello	1	En propiedad	En propiedad, por compra totalmente pagada	56
44039	Bello	1	En propiedad	En propiedad, por herencia o donación	96
44040	Berge	1	En propiedad	En propiedad, por compra totalmente pagada	75
44040	Berge	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2
44040	Berge	1	En propiedad	En propiedad, por herencia o donación	11
44041	Bezas	1	En propiedad	En propiedad, por compra totalmente pagada	7
44041	Bezas	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44041	Bezas	1	En propiedad	En propiedad, por herencia o donación	18
44042	Blancas	1	En propiedad	En propiedad, por compra totalmente pagada	18
44042	Blancas	1	En propiedad	En propiedad, por herencia o donación	36
44043	Blesa	1	En propiedad	En propiedad, por compra totalmente pagada	35
44043	Blesa	1	En propiedad	En propiedad, por herencia o donación	25
44044	Bordón	1	En propiedad	En propiedad, por compra totalmente pagada	15
44044	Bordón	1	En propiedad	En propiedad, por herencia o donación	29
44045	Bronchales	1	En propiedad	En propiedad, por compra totalmente pagada	65
44045	Bronchales	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	3
44045	Bronchales	1	En propiedad	En propiedad, por herencia o donación	57
44046	Bueña	1	En propiedad	En propiedad, por compra totalmente pagada	9
44046	Bueña	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	3
44046	Bueña	1	En propiedad	En propiedad, por herencia o donación	29
44047	Burbáguena	1	En propiedad	En propiedad, por compra totalmente pagada	55
44047	Burbáguena	1	En propiedad	En propiedad, por herencia o donación	61
44048	Cabra de Mora	1	En propiedad	En propiedad, por compra totalmente pagada	18
44048	Cabra de Mora	1	En propiedad	En propiedad, por herencia o donación	18
44049	Calaceite	1	En propiedad	En propiedad, por compra totalmente pagada	189
44049	Calaceite	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	9
44049	Calaceite	1	En propiedad	En propiedad, por herencia o donación	220
44050	Calamocha	1	En propiedad	En propiedad, por compra totalmente pagada	863
44050	Calamocha	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	183
44050	Calamocha	1	En propiedad	En propiedad, por herencia o donación	354
44051	Calanda	1	En propiedad	En propiedad, por compra totalmente pagada	609
44051	Calanda	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	113
44051	Calanda	1	En propiedad	En propiedad, por herencia o donación	287
44052	Calomarde	1	En propiedad	En propiedad, por compra totalmente pagada	23
44052	Calomarde	1	En propiedad	En propiedad, por herencia o donación	6
44053	Camañas	1	En propiedad	En propiedad, por compra totalmente pagada	19
44053	Camañas	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44053	Camañas	1	En propiedad	En propiedad, por herencia o donación	30
44054	Camarena de la Sierra	1	En propiedad	En propiedad, por compra totalmente pagada	28
44054	Camarena de la Sierra	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44054	Camarena de la Sierra	1	En propiedad	En propiedad, por herencia o donación	26
44055	Camarillas	1	En propiedad	En propiedad, por compra totalmente pagada	13
44055	Camarillas	1	En propiedad	En propiedad, por herencia o donación	22
44056	Caminreal	1	En propiedad	En propiedad, por compra totalmente pagada	179
44056	Caminreal	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44056	Caminreal	1	En propiedad	En propiedad, por herencia o donación	110
44059	Cantavieja	1	En propiedad	En propiedad, por compra totalmente pagada	108
44059	Cantavieja	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	36
44059	Cantavieja	1	En propiedad	En propiedad, por herencia o donación	83
44060	Cañada de Benatanduz	1	En propiedad	En propiedad, por compra totalmente pagada	5
44060	Cañada de Benatanduz	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44060	Cañada de Benatanduz	1	En propiedad	En propiedad, por herencia o donación	16
44061	Cañada de Verich (La)	1	En propiedad	En propiedad, por compra totalmente pagada	26
44061	Cañada de Verich (La)	1	En propiedad	En propiedad, por herencia o donación	17
44062	Cañada Vellida	1	En propiedad	En propiedad, por compra totalmente pagada	6
44062	Cañada Vellida	1	En propiedad	En propiedad, por herencia o donación	14
44063	Cañizar del Olivar	1	En propiedad	En propiedad, por compra totalmente pagada	31
44063	Cañizar del Olivar	1	En propiedad	En propiedad, por herencia o donación	7
44064	Cascante del Río	1	En propiedad	En propiedad, por compra totalmente pagada	15
44064	Cascante del Río	1	En propiedad	En propiedad, por herencia o donación	33
44065	Castejón de Tornos	1	En propiedad	En propiedad, por compra totalmente pagada	17
44065	Castejón de Tornos	1	En propiedad	En propiedad, por herencia o donación	26
44066	Castel de Cabra	1	En propiedad	En propiedad, por compra totalmente pagada	29
44066	Castel de Cabra	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44066	Castel de Cabra	1	En propiedad	En propiedad, por herencia o donación	29
44067	Castelnou	1	En propiedad	En propiedad, por compra totalmente pagada	19
44067	Castelnou	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44067	Castelnou	1	En propiedad	En propiedad, por herencia o donación	19
44068	Castelserás	1	En propiedad	En propiedad, por compra totalmente pagada	177
44068	Castelserás	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2
44068	Castelserás	1	En propiedad	En propiedad, por herencia o donación	106
44070	Castellar (El)	1	En propiedad	En propiedad, por compra totalmente pagada	20
44070	Castellar (El)	1	En propiedad	En propiedad, por herencia o donación	13
44071	Castellote	1	En propiedad	En propiedad, por compra totalmente pagada	157
44071	Castellote	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44071	Castellote	1	En propiedad	En propiedad, por herencia o donación	104
44074	Cedrillas	1	En propiedad	En propiedad, por compra totalmente pagada	107
44074	Cedrillas	1	En propiedad	En propiedad, por herencia o donación	62
44075	Celadas	1	En propiedad	En propiedad, por compra totalmente pagada	64
44075	Celadas	1	En propiedad	En propiedad, por herencia o donación	73
44076	Cella	1	En propiedad	En propiedad, por compra totalmente pagada	580
44076	Cella	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	30
44076	Cella	1	En propiedad	En propiedad, por herencia o donación	366
44077	Cerollera (La)	1	En propiedad	En propiedad, por compra totalmente pagada	16
44077	Cerollera (La)	1	En propiedad	En propiedad, por herencia o donación	18
44080	Codoñera (La)	1	En propiedad	En propiedad, por compra totalmente pagada	61
44080	Codoñera (La)	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	3
44080	Codoñera (La)	1	En propiedad	En propiedad, por herencia o donación	49
44082	Corbalán	1	En propiedad	En propiedad, por compra totalmente pagada	15
44082	Corbalán	1	En propiedad	En propiedad, por herencia o donación	21
44084	Cortes de Aragón	1	En propiedad	En propiedad, por compra totalmente pagada	16
44084	Cortes de Aragón	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44084	Cortes de Aragón	1	En propiedad	En propiedad, por herencia o donación	26
44085	Cosa	1	En propiedad	En propiedad, por compra totalmente pagada	18
44085	Cosa	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44085	Cosa	1	En propiedad	En propiedad, por herencia o donación	18
44086	Cretas	1	En propiedad	En propiedad, por compra totalmente pagada	76
44086	Cretas	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	6
44086	Cretas	1	En propiedad	En propiedad, por herencia o donación	123
44087	Crivillén	1	En propiedad	En propiedad, por compra totalmente pagada	32
44087	Crivillén	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44087	Crivillén	1	En propiedad	En propiedad, por herencia o donación	11
44088	Cuba (La)	1	En propiedad	En propiedad, por compra totalmente pagada	5
44088	Cuba (La)	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44088	Cuba (La)	1	En propiedad	En propiedad, por herencia o donación	19
44089	Cubla	1	En propiedad	En propiedad, por compra totalmente pagada	4
44089	Cubla	1	En propiedad	En propiedad, por herencia o donación	18
44090	Cucalón	1	En propiedad	En propiedad, por compra totalmente pagada	10
44090	Cucalón	1	En propiedad	En propiedad, por herencia o donación	18
44092	Cuervo (El)	1	En propiedad	En propiedad, por compra totalmente pagada	14
44092	Cuervo (El)	1	En propiedad	En propiedad, por herencia o donación	39
44093	Cuevas de Almudén	1	En propiedad	En propiedad, por compra totalmente pagada	4
44093	Cuevas de Almudén	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44093	Cuevas de Almudén	1	En propiedad	En propiedad, por herencia o donación	22
44094	Cuevas Labradas	1	En propiedad	En propiedad, por compra totalmente pagada	26
44094	Cuevas Labradas	1	En propiedad	En propiedad, por herencia o donación	31
44096	Ejulve	1	En propiedad	En propiedad, por compra totalmente pagada	42
44096	Ejulve	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44096	Ejulve	1	En propiedad	En propiedad, por herencia o donación	38
44097	Escorihuela	1	En propiedad	En propiedad, por compra totalmente pagada	39
44097	Escorihuela	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44097	Escorihuela	1	En propiedad	En propiedad, por herencia o donación	47
44099	Escucha	1	En propiedad	En propiedad, por compra totalmente pagada	174
44099	Escucha	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	44
44099	Escucha	1	En propiedad	En propiedad, por herencia o donación	38
44100	Estercuel	1	En propiedad	En propiedad, por compra totalmente pagada	96
44100	Estercuel	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44100	Estercuel	1	En propiedad	En propiedad, por herencia o donación	17
44101	Ferreruela de Huerva	1	En propiedad	En propiedad, por compra totalmente pagada	12
44101	Ferreruela de Huerva	1	En propiedad	En propiedad, por herencia o donación	24
44102	Fonfría	1	En propiedad	En propiedad, por compra totalmente pagada	8
44102	Fonfría	1	En propiedad	En propiedad, por herencia o donación	3
44103	Formiche Alto	1	En propiedad	En propiedad, por compra totalmente pagada	36
44103	Formiche Alto	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44103	Formiche Alto	1	En propiedad	En propiedad, por herencia o donación	21
44105	Fórnoles	1	En propiedad	En propiedad, por compra totalmente pagada	9
44105	Fórnoles	1	En propiedad	En propiedad, por herencia o donación	27
44106	Fortanete	1	En propiedad	En propiedad, por compra totalmente pagada	30
44106	Fortanete	1	En propiedad	En propiedad, por herencia o donación	36
44107	Foz-Calanda	1	En propiedad	En propiedad, por compra totalmente pagada	36
44107	Foz-Calanda	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	14
44107	Foz-Calanda	1	En propiedad	En propiedad, por herencia o donación	42
44108	Fresneda (La)	1	En propiedad	En propiedad, por compra totalmente pagada	62
44108	Fresneda (La)	1	En propiedad	En propiedad, por herencia o donación	97
44109	Frías de Albarracín	1	En propiedad	En propiedad, por compra totalmente pagada	46
44109	Frías de Albarracín	1	En propiedad	En propiedad, por herencia o donación	11
44110	Fuenferrada	1	En propiedad	En propiedad, por compra totalmente pagada	18
44110	Fuenferrada	1	En propiedad	En propiedad, por herencia o donación	1
44111	Fuentes Calientes	1	En propiedad	En propiedad, por compra totalmente pagada	14
44111	Fuentes Calientes	1	En propiedad	En propiedad, por herencia o donación	31
44112	Fuentes Claras	1	En propiedad	En propiedad, por compra totalmente pagada	134
44112	Fuentes Claras	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44112	Fuentes Claras	1	En propiedad	En propiedad, por herencia o donación	112
44113	Fuentes de Rubielos	1	En propiedad	En propiedad, por compra totalmente pagada	3
44113	Fuentes de Rubielos	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2
44113	Fuentes de Rubielos	1	En propiedad	En propiedad, por herencia o donación	19
44114	Fuentespalda	1	En propiedad	En propiedad, por compra totalmente pagada	41
44114	Fuentespalda	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	6
44114	Fuentespalda	1	En propiedad	En propiedad, por herencia o donación	76
44115	Galve	1	En propiedad	En propiedad, por compra totalmente pagada	10
44115	Galve	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	3
44115	Galve	1	En propiedad	En propiedad, por herencia o donación	32
44116	Gargallo	1	En propiedad	En propiedad, por compra totalmente pagada	37
44116	Gargallo	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	3
44116	Gargallo	1	En propiedad	En propiedad, por herencia o donación	4
44117	Gea de Albarracín	1	En propiedad	En propiedad, por compra totalmente pagada	80
44117	Gea de Albarracín	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	4
44117	Gea de Albarracín	1	En propiedad	En propiedad, por herencia o donación	75
44118	Ginebrosa (La)	1	En propiedad	En propiedad, por compra totalmente pagada	57
44118	Ginebrosa (La)	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2
44118	Ginebrosa (La)	1	En propiedad	En propiedad, por herencia o donación	39
44119	Griegos	1	En propiedad	En propiedad, por compra totalmente pagada	32
44119	Griegos	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44119	Griegos	1	En propiedad	En propiedad, por herencia o donación	21
44120	Guadalaviar	1	En propiedad	En propiedad, por compra totalmente pagada	47
44120	Guadalaviar	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2
44120	Guadalaviar	1	En propiedad	En propiedad, por herencia o donación	45
44121	Gúdar	1	En propiedad	En propiedad, por compra totalmente pagada	18
44121	Gúdar	1	En propiedad	En propiedad, por herencia o donación	7
44122	Híjar	1	En propiedad	En propiedad, por compra totalmente pagada	397
44122	Híjar	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	86
44122	Híjar	1	En propiedad	En propiedad, por herencia o donación	168
44123	Hinojosa de Jarque	1	En propiedad	En propiedad, por compra totalmente pagada	11
44123	Hinojosa de Jarque	1	En propiedad	En propiedad, por herencia o donación	35
44124	Hoz de la Vieja (La)	1	En propiedad	En propiedad, por compra totalmente pagada	39
44124	Hoz de la Vieja (La)	1	En propiedad	En propiedad, por herencia o donación	17
44125	Huesa del Común	1	En propiedad	En propiedad, por compra totalmente pagada	17
44125	Huesa del Común	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2
44125	Huesa del Común	1	En propiedad	En propiedad, por herencia o donación	40
44126	Iglesuela del Cid (La)	1	En propiedad	En propiedad, por compra totalmente pagada	98
44126	Iglesuela del Cid (La)	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	8
44126	Iglesuela del Cid (La)	1	En propiedad	En propiedad, por herencia o donación	57
44127	Jabaloyas	1	En propiedad	En propiedad, por compra totalmente pagada	9
44127	Jabaloyas	1	En propiedad	En propiedad, por herencia o donación	26
44128	Jarque de la Val	1	En propiedad	En propiedad, por compra totalmente pagada	4
44128	Jarque de la Val	1	En propiedad	En propiedad, por herencia o donación	23
44129	Jatiel	1	En propiedad	En propiedad, por compra totalmente pagada	13
44129	Jatiel	1	En propiedad	En propiedad, por herencia o donación	12
44130	Jorcas	1	En propiedad	En propiedad, por compra totalmente pagada	17
44130	Jorcas	1	En propiedad	En propiedad, por herencia o donación	2
44131	Josa	1	En propiedad	En propiedad, por compra totalmente pagada	8
44131	Josa	1	En propiedad	En propiedad, por herencia o donación	8
44132	Lagueruela	1	En propiedad	En propiedad, por compra totalmente pagada	13
44132	Lagueruela	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44132	Lagueruela	1	En propiedad	En propiedad, por herencia o donación	17
44133	Lanzuela	1	En propiedad	En propiedad, por compra totalmente pagada	9
44133	Lanzuela	1	En propiedad	En propiedad, por herencia o donación	4
44135	Libros	1	En propiedad	En propiedad, por compra totalmente pagada	20
44135	Libros	1	En propiedad	En propiedad, por herencia o donación	45
44136	Lidón	1	En propiedad	En propiedad, por compra totalmente pagada	9
44136	Lidón	1	En propiedad	En propiedad, por herencia o donación	28
44137	Linares de Mora	1	En propiedad	En propiedad, por compra totalmente pagada	77
44137	Linares de Mora	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44137	Linares de Mora	1	En propiedad	En propiedad, por herencia o donación	22
44138	Loscos	1	En propiedad	En propiedad, por compra totalmente pagada	22
44138	Loscos	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	3
44138	Loscos	1	En propiedad	En propiedad, por herencia o donación	51
44141	Lledó	1	En propiedad	En propiedad, por compra totalmente pagada	17
44141	Lledó	1	En propiedad	En propiedad, por herencia o donación	48
44142	Maicas	1	En propiedad	En propiedad, por compra totalmente pagada	6
44142	Maicas	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44142	Maicas	1	En propiedad	En propiedad, por herencia o donación	16
44143	Manzanera	1	En propiedad	En propiedad, por compra totalmente pagada	91
44143	Manzanera	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	12
44143	Manzanera	1	En propiedad	En propiedad, por herencia o donación	65
44144	Martín del Río	1	En propiedad	En propiedad, por compra totalmente pagada	90
44144	Martín del Río	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	24
44144	Martín del Río	1	En propiedad	En propiedad, por herencia o donación	50
44145	Mas de las Matas	1	En propiedad	En propiedad, por compra totalmente pagada	269
44145	Mas de las Matas	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	52
44145	Mas de las Matas	1	En propiedad	En propiedad, por herencia o donación	129
44146	Mata de los Olmos (La)	1	En propiedad	En propiedad, por compra totalmente pagada	69
44146	Mata de los Olmos (La)	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	5
44146	Mata de los Olmos (La)	1	En propiedad	En propiedad, por herencia o donación	8
44147	Mazaleón	1	En propiedad	En propiedad, por compra totalmente pagada	83
44147	Mazaleón	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	7
44147	Mazaleón	1	En propiedad	En propiedad, por herencia o donación	99
44148	Mezquita de Jarque	1	En propiedad	En propiedad, por compra totalmente pagada	13
44148	Mezquita de Jarque	1	En propiedad	En propiedad, por herencia o donación	26
44149	Mirambel	1	En propiedad	En propiedad, por compra totalmente pagada	5
44149	Mirambel	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2
44149	Mirambel	1	En propiedad	En propiedad, por herencia o donación	40
44150	Miravete de la Sierra	1	En propiedad	En propiedad, por compra totalmente pagada	9
44150	Miravete de la Sierra	1	En propiedad	En propiedad, por herencia o donación	12
44151	Molinos	1	En propiedad	En propiedad, por compra totalmente pagada	41
44151	Molinos	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	3
44151	Molinos	1	En propiedad	En propiedad, por herencia o donación	57
44152	Monforte de Moyuela	1	En propiedad	En propiedad, por compra totalmente pagada	10
44152	Monforte de Moyuela	1	En propiedad	En propiedad, por herencia o donación	20
44153	Monreal del Campo	1	En propiedad	En propiedad, por compra totalmente pagada	582
44153	Monreal del Campo	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	69
44153	Monreal del Campo	1	En propiedad	En propiedad, por herencia o donación	76
44154	Monroyo	1	En propiedad	En propiedad, por compra totalmente pagada	64
44154	Monroyo	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2
44154	Monroyo	1	En propiedad	En propiedad, por herencia o donación	62
44155	Montalbán	1	En propiedad	En propiedad, por compra totalmente pagada	304
44155	Montalbán	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	87
44155	Montalbán	1	En propiedad	En propiedad, por herencia o donación	83
44156	Monteagudo del Castillo	1	En propiedad	En propiedad, por compra totalmente pagada	18
44156	Monteagudo del Castillo	1	En propiedad	En propiedad, por herencia o donación	7
44157	Monterde de Albarracín	1	En propiedad	En propiedad, por compra totalmente pagada	19
44157	Monterde de Albarracín	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44157	Monterde de Albarracín	1	En propiedad	En propiedad, por herencia o donación	16
44158	Mora de Rubielos	1	En propiedad	En propiedad, por compra totalmente pagada	178
44158	Mora de Rubielos	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	21
44158	Mora de Rubielos	1	En propiedad	En propiedad, por herencia o donación	152
44159	Moscardón	1	En propiedad	En propiedad, por compra totalmente pagada	19
44159	Moscardón	1	En propiedad	En propiedad, por herencia o donación	4
44160	Mosqueruela	1	En propiedad	En propiedad, por compra totalmente pagada	137
44160	Mosqueruela	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	5
44160	Mosqueruela	1	En propiedad	En propiedad, por herencia o donación	75
44161	Muniesa	1	En propiedad	En propiedad, por compra totalmente pagada	219
44161	Muniesa	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	5
44161	Muniesa	1	En propiedad	En propiedad, por herencia o donación	37
44163	Noguera de Albarracín	1	En propiedad	En propiedad, por compra totalmente pagada	31
44163	Noguera de Albarracín	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
44163	Noguera de Albarracín	1	En propiedad	En propiedad, por herencia o donación	39
44164	Nogueras	1	En propiedad	En propiedad, por compra totalmente pagada	3
44164	Nogueras	1	En propiedad	En propiedad, por herencia o donación	5
