Municipio codigo	Municipio nombre	Estado del edificio	Estado del edificio, código	Nº edificios
44013	Alcañiz	Bueno	4	2362
44013	Alcañiz	Deficiente	3	317
44013	Alcañiz	Malo	2	86
44013	Alcañiz	Ruinoso	1	14
44014	Alcorisa	Bueno	4	1148
44014	Alcorisa	Deficiente	3	96
44014	Alcorisa	Malo	2	26
44016	Alfambra	Bueno	4	379
44016	Alfambra	Deficiente	3	54
44016	Alfambra	Malo	2	2
44016	Alfambra	Ruinoso	1	12
44017	Aliaga	Bueno	4	502
44017	Aliaga	Deficiente	3	18
44017	Aliaga	Malo	2	3
44018	Almohaja	Bueno	4	56
44018	Almohaja	Deficiente	3	4
44018	Almohaja	Malo	2	3
44018	Almohaja	Ruinoso	1	4
44019	Alobras	Bueno	4	99
44019	Alobras	Deficiente	3	6
44020	Alpeñés	Bueno	4	34
44020	Alpeñés	Malo	2	2
44021	Allepuz	Bueno	4	182
44021	Allepuz	Deficiente	3	19
44021	Allepuz	Malo	2	7
44022	Alloza	Bueno	4	489
44022	Alloza	Deficiente	3	85
44022	Alloza	Malo	2	21
44022	Alloza	Ruinoso	1	2
44023	Allueva	Bueno	4	59
44023	Allueva	Deficiente	3	1
44023	Allueva	Malo	2	1
44024	Anadón	Bueno	4	42
44024	Anadón	Deficiente	3	18
44025	Andorra	Bueno	4	2103
44025	Andorra	Deficiente	3	128
44025	Andorra	Malo	2	36
44025	Andorra	Ruinoso	1	8
44026	Arcos de las Salinas	Bueno	4	306
44026	Arcos de las Salinas	Deficiente	3	22
44026	Arcos de las Salinas	Malo	2	5
44027	Arens de Lledó	Bueno	4	136
44027	Arens de Lledó	Deficiente	3	17
44027	Arens de Lledó	Malo	2	4
44028	Argente	Bueno	4	139
44028	Argente	Deficiente	3	10
44028	Argente	Malo	2	1
44028	Argente	Ruinoso	1	1
44029	Ariño	Bueno	4	547
44029	Ariño	Deficiente	3	19
44029	Ariño	Malo	2	5
44029	Ariño	Ruinoso	1	2
44031	Azaila	Bueno	4	120
44031	Azaila	Deficiente	3	25
44031	Azaila	Malo	2	31
44032	Bádenas	Bueno	4	41
44032	Bádenas	Deficiente	3	2
44033	Báguena	Bueno	4	387
44033	Báguena	Deficiente	3	18
44033	Báguena	Malo	2	2
44033	Báguena	Ruinoso	1	1
44034	Bañón	Bueno	4	144
44034	Bañón	Deficiente	3	17
44034	Bañón	Malo	2	2
44034	Bañón	Ruinoso	1	4
44035	Barrachina	Bueno	4	145
44035	Barrachina	Deficiente	3	25
44035	Barrachina	Malo	2	20
44035	Barrachina	Ruinoso	1	2
44036	Bea	Bueno	4	26
44036	Bea	Deficiente	3	21
44036	Bea	Malo	2	1
44037	Beceite	Bueno	4	517
44037	Beceite	Deficiente	3	47
44037	Beceite	Malo	2	6
44037	Beceite	Ruinoso	1	1
44038	Belmonte de San José	Bueno	4	128
44038	Belmonte de San José	Deficiente	3	12
44038	Belmonte de San José	Malo	2	1
44039	Bello	Bueno	4	343
44039	Bello	Deficiente	3	5
44040	Berge	Bueno	4	168
44040	Berge	Deficiente	3	15
44040	Berge	Malo	2	20
44040	Berge	Ruinoso	1	22
44041	Bezas	Bueno	4	97
44041	Bezas	Deficiente	3	7
44041	Bezas	Malo	2	3
44042	Blancas	Bueno	4	242
44042	Blancas	Deficiente	3	8
44042	Blancas	Malo	2	2
44042	Blancas	Ruinoso	1	1
44043	Blesa	Bueno	4	231
44043	Blesa	Deficiente	3	43
44043	Blesa	Malo	2	9
44044	Bordón	Bueno	4	133
44044	Bordón	Deficiente	3	1
44045	Bronchales	Bueno	4	564
44045	Bronchales	Deficiente	3	21
44045	Bronchales	Malo	2	7
44045	Bronchales	Ruinoso	1	2
44046	Bueña	Bueno	4	65
44046	Bueña	Deficiente	3	8
44046	Bueña	Malo	2	1
44047	Burbáguena	Bueno	4	238
44047	Burbáguena	Deficiente	3	48
44047	Burbáguena	Malo	2	4
44048	Cabra de Mora	Bueno	4	97
44048	Cabra de Mora	Deficiente	3	2
44048	Cabra de Mora	Malo	2	2
44048	Cabra de Mora	Ruinoso	1	1
44049	Calaceite	Bueno	4	683
44049	Calaceite	Deficiente	3	84
44049	Calaceite	Malo	2	7
44049	Calaceite	Ruinoso	1	8
44050	Calamocha	Bueno	4	1972
44050	Calamocha	Deficiente	3	199
44050	Calamocha	Malo	2	17
44050	Calamocha	Ruinoso	1	3
44051	Calanda	Bueno	4	1251
44051	Calanda	Deficiente	3	168
44051	Calanda	Malo	2	20
44051	Calanda	Ruinoso	1	5
44052	Calomarde	Bueno	4	106
44052	Calomarde	Deficiente	3	11
44052	Calomarde	Malo	2	2
44053	Camañas	Bueno	4	81
44053	Camañas	Deficiente	3	6
44053	Camañas	Malo	2	1
44054	Camarena de la Sierra	Bueno	4	270
44054	Camarena de la Sierra	Deficiente	3	7
44054	Camarena de la Sierra	Malo	2	8
44054	Camarena de la Sierra	Ruinoso	1	1
44055	Camarillas	Bueno	4	178
44055	Camarillas	Deficiente	3	3
44056	Caminreal	Bueno	4	472
44056	Caminreal	Deficiente	3	11
44056	Caminreal	Malo	2	1
44056	Caminreal	Ruinoso	1	1
44059	Cantavieja	Bueno	4	387
44059	Cantavieja	Deficiente	3	34
44060	Cañada de Benatanduz	Bueno	4	53
44060	Cañada de Benatanduz	Deficiente	3	26
44061	Cañada de Verich (La)	Bueno	4	77
44061	Cañada de Verich (La)	Deficiente	3	7
44061	Cañada de Verich (La)	Malo	2	3
44061	Cañada de Verich (La)	Ruinoso	1	1
44062	Cañada Vellida	Bueno	4	29
44062	Cañada Vellida	Deficiente	3	16
44062	Cañada Vellida	Malo	2	5
44062	Cañada Vellida	Ruinoso	1	1
44063	Cañizar del Olivar	Bueno	4	127
44063	Cañizar del Olivar	Deficiente	3	6
44063	Cañizar del Olivar	Malo	2	2
44064	Cascante del Río	Bueno	4	182
44064	Cascante del Río	Deficiente	3	6
44064	Cascante del Río	Malo	2	2
44064	Cascante del Río	Ruinoso	1	1
44065	Castejón de Tornos	Bueno	4	63
44065	Castejón de Tornos	Deficiente	3	35
44065	Castejón de Tornos	Malo	2	10
44065	Castejón de Tornos	Ruinoso	1	8
44066	Castel de Cabra	Bueno	4	116
44066	Castel de Cabra	Deficiente	3	33
44066	Castel de Cabra	Malo	2	7
44066	Castel de Cabra	Ruinoso	1	6
44067	Castelnou	Bueno	4	102
44067	Castelnou	Deficiente	3	12
44067	Castelnou	Malo	2	14
44067	Castelnou	Ruinoso	1	8
44068	Castelserás	Bueno	4	494
44068	Castelserás	Deficiente	3	29
44068	Castelserás	Malo	2	18
44068	Castelserás	Ruinoso	1	13
44070	Castellar (El)	Bueno	4	100
44070	Castellar (El)	Deficiente	3	7
44070	Castellar (El)	Malo	2	1
44071	Castellote	Bueno	4	700
44071	Castellote	Deficiente	3	22
44071	Castellote	Malo	2	8
44071	Castellote	Ruinoso	1	2
44074	Cedrillas	Bueno	4	322
44074	Cedrillas	Deficiente	3	23
44074	Cedrillas	Malo	2	9
44074	Cedrillas	Ruinoso	1	2
44075	Celadas	Bueno	4	188
44075	Celadas	Deficiente	3	5
44075	Celadas	Malo	2	7
44076	Cella	Bueno	4	1121
44076	Cella	Deficiente	3	73
44076	Cella	Malo	2	7
44076	Cella	Ruinoso	1	7
44077	Cerollera (La)	Bueno	4	84
44077	Cerollera (La)	Deficiente	3	5
44077	Cerollera (La)	Malo	2	2
44080	Codoñera (La)	Bueno	4	223
44080	Codoñera (La)	Deficiente	3	35
44080	Codoñera (La)	Malo	2	9
44080	Codoñera (La)	Ruinoso	1	2
44082	Corbalán	Bueno	4	89
44082	Corbalán	Deficiente	3	12
44082	Corbalán	Malo	2	7
44082	Corbalán	Ruinoso	1	1
44084	Cortes de Aragón	Bueno	4	97
44084	Cortes de Aragón	Deficiente	3	23
44084	Cortes de Aragón	Malo	2	13
44084	Cortes de Aragón	Ruinoso	1	2
44085	Cosa	Bueno	4	76
44085	Cosa	Deficiente	3	4
44085	Cosa	Malo	2	1
44086	Cretas	Bueno	4	380
44086	Cretas	Deficiente	3	43
44086	Cretas	Malo	2	3
44086	Cretas	Ruinoso	1	1
44087	Crivillén	Bueno	4	93
44087	Crivillén	Deficiente	3	45
44087	Crivillén	Malo	2	16
44087	Crivillén	Ruinoso	1	3
44088	Cuba (La)	Bueno	4	77
44088	Cuba (La)	Deficiente	3	10
44089	Cubla	Bueno	4	93
44089	Cubla	Deficiente	3	9
44089	Cubla	Ruinoso	1	11
44090	Cucalón	Bueno	4	132
44090	Cucalón	Deficiente	3	7
44090	Cucalón	Malo	2	3
44090	Cucalón	Ruinoso	1	2
44092	Cuervo (El)	Bueno	4	141
44092	Cuervo (El)	Deficiente	3	3
44092	Cuervo (El)	Malo	2	1
44093	Cuevas de Almudén	Bueno	4	50
44093	Cuevas de Almudén	Deficiente	3	10
44093	Cuevas de Almudén	Malo	2	6
44094	Cuevas Labradas	Bueno	4	80
44094	Cuevas Labradas	Deficiente	3	15
44094	Cuevas Labradas	Malo	2	1
44094	Cuevas Labradas	Ruinoso	1	5
44096	Ejulve	Bueno	4	123
44096	Ejulve	Deficiente	3	39
44096	Ejulve	Malo	2	12
44096	Ejulve	Ruinoso	1	1
44097	Escorihuela	Bueno	4	151
44097	Escorihuela	Deficiente	3	17
44097	Escorihuela	Malo	2	7
44097	Escorihuela	Ruinoso	1	1
44099	Escucha	Bueno	4	201
44099	Escucha	Deficiente	3	68
44099	Escucha	Malo	2	26
44100	Estercuel	Bueno	4	213
44100	Estercuel	Deficiente	3	64
44100	Estercuel	Malo	2	18
44100	Estercuel	Ruinoso	1	1
44101	Ferreruela de Huerva	Bueno	4	75
44101	Ferreruela de Huerva	Deficiente	3	3
44101	Ferreruela de Huerva	Malo	2	1
44102	Fonfría	Bueno	4	41
44102	Fonfría	Deficiente	3	5
44103	Formiche Alto	Bueno	4	175
44103	Formiche Alto	Deficiente	3	24
44103	Formiche Alto	Malo	2	7
44103	Formiche Alto	Ruinoso	1	5
44105	Fórnoles	Bueno	4	114
44105	Fórnoles	Deficiente	3	35
44105	Fórnoles	Malo	2	6
44105	Fórnoles	Ruinoso	1	2
44106	Fortanete	Bueno	4	222
44106	Fortanete	Deficiente	3	28
44106	Fortanete	Malo	2	1
44106	Fortanete	Ruinoso	1	2
44107	Foz-Calanda	Bueno	4	160
44107	Foz-Calanda	Deficiente	3	31
44107	Foz-Calanda	Malo	2	11
44107	Foz-Calanda	Ruinoso	1	6
44108	Fresneda (La)	Bueno	4	387
44108	Fresneda (La)	Deficiente	3	116
44108	Fresneda (La)	Malo	2	18
44108	Fresneda (La)	Ruinoso	1	6
44109	Frías de Albarracín	Bueno	4	157
44109	Frías de Albarracín	Deficiente	3	39
44109	Frías de Albarracín	Malo	2	14
44109	Frías de Albarracín	Ruinoso	1	1
44110	Fuenferrada	Bueno	4	91
44110	Fuenferrada	Deficiente	3	3
44111	Fuentes Calientes	Bueno	4	95
44111	Fuentes Calientes	Deficiente	3	3
44111	Fuentes Calientes	Malo	2	1
44112	Fuentes Claras	Bueno	4	395
44112	Fuentes Claras	Deficiente	3	14
44112	Fuentes Claras	Malo	2	1
44112	Fuentes Claras	Ruinoso	1	1
44113	Fuentes de Rubielos	Bueno	4	136
44113	Fuentes de Rubielos	Deficiente	3	15
44113	Fuentes de Rubielos	Malo	2	6
44113	Fuentes de Rubielos	Ruinoso	1	1
44114	Fuentespalda	Bueno	4	196
44114	Fuentespalda	Deficiente	3	23
44114	Fuentespalda	Malo	2	7
44114	Fuentespalda	Ruinoso	1	3
44115	Galve	Bueno	4	64
44115	Galve	Deficiente	3	17
44115	Galve	Malo	2	8
44116	Gargallo	Bueno	4	136
44116	Gargallo	Deficiente	3	3
44116	Gargallo	Malo	2	2
44116	Gargallo	Ruinoso	1	1
44117	Gea de Albarracín	Bueno	4	301
44117	Gea de Albarracín	Deficiente	3	29
44117	Gea de Albarracín	Malo	2	26
44117	Gea de Albarracín	Ruinoso	1	9
44118	Ginebrosa (La)	Bueno	4	248
44118	Ginebrosa (La)	Deficiente	3	36
44118	Ginebrosa (La)	Malo	2	15
44118	Ginebrosa (La)	Ruinoso	1	16
44119	Griegos	Bueno	4	161
44119	Griegos	Deficiente	3	8
44119	Griegos	Malo	2	3
44120	Guadalaviar	Bueno	4	142
44120	Guadalaviar	Deficiente	3	19
44120	Guadalaviar	Malo	2	9
44120	Guadalaviar	Ruinoso	1	5
44121	Gúdar	Bueno	4	100
44121	Gúdar	Deficiente	3	5
44121	Gúdar	Malo	2	1
44122	Híjar	Bueno	4	761
44122	Híjar	Deficiente	3	119
44122	Híjar	Malo	2	53
44122	Híjar	Ruinoso	1	3
44123	Hinojosa de Jarque	Bueno	4	84
44123	Hinojosa de Jarque	Deficiente	3	23
44123	Hinojosa de Jarque	Malo	2	8
44124	Hoz de la Vieja (La)	Bueno	4	163
44124	Hoz de la Vieja (La)	Deficiente	3	42
44124	Hoz de la Vieja (La)	Malo	2	41
44124	Hoz de la Vieja (La)	Ruinoso	1	13
44125	Huesa del Común	Bueno	4	178
44125	Huesa del Común	Deficiente	3	25
44125	Huesa del Común	Malo	2	6
44126	Iglesuela del Cid (La)	Bueno	4	299
44126	Iglesuela del Cid (La)	Deficiente	3	29
44126	Iglesuela del Cid (La)	Malo	2	8
44126	Iglesuela del Cid (La)	Ruinoso	1	2
44127	Jabaloyas	Bueno	4	129
44127	Jabaloyas	Deficiente	3	20
44127	Jabaloyas	Ruinoso	1	6
44128	Jarque de la Val	Bueno	4	62
44128	Jarque de la Val	Deficiente	3	12
44128	Jarque de la Val	Malo	2	3
44129	Jatiel	Bueno	4	37
44129	Jatiel	Deficiente	3	18
44129	Jatiel	Malo	2	8
44130	Jorcas	Bueno	4	68
44130	Jorcas	Deficiente	3	13
44130	Jorcas	Malo	2	4
44130	Jorcas	Ruinoso	1	5
44131	Josa	Bueno	4	103
44131	Josa	Deficiente	3	23
44131	Josa	Malo	2	3
44132	Lagueruela	Bueno	4	83
44132	Lagueruela	Deficiente	3	1
44132	Lagueruela	Malo	2	1
44133	Lanzuela	Bueno	4	36
44133	Lanzuela	Deficiente	3	2
44135	Libros	Bueno	4	139
44135	Libros	Deficiente	3	27
44135	Libros	Malo	2	4
44135	Libros	Ruinoso	1	12
44136	Lidón	Bueno	4	62
44136	Lidón	Deficiente	3	7
44136	Lidón	Malo	2	4
44136	Lidón	Ruinoso	1	3
44137	Linares de Mora	Bueno	4	264
44137	Linares de Mora	Deficiente	3	39
44137	Linares de Mora	Malo	2	4
44137	Linares de Mora	Ruinoso	1	3
44138	Loscos	Bueno	4	181
44138	Loscos	Deficiente	3	36
44138	Loscos	Malo	2	8
44141	Lledó	Bueno	4	113
44141	Lledó	Deficiente	3	10
44142	Maicas	Bueno	4	74
44142	Maicas	Deficiente	3	4
44143	Manzanera	Bueno	4	785
44143	Manzanera	Deficiente	3	72
44143	Manzanera	Malo	2	27
44143	Manzanera	Ruinoso	1	1
44144	Martín del Río	Bueno	4	231
44144	Martín del Río	Deficiente	3	35
44144	Martín del Río	Malo	2	10
44144	Martín del Río	Ruinoso	1	3
44145	Mas de las Matas	Bueno	4	736
44145	Mas de las Matas	Deficiente	3	30
44145	Mas de las Matas	Malo	2	6
44145	Mas de las Matas	Ruinoso	1	2
44146	Mata de los Olmos (La)	Bueno	4	142
44146	Mata de los Olmos (La)	Deficiente	3	8
44146	Mata de los Olmos (La)	Ruinoso	1	1
44147	Mazaleón	Bueno	4	374
44147	Mazaleón	Deficiente	3	26
44147	Mazaleón	Malo	2	9
44147	Mazaleón	Ruinoso	1	2
44148	Mezquita de Jarque	Bueno	4	80
44148	Mezquita de Jarque	Deficiente	3	10
44148	Mezquita de Jarque	Malo	2	6
44148	Mezquita de Jarque	Ruinoso	1	1
44149	Mirambel	Bueno	4	133
44149	Mirambel	Deficiente	3	24
44149	Mirambel	Malo	2	7
44149	Mirambel	Ruinoso	1	1
44150	Miravete de la Sierra	Bueno	4	73
44150	Miravete de la Sierra	Deficiente	3	5
44150	Miravete de la Sierra	Malo	2	1
44150	Miravete de la Sierra	Ruinoso	1	1
44151	Molinos	Bueno	4	235
44151	Molinos	Deficiente	3	57
44151	Molinos	Malo	2	8
44151	Molinos	Ruinoso	1	3
44152	Monforte de Moyuela	Bueno	4	104
44152	Monforte de Moyuela	Deficiente	3	20
44152	Monforte de Moyuela	Malo	2	3
44152	Monforte de Moyuela	Ruinoso	1	1
44153	Monreal del Campo	Bueno	4	1167
44153	Monreal del Campo	Deficiente	3	77
44153	Monreal del Campo	Malo	2	14
44153	Monreal del Campo	Ruinoso	1	6
44154	Monroyo	Bueno	4	210
44154	Monroyo	Deficiente	3	19
44154	Monroyo	Malo	2	11
44154	Monroyo	Ruinoso	1	1
44155	Montalbán	Bueno	4	528
44155	Montalbán	Deficiente	3	86
44155	Montalbán	Malo	2	48
44155	Montalbán	Ruinoso	1	29
44156	Monteagudo del Castillo	Bueno	4	90
44156	Monteagudo del Castillo	Deficiente	3	6
44156	Monteagudo del Castillo	Malo	2	7
44156	Monteagudo del Castillo	Ruinoso	1	3
44157	Monterde de Albarracín	Bueno	4	150
44157	Monterde de Albarracín	Deficiente	3	4
44158	Mora de Rubielos	Bueno	4	979
44158	Mora de Rubielos	Deficiente	3	79
44158	Mora de Rubielos	Malo	2	33
44158	Mora de Rubielos	Ruinoso	1	6
44159	Moscardón	Bueno	4	69
44159	Moscardón	Deficiente	3	16
44159	Moscardón	Malo	2	2
44159	Moscardón	Ruinoso	1	2
44160	Mosqueruela	Bueno	4	465
44160	Mosqueruela	Deficiente	3	56
44161	Muniesa	Bueno	4	371
44161	Muniesa	Deficiente	3	144
44161	Muniesa	Malo	2	32
44161	Muniesa	Ruinoso	1	6
44163	Noguera de Albarracín	Bueno	4	135
44163	Noguera de Albarracín	Deficiente	3	8
44163	Noguera de Albarracín	Malo	2	6
44163	Noguera de Albarracín	Ruinoso	1	3
44164	Nogueras	Bueno	4	80
44164	Nogueras	Deficiente	3	5
44164	Nogueras	Malo	2	1
44164	Nogueras	Ruinoso	1	1
44165	Nogueruelas	Bueno	4	224
44165	Nogueruelas	Deficiente	3	44
44165	Nogueruelas	Malo	2	12
44167	Obón	Bueno	4	241
44167	Obón	Deficiente	3	8
44167	Obón	Malo	2	2
44167	Obón	Ruinoso	1	1
44168	Odón	Bueno	4	194
44168	Odón	Deficiente	3	27
44169	Ojos Negros	Bueno	4	507
44169	Ojos Negros	Deficiente	3	9
44171	Olba	Bueno	4	450
44171	Olba	Deficiente	3	14
44171	Olba	Malo	2	1
44171	Olba	Ruinoso	1	1
44172	Oliete	Bueno	4	364
44172	Oliete	Deficiente	3	210
44172	Oliete	Malo	2	47
44172	Oliete	Ruinoso	1	6
44173	Olmos (Los)	Bueno	4	127
44173	Olmos (Los)	Deficiente	3	12
44173	Olmos (Los)	Malo	2	5
44174	Orihuela del Tremedal	Bueno	4	418
44174	Orihuela del Tremedal	Deficiente	3	20
44174	Orihuela del Tremedal	Malo	2	3
44174	Orihuela del Tremedal	Ruinoso	1	6
44175	Orrios	Bueno	4	96
44175	Orrios	Deficiente	3	20
44175	Orrios	Malo	2	6
44175	Orrios	Ruinoso	1	3
44176	Palomar de Arroyos	Bueno	4	121
44176	Palomar de Arroyos	Deficiente	3	40
44176	Palomar de Arroyos	Malo	2	12
44176	Palomar de Arroyos	Ruinoso	1	13
44177	Pancrudo	Bueno	4	174
44177	Pancrudo	Deficiente	3	13
44177	Pancrudo	Malo	2	8
44178	Parras de Castellote (Las)	Bueno	4	194
44178	Parras de Castellote (Las)	Deficiente	3	3
44179	Peñarroya de Tastavins	Bueno	4	316
44179	Peñarroya de Tastavins	Deficiente	3	29
44179	Peñarroya de Tastavins	Malo	2	7
44180	Peracense	Bueno	4	113
44180	Peracense	Deficiente	3	5
44181	Peralejos	Bueno	4	62
44181	Peralejos	Deficiente	3	11
44181	Peralejos	Ruinoso	1	2
44182	Perales del Alfambra	Bueno	4	188
44182	Perales del Alfambra	Deficiente	3	15
44182	Perales del Alfambra	Malo	2	5
44182	Perales del Alfambra	Ruinoso	1	3
44183	Pitarque	Bueno	4	140
44183	Pitarque	Deficiente	3	1
44183	Pitarque	Ruinoso	1	2
44184	Plou	Bueno	4	76
44184	Plou	Deficiente	3	10
44184	Plou	Malo	2	3
44184	Plou	Ruinoso	1	1
44185	Pobo (El)	Bueno	4	147
44185	Pobo (El)	Deficiente	3	16
44185	Pobo (El)	Malo	2	6
44185	Pobo (El)	Ruinoso	1	2
44187	Portellada (La)	Bueno	4	114
44187	Portellada (La)	Deficiente	3	81
44187	Portellada (La)	Malo	2	15
44187	Portellada (La)	Ruinoso	1	4
44189	Pozondón	Bueno	4	113
44189	Pozondón	Deficiente	3	20
44189	Pozondón	Malo	2	3
44189	Pozondón	Ruinoso	1	1
44190	Pozuel del Campo	Bueno	4	153
44190	Pozuel del Campo	Deficiente	3	10
44190	Pozuel del Campo	Malo	2	2
44191	Puebla de Híjar (La)	Bueno	4	623
44191	Puebla de Híjar (La)	Deficiente	3	73
44191	Puebla de Híjar (La)	Malo	2	27
44192	Puebla de Valverde (La)	Bueno	4	408
44192	Puebla de Valverde (La)	Deficiente	3	27
44192	Puebla de Valverde (La)	Malo	2	8
44192	Puebla de Valverde (La)	Ruinoso	1	2
44193	Puertomingalvo	Bueno	4	148
44193	Puertomingalvo	Deficiente	3	8
44194	Ráfales	Bueno	4	171
44194	Ráfales	Deficiente	3	14
44194	Ráfales	Malo	2	6
44195	Rillo	Bueno	4	103
44195	Rillo	Deficiente	3	8
44195	Rillo	Malo	2	2
44195	Rillo	Ruinoso	1	1
44196	Riodeva	Bueno	4	120
44196	Riodeva	Deficiente	3	69
44196	Riodeva	Malo	2	19
44196	Riodeva	Ruinoso	1	2
44197	Ródenas	Bueno	4	117
44197	Ródenas	Deficiente	3	7
44197	Ródenas	Malo	2	2
44197	Ródenas	Ruinoso	1	1
44198	Royuela	Bueno	4	153
44198	Royuela	Deficiente	3	13
44198	Royuela	Malo	2	3
44199	Rubiales	Bueno	4	65
44199	Rubiales	Deficiente	3	3
44200	Rubielos de la Cérida	Bueno	4	69
44200	Rubielos de la Cérida	Deficiente	3	2
44200	Rubielos de la Cérida	Ruinoso	1	2
44201	Rubielos de Mora	Bueno	4	610
44201	Rubielos de Mora	Deficiente	3	38
44201	Rubielos de Mora	Malo	2	6
44203	Salcedillo	Bueno	4	33
44203	Salcedillo	Deficiente	3	1
44204	Saldón	Bueno	4	77
44204	Saldón	Deficiente	3	12
44204	Saldón	Malo	2	4
44205	Samper de Calanda	Bueno	4	461
44205	Samper de Calanda	Deficiente	3	195
44205	Samper de Calanda	Malo	2	32
44205	Samper de Calanda	Ruinoso	1	20
44206	San Agustín	Bueno	4	292
44206	San Agustín	Deficiente	3	25
44206	San Agustín	Malo	2	8
44206	San Agustín	Ruinoso	1	3
44207	San Martín del Río	Bueno	4	203
44207	San Martín del Río	Deficiente	3	93
44207	San Martín del Río	Malo	2	5
44207	San Martín del Río	Ruinoso	1	2
44208	Santa Cruz de Nogueras	Bueno	4	50
44208	Santa Cruz de Nogueras	Deficiente	3	4
44208	Santa Cruz de Nogueras	Malo	2	2
44208	Santa Cruz de Nogueras	Ruinoso	1	1
44209	Santa Eulalia	Bueno	4	741
44209	Santa Eulalia	Deficiente	3	30
44209	Santa Eulalia	Malo	2	2
44209	Santa Eulalia	Ruinoso	1	1
44210	Sarrión	Bueno	4	865
44210	Sarrión	Deficiente	3	33
44210	Sarrión	Malo	2	8
44210	Sarrión	Ruinoso	1	2
44211	Segura de los Baños	Bueno	4	96
44211	Segura de los Baños	Deficiente	3	1
44212	Seno	Bueno	4	83
44213	Singra	Bueno	4	79
44213	Singra	Deficiente	3	13
44213	Singra	Malo	2	4
44213	Singra	Ruinoso	1	1
44215	Terriente	Bueno	4	179
44215	Terriente	Deficiente	3	26
44215	Terriente	Malo	2	3
44216	Teruel	Bueno	4	5014
44216	Teruel	Deficiente	3	320
44216	Teruel	Malo	2	56
44216	Teruel	Ruinoso	1	9
44217	Toril y Masegoso	Bueno	4	102
44217	Toril y Masegoso	Deficiente	3	3
44217	Toril y Masegoso	Ruinoso	1	1
44218	Tormón	Bueno	4	70
44218	Tormón	Deficiente	3	3
44219	Tornos	Bueno	4	196
44219	Tornos	Deficiente	3	44
44219	Tornos	Malo	2	6
44219	Tornos	Ruinoso	1	6
44220	Torralba de los Sisones	Bueno	4	138
44220	Torralba de los Sisones	Deficiente	3	4
44220	Torralba de los Sisones	Malo	2	4
44220	Torralba de los Sisones	Ruinoso	1	3
44221	Torrecilla de Alcañiz	Bueno	4	204
44221	Torrecilla de Alcañiz	Deficiente	3	65
44221	Torrecilla de Alcañiz	Malo	2	18
44221	Torrecilla de Alcañiz	Ruinoso	1	6
44222	Torrecilla del Rebollar	Bueno	4	140
44222	Torrecilla del Rebollar	Deficiente	3	41
44222	Torrecilla del Rebollar	Malo	2	5
44223	Torre de Arcas	Bueno	4	85
44223	Torre de Arcas	Deficiente	3	17
44223	Torre de Arcas	Malo	2	2
44224	Torre de las Arcas	Bueno	4	71
44224	Torre de las Arcas	Deficiente	3	9
44225	Torre del Compte	Bueno	4	162
44225	Torre del Compte	Deficiente	3	44
44225	Torre del Compte	Malo	2	11
44225	Torre del Compte	Ruinoso	1	3
44226	Torrelacárcel	Bueno	4	237
44226	Torrelacárcel	Deficiente	3	14
44226	Torrelacárcel	Ruinoso	1	1
44227	Torre los Negros	Bueno	4	96
44227	Torre los Negros	Deficiente	3	17
44227	Torre los Negros	Malo	2	7
44227	Torre los Negros	Ruinoso	1	4
44228	Torremocha de Jiloca	Bueno	4	112
44228	Torremocha de Jiloca	Deficiente	3	8
44229	Torres de Albarracín	Bueno	4	153
44229	Torres de Albarracín	Deficiente	3	10
44230	Torrevelilla	Bueno	4	175
44230	Torrevelilla	Deficiente	3	10
44230	Torrevelilla	Malo	2	6
44230	Torrevelilla	Ruinoso	1	2
44231	Torrijas	Bueno	4	165
44231	Torrijas	Deficiente	3	3
44232	Torrijo del Campo	Bueno	4	332
44232	Torrijo del Campo	Deficiente	3	24
44232	Torrijo del Campo	Malo	2	8
44234	Tramacastiel	Bueno	4	127
44234	Tramacastiel	Deficiente	3	44
44234	Tramacastiel	Malo	2	23
44234	Tramacastiel	Ruinoso	1	9
44235	Tramacastilla	Bueno	4	134
44235	Tramacastilla	Deficiente	3	12
44235	Tramacastilla	Malo	2	4
44236	Tronchón	Bueno	4	112
44236	Tronchón	Deficiente	3	28
44237	Urrea de Gaén	Bueno	4	308
44237	Urrea de Gaén	Deficiente	3	57
44237	Urrea de Gaén	Malo	2	11
44238	Utrillas	Bueno	4	671
44238	Utrillas	Deficiente	3	41
44238	Utrillas	Malo	2	9
44239	Valacloche	Bueno	4	52
44239	Valacloche	Deficiente	3	5
44239	Valacloche	Malo	2	2
44240	Valbona	Bueno	4	264
44240	Valbona	Deficiente	3	16
44240	Valbona	Malo	2	3
44241	Valdealgorfa	Bueno	4	371
44241	Valdealgorfa	Deficiente	3	64
44241	Valdealgorfa	Malo	2	9
44241	Valdealgorfa	Ruinoso	1	8
44243	Valdecuenca	Bueno	4	79
44243	Valdecuenca	Deficiente	3	15
44243	Valdecuenca	Malo	2	1
44244	Valdelinares	Bueno	4	153
44244	Valdelinares	Deficiente	3	15
44244	Valdelinares	Malo	2	9
44244	Valdelinares	Ruinoso	1	1
44245	Valdeltormo	Bueno	4	178
44245	Valdeltormo	Deficiente	3	66
44245	Valdeltormo	Malo	2	10
44245	Valdeltormo	Ruinoso	1	3
44246	Valderrobres	Bueno	4	936
44246	Valderrobres	Deficiente	3	64
44246	Valderrobres	Malo	2	18
44247	Valjunquera	Bueno	4	277
44247	Valjunquera	Deficiente	3	20
