Año	Residencia área código	Residencia continente nombre	Residencia área nombre	Inscripción comarca código	Inscripción comarca nombre	Sexo	Personas
2009	07	Asia	Asia	08	Cinca Medio	Hombre	2
2009	07	Asia	Asia	10	Los Monegros	Hombre	2
2009	07	Asia	Asia	10	Los Monegros	Mujer	3
2009	07	Asia	Asia	11	Bajo Cinca / Baix Cinca	Hombre	1
2009	07	Asia	Asia	12	Tarazona y el Moncayo	Hombre	2
2009	07	Asia	Asia	12	Tarazona y el Moncayo	Mujer	1
2009	07	Asia	Asia	13	Campo de Borja	Hombre	1
2009	07	Asia	Asia	15	Ribera Alta del Ebro	Mujer	1
2009	07	Asia	Asia	16	Valdejalón	Hombre	1
2009	07	Asia	Asia	17	Central	Hombre	157
2009	07	Asia	Asia	17	Central	Mujer	140
2009	07	Asia	Asia	20	Comunidad de Calatayud	Hombre	9
2009	07	Asia	Asia	20	Comunidad de Calatayud	Mujer	13
2009	07	Asia	Asia	21	Campo de Cariñena	Hombre	1
2009	07	Asia	Asia	25	Jiloca	Hombre	1
2009	07	Asia	Asia	26	Cuencas Mineras	Hombre	3
2009	07	Asia	Asia	26	Cuencas Mineras	Mujer	1
2009	07	Asia	Asia	27	Andorra-Sierra de Arcos	Hombre	1
2009	07	Asia	Asia	28	Bajo Aragón	Mujer	1
2009	07	Asia	Asia	29	Comunidad de Teruel	Hombre	3
2009	07	Asia	Asia	29	Comunidad de Teruel	Mujer	3
2009	07	Asia	Asia	32	Gúdar-Javalambre	Hombre	1
2009	07	Asia	Asia	32	Gúdar-Javalambre	Mujer	1
2009	07	Asia	Asia	33	Matarraña / Matarranya	Mujer	1
2009	08	Oceanía	Oceanía	01	La Jacetania	Hombre	3
2009	08	Oceanía	Oceanía	01	La Jacetania	Mujer	4
2009	08	Oceanía	Oceanía	04	La Ribagorza	Mujer	1
2009	08	Oceanía	Oceanía	05	Cinco Villas	Mujer	1
2009	08	Oceanía	Oceanía	06	Hoya de Huesca / Plana de Uesca	Hombre	6
2009	08	Oceanía	Oceanía	06	Hoya de Huesca / Plana de Uesca	Mujer	8
2009	08	Oceanía	Oceanía	07	Somontano de Barbastro	Hombre	1
