Municipio código	Municipio nombre	Unidades trabajo-año totales	Unidades trabajo-año asalariados	Unidades trabajo-año asalariados fijos	Unidades trabajo-año asalariados eventuales	Unidades trabajo-año mano obra familiar	Unidades trabajo-año titular	Unidades trabajo-año jefe explotación	Unidades trabajo-año otros miembros familia
44148	Mezquita de Jarque	18,085	9,712	9,669	0,043	8,373	4,617	6,032	3,756
44149	Mirambel	31,403	4,633	3,756	0,877	26,77	19,145	21,276	7,625
44150	Miravete de la Sierra	4,302	0,152	0,135	0,017	4,15	3,275	3,41	0,875
44151	Molinos	44,229	8,833	7,696	1,137	35,396	22,161	27,292	13,235
44152	Monforte de Moyuela	19,197	1,834	1,625	0,209	17,363	11,388	12,519	5,975
44153	Monreal del Campo	60,957	6,903	6,708	0,195	54,054	40,605	48,735	13,449
44154	Monroyo	64,163	4,943	2,388	2,555	59,22	41,427	43,733	17,793
44155	Montalbán	8,355	1,017	1,017	0	7,338	6,001	7,101	1,337
44156	Monteagudo del Castillo	6,136	2,245	2,245	0	3,891	3,436	5,339	0,455
44157	Monterde de Albarracín	5,664	1,034	1,034	0	4,63	4,109	4,414	0,521
44158	Mora de Rubielos	33,108	4,535	4,514	0,021	28,573	20,826	23,985	7,747
44159	Moscardón	4,607	0,129	0,129	0	4,478	3,147	3,603	1,331
44160	Mosqueruela	48,316	9,935	9,722	0,213	38,381	32,058	39,59	6,323
44161	Muniesa	75,276	3,852	2,652	1,2	71,424	43,385	46,416	28,039
44163	Noguera de Albarracín	3,008	0,004	0,004	0	3,004	2,004	2,008	1
44164	Nogueras	9,722	0	0	0	9,722	6,972	6,972	2,75
44165	Nogueruelas	7,74	0,056	0,004	0,052	7,684	6,684	6,688	1
44167	Obón	4,219	0,004	0,004	0	4,215	2,165	2,257	2,05
44168	Odón	56,492	11,111	10,932	0,179	45,381	36,25	40,172	9,131
44169	Ojos Negros	46,421	16,771	16,474	0,297	29,65	22,972	31,048	6,678
44171	Olba	2,476	0,004	0,004	0	2,472	1,972	1,976	0,5
44172	Oliete	41,508	5,43	4,288	1,142	36,078	15,328	19,594	20,75
44173	Olmos (Los)	32,112	2,89	1,881	1,009	29,222	17,66	18,371	11,562
44174	Orihuela del Tremedal	17,046	2,339	2,129	0,21	14,707	10,578	10,582	4,129
44175	Orrios	25,065	4,018	4,01	0,008	21,047	16,813	17,969	4,234
44176	Palomar de Arroyos	7,111	1,06	1,06	0	6,051	5,33	6,276	0,721
44177	Pancrudo	30,051	1,903	1,895	0,008	28,148	19,176	22,279	8,972
44178	Parras de Castellote (Las)	20,136	3,017	3,004	0,013	17,119	9,085	10,102	8,034
44179	Peñarroya de Tastavins	89,984	26,195	21,451	4,744	63,789	41,883	47,925	21,906
44180	Peracense	8,368	0,267	0,267	0	8,101	3,508	4,985	4,593
44181	Peralejos	7,924	0,013	0,013	0	7,911	5,161	6,174	2,75
44182	Perales del Alfambra	50,419	16,111	15,512	0,599	34,308	27,278	31,726	7,03
44183	Pitarque	8,97	0,021	0,004	0,017	8,949	4,523	5,574	4,426
44184	Plou	6,076	0,026	0	0,026	6,05	4,05	4,05	2
44185	Pobo (El)	14,747	1,909	1,68	0,229	12,838	10,094	10,962	2,744
44187	Portellada (La)	65,644	4,931	4,569	0,362	60,713	32,564	36,257	28,149
44189	Pozondón	13,973	9,396	9,392	0,004	4,577	4,327	7,594	0,25
44190	Pozuel del Campo	11,97	1,047	1,004	0,043	10,923	7,048	8,052	3,875
44191	Puebla de Híjar (La)	63,302	24,298	23,633	0,665	39,004	27,776	35,633	11,228
44192	Puebla de Valverde (La)	54,026	13,678	10,566	3,112	40,348	29,194	31,466	11,154
44193	Puertomingalvo	17,277	0,056	0,056	0	17,221	14,346	14,35	2,875
44194	Ráfales	56,812	3,676	3,054	0,622	53,136	27,794	30,88	25,342
44195	Rillo	9,987	0,77	0,77	0	9,217	9,042	9,966	0,175
44196	Riodeva	8,661	0,126	0,004	0,122	8,535	3,473	3,587	5,062
44197	Ródenas	13,355	4,629	4,629	0	8,726	6,299	7,829	2,427
44198	Royuela	10,326	0,004	0,004	0	10,322	7,559	7,651	2,763
44199	Rubiales	2,904	0,629	0,629	0	2,275	1,525	1,529	0,75
44200	Rubielos de la Cérida	11,086	1,699	1,686	0,013	9,387	7,522	8,682	1,865
44201	Rubielos de Mora	14,936	1,176	1,176	0	13,76	11,385	11,436	2,375
44203	Salcedillo	1,349	0,135	0,135	0	1,214	0,964	1,012	0,25
44204	Saldón	1,779	0,169	0,091	0,078	1,61	1,485	1,572	0,125
44205	Samper de Calanda	79,968	16,491	14,247	2,244	63,477	39,54	52,423	23,937
44206	San Agustín	21,034	0,666	0,147	0,519	20,368	13,284	13,428	7,084
44207	San Martín del Río	30,755	2,786	1,876	0,91	27,969	14,139	16,005	13,83
44208	Santa Cruz de Nogueras	1,725	0	0	0	1,725	1,35	1,35	0,375
44209	Santa Eulalia	55,653	9,711	9,494	0,217	45,942	33,637	37,534	12,305
44210	Sarrión	81,943	16,439	7,96	8,479	65,504	42,465	45,887	23,039
44211	Segura de los Baños	6,608	1,385	1,385	0	5,223	3,473	4,608	1,75
44212	Seno	10,389	0,398	0,004	0,394	9,991	5,527	6,491	4,464
44213	Singra	15,403	1,039	1	0,039	14,364	11,51	11,51	2,854
44215	Terriente	26,563	7,846	7,804	0,042	18,717	12,858	15,539	5,859
44216	Teruel	198,288	48,19	42,357	5,833	150,098	105,214	124,872	44,884
44217	Toril y Masegoso	5,571	1	1	0	4,571	3,44	3,44	1,131
44219	Tornos	27,482	1,648	1,613	0,035	25,834	19,682	22,795	6,152
44220	Torralba de los Sisones	32,602	4,3	4,3	0	28,302	25,107	25,215	3,195
44221	Torrecilla de Alcañiz	61,879	11,126	11,109	0,017	50,753	30,152	37,007	20,601
44222	Torrecilla del Rebollar	21,17	1,326	1,318	0,008	19,844	13,816	14,634	6,028
44223	Torre de Arcas	21,32	0,875	0,875	0	20,445	10,793	11,481	9,652
44224	Torre de las Arcas	10,954	6,742	6,216	0,526	4,212	2,891	4	1,321
44225	Torre del Compte	30,846	2,355	1,459	0,896	28,491	17,314	18,497	11,177
44226	Torrelacárcel	24,586	2,174	2,097	0,077	22,412	17,009	17,479	5,403
44227	Torre los Negros	10,599	0,311	0,311	0	10,288	8,248	8,974	2,04
44228	Torremocha de Jiloca	16,697	2,848	0,813	2,035	13,849	10,694	11,132	3,155
44229	Torres de Albarracín	8,642	1,122	0	1,122	7,52	5,707	6,075	1,813
44230	Torrevelilla	32,935	3,611	3,196	0,415	29,324	18,695	19,887	10,629
44231	Torrijas	2,847	0,004	0,004	0	2,843	2,218	2,222	0,625
44232	Torrijo del Campo	104,857	43,659	42,999	0,66	61,198	42,427	47,264	18,771
44234	Tramacastiel	5,743	0,043	0,043	0	5,7	2,764	2,868	2,936
44235	Tramacastilla	7,241	1,37	1,37	0	5,871	4,371	5,116	1,5
44236	Tronchón	25,011	2,254	2,254	0	22,757	14,132	15,136	8,625
44237	Urrea de Gaén	42,466	10,489	7,113	3,376	31,977	17,992	27,376	13,985
44238	Utrillas	12,071	5,746	4,584	1,162	6,325	5,95	6,409	0,375
44239	Valacloche	2,432	0,012	0,012	0	2,42	1,795	1,807	0,625
44240	Valbona	7,23	1,223	1,223	0	6,007	3,882	4,105	2,125
44241	Valdealgorfa	109,003	10,528	8,717	1,811	98,475	54,918	62,334	43,557
44243	Valdecuenca	1,763	0	0	0	1,763	1,138	1,138	0,625
44244	Valdelinares	5,125	0,789	0,789	0	4,336	4,211	5	0,125
44245	Valdeltormo	34,12	4,364	3,791	0,573	29,756	19,956	22,047	9,8
44246	Valderrobres	436,93	251,045	246,987	4,058	185,885	115,178	124,62	70,707
44247	Valjunquera	103,851	8,024	4,352	3,672	95,827	44,866	52,078	50,961
44249	Vallecillo (El)	1,379	0,004	0,004	0	1,375	1	1,004	0,375
44250	Veguillas de la Sierra	3,561	0,55	0,55	0	3,011	2,283	2,639	0,728
44251	Villafranca del Campo	51,589	5,186	5,047	0,139	46,403	35,508	39,467	10,895
44252	Villahermosa del Campo	13,666	0,586	0,521	0,065	13,08	7,938	8,877	5,142
44256	Villanueva del Rebollar de la Sierra	6,892	1,26	1,26	0	5,632	4,937	6,138	0,695
44257	Villar del Cobo	25,835	0,004	0,004	0	25,831	20,331	20,335	5,5
44258	Villar del Salz	5,492	0,091	0,091	0	5,401	4,026	4,117	1,375
44260	Villarluengo	32,121	4,046	4,02	0,026	28,075	18,825	20,133	9,25
44261	Villarquemado	68,537	8,498	8,185	0,313	60,039	41,87	48,316	18,169
44262	Villarroya de los Pinares	17,053	1,512	1,504	0,008	15,541	11,584	12,873	3,957
44263	Villastar	17,11	1,047	1,004	0,043	16,063	9,921	11,087	6,142
44264	Villel	19,404	5,506	4,946	0,56	13,898	9,52	10,04	4,378
44265	Vinaceite	41,587	11,357	11,262	0,095	30,23	19,953	28,269	10,277
44266	Visiedo	34,823	3,634	2,202	1,432	31,189	21,867	22,939	9,322
44267	Vivel del Río Martín	17,246	4,887	4,879	0,008	12,359	8,359	9,363	4
44268	Zoma (La)	1,318	0,004	0,004	0	1,314	1,029	1,068	0,285
50001	Abanto	16,073	0,218	0,131	0,087	15,855	10,073	11,722	5,782
50002	Acered	56,669	3,708	2,563	1,145	52,961	30,925	37,837	22,036
50003	Agón	26,116	6,093	4,762	1,331	20,023	11,378	15,101	8,645
50004	Aguarón	140,698	28,619	11,141	17,478	112,079	59,482	69,051	52,597
50005	Aguilón	28,632	3,922	2,93	0,992	24,71	15,291	19,34	9,419
50006	Ainzón	104,523	12,499	7,113	5,386	92,024	49,961	61,966	42,063
50007	Aladrén	14,928	1,594	0	1,594	13,334	7,881	7,986	5,453
50008	Alagón	73,345	21,127	19,057	2,07	52,218	35,537	47,03	16,681
50009	Alarba	36,126	1,725	0,043	1,682	34,401	24,079	24,451	10,322
50010	Alberite de San Juan	22,301	3,491	1,168	2,323	18,81	8,036	10,645	10,774
50011	Albeta	7,278	0,639	0	0,639	6,639	3,826	4,264	2,813
50012	Alborge	2,573	1,19	1,19	0	1,383	1,258	2,073	0,125
50013	Alcalá de Ebro	20,266	5,418	4,629	0,789	14,848	10,846	13,723	4,002
50014	Alcalá de Moncayo	21,823	0,824	0,146	0,678	20,999	11,661	11,739	9,338
50015	Alconchel de Ariza	19,676	4,639	4,639	0	15,037	13,182	17,883	1,855
50016	Aldehuela de Liestos	7,853	1,211	1,203	0,008	6,642	5,673	6,966	0,969
50017	Alfajarín	70,163	14,352	12,558	1,794	55,811	46,189	59,18	9,622
50018	Alfamén	337,938	197,534	87,769	109,765	140,404	74,68	100,412	65,724
50019	Alforque	2,708	0,263	0,263	0	2,445	1,875	2,138	0,57
50020	Alhama de Aragón	15,317	4,001	4,001	0	11,316	6,338	8,21	4,978
50021	Almochuel	8,947	0,065	0	0,065	8,882	6,464	6,464	2,418
50022	Almolda (La)	102,627	36,189	33,256	2,933	66,438	40,629	57,609	25,809
50023	Almonacid de la Cuba	56,734	6,624	5,573	1,051	50,11	28,617	37,24	21,493
50024	Almonacid de la Sierra	285,686	189,565	105,149	84,416	96,121	50,301	65,47	45,82
50025	Almunia de Doña Godina (La)	421,012	219,479	108,489	110,99	201,533	103,306	139,127	98,227
50026	Alpartir	74,653	8,327	4,2	4,127	66,326	31,581	38,193	34,745
50027	Ambel	61,33	15,059	13,759	1,3	46,271	21,339	32,807	24,932
50028	Anento	14,46	2,096	2,096	0	12,364	7,229	8,913	5,135
50029	Aniñón	126,637	9,965	4,604	5,361	116,672	63,957	71,499	52,715
50030	Añón de Moncayo	13,257	4	4	0	9,257	5,677	8,817	3,58
50031	Aranda de Moncayo	25,995	8,7	7,828	0,872	17,295	10,967	14,365	6,328
50032	Arándiga	58,519	7,276	4,375	2,901	51,243	28,993	30,555	22,25
50033	Ardisa	10,624	0,635	0,109	0,526	9,989	6,432	6,629	3,557
50034	Ariza	37,684	2,808	2,795	0,013	34,876	28,407	30,344	6,469
50035	Artieda	11,89	8,668	8,668	0	3,222	2,597	4,64	0,625
50036	Asín	3,509	1,306	1,306	0	2,203	1,453	2,755	0,75
50037	Atea	41,426	4,2	2,375	1,825	37,226	19,53	22,207	17,696
50038	Ateca	78,239	13,605	4,801	8,804	64,634	37,933	39,689	26,701
50039	Azuara	78,442	10,254	8,853	1,401	68,188	43,629	48,991	24,559
50040	Badules	11,34	0,976	0,972	0,004	10,364	7,342	8,168	3,022
50041	Bagüés	8,368	2,484	1,959	0,525	5,884	3,406	5,3	2,478
50042	Balconchán	5,146	1,214	1,197	0,017	3,932	1,832	3,181	2,1
50043	Bárboles	34,439	8,549	8,196	0,353	25,89	12,938	19,531	12,952
50044	Bardallur	36,386	8,502	6,315	2,187	27,884	16,054	18,984	11,83
50045	Belchite	253,484	38,902	27,059	11,843	214,582	112,645	138,06	101,937
50046	Belmonte de Gracián	43,121	3,151	1,789	1,362	39,97	27,595	29,384	12,375
50047	Berdejo	3,32	1,326	1,326	0	1,994	1,744	1,445	0,25
50048	Berrueco	6,001	0,633	0,633	0	5,368	4,977	5,743	0,391
50050	Bijuesca	17,853	8,913	3,642	5,271	8,94	6,815	7,082	2,125
50051	Biota	98,712	32,379	27,047	5,332	66,333	47,382	65,189	18,951
50052	Bisimbre	20,32	6,822	6	0,822	13,498	8,748	12,748	4,75
50053	Boquiñeni	68,84	18,049	11,676	6,373	50,791	30,179	37,467	20,612
50054	Bordalba	13,031	1,371	1,008	0,363	11,66	11,285	12,293	0,375
50055	Borja	212,199	26,717	20,319	6,398	185,482	108,157	124,032	77,325
50056	Botorrita	13,967	2,816	2,79	0,026	11,151	8,828	11,032	2,323
50057	Brea de Aragón	12,519	1,251	1,129	0,122	11,268	4,405	5,447	6,863
50058	Bubierca	6,211	0,883	0,875	0,008	5,328	3,578	3,578	1,75
50059	Bujaraloz	90,396	23,379	23,222	0,157	67,017	55,741	69,062	11,276
50060	Bulbuente	46,555	5,849	4,15	1,699	40,706	21,293	24,934	19,413
50061	Bureta	37,666	5,147	2,333	2,814	32,519	19,928	22,555	12,591
50062	Burgo de Ebro (El)	37,925	14,523	12,688	1,835	23,402	19,925	27,569	3,477
50063	Buste (El)	11,231	0,402	0,35	0,052	10,829	4,428	4,974	6,401
50064	Cabañas de Ebro	30,42	12,961	12,375	0,586	17,459	11,997	16,769	5,462
50065	Cabolafuente	10,86	0,657	0,657	0	10,203	8,828	9,485	1,375
50066	Cadrete	17,129	6	5	1	11,129	6,629	8,629	4,5
50067	Calatayud	218,661	122,754	50,366	72,388	95,907	62,406	73,977	33,501
50068	Calatorao	239,456	137,29	85,773	51,517	102,166	60,251	76,082	41,915
50069	Calcena	4,194	3	3	0	1,194	1,069	1,069	0,125
50070	Calmarza	8,599	0,004	0,004	0	8,595	5,876	7,091	2,719
50071	Campillo de Aragón	33,03	1,964	1,381	0,583	31,066	21,05	25,69	10,016
50072	Carenas	7,181	0	0	0	7,181	4,289	4,552	2,892
50073	Cariñena	430,208	218,893	105,292	113,601	211,315	116,215	152,503	95,1
50074	Caspe	1248,993	820,411	406,163	414,248	428,582	269,137	331,1	159,445
50075	Castejón de Alarba	37,42	2,348	1	1,348	35,072	19,548	20,868	15,524
50076	Castejón de las Armas	10,045	0	0	0	10,045	5,045	5,045	5
50077	Castejón de Valdejasa	39,454	1,403	1,343	0,06	38,051	20,134	23,743	17,917
50078	Castiliscar	45,642	20,541	20,288	0,253	25,101	17,743	27,099	7,358
50079	Cervera de la Cañada	60,523	8,451	4,641	3,81	52,072	34,323	35,75	17,749
50080	Cerveruela	0,422	0,013	0,013	0	0,409	0,284	0,297	0,125
50081	Cetina	33,487	4,031	2,909	1,122	29,456	22,778	25,934	6,678
50082	Cimballa	14,086	1,122	1	0,122	12,964	6,589	6,589	6,375
50083	Cinco Olivas	5,535	1,722	1,722	0	3,813	2,118	3,66	1,695
50084	Clarés de Ribota	13,761	0,388	0,388	0	13,373	7,549	9,08	5,824
50085	Codo	16,443	2,354	2,35	0,004	14,089	7,433	10,094	6,656
50086	Codos	39,929	4,343	2,662	1,681	35,586	22,318	23,623	13,268
50087	Contamina	2,866	0,004	0,004	0	2,862	2,237	2,237	0,625
50088	Cosuenda	68,105	4,74	3,738	1,002	63,365	31,922	37,022	31,443
50089	Cuarte de Huerva	4,479	1,657	1,657	0	2,822	1,567	2,604	1,255
50090	Cubel	48,2	4,192	4,14	0,052	44,008	35,331	37,092	8,677
50091	Cuerlas (Las)	8,503	1,439	1,374	0,065	7,064	6,452	8,321	0,612
50092	Chiprana	90,215	68,917	29,156	39,761	21,298	10,745	16,217	10,553
50093	Chodes	24,249	4,358	0,065	4,293	19,891	10,396	11,53	9,495
50094	Daroca	47,052	5,572	5,415	0,157	41,48	24,954	27,689	16,526
50095	Ejea de los Caballeros	1114,666	545,05	392,099	152,951	569,616	445,617	613,781	123,999
50096	Embid de Ariza	11,134	1,473	1,438	0,035	9,661	8,411	8,849	1,25
50098	Encinacorba	35,328	1,986	0	1,986	33,342	15,33	15,912	18,012
50099	Épila	384,693	194,727	77,772	116,955	189,966	123,103	150,63	66,863
50100	Erla	23,35	7,19	6,576	0,614	16,16	14,975	19,707	1,185
50101	Escatrón	42,337	3,755	1,489	2,266	38,582	22,493	23,782	16,089
50102	Fabara	238,482	54,971	47,891	7,08	183,511	114,391	140,408	69,12
50104	Farlete	45,82	10,724	10,158	0,566	35,096	24,321	32,425	10,775
50105	Fayón	44,466	3,822	1,533	2,289	40,644	15,824	19,407	24,82
50106	Fayos (Los)	3,495	0	0	0	3,495	1,715	1,745	1,78
50107	Figueruelas	55,67	28,821	11,823	16,998	26,849	15,679	21,011	11,17
50108	Fombuena	12,498	7,075	3,957	3,118	5,423	4,548	6,505	0,875
50109	Frago (El)	2,571	1,069	1,069	0	1,502	0,577	1,778	0,925
50110	Frasno (El)	111,2	11,818	1,75	10,068	99,382	58,803	59,428	40,579
50111	Fréscano	27,72	7,006	7,006	0	20,714	14,07	21,403	6,644
50113	Fuendejalón	216,72	49,649	26,758	22,891	167,071	84,608	106,31	82,463
50114	Fuendetodos	13,571	1,983	1,983	0	11,588	9,46	11,866	2,128
50115	Fuentes de Ebro	240,365	61,12	52,074	9,046	179,245	114,433	137,807	64,812
50116	Fuentes de Jiloca	46,02	12,019	5,854	6,165	34,001	20,522	24,472	13,479
50117	Gallocanta	24,113	4,755	4,755	0	19,358	15,884	17,634	3,474
50118	Gallur	78,378	28,871	24,596	4,275	49,507	37,562	47,456	11,945
50119	Gelsa	109,993	13,858	13,785	0,073	96,135	65,341	83,945	30,794
50120	Godojos	9,456	0,108	0,087	0,021	9,348	5,818	6,185	3,53
50121	Gotor	19,241	1,175	1	0,175	18,066	9,735	11,287	8,331
50122	Grisel	9,014	0,122	0	0,122	8,892	6,392	6,392	2,5
50123	Grisén	9,427	3,681	2,858	0,823	5,746	2,497	4,768	3,249
50124	Herrera de los Navarros	87,553	5,106	2,504	2,602	82,447	50,111	54,858	32,336
50125	Ibdes	46,95	6,767	5,091	1,676	40,183	24,734	26,022	15,449
50126	Illueca	39,76	2,928	1,209	1,719	36,832	19,188	20,691	17,644
50128	Isuerre	6,259	1,017	1	0,017	5,242	4,238	5,242	1,004
50129	Jaraba	18,236	1,263	1,263	0	16,973	10,239	11,607	6,734
50130	Jarque	60,774	4,936	2,008	2,928	55,838	31,645	34,941	24,193
50131	Jaulín	32,129	4,506	4,025	0,481	27,623	18,244	23,208	9,379
50132	Joyosa (La)	15,298	6,681	4,752	1,929	8,617	5,569	8,798	3,048
50133	Lagata	21,96	1,562	1,3	0,262	20,398	14,583	15,78	5,815
50134	Langa del Castillo	29,294	6,675	6,675	0	22,619	18,388	22,424	4,231
50135	Layana	4,507	2,065	2,065	0	2,442	1,929	3,257	0,513
50136	Lécera	93,944	18,293	16,477	1,816	75,651	47,558	59,78	28,093
50137	Leciñena	134,077	25,121	24,33	0,791	108,956	74,691	97,77	34,265
50138	Lechón	10,801	1,429	1,394	0,035	9,372	6,247	7,628	3,125
50139	Letux	43,75	5,494	5,372	0,122	38,256	21,152	28,738	17,104
50140	Litago	12,328	3	3	0	9,328	4,859	5,991	4,469
50141	Lituénigo	13,368	0,994	0	0,994	12,374	6,16	6,349	6,214
50142	Lobera de Onsella	2,923	0,793	0,789	0,004	2,13	1,824	2,665	0,306
50143	Longares	143,803	19,477	3,503	15,974	124,326	76,169	82,296	48,157
50144	Longás	2,115	0,043	0,043	0	2,072	1,572	1,615	0,5
50146	Lucena de Jalón	81,619	61,292	15,597	45,695	20,327	10,764	16,205	9,563
50147	Luceni	47,158	15,179	9,4	5,779	31,979	21,891	28,557	10,088
50148	Luesia	36,53	5,968	5,838	0,13	30,562	24,233	25,781	6,329
50149	Luesma	10,279	3,126	3,004	0,122	7,153	4,278	5,282	2,875
50150	Lumpiaque	70,003	11,733	4,54	7,193	58,27	34,585	39,456	23,685
50151	Luna	116,82	29,624	27,7	1,924	87,196	64,607	88,65	22,589
50152	Maella	365,034	65,225	25,697	39,528	299,809	172,801	190,77	127,008
50153	Magallón	156,663	32,929	28,426	4,503	123,734	69,601	84,791	54,133
50154	Mainar	19,089	5,282	5,151	0,131	13,807	10,115	13,387	3,692
50155	Malanquilla	11,801	2,072	1,692	0,38	9,729	6,923	7,648	2,806
50156	Maleján	2,018	0,394	0,394	0	1,624	0,135	1,639	1,489
50157	Malón	34,1	7,605	7,045	0,56	26,495	13,165	15,702	13,33
50159	Maluenda	74,437	10,538	4,146	6,392	63,899	36,098	37,776	27,801
50160	Mallén	140,74	44,517	41,12	3,397	96,223	68,518	78,516	27,705
50161	Manchones	16,572	5,934	5,506	0,428	10,638	6,237	8,386	4,401
50162	Mara	37,131	2,827	0,375	2,452	34,304	22,456	22,511	11,848
50163	María de Huerva	31,12	13,379	11,187	2,192	17,741	14,366	18,299	3,375
50164	Mediana de Aragón	55,302	10,78	10,68	0,1	44,522	34,606	38,447	9,916
50165	Mequinenza	452,371	240,051	159,754	80,297	212,32	112,986	125,806	99,334
50166	Mesones de Isuela	58,429	2,167	2,167	0	56,262	36,758	38,782	19,504
50167	Mezalocha	27,638	3,046	2,625	0,421	24,592	14,853	18,33	9,739
50168	Mianos	7,415	0,086	0,043	0,043	7,329	4,954	4,993	2,375
50169	Miedes de Aragón	92,997	6,148	2,527	3,621	86,849	59,77	61,256	27,079
50170	Monegrillo	71,861	25,965	25,683	0,282	45,896	36,804	47,316	9,092
50171	Moneva	33,949	10,471	9,117	1,354	23,478	16,877	25,066	6,601
50172	Monreal de Ariza	43,746	17,163	9,117	8,046	26,583	22,698	27,696	3,885
50173	Monterde	18,346	3,216	1,438	1,778	15,13	10,251	11,064	4,879
50174	Montón	20,356	3,888	0,764	3,124	16,468	8,83	10,053	7,638
50175	Morata de Jalón	97,576	6,746	3,583	3,163	90,83	44,248	46,711	46,582
50176	Morata de Jiloca	51,452	9,785	4,673	5,112	41,667	23,634	24,942	18,033
50177	Morés	22,912	3,418	2,577	0,841	19,494	9,519	12,096	9,975
50178	Moros	59,96	5,28	2,004	3,276	54,68	35,922	38,426	18,758
50179	Moyuela	36,357	7,478	7,478	0	28,879	22,293	25,951	6,586
50180	Mozota	7,801	0	0	0	7,801	5,762	5,797	2,039
50181	Muel	56,687	9,768	8,482	1,286	46,919	28,52	34,886	18,399
50182	Muela (La)	85,594	18,416	15,473	2,943	67,178	37,745	52,205	29,433
50183	Munébrega	65,994	10,554	8,423	2,131	55,44	30,401	33,456	25,039
50184	Murero	19,587	3,296	0,837	2,459	16,291	10,785	10,999	5,506
50185	Murillo de Gállego	20,695	3,435	3,388	0,047	17,26	11,156	11,476	6,104
50186	Navardún	11,242	1,107	0,596	0,511	10,135	6,798	8,473	3,337
50187	Nigüella	18,451	0,285	0,285	0	18,166	8,291	9,576	9,875
50188	Nombrevilla	13,451	3,877	0,877	3	9,574	6,042	6,892	3,532
50189	Nonaspe	140,376	19,09	11,1	7,99	121,286	64,75	76,342	56,536
50190	Novallas	47,627	5,74	4,653	1,087	41,887	21,915	27,394	19,972
50191	Novillas	97,693	19,423	15,972	3,451	78,27	53,099	67,283	25,171
50192	Nuévalos	8,88	2,356	2,313	0,043	6,524	4,649	6,087	1,875
50193	Nuez de Ebro	14,769	4,91	4,91	0	9,859	6,509	9,625	3,35
50194	Olvés	43,054	4,139	0,131	4,008	38,915	24,545	24,764	14,37
50195	Orcajo	9,233	0	0	0	9,233	5,797	5,854	3,436
50196	Orera	24,667	0,086	0,043	0,043	24,581	14,597	15,68	9,984
50197	Orés	21,358	5,892	5,503	0,389	15,466	7,066	12,003	8,4
50198	Oseja	6,67	0	0	0	6,67	3,92	3,92	2,75
50199	Osera de Ebro	55,332	39,564	9,356	30,208	15,768	11,384	13,318	4,384
50200	Paniza	138,566	17,992	4,671	13,321	120,574	69,009	75,711	51,565
50201	Paracuellos de Jiloca	38,01	5,82	2,13	3,69	32,19	19,913	20,875	12,277
50202	Paracuellos de la Ribera	30,174	3,156	1,881	1,275	27,018	13,398	15,758	13,62
50203	Pastriz	22,977	5,916	5,916	0	17,061	12,305	13,148	4,756
50204	Pedrola	77,956	23,817	21,842	1,975	54,139	30,71	47,672	23,429
50205	Pedrosas (Las)	14,631	3,574	3,574	0	11,057	8,169	10,752	2,888
50206	Perdiguera	59,62	15,975	14,377	1,598	43,645	28,237	38,261	15,408
50207	Piedratajada	14,604	2,734	0,701	2,033	11,87	9,495	10,196	2,375
50208	Pina de Ebro	114,032	40,554	39,476	1,078	73,478	54,021	78,049	19,457
50209	Pinseque	34,119	8,043	7,86	0,183	26,076	18,454	22,924	7,622
50210	Pintanos (Los)	12,993	2,863	2,697	0,166	10,13	6,755	8,198	3,375
50211	Plasencia de Jalón	54,423	26,42	23,151	3,269	28,003	18,128	21,654	9,875
50212	Pleitas	6,605	0	0	0	6,605	3,937	3,976	2,668
50213	Plenas	23,952	0,38	0,004	0,376	23,572	13,08	13,904	10,492
50214	Pomer	1,258	0,004	0,004	0	1,254	1,004	1,008	0,25
50215	Pozuel de Ariza	6,129	1,125	1,125	0	5,004	2,597	3,254	2,407
50216	Pozuelo de Aragón	57,733	14,542	9,655	4,887	43,191	26,203	31,962	16,988
50217	Pradilla de Ebro	40,001	10,524	9,84	0,684	29,477	19,92	25,877	9,557
50218	Puebla de Albortón	49,387	10,456	6,577	3,879	38,931	27,186	32,969	11,745
50219	Puebla de Alfindén (La)	25,908	9,616	9,595	0,021	16,292	10,822	17,505	5,47
50220	Puendeluna	2,745	0,122	0	0,122	2,623	1,705	1,74	0,918
50221	Purujosa	2,418	0,004	0,004	0	2,414	2,039	2,043	0,375
50222	Quinto	163,038	80,931	33,268	47,663	82,107	61,164	91,569	20,943
50223	Remolinos	44,083	14,614	12,86	1,754	29,469	22,051	28,328	7,418
50224	Retascón	24,171	4,015	4,002	0,013	20,156	13,919	15,607	6,237
50225	Ricla	581,18	390,726	182,868	207,858	190,454	100,532	138,358	89,922
50227	Romanos	21,112	3,099	3,099	0	18,013	13,911	15,483	4,102
50228	Rueda de Jalón	104,415	28,82	5,32	23,5	75,595	46,43	50,845	29,165
50229	Ruesca	21,319	1,253	0,854	0,399	20,066	13,316	14,166	6,75
50230	Sádaba	135,113	44,415	43,382	1,033	90,698	73,242	105,236	17,456
50231	Salillas de Jalón	4,209	0,06	0	0,06	4,149	3,044	3,114	1,105
50232	Salvatierra de Esca	10,204	4,954	4,928	0,026	5,25	4,375	6,549	0,875
50233	Samper del Salz	3,475	1,279	1,004	0,275	2,196	1,446	2,45	0,75
50234	San Martín de la Virgen de Moncayo	15,525	4	4	0	11,525	6,633	9,422	4,892
50235	San Mateo de Gállego	72,132	19,292	16,548	2,744	52,84	36,265	46,678	16,575
