Año	Sexo	Edad	Residencia CCAA código	Residencia CCAA nombre	Personas	Porcentaje
2014	Hombres	91	02	Aragón	-1049	-0,00390151678996737
2014	Mujeres	91	02	Aragón	2282	0,00848737970896619
2015	Hombres	91	02	Aragón	-1119	-0,00416186586079455
2015	Mujeres	91	02	Aragón	2355	0,00875888659711454
2016	Hombres	91	02	Aragón	-1181	-0,00439246075209863
2016	Mujeres	91	02	Aragón	2464	0,00916428729311687
2017	Hombres	91	02	Aragón	-1198	-0,00445568838358523
2017	Mujeres	91	02	Aragón	2348	0,00873285169003182
2018	Hombres	91	02	Aragón	-1194	-0,00444081129382368
2018	Mujeres	91	02	Aragón	2519	0,00936884727733822
1998	Hombres	90	02	Aragón	-676	-0,00251422816970252
1998	Mujeres	90	02	Aragón	1282	0,00476810726857785
1999	Hombres	90	02	Aragón	-743	-0,00276341942320854
1999	Mujeres	90	02	Aragón	1397	0,00519582359922251
2000	Hombres	90	02	Aragón	-679	-0,00252538598702368
2000	Mujeres	90	02	Aragón	1471	0,00547104975981125
2001	Hombres	90	02	Aragón	-742	-0,00275970015076815
2001	Mujeres	90	02	Aragón	1668	0,00620374643056775
2002	Hombres	90	02	Aragón	-746	-0,0027745772405297
2002	Mujeres	90	02	Aragón	1619	0,00602150208098872
2003	Hombres	90	02	Aragón	-859	-0,00319485502629358
2003	Mujeres	90	02	Aragón	1743	0,00648269186359687
2004	Hombres	90	02	Aragón	-764	-0,00284152414445669
2004	Mujeres	90	02	Aragón	1741	0,0064752533187161
2005	Hombres	90	02	Aragón	-805	-0,00299401431451261
2005	Mujeres	90	02	Aragón	1886	0,00701454782257241
2006	Hombres	90	02	Aragón	-845	-0,00314278521212815
2006	Mujeres	90	02	Aragón	1791	0,00666121694073551
2007	Hombres	90	02	Aragón	-780	-0,0029010325035029
2007	Mujeres	90	02	Aragón	1767	0,00657195440216619
2008	Hombres	90	02	Aragón	-801	-0,00297913722475106
2008	Mujeres	90	02	Aragón	1812	0,00673932166198367
2009	Hombres	90	02	Aragón	-820	-0,00304980340111844
2009	Mujeres	90	02	Aragón	1978	0,00735672088708813
2010	Hombres	90	02	Aragón	-875	-0,0032543633853398
2010	Mujeres	90	02	Aragón	2019	0,00750921105714406
2011	Hombres	90	02	Aragón	-1136	-0,00422509349228115
2011	Mujeres	90	02	Aragón	2402	0,00893369240181279
2012	Hombres	90	02	Aragón	-1244	-0,00462677491584309
2012	Mujeres	90	02	Aragón	2483	0,00923495346948424
2013	Hombres	90	02	Aragón	-1274	-0,00473835308905474
2013	Mujeres	90	02	Aragón	2652	0,00986351051190987
2014	Hombres	90	02	Aragón	-1360	-0,00505821051892814
2014	Mujeres	90	02	Aragón	2728	0,0101461752173794
2015	Hombres	90	02	Aragón	-1432	-0,0053259981346361
2015	Mujeres	90	02	Aragón	2841	0,0105664530031433
2016	Hombres	90	02	Aragón	-1447	-0,00538178722124193
2016	Mujeres	90	02	Aragón	2682	0,00997508868512152
2017	Hombres	90	02	Aragón	-1435	-0,00533715595195727
2017	Mujeres	90	02	Aragón	2893	0,0107598551700435
2018	Hombres	90	02	Aragón	-1528	-0,00568304828891338
2018	Mujeres	90	02	Aragón	2897	0,010774732259805
1998	Hombres	89	02	Aragón	-883	-0,0032841175648629
1998	Mujeres	89	02	Aragón	1599	0,00594711663218095
1999	Hombres	89	02	Aragón	-810	-0,00301261067671455
1999	Mujeres	89	02	Aragón	1696	0,00630788605889862
2000	Hombres	89	02	Aragón	-871	-0,00323948629557824
2000	Mujeres	89	02	Aragón	1916	0,00712612599578406
2001	Hombres	89	02	Aragón	-909	-0,003380818648313
2001	Mujeres	89	02	Aragón	1891	0,00703314418477435
2002	Hombres	89	02	Aragón	-1015	-0,00377506152699416
2002	Mujeres	89	02	Aragón	2061	0,00766542049964036
2003	Hombres	89	02	Aragón	-932	-0,00346636191444193
2003	Mujeres	89	02	Aragón	2031	0,00755384232642871
2004	Hombres	89	02	Aragón	-972	-0,00361513281205746
2004	Mujeres	89	02	Aragón	2149	0,00799271647439454
2005	Hombres	89	02	Aragón	-1005	-0,00373786880259028
2005	Mujeres	89	02	Aragón	2092	0,0077807179452924
2006	Hombres	89	02	Aragón	-924	-0,00343660773491882
2006	Mujeres	89	02	Aragón	2056	0,00764682413743842
2007	Hombres	89	02	Aragón	-964	-0,00358537863253436
2007	Mujeres	89	02	Aragón	2081	0,00773980594844813
2008	Hombres	89	02	Aragón	-1006	-0,00374158807503067
2008	Mujeres	89	02	Aragón	2287	0,00850597607116813
2009	Hombres	89	02	Aragón	-1033	-0,00384200843092115
2009	Mujeres	89	02	Aragón	2293	0,00852829170581046
2010	Hombres	89	02	Aragón	-1333	-0,00495779016303765
2010	Mujeres	89	02	Aragón	2738	0,0101833679417833
2011	Hombres	89	02	Aragón	-1503	-0,00559006647790367
2011	Mujeres	89	02	Aragón	2815	0,0104697519196932
2012	Hombres	89	02	Aragón	-1545	-0,00574627592039998
2012	Mujeres	89	02	Aragón	3027	0,0112582376770555
2013	Hombres	89	02	Aragón	-1645	-0,00611820316443882
2013	Mujeres	89	02	Aragón	3087	0,0114813940234788
2014	Hombres	89	02	Aragón	-1678	-0,00624093915497163
2014	Mujeres	89	02	Aragón	3188	0,011857040539958
2015	Hombres	89	02	Aragón	-1730	-0,00643434132187183
2015	Mujeres	89	02	Aragón	3036	0,011291711129019
2016	Hombres	89	02	Aragón	-1682	-0,00625581624473319
2016	Mujeres	89	02	Aragón	3242	0,012057881251739
2017	Hombres	89	02	Aragón	-1802	-0,00670212893757978
2017	Mujeres	89	02	Aragón	3272	0,0121694594249506
2018	Hombres	89	02	Aragón	-1781	-0,00662402421633163
2018	Mujeres	89	02	Aragón	3538	0,0131587858940939
1998	Hombres	88	02	Aragón	-965	-0,00358909790497475
1998	Mujeres	88	02	Aragón	1908	0,00709637181626095
1999	Hombres	88	02	Aragón	-1013	-0,00376762298211339
1999	Mujeres	88	02	Aragón	2124	0,00789973466338483
2000	Hombres	88	02	Aragón	-1068	-0,00397218296633474
2000	Mujeres	88	02	Aragón	2143	0,00797040083975221
2001	Hombres	88	02	Aragón	-1193	-0,00443709202138329
2001	Mujeres	88	02	Aragón	2374	0,00882955277348191
2002	Hombres	88	02	Aragón	-1120	-0,00416558513323494
2002	Mujeres	88	02	Aragón	2348	0,00873285169003182
2003	Hombres	88	02	Aragón	-1180	-0,00438874147965824
2003	Mujeres	88	02	Aragón	2419	0,00899692003329939
2004	Hombres	88	02	Aragón	-1189	-0,00442221493162173
2004	Mujeres	88	02	Aragón	2373	0,00882583350104153
2005	Hombres	88	02	Aragón	-1105	-0,00410979604662911
2005	Mujeres	88	02	Aragón	2345	0,00872169387271065
2006	Hombres	88	02	Aragón	-1150	-0,00427716330644659
2006	Mujeres	88	02	Aragón	2363	0,00878864077663764
2007	Hombres	88	02	Aragón	-1205	-0,00448172329066795
2007	Mujeres	88	02	Aragón	2602	0,00967754688989045
2008	Hombres	88	02	Aragón	-1244	-0,00462677491584309
2008	Mujeres	88	02	Aragón	2597	0,00965895052768851
2009	Hombres	88	02	Aragón	-1594	-0,00592852026997901
2009	Mujeres	88	02	Aragón	3117	0,0115929721966904
2010	Hombres	88	02	Aragón	-1760	-0,00654591949508348
2010	Mujeres	88	02	Aragón	3167	0,0117789358187099
2011	Hombres	88	02	Aragón	-1788	-0,00665005912341435
2011	Mujeres	88	02	Aragón	3403	0,0126566841146415
2012	Hombres	88	02	Aragón	-1897	-0,00705545981941668
2012	Mujeres	88	02	Aragón	3453	0,0128426477366609
2013	Hombres	88	02	Aragón	-1933	-0,00718935362727066
2013	Mujeres	88	02	Aragón	3546	0,013188540073617
2014	Hombres	88	02	Aragón	-1965	-0,00730837034536308
2014	Mujeres	88	02	Aragón	3367	0,0125227903067875
2015	Hombres	88	02	Aragón	-1961	-0,00729349325560153
2015	Mujeres	88	02	Aragón	3620	0,0134637662342058
2016	Hombres	88	02	Aragón	-2092	-0,0077807179452924
2016	Mujeres	88	02	Aragón	3595	0,0133707844231961
2017	Hombres	88	02	Aragón	-2087	-0,00776212158309046
2017	Mujeres	88	02	Aragón	3923	0,0145907057836435
2018	Hombres	88	02	Aragón	-2279	-0,00847622189164502
2018	Mujeres	88	02	Aragón	3940	0,0146539334151301
1998	Hombres	87	02	Aragón	-1217	-0,00452635455995261
1998	Mujeres	87	02	Aragón	2378	0,00884442986324347
1999	Hombres	87	02	Aragón	-1228	-0,00456726655679688
1999	Mujeres	87	02	Aragón	2377	0,00884071059080308
2000	Hombres	87	02	Aragón	-1372	-0,0051028417882128
2000	Mujeres	87	02	Aragón	2625	0,00976309015601939
