Municipio código	Municipio nombre	Plazas garaje	Número de edificios
44012	Alcalá de la Selva	01	134
44012	Alcalá de la Selva	02	13
44012	Alcalá de la Selva	03 a 05	4
44012	Alcalá de la Selva	06 a 10	1
44013	Alcañiz	00	1439
44013	Alcañiz	01	591
44013	Alcañiz	02	189
44013	Alcañiz	03 a 05	53
44013	Alcañiz	06 a 10	98
44013	Alcañiz	11 a 20	64
44013	Alcañiz	21 a 50	13
44013	Alcañiz	50 o más	1
44014	Alcorisa	00	570
44014	Alcorisa	01	379
44014	Alcorisa	02	148
44014	Alcorisa	03 a 05	39
44014	Alcorisa	06 a 10	20
44014	Alcorisa	11 a 20	4
44016	Alfambra	00	217
44016	Alfambra	01	109
44016	Alfambra	02	45
44016	Alfambra	03 a 05	36
44016	Alfambra	06 a 10	3
44017	Aliaga	00	417
44017	Aliaga	01	52
44017	Aliaga	02	4
44017	Aliaga	03 a 05	1
44018	Almohaja	00	48
44018	Almohaja	01	1
44018	Almohaja	02	1
44019	Alobras	00	83
44019	Alobras	01	19
44019	Alobras	02	4
44020	Alpeñés	00	17
44020	Alpeñés	01	13
44020	Alpeñés	02	6
44020	Alpeñés	03 a 05	1
44021	Allepuz	00	136
44021	Allepuz	01	39
44021	Allepuz	02	1
44022	Alloza	00	369
44022	Alloza	01	96
44022	Alloza	02	54
44022	Alloza	03 a 05	26
44022	Alloza	06 a 10	5
44022	Alloza	11 a 20	2
44023	Allueva	00	58
44024	Anadón	00	53
44024	Anadón	02	1
44024	Anadón	03 a 05	2
44025	Andorra	00	1120
44025	Andorra	01	599
44025	Andorra	02	259
44025	Andorra	03 a 05	54
44025	Andorra	06 a 10	15
44025	Andorra	11 a 20	1
44025	Andorra	21 a 50	1
44026	Arcos de las Salinas	00	186
44026	Arcos de las Salinas	01	26
44026	Arcos de las Salinas	02	8
44026	Arcos de las Salinas	03 a 05	1
44027	Arens de Lledó	00	73
44027	Arens de Lledó	01	64
44027	Arens de Lledó	02	2
44028	Argente	00	96
44028	Argente	01	39
44028	Argente	02	20
44028	Argente	03 a 05	3
44028	Argente	06 a 10	3
44029	Ariño	00	388
44029	Ariño	01	143
44029	Ariño	02	11
44029	Ariño	03 a 05	1
44031	Azaila	00	92
44031	Azaila	01	48
44031	Azaila	02	23
44032	Bádenas	00	27
44032	Bádenas	01	13
44033	Báguena	00	336
44033	Báguena	01	32
44033	Báguena	02	24
44033	Báguena	03 a 05	7
44034	Bañón	00	136
44034	Bañón	01	18
44034	Bañón	02	7
44035	Barrachina	00	138
44035	Barrachina	01	29
44035	Barrachina	02	11
44035	Barrachina	03 a 05	6
44036	Bea	00	25
44036	Bea	01	10
44036	Bea	02	7
44036	Bea	03 a 05	1
44037	Beceite	00	368
44037	Beceite	01	55
44037	Beceite	02	27
44037	Beceite	03 a 05	6
44038	Belmonte de San José	00	94
44038	Belmonte de San José	01	21
44038	Belmonte de San José	02	9
44038	Belmonte de San José	03 a 05	1
44039	Bello	00	213
44039	Bello	01	98
44039	Bello	02	20
44039	Bello	03 a 05	8
44040	Berge	00	140
44040	Berge	01	25
44040	Berge	02	9
44040	Berge	03 a 05	3
44041	Bezas	00	86
44041	Bezas	01	8
44041	Bezas	02	3
44042	Blancas	00	198
44042	Blancas	01	32
44042	Blancas	02	11
44042	Blancas	03 a 05	1
44043	Blesa	00	246
44043	Blesa	01	25
44043	Blesa	02	4
44044	Bordón	00	127
44044	Bordón	01	14
44044	Bordón	02	8
44044	Bordón	03 a 05	5
44045	Bronchales	00	323
44045	Bronchales	01	49
44045	Bronchales	02	80
44045	Bronchales	03 a 05	48
44045	Bronchales	06 a 10	2
44046	Bueña	00	58
44046	Bueña	01	15
44046	Bueña	02	4
44046	Bueña	03 a 05	2
44047	Burbáguena	00	182
44047	Burbáguena	01	95
44047	Burbáguena	02	6
44048	Cabra de Mora	00	74
44048	Cabra de Mora	01	11
44048	Cabra de Mora	02	5
44048	Cabra de Mora	06 a 10	1
44049	Calaceite	00	401
44049	Calaceite	01	151
44049	Calaceite	02	101
44049	Calaceite	03 a 05	56
44049	Calaceite	06 a 10	4
44050	Calamocha	00	1379
44050	Calamocha	01	510
44050	Calamocha	02	173
44050	Calamocha	03 a 05	30
44050	Calamocha	06 a 10	25
44050	Calamocha	11 a 20	13
44051	Calanda	00	569
44051	Calanda	01	300
44051	Calanda	02	245
44051	Calanda	03 a 05	125
44051	Calanda	06 a 10	11
44051	Calanda	11 a 20	5
44052	Calomarde	00	72
44052	Calomarde	01	25
44052	Calomarde	02	5
44053	Camañas	00	62
44053	Camañas	01	22
44053	Camañas	02	6
44053	Camañas	03 a 05	7
44054	Camarena de la Sierra	00	268
44054	Camarena de la Sierra	01	22
44054	Camarena de la Sierra	02	2
44054	Camarena de la Sierra	03 a 05	1
44054	Camarena de la Sierra	06 a 10	1
44054	Camarena de la Sierra	21 a 50	1
44055	Camarillas	00	172
44056	Caminreal	00	284
44056	Caminreal	01	111
44056	Caminreal	02	41
44056	Caminreal	03 a 05	17
44056	Caminreal	06 a 10	3
44059	Cantavieja	00	185
44059	Cantavieja	01	81
44059	Cantavieja	02	36
44059	Cantavieja	03 a 05	41
44059	Cantavieja	06 a 10	9
44060	Cañada de Benatanduz	00	35
44060	Cañada de Benatanduz	01	17
44060	Cañada de Benatanduz	02	12
44060	Cañada de Benatanduz	03 a 05	9
44060	Cañada de Benatanduz	06 a 10	2
44060	Cañada de Benatanduz	11 a 20	1
44061	Cañada de Verich (La)	00	66
44061	Cañada de Verich (La)	01	11
44061	Cañada de Verich (La)	02	1
44062	Cañada Vellida	00	39
44062	Cañada Vellida	01	3
44062	Cañada Vellida	02	6
44062	Cañada Vellida	03 a 05	7
44063	Cañizar del Olivar	00	103
44063	Cañizar del Olivar	01	14
44063	Cañizar del Olivar	02	5
44063	Cañizar del Olivar	03 a 05	3
44064	Cascante del Río	00	158
44064	Cascante del Río	01	14
44064	Cascante del Río	02	15
44064	Cascante del Río	03 a 05	4
44065	Castejón de Tornos	00	105
44065	Castejón de Tornos	01	29
44066	Castel de Cabra	00	108
44066	Castel de Cabra	01	14
44066	Castel de Cabra	02	15
44066	Castel de Cabra	03 a 05	13
44066	Castel de Cabra	06 a 10	1
44067	Castelnou	00	94
44067	Castelnou	01	31
44067	Castelnou	02	2
44067	Castelnou	03 a 05	2
44068	Castelserás	00	280
44068	Castelserás	01	161
44068	Castelserás	02	59
44068	Castelserás	06 a 10	1
44070	Castellar (El)	00	101
44071	Castellote	00	577
44071	Castellote	01	104
44071	Castellote	02	53
44071	Castellote	03 a 05	32
44071	Castellote	06 a 10	3
44074	Cedrillas	00	215
44074	Cedrillas	01	50
44074	Cedrillas	02	27
44074	Cedrillas	03 a 05	14
44074	Cedrillas	06 a 10	2
44074	Cedrillas	11 a 20	1
44075	Celadas	00	97
44075	Celadas	01	101
44075	Celadas	02	1
44075	Celadas	03 a 05	1
44076	Cella	00	683
44076	Cella	01	187
44076	Cella	02	228
44076	Cella	03 a 05	28
44076	Cella	06 a 10	1
44076	Cella	11 a 20	3
44077	Cerollera (La)	00	63
44077	Cerollera (La)	01	11
44077	Cerollera (La)	02	4
44080	Codoñera (La)	00	117
44080	Codoñera (La)	01	76
44080	Codoñera (La)	02	70
44080	Codoñera (La)	03 a 05	15
44082	Corbalán	00	72
44082	Corbalán	01	21
44082	Corbalán	02	2
44082	Corbalán	03 a 05	1
44084	Cortes de Aragón	00	118
44084	Cortes de Aragón	01	5
44084	Cortes de Aragón	02	3
44084	Cortes de Aragón	03 a 05	5
44085	Cosa	00	80
44085	Cosa	01	10
44085	Cosa	02	7
44086	Cretas	00	207
44086	Cretas	01	122
44086	Cretas	02	2
44087	Crivillén	00	162
44087	Crivillén	01	7
44087	Crivillén	02	3
44087	Crivillén	03 a 05	2
44087	Crivillén	06 a 10	1
44088	Cuba (La)	00	54
44088	Cuba (La)	01	11
44088	Cuba (La)	02	9
44089	Cubla	00	77
44089	Cubla	01	26
44089	Cubla	02	4
44090	Cucalón	00	108
44090	Cucalón	01	33
44090	Cucalón	02	2
44092	Cuervo (El)	00	117
44092	Cuervo (El)	01	10
44092	Cuervo (El)	02	6
44092	Cuervo (El)	03 a 05	2
44093	Cuevas de Almudén	00	35
44093	Cuevas de Almudén	01	9
44093	Cuevas de Almudén	02	14
44094	Cuevas Labradas	00	51
44094	Cuevas Labradas	01	31
44094	Cuevas Labradas	02	11
44094	Cuevas Labradas	03 a 05	5
44094	Cuevas Labradas	06 a 10	1
44096	Ejulve	00	173
44096	Ejulve	01	54
44096	Ejulve	02	12
44096	Ejulve	03 a 05	8
44097	Escorihuela	00	123
44097	Escorihuela	01	44
44097	Escorihuela	02	11
44097	Escorihuela	03 a 05	8
44099	Escucha	00	283
44099	Escucha	01	36
44099	Escucha	02	6
44099	Escucha	03 a 05	2
44099	Escucha	06 a 10	5
44099	Escucha	11 a 20	1
44100	Estercuel	00	144
44100	Estercuel	01	59
44100	Estercuel	02	21
44100	Estercuel	03 a 05	3
44101	Ferreruela de Huerva	00	60
44101	Ferreruela de Huerva	01	8
44101	Ferreruela de Huerva	02	4
44102	Fonfría	00	42
44102	Fonfría	01	1
44102	Fonfría	03 a 05	1
44103	Formiche Alto	00	196
44105	Fórnoles	00	121
44105	Fórnoles	01	28
44105	Fórnoles	02	1
44105	Fórnoles	03 a 05	2
44106	Fortanete	00	125
44106	Fortanete	01	47
44106	Fortanete	02	42
44106	Fortanete	03 a 05	16
44107	Foz-Calanda	00	101
44107	Foz-Calanda	01	70
44107	Foz-Calanda	02	17
44108	Fresneda (La)	00	299
44108	Fresneda (La)	01	127
44108	Fresneda (La)	02	49
44108	Fresneda (La)	03 a 05	7
44109	Frías de Albarracín	00	112
44109	Frías de Albarracín	01	40
44109	Frías de Albarracín	02	6
44110	Fuenferrada	00	86
44110	Fuenferrada	01	2
44110	Fuenferrada	02	3
44110	Fuenferrada	03 a 05	2
44111	Fuentes Calientes	00	66
44111	Fuentes Calientes	01	24
44111	Fuentes Calientes	02	7
44111	Fuentes Calientes	03 a 05	1
44112	Fuentes Claras	00	244
44112	Fuentes Claras	01	83
44112	Fuentes Claras	02	55
44112	Fuentes Claras	03 a 05	12
44113	Fuentes de Rubielos	00	132
44113	Fuentes de Rubielos	01	1
44113	Fuentes de Rubielos	02	1
44113	Fuentes de Rubielos	03 a 05	1
44114	Fuentespalda	00	129
44114	Fuentespalda	01	51
44114	Fuentespalda	02	27
44114	Fuentespalda	03 a 05	16
44114	Fuentespalda	06 a 10	1
44115	Galve	00	52
44115	Galve	01	7
44115	Galve	02	13
44115	Galve	03 a 05	10
44115	Galve	06 a 10	2
44116	Gargallo	00	106
44116	Gargallo	01	15
44116	Gargallo	02	11
44116	Gargallo	03 a 05	3
44117	Gea de Albarracín	00	236
44117	Gea de Albarracín	01	59
44117	Gea de Albarracín	02	36
44117	Gea de Albarracín	03 a 05	13
44117	Gea de Albarracín	06 a 10	4
44118	Ginebrosa (La)	00	154
44118	Ginebrosa (La)	01	70
44118	Ginebrosa (La)	02	12
44118	Ginebrosa (La)	03 a 05	7
44118	Ginebrosa (La)	06 a 10	1
44119	Griegos	00	95
44119	Griegos	01	45
44119	Griegos	02	6
44120	Guadalaviar	00	100
44120	Guadalaviar	01	17
44120	Guadalaviar	02	45
44120	Guadalaviar	03 a 05	6
44120	Guadalaviar	06 a 10	1
44121	Gúdar	00	117
44121	Gúdar	01	23
44121	Gúdar	02	2
44121	Gúdar	03 a 05	1
44122	Híjar	00	558
44122	Híjar	01	248
44122	Híjar	02	108
44122	Híjar	03 a 05	28
44122	Híjar	06 a 10	13
44122	Híjar	11 a 20	1
44123	Hinojosa de Jarque	00	73
44123	Hinojosa de Jarque	01	18
44123	Hinojosa de Jarque	02	13
44124	Hoz de la Vieja (La)	00	227
44124	Hoz de la Vieja (La)	01	20
44124	Hoz de la Vieja (La)	02	5
44124	Hoz de la Vieja (La)	03 a 05	4
44125	Huesa del Común	00	217
44125	Huesa del Común	01	5
44126	Iglesuela del Cid (La)	00	268
44126	Iglesuela del Cid (La)	01	21
44126	Iglesuela del Cid (La)	02	20
44126	Iglesuela del Cid (La)	03 a 05	4
44127	Jabaloyas	00	108
44127	Jabaloyas	01	29
44127	Jabaloyas	02	3
44127	Jabaloyas	03 a 05	2
44128	Jarque de la Val	00	50
44128	Jarque de la Val	01	11
44128	Jarque de la Val	02	14
44129	Jatiel	00	58
44129	Jatiel	01	20
44129	Jatiel	02	1
44130	Jorcas	00	86
44131	Josa	00	112
44131	Josa	01	12
44131	Josa	02	7
44131	Josa	03 a 05	5
44132	Lagueruela	00	58
44132	Lagueruela	01	17
44132	Lagueruela	02	2
44133	Lanzuela	00	31
44133	Lanzuela	01	2
44135	Libros	00	143
44135	Libros	01	28
44135	Libros	02	1
44135	Libros	03 a 05	3
44136	Lidón	00	46
44136	Lidón	01	19
44136	Lidón	02	5
44136	Lidón	03 a 05	2
44136	Lidón	06 a 10	1
44137	Linares de Mora	00	266
44137	Linares de Mora	01	41
44137	Linares de Mora	02	5
44137	Linares de Mora	03 a 05	2
44138	Loscos	00	171
44138	Loscos	01	18
44138	Loscos	02	9
44138	Loscos	03 a 05	2
44141	Lledó	00	77
44141	Lledó	01	28
44141	Lledó	02	1
44142	Maicas	00	75
44142	Maicas	01	3
44142	Maicas	02	3
44143	Manzanera	00	652
44143	Manzanera	01	98
44143	Manzanera	02	17
44143	Manzanera	03 a 05	7
44144	Martín del Río	00	170
44144	Martín del Río	01	48
44144	Martín del Río	02	28
44144	Martín del Río	03 a 05	8
44144	Martín del Río	06 a 10	4
44145	Mas de las Matas	00	350
44145	Mas de las Matas	01	301
44145	Mas de las Matas	02	48
44145	Mas de las Matas	03 a 05	11
44146	Mata de los Olmos (La)	00	102
44146	Mata de los Olmos (La)	01	28
44146	Mata de los Olmos (La)	02	35
44146	Mata de los Olmos (La)	03 a 05	7
44147	Mazaleón	00	220
44147	Mazaleón	01	153
44147	Mazaleón	02	13
44147	Mazaleón	03 a 05	2
44148	Mezquita de Jarque	00	31
44148	Mezquita de Jarque	01	27
44148	Mezquita de Jarque	02	20
44148	Mezquita de Jarque	03 a 05	5
44149	Mirambel	00	84
44149	Mirambel	01	24
44149	Mirambel	02	5
44149	Mirambel	03 a 05	2
44150	Miravete de la Sierra	00	68
44150	Miravete de la Sierra	01	11
44151	Molinos	00	207
44151	Molinos	01	52
44151	Molinos	02	24
44151	Molinos	03 a 05	5
44152	Monforte de Moyuela	00	93
44152	Monforte de Moyuela	01	27
44152	Monforte de Moyuela	03 a 05	1
44153	Monreal del Campo	00	658
44153	Monreal del Campo	01	257
44153	Monreal del Campo	02	133
44153	Monreal del Campo	03 a 05	41
44153	Monreal del Campo	06 a 10	10
44153	Monreal del Campo	11 a 20	1
44154	Monroyo	00	109
44154	Monroyo	01	74
44154	Monroyo	02	30
44154	Monroyo	03 a 05	3
44155	Montalbán	00	525
44155	Montalbán	01	46
44155	Montalbán	02	63
44155	Montalbán	03 a 05	12
44155	Montalbán	06 a 10	7
44155	Montalbán	11 a 20	2
44155	Montalbán	21 a 50	1
44156	Monteagudo del Castillo	00	101
44157	Monterde de Albarracín	00	88
44157	Monterde de Albarracín	01	43
44157	Monterde de Albarracín	02	18
44157	Monterde de Albarracín	03 a 05	1
44158	Mora de Rubielos	00	617
44158	Mora de Rubielos	01	132
44158	Mora de Rubielos	02	127
44158	Mora de Rubielos	03 a 05	38
44158	Mora de Rubielos	06 a 10	12
44159	Moscardón	00	69
44159	Moscardón	01	13
44159	Moscardón	02	1
44160	Mosqueruela	00	232
44160	Mosqueruela	01	125
44160	Mosqueruela	02	100
44160	Mosqueruela	03 a 05	21
44160	Mosqueruela	06 a 10	1
44160	Mosqueruela	11 a 20	1
44161	Muniesa	00	396
44161	Muniesa	01	71
44161	Muniesa	02	32
44161	Muniesa	03 a 05	6
44163	Noguera de Albarracín	00	97
44163	Noguera de Albarracín	01	46
44163	Noguera de Albarracín	02	3
44163	Noguera de Albarracín	03 a 05	1
44164	Nogueras	00	84
44165	Nogueruelas	00	223
44165	Nogueruelas	01	33
44165	Nogueruelas	02	4
44165	Nogueruelas	03 a 05	1
44167	Obón	00	234
44167	Obón	01	15
44167	Obón	02	1
44168	Odón	00	160
44168	Odón	01	40
44168	Odón	02	18
44168	Odón	03 a 05	11
44169	Ojos Negros	00	306
44169	Ojos Negros	01	102
44169	Ojos Negros	02	66
44169	Ojos Negros	03 a 05	25
44171	Olba	00	427
44171	Olba	01	1
44172	Oliete	00	503
44172	Oliete	01	74
44172	Oliete	02	17
44172	Oliete	03 a 05	5
44173	Olmos (Los)	00	125
44173	Olmos (Los)	01	28
44173	Olmos (Los)	02	10
44173	Olmos (Los)	03 a 05	2
44174	Orihuela del Tremedal	00	319
44174	Orihuela del Tremedal	01	69
44174	Orihuela del Tremedal	02	30
44174	Orihuela del Tremedal	03 a 05	5
44175	Orrios	00	77
44175	Orrios	01	17
44175	Orrios	02	21
44175	Orrios	03 a 05	8
44176	Palomar de Arroyos	00	148
44176	Palomar de Arroyos	01	11
44176	Palomar de Arroyos	02	13
44176	Palomar de Arroyos	03 a 05	5
44176	Palomar de Arroyos	06 a 10	2
44177	Pancrudo	00	155
44177	Pancrudo	01	25
44177	Pancrudo	02	16
44177	Pancrudo	03 a 05	1
44178	Parras de Castellote (Las)	00	161
44178	Parras de Castellote (Las)	01	43
44178	Parras de Castellote (Las)	02	2
44179	Peñarroya de Tastavins	00	288
44179	Peñarroya de Tastavins	01	74
44179	Peñarroya de Tastavins	02	19
44179	Peñarroya de Tastavins	03 a 05	13
44179	Peñarroya de Tastavins	06 a 10	1
44180	Peracense	00	103
44180	Peracense	01	8
44180	Peracense	02	4
44181	Peralejos	00	49
44181	Peralejos	01	12
44181	Peralejos	02	5
44181	Peralejos	03 a 05	5
44181	Peralejos	06 a 10	1
44182	Perales del Alfambra	00	113
44182	Perales del Alfambra	01	24
44182	Perales del Alfambra	02	34
44182	Perales del Alfambra	03 a 05	21
44182	Perales del Alfambra	06 a 10	5
44183	Pitarque	00	126
44183	Pitarque	01	7
44183	Pitarque	02	3
44183	Pitarque	03 a 05	1
44184	Plou	00	74
44184	Plou	01	4
44185	Pobo (El)	00	149
44187	Portellada (La)	00	86
44187	Portellada (La)	01	83
44187	Portellada (La)	02	27
44187	Portellada (La)	03 a 05	5
44189	Pozondón	00	106
44189	Pozondón	01	19
44190	Pozuel del Campo	00	127
44190	Pozuel del Campo	01	22
44190	Pozuel del Campo	02	9
44190	Pozuel del Campo	03 a 05	1
44191	Puebla de Híjar (La)	00	436
44191	Puebla de Híjar (La)	01	268
44191	Puebla de Híjar (La)	02	59
44191	Puebla de Híjar (La)	03 a 05	17
44191	Puebla de Híjar (La)	06 a 10	3
44191	Puebla de Híjar (La)	11 a 20	1
44192	Puebla de Valverde (La)	00	274
44192	Puebla de Valverde (La)	01	85
44192	Puebla de Valverde (La)	02	37
44192	Puebla de Valverde (La)	03 a 05	15
44192	Puebla de Valverde (La)	06 a 10	3
44193	Puertomingalvo	00	155
44193	Puertomingalvo	01	24
44193	Puertomingalvo	02	15
44193	Puertomingalvo	03 a 05	3
44194	Ráfales	00	109
44194	Ráfales	01	61
44194	Ráfales	02	6
44194	Ráfales	03 a 05	1
44195	Rillo	00	73
44195	Rillo	01	34
44195	Rillo	02	4
44195	Rillo	03 a 05	3
44196	Riodeva	00	191
44196	Riodeva	01	11
44197	Ródenas	00	79
44197	Ródenas	01	36
44197	Ródenas	02	1
44198	Royuela	00	106
44198	Royuela	01	45
44198	Royuela	02	6
44199	Rubiales	00	47
44199	Rubiales	01	4
44200	Rubielos de la Cérida	00	77
44200	Rubielos de la Cérida	01	3
44201	Rubielos de Mora	00	596
44201	Rubielos de Mora	01	13
44201	Rubielos de Mora	03 a 05	1
44203	Salcedillo	00	32
44203	Salcedillo	02	1
44204	Saldón	00	89
44204	Saldón	01	3
44205	Samper de Calanda	00	385
44205	Samper de Calanda	01	228
44205	Samper de Calanda	02	52
44205	Samper de Calanda	03 a 05	10
44205	Samper de Calanda	06 a 10	1
44206	San Agustín	00	194
44207	San Martín del Río	00	249
44207	San Martín del Río	01	34
44207	San Martín del Río	02	4
44208	Santa Cruz de Nogueras	00	42
44208	Santa Cruz de Nogueras	01	11
44209	Santa Eulalia	00	579
44209	Santa Eulalia	01	167
44209	Santa Eulalia	02	9
44209	Santa Eulalia	03 a 05	1
44209	Santa Eulalia	06 a 10	1
44209	Santa Eulalia	11 a 20	1
44210	Sarrión	00	478
44210	Sarrión	01	103
44210	Sarrión	02	122
44210	Sarrión	03 a 05	37
44210	Sarrión	06 a 10	4
44210	Sarrión	11 a 20	1
44211	Segura de los Baños	00	86
44211	Segura de los Baños	01	4
44211	Segura de los Baños	02	1
44212	Seno	00	70
44212	Seno	01	11
44212	Seno	02	9
44212	Seno	03 a 05	3
44213	Singra	00	78
44213	Singra	01	11
44213	Singra	02	9
44215	Terriente	00	157
44215	Terriente	01	27
44215	Terriente	02	4
44216	Teruel	00	2643
44216	Teruel	01	915
44216	Teruel	02	863
44216	Teruel	03 a 05	210
44216	Teruel	06 a 10	108
44216	Teruel	11 a 20	80
44216	Teruel	21 a 50	58
44216	Teruel	50 o más	10
44217	Toril y Masegoso	00	87
44217	Toril y Masegoso	01	3
44217	Toril y Masegoso	02	1
44218	Tormón	00	63
44218	Tormón	01	6
44219	Tornos	00	171
44219	Tornos	01	84
44219	Tornos	02	4
44220	Torralba de los Sisones	00	73
44220	Torralba de los Sisones	01	42
44220	Torralba de los Sisones	02	21
44220	Torralba de los Sisones	03 a 05	5
44220	Torralba de los Sisones	06 a 10	1
44221	Torrecilla de Alcañiz	00	131
44221	Torrecilla de Alcañiz	01	145
44222	Torrecilla del Rebollar	00	138
44222	Torrecilla del Rebollar	01	32
44222	Torrecilla del Rebollar	02	28
44222	Torrecilla del Rebollar	03 a 05	10
44223	Torre de Arcas	00	57
44223	Torre de Arcas	01	26
44223	Torre de Arcas	02	6
44224	Torre de las Arcas	00	93
44224	Torre de las Arcas	02	1
44225	Torre del Compte	00	126
44225	Torre del Compte	01	15
44225	Torre del Compte	02	40
44225	Torre del Compte	03 a 05	7
44226	Torrelacárcel	00	216
44226	Torrelacárcel	01	16
44226	Torrelacárcel	02	9
44227	Torre los Negros	00	90
44227	Torre los Negros	01	17
44227	Torre los Negros	02	10
44227	Torre los Negros	03 a 05	3
44227	Torre los Negros	06 a 10	1
44228	Torremocha de Jiloca	00	117
44228	Torremocha de Jiloca	01	4
44228	Torremocha de Jiloca	02	4
44229	Torres de Albarracín	00	85
44229	Torres de Albarracín	01	50
44229	Torres de Albarracín	02	5
44230	Torrevelilla	00	121
44230	Torrevelilla	01	31
44230	Torrevelilla	02	18
44230	Torrevelilla	03 a 05	4
44231	Torrijas	00	151
44231	Torrijas	01	13
44231	Torrijas	02	11
44231	Torrijas	03 a 05	1
44232	Torrijo del Campo	00	187
44232	Torrijo del Campo	01	108
44232	Torrijo del Campo	02	50
44232	Torrijo del Campo	03 a 05	18
44234	Tramacastiel	00	151
44234	Tramacastiel	01	21
44234	Tramacastiel	02	1
44235	Tramacastilla	00	85
44235	Tramacastilla	01	38
44235	Tramacastilla	02	5
44236	Tronchón	00	97
44236	Tronchón	01	26
44236	Tronchón	02	2
44237	Urrea de Gaén	00	278
44237	Urrea de Gaén	01	80
44237	Urrea de Gaén	02	28
44237	Urrea de Gaén	03 a 05	6
44237	Urrea de Gaén	06 a 10	1
44238	Utrillas	00	532
44238	Utrillas	01	124
44238	Utrillas	02	35
44238	Utrillas	03 a 05	10
44238	Utrillas	06 a 10	6
44238	Utrillas	11 a 20	1
44239	Valacloche	00	65
44239	Valacloche	01	3
44240	Valbona	00	175
44240	Valbona	01	52
44240	Valbona	02	17
44240	Valbona	03 a 05	2
44241	Valdealgorfa	00	217
44241	Valdealgorfa	01	115
44241	Valdealgorfa	02	43
44241	Valdealgorfa	03 a 05	13
44241	Valdealgorfa	06 a 10	1
44243	Valdecuenca	00	75
44243	Valdecuenca	01	6
44243	Valdecuenca	02	1
44244	Valdelinares	00	131
44244	Valdelinares	01	9
44244	Valdelinares	02	3
44245	Valdeltormo	00	128
44245	Valdeltormo	01	65
44245	Valdeltormo	02	31
44245	Valdeltormo	03 a 05	5
44246	Valderrobres	00	537
44246	Valderrobres	01	297
44246	Valderrobres	02	94
44246	Valderrobres	03 a 05	24
44246	Valderrobres	06 a 10	2
44247	Valjunquera	00	113
44247	Valjunquera	01	92
44247	Valjunquera	02	44
44247	Valjunquera	03 a 05	37
44247	Valjunquera	06 a 10	3
44249	Vallecillo (El)	00	65
44249	Vallecillo (El)	01	3
44249	Vallecillo (El)	02	10
44250	Veguillas de la Sierra	00	35
44250	Veguillas de la Sierra	01	9
44250	Veguillas de la Sierra	02	5
44251	Villafranca del Campo	00	209
44251	Villafranca del Campo	01	61
44251	Villafranca del Campo	02	3
44251	Villafranca del Campo	03 a 05	3
44252	Villahermosa del Campo	00	47
44252	Villahermosa del Campo	01	11
44252	Villahermosa del Campo	02	3
44252	Villahermosa del Campo	03 a 05	2
44256	Villanueva del Rebollar de la Sierra	00	85
44256	Villanueva del Rebollar de la Sierra	01	2
44256	Villanueva del Rebollar de la Sierra	02	3
44256	Villanueva del Rebollar de la Sierra	03 a 05	1
44257	Villar del Cobo	00	91
44257	Villar del Cobo	01	33
44257	Villar del Cobo	02	7
44258	Villar del Salz	00	68
44258	Villar del Salz	01	23
44258	Villar del Salz	02	4
44258	Villar del Salz	03 a 05	2
44260	Villarluengo	00	159
44260	Villarluengo	01	8
44260	Villarluengo	02	11
44260	Villarluengo	03 a 05	4
44260	Villarluengo	06 a 10	1
44261	Villarquemado	00	359
44261	Villarquemado	01	115
44261	Villarquemado	02	28
44262	Villarroya de los Pinares	00	140
44262	Villarroya de los Pinares	01	42
44262	Villarroya de los Pinares	02	6
44263	Villastar	00	132
44263	Villastar	01	91
44263	Villastar	02	19
44263	Villastar	03 a 05	1
44264	Villel	00	224
44264	Villel	01	73
44264	Villel	02	27
44264	Villel	03 a 05	11
44264	Villel	06 a 10	1
44265	Vinaceite	00	130
44265	Vinaceite	01	36
44265	Vinaceite	02	17
44265	Vinaceite	03 a 05	1
44265	Vinaceite	06 a 10	1
44266	Visiedo	00	85
44266	Visiedo	01	30
44266	Visiedo	02	20
44266	Visiedo	03 a 05	8
44266	Visiedo	06 a 10	2
44267	Vivel del Río Martín	00	203
44267	Vivel del Río Martín	01	5
44267	Vivel del Río Martín	02	5
44267	Vivel del Río Martín	03 a 05	1
44268	Zoma (La)	00	18
44268	Zoma (La)	01	1
44268	Zoma (La)	02	1
50001	Abanto	00	110
50001	Abanto	01	33
50001	Abanto	02	4
50001	Abanto	03 a 05	2
50002	Acered	00	156
50002	Acered	01	29
50002	Acered	02	13
50002	Acered	03 a 05	2
50002	Acered	06 a 10	2
50003	Agón	00	70
50003	Agón	01	29
50003	Agón	02	8
50003	Agón	03 a 05	3
50004	Aguarón	00	310
50004	Aguarón	01	159
50004	Aguarón	02	5
50004	Aguarón	03 a 05	1
50005	Aguilón	00	232
50005	Aguilón	01	11
50005	Aguilón	02	1
50006	Ainzón	00	303
50006	Ainzón	01	146
50006	Ainzón	02	84
50006	Ainzón	03 a 05	9
50006	Ainzón	06 a 10	1
50007	Aladrén	00	148
50007	Aladrén	01	2
50008	Alagón	00	849
50008	Alagón	01	541
50008	Alagón	02	113
50008	Alagón	03 a 05	22
50008	Alagón	06 a 10	32
50008	Alagón	11 a 20	8
50008	Alagón	21 a 50	4
50009	Alarba	00	183
50009	Alarba	01	7
50010	Alberite de San Juan	00	47
50010	Alberite de San Juan	01	12
50010	Alberite de San Juan	02	4
50010	Alberite de San Juan	03 a 05	2
