Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con tierras labranza, pastos y otras	Explotaciones con tierras labranza y pastos	Explotaciones con tierras labranza y otras	Explotaciones con sólo tierras labranza	Explotaciones con pastos y otras tierras	Explotaciones con sólo pastos	Explotaciones con sólo otras tierras	Explotaciones con tierras
1989	22234	Torrente de Cinca	112	0	0	1	28	78	1	0	4	112
1989	22235	Torres de Alcanadre	29	0	4	2	11	11	0	0	1	29
1989	22236	Torres de Barbués	53	0	0	2	11	39	0	1	0	53
1989	22239	Tramaced	37	0	15	6	9	4	2	0	1	37
1989	22242	Valfarta	33	0	0	0	1	30	0	0	2	33
1989	22243	Valle de Bardají	20	0	9	0	4	1	1	0	5	20
1989	22244	Valle de Lierp	18	0	9	4	0	0	1	0	4	18
1989	22245	Velilla de Cinca	74	0	0	0	13	58	1	1	1	74
1989	22246	Beranuy	35	0	8	11	1	1	5	6	3	35
1989	22247	Viacamp y Litera	30	0	3	3	7	1	2	3	11	30
1989	22248	Vicién	10	0	1	2	0	7	0	0	0	10
1989	22249	Villanova	9	1	0	6	0	0	0	1	1	8
1989	22250	Villanúa	26	0	11	5	0	4	2	3	1	26
1989	22251	Villanueva de Sigena	108	1	1	1	27	74	0	0	4	107
1989	22252	Yebra de Basa	32	0	9	3	9	2	0	2	7	32
1989	22253	Yésero	22	0	12	0	1	0	6	0	3	22
1989	22254	Zaidín	356	0	19	5	258	66	1	1	6	356
1989	22901	Valle de Hecho	191	0	45	57	29	7	9	17	27	191
1989	22902	Puente la Reina de Jaca	72	1	1	0	55	12	0	0	3	71
1989	22903	San Miguel del Cinca	275	0	1	0	135	128	1	1	9	275
1989	22904	Sotonera (La)	410	0	0	1	158	226	1	0	24	410
1989	22905	Lupiñén-Ortilla	109	0	0	3	35	66	0	0	5	109
1989	22906	Santa María de Dulcis	82	1	2	0	61	16	0	0	2	81
1989	22907	Aínsa-Sobrarbe	183	0	33	3	81	41	5	3	17	183
1989	22908	Hoz y Costeán	168	1	2	0	88	19	0	0	58	167
1989	22909	Vencillón	83	0	0	0	67	15	0	0	1	83
1989	44001	Ababuj	32	0	5	12	3	5	3	2	2	32
1989	44002	Abejuela	22	0	0	0	15	2	0	0	5	22
1989	44003	Aguatón	12	0	1	6	0	4	0	1	0	12
1989	44004	Aguaviva	153	2	0	1	42	98	0	0	10	151
1989	44005	Aguilar del Alfambra	34	1	2	24	0	2	3	2	0	33
1989	44006	Alacón	117	4	29	5	71	4	0	0	4	113
1989	44007	Alba	72	0	0	0	3	65	0	2	2	72
1989	44008	Albalate del Arzobispo	366	10	0	4	15	328	2	2	5	356
1989	44009	Albarracín	101	2	7	2	31	35	6	0	18	99
1989	44010	Albentosa	165	0	75	5	4	1	74	2	4	165
1989	44011	Alcaine	32	2	0	0	13	1	1	0	15	30
1989	44012	Alcalá de la Selva	208	1	46	18	8	5	83	36	11	207
1989	44013	Alcañiz	892	12	0	3	47	813	6	0	11	880
1989	44014	Alcorisa	494	8	4	9	74	388	0	1	10	486
1989	44016	Alfambra	164	2	1	0	60	95	2	0	4	162
1989	44017	Aliaga	167	1	39	38	14	20	23	8	24	166
1989	44018	Almohaja	7	0	0	0	4	1	0	1	1	7
1989	44019	Alobras	38	1	0	0	31	1	0	1	4	37
1989	44020	Alpeñés	23	0	0	6	1	13	0	1	2	23
1989	44021	Allepuz	100	0	18	38	0	7	3	29	5	100
1989	44022	Alloza	172	2	0	1	62	100	4	0	3	170
1989	44023	Allueva	6	0	0	0	1	1	0	2	2	6
1989	44024	Anadón	8	0	0	2	3	1	0	0	2	8
1989	44025	Andorra	314	10	1	0	50	249	0	1	3	304
1989	44026	Arcos de las Salinas	52	2	0	0	43	2	1	0	4	50
1989	44027	Arens de Lledó	91	1	0	0	74	4	0	0	12	90
1989	44028	Argente	72	1	0	6	2	61	1	0	1	71
1989	44029	Ariño	189	0	0	1	87	66	1	0	34	189
1989	44031	Azaila	51	1	0	2	0	47	0	1	0	50
1989	44032	Bádenas	13	1	1	2	3	1	2	0	3	12
1989	44033	Báguena	211	0	66	26	73	36	1	7	2	211
1989	44034	Bañón	46	1	2	5	26	6	1	0	5	45
