Mes y año	'Aragón'	Sexo	Nº parados	Grupos 1 duración demanda código	Grupos 1 duración demanda descripción
Septiembre 2015	Aragón	Mujeres	4509	5	De 2 a 3 años
Septiembre 2015	Aragón	Mujeres	9573	6	Más de 3 años
Agosto 2015	Aragón	Hombres	15120	1	Hasta 3 meses
Agosto 2015	Aragón	Hombres	4227	2	De 3 a 6 meses
Agosto 2015	Aragón	Hombres	6174	3	De 6 a 12 meses
Agosto 2015	Aragón	Hombres	5893	4	De 1 a 2 años
Agosto 2015	Aragón	Hombres	3040	5	De 2 a 3 años
Agosto 2015	Aragón	Hombres	6388	6	Más de 3 años
Agosto 2015	Aragón	Mujeres	16449	1	Hasta 3 meses
Agosto 2015	Aragón	Mujeres	5227	2	De 3 a 6 meses
Agosto 2015	Aragón	Mujeres	8091	3	De 6 a 12 meses
Agosto 2015	Aragón	Mujeres	7807	4	De 1 a 2 años
Agosto 2015	Aragón	Mujeres	4589	5	De 2 a 3 años
Agosto 2015	Aragón	Mujeres	9495	6	Más de 3 años
Julio 2015	Aragón	Hombres	14164	1	Hasta 3 meses
Julio 2015	Aragón	Hombres	4602	2	De 3 a 6 meses
Julio 2015	Aragón	Hombres	6586	3	De 6 a 12 meses
Julio 2015	Aragón	Hombres	6047	4	De 1 a 2 años
Julio 2015	Aragón	Hombres	3148	5	De 2 a 3 años
Julio 2015	Aragón	Hombres	6417	6	Más de 3 años
Julio 2015	Aragón	Mujeres	15049	1	Hasta 3 meses
Julio 2015	Aragón	Mujeres	5490	2	De 3 a 6 meses
Julio 2015	Aragón	Mujeres	8286	3	De 6 a 12 meses
Julio 2015	Aragón	Mujeres	7870	4	De 1 a 2 años
Julio 2015	Aragón	Mujeres	4645	5	De 2 a 3 años
Julio 2015	Aragón	Mujeres	9500	6	Más de 3 años
Junio 2015	Aragón	Hombres	13331	1	Hasta 3 meses
Junio 2015	Aragón	Hombres	5544	2	De 3 a 6 meses
Junio 2015	Aragón	Hombres	7183	3	De 6 a 12 meses
Junio 2015	Aragón	Hombres	6303	4	De 1 a 2 años
Junio 2015	Aragón	Hombres	3232	5	De 2 a 3 años
Junio 2015	Aragón	Hombres	6444	6	Más de 3 años
Junio 2015	Aragón	Mujeres	13371	1	Hasta 3 meses
Junio 2015	Aragón	Mujeres	6632	2	De 3 a 6 meses
Junio 2015	Aragón	Mujeres	8653	3	De 6 a 12 meses
Junio 2015	Aragón	Mujeres	7938	4	De 1 a 2 años
Junio 2015	Aragón	Mujeres	4744	5	De 2 a 3 años
Junio 2015	Aragón	Mujeres	9454	6	Más de 3 años
