Fuente y fecha	Año	Municipio código	Municipio nombre	Total edificios	Antes de 1950	1950-1959	1960-1969	1970-1979	1980-1989	1990-1999	2000-2009	2010 y posterior	Sin definir
Catastro (diciembre de 2019                          )	2019	22176	Peraltilla	162	108	3	3	13	7	8	18	2	0
Catastro (diciembre de 2019                          )	2019	22177	Perarrúa	252	149	20	14	22	12	20	5	5	5
Catastro (diciembre de 2019                          )	2019	22178	Pertusa	174	40	19	36	33	34	4	6	2	0
Catastro (diciembre de 2019                          )	2019	22181	Piracés	93	65	3	8	5	4	4	4	0	0
Catastro (diciembre de 2019                          )	2019	22182	Plan	429	213	3	16	15	73	36	65	7	1
Catastro (diciembre de 2019                          )	2019	22184	Poleñino	194	88	29	12	24	9	15	14	3	0
Catastro (diciembre de 2019                          )	2019	22186	Pozán de Vero	248	174	3	2	29	8	15	13	3	1
Catastro (diciembre de 2019                          )	2019	22187	Puebla de Castro (La)	654	240	2	10	139	34	39	129	61	0
Catastro (diciembre de 2019                          )	2019	22188	Puente de Montañana	227	192	4	7	3	4	5	10	2	0
Catastro (diciembre de 2019                          )	2019	22189	Puértolas	332	162	2	5	9	16	52	71	15	0
Catastro (diciembre de 2019                          )	2019	22190	Pueyo de Araguás (El)	188	126	4	0	5	5	6	30	12	0
Catastro (diciembre de 2019                          )	2019	22193	Pueyo de Santa Cruz	250	105	26	30	23	14	7	43	2	0
Catastro (diciembre de 2019                          )	2019	22195	Quicena	203	57	3	6	16	40	7	68	2	4
Catastro (diciembre de 2019                          )	2019	22197	Robres	483	146	62	80	79	62	16	23	15	0
Catastro (diciembre de 2019                          )	2019	22199	Sabiñánigo	14580	812	655	1535	2221	1563	1246	6094	435	19
Catastro (diciembre de 2019                          )	2019	22200	Sahún	790	153	4	14	19	396	35	154	13	2
Catastro (diciembre de 2019                          )	2019	22201	Salas Altas	286	237	0	0	9	12	9	14	3	2
Catastro (diciembre de 2019                          )	2019	22202	Salas Bajas	199	117	1	4	11	1	15	38	12	0
Catastro (diciembre de 2019                          )	2019	22203	Salillas	136	54	16	21	18	9	4	5	9	0
Catastro (diciembre de 2019                          )	2019	22204	Sallent de Gállego	7089	163	68	52	982	1068	1062	3474	196	24
Catastro (diciembre de 2019                          )	2019	22205	San Esteban de Litera	913	566	33	34	70	42	75	85	8	0
Catastro (diciembre de 2019                          )	2019	22206	Sangarrén	277	105	37	65	36	15	7	6	2	4
Catastro (diciembre de 2019                          )	2019	22207	San Juan de Plan	194	75	3	1	2	1	11	98	3	0
Catastro (diciembre de 2019                          )	2019	22208	Santa Cilia	321	128	4	11	16	15	33	41	72	1
Catastro (diciembre de 2019                          )	2019	22209	Santa Cruz de la Serós	314	97	1	5	29	8	43	125	5	1
Catastro (diciembre de 2019                          )	2019	22212	Santaliestra y San Quílez	144	86	1	4	3	4	2	7	37	0
Catastro (diciembre de 2019                          )	2019	22213	Sariñena	3525	349	285	894	767	466	193	480	82	9
Catastro (diciembre de 2019                          )	2019	22214	Secastilla	212	106	26	21	18	10	9	16	6	0
