Comarca código	Comarca nombre	Calefacción (agregado)	Calefacción (detalle)	Combustible usado	Número hogares
15	Ribera Alta del Ebro	Con calefacción	Con calefacción individual	Gas	611
15	Ribera Alta del Ebro	Con calefacción	Con calefacción individual	Electricidad	729
15	Ribera Alta del Ebro	Con calefacción	Con calefacción individual	Derivados del petróleo	3895
15	Ribera Alta del Ebro	Con calefacción	Con calefacción individual	Madera	190
15	Ribera Alta del Ebro	Con calefacción	Con calefacción individual	Derivados del carbón	42
15	Ribera Alta del Ebro	Con calefacción	Con calefacción individual	Otros	11
15	Ribera Alta del Ebro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	437
15	Ribera Alta del Ebro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	522
15	Ribera Alta del Ebro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	144
15	Ribera Alta del Ebro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	479
15	Ribera Alta del Ebro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	30
15	Ribera Alta del Ebro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	3
15	Ribera Alta del Ebro	Sin calefacción	Sin ningún medio	 No aplicable	509
16	Valdejalón	Con calefacción	Con calefacción colectiva	Gas	37
16	Valdejalón	Con calefacción	Con calefacción colectiva	Electricidad	17
16	Valdejalón	Con calefacción	Con calefacción colectiva	Derivados del petróleo	181
16	Valdejalón	Con calefacción	Con calefacción colectiva	Madera	17
16	Valdejalón	Con calefacción	Con calefacción colectiva	Derivados del carbón	2
16	Valdejalón	Con calefacción	Con calefacción colectiva	Otros	1
16	Valdejalón	Con calefacción	Con calefacción individual	Gas	557
16	Valdejalón	Con calefacción	Con calefacción individual	Electricidad	926
16	Valdejalón	Con calefacción	Con calefacción individual	Derivados del petróleo	3281
16	Valdejalón	Con calefacción	Con calefacción individual	Madera	398
16	Valdejalón	Con calefacción	Con calefacción individual	Derivados del carbón	7
16	Valdejalón	Con calefacción	Con calefacción individual	Otros	7
16	Valdejalón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	503
16	Valdejalón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	918
16	Valdejalón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	210
16	Valdejalón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	803
16	Valdejalón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	30
16	Valdejalón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	8
16	Valdejalón	Sin calefacción	Sin ningún medio	 No aplicable	467
17	D.C. Zaragoza	Con calefacción	Con calefacción colectiva	Gas	18982
17	D.C. Zaragoza	Con calefacción	Con calefacción colectiva	Electricidad	1816
17	D.C. Zaragoza	Con calefacción	Con calefacción colectiva	Derivados del petróleo	53299
17	D.C. Zaragoza	Con calefacción	Con calefacción colectiva	Madera	222
17	D.C. Zaragoza	Con calefacción	Con calefacción colectiva	Derivados del carbón	9727
17	D.C. Zaragoza	Con calefacción	Con calefacción colectiva	Otros	746
17	D.C. Zaragoza	Con calefacción	Con calefacción individual	Gas	85806
17	D.C. Zaragoza	Con calefacción	Con calefacción individual	Electricidad	13676
17	D.C. Zaragoza	Con calefacción	Con calefacción individual	Derivados del petróleo	12080
17	D.C. Zaragoza	Con calefacción	Con calefacción individual	Madera	889
17	D.C. Zaragoza	Con calefacción	Con calefacción individual	Derivados del carbón	572
17	D.C. Zaragoza	Con calefacción	Con calefacción individual	Otros	253
17	D.C. Zaragoza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	7676
17	D.C. Zaragoza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	24625
17	D.C. Zaragoza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	2330
17	D.C. Zaragoza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	1458
17	D.C. Zaragoza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	293
17	D.C. Zaragoza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	252
17	D.C. Zaragoza	Sin calefacción	Sin ningún medio	 No aplicable	6633
18	Ribera Baja del Ebro	Con calefacción	Con calefacción colectiva	Gas	3
18	Ribera Baja del Ebro	Con calefacción	Con calefacción colectiva	Electricidad	7
18	Ribera Baja del Ebro	Con calefacción	Con calefacción colectiva	Derivados del petróleo	54
18	Ribera Baja del Ebro	Con calefacción	Con calefacción colectiva	Madera	4
18	Ribera Baja del Ebro	Con calefacción	Con calefacción colectiva	Otros	1
18	Ribera Baja del Ebro	Con calefacción	Con calefacción individual	Gas	108
18	Ribera Baja del Ebro	Con calefacción	Con calefacción individual	Electricidad	456
18	Ribera Baja del Ebro	Con calefacción	Con calefacción individual	Derivados del petróleo	1650
18	Ribera Baja del Ebro	Con calefacción	Con calefacción individual	Madera	48
18	Ribera Baja del Ebro	Con calefacción	Con calefacción individual	Derivados del carbón	6
18	Ribera Baja del Ebro	Con calefacción	Con calefacción individual	Otros	10
18	Ribera Baja del Ebro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	221
18	Ribera Baja del Ebro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	537
18	Ribera Baja del Ebro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	121
18	Ribera Baja del Ebro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	265
18	Ribera Baja del Ebro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	4
18	Ribera Baja del Ebro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	4
18	Ribera Baja del Ebro	Sin calefacción	Sin ningún medio	 No aplicable	218
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con calefacción	Con calefacción colectiva	Gas	28
