Año	Comarca código	Comarca nombre	Tipo de presupuesto	Estado de la información	Área gastos, total	Área gastos, deuda pública	Área gastos, servicios públicos básicos	Área gastos, actuaciones protección y promoción social	Área gastos, producción bienes públicos carácter preferente	Área gastos, actuaciones carácter económico	Área gastos, actuaciones carácter general
2013	14	Aranda	Presupuestos	Consolidada	2235329,16	47656,4	641387,53	794414,93	211565,9	127138,38	413166,02
2013	15	Ribera Alta del Ebro	Presupuestos	Consolidada	4815059,21	21000	920512,12	1723704,95	511911,04	20572,6	1617358,5
2013	16	Valdejalón	Presupuestos	Consolidada	4034173,56	400	925442,12	1529100	289200	53245	1236786,44
2013	18	Ribera Baja del Ebro	Presupuestos	Consolidada	2506681,32	0	559620	953270,09	327154,93	17000	649636,3
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Presupuestos	Consolidada	2056869,77	5829,43	146250,83	549511,96	373750	94626,95	886900,6
2013	20	Comunidad de Calatayud	Presupuestos	Consolidada	4054652,17	0	313993,81	1773012,41	283375	6750	1677520,95
2013	21	Campo de Cariñena	Presupuestos	Consolidada	2677323,17	250918,96	933719,59	684200	231300	18500	558684,62
2013	22	Campo de Belchite	Presupuestos	Consolidada	1335629,91	0	480327,52	203086,44	139918,2	70918	441379,75
2013	23	Bajo Martín	Presupuestos	Consolidada	2182828,35	73000	613054,07	833428,36	186174,33	12160,59	465011
2013	24	Campo de Daroca	Presupuestos	Consolidada	2422989,39	50000	376800	380100	186800	366992	1062297,39
2013	25	Jiloca	Presupuestos	Consolidada	3124700	20400	722200	1193700	450700	149100	588600
2013	26	Cuencas Mineras	Presupuestos	Consolidada	1518349,4	0	62695,16	381329,06	190386,49	153672,29	730266,4
2013	27	Andorra-Sierra de Arcos	Presupuestos	Consolidada	2252937,37	1000	434159,19	882834	366110	158816,86	410017,32
2013	28	Bajo Aragón	Presupuestos	Consolidada	2920503,91	113834,03	448319	1345182,69	269525,65	67938,89	675703,65
2013	29	Comunidad de Teruel	Presupuestos	Consolidada	3740250	113863,62	362500	1756850	591800	392200	523036,38
2013	30	Maestrazgo	Presupuestos	Consolidada	2051981,29	0	84986,3	483594,05	308595,3	246255,24	928550,4
2013	31	Sierra de Albarracín	Presupuestos	Consolidada	1886500	0	127100	932700	341800	141980	342920
2013	32	Gúdar-Javalambre	Presupuestos	Consolidada	3100701,13	0	560700	649059,84	374990	768400	747551,29
2013	33	Matarraña / Matarranya	Presupuestos	Consolidada	2583100	54250	321450	957300	403450	146050	700600
2014	01	La Jacetania	Presupuestos	Consolidada	5221906,21	0	1166700	987607,43	802184,81	1321368,63	944045,34
2014	02	Alto Gállego	Presupuestos	Consolidada	4341041,69	86622,28	1248045,36	1206003,38	1085042,42	153421,63	561906,62
2014	03	Sobrarbe	Presupuestos	Consolidada	4964523	0	430100	81461,42	787563,17	409908,24	3255490,17
2014	04	La Ribagorza	Presupuestos	Consolidada	5376000	227934,1	1956600	1329000	1130715,9	157200	574550
2014	05	Cinco Villas	Presupuestos	Consolidada	3944346,29	0	1275943	1056982	666879,82	484091,47	460450
