Municipio código	Municipio nombre	Plantas sobre rasante	Número de edificios
44088	Cuba (La)	02	43
44088	Cuba (La)	03	25
44089	Cubla	01	3
44089	Cubla	02	85
44089	Cubla	03	19
44090	Cucalón	01	9
44090	Cucalón	02	128
44090	Cucalón	03	6
44092	Cuervo (El)	01	2
44092	Cuervo (El)	02	117
44092	Cuervo (El)	03	16
44093	Cuevas de Almudén	01	17
44093	Cuevas de Almudén	02	41
44094	Cuevas Labradas	01	13
44094	Cuevas Labradas	02	77
44094	Cuevas Labradas	03	9
44096	Ejulve	01	185
44096	Ejulve	02	45
44096	Ejulve	03	16
44096	Ejulve	04	1
44097	Escorihuela	01	16
44097	Escorihuela	02	164
44097	Escorihuela	03	6
44099	Escucha	01	23
44099	Escucha	02	194
44099	Escucha	03	86
44099	Escucha	04	28
44099	Escucha	05	2
44100	Estercuel	01	87
44100	Estercuel	02	125
44100	Estercuel	03	15
44101	Ferreruela de Huerva	01	1
44101	Ferreruela de Huerva	02	65
44101	Ferreruela de Huerva	03	6
44102	Fonfría	01	5
44102	Fonfría	02	39
44103	Formiche Alto	01	28
44103	Formiche Alto	02	136
44103	Formiche Alto	03	31
44103	Formiche Alto	04	1
44105	Fórnoles	01	40
44105	Fórnoles	02	103
44105	Fórnoles	03	9
44106	Fortanete	01	8
44106	Fortanete	02	140
44106	Fortanete	03	82
44107	Foz-Calanda	01	40
44107	Foz-Calanda	02	118
44107	Foz-Calanda	03	30
44108	Fresneda (La)	01	135
44108	Fresneda (La)	02	319
44108	Fresneda (La)	03	28
44109	Frías de Albarracín	01	33
44109	Frías de Albarracín	02	99
44109	Frías de Albarracín	03	26
44110	Fuenferrada	01	11
44110	Fuenferrada	02	24
44110	Fuenferrada	03	58
44111	Fuentes Calientes	01	9
44111	Fuentes Calientes	02	87
44111	Fuentes Calientes	03	2
44112	Fuentes Claras	01	33
44112	Fuentes Claras	02	356
44112	Fuentes Claras	03	5
44113	Fuentes de Rubielos	01	5
44113	Fuentes de Rubielos	02	86
44113	Fuentes de Rubielos	03	44
44114	Fuentespalda	01	39
44114	Fuentespalda	02	111
44114	Fuentespalda	03	74
44115	Galve	01	14
44115	Galve	02	60
44115	Galve	03	10
44116	Gargallo	01	22
44116	Gargallo	02	106
44116	Gargallo	03	7
44117	Gea de Albarracín	01	131
44117	Gea de Albarracín	02	197
44117	Gea de Albarracín	03	20
44118	Ginebrosa (La)	01	57
44118	Ginebrosa (La)	02	158
44118	Ginebrosa (La)	03	28
44118	Ginebrosa (La)	04	1
44119	Griegos	01	103
44119	Griegos	02	42
44119	Griegos	03	1
44120	Guadalaviar	01	75
44120	Guadalaviar	02	85
44120	Guadalaviar	03	9
44121	Gúdar	01	52
44121	Gúdar	02	39
44121	Gúdar	03	52
44122	Híjar	01	200
44122	Híjar	02	573
44122	Híjar	03	162
44122	Híjar	04	17
44122	Híjar	05	4
44123	Hinojosa de Jarque	01	20
44123	Hinojosa de Jarque	02	82
44123	Hinojosa de Jarque	03	2
44124	Hoz de la Vieja (La)	01	85
44124	Hoz de la Vieja (La)	02	26
44124	Hoz de la Vieja (La)	03	145
44125	Huesa del Común	01	10
44125	Huesa del Común	02	204
44125	Huesa del Común	03	8
44126	Iglesuela del Cid (La)	01	19
44126	Iglesuela del Cid (La)	02	34
44126	Iglesuela del Cid (La)	03	258
44126	Iglesuela del Cid (La)	04	2
44127	Jabaloyas	01	15
44127	Jabaloyas	02	124
44127	Jabaloyas	03	3
44128	Jarque de la Val	01	24
44128	Jarque de la Val	02	50
44128	Jarque de la Val	03	1
44129	Jatiel	01	14
44129	Jatiel	02	63
44129	Jatiel	03	2
44130	Jorcas	01	2
44130	Jorcas	02	7
44130	Jorcas	03	77
44131	Josa	01	8
44131	Josa	02	32
44131	Josa	03	96
44132	Lagueruela	01	3
44132	Lagueruela	02	71
44132	Lagueruela	03	3
44133	Lanzuela	01	2
44133	Lanzuela	02	30
44133	Lanzuela	03	1
44135	Libros	01	51
44135	Libros	02	28
44135	Libros	03	95
44135	Libros	04	1
44136	Lidón	01	4
44136	Lidón	02	67
44136	Lidón	03	2
44137	Linares de Mora	01	46
44137	Linares de Mora	02	152
44137	Linares de Mora	03	113
44137	Linares de Mora	04	3
44138	Loscos	01	9
44138	Loscos	02	175
44138	Loscos	03	16
44141	Lledó	01	46
44141	Lledó	02	43
44141	Lledó	03	17
44142	Maicas	01	5
44142	Maicas	02	12
44142	Maicas	03	64
44143	Manzanera	01	102
44143	Manzanera	02	438
44143	Manzanera	03	224
44143	Manzanera	04	10
44144	Martín del Río	01	84
44144	Martín del Río	02	134
44144	Martín del Río	03	38
44144	Martín del Río	04	2
44145	Mas de las Matas	01	90
44145	Mas de las Matas	02	261
44145	Mas de las Matas	03	348
44145	Mas de las Matas	04	11
44146	Mata de los Olmos (La)	01	118
44146	Mata de los Olmos (La)	02	50
44146	Mata de los Olmos (La)	03	4
44147	Mazaleón	01	97
44147	Mazaleón	02	267
44147	Mazaleón	03	24
44148	Mezquita de Jarque	01	25
44148	Mezquita de Jarque	02	54
44148	Mezquita de Jarque	03	4
44149	Mirambel	01	2
44149	Mirambel	02	72
44149	Mirambel	03	41
44150	Miravete de la Sierra	01	4
44150	Miravete de la Sierra	02	27
44150	Miravete de la Sierra	03	48
44151	Molinos	01	38
44151	Molinos	02	97
44151	Molinos	03	152
44151	Molinos	04	1
44152	Monforte de Moyuela	01	111
44152	Monforte de Moyuela	02	8
44152	Monforte de Moyuela	03	2
44153	Monreal del Campo	01	165
44153	Monreal del Campo	02	860
44153	Monreal del Campo	03	66
44153	Monreal del Campo	04	9
44154	Monroyo	01	5
44154	Monroyo	02	160
44154	Monroyo	03	51
44155	Montalbán	01	90
44155	Montalbán	02	309
44155	Montalbán	03	232
44155	Montalbán	04	17
44155	Montalbán	05	3
44155	Montalbán	06	4
44155	Montalbán	08	1
44156	Monteagudo del Castillo	01	2
44156	Monteagudo del Castillo	02	20
44156	Monteagudo del Castillo	03	79
44157	Monterde de Albarracín	01	25
44157	Monterde de Albarracín	02	108
44157	Monterde de Albarracín	03	17
44158	Mora de Rubielos	01	164
44158	Mora de Rubielos	02	582
44158	Mora de Rubielos	03	149
44158	Mora de Rubielos	04	26
44158	Mora de Rubielos	05	5
44159	Moscardón	01	15
44159	Moscardón	02	60
44159	Moscardón	03	8
44160	Mosqueruela	01	33
44160	Mosqueruela	02	405
44160	Mosqueruela	03	41
44160	Mosqueruela	04	1
44161	Muniesa	01	181
44161	Muniesa	02	295
44161	Muniesa	03	28
44161	Muniesa	04	1
44163	Noguera de Albarracín	01	18
44163	Noguera de Albarracín	02	82
44163	Noguera de Albarracín	03	47
44164	Nogueras	01	14
44164	Nogueras	02	68
44164	Nogueras	03	2
44165	Nogueruelas	01	71
44165	Nogueruelas	02	70
44165	Nogueruelas	03	119
44165	Nogueruelas	04	1
44167	Obón	01	50
44167	Obón	02	43
44167	Obón	03	157
44168	Odón	01	25
44168	Odón	02	203
44168	Odón	03	1
44169	Ojos Negros	01	74
44169	Ojos Negros	02	415
44169	Ojos Negros	03	10
44171	Olba	01	86
44171	Olba	02	140
44171	Olba	03	200
44171	Olba	04	1
44171	Olba	05	1
44172	Oliete	01	53
44172	Oliete	02	373
44172	Oliete	03	172
44172	Oliete	04	1
44173	Olmos (Los)	01	50
44173	Olmos (Los)	02	96
44173	Olmos (Los)	03	19
44174	Orihuela del Tremedal	01	148
44174	Orihuela del Tremedal	02	240
44174	Orihuela del Tremedal	03	33
44174	Orihuela del Tremedal	04	2
44175	Orrios	01	17
44175	Orrios	02	105
44175	Orrios	03	1
44176	Palomar de Arroyos	01	110
44176	Palomar de Arroyos	02	65
44176	Palomar de Arroyos	03	4
44177	Pancrudo	01	40
44177	Pancrudo	02	152
44177	Pancrudo	03	5
44178	Parras de Castellote (Las)	01	164
44178	Parras de Castellote (Las)	02	41
44178	Parras de Castellote (Las)	03	1
44179	Peñarroya de Tastavins	01	97
44179	Peñarroya de Tastavins	02	208
44179	Peñarroya de Tastavins	03	90
44180	Peracense	01	14
44180	Peracense	02	96
44180	Peracense	03	5
44181	Peralejos	01	5
44181	Peralejos	02	63
44181	Peralejos	03	4
44182	Perales del Alfambra	01	24
44182	Perales del Alfambra	02	45
44182	Perales del Alfambra	03	126
44182	Perales del Alfambra	04	2
44183	Pitarque	02	19
44183	Pitarque	03	118
44184	Plou	01	8
44184	Plou	02	69
44184	Plou	03	1
44185	Pobo (El)	01	7
44185	Pobo (El)	02	35
44185	Pobo (El)	03	107
44187	Portellada (La)	01	134
44187	Portellada (La)	02	63
44187	Portellada (La)	03	4
44189	Pozondón	01	18
44189	Pozondón	02	106
44189	Pozondón	03	1
44190	Pozuel del Campo	01	13
44190	Pozuel del Campo	02	93
44190	Pozuel del Campo	03	53
44191	Puebla de Híjar (La)	01	428
44191	Puebla de Híjar (La)	02	329
44191	Puebla de Híjar (La)	03	23
44191	Puebla de Híjar (La)	04	4
44192	Puebla de Valverde (La)	01	39
44192	Puebla de Valverde (La)	02	137
44192	Puebla de Valverde (La)	03	230
44192	Puebla de Valverde (La)	04	8
44193	Puertomingalvo	01	9
44193	Puertomingalvo	02	182
44193	Puertomingalvo	03	4
44193	Puertomingalvo	04	2
44194	Ráfales	01	95
44194	Ráfales	02	82
44195	Rillo	01	11
44195	Rillo	02	102
44195	Rillo	03	1
44196	Riodeva	01	24
44196	Riodeva	02	73
44196	Riodeva	03	105
44197	Ródenas	01	29
44197	Ródenas	02	80
44197	Ródenas	03	7
44198	Royuela	01	15
44198	Royuela	02	85
44198	Royuela	03	56
44198	Royuela	04	1
44199	Rubiales	01	9
44199	Rubiales	02	35
44199	Rubiales	03	7
44200	Rubielos de la Cérida	01	2
44200	Rubielos de la Cérida	02	78
44201	Rubielos de Mora	01	106
44201	Rubielos de Mora	02	154
44201	Rubielos de Mora	03	329
44201	Rubielos de Mora	04	21
44203	Salcedillo	01	9
44203	Salcedillo	02	12
44203	Salcedillo	03	12
44204	Saldón	01	20
44204	Saldón	02	65
44204	Saldón	03	7
44205	Samper de Calanda	01	60
44205	Samper de Calanda	02	112
44205	Samper de Calanda	03	503
44205	Samper de Calanda	04	1
44206	San Agustín	01	13
44206	San Agustín	02	71
44206	San Agustín	03	109
44206	San Agustín	04	1
44207	San Martín del Río	01	9
44207	San Martín del Río	02	252
44207	San Martín del Río	03	26
44208	Santa Cruz de Nogueras	02	53
44209	Santa Eulalia	01	65
44209	Santa Eulalia	02	682
44209	Santa Eulalia	03	10
44209	Santa Eulalia	04	1
44210	Sarrión	01	81
44210	Sarrión	02	441
44210	Sarrión	03	218
44210	Sarrión	04	4
44210	Sarrión	05	1
44211	Segura de los Baños	01	36
44211	Segura de los Baños	02	10
44211	Segura de los Baños	03	45
44212	Seno	01	22
44212	Seno	02	46
44212	Seno	03	25
44213	Singra	01	15
44213	Singra	02	83
44215	Terriente	01	7
44215	Terriente	02	170
44215	Terriente	03	11
44216	Teruel	01	722
44216	Teruel	02	1966
44216	Teruel	03	1242
44216	Teruel	04	451
44216	Teruel	05	339
44216	Teruel	06	52
44216	Teruel	07	23
44216	Teruel	08	65
44216	Teruel	09	14
44216	Teruel	10 o más	13
44217	Toril y Masegoso	02	91
44218	Tormón	01	8
44218	Tormón	02	46
44218	Tormón	03	15
44219	Tornos	01	5
44219	Tornos	02	254
44220	Torralba de los Sisones	01	13
44220	Torralba de los Sisones	02	127
44220	Torralba de los Sisones	03	2
44221	Torrecilla de Alcañiz	01	119
44221	Torrecilla de Alcañiz	02	144
44221	Torrecilla de Alcañiz	03	13
44222	Torrecilla del Rebollar	01	16
44222	Torrecilla del Rebollar	02	185
44222	Torrecilla del Rebollar	03	7
44223	Torre de Arcas	01	2
44223	Torre de Arcas	02	63
44223	Torre de Arcas	03	24
44224	Torre de las Arcas	01	67
44224	Torre de las Arcas	02	27
44225	Torre del Compte	01	74
44225	Torre del Compte	02	99
44225	Torre del Compte	03	15
44226	Torrelacárcel	01	25
44226	Torrelacárcel	02	214
44226	Torrelacárcel	03	2
44227	Torre los Negros	01	9
44227	Torre los Negros	02	104
44227	Torre los Negros	03	8
44228	Torremocha de Jiloca	01	14
44228	Torremocha de Jiloca	02	111
44229	Torres de Albarracín	01	8
44229	Torres de Albarracín	02	48
44229	Torres de Albarracín	03	84
44230	Torrevelilla	01	22
44230	Torrevelilla	02	128
44230	Torrevelilla	03	23
44230	Torrevelilla	04	1
44231	Torrijas	01	19
44231	Torrijas	02	102
44231	Torrijas	03	54
44231	Torrijas	04	1
44232	Torrijo del Campo	01	28
44232	Torrijo del Campo	02	327
44232	Torrijo del Campo	03	8
44234	Tramacastiel	01	27
44234	Tramacastiel	02	64
44234	Tramacastiel	03	81
44234	Tramacastiel	04	1
44235	Tramacastilla	01	19
44235	Tramacastilla	02	58
44235	Tramacastilla	03	51
44236	Tronchón	01	4
44236	Tronchón	02	34
44236	Tronchón	03	87
44237	Urrea de Gaén	01	35
44237	Urrea de Gaén	02	115
44237	Urrea de Gaén	03	243
44238	Utrillas	01	327
44238	Utrillas	02	256
44238	Utrillas	03	86
44238	Utrillas	04	38
44238	Utrillas	05	1
44239	Valacloche	01	8
44239	Valacloche	02	12
44239	Valacloche	03	48
44240	Valbona	01	6
44240	Valbona	02	87
44240	Valbona	03	149
44240	Valbona	04	4
44241	Valdealgorfa	01	152
44241	Valdealgorfa	02	208
44241	Valdealgorfa	03	29
44243	Valdecuenca	01	12
44243	Valdecuenca	02	64
44243	Valdecuenca	03	6
44244	Valdelinares	01	15
44244	Valdelinares	02	36
44244	Valdelinares	03	90
44244	Valdelinares	04	1
44244	Valdelinares	05	1
44245	Valdeltormo	01	72
44245	Valdeltormo	02	130
44245	Valdeltormo	03	27
44246	Valderrobres	01	319
44246	Valderrobres	02	381
44246	Valderrobres	03	231
44246	Valderrobres	04	17
44246	Valderrobres	05	6
44247	Valjunquera	01	126
44247	Valjunquera	02	150
44247	Valjunquera	03	13
44249	Vallecillo (El)	01	4
44249	Vallecillo (El)	02	57
44249	Vallecillo (El)	03	17
44250	Veguillas de la Sierra	01	4
44250	Veguillas de la Sierra	02	38
44250	Veguillas de la Sierra	03	7
44251	Villafranca del Campo	01	49
44251	Villafranca del Campo	02	223
44251	Villafranca del Campo	03	4
44252	Villahermosa del Campo	01	2
44252	Villahermosa del Campo	02	58
44252	Villahermosa del Campo	03	3
44256	Villanueva del Rebollar de la Sierra	01	37
44256	Villanueva del Rebollar de la Sierra	02	12
44256	Villanueva del Rebollar de la Sierra	03	42
44257	Villar del Cobo	01	83
44257	Villar del Cobo	02	48
44258	Villar del Salz	01	10
44258	Villar del Salz	02	85
44258	Villar del Salz	03	2
44260	Villarluengo	01	8
44260	Villarluengo	02	32
44260	Villarluengo	03	143
44261	Villarquemado	01	86
44261	Villarquemado	02	414
44261	Villarquemado	03	2
44262	Villarroya de los Pinares	01	31
44262	Villarroya de los Pinares	02	53
44262	Villarroya de los Pinares	03	104
44263	Villastar	01	73
44263	Villastar	02	162
44263	Villastar	03	8
44264	Villel	01	37
44264	Villel	02	86
44264	Villel	03	209
44264	Villel	04	4
44265	Vinaceite	01	23
44265	Vinaceite	02	152
44265	Vinaceite	03	10
44266	Visiedo	01	19
44266	Visiedo	02	124
44266	Visiedo	03	2
44267	Vivel del Río Martín	01	86
44267	Vivel del Río Martín	02	29
44267	Vivel del Río Martín	03	99
44268	Zoma (La)	01	6
44268	Zoma (La)	02	14
50001	Abanto	01	7
50001	Abanto	02	117
50001	Abanto	03	25
50002	Acered	01	20
50002	Acered	02	180
50002	Acered	03	2
50003	Agón	01	92
50003	Agón	02	17
50003	Agón	03	1
50004	Aguarón	01	97
50004	Aguarón	02	259
50004	Aguarón	03	118
50004	Aguarón	04	1
50005	Aguilón	01	133
50005	Aguilón	02	105
50005	Aguilón	03	6
50006	Ainzón	01	142
50006	Ainzón	02	286
50006	Ainzón	03	114
50006	Ainzón	04	1
50007	Aladrén	01	33
50007	Aladrén	02	109
50007	Aladrén	03	8
50008	Alagón	01	427
50008	Alagón	02	863
50008	Alagón	03	235
50008	Alagón	04	30
50008	Alagón	05	14
50009	Alarba	01	190
50010	Alberite de San Juan	01	28
50010	Alberite de San Juan	02	29
50010	Alberite de San Juan	03	8
50011	Albeta	01	7
50011	Albeta	02	40
50011	Albeta	03	26
50012	Alborge	01	13
50012	Alborge	02	84
50012	Alborge	03	3
50013	Alcalá de Ebro	01	44
50013	Alcalá de Ebro	02	114
50013	Alcalá de Ebro	03	18
50014	Alcalá de Moncayo	01	5
50014	Alcalá de Moncayo	02	41
50014	Alcalá de Moncayo	03	27
50015	Alconchel de Ariza	01	27
50015	Alconchel de Ariza	02	17
50015	Alconchel de Ariza	03	119
50016	Aldehuela de Liestos	01	8
50016	Aldehuela de Liestos	02	89
50016	Aldehuela de Liestos	03	1
50017	Alfajarín	01	212
50017	Alfajarín	02	412
50017	Alfajarín	03	61
50017	Alfajarín	04	1
50018	Alfamén	01	284
50018	Alfamén	02	232
50018	Alfamén	03	20
50019	Alforque	01	31
50019	Alforque	02	45
50019	Alforque	03	32
50020	Alhama de Aragón	01	124
50020	Alhama de Aragón	02	261
50020	Alhama de Aragón	03	146
50020	Alhama de Aragón	04	18
50021	Almochuel	01	26
50021	Almochuel	02	2
50021	Almochuel	03	2
50022	Almolda (La)	01	54
50022	Almolda (La)	02	213
50022	Almolda (La)	03	61
50023	Almonacid de la Cuba	01	41
50023	Almonacid de la Cuba	02	48
50023	Almonacid de la Cuba	03	72
50024	Almonacid de la Sierra	01	88
50024	Almonacid de la Sierra	02	317
50024	Almonacid de la Sierra	03	75
50025	Almunia de Doña Godina (La)	01	708
50025	Almunia de Doña Godina (La)	02	722
50025	Almunia de Doña Godina (La)	03	267
50025	Almunia de Doña Godina (La)	04	37
50025	Almunia de Doña Godina (La)	05	23
50025	Almunia de Doña Godina (La)	07	1
50026	Alpartir	01	236
50026	Alpartir	02	79
50027	Ambel	01	121
50027	Ambel	02	68
50027	Ambel	03	67
50027	Ambel	04	1
50027	Ambel	05	1
50028	Anento	01	31
50028	Anento	02	59
50028	Anento	03	48
50029	Aniñón	01	82
50029	Aniñón	02	280
50029	Aniñón	03	71
50029	Aniñón	04	3
50029	Aniñón	05	2
50030	Añón de Moncayo	01	24
50030	Añón de Moncayo	02	85
50030	Añón de Moncayo	03	81
50030	Añón de Moncayo	05	1
50031	Aranda de Moncayo	01	35
50031	Aranda de Moncayo	02	227
50031	Aranda de Moncayo	03	36
50032	Arándiga	01	84
50032	Arándiga	02	306
50032	Arándiga	03	44
50033	Ardisa	01	38
50033	Ardisa	02	55
50033	Ardisa	03	4
50034	Ariza	01	106
50034	Ariza	02	189
50034	Ariza	03	232
50034	Ariza	04	26
50034	Ariza	05	2
50034	Ariza	06	1
50035	Artieda	01	14
50035	Artieda	02	30
50035	Artieda	03	5
50036	Asín	01	19
50036	Asín	02	45
50036	Asín	03	35
50037	Atea	01	13
50037	Atea	02	211
50037	Atea	03	7
50038	Ateca	01	260
50038	Ateca	02	298
50038	Ateca	03	177
50038	Ateca	04	23
50038	Ateca	05	2
50039	Azuara	01	84
50039	Azuara	02	271
50039	Azuara	03	358
50040	Badules	01	25
50040	Badules	02	65
50040	Badules	03	8
50041	Bagüés	01	1
50041	Bagüés	02	17
50041	Bagüés	03	7
50042	Balconchán	01	9
50042	Balconchán	02	27
50042	Balconchán	03	5
50043	Bárboles	01	57
50043	Bárboles	02	98
50043	Bárboles	03	72
50044	Bardallur	01	71
50044	Bardallur	02	56
50044	Bardallur	03	63
50044	Bardallur	04	1
50045	Belchite	01	227
50045	Belchite	02	635
50045	Belchite	03	21
50046	Belmonte de Gracián	01	35
50046	Belmonte de Gracián	02	90
50046	Belmonte de Gracián	03	64
50046	Belmonte de Gracián	04	1
50047	Berdejo	01	21
50047	Berdejo	02	29
50047	Berdejo	03	37
50048	Berrueco	01	3
50048	Berrueco	02	32
50048	Berrueco	03	7
50050	Bijuesca	01	61
50050	Bijuesca	02	66
50050	Bijuesca	03	113
50051	Biota	01	248
50051	Biota	02	269
50051	Biota	03	48
50052	Bisimbre	01	54
50052	Bisimbre	02	18
50052	Bisimbre	03	1
50053	Boquiñeni	01	145
50053	Boquiñeni	02	211
50053	Boquiñeni	03	37
50054	Bordalba	01	31
50054	Bordalba	02	53
50054	Bordalba	03	69
50054	Bordalba	05	1
50055	Borja	01	299
50055	Borja	02	1413
50055	Borja	03	284
50055	Borja	04	59
50055	Borja	05	12
50055	Borja	10 o más	1
50056	Botorrita	01	103
50056	Botorrita	02	124
50056	Botorrita	03	1
50057	Brea de Aragón	01	80
50057	Brea de Aragón	02	370
50057	Brea de Aragón	03	106
50057	Brea de Aragón	04	13
50057	Brea de Aragón	05	2
50058	Bubierca	01	20
50058	Bubierca	02	94
50058	Bubierca	03	26
50058	Bubierca	04	1
50059	Bujaraloz	01	40
50059	Bujaraloz	02	307
50059	Bujaraloz	03	32
50059	Bujaraloz	05	1
50060	Bulbuente	01	75
50060	Bulbuente	02	49
50060	Bulbuente	03	88
50060	Bulbuente	04	4
50061	Bureta	01	14
50061	Bureta	02	71
50061	Bureta	03	64
50062	Burgo de Ebro (El)	01	284
50062	Burgo de Ebro (El)	02	301
50062	Burgo de Ebro (El)	03	27
50062	Burgo de Ebro (El)	04	2
50063	Buste (El)	01	6
50063	Buste (El)	02	64
50063	Buste (El)	03	30
50064	Cabañas de Ebro	01	44
50064	Cabañas de Ebro	02	173
50064	Cabañas de Ebro	03	21
50065	Cabolafuente	01	23
50065	Cabolafuente	02	18
50065	Cabolafuente	03	63
50066	Cadrete	01	877
50066	Cadrete	02	8
50066	Cadrete	03	11
50066	Cadrete	04	4
50066	Cadrete	05	1
50067	Calatayud	01	827
50067	Calatayud	02	579
50067	Calatayud	03	367
50067	Calatayud	04	169
50067	Calatayud	05	203
50067	Calatayud	06	73
50067	Calatayud	07	39
50067	Calatayud	08	33
50067	Calatayud	09	9
50067	Calatayud	10 o más	4
50068	Calatorao	01	213
50068	Calatorao	02	693
50068	Calatorao	03	315
50068	Calatorao	04	5
50068	Calatorao	05	1
50069	Calcena	01	10
50069	Calcena	02	68
50069	Calcena	03	18
50070	Calmarza	01	8
50070	Calmarza	02	7
50070	Calmarza	03	75
50071	Campillo de Aragón	01	21
50071	Campillo de Aragón	02	81
50071	Campillo de Aragón	03	117
50072	Carenas	01	86
50072	Carenas	02	157
50072	Carenas	03	172
50073	Cariñena	01	109
50073	Cariñena	02	386
50073	Cariñena	03	146
50073	Cariñena	04	49
50073	Cariñena	05	7
50073	Cariñena	07	1
50074	Caspe	01	835
50074	Caspe	02	1091
50074	Caspe	03	534
50074	Caspe	04	81
50074	Caspe	05	31
50074	Caspe	06	15
50074	Caspe	07	5
50074	Caspe	08	1
50075	Castejón de Alarba	01	146
50075	Castejón de Alarba	02	2
50076	Castejón de las Armas	01	41
50076	Castejón de las Armas	02	56
50076	Castejón de las Armas	03	23
50077	Castejón de Valdejasa	01	29
50077	Castejón de Valdejasa	02	70
50077	Castejón de Valdejasa	03	105
50078	Castiliscar	01	139
50078	Castiliscar	02	150
50078	Castiliscar	03	54
50079	Cervera de la Cañada	01	12
50079	Cervera de la Cañada	02	160
50079	Cervera de la Cañada	03	47
50080	Cerveruela	01	38
50080	Cerveruela	02	57
50080	Cerveruela	03	2
50081	Cetina	01	71
50081	Cetina	02	434
50081	Cetina	03	80
50081	Cetina	04	2
50082	Cimballa	01	20
50082	Cimballa	02	93
50082	Cimballa	03	61
50083	Cinco Olivas	01	119
50084	Clarés de Ribota	01	28
50084	Clarés de Ribota	02	25
50084	Clarés de Ribota	03	71
50084	Clarés de Ribota	04	1
50085	Codo	01	47
50085	Codo	02	228
50085	Codo	03	6
50086	Codos	01	50
50086	Codos	02	155
50086	Codos	03	62
50087	Contamina	01	1
50087	Contamina	02	4
50087	Contamina	03	26
50088	Cosuenda	01	32
50088	Cosuenda	02	89
50088	Cosuenda	03	101
50088	Cosuenda	04	1
50089	Cuarte de Huerva	01	201
50089	Cuarte de Huerva	02	363
50089	Cuarte de Huerva	03	33
50089	Cuarte de Huerva	04	12
50089	Cuarte de Huerva	05	7
50090	Cubel	01	27
50090	Cubel	02	173
50090	Cubel	03	3
50091	Cuerlas (Las)	01	22
50091	Cuerlas (Las)	02	57
50091	Cuerlas (Las)	03	44
50092	Chiprana	01	336
50092	Chiprana	02	14
50092	Chiprana	03	2
50093	Chodes	01	11
50093	Chodes	02	31
50093	Chodes	03	66
50094	Daroca	01	162
50094	Daroca	02	490
50094	Daroca	03	176
50094	Daroca	04	43
50094	Daroca	05	10
50094	Daroca	06	3
50095	Ejea de los Caballeros	01	1709
50095	Ejea de los Caballeros	02	1877
50095	Ejea de los Caballeros	03	279
50095	Ejea de los Caballeros	04	167
50095	Ejea de los Caballeros	05	137
50095	Ejea de los Caballeros	06	27
50095	Ejea de los Caballeros	07	2
50096	Embid de Ariza	01	7
50096	Embid de Ariza	02	71
50096	Embid de Ariza	03	38
50098	Encinacorba	01	27
50098	Encinacorba	02	140
50098	Encinacorba	03	45
50099	Épila	01	620
50099	Épila	02	1012
50099	Épila	03	259
50099	Épila	04	7
50099	Épila	05	4
50100	Erla	01	143
50100	Erla	02	113
50100	Erla	03	14
50101	Escatrón	01	735
50101	Escatrón	02	262
50101	Escatrón	03	19
50102	Fabara	01	172
50102	Fabara	02	361
50102	Fabara	03	74
50104	Farlete	01	91
50104	Farlete	02	93
50104	Farlete	03	5
50105	Fayón	01	117
50105	Fayón	02	106
50106	Fayos (Los)	01	18
50106	Fayos (Los)	02	59
50106	Fayos (Los)	03	36
50107	Figueruelas	01	104
50107	Figueruelas	02	265
50107	Figueruelas	03	20
50108	Fombuena	01	6
50108	Fombuena	02	22
50108	Fombuena	03	2
50109	Frago (El)	01	14
50109	Frago (El)	02	59
50109	Frago (El)	03	42
50110	Frasno (El)	01	112
50110	Frasno (El)	02	214
50110	Frasno (El)	03	126
50111	Fréscano	01	46
50111	Fréscano	02	96
50111	Fréscano	03	7
50113	Fuendejalón	01	75
50113	Fuendejalón	02	241
50113	Fuendejalón	03	106
50114	Fuendetodos	01	19
50114	Fuendetodos	02	48
50114	Fuendetodos	03	54
50115	Fuentes de Ebro	01	407
50115	Fuentes de Ebro	02	703
50115	Fuentes de Ebro	03	247
50115	Fuentes de Ebro	04	10
50115	Fuentes de Ebro	05	6
50116	Fuentes de Jiloca	01	60
50116	Fuentes de Jiloca	02	188
50116	Fuentes de Jiloca	03	12
50117	Gallocanta	01	5
50117	Gallocanta	02	43
50117	Gallocanta	03	74
50118	Gallur	01	525
50118	Gallur	02	536
50118	Gallur	03	107
50118	Gallur	04	30
50118	Gallur	05	3
50119	Gelsa	01	83
50119	Gelsa	02	391
50119	Gelsa	03	144
50120	Godojos	01	10
50120	Godojos	02	41
50120	Godojos	03	15
50121	Gotor	01	23
50121	Gotor	02	162
50121	Gotor	03	12
50122	Grisel	01	8
50122	Grisel	02	39
50122	Grisel	03	25
50123	Grisén	01	70
50123	Grisén	02	155
50123	Grisén	03	43
50124	Herrera de los Navarros	01	60
50124	Herrera de los Navarros	02	51
50124	Herrera de los Navarros	03	315
50124	Herrera de los Navarros	04	8
50125	Ibdes	01	76
50125	Ibdes	02	121
50125	Ibdes	03	278
50126	Illueca	01	72
50126	Illueca	02	252
50126	Illueca	03	166
50126	Illueca	04	74
50126	Illueca	05	38
50126	Illueca	06	4
50128	Isuerre	01	6
50128	Isuerre	02	35
50128	Isuerre	03	16
50129	Jaraba	01	25
50129	Jaraba	02	64
50129	Jaraba	03	135
50129	Jaraba	04	1
50130	Jarque	01	56
50130	Jarque	02	251
50130	Jarque	03	27
50130	Jarque	04	3
50131	Jaulín	01	22
50131	Jaulín	02	111
