Municipio código	Municipio nombre	Tipo nacionalidad	Continente nacionalidad	Area nacionalidad, código	Area nacionalidad, nombre	Personas
22170	Panticosa	Nacionalidad extranjera	América	06	Resto de América	2
22172	Peñalba	Nacionalidad española	Europa	01	UE-15	761
22172	Peñalba	Nacionalidad extranjera	Europa	01	UE-15	1
22172	Peñalba	Nacionalidad extranjera	Europa	02	Resto de Europa	5
22172	Peñalba	Nacionalidad extranjera	África	03	Magreb	10
22172	Peñalba	Nacionalidad extranjera	América	05	América del Norte	1
22172	Peñalba	Nacionalidad extranjera	América	06	Resto de América	6
22173	Peñas de Riglos (Las)	Nacionalidad española	Europa	01	UE-15	266
22173	Peñas de Riglos (Las)	Nacionalidad extranjera	Europa	01	UE-15	1
22173	Peñas de Riglos (Las)	Nacionalidad extranjera	América	06	Resto de América	1
22174	Peralta de Alcofea	Nacionalidad española	Europa	01	UE-15	683
22174	Peralta de Alcofea	Nacionalidad extranjera	Europa	02	Resto de Europa	7
22174	Peralta de Alcofea	Nacionalidad extranjera	África	03	Magreb	8
22174	Peralta de Alcofea	Nacionalidad extranjera	América	06	Resto de América	3
22175	Peralta de Calasanz	Nacionalidad española	Europa	01	UE-15	254
22175	Peralta de Calasanz	Nacionalidad extranjera	África	03	Magreb	4
22176	Peraltilla	Nacionalidad española	Europa	01	UE-15	165
22176	Peraltilla	Nacionalidad extranjera	Europa	01	UE-15	1
22177	Perarrúa	Nacionalidad española	Europa	01	UE-15	126
22177	Perarrúa	Nacionalidad extranjera	Europa	01	UE-15	1
22178	Pertusa	Nacionalidad española	Europa	01	UE-15	139
22178	Pertusa	Nacionalidad extranjera	América	06	Resto de América	14
22181	Piracés	Nacionalidad española	Europa	01	UE-15	103
22182	Plan	Nacionalidad española	Europa	01	UE-15	310
22182	Plan	Nacionalidad extranjera	Europa	01	UE-15	2
22182	Plan	Nacionalidad extranjera	África	03	Magreb	2
22184	Poleñino	Nacionalidad española	Europa	01	UE-15	248
22186	Pozán de Vero	Nacionalidad española	Europa	01	UE-15	242
22186	Pozán de Vero	Nacionalidad extranjera	América	06	Resto de América	1
22187	Puebla de Castro (La)	Nacionalidad española	Europa	01	UE-15	310
22187	Puebla de Castro (La)	Nacionalidad extranjera	Europa	01	UE-15	5
22187	Puebla de Castro (La)	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22187	Puebla de Castro (La)	Nacionalidad extranjera	América	06	Resto de América	5
22188	Puente de Montañana	Nacionalidad española	Europa	01	UE-15	113
22188	Puente de Montañana	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22189	Puértolas	Nacionalidad española	Europa	01	UE-15	211
22189	Puértolas	Nacionalidad extranjera	Europa	01	UE-15	1
22189	Puértolas	Nacionalidad extranjera	América	06	Resto de América	1
22189	Puértolas	Nacionalidad extranjera	Asia	07	Asia	1
22190	Pueyo de Araguás (El)	Nacionalidad española	Europa	01	UE-15	144
22190	Pueyo de Araguás (El)	Nacionalidad extranjera	Europa	01	UE-15	1
22193	Pueyo de Santa Cruz	Nacionalidad española	Europa	01	UE-15	333
22193	Pueyo de Santa Cruz	Nacionalidad extranjera	Europa	01	UE-15	1
22193	Pueyo de Santa Cruz	Nacionalidad extranjera	América	06	Resto de América	4
22195	Quicena	Nacionalidad española	Europa	01	UE-15	144
22195	Quicena	Nacionalidad extranjera	Europa	01	UE-15	3
22197	Robres	Nacionalidad española	Europa	01	UE-15	640
22197	Robres	Nacionalidad extranjera	Europa	01	UE-15	2
22197	Robres	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22197	Robres	Nacionalidad extranjera	América	05	América del Norte	4
22197	Robres	Nacionalidad extranjera	América	06	Resto de América	6
22199	Sabiñánigo	Nacionalidad española	Europa	01	UE-15	8441
22199	Sabiñánigo	Nacionalidad extranjera	Europa	01	UE-15	24
22199	Sabiñánigo	Nacionalidad extranjera	Europa	02	Resto de Europa	24
22199	Sabiñánigo	Nacionalidad extranjera	África	03	Magreb	15
22199	Sabiñánigo	Nacionalidad extranjera	América	06	Resto de América	73
22199	Sabiñánigo	Nacionalidad extranjera	Asia	07	Asia	1
22200	Sahún	Nacionalidad española	Europa	01	UE-15	275
22200	Sahún	Nacionalidad extranjera	Europa	01	UE-15	3
22200	Sahún	Nacionalidad extranjera	Europa	02	Resto de Europa	2
22200	Sahún	Nacionalidad extranjera	América	06	Resto de América	6
22201	Salas Altas	Nacionalidad española	Europa	01	UE-15	371
22201	Salas Altas	Nacionalidad extranjera	Europa	01	UE-15	3
22201	Salas Altas	Nacionalidad extranjera	África	03	Magreb	8
22201	Salas Altas	Nacionalidad extranjera	América	06	Resto de América	3
22202	Salas Bajas	Nacionalidad española	Europa	01	UE-15	161
22203	Salillas	Nacionalidad española	Europa	01	UE-15	109
22203	Salillas	Nacionalidad extranjera	Europa	01	UE-15	1
22204	Sallent de Gállego	Nacionalidad española	Europa	01	UE-15	1033
22204	Sallent de Gállego	Nacionalidad extranjera	Europa	01	UE-15	17
22204	Sallent de Gállego	Nacionalidad extranjera	Europa	02	Resto de Europa	3
22204	Sallent de Gállego	Nacionalidad extranjera	América	06	Resto de América	27
22205	San Esteban de Litera	Nacionalidad española	Europa	01	UE-15	595
22205	San Esteban de Litera	Nacionalidad extranjera	Europa	01	UE-15	1
22205	San Esteban de Litera	Nacionalidad extranjera	Europa	02	Resto de Europa	4
22206	Sangarrén	Nacionalidad española	Europa	01	UE-15	247
22206	Sangarrén	Nacionalidad extranjera	África	03	Magreb	3
22207	San Juan de Plan	Nacionalidad española	Europa	01	UE-15	153
22207	San Juan de Plan	Nacionalidad extranjera	Europa	01	UE-15	3
22207	San Juan de Plan	Nacionalidad extranjera	América	05	América del Norte	1
22207	San Juan de Plan	Nacionalidad extranjera	América	06	Resto de América	3
22208	Santa Cilia	Nacionalidad española	Europa	01	UE-15	187
22208	Santa Cilia	Nacionalidad extranjera	Europa	01	UE-15	3
22208	Santa Cilia	Nacionalidad extranjera	América	06	Resto de América	1
22209	Santa Cruz de la Serós	Nacionalidad española	Europa	01	UE-15	151
22209	Santa Cruz de la Serós	Nacionalidad extranjera	Europa	01	UE-15	1
22212	Santaliestra y San Quílez	Nacionalidad española	Europa	01	UE-15	118
22212	Santaliestra y San Quílez	Nacionalidad extranjera	Europa	01	UE-15	4
22212	Santaliestra y San Quílez	Nacionalidad extranjera	África	04	Resto de África	1
22213	Sariñena	Nacionalidad española	Europa	01	UE-15	3864
22213	Sariñena	Nacionalidad extranjera	Europa	01	UE-15	10
22213	Sariñena	Nacionalidad extranjera	Europa	02	Resto de Europa	21
22213	Sariñena	Nacionalidad extranjera	África	03	Magreb	10
22213	Sariñena	Nacionalidad extranjera	África	04	Resto de África	8
22213	Sariñena	Nacionalidad extranjera	América	05	América del Norte	1
22213	Sariñena	Nacionalidad extranjera	América	06	Resto de América	36
22214	Secastilla	Nacionalidad española	Europa	01	UE-15	144
22215	Seira	Nacionalidad española	Europa	01	UE-15	195
22215	Seira	Nacionalidad extranjera	Europa	01	UE-15	7
22217	Sena	Nacionalidad española	Europa	01	UE-15	530
22217	Sena	Nacionalidad extranjera	Europa	01	UE-15	2
22217	Sena	Nacionalidad extranjera	Europa	02	Resto de Europa	23
22217	Sena	Nacionalidad extranjera	África	03	Magreb	2
22217	Sena	Nacionalidad extranjera	África	04	Resto de África	19
22217	Sena	Nacionalidad extranjera	América	06	Resto de América	1
22218	Senés de Alcubierre	Nacionalidad española	Europa	01	UE-15	52
22220	Sesa	Nacionalidad española	Europa	01	UE-15	256
22220	Sesa	Nacionalidad extranjera	Europa	01	UE-15	2
22221	Sesué	Nacionalidad española	Europa	01	UE-15	134
22222	Siétamo	Nacionalidad española	Europa	01	UE-15	438
22222	Siétamo	Nacionalidad extranjera	Europa	01	UE-15	4
22222	Siétamo	Nacionalidad extranjera	Europa	02	Resto de Europa	9
22222	Siétamo	Nacionalidad extranjera	América	06	Resto de América	2
22223	Sopeira	Nacionalidad española	Europa	01	UE-15	103
22223	Sopeira	Nacionalidad extranjera	Europa	01	UE-15	1
22223	Sopeira	Nacionalidad extranjera	América	06	Resto de América	1
22225	Tamarite de Litera	Nacionalidad española	Europa	01	UE-15	3588
22225	Tamarite de Litera	Nacionalidad extranjera	Europa	01	UE-15	7
22225	Tamarite de Litera	Nacionalidad extranjera	Europa	02	Resto de Europa	5
22225	Tamarite de Litera	Nacionalidad extranjera	África	03	Magreb	21
22225	Tamarite de Litera	Nacionalidad extranjera	África	04	Resto de África	26
22225	Tamarite de Litera	Nacionalidad extranjera	América	06	Resto de América	8
22226	Tardienta	Nacionalidad española	Europa	01	UE-15	1050
22226	Tardienta	Nacionalidad extranjera	Europa	01	UE-15	1
22226	Tardienta	Nacionalidad extranjera	África	03	Magreb	35
22226	Tardienta	Nacionalidad extranjera	América	06	Resto de América	1
22227	Tella-Sin	Nacionalidad española	Europa	01	UE-15	280
22227	Tella-Sin	Nacionalidad extranjera	Asia	07	Asia	1
22228	Tierz	Nacionalidad española	Europa	01	UE-15	178
22228	Tierz	Nacionalidad extranjera	Europa	02	Resto de Europa	2
22229	Tolva	Nacionalidad española	Europa	01	UE-15	182
22229	Tolva	Nacionalidad extranjera	Europa	01	UE-15	1
22229	Tolva	Nacionalidad extranjera	Europa	02	Resto de Europa	2
22229	Tolva	Nacionalidad extranjera	África	03	Magreb	2
22229	Tolva	Nacionalidad extranjera	Asia	07	Asia	1
22230	Torla	Nacionalidad española	Europa	01	UE-15	347
22232	Torralba de Aragón	Nacionalidad española	Europa	01	UE-15	118
22232	Torralba de Aragón	Nacionalidad extranjera	Europa	01	UE-15	1
22233	Torre la Ribera	Nacionalidad española	Europa	01	UE-15	108
22233	Torre la Ribera	Nacionalidad extranjera	Europa	01	UE-15	1
22233	Torre la Ribera	Nacionalidad extranjera	América	06	Resto de América	1
22234	Torrente de Cinca	Nacionalidad española	Europa	01	UE-15	1039
22234	Torrente de Cinca	Nacionalidad extranjera	Europa	02	Resto de Europa	6
22234	Torrente de Cinca	Nacionalidad extranjera	África	03	Magreb	8
22234	Torrente de Cinca	Nacionalidad extranjera	África	04	Resto de África	45
22234	Torrente de Cinca	Nacionalidad extranjera	América	06	Resto de América	5
22235	Torres de Alcanadre	Nacionalidad española	Europa	01	UE-15	127
22236	Torres de Barbués	Nacionalidad española	Europa	01	UE-15	348
22236	Torres de Barbués	Nacionalidad extranjera	Europa	01	UE-15	2
22236	Torres de Barbués	Nacionalidad extranjera	Europa	02	Resto de Europa	5
22236	Torres de Barbués	Nacionalidad extranjera	África	03	Magreb	3
22239	Tramaced	Nacionalidad española	Europa	01	UE-15	95
22242	Valfarta	Nacionalidad española	Europa	01	UE-15	95
22243	Valle de Bardají	Nacionalidad española	Europa	01	UE-15	49
22244	Valle de Lierp	Nacionalidad española	Europa	01	UE-15	51
22245	Velilla de Cinca	Nacionalidad española	Europa	01	UE-15	442
22245	Velilla de Cinca	Nacionalidad extranjera	Europa	02	Resto de Europa	2
22245	Velilla de Cinca	Nacionalidad extranjera	África	03	Magreb	8
22245	Velilla de Cinca	Nacionalidad extranjera	América	06	Resto de América	11
22246	Veracruz	Nacionalidad española	Europa	01	UE-15	107
22246	Veracruz	Nacionalidad extranjera	Europa	01	UE-15	1
22246	Veracruz	Nacionalidad extranjera	América	06	Resto de América	3
22247	Viacamp y Litera	Nacionalidad española	Europa	01	UE-15	36
22248	Vicién	Nacionalidad española	Europa	01	UE-15	121
22249	Villanova	Nacionalidad española	Europa	01	UE-15	131
22249	Villanova	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22250	Villanúa	Nacionalidad española	Europa	01	UE-15	333
22250	Villanúa	Nacionalidad extranjera	Europa	01	UE-15	4
22250	Villanúa	Nacionalidad extranjera	África	03	Magreb	1
22250	Villanúa	Nacionalidad extranjera	América	06	Resto de América	2
22251	Villanueva de Sigena	Nacionalidad española	Europa	01	UE-15	510
22251	Villanueva de Sigena	Nacionalidad extranjera	Europa	01	UE-15	5
22251	Villanueva de Sigena	Nacionalidad extranjera	Europa	02	Resto de Europa	8
22251	Villanueva de Sigena	Nacionalidad extranjera	África	03	Magreb	7
22251	Villanueva de Sigena	Nacionalidad extranjera	América	06	Resto de América	1
22252	Yebra de Basa	Nacionalidad española	Europa	01	UE-15	161
22253	Yésero	Nacionalidad española	Europa	01	UE-15	80
22253	Yésero	Nacionalidad extranjera	Europa	01	UE-15	1
22254	Zaidín	Nacionalidad española	Europa	01	UE-15	1601
22254	Zaidín	Nacionalidad extranjera	Europa	02	Resto de Europa	30
22254	Zaidín	Nacionalidad extranjera	África	03	Magreb	35
22254	Zaidín	Nacionalidad extranjera	África	04	Resto de África	2
22254	Zaidín	Nacionalidad extranjera	América	06	Resto de América	4
22901	Valle de Hecho	Nacionalidad española	Europa	01	UE-15	971
22901	Valle de Hecho	Nacionalidad extranjera	Europa	01	UE-15	1
22901	Valle de Hecho	Nacionalidad extranjera	Europa	02	Resto de Europa	2
22901	Valle de Hecho	Nacionalidad extranjera	América	06	Resto de América	3
22902	Puente la Reina de Jaca	Nacionalidad española	Europa	01	UE-15	258
22902	Puente la Reina de Jaca	Nacionalidad extranjera	Europa	01	UE-15	4
22903	San Miguel del Cinca	Nacionalidad española	Europa	01	UE-15	874
22903	San Miguel del Cinca	Nacionalidad extranjera	Europa	01	UE-15	2
22903	San Miguel del Cinca	Nacionalidad extranjera	Europa	02	Resto de Europa	8
22903	San Miguel del Cinca	Nacionalidad extranjera	África	03	Magreb	1
22903	San Miguel del Cinca	Nacionalidad extranjera	América	06	Resto de América	1
22904	Sotonera (La)	Nacionalidad española	Europa	01	UE-15	1070
22904	Sotonera (La)	Nacionalidad extranjera	Europa	01	UE-15	2
22904	Sotonera (La)	Nacionalidad extranjera	Europa	02	Resto de Europa	4
22904	Sotonera (La)	Nacionalidad extranjera	África	03	Magreb	2
22904	Sotonera (La)	Nacionalidad extranjera	América	06	Resto de América	9
22904	Sotonera (La)	Nacionalidad extranjera	Asia	07	Asia	1
22905	Lupiñén-Ortilla	Nacionalidad española	Europa	01	UE-15	340
22905	Lupiñén-Ortilla	Nacionalidad extranjera	Europa	01	UE-15	2
22905	Lupiñén-Ortilla	Nacionalidad extranjera	Asia	07	Asia	1
22906	Santa María de Dulcis	Nacionalidad española	Europa	01	UE-15	216
22906	Santa María de Dulcis	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22906	Santa María de Dulcis	Nacionalidad extranjera	América	06	Resto de América	5
22907	Aínsa-Sobrarbe	Nacionalidad española	Europa	01	UE-15	1555
22907	Aínsa-Sobrarbe	Nacionalidad extranjera	Europa	01	UE-15	17
22907	Aínsa-Sobrarbe	Nacionalidad extranjera	Europa	02	Resto de Europa	4
22907	Aínsa-Sobrarbe	Nacionalidad extranjera	África	03	Magreb	6
22907	Aínsa-Sobrarbe	Nacionalidad extranjera	América	05	América del Norte	1
22907	Aínsa-Sobrarbe	Nacionalidad extranjera	América	06	Resto de América	19
22908	Hoz y Costeán	Nacionalidad española	Europa	01	UE-15	225
22908	Hoz y Costeán	Nacionalidad extranjera	Europa	02	Resto de Europa	6
22908	Hoz y Costeán	Nacionalidad extranjera	América	06	Resto de América	2
22909	Vencillón	Nacionalidad española	Europa	01	UE-15	463
22909	Vencillón	Nacionalidad extranjera	Europa	01	UE-15	1
22909	Vencillón	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22909	Vencillón	Nacionalidad extranjera	África	03	Magreb	2
22909	Vencillón	Nacionalidad extranjera	América	06	Resto de América	1
44001	Ababuj	Nacionalidad española	Europa	01	UE-15	85
44002	Abejuela	Nacionalidad española	Europa	01	UE-15	56
44003	Aguatón	Nacionalidad española	Europa	01	UE-15	26
44004	Aguaviva	Nacionalidad española	Europa	01	UE-15	562
44004	Aguaviva	Nacionalidad extranjera	Europa	01	UE-15	8
44004	Aguaviva	Nacionalidad extranjera	Europa	02	Resto de Europa	13
44004	Aguaviva	Nacionalidad extranjera	América	06	Resto de América	75
44005	Aguilar del Alfambra	Nacionalidad española	Europa	01	UE-15	80
44006	Alacón	Nacionalidad española	Europa	01	UE-15	409
44007	Alba	Nacionalidad española	Europa	01	UE-15	255
44008	Albalate del Arzobispo	Nacionalidad española	Europa	01	UE-15	2166
44008	Albalate del Arzobispo	Nacionalidad extranjera	Europa	01	UE-15	5
44008	Albalate del Arzobispo	Nacionalidad extranjera	Europa	02	Resto de Europa	3
44008	Albalate del Arzobispo	Nacionalidad extranjera	África	03	Magreb	3
44008	Albalate del Arzobispo	Nacionalidad extranjera	América	06	Resto de América	8
44009	Albarracín	Nacionalidad española	Europa	01	UE-15	1006
44009	Albarracín	Nacionalidad extranjera	Europa	01	UE-15	2
44009	Albarracín	Nacionalidad extranjera	África	03	Magreb	4
44009	Albarracín	Nacionalidad extranjera	América	06	Resto de América	38
44010	Albentosa	Nacionalidad española	Europa	01	UE-15	238
44010	Albentosa	Nacionalidad extranjera	Europa	02	Resto de Europa	1
44010	Albentosa	Nacionalidad extranjera	África	03	Magreb	9
44010	Albentosa	Nacionalidad extranjera	América	06	Resto de América	4
44011	Alcaine	Nacionalidad española	Europa	01	UE-15	72
44012	Alcalá de la Selva	Nacionalidad española	Europa	01	UE-15	446
44012	Alcalá de la Selva	Nacionalidad extranjera	Europa	01	UE-15	1
44012	Alcalá de la Selva	Nacionalidad extranjera	Europa	02	Resto de Europa	4
44012	Alcalá de la Selva	Nacionalidad extranjera	África	04	Resto de África	2
44012	Alcalá de la Selva	Nacionalidad extranjera	América	06	Resto de América	57
44013	Alcañiz	Nacionalidad española	Europa	01	UE-15	13021
44013	Alcañiz	Nacionalidad extranjera	Europa	01	UE-15	25
44013	Alcañiz	Nacionalidad extranjera	Europa	02	Resto de Europa	153
44013	Alcañiz	Nacionalidad extranjera	África	03	Magreb	134
44013	Alcañiz	Nacionalidad extranjera	África	04	Resto de África	43
44013	Alcañiz	Nacionalidad extranjera	América	05	América del Norte	1
44013	Alcañiz	Nacionalidad extranjera	América	06	Resto de América	41
44013	Alcañiz	Nacionalidad extranjera	Asia	07	Asia	13
44014	Alcorisa	Nacionalidad española	Europa	01	UE-15	3253
44014	Alcorisa	Nacionalidad extranjera	Europa	01	UE-15	1
44014	Alcorisa	Nacionalidad extranjera	Europa	02	Resto de Europa	19
44014	Alcorisa	Nacionalidad extranjera	África	03	Magreb	31
44014	Alcorisa	Nacionalidad extranjera	África	04	Resto de África	4
44014	Alcorisa	Nacionalidad extranjera	América	05	América del Norte	1
44014	Alcorisa	Nacionalidad extranjera	América	06	Resto de América	28
44014	Alcorisa	Nacionalidad extranjera	Asia	07	Asia	2
44016	Alfambra	Nacionalidad española	Europa	01	UE-15	621
44016	Alfambra	Nacionalidad extranjera	Europa	01	UE-15	1
44016	Alfambra	Nacionalidad extranjera	América	06	Resto de América	2
44017	Aliaga	Nacionalidad española	Europa	01	UE-15	397
44018	Almohaja	Nacionalidad española	Europa	01	UE-15	27
44019	Alobras	Nacionalidad española	Europa	01	UE-15	85
44020	Alpeñés	Nacionalidad española	Europa	01	UE-15	30
44021	Allepuz	Nacionalidad española	Europa	01	UE-15	135
44022	Alloza	Nacionalidad española	Europa	01	UE-15	716
44022	Alloza	Nacionalidad extranjera	Europa	02	Resto de Europa	1
44022	Alloza	Nacionalidad extranjera	África	03	Magreb	2
44022	Alloza	Nacionalidad extranjera	América	06	Resto de América	1
44023	Allueva	Nacionalidad española	Europa	01	UE-15	12
44023	Allueva	Nacionalidad extranjera	Asia	07	Asia	1
44024	Anadón	Nacionalidad española	Europa	01	UE-15	17
44024	Anadón	Nacionalidad extranjera	África	03	Magreb	1
44025	Andorra	Nacionalidad española	Europa	01	UE-15	7738
44025	Andorra	Nacionalidad extranjera	Europa	01	UE-15	4
44025	Andorra	Nacionalidad extranjera	Europa	02	Resto de Europa	18
44025	Andorra	Nacionalidad extranjera	África	03	Magreb	13
44025	Andorra	Nacionalidad extranjera	América	06	Resto de América	22
44025	Andorra	Nacionalidad extranjera	Asia	07	Asia	21
44026	Arcos de las Salinas	Nacionalidad española	Europa	01	UE-15	139
44027	Arens de Lledó	Nacionalidad española	Europa	01	UE-15	232
44028	Argente	Nacionalidad española	Europa	01	UE-15	264
44028	Argente	Nacionalidad extranjera	América	06	Resto de América	2
44029	Ariño	Nacionalidad española	Europa	01	UE-15	819
44029	Ariño	Nacionalidad extranjera	Europa	02	Resto de Europa	33
44029	Ariño	Nacionalidad extranjera	América	06	Resto de América	1
44031	Azaila	Nacionalidad española	Europa	01	UE-15	169
44031	Azaila	Nacionalidad extranjera	Europa	01	UE-15	1
44031	Azaila	Nacionalidad extranjera	Europa	02	Resto de Europa	1
44032	Bádenas	Nacionalidad española	Europa	01	UE-15	25
44033	Báguena	Nacionalidad española	Europa	01	UE-15	463
44034	Bañón	Nacionalidad española	Europa	01	UE-15	168
44035	Barrachina	Nacionalidad española	Europa	01	UE-15	149
44035	Barrachina	Nacionalidad extranjera	Europa	02	Resto de Europa	1
44035	Barrachina	Nacionalidad extranjera	América	06	Resto de América	4
44036	Bea	Nacionalidad española	Europa	01	UE-15	38
44037	Beceite	Nacionalidad española	Europa	01	UE-15	611
44037	Beceite	Nacionalidad extranjera	Europa	01	UE-15	6
44037	Beceite	Nacionalidad extranjera	América	05	América del Norte	1
44037	Beceite	Nacionalidad extranjera	América	06	Resto de América	1
44038	Belmonte de San José	Nacionalidad española	Europa	01	UE-15	137
44038	Belmonte de San José	Nacionalidad extranjera	Europa	02	Resto de Europa	1
44039	Bello	Nacionalidad española	Europa	01	UE-15	358
44039	Bello	Nacionalidad extranjera	América	06	Resto de América	11
44040	Berge	Nacionalidad española	Europa	01	UE-15	233
44040	Berge	Nacionalidad extranjera	Europa	01	UE-15	5
44040	Berge	Nacionalidad extranjera	América	06	Resto de América	10
44041	Bezas	Nacionalidad española	Europa	01	UE-15	65
44042	Blancas	Nacionalidad española	Europa	01	UE-15	171
44042	Blancas	Nacionalidad extranjera	Europa	02	Resto de Europa	8
44043	Blesa	Nacionalidad española	Europa	01	UE-15	139
44044	Bordón	Nacionalidad española	Europa	01	UE-15	136
44044	Bordón	Nacionalidad extranjera	Europa	01	UE-15	2
44045	Bronchales	Nacionalidad española	Europa	01	UE-15	455
44045	Bronchales	Nacionalidad extranjera	Europa	02	Resto de Europa	5
44045	Bronchales	Nacionalidad extranjera	África	03	Magreb	5
44045	Bronchales	Nacionalidad extranjera	América	06	Resto de América	7
44046	Bueña	Nacionalidad española	Europa	01	UE-15	90
44047	Burbáguena	Nacionalidad española	Europa	01	UE-15	303
44048	Cabra de Mora	Nacionalidad española	Europa	01	UE-15	105
44048	Cabra de Mora	Nacionalidad extranjera	Europa	01	UE-15	3
44049	Calaceite	Nacionalidad española	Europa	01	UE-15	1145
44049	Calaceite	Nacionalidad extranjera	Europa	01	UE-15	1
44049	Calaceite	Nacionalidad extranjera	Europa	02	Resto de Europa	1
44049	Calaceite	Nacionalidad extranjera	África	03	Magreb	4
44049	Calaceite	Nacionalidad extranjera	América	06	Resto de América	2
44050	Calamocha	Nacionalidad española	Europa	01	UE-15	3950
44050	Calamocha	Nacionalidad extranjera	Europa	01	UE-15	8
44050	Calamocha	Nacionalidad extranjera	Europa	02	Resto de Europa	27
44050	Calamocha	Nacionalidad extranjera	África	03	Magreb	19
44050	Calamocha	Nacionalidad extranjera	África	04	Resto de África	2
44050	Calamocha	Nacionalidad extranjera	América	06	Resto de América	34
44051	Calanda	Nacionalidad española	Europa	01	UE-15	3389
44051	Calanda	Nacionalidad extranjera	Europa	01	UE-15	7
44051	Calanda	Nacionalidad extranjera	Europa	02	Resto de Europa	22
44051	Calanda	Nacionalidad extranjera	África	03	Magreb	26
44051	Calanda	Nacionalidad extranjera	América	06	Resto de América	30
44052	Calomarde	Nacionalidad española	Europa	01	UE-15	69
44053	Camañas	Nacionalidad española	Europa	01	UE-15	131
44053	Camañas	Nacionalidad extranjera	América	06	Resto de América	9
44054	Camarena de la Sierra	Nacionalidad española	Europa	01	UE-15	161
44054	Camarena de la Sierra	Nacionalidad extranjera	Europa	01	UE-15	3
44054	Camarena de la Sierra	Nacionalidad extranjera	América	06	Resto de América	1
44055	Camarillas	Nacionalidad española	Europa	01	UE-15	101
44055	Camarillas	Nacionalidad extranjera	África	03	Magreb	1
44056	Caminreal	Nacionalidad española	Europa	01	UE-15	773
44056	Caminreal	Nacionalidad extranjera	Europa	01	UE-15	1
44056	Caminreal	Nacionalidad extranjera	América	06	Resto de América	3
44059	Cantavieja	Nacionalidad española	Europa	01	UE-15	719
44059	Cantavieja	Nacionalidad extranjera	Europa	02	Resto de Europa	6
44059	Cantavieja	Nacionalidad extranjera	África	03	Magreb	4
44059	Cantavieja	Nacionalidad extranjera	América	06	Resto de América	1
44059	Cantavieja	Nacionalidad extranjera	Asia	07	Asia	29
44060	Cañada de Benatanduz	Nacionalidad española	Europa	01	UE-15	57
44060	Cañada de Benatanduz	Nacionalidad extranjera	Asia	07	Asia	1
44061	Cañada de Verich (La)	Nacionalidad española	Europa	01	UE-15	103
44061	Cañada de Verich (La)	Nacionalidad extranjera	América	06	Resto de América	1
44062	Cañada Vellida	Nacionalidad española	Europa	01	UE-15	54
44063	Cañizar del Olivar	Nacionalidad española	Europa	01	UE-15	109
44063	Cañizar del Olivar	Nacionalidad extranjera	África	03	Magreb	7
44064	Cascante del Río	Nacionalidad española	Europa	01	UE-15	101
44064	Cascante del Río	Nacionalidad extranjera	Europa	02	Resto de Europa	6
44065	Castejón de Tornos	Nacionalidad española	Europa	01	UE-15	92
44066	Castel de Cabra	Nacionalidad española	Europa	01	UE-15	158
44067	Castelnou	Nacionalidad española	Europa	01	UE-15	104
44067	Castelnou	Nacionalidad extranjera	África	03	Magreb	3
44067	Castelnou	Nacionalidad extranjera	América	06	Resto de América	2
44068	Castelserás	Nacionalidad española	Europa	01	UE-15	814
44068	Castelserás	Nacionalidad extranjera	Europa	01	UE-15	2
44068	Castelserás	Nacionalidad extranjera	África	03	Magreb	8
44070	Castellar (El)	Nacionalidad española	Europa	01	UE-15	87
44071	Castellote	Nacionalidad española	Europa	01	UE-15	785
44071	Castellote	Nacionalidad extranjera	Europa	01	UE-15	5
44071	Castellote	Nacionalidad extranjera	Europa	02	Resto de Europa	3
44071	Castellote	Nacionalidad extranjera	África	03	Magreb	3
44071	Castellote	Nacionalidad extranjera	América	06	Resto de América	6
44074	Cedrillas	Nacionalidad española	Europa	01	UE-15	536
44074	Cedrillas	Nacionalidad extranjera	Europa	02	Resto de Europa	1
44074	Cedrillas	Nacionalidad extranjera	América	05	América del Norte	1
44075	Celadas	Nacionalidad española	Europa	01	UE-15	397
44075	Celadas	Nacionalidad extranjera	Europa	02	Resto de Europa	1
44076	Cella	Nacionalidad española	Europa	01	UE-15	2780
44076	Cella	Nacionalidad extranjera	Europa	01	UE-15	9
44076	Cella	Nacionalidad extranjera	Europa	02	Resto de Europa	3
44076	Cella	Nacionalidad extranjera	África	03	Magreb	23
44076	Cella	Nacionalidad extranjera	África	04	Resto de África	1
44076	Cella	Nacionalidad extranjera	América	06	Resto de América	9
44077	Cerollera (La)	Nacionalidad española	Europa	01	UE-15	108
44077	Cerollera (La)	Nacionalidad extranjera	África	03	Magreb	6
44077	Cerollera (La)	Nacionalidad extranjera	América	06	Resto de América	5
44080	Codoñera (La)	Nacionalidad española	Europa	01	UE-15	324
44080	Codoñera (La)	Nacionalidad extranjera	Europa	01	UE-15	1
44080	Codoñera (La)	Nacionalidad extranjera	África	03	Magreb	4
44082	Corbalán	Nacionalidad española	Europa	01	UE-15	79
44084	Cortes de Aragón	Nacionalidad española	Europa	01	UE-15	117
44084	Cortes de Aragón	Nacionalidad extranjera	África	03	Magreb	1
44085	Cosa	Nacionalidad española	Europa	01	UE-15	93
