Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones cuyo titular es persona física	Explotaciones cuya gestión se lleva por el titular de la misma	Explotaciones cuya gestión se lleva por un miembro de la familia, no titular	Explotaciones cuya gestión se lleva por otra persona
1989	50162	Mara	149	148	145	3	0
1989	50163	María de Huerva	121	115	114	1	0
1989	50164	Mediana de Aragón	154	153	152	1	0
1989	50165	Mequinenza	432	424	399	24	1
1989	50166	Mesones de Isuela	123	121	121	0	0
1989	50167	Mezalocha	76	73	73	0	0
1989	50168	Mianos	14	12	10	2	0
1989	50169	Miedes de Aragón	174	172	171	1	0
1989	50170	Monegrillo	146	140	137	3	0
1989	50171	Moneva	48	46	44	0	2
1989	50172	Monreal de Ariza	81	77	77	0	0
1989	50173	Monterde	38	36	36	0	0
1989	50174	Montón	65	63	61	1	1
1989	50175	Morata de Jalón	521	517	508	9	0
1989	50176	Morata de Jiloca	106	103	101	0	2
1989	50177	Morés	224	218	203	14	1
1989	50178	Moros	306	303	302	1	0
1989	50179	Moyuela	87	86	85	1	0
1989	50180	Mozota	52	49	49	0	0
1989	50181	Muel	202	196	191	2	3
1989	50182	Muela (La)	153	149	149	0	0
1989	50183	Munébrega	197	195	195	0	0
1989	50184	Murero	47	45	44	1	0
1989	50185	Murillo de Gállego	84	81	81	0	0
1989	50186	Navardún	33	29	27	2	0
1989	50187	Nigüella	51	48	47	1	0
1989	50188	Nombrevilla	13	10	10	0	0
1989	50189	Nonaspe	260	256	246	10	0
1989	50190	Novallas	186	185	184	1	0
1989	50191	Novillas	282	280	278	2	0
1989	50192	Nuévalos	18	14	14	0	0
1989	50193	Nuez de Ebro	77	73	73	0	0
1989	50194	Olvés	96	94	87	7	0
1989	50195	Orcajo	20	15	14	0	1
1989	50196	Orera	93	90	90	0	0
1989	50197	Orés	50	48	46	2	0
1989	50198	Oseja	49	48	46	2	0
1989	50199	Osera de Ebro	71	70	67	1	2
1989	50200	Paniza	400	397	397	0	0
1989	50201	Paracuellos de Jiloca	193	190	174	16	0
1989	50202	Paracuellos de la Ribera	205	200	191	9	0
1989	50203	Pastriz	193	191	191	0	0
1989	50204	Pedrola	368	362	361	1	0
1989	50205	Pedrosas (Las)	33	33	32	1	0
1989	50206	Perdiguera	96	94	90	2	2
1989	50207	Piedratajada	99	97	97	0	0
1989	50208	Pina de Ebro	571	553	541	9	3
1989	50209	Pinseque	213	205	204	1	0
1989	50210	Pintanos (Los)	66	63	63	0	0
1989	50211	Plasencia de Jalón	133	130	128	2	0
1989	50212	Pleitas	22	21	20	0	1
1989	50213	Plenas	57	55	55	0	0
1989	50214	Pomer	48	46	46	0	0
1989	50215	Pozuel de Ariza	10	8	8	0	0
1989	50216	Pozuelo de Aragón	80	78	78	0	0
1989	50217	Pradilla de Ebro	126	123	118	5	0
1989	50218	Puebla de Albortón	61	59	59	0	0
1989	50219	Puebla de Alfindén (La)	120	119	119	0	0
1989	50220	Puendeluna	28	27	26	1	0
1989	50221	Purujosa	3	1	1	0	0
1989	50222	Quinto	330	324	319	4	1
1989	50223	Remolinos	109	107	107	0	0
1989	50224	Retascón	44	42	40	2	0
1989	50225	Ricla	652	643	632	8	3
1989	50227	Romanos	39	38	37	1	0
1989	50228	Rueda de Jalón	210	201	201	0	0
1989	50229	Ruesca	42	40	40	0	0
1989	50230	Sádaba	299	293	285	7	1
1989	50231	Salillas de Jalón	57	56	48	5	3
1989	50232	Salvatierra de Esca	56	52	51	1	0
1989	50233	Samper del Salz	23	22	21	1	0
1989	50234	San Martín de la Virgen de Moncayo	29	27	27	0	0
1989	50235	San Mateo de Gállego	252	245	244	0	1
1989	50236	Santa Cruz de Grío	186	182	182	0	0
1989	50237	Santa Cruz de Moncayo	43	42	42	0	0
1989	50238	Santa Eulalia de Gállego	60	56	56	0	0
1989	50239	Santed	23	21	21	0	0
1989	50240	Sástago	273	261	261	0	0
1989	50241	Saviñán	260	257	203	44	10
1989	50242	Sediles	66	64	63	1	0
1989	50243	Sestrica	297	292	257	26	9
1989	50244	Sierra de Luna	97	94	90	4	0
1989	50245	Sigüés	58	53	44	8	1
1989	50246	Sisamón	25	22	22	0	0
1989	50247	Sobradiel	119	117	117	0	0
1989	50248	Sos del Rey Católico	224	217	212	3	2
1989	50249	Tabuenca	196	194	191	3	0
1989	50250	Talamantes	31	27	26	1	0
1989	50251	Tarazona	1233	1218	1209	9	0
1989	50252	Tauste	1197	1174	1123	51	0
1989	50253	Terrer	184	180	179	1	0
1989	50254	Tierga	139	135	133	2	0
1989	50255	Tobed	112	109	109	0	0
1989	50256	Torralba de los Frailes	39	37	37	0	0
1989	50257	Torralba de Ribota	97	94	94	0	0
1989	50258	Torralbilla	25	23	23	0	0
1989	50259	Torrehermosa	30	29	29	0	0
1989	50260	Torrelapaja	12	10	10	0	0
1989	50261	Torrellas	37	35	35	0	0
1989	50262	Torres de Berrellén	343	338	334	2	2
1989	50263	Torrijo de la Cañada	288	281	230	51	0
1989	50264	Tosos	180	175	173	2	0
1989	50265	Trasmoz	41	39	39	0	0
1989	50266	Trasobares	108	106	106	0	0
1989	50267	Uncastillo	406	399	378	14	7
1989	50268	Undués de Lerda	45	43	43	0	0
1989	50269	Urrea de Jalón	113	110	110	0	0
1989	50270	Urriés	35	32	31	0	1
1989	50271	Used	96	93	93	0	0
1989	50272	Utebo	271	264	264	0	0
1989	50273	Valdehorna	35	34	34	0	0
1989	50274	Val de San Martín	25	24	24	0	0
1989	50275	Valmadrid	38	36	36	0	0
1989	50276	Valpalmas	62	61	59	2	0
1989	50277	Valtorres	38	36	36	0	0
1989	50278	Velilla de Ebro	66	65	64	1	0
1989	50279	Velilla de Jiloca	57	55	52	3	0
1989	50280	Vera de Moncayo	133	130	130	0	0
1989	50281	Vierlas	25	23	22	1	0
1989	50282	Vilueña (La)	50	48	48	0	0
1989	50283	Villadoz	30	29	29	0	0
1989	50284	Villafeliche	101	98	97	1	0
1989	50285	Villafranca de Ebro	147	144	143	1	0
1989	50286	Villalba de Perejil	59	58	57	1	0
1989	50287	Villalengua	148	145	145	0	0
1989	50288	Villanueva de Gállego	411	403	381	19	3
1989	50289	Villanueva de Jiloca	53	52	52	0	0
1989	50290	Villanueva de Huerva	255	253	249	4	0
1989	50291	Villar de los Navarros	63	62	62	0	0
1989	50292	Villarreal de Huerva	26	22	21	1	0
1989	50293	Villarroya de la Sierra	356	351	323	28	0
1989	50294	Villarroya del Campo	28	27	27	0	0
1989	50295	Vistabella	124	121	121	0	0
1989	50296	Zaida (La)	60	58	58	0	0
1989	50297	Zaragoza	2310	2259	2026	167	66
1989	50298	Zuera	690	681	664	17	0
1989	50901	Biel	52	48	48	0	0
1999	22001	Abiego	74	68	67	1	0
1999	22002	Abizanda	34	29	27	2	0
1999	22003	Adahuesca	47	45	44	1	0
1999	22004	Agüero	63	60	59	1	0
1999	22006	Aísa	29	25	23	2	0
1999	22007	Albalate de Cinca	235	207	189	17	1
1999	22008	Albalatillo	27	22	19	3	0
1999	22009	Albelda	293	270	266	3	1
1999	22011	Albero Alto	25	23	23	0	0
1999	22012	Albero Bajo	50	48	47	1	0
1999	22013	Alberuela de Tubo	54	50	48	2	0
1999	22014	Alcalá de Gurrea	48	40	37	3	0
1999	22015	Alcalá del Obispo	102	90	85	5	0
1999	22016	Alcampell	261	231	227	3	1
1999	22017	Alcolea de Cinca	223	196	188	8	0
1999	22018	Alcubierre	123	110	105	4	1
1999	22019	Alerre	14	12	12	0	0
1999	22020	Alfántega	33	28	27	1	0
1999	22021	Almudévar	474	442	433	8	1
1999	22022	Almunia de San Juan	136	130	124	6	0
1999	22023	Almuniente	131	120	116	4	0
1999	22024	Alquézar	74	72	71	1	0
1999	22025	Altorricón	221	185	183	1	1
1999	22027	Angüés	100	94	92	2	0
1999	22028	Ansó	29	25	25	0	0
1999	22029	Antillón	40	39	38	1	0
1999	22032	Aragüés del Puerto	14	12	12	0	0
1999	22035	Arén	90	64	64	0	0
1999	22036	Argavieso	33	28	28	0	0
1999	22037	Arguis	21	17	16	1	0
1999	22039	Ayerbe	157	152	148	4	0
1999	22040	Azanuy-Alins	103	95	91	4	0
1999	22041	Azara	55	54	53	1	0
1999	22042	Azlor	58	56	54	2	0
1999	22043	Baells	81	75	75	0	0
1999	22044	Bailo	85	77	73	3	1
1999	22045	Baldellou	88	83	81	1	1
1999	22046	Ballobar	177	169	154	14	1
1999	22047	Banastás	4	3	3	0	0
1999	22048	Barbastro	582	552	537	13	2
1999	22049	Barbués	41	39	35	4	0
1999	22050	Barbuñales	40	39	39	0	0
1999	22051	Bárcabo	48	38	38	0	0
1999	22052	Belver de Cinca	300	281	258	22	1
1999	22053	Benabarre	315	276	271	4	1
1999	22054	Benasque	32	27	26	1	0
1999	22055	Berbegal	105	97	93	3	1
1999	22057	Bielsa	32	31	30	1	0
1999	22058	Bierge	97	88	87	1	0
1999	22059	Biescas	110	98	93	5	0
1999	22060	Binaced	369	338	317	19	2
1999	22061	Binéfar	263	235	209	25	1
1999	22062	Bisaurri	60	45	45	0	0
1999	22063	Biscarrués	64	59	57	2	0
1999	22064	Blecua y Torres	57	54	52	2	0
1999	22066	Boltaña	47	44	44	0	0
1999	22067	Bonansa	15	11	11	0	0
1999	22068	Borau	10	9	9	0	0
1999	22069	Broto	55	54	54	0	0
1999	22072	Caldearenas	54	49	46	3	0
1999	22074	Campo	18	11	11	0	0
1999	22075	Camporrells	74	67	67	0	0
1999	22076	Canal de Berdún	106	104	103	1	0
1999	22077	Candasnos	95	89	86	3	0
1999	22078	Canfranc	3	2	2	0	0
1999	22079	Capdesaso	27	24	24	0	0
1999	22080	Capella	84	80	80	0	0
1999	22081	Casbas de Huesca	112	106	103	2	1
1999	22082	Castejón del Puente	64	57	57	0	0
1999	22083	Castejón de Monegros	148	135	115	12	8
1999	22084	Castejón de Sos	23	18	18	0	0
1999	22085	Castelflorite	60	56	52	4	0
1999	22086	Castiello de Jaca	16	13	13	0	0
1999	22087	Castigaleu	20	18	18	0	0
1999	22088	Castillazuelo	76	74	71	1	2
1999	22089	Castillonroy	94	86	85	1	0
1999	22090	Colungo	59	54	51	3	0
1999	22094	Chalamera	42	36	35	1	0
1999	22095	Chía	15	12	12	0	0
1999	22096	Chimillas	14	14	13	0	1
1999	22099	Esplús	180	159	142	17	0
1999	22102	Estada	42	38	36	2	0
1999	22103	Estadilla	172	162	151	9	2
1999	22105	Estopiñán del Castillo	96	89	87	1	1
1999	22106	Fago	5	5	5	0	0
1999	22107	Fanlo	13	6	6	0	0
1999	22109	Fiscal	42	39	39	0	0
1999	22110	Fonz	237	219	210	8	1
1999	22111	Foradada del Toscar	56	43	42	1	0
1999	22112	Fraga	1186	1063	1028	33	2
1999	22113	Fueva (La)	159	138	133	5	0
1999	22114	Gistaín	54	51	47	4	0
1999	22115	Grado (El)	154	146	144	1	1
1999	22116	Grañén	282	237	225	12	0
1999	22117	Graus	333	303	301	2	0
1999	22119	Gurrea de Gállego	306	277	259	18	0
1999	22122	Hoz de Jaca	11	8	7	1	0
1999	22124	Huerto	108	99	94	5	0
1999	22125	Huesca	379	335	321	13	1
1999	22126	Ibieca	22	20	18	1	1
1999	22127	Igriés	43	38	33	3	2
1999	22128	Ilche	102	93	90	3	0
1999	22129	Isábena	89	73	73	0	0
1999	22130	Jaca	274	263	250	12	1
1999	22131	Jasa	12	11	11	0	0
1999	22133	Labuerda	12	10	10	0	0
1999	22135	Laluenga	75	71	70	1	0
1999	22136	Lalueza	232	219	216	3	0
1999	22137	Lanaja	313	295	272	22	1
1999	22139	Laperdiguera	22	21	21	0	0
1999	22141	Lascellas-Ponzano	68	62	62	0	0
1999	22142	Lascuarre	34	30	30	0	0
1999	22143	Laspaúles	60	46	46	0	0
1999	22144	Laspuña	31	30	29	1	0
1999	22149	Loarre	120	115	110	4	1
1999	22150	Loporzano	197	185	181	3	1
1999	22151	Loscorrales	44	41	37	4	0
1999	22155	Monesma y Cajigar	40	31	30	1	0
1999	22156	Monflorite-Lascasas	52	47	46	0	1
1999	22157	Montanuy	94	70	69	1	0
1999	22158	Monzón	715	659	618	41	0
1999	22160	Naval	47	42	42	0	0
1999	22162	Novales	37	35	35	0	0
1999	22163	Nueno	85	78	76	2	0
1999	22164	Olvena	25	22	19	3	0
1999	22165	Ontiñena	152	138	124	14	0
1999	22167	Osso de Cinca	169	139	132	6	1
1999	22168	Palo	14	11	11	0	0
1999	22170	Panticosa	29	24	24	0	0
1999	22172	Peñalba	131	118	112	5	1
1999	22173	Peñas de Riglos (Las)	71	66	61	4	1
1999	22174	Peralta de Alcofea	182	175	173	2	0
1999	22175	Peralta de Calasanz	162	153	148	4	1
1999	22176	Peraltilla	57	53	51	2	0
1999	22177	Perarrúa	33	27	26	1	0
1999	22178	Pertusa	42	33	32	1	0
1999	22181	Piracés	49	45	44	1	0
1999	22182	Plan	71	66	60	6	0
1999	22184	Poleñino	79	72	68	4	0
1999	22186	Pozán de Vero	84	81	75	6	0
1999	22187	Puebla de Castro (La)	61	58	55	3	0
1999	22188	Puente de Montañana	16	14	14	0	0
1999	22189	Puértolas	38	29	29	0	0
1999	22190	Pueyo de Araguás (El)	34	31	29	2	0
1999	22193	Pueyo de Santa Cruz	48	41	41	0	0
1999	22195	Quicena	12	8	7	1	0
1999	22197	Robres	170	156	139	17	0
1999	22199	Sabiñánigo	207	182	169	13	0
1999	22200	Sahún	41	33	33	0	0
1999	22201	Salas Altas	123	121	113	8	0
1999	22202	Salas Bajas	61	58	54	4	0
1999	22203	Salillas	34	28	27	1	0
1999	22204	Sallent de Gállego	92	86	84	2	0
1999	22205	San Esteban de Litera	289	277	256	21	0
1999	22206	Sangarrén	66	57	56	1	0
1999	22207	San Juan de Plan	41	38	37	1	0
1999	22208	Santa Cilia	27	25	24	1	0
1999	22209	Santa Cruz de la Serós	20	19	17	2	0
1999	22212	Santaliestra y San Quílez	19	14	14	0	0
1999	22213	Sariñena	440	407	388	17	2
1999	22214	Secastilla	36	32	32	0	0
1999	22215	Seira	26	18	18	0	0
1999	22217	Sena	155	146	142	4	0
1999	22218	Senés de Alcubierre	22	17	16	1	0
1999	22220	Sesa	63	57	56	1	0
1999	22221	Sesué	14	12	11	1	0
1999	22222	Siétamo	98	93	90	3	0
1999	22223	Sopeira	26	19	19	0	0
1999	22225	Tamarite de Litera	535	470	446	24	0
1999	22226	Tardienta	145	133	127	6	0
1999	22227	Tella-Sin	18	14	14	0	0
1999	22228	Tierz	26	24	24	0	0
1999	22229	Tolva	72	64	64	0	0
1999	22230	Torla-Ordesa	44	38	38	0	0
1999	22232	Torralba de Aragón	44	34	30	4	0
1999	22233	Torre la Ribera	58	46	46	0	0
1999	22234	Torrente de Cinca	133	121	117	4	0
1999	22235	Torres de Alcanadre	39	34	34	0	0
1999	22236	Torres de Barbués	57	49	47	2	0
1999	22239	Tramaced	35	32	29	3	0
1999	22242	Valfarta	43	40	38	2	0
1999	22243	Valle de Bardají	18	12	12	0	0
1999	22244	Valle de Lierp	17	13	12	1	0
1999	22245	Velilla de Cinca	81	78	78	0	0
1999	22246	Beranuy	65	54	54	0	0
1999	22247	Viacamp y Litera	32	20	20	0	0
1999	22248	Vicién	12	8	8	0	0
1999	22249	Villanova	11	8	8	0	0
1999	22250	Villanúa	11	10	10	0	0
1999	22251	Villanueva de Sigena	125	109	105	4	0
1999	22252	Yebra de Basa	25	20	20	0	0
1999	22253	Yésero	9	6	6	0	0
1999	22254	Zaidín	377	317	303	12	2
1999	22901	Valle de Hecho	93	91	84	7	0
1999	22902	Puente la Reina de Jaca	52	49	46	3	0
1999	22903	San Miguel del Cinca	217	192	189	3	0
1999	22904	Sotonera (La)	354	345	327	18	0
1999	22905	Lupiñén-Ortilla	79	69	67	2	0
1999	22906	Santa María de Dulcis	83	77	76	1	0
1999	22907	Aínsa-Sobrarbe	150	143	137	6	0
1999	22908	Hoz y Costeán	131	129	124	5	0
1999	22909	Vencillón	111	95	93	2	0
1999	44001	Ababuj	27	24	22	2	0
1999	44002	Abejuela	15	12	10	2	0
1999	44003	Aguatón	10	8	7	1	0
1999	44004	Aguaviva	95	87	85	2	0
1999	44005	Aguilar del Alfambra	25	23	21	2	0
1999	44006	Alacón	121	112	109	3	0
1999	44007	Alba	72	68	65	3	0
1999	44008	Albalate del Arzobispo	536	526	522	4	0
1999	44009	Albarracín	85	62	51	9	2
1999	44010	Albentosa	53	48	46	2	0
1999	44011	Alcaine	12	9	9	0	0
1999	44012	Alcalá de la Selva	49	46	45	1	0
1999	44013	Alcañiz	928	874	834	38	2
1999	44014	Alcorisa	525	509	483	25	1
1999	44016	Alfambra	161	151	130	20	1
1999	44017	Aliaga	80	64	58	4	2
1999	44018	Almohaja	6	4	4	0	0
1999	44019	Alobras	16	15	14	1	0
1999	44020	Alpeñés	14	10	10	0	0
1999	44021	Allepuz	53	47	47	0	0
1999	44022	Alloza	303	296	290	6	0
1999	44023	Allueva	3	1	1	0	0
1999	44024	Anadón	6	4	2	2	0
1999	44025	Andorra	502	492	479	12	1
1999	44026	Arcos de las Salinas	21	19	19	0	0
1999	44027	Arens de Lledó	81	78	70	8	0
1999	44028	Argente	80	78	77	1	0
1999	44029	Ariño	94	92	88	4	0
1999	44031	Azaila	61	55	52	3	0
1999	44032	Bádenas	9	4	4	0	0
1999	44033	Báguena	195	193	192	1	0
1999	44034	Bañón	42	37	37	0	0
1999	44035	Barrachina	28	25	23	2	0
1999	44036	Bea	9	4	4	0	0
1999	44037	Beceite	105	100	100	0	0
1999	44038	Belmonte de San José	96	93	93	0	0
1999	44039	Bello	116	105	92	8	5
1999	44040	Berge	84	82	75	7	0
1999	44041	Bezas	9	8	8	0	0
1999	44042	Blancas	48	45	45	0	0
1999	44043	Blesa	56	52	49	3	0
1999	44044	Bordón	26	22	20	2	0
1999	44045	Bronchales	24	21	20	1	0
1999	44046	Bueña	39	33	28	5	0
1999	44047	Burbáguena	137	130	127	3	0
1999	44048	Cabra de Mora	20	17	15	2	0
1999	44049	Calaceite	304	283	278	3	2
1999	44050	Calamocha	434	397	373	16	8
1999	44051	Calanda	477	458	436	22	0
1999	44052	Calomarde	11	9	7	2	0
1999	44053	Camañas	46	44	41	3	0
1999	44054	Camarena de la Sierra	12	11	11	0	0
1999	44055	Camarillas	32	28	28	0	0
1999	44056	Caminreal	173	167	163	3	1
1999	44059	Cantavieja	125	122	121	1	0
1999	44060	Cañada de Benatanduz	24	22	22	0	0
1999	44061	Cañada de Verich (La)	20	16	16	0	0
1999	44062	Cañada Vellida	31	29	27	2	0
1999	44063	Cañizar del Olivar	17	13	13	0	0
1999	44064	Cascante del Río	25	22	22	0	0
1999	44065	Castejón de Tornos	39	36	36	0	0
1999	44066	Castel de Cabra	33	27	27	0	0
1999	44067	Castelnou	28	23	23	0	0
1999	44068	Castelserás	119	110	107	3	0
1999	44070	Castellar (El)	24	23	21	2	0
1999	44071	Castellote	260	245	242	3	0
1999	44074	Cedrillas	95	88	75	13	0
1999	44075	Celadas	117	113	96	15	2
1999	44076	Cella	379	375	366	9	0
1999	44077	Cerollera (La)	59	55	54	1	0
1999	44080	Codoñera (La)	67	66	56	9	1
1999	44082	Corbalán	27	25	22	3	0
1999	44084	Cortes de Aragón	20	18	17	1	0
1999	44085	Cosa	30	28	28	0	0
1999	44086	Cretas	203	184	176	7	1
1999	44087	Crivillén	33	26	25	1	0
1999	44088	Cuba (La)	20	18	18	0	0
1999	44089	Cubla	20	18	18	0	0
1999	44090	Cucalón	22	20	20	0	0
1999	44092	Cuervo (El)	20	18	16	2	0
1999	44093	Cuevas de Almudén	31	28	21	7	0
1999	44094	Cuevas Labradas	36	33	33	0	0
1999	44096	Ejulve	40	34	32	2	0
1999	44097	Escorihuela	69	64	60	4	0
1999	44099	Escucha	36	33	25	8	0
1999	44100	Estercuel	55	50	48	2	0
1999	44101	Ferreruela de Huerva	40	38	38	0	0
1999	44102	Fonfría	12	9	9	0	0
1999	44103	Formiche Alto	37	30	27	3	0
1999	44105	Fórnoles	80	78	77	1	0
1999	44106	Fortanete	72	70	69	0	1
1999	44107	Foz-Calanda	96	86	83	3	0
1999	44108	Fresneda (La)	167	162	158	3	1
1999	44109	Frías de Albarracín	21	19	19	0	0
1999	44110	Fuenferrada	20	17	17	0	0
1999	44111	Fuentes Calientes	40	39	39	0	0
1999	44112	Fuentes Claras	168	164	155	9	0
1999	44113	Fuentes de Rubielos	14	9	9	0	0
1999	44114	Fuentespalda	89	84	71	13	0
1999	44115	Galve	40	38	34	4	0
1999	44116	Gargallo	20	17	14	3	0
1999	44117	Gea de Albarracín	47	46	43	3	0
1999	44118	Ginebrosa (La)	94	83	83	0	0
1999	44119	Griegos	22	20	19	1	0
1999	44120	Guadalaviar	41	39	38	1	0
1999	44121	Gúdar	21	19	18	1	0
1999	44122	Híjar	254	231	220	11	0
1999	44123	Hinojosa de Jarque	53	48	46	2	0
1999	44124	Hoz de la Vieja (La)	30	27	27	0	0
1999	44125	Huesa del Común	29	22	22	0	0
1999	44126	Iglesuela del Cid (La)	31	30	30	0	0
1999	44127	Jabaloyas	15	14	12	2	0
1999	44128	Jarque de la Val	34	30	23	7	0
1999	44129	Jatiel	11	11	11	0	0
1999	44130	Jorcas	15	13	11	1	1
1999	44131	Josa	8	6	6	0	0
1999	44132	Lagueruela	26	23	22	1	0
1999	44133	Lanzuela	19	16	16	0	0
1999	44135	Libros	72	69	65	4	0
1999	44136	Lidón	32	29	26	3	0
1999	44137	Linares de Mora	54	52	52	0	0
1999	44138	Loscos	56	53	49	3	1
1999	44141	Lledó	55	49	46	3	0
1999	44142	Maicas	6	4	4	0	0
1999	44143	Manzanera	83	81	81	0	0
1999	44144	Martín del Río	49	44	41	3	0
1999	44145	Mas de las Matas	156	146	146	0	0
1999	44146	Mata de los Olmos (La)	39	33	33	0	0
1999	44147	Mazaleón	179	165	158	7	0
1999	44148	Mezquita de Jarque	29	27	18	9	0
1999	44149	Mirambel	39	35	35	0	0
1999	44150	Miravete de la Sierra	20	16	16	0	0
1999	44151	Molinos	101	97	91	6	0
1999	44152	Monforte de Moyuela	37	32	28	4	0
1999	44153	Monreal del Campo	234	224	224	0	0
1999	44154	Monroyo	146	139	138	1	0
1999	44155	Montalbán	28	21	19	2	0
1999	44156	Monteagudo del Castillo	28	25	24	1	0
1999	44157	Monterde de Albarracín	16	15	14	1	0
1999	44158	Mora de Rubielos	139	132	122	9	1
1999	44159	Moscardón	12	11	10	1	0
1999	44160	Mosqueruela	119	114	108	6	0
1999	44161	Muniesa	179	174	166	7	1
1999	44163	Noguera de Albarracín	21	19	19	0	0
1999	44164	Nogueras	15	12	12	0	0
1999	44165	Nogueruelas	32	31	29	2	0
1999	44167	Obón	25	22	22	0	0
1999	44168	Odón	85	81	77	3	1
1999	44169	Ojos Negros	71	63	51	12	0
1999	44171	Olba	11	9	8	1	0
1999	44172	Oliete	166	158	156	2	0
1999	44173	Olmos (Los)	62	59	58	1	0
1999	44174	Orihuela del Tremedal	25	23	23	0	0
1999	44175	Orrios	56	54	52	2	0
1999	44176	Palomar de Arroyos	23	20	20	0	0
1999	44177	Pancrudo	55	52	49	3	0
1999	44178	Parras de Castellote (Las)	41	38	35	3	0
1999	44179	Peñarroya de Tastavins	159	151	150	0	1
1999	44180	Peracense	19	17	13	4	0
1999	44181	Peralejos	19	17	16	1	0
1999	44182	Perales del Alfambra	70	63	59	4	0
1999	44183	Pitarque	27	25	25	0	0
1999	44184	Plou	11	10	9	1	0
1999	44185	Pobo (El)	48	45	37	8	0
1999	44187	Portellada (La)	108	104	102	2	0
1999	44189	Pozondón	19	17	15	2	0
1999	44190	Pozuel del Campo	25	22	22	0	0
1999	44191	Puebla de Híjar (La)	171	155	148	7	0
1999	44192	Puebla de Valverde (La)	112	106	98	6	2
1999	44193	Puertomingalvo	39	37	37	0	0
1999	44194	Ráfales	84	81	80	1	0
1999	44195	Rillo	32	29	27	1	1
1999	44196	Riodeva	44	43	38	5	0
1999	44197	Ródenas	17	14	10	4	0
1999	44198	Royuela	26	25	24	1	0
1999	44199	Rubiales	4	3	2	1	0
1999	44200	Rubielos de la Cérida	12	11	11	0	0
1999	44201	Rubielos de Mora	63	51	49	1	1
1999	44203	Salcedillo	2	1	1	0	0
1999	44204	Saldón	7	6	5	1	0
1999	44205	Samper de Calanda	196	188	185	3	0
1999	44206	San Agustín	50	47	42	5	0
1999	44207	San Martín del Río	141	135	131	4	0
1999	44208	Santa Cruz de Nogueras	8	7	7	0	0
1999	44209	Santa Eulalia	144	138	110	28	0
1999	44210	Sarrión	184	181	169	12	0
1999	44211	Segura de los Baños	21	18	17	1	0
1999	44212	Seno	21	20	20	0	0
1999	44213	Singra	40	38	33	5	0
1999	44215	Terriente	33	29	25	4	0
1999	44216	Teruel	395	366	349	17	0
1999	44217	Toril y Masegoso	12	10	9	1	0
1999	44218	Tormón	4	3	3	0	0
1999	44219	Tornos	107	103	100	2	1
1999	44220	Torralba de los Sisones	75	70	69	0	1
1999	44221	Torrecilla de Alcañiz	89	86	84	1	1
1999	44222	Torrecilla del Rebollar	46	41	37	4	0
1999	44223	Torre de Arcas	38	34	34	0	0
1999	44224	Torre de las Arcas	14	11	11	0	0
1999	44225	Torre del Compte	55	53	50	3	0
1999	44226	Torrelacárcel	68	66	54	12	0
1999	44227	Torre los Negros	24	20	15	5	0
1999	44228	Torremocha de Jiloca	37	36	29	7	0
1999	44229	Torres de Albarracín	25	22	19	3	0
1999	44230	Torrevelilla	74	68	67	1	0
1999	44231	Torrijas	11	10	10	0	0
1999	44232	Torrijo del Campo	140	137	135	1	1
1999	44234	Tramacastiel	36	33	31	2	0
1999	44235	Tramacastilla	18	15	15	0	0
1999	44236	Tronchón	27	22	22	0	0
1999	44237	Urrea de Gaén	137	125	109	16	0
1999	44238	Utrillas	19	12	11	1	0
1999	44239	Valacloche	9	8	7	1	0
1999	44240	Valbona	37	35	35	0	0
1999	44241	Valdealgorfa	185	179	177	2	0
1999	44243	Valdecuenca	2	1	1	0	0
1999	44244	Valdelinares	20	18	18	0	0
1999	44245	Valdeltormo	54	50	48	2	0
1999	44246	Valderrobres	414	400	393	7	0
1999	44247	Valjunquera	116	108	104	4	0
1999	44249	Vallecillo (El)	3	2	2	0	0
1999	44250	Veguillas de la Sierra	8	7	7	0	0
1999	44251	Villafranca del Campo	77	75	68	7	0
1999	44252	Villahermosa del Campo	37	34	33	1	0
1999	44256	Villanueva del Rebollar de la Sierra	16	14	14	0	0
1999	44257	Villar del Cobo	33	30	30	0	0
1999	44258	Villar del Salz	15	13	12	1	0
1999	44260	Villarluengo	55	46	45	1	0
1999	44261	Villarquemado	178	173	161	12	0
1999	44262	Villarroya de los Pinares	37	33	32	1	0
1999	44263	Villastar	55	50	45	5	0
1999	44264	Villel	47	40	39	1	0
1999	44265	Vinaceite	81	74	73	1	0
1999	44266	Visiedo	61	57	51	6	0
1999	44267	Vivel del Río Martín	20	19	17	2	0
1999	44268	Zoma (La)	7	6	3	3	0
1999	50001	Abanto	31	28	27	1	0
1999	50002	Acered	108	103	100	3	0
1999	50003	Agón	61	55	55	0	0
1999	50004	Aguarón	328	322	295	26	1
1999	50005	Aguilón	85	79	71	8	0
1999	50006	Ainzón	299	290	282	8	0
1999	50007	Aladrén	41	39	38	1	0
1999	50008	Alagón	379	361	339	21	1
1999	50009	Alarba	68	66	63	3	0
1999	50010	Alberite de San Juan	29	27	23	4	0
1999	50011	Albeta	8	8	8	0	0
1999	50012	Alborge	14	10	8	2	0
1999	50013	Alcalá de Ebro	76	72	71	1	0
1999	50014	Alcalá de Moncayo	60	55	43	12	0
1999	50015	Alconchel de Ariza	33	30	26	4	0
1999	50016	Aldehuela de Liestos	24	24	21	2	1
