Año	Comarca código	Comarca nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2007	10	Los Monegros	15924	358069	287452	1808263	1799577
2007	11	Bajo Cinca / Baix Cinca	16207	324964	315517	2464147	2438143
2007	12	Tarazona y el Moncayo	15264	202976	198617	1586252	1579702
2007	13	Campo de Borja	12850	179750	177894	1204514	1203806
2007	14	Aranda	9593	98103	96803	486376	469376
2007	15	Ribera Alta del Ebro	17849	856512	626167	3617439	3601755
2007	16	Valdejalón	20486	519163	519163	3169050	3166435
2007	17	D.C. Zaragoza	478772	21309185	20275916	110659633	108184790
2007	18	Ribera Baja del Ebro	7627	170792	149706	765894	763344
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11671	204272	204272	1472281	1432619
2007	20	Comunidad de Calatayud	46529	773627	699935	3862964	3834068
2007	21	Campo de Cariñena	10128	165954	149570	940025	937757
2007	22	Campo de Belchite	6766	60458	60458	309627	309618
2007	23	Bajo Martín	8097	112231	101520	589481	563712
2007	24	Campo de Daroca	10967	121907	107524	552979	551330
2007	25	Jiloca	19944	240843	235228	1355498	1310994
2007	26	Cuencas Mineras	13483	123566	99895	614593	588177
2007	27	Andorra-Sierra de Arcos	10808	211924	197272	1147161	1106453
2007	28	Bajo Aragón	26793	478256	445027	3046382	2931150
2007	29	Comunidad de Teruel	42898	1061833	1061833	5478463	5135773
2007	30	Maestrazgo	6475	50572	50572	269987	259183
2007	31	Sierra de Albarracín	9540	119248	96686	529504	506812
2007	32	Gúdar-Javalambre	17935	226507	208757	1223871	1173769
2007	33	Matarraña / Matarranya	10169	170360	149089	869316	832348
2008	01	La Jacetania	40008	975014	950685	7223903	7193974
2008	02	Alto Gállego	25052	544089	503189	3710991	3702669
2008	03	Sobrarbe	8444	169480	151105	1012516	1006825
2008	04	La Ribagorza	17662	435207	349394	2351149	2350692
2008	05	Cinco Villas	28701	835241	629937	3891023	3865233
2008	06	Hoya de Huesca / Plana de Uesca	61320	1703373	1523468	13032648	12888773
2008	07	Somontano de Barbastro	20391	532594	457331	3466820	3452331
2008	08	Cinca Medio	17881	360114	346246	3150266	3139622
2008	09	La Litera / La Llitera	14731	337880	293977	2393065	2388276
2008	10	Los Monegros	16235	375896	306092	1946885	1946870
2008	11	Bajo Cinca / Baix Cinca	16381	330146	326572	2551579	2531747
2008	12	Tarazona y el Moncayo	15562	214742	208285	1667728	1660199
2008	13	Campo de Borja	13142	188006	186667	1305077	1305066
2008	14	Aranda	9704	117303	111027	564853	489849
