Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre	Comarca Código
2007	10	15	Industria de productos alimenticios y bebidas	NC	Municipio del centro de trabajo fuera de Aragón	
2007	10	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	NC	Municipio del centro de trabajo fuera de Aragón	
2006	10	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	07	Somontano de Barbastro	07
2006	10	15	Industria de productos alimenticios y bebidas	09	La Litera / La Llitera	09
2006	10	25	Fabricacion de productos de caucho y materias plasticas	13	Campo de Borja	13
2006	10	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2006	10	15	Industria de productos alimenticios y bebidas	20	Comunidad de Calatayud	20
2006	10	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	20	Comunidad de Calatayud	20
2006	10	85	Actividades sanitarias y veterinarias, servicio social	20	Comunidad de Calatayud	20
2006	10	15	Industria de productos alimenticios y bebidas	26	Cuencas Mineras	26
2006	10	26	Fabricación de otros productos minerales no metálicos	28	Bajo Aragón	28
2006	10	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	NC	Municipio del centro de trabajo fuera de Aragón	
2005	10	55	Hostelería	15	Ribera Alta del Ebro	15
2005	10	63	Actividades anexas a los transportes; actividades de agencias de viajes	15	Ribera Alta del Ebro	15
2005	10	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	20	Comunidad de Calatayud	20
2005	10	28	Fabricación de productos metálicos, excepto maquinaria y equipo	21	Campo de Cariñena	21
2005	10	31	Fabricación de maquinaria y material eléctrico	28	Bajo Aragón	28
2004	10	15	Industria de productos alimenticios y bebidas	04	La Ribagorza	04
2004	10	75	Administración pública, defensa y seguridad social obligatoria	12	Tarazona y el Moncayo	12
2004	10	75	Administración pública, defensa y seguridad social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2004	10	31	Fabricación de maquinaria y material eléctrico	28	Bajo Aragón	28
2003	10	55	Hostelería	01	La Jacetania	01
2003	10	25	Fabricacion de productos de caucho y materias plasticas	13	Campo de Borja	13
2003	10	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	16	Valdejalón	16
2003	10	85	Actividades sanitarias y veterinarias, servicio social	20	Comunidad de Calatayud	20
2003	10	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	29	Comunidad de Teruel	29
2008	9	75	Administración pública, defensa y seguridad social obligatoria	01	La Jacetania	01
2008	9	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	09	La Litera / La Llitera	09
2008	9	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	28	Bajo Aragón	28
2007	9	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	09	La Litera / La Llitera	09
2007	9	34	Fabricación de vehículos de motor, remolques y semirremolques	12	Tarazona y el Moncayo	12
2007	9	17	Industria textil	13	Campo de Borja	13
2007	9	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	28	Bajo Aragón	28
2006	9	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	05	Cinco Villas	05
2006	9	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	12	Tarazona y el Moncayo	12
2006	9	15	Industria de productos alimenticios y bebidas	21	Campo de Cariñena	21
2006	9	26	Fabricación de otros productos minerales no metálicos	23	Bajo Martín	23
2006	9	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	28	Bajo Aragón	28
2006	9	55	Hostelería	28	Bajo Aragón	28
2005	9	55	Hostelería	02	Alto Gállego	02
2005	9	55	Hostelería	03	Sobrarbe	03
2005	9	15	Industria de productos alimenticios y bebidas	04	La Ribagorza	04
2005	9	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	07	Somontano de Barbastro	07
2005	9	75	Administración pública, defensa y seguridad social obligatoria	09	La Litera / La Llitera	09
2005	9	85	Actividades sanitarias y veterinarias, servicio social	10	Los Monegros	10
2005	9	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	12	Tarazona y el Moncayo	12
2005	9	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	13	Campo de Borja	13
2005	9	26	Fabricación de otros productos minerales no metálicos	23	Bajo Martín	23
2004	9	55	Hostelería	01	La Jacetania	01
2004	9	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	07	Somontano de Barbastro	07
2004	9	55	Hostelería	11	Bajo Cinca / Baix Cinca	11
2004	9	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	29	Comunidad de Teruel	29
2003	9	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	01	La Jacetania	01
2003	9	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	11	Bajo Cinca / Baix Cinca	11
2003	9	75	Administración pública, defensa y seguridad social obligatoria	12	Tarazona y el Moncayo	12
2003	9	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	16	Valdejalón	16
2003	9	25	Fabricacion de productos de caucho y materias plasticas	16	Valdejalón	16
2003	9	26	Fabricación de otros productos minerales no metálicos	28	Bajo Aragón	28
2008	8	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	01	La Jacetania	01
2008	8	21	Industria del papel	11	Bajo Cinca / Baix Cinca	11
2008	8	55	Hostelería	11	Bajo Cinca / Baix Cinca	11
2008	8	85	Actividades sanitarias y veterinarias, servicio social	11	Bajo Cinca / Baix Cinca	11
2008	8	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	12	Tarazona y el Moncayo	12
2007	8	85	Actividades sanitarias y veterinarias, servicio social	01	La Jacetania	01
2007	8	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	07	Somontano de Barbastro	07
2007	8	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	07	Somontano de Barbastro	07
2007	8	55	Hostelería	08	Cinca Medio	08
2007	8	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	11	Bajo Cinca / Baix Cinca	11
2007	8	15	Industria de productos alimenticios y bebidas	18	Ribera Baja del Ebro	18
2007	8	75	Administración pública, defensa y seguridad social obligatoria	24	Campo de Daroca	24
2007	8	34	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras	26
2007	8	55	Hostelería	27	Andorra-Sierra de Arcos	27
2007	8	55	Hostelería	28	Bajo Aragón	28
2006	8	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	01	La Jacetania	01
2006	8	74	Otras actividades empresariales	01	La Jacetania	01
2006	8	75	Administración pública, defensa y seguridad social obligatoria	05	Cinco Villas	05
2006	8	55	Hostelería	07	Somontano de Barbastro	07
2006	8	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	09	La Litera / La Llitera	09
2006	8	15	Industria de productos alimenticios y bebidas	11	Bajo Cinca / Baix Cinca	11
2006	8	25	Fabricacion de productos de caucho y materias plasticas	11	Bajo Cinca / Baix Cinca	11
2006	8	55	Hostelería	11	Bajo Cinca / Baix Cinca	11
2006	8	85	Actividades sanitarias y veterinarias, servicio social	12	Tarazona y el Moncayo	12
2006	8	34	Fabricación de vehículos de motor, remolques y semirremolques	22	Campo de Belchite	22
2006	8	15	Industria de productos alimenticios y bebidas	25	Jiloca	25
2006	8	25	Fabricacion de productos de caucho y materias plasticas	25	Jiloca	25
2006	8	34	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras	26
2006	8	15	Industria de productos alimenticios y bebidas	28	Bajo Aragón	28
2006	8	85	Actividades sanitarias y veterinarias, servicio social	28	Bajo Aragón	28
2006	8	74	Otras actividades empresariales	29	Comunidad de Teruel	29
2005	8	85	Actividades sanitarias y veterinarias, servicio social	01	La Jacetania	01
2005	8	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	07	Somontano de Barbastro	07
2005	8	55	Hostelería	07	Somontano de Barbastro	07
2005	8	85	Actividades sanitarias y veterinarias, servicio social	07	Somontano de Barbastro	07
2005	8	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	11	Bajo Cinca / Baix Cinca	11
2005	8	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	14	Aranda	14
2005	8	15	Industria de productos alimenticios y bebidas	18	Ribera Baja del Ebro	18
2005	8	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	NC	Municipio del centro de trabajo fuera de Aragón	
2004	8	85	Actividades sanitarias y veterinarias, servicio social	01	La Jacetania	01
2004	8	55	Hostelería	13	Campo de Borja	13
2004	8	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2003	8	55	Hostelería	02	Alto Gállego	02
2003	8	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	05	Cinco Villas	05
2003	8	85	Actividades sanitarias y veterinarias, servicio social	09	La Litera / La Llitera	09
2003	8	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca	11
2003	8	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	12	Tarazona y el Moncayo	12
2003	8	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	28	Bajo Aragón	28
2003	8	55	Hostelería	28	Bajo Aragón	28
2003	8	55	Hostelería	32	Gúdar-Javalambre	32
2003	8	74	Otras actividades empresariales	NC	Municipio del centro de trabajo fuera de Aragón	99
2008	7	74	Otras actividades empresariales	01	La Jacetania	01
2008	7	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	04	La Ribagorza	04
2008	7	75	Administración pública, defensa y seguridad social obligatoria	04	La Ribagorza	04
2008	7	92	Actividades recreativas, culturales y deportivas	04	La Ribagorza	04
2008	7	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	09	La Litera / La Llitera	09
2008	7	17	Industria textil	13	Campo de Borja	13
2008	7	25	Fabricacion de productos de caucho y materias plasticas	13	Campo de Borja	13
2008	7	15	Industria de productos alimenticios y bebidas	18	Ribera Baja del Ebro	18
2008	7	17	Industria textil	18	Ribera Baja del Ebro	18
2008	7	75	Administración pública, defensa y seguridad social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2008	7	26	Fabricación de otros productos minerales no metálicos	23	Bajo Martín	23
2008	7	26	Fabricación de otros productos minerales no metálicos	27	Andorra-Sierra de Arcos	27
2008	7	55	Hostelería	32	Gúdar-Javalambre	32
2008	7	74	Otras actividades empresariales	NC	Municipio del centro de trabajo fuera de Aragón	
2007	7	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	01	La Jacetania	01
2007	7	75	Administración pública, defensa y seguridad social obligatoria	01	La Jacetania	01
2007	7	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	07	Somontano de Barbastro	07
2007	7	85	Actividades sanitarias y veterinarias, servicio social	09	La Litera / La Llitera	09
2007	7	35	Fabricación de otro material de transporte	12	Tarazona y el Moncayo	12
2007	7	75	Administración pública, defensa y seguridad social obligatoria	12	Tarazona y el Moncayo	12
2007	7	85	Actividades sanitarias y veterinarias, servicio social	12	Tarazona y el Moncayo	12
2007	7	75	Administración pública, defensa y seguridad social obligatoria	13	Campo de Borja	13
2007	7	55	Hostelería	32	Gúdar-Javalambre	32
2006	7	85	Actividades sanitarias y veterinarias, servicio social	01	La Jacetania	01
2006	7	55	Hostelería	03	Sobrarbe	03
2006	7	85	Actividades sanitarias y veterinarias, servicio social	08	Cinca Medio	08
2006	7	75	Administración pública, defensa y seguridad social obligatoria	25	Jiloca	25
2006	7	55	Hostelería	32	Gúdar-Javalambre	32
2006	7	74	Otras actividades empresariales	NC	Municipio del centro de trabajo fuera de Aragón	
2005	7	75	Administración pública, defensa y seguridad social obligatoria	01	La Jacetania	01
2005	7	75	Administración pública, defensa y seguridad social obligatoria	04	La Ribagorza	04
2005	7	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	09	La Litera / La Llitera	09
2005	7	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	09	La Litera / La Llitera	09
2005	7	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca	11
2005	7	25	Fabricacion de productos de caucho y materias plasticas	12	Tarazona y el Moncayo	12
2005	7	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2005	7	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	20	Comunidad de Calatayud	20
2005	7	85	Actividades sanitarias y veterinarias, servicio social	20	Comunidad de Calatayud	20
2005	7	15	Industria de productos alimenticios y bebidas	21	Campo de Cariñena	21
2005	7	75	Administración pública, defensa y seguridad social obligatoria	28	Bajo Aragón	28
2004	7	24	Industria química	02	Alto Gállego	02
2004	7	55	Hostelería	02	Alto Gállego	02
2004	7	75	Administración pública, defensa y seguridad social obligatoria	04	La Ribagorza	04
2004	7	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	05	Cinco Villas	05
2004	7	75	Administración pública, defensa y seguridad social obligatoria	09	La Litera / La Llitera	09
2004	7	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca	11
2004	7	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	11	Bajo Cinca / Baix Cinca	11
2004	7	25	Fabricacion de productos de caucho y materias plasticas	13	Campo de Borja	13
2004	7	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	13	Campo de Borja	13
2004	7	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2004	7	15	Industria de productos alimenticios y bebidas	28	Bajo Aragón	28
2004	7	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	NC	Municipio del centro de trabajo fuera de Aragón	
2003	7	85	Actividades sanitarias y veterinarias, servicio social	01	La Jacetania	01
2003	7	55	Hostelería	03	Sobrarbe	03
2003	7	55	Hostelería	04	La Ribagorza	04
2003	7	75	Administración pública, defensa y seguridad social obligatoria	04	La Ribagorza	04
2003	7	85	Actividades sanitarias y veterinarias, servicio social	05	Cinco Villas	05
2003	7	74	Otras actividades empresariales	07	Somontano de Barbastro	07
2003	7	75	Administración pública, defensa y seguridad social obligatoria	09	La Litera / La Llitera	09
2003	7	31	Fabricación de maquinaria y material eléctrico	22	Campo de Belchite	22
2003	7	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	27	Andorra-Sierra de Arcos	27
2003	7	31	Fabricación de maquinaria y material eléctrico	28	Bajo Aragón	28
2008	6	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	07	Somontano de Barbastro	07
2008	6	36	Fabricación de muebles; otras industrias manufactureras	08	Cinca Medio	08
2008	6	55	Hostelería	08	Cinca Medio	08
2008	6	15	Industria de productos alimenticios y bebidas	09	La Litera / La Llitera	09
2008	6	55	Hostelería	09	La Litera / La Llitera	09
2008	6	75	Administración pública, defensa y seguridad social obligatoria	12	Tarazona y el Moncayo	12
2008	6	15	Industria de productos alimenticios y bebidas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2008	6	15	Industria de productos alimenticios y bebidas	21	Campo de Cariñena	21
2008	6	85	Actividades sanitarias y veterinarias, servicio social	25	Jiloca	25
2008	6	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	28	Bajo Aragón	28
2008	6	75	Administración pública, defensa y seguridad social obligatoria	28	Bajo Aragón	28
2008	6	15	Industria de productos alimenticios y bebidas	NC	Municipio del centro de trabajo fuera de Aragón	
2007	6	15	Industria de productos alimenticios y bebidas	04	La Ribagorza	04
2007	6	75	Administración pública, defensa y seguridad social obligatoria	04	La Ribagorza	04
2007	6	75	Administración pública, defensa y seguridad social obligatoria	08	Cinca Medio	08
2007	6	55	Hostelería	09	La Litera / La Llitera	09
2007	6	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	10	Los Monegros	10
2007	6	55	Hostelería	11	Bajo Cinca / Baix Cinca	11
2007	6	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	13	Campo de Borja	13
2007	6	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	21	Campo de Cariñena	21
2006	6	85	Actividades sanitarias y veterinarias, servicio social	02	Alto Gállego	02
2006	6	75	Administración pública, defensa y seguridad social obligatoria	04	La Ribagorza	04
2006	6	55	Hostelería	13	Campo de Borja	13
2006	6	75	Administración pública, defensa y seguridad social obligatoria	13	Campo de Borja	13
2006	6	75	Administración pública, defensa y seguridad social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2006	6	15	Industria de productos alimenticios y bebidas	33	Matarraña / Matarranya	33
2005	6	74	Otras actividades empresariales	01	La Jacetania	01
2005	6	55	Hostelería	08	Cinca Medio	08
2005	6	74	Otras actividades empresariales	08	Cinca Medio	08
2005	6	85	Actividades sanitarias y veterinarias, servicio social	08	Cinca Medio	08
2005	6	15	Industria de productos alimenticios y bebidas	09	La Litera / La Llitera	09
2005	6	75	Administración pública, defensa y seguridad social obligatoria	11	Bajo Cinca / Baix Cinca	11
2005	6	15	Industria de productos alimenticios y bebidas	12	Tarazona y el Moncayo	12
2005	6	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	18	Ribera Baja del Ebro	18
2005	6	17	Industria textil	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2005	6	31	Fabricación de maquinaria y material eléctrico	22	Campo de Belchite	22
2005	6	15	Industria de productos alimenticios y bebidas	26	Cuencas Mineras	26
2005	6	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	29	Comunidad de Teruel	29
2005	6	64	Correos y telecomunicaciones	29	Comunidad de Teruel	29
2004	6	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	01	La Jacetania	01
2004	6	75	Administración pública, defensa y seguridad social obligatoria	05	Cinco Villas	05
2004	6	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	07	Somontano de Barbastro	07
2004	6	75	Administración pública, defensa y seguridad social obligatoria	07	Somontano de Barbastro	07
2004	6	15	Industria de productos alimenticios y bebidas	09	La Litera / La Llitera	09
2004	6	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	10	Los Monegros	10
2004	6	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	12	Tarazona y el Moncayo	12
2004	6	15	Industria de productos alimenticios y bebidas	18	Ribera Baja del Ebro	18
2004	6	15	Industria de productos alimenticios y bebidas	21	Campo de Cariñena	21
2004	6	15	Industria de productos alimenticios y bebidas	33	Matarraña / Matarranya	33
2003	6	28	Fabricación de productos metálicos, excepto maquinaria y equipo	09	La Litera / La Llitera	09
2003	6	15	Industria de productos alimenticios y bebidas	12	Tarazona y el Moncayo	12
2003	6	15	Industria de productos alimenticios y bebidas	13	Campo de Borja	13
2003	6	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	14	Aranda	14
2003	6	15	Industria de productos alimenticios y bebidas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2003	6	26	Fabricación de otros productos minerales no metálicos	23	Bajo Martín	23
2003	6	15	Industria de productos alimenticios y bebidas	28	Bajo Aragón	28
2008	5	92	Actividades recreativas, culturales y deportivas	02	Alto Gállego	02
2008	5	85	Actividades sanitarias y veterinarias, servicio social	03	Sobrarbe	03
2008	5	15	Industria de productos alimenticios y bebidas	04	La Ribagorza	04
2008	5	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	07	Somontano de Barbastro	07
2008	5	74	Otras actividades empresariales	08	Cinca Medio	08
2008	5	75	Administración pública, defensa y seguridad social obligatoria	08	Cinca Medio	08
2008	5	75	Administración pública, defensa y seguridad social obligatoria	09	La Litera / La Llitera	09
2008	5	85	Actividades sanitarias y veterinarias, servicio social	10	Los Monegros	10
2008	5	15	Industria de productos alimenticios y bebidas	12	Tarazona y el Moncayo	12
2008	5	31	Fabricación de maquinaria y material eléctrico	12	Tarazona y el Moncayo	12
2008	5	74	Otras actividades empresariales	12	Tarazona y el Moncayo	12
2008	5	85	Actividades sanitarias y veterinarias, servicio social	12	Tarazona y el Moncayo	12
2008	5	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	14	Aranda	14
2008	5	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2008	5	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	21	Campo de Cariñena	21
2008	5	27	Metalurgia	23	Bajo Martín	23
2008	5	75	Administración pública, defensa y seguridad social obligatoria	27	Andorra-Sierra de Arcos	27
2007	5	74	Otras actividades empresariales	08	Cinca Medio	08
2007	5	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	14	Aranda	14
2007	5	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2007	5	75	Administración pública, defensa y seguridad social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2007	5	15	Industria de productos alimenticios y bebidas	21	Campo de Cariñena	21
2007	5	34	Fabricación de vehículos de motor, remolques y semirremolques	22	Campo de Belchite	22
2007	5	55	Hostelería	25	Jiloca	25
2007	5	21	Industria del papel	27	Andorra-Sierra de Arcos	27
2007	5	75	Administración pública, defensa y seguridad social obligatoria	27	Andorra-Sierra de Arcos	27
2007	5	15	Industria de productos alimenticios y bebidas	33	Matarraña / Matarranya	33
2007	5	74	Otras actividades empresariales	NC	Municipio del centro de trabajo fuera de Aragón	
2006	5	60	Transporte terrestre; transporte por tuberías	02	Alto Gállego	02
2006	5	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	07	Somontano de Barbastro	07
2006	5	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	07	Somontano de Barbastro	07
2006	5	75	Administración pública, defensa y seguridad social obligatoria	08	Cinca Medio	08
2006	5	75	Administración pública, defensa y seguridad social obligatoria	09	La Litera / La Llitera	09
2006	5	75	Administración pública, defensa y seguridad social obligatoria	10	Los Monegros	10
2006	5	35	Fabricación de otro material de transporte	12	Tarazona y el Moncayo	12
2006	5	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	18	Ribera Baja del Ebro	18
2006	5	25	Fabricacion de productos de caucho y materias plasticas	18	Ribera Baja del Ebro	18
2006	5	28	Fabricación de productos metálicos, excepto maquinaria y equipo	21	Campo de Cariñena	21
2006	5	75	Administración pública, defensa y seguridad social obligatoria	24	Campo de Daroca	24
2006	5	28	Fabricación de productos metálicos, excepto maquinaria y equipo	26	Cuencas Mineras	26
2006	5	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	27	Andorra-Sierra de Arcos	27
2006	5	55	Hostelería	27	Andorra-Sierra de Arcos	27
2005	5	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	02	Alto Gállego	02
2005	5	85	Actividades sanitarias y veterinarias, servicio social	02	Alto Gállego	02
2005	5	93	Actividades diversas de servicios personales	02	Alto Gállego	02
2005	5	55	Hostelería	04	La Ribagorza	04
2005	5	75	Administración pública, defensa y seguridad social obligatoria	27	Andorra-Sierra de Arcos	27
2005	5	15	Industria de productos alimenticios y bebidas	33	Matarraña / Matarranya	33
2004	5	60	Transporte terrestre; transporte por tuberías	01	La Jacetania	01
2004	5	74	Otras actividades empresariales	01	La Jacetania	01
2004	5	92	Actividades recreativas, culturales y deportivas	02	Alto Gállego	02
2004	5	55	Hostelería	03	Sobrarbe	03
2004	5	85	Actividades sanitarias y veterinarias, servicio social	10	Los Monegros	10
2004	5	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	11	Bajo Cinca / Baix Cinca	11
2004	5	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	18	Ribera Baja del Ebro	18
2004	5	75	Administración pública, defensa y seguridad social obligatoria	18	Ribera Baja del Ebro	18
2004	5	17	Industria textil	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2004	5	15	Industria de productos alimenticios y bebidas	24	Campo de Daroca	24
2004	5	34	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras	26
2004	5	26	Fabricación de otros productos minerales no metálicos	28	Bajo Aragón	28
2004	5	80	Educación	28	Bajo Aragón	28
2004	5	85	Actividades sanitarias y veterinarias, servicio social	28	Bajo Aragón	28
2004	5	15	Industria de productos alimenticios y bebidas	32	Gúdar-Javalambre	32
2003	5	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	09	La Litera / La Llitera	09
2003	5	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	09	La Litera / La Llitera	09
2003	5	18	Industria de la confección y de la peletería	18	Ribera Baja del Ebro	18
