CCAA código	CCAA nombre	Año	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
02	Aragón	2011	96	Otros servicios personales	5496
02	Aragón	2012	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	7625
02	Aragón	2012	02	Silvicultura y explotación forestal	149
02	Aragón	2012	05	Extracción de antracita, hulla y lignito	41
02	Aragón	2012	06	Extracción de crudo de petróleo y gas natural	2
02	Aragón	2012	07	Extracción de minerales metálicos	2
02	Aragón	2012	08	Otras industrias extractivas	308
02	Aragón	2012	09	Actividades de apoyo a las industrias extractivas	1
02	Aragón	2012	10	Industria de la alimentación	1495
02	Aragón	2012	11	Fabricación de bebidas	266
02	Aragón	2012	13	Industria textil	237
02	Aragón	2012	14	Confección de prendas de vestir	450
02	Aragón	2012	15	Industria del cuero y del calzado	187
02	Aragón	2012	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	624
02	Aragón	2012	17	Industria del papel	87
02	Aragón	2012	18	Artes gráficas y reproducción de soportes grabados	564
02	Aragón	2012	20	Industria química	263
02	Aragón	2012	21	Fabricación de productos farmacéuticos	31
02	Aragón	2012	22	Fabricación de productos de caucho y plásticos	280
02	Aragón	2012	23	Fabricación de otros productos minerales no metálicos	512
02	Aragón	2012	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	77
02	Aragón	2012	25	Fabricación de productos metálicos, excepto maquinaria y equipo	2285
02	Aragón	2012	26	Fabricación de productos informáticos, electrónicos y ópticos	141
02	Aragón	2012	27	Fabricación de material y equipo eléctrico	210
02	Aragón	2012	28	Fabricación de maquinaria y equipo n.c.o.p.	641
02	Aragón	2012	29	Fabricación de vehículos de motor, remolques y semirremolques	247
02	Aragón	2012	30	Fabricación de otro material de transporte	48
02	Aragón	2012	31	Fabricación de muebles	680
02	Aragón	2012	32	Otras industrias manufactureras	389
02	Aragón	2012	33	Reparación e instalación de maquinaria y equipo	541
02	Aragón	2012	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1893
02	Aragón	2012	36	Captación, depuración y distribución de agua	86
02	Aragón	2012	37	Recogida y tratamiento de aguas residuales	187
02	Aragón	2012	38	Recogida, tratamiento y eliminación de residuos; valorización	150
02	Aragón	2012	39	Actividades de descontaminación y otros servicios de gestión de residuos	142
02	Aragón	2012	41	Construcción de edificios	8134
02	Aragón	2012	42	Ingeniería civil	1230
02	Aragón	2012	43	Actividades de construcción especializada	13820
02	Aragón	2012	45	Venta y reparación de vehículos de motor y motocicletas	3825
02	Aragón	2012	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	10423
02	Aragón	2012	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	29198
02	Aragón	2012	49	Transporte terrestre y por tubería	7270
02	Aragón	2012	50	Transporte marítimo y por vías navegables interiores	4
02	Aragón	2012	51	Transporte aéreo	16
02	Aragón	2012	52	Almacenamiento y actividades anexas al transporte	866
02	Aragón	2012	53	Actividades postales y de correos	258
02	Aragón	2012	55	Servicios de alojamiento	1977
02	Aragón	2012	56	Servicios de comidas y bebidas	11444
02	Aragón	2012	58	Edición	442
02	Aragón	2012	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	314
02	Aragón	2012	60	Actividades de programación y emisión de radio y televisión	104
02	Aragón	2012	61	Telecomunicaciones	162
02	Aragón	2012	62	Programación, consultoría y otras actividades relacionadas con la informática	1097
02	Aragón	2012	63	Servicios de información	115
02	Aragón	2012	64	Servicios financieros, excepto seguros y fondos de pensiones	1588
02	Aragón	2012	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	194
02	Aragón	2012	66	Actividades auxiliares a los servicios financieros y a los seguros	2666
02	Aragón	2012	68	Actividades inmobiliarias	15145
02	Aragón	2012	69	Actividades jurídicas y de contabilidad	5238
02	Aragón	2012	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	4655
02	Aragón	2012	72	Investigación y desarrollo	592
02	Aragón	2012	73	Publicidad y estudios de mercado	1204
02	Aragón	2012	74	Otras actividades profesionales, científicas y técnicas	1721
02	Aragón	2012	75	Actividades veterinarias	452
02	Aragón	2012	77	Actividades de alquiler	1743
02	Aragón	2012	78	Actividades relacionadas con el empleo	188
02	Aragón	2012	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	417
