Año	Comarca código	Comarca nombre	Rústico, parcelas	Rústico, subparcelas	Rústico, superficie	Rústico, valor catastral
2014	30	Maestrazgo	41175	71955	119900,35	26305,92
2014	31	Sierra de Albarracín	101655	130555	140359,81	51885,96
2014	32	Gúdar-Javalambre	141978	180329	234106,33	56331,27
2014	33	Matarraña / Matarranya	51631	96276	93102,56	37037
2015	01	La Jacetania	39373	64322	184594,82	92952,09
2015	02	Alto Gállego	31951	45683	133042,47	37675,4
2015	03	Sobrarbe	50528	78044	220079,36	56454,01
2015	04	La Ribagorza	70763	113100	245554,1	73792,26
2015	05	Cinco Villas	98172	162817	304356,55	330997,73
2015	06	Hoya de Huesca / Plana de Uesca	85161	126463	251235,97	201463,1
2015	07	Somontano de Barbastro	55555	80541	116401,13	94835,35
2015	08	Cinca Medio	27648	37207	56403,96	127952,02
2015	09	La Litera / La Llitera	32394	47572	72760,69	205436,79
2015	10	Los Monegros	83013	127350	275562,22	280523,07
2015	11	Bajo Cinca / Baix Cinca	44944	70427	141088,55	301926,57
2015	12	Tarazona y el Moncayo	59504	71262	45142,15	37895,23
2015	13	Campo de Borja	73614	86452	68627,85	58847,64
2015	14	Aranda	42336	52194	55827,21	17299,64
2015	15	Ribera Alta del Ebro	37922	41981	39986,97	95913,1
2015	16	Valdejalón	64363	82885	91893,37	173302,04
2015	17	D.C. Zaragoza	80960	111012	214167,05	839840,81
2015	18	Ribera Baja del Ebro	29832	45099	98744,52	96433,74
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	61715	94395	99340,32	95577,29
2015	20	Comunidad de Calatayud	214392	273037	250336,05	130213
2015	21	Campo de Cariñena	49277	60473	76663,09	54708,81
2015	22	Campo de Belchite	70537	87296	103879,44	44803,33
2015	23	Bajo Martín	51038	67520	79368,44	39072,51
2015	24	Campo de Daroca	80254	106988	111300,34	60704,6
2015	25	Jiloca	154495	188330	192978,35	82487,31
2015	26	Cuencas Mineras	110565	158287	140610,29	40935,81
2015	27	Andorra-Sierra de Arcos	64742	88464	66776,21	32629,78
2015	28	Bajo Aragón	95600	125806	128853,18	83673,57
2015	29	Comunidad de Teruel	188898	238549	277391,16	90458,06
2015	30	Maestrazgo	41227	71843	120038,21	32233,28
2015	31	Sierra de Albarracín	101642	130521	140356,14	53694,18
2015	32	Gúdar-Javalambre	141969	180302	234089,98	58197
2015	33	Matarraña / Matarranya	51651	96216	93126,45	37774,32
2016	01	La Jacetania	39179	64045	184755,48	96344,71
2016	02	Alto Gállego	31991	45605	133369,15	43109,2
2016	03	Sobrarbe	50032	77768	220120,65	60091,48
2016	04	La Ribagorza	70952	113074	245619,91	83451,8
2016	05	Cinco Villas	98141	162389	304039,84	373441,57
2016	06	Hoya de Huesca / Plana de Uesca	84598	126239	251142,73	222603,6
2016	07	Somontano de Barbastro	55563	80353	116415,89	108321,94
2016	08	Cinca Medio	27620	37049	56398,17	128462,1
2016	09	La Litera / La Llitera	32458	47583	72826,83	207756,7
2016	10	Los Monegros	83018	127095	275584,32	307165,68
2016	11	Bajo Cinca / Baix Cinca	44531	70164	141322,64	317073,19
2016	12	Tarazona y el Moncayo	59412	71093	45057,14	38243,84
2016	13	Campo de Borja	73545	86016	68560,22	63668,88
2016	14	Aranda	42583	52349	55911,29	18966,38
2016	15	Ribera Alta del Ebro	37852	41840	39427,92	98525,72
2016	16	Valdejalón	64253	82633	91495,93	175890,09
2016	17	D.C. Zaragoza	80751	110717	213993,98	844984,11
2016	18	Ribera Baja del Ebro	29814	45035	98701,82	97599,48
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	61633	94181	99026,99	101956,41
2016	20	Comunidad de Calatayud	214327	272784	250305,96	134146,37
2016	21	Campo de Cariñena	49230	60375	76614,03	59228,74
2016	22	Campo de Belchite	70462	87214	103870,95	45266,18
2016	23	Bajo Martín	51027	67316	79176,93	44284,79
2016	24	Campo de Daroca	80234	107017	111292,7	64123,03
2016	25	Jiloca	154516	188312	192982,55	86558,67
2016	26	Cuencas Mineras	110551	158243	140431,76	42964,92
2016	27	Andorra-Sierra de Arcos	64754	88431	66773,99	32947,81
2016	28	Bajo Aragón	95610	125784	128845,63	87683,69
2016	29	Comunidad de Teruel	188851	238488	277249,46	95211,47
2016	30	Maestrazgo	41275	71866	119973,22	32261,28
2016	31	Sierra de Albarracín	101704	130522	140353,93	54246,86
2016	32	Gúdar-Javalambre	142475	180451	234111,92	58436,14
2016	33	Matarraña / Matarranya	51650	96194	93141,49	40908,1
