Mes y año	Municipio código	Municipio nombre	Sexo	Régimen	Afiliaciones en alta
Septiembre 2014	22232	Torralba de Aragón	Hombres	General	11
Septiembre 2014	22232	Torralba de Aragón	Mujeres	General	3
Septiembre 2014	22233	Torre la Ribera	Hombres	General	2
Septiembre 2014	22233	Torre la Ribera	Mujeres	General	24
Septiembre 2014	22234	Torrente de Cinca	Hombres	General	114
Septiembre 2014	22234	Torrente de Cinca	Mujeres	General	65
Septiembre 2014	22235	Torres de Alcanadre	Hombres	General	4
Septiembre 2014	22235	Torres de Alcanadre	Mujeres	General	3
Septiembre 2014	22236	Torres de Barbués	Hombres	General	20
Septiembre 2014	22236	Torres de Barbués	Mujeres	General	5
Septiembre 2014	22239	Tramaced	Hombres	General	5
Septiembre 2014	22239	Tramaced	Mujeres	General	2
Septiembre 2014	22242	Valfarta	Hombres	General	6
Septiembre 2014	22242	Valfarta	Mujeres	General	3
Septiembre 2014	22243	Valle de Bardají	Hombres	General	5
Septiembre 2014	22244	Valle de Lierp	Hombres	General	2
Septiembre 2014	22245	Velilla de Cinca	Hombres	General	41
Septiembre 2014	22245	Velilla de Cinca	Mujeres	General	30
Septiembre 2014	22246	Beranuy	Hombres	General	6
Septiembre 2014	22246	Beranuy	Mujeres	General	1
Septiembre 2014	22247	Viacamp y Litera	Hombres	General	6
Septiembre 2014	22247	Viacamp y Litera	Mujeres	General	2
Septiembre 2014	22248	Vicién	Hombres	General	17
Septiembre 2014	22248	Vicién	Mujeres	General	2
Septiembre 2014	22249	Villanova	Hombres	General	11
Septiembre 2014	22249	Villanova	Mujeres	General	8
Septiembre 2014	22250	Villanúa	Hombres	General	31
Septiembre 2014	22250	Villanúa	Mujeres	General	31
Septiembre 2014	22251	Villanueva de Sigena	Hombres	General	45
Septiembre 2014	22251	Villanueva de Sigena	Mujeres	General	7
Septiembre 2014	22252	Yebra de Basa	Hombres	General	1
Septiembre 2014	22254	Zaidín	Hombres	General	253
Septiembre 2014	22254	Zaidín	Mujeres	General	128
Septiembre 2014	22901	Valle de Hecho	Hombres	General	54
Septiembre 2014	22901	Valle de Hecho	Mujeres	General	64
Septiembre 2014	22902	Puente la Reina de Jaca	Hombres	General	22
Septiembre 2014	22902	Puente la Reina de Jaca	Mujeres	General	22
Septiembre 2014	22903	San Miguel del Cinca	Hombres	General	116
Septiembre 2014	22903	San Miguel del Cinca	Mujeres	General	39
Septiembre 2014	22904	Sotonera (La)	Hombres	General	202
Septiembre 2014	22904	Sotonera (La)	Mujeres	General	66
Septiembre 2014	22905	Lupiñén-Ortilla	Hombres	General	48
Septiembre 2014	22905	Lupiñén-Ortilla	Mujeres	General	9
Septiembre 2014	22906	Santa María de Dulcis	Hombres	General	3
Septiembre 2014	22906	Santa María de Dulcis	Mujeres	General	3
Septiembre 2014	22907	Aínsa-Sobrarbe	Hombres	General	273
Septiembre 2014	22907	Aínsa-Sobrarbe	Mujeres	General	301
Septiembre 2014	22908	Hoz y Costeán	Hombres	General	21
Septiembre 2014	22908	Hoz y Costeán	Mujeres	General	3
Septiembre 2014	22909	Vencillón	Hombres	General	58
Septiembre 2014	22909	Vencillón	Mujeres	General	18
Septiembre 2014	44001	Ababuj	Hombres	General	6
Septiembre 2014	44002	Abejuela	Mujeres	General	2
Septiembre 2014	44003	Aguatón	Hombres	General	1
Septiembre 2014	44003	Aguatón	Mujeres	General	2
Septiembre 2014	44004	Aguaviva	Hombres	General	58
Septiembre 2014	44004	Aguaviva	Mujeres	General	28
Septiembre 2014	44005	Aguilar del Alfambra	Hombres	General	11
Septiembre 2014	44005	Aguilar del Alfambra	Mujeres	General	2
Septiembre 2014	44006	Alacón	Hombres	General	4
Septiembre 2014	44006	Alacón	Mujeres	General	3
Septiembre 2014	44007	Alba	Hombres	General	26
Septiembre 2014	44007	Alba	Mujeres	General	6
Septiembre 2014	44008	Albalate del Arzobispo	Hombres	General	260
Septiembre 2014	44008	Albalate del Arzobispo	Mujeres	General	151
Septiembre 2014	44009	Albarracín	Hombres	General	97
Septiembre 2014	44009	Albarracín	Mujeres	General	189
Septiembre 2014	44010	Albentosa	Hombres	General	86
Septiembre 2014	44010	Albentosa	Mujeres	General	55
Septiembre 2014	44011	Alcaine	Hombres	General	2
Septiembre 2014	44011	Alcaine	Mujeres	General	1
Septiembre 2014	44012	Alcalá de la Selva	Hombres	General	31
Septiembre 2014	44012	Alcalá de la Selva	Mujeres	General	24
Septiembre 2014	44013	Alcañiz	Hombres	General	2304
Septiembre 2014	44013	Alcañiz	Mujeres	General	2586
Septiembre 2014	44014	Alcorisa	Hombres	General	282
Septiembre 2014	44014	Alcorisa	Mujeres	General	198
Septiembre 2014	44016	Alfambra	Hombres	General	31
Septiembre 2014	44016	Alfambra	Mujeres	General	43
Septiembre 2014	44017	Aliaga	Hombres	General	32
Septiembre 2014	44017	Aliaga	Mujeres	General	28
Septiembre 2014	44018	Almohaja	Hombres	General	1
Septiembre 2014	44019	Alobras	Hombres	General	3
Septiembre 2014	44020	Alpeñés	Hombres	General	1
Septiembre 2014	44021	Allepuz	Hombres	General	3
Septiembre 2014	44021	Allepuz	Mujeres	General	8
