Provincia código	Provincia nombre	Tipo variación	Sexo	Nacionalidad Continente codigo	Nacionalidad Continente	Año	Variaciones
22	Huesca	Interna	Hombres	1	Europa	2008	1775
22	Huesca	Interna	Hombres	2	África	2008	243
22	Huesca	Interna	Hombres	3	América	2008	123
22	Huesca	Interna	Hombres	4	Asia	2008	9
22	Huesca	Interna	Mujeres	1	Europa	2008	1895
22	Huesca	Interna	Mujeres	2	África	2008	77
22	Huesca	Interna	Mujeres	3	América	2008	151
22	Huesca	Interna	Mujeres	4	Asia	2008	4
44	Teruel	Externa	Hombres	1	Europa	2008	1183
44	Teruel	Externa	Hombres	2	África	2008	603
44	Teruel	Externa	Hombres	3	América	2008	204
44	Teruel	Externa	Hombres	4	Asia	2008	72
44	Teruel	Externa	Mujeres	1	Europa	2008	1009
44	Teruel	Externa	Mujeres	2	África	2008	151
44	Teruel	Externa	Mujeres	3	América	2008	224
44	Teruel	Externa	Mujeres	4	Asia	2008	22
44	Teruel	Interna	Hombres	1	Europa	2008	1193
44	Teruel	Interna	Hombres	2	África	2008	334
44	Teruel	Interna	Hombres	3	América	2008	145
44	Teruel	Interna	Hombres	4	Asia	2008	20
44	Teruel	Interna	Mujeres	1	Europa	2008	1184
44	Teruel	Interna	Mujeres	2	África	2008	103
44	Teruel	Interna	Mujeres	3	América	2008	148
44	Teruel	Interna	Mujeres	4	Asia	2008	2
50	Zaragoza	Externa	Hombres	1	Europa	2008	4826
50	Zaragoza	Externa	Hombres	2	África	2008	1431
50	Zaragoza	Externa	Hombres	3	América	2008	999
50	Zaragoza	Externa	Hombres	4	Asia	2008	521
50	Zaragoza	Externa	Mujeres	1	Europa	2008	4543
50	Zaragoza	Externa	Mujeres	2	África	2008	491
50	Zaragoza	Externa	Mujeres	3	América	2008	1163
50	Zaragoza	Externa	Mujeres	4	Asia	2008	226
50	Zaragoza	Interna	Hombres	1	Europa	2008	6082
50	Zaragoza	Interna	Hombres	2	África	2008	442
50	Zaragoza	Interna	Hombres	3	América	2008	405
50	Zaragoza	Interna	Hombres	4	Asia	2008	30
50	Zaragoza	Interna	Mujeres	1	Europa	2008	6080
50	Zaragoza	Interna	Mujeres	2	África	2008	174
50	Zaragoza	Interna	Mujeres	3	América	2008	584
50	Zaragoza	Interna	Mujeres	4	Asia	2008	16
