Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
28	Bajo Aragón	2018	Secano	17173	7924	0	0	0	4	0	45	3	0	0	31	7823	7	0	0	11	203	2	201	0	8936	8936	110	0
29	Comunidad de Teruel	2018	Regadío	124	98	88	0	0	0	0	0	1	0	0	0	7	2	0	0	0	1	0	1	0	0	0	25	0
29	Comunidad de Teruel	2018	Secano	1514	524	1	0	0	0	0	0	0	0	0	11	504	8	0	0	0	12	0	12	0	0	0	978	0
30	Maestrazgo	2018	Regadío	110	22	0	0	0	0	0	8	0	0	0	0	11	3	0	0	0	0	0	0	0	88	88	0	0
30	Maestrazgo	2018	Secano	1064	341	0	0	0	0	0	7	0	0	0	0	333	1	0	0	0	48	0	48	0	379	379	296	0
31	Sierra de Albarracín	2018	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	Sierra de Albarracín	2018	Secano	57	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	55	0
32	Gúdar-Javalambre	2018	Regadío	698	24	0	0	0	0	9	0	0	0	0	6	9	0	0	0	0	1	0	1	0	0	0	673	0
32	Gúdar-Javalambre	2018	Secano	4112	370	0	0	0	0	28	0	0	0	0	3	332	7	0	0	0	0	0	0	0	0	0	3742	0
33	Matarraña / Matarranya	2018	Regadío	564	279	0	0	0	10	25	134	3	0	0	1	95	2	7	0	2	8	0	8	0	277	277	0	0
33	Matarraña / Matarranya	2018	Secano	18991	8530	1	0	0	0	25	12	1	0	0	0	8429	13	28	0	21	580	0	580	0	9596	9596	285	0
01	La Jacetania	2017	Regadío	3	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
01	La Jacetania	2017	Secano	175	54	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	12	0	12	0	0	0	109	0
02	Alto Gállego	2017	Regadío	24	24	18	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02	Alto Gállego	2017	Secano	29	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	25	0
03	Sobrarbe	2017	Regadío	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0
03	Sobrarbe	2017	Secano	392	145	1	0	0	0	0	0	0	0	0	0	140	4	0	0	0	30	1	29	0	159	159	58	0
04	La Ribagorza	2017	Regadío	11	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	0	3	3	3	0
04	La Ribagorza	2017	Secano	1417	439	0	0	0	0	1	0	0	0	0	1	418	9	4	0	6	191	0	191	0	379	379	408	0
05	Cinco Villas	2017	Regadío	1655	1207	29	12	0	1	3	4	0	0	0	10	1090	56	0	0	2	57	0	57	0	377	377	14	0
05	Cinco Villas	2017	Secano	1421	1040	0	0	0	0	0	0	0	0	0	13	1025	0	0	0	2	174	0	169	5	152	152	55	0
06	Hoya de Huesca / Plana de Uesca	2017	Regadío	1432	866	58	13	0	0	43	10	0	0	0	1	686	36	0	9	10	46	1	45	0	518	518	2	0
06	Hoya de Huesca / Plana de Uesca	2017	Secano	5962	4664	1	0	0	0	21	0	0	0	0	1	4616	3	2	0	20	425	0	422	3	714	714	159	0
07	Somontano de Barbastro	2017	Regadío	1645	213	2	43	0	1	27	1	7	0	0	0	106	9	0	12	5	1228	1	1227	0	200	200	4	0
07	Somontano de Barbastro	2017	Secano	7501	2604	0	0	0	0	2	3	2	0	0	1	2588	3	0	0	5	2538	0	2535	3	2305	2305	54	0
08	Cinca Medio	2017	Regadío	2930	2606	101	256	0	48	124	981	10	25	0	0	580	7	0	442	32	55	1	54	0	264	264	5	0
08	Cinca Medio	2017	Secano	611	366	0	0	0	0	6	46	0	0	0	0	306	0	0	7	1	16	0	16	0	222	222	7	0
09	La Litera / La Llitera	2017	Regadío	1714	1461	192	205	1	18	12	440	34	10	0	2	265	74	0	197	11	91	0	91	0	159	159	3	0
09	La Litera / La Llitera	2017	Secano	1668	672	7	12	0	0	0	39	0	0	0	0	598	1	0	15	0	15	0	15	0	936	936	45	0
10	Los Monegros	2017	Regadío	1284	1047	116	38	1	30	0	155	1	0	0	2	605	1	0	71	27	13	0	13	0	194	194	30	0
10	Los Monegros	2017	Secano	1830	874	0	0	0	0	0	3	0	0	0	2	866	0	0	1	2	177	0	177	0	412	412	367	0
11	Bajo Cinca / Baix Cinca	2017	Regadío	15165	14073	141	565	18	803	852	5221	74	14	0	21	1489	212	0	4524	139	336	18	318	0	749	749	7	0
11	Bajo Cinca / Baix Cinca	2017	Secano	3259	2562	0	11	0	114	162	284	17	0	0	0	1683	0	0	271	20	30	17	13	0	598	598	69	0
12	Tarazona y el Moncayo	2017	Regadío	783	321	3	4	0	3	16	0	0	0	0	0	282	11	0	0	2	100	0	100	0	362	362	0	0
12	Tarazona y el Moncayo	2017	Secano	792	557	0	0	0	1	0	0	0	0	0	1	551	0	0	0	4	106	0	106	0	105	105	24	0
13	Campo de Borja	2017	Regadío	4655	1213	1	4	0	0	0	3	0	0	0	1	1190	12	0	0	2	2402	0	2399	3	1040	1040	0	0
13	Campo de Borja	2017	Secano	8505	4232	0	0	0	0	0	0	0	0	0	5	4224	0	0	0	3	3872	0	3872	0	358	358	43	0
14	Aranda	2017	Regadío	213	161	5	2	0	2	88	5	7	0	0	0	49	3	0	0	0	1	0	1	0	51	51	0	0
14	Aranda	2017	Secano	2657	2219	0	0	0	0	217	0	3	0	0	0	1999	0	0	0	0	164	0	164	0	256	256	18	0
15	Ribera Alta del Ebro	2017	Regadío	642	418	97	104	0	26	9	33	7	0	0	28	58	19	0	37	0	3	0	3	0	212	212	9	0
15	Ribera Alta del Ebro	2017	Secano	111	48	0	0	0	0	0	0	0	0	0	10	38	0	0	0	0	7	0	7	0	56	56	0	0
16	Valdejalón	2017	Regadío	9145	8023	1538	652	0	492	1843	1912	149	6	0	3	726	15	0	679	8	504	5	499	0	618	618	0	0
16	Valdejalón	2017	Secano	5840	3328	10	3	0	41	243	57	2	0	0	1	2948	1	0	19	3	1084	0	1084	0	1428	1428	0	0
17	Central	2017	Regadío	1662	1101	3	85	0	164	10	42	33	1	0	2	733	10	0	15	3	38	4	32	2	520	520	3	0
17	Central	2017	Secano	600	303	0	1	0	0	0	2	0	0	0	2	229	0	0	67	2	112	2	110	0	177	177	8	0
18	Ribera Baja del Ebro	2017	Regadío	2291	1096	14	84	0	69	85	209	45	1	0	10	402	4	0	168	5	16	16	0	0	1179	1179	0	0
18	Ribera Baja del Ebro	2017	Secano	130	46	0	1	0	1	0	2	0	0	0	0	30	0	0	12	0	3	0	3	0	81	81	0	0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2017	Regadío	7038	5708	16	68	0	396	748	1427	177	8	0	0	2007	11	0	832	18	111	28	83	0	1218	1218	1	0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2017	Secano	8487	4938	0	0	0	11	60	155	5	0	0	0	4592	0	0	109	6	405	2	401	2	3144	3144	0	0
20	Comunidad de Calatayud	2017	Regadío	4165	3405	587	797	0	44	1044	387	319	0	0	2	214	6	0	3	2	518	1	517	0	233	233	9	0
20	Comunidad de Calatayud	2017	Secano	14649	10293	40	32	0	13	2114	89	114	0	0	2	7872	3	0	1	13	3821	0	3821	0	467	467	68	0
21	Campo de Cariñena	2017	Regadío	5388	1092	163	95	0	58	242	303	31	0	0	0	130	1	0	66	3	4110	10	4100	0	186	186	0	0
21	Campo de Cariñena	2017	Secano	11285	1422	5	0	0	3	59	10	0	0	0	1	1342	0	0	0	2	9514	31	9481	2	322	322	27	0
22	Campo de Belchite	2017	Regadío	2049	652	9	35	0	1	0	0	5	0	0	0	595	7	0	0	0	185	0	185	0	1212	1212	0	0
22	Campo de Belchite	2017	Secano	1905	1549	1	1	0	0	1	0	0	0	0	3	1542	1	0	0	0	268	0	268	0	81	81	7	0
23	Bajo Martín	2017	Regadío	863	290	0	3	0	10	7	106	2	3	0	1	157	0	0	0	1	19	0	19	0	553	553	1	0
23	Bajo Martín	2017	Secano	3036	1528	0	0	0	6	11	1	0	0	0	3	1507	0	0	0	0	181	0	181	0	1324	1324	3	0
