Municipio código	Municipio nombre	Grupo clase explotación	Explotaciones
50191	Novillas	d) Con tierras labradas y otras tierras, y sin pastos permanentes	15
50191	Novillas	e) Con tierras labradas, sin pastos permanentes ni otras tierras	91
50191	Novillas	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
50191	Novillas	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
50192	Nuévalos	b) Con tierras labradas, pastos permanentes y otras tierras	1
50192	Nuévalos	c) Con tierras labradas, pastos permanentes y sin otras tierras	3
50192	Nuévalos	d) Con tierras labradas y otras tierras, y sin pastos permanentes	2
50192	Nuévalos	e) Con tierras labradas, sin pastos permanentes ni otras tierras	8
50193	Nuez de Ebro	a) Sin tierras	2
50193	Nuez de Ebro	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
50193	Nuez de Ebro	d) Con tierras labradas y otras tierras, y sin pastos permanentes	2
50193	Nuez de Ebro	e) Con tierras labradas, sin pastos permanentes ni otras tierras	14
50193	Nuez de Ebro	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
50194	Olvés	b) Con tierras labradas, pastos permanentes y otras tierras	2
50194	Olvés	c) Con tierras labradas, pastos permanentes y sin otras tierras	6
50194	Olvés	d) Con tierras labradas y otras tierras, y sin pastos permanentes	9
50194	Olvés	e) Con tierras labradas, sin pastos permanentes ni otras tierras	34
50195	Orcajo	b) Con tierras labradas, pastos permanentes y otras tierras	3
50195	Orcajo	d) Con tierras labradas y otras tierras, y sin pastos permanentes	5
50195	Orcajo	e) Con tierras labradas, sin pastos permanentes ni otras tierras	9
50196	Orera	a) Sin tierras	1
50196	Orera	b) Con tierras labradas, pastos permanentes y otras tierras	1
50196	Orera	c) Con tierras labradas, pastos permanentes y sin otras tierras	7
50196	Orera	d) Con tierras labradas y otras tierras, y sin pastos permanentes	11
50196	Orera	e) Con tierras labradas, sin pastos permanentes ni otras tierras	21
50197	Orés	b) Con tierras labradas, pastos permanentes y otras tierras	1
50197	Orés	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
50197	Orés	d) Con tierras labradas y otras tierras, y sin pastos permanentes	12
50197	Orés	e) Con tierras labradas, sin pastos permanentes ni otras tierras	25
50197	Orés	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
50198	Oseja	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
50198	Oseja	d) Con tierras labradas y otras tierras, y sin pastos permanentes	2
50198	Oseja	e) Con tierras labradas, sin pastos permanentes ni otras tierras	9
50199	Osera de Ebro	b) Con tierras labradas, pastos permanentes y otras tierras	3
50199	Osera de Ebro	d) Con tierras labradas y otras tierras, y sin pastos permanentes	3
50199	Osera de Ebro	e) Con tierras labradas, sin pastos permanentes ni otras tierras	24
50200	Paniza	b) Con tierras labradas, pastos permanentes y otras tierras	6
50200	Paniza	c) Con tierras labradas, pastos permanentes y sin otras tierras	14
50200	Paniza	d) Con tierras labradas y otras tierras, y sin pastos permanentes	34
50200	Paniza	e) Con tierras labradas, sin pastos permanentes ni otras tierras	150
50200	Paniza	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
50200	Paniza	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	2
50201	Paracuellos de Jiloca	b) Con tierras labradas, pastos permanentes y otras tierras	2
50201	Paracuellos de Jiloca	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
50201	Paracuellos de Jiloca	d) Con tierras labradas y otras tierras, y sin pastos permanentes	16
50201	Paracuellos de Jiloca	e) Con tierras labradas, sin pastos permanentes ni otras tierras	41
50201	Paracuellos de Jiloca	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
50201	Paracuellos de Jiloca	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	3
50202	Paracuellos de la Ribera	b) Con tierras labradas, pastos permanentes y otras tierras	1
50202	Paracuellos de la Ribera	c) Con tierras labradas, pastos permanentes y sin otras tierras	3
50202	Paracuellos de la Ribera	d) Con tierras labradas y otras tierras, y sin pastos permanentes	17
50202	Paracuellos de la Ribera	e) Con tierras labradas, sin pastos permanentes ni otras tierras	34
50202	Paracuellos de la Ribera	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
50203	Pastriz	d) Con tierras labradas y otras tierras, y sin pastos permanentes	10
50203	Pastriz	e) Con tierras labradas, sin pastos permanentes ni otras tierras	38
50204	Pedrola	a) Sin tierras	3
50204	Pedrola	b) Con tierras labradas, pastos permanentes y otras tierras	3
50204	Pedrola	c) Con tierras labradas, pastos permanentes y sin otras tierras	6
50204	Pedrola	d) Con tierras labradas y otras tierras, y sin pastos permanentes	23
50204	Pedrola	e) Con tierras labradas, sin pastos permanentes ni otras tierras	129
50204	Pedrola	f) Sin tierras labradas, con pastos permanentes y con otras tierras	4
50204	Pedrola	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	2
50204	Pedrola	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	2
50205	Pedrosas (Las)	a) Sin tierras	1
50205	Pedrosas (Las)	b) Con tierras labradas, pastos permanentes y otras tierras	5
50205	Pedrosas (Las)	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
50205	Pedrosas (Las)	d) Con tierras labradas y otras tierras, y sin pastos permanentes	3
50205	Pedrosas (Las)	e) Con tierras labradas, sin pastos permanentes ni otras tierras	12
50206	Perdiguera	a) Sin tierras	1
50206	Perdiguera	b) Con tierras labradas, pastos permanentes y otras tierras	2
50206	Perdiguera	c) Con tierras labradas, pastos permanentes y sin otras tierras	5
50206	Perdiguera	d) Con tierras labradas y otras tierras, y sin pastos permanentes	6
50206	Perdiguera	e) Con tierras labradas, sin pastos permanentes ni otras tierras	84
50206	Perdiguera	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
50206	Perdiguera	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
50206	Perdiguera	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
50207	Piedratajada	b) Con tierras labradas, pastos permanentes y otras tierras	3
50207	Piedratajada	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
50207	Piedratajada	d) Con tierras labradas y otras tierras, y sin pastos permanentes	7
50207	Piedratajada	e) Con tierras labradas, sin pastos permanentes ni otras tierras	6
50208	Pina de Ebro	a) Sin tierras	1
50208	Pina de Ebro	b) Con tierras labradas, pastos permanentes y otras tierras	7
50208	Pina de Ebro	c) Con tierras labradas, pastos permanentes y sin otras tierras	22
50208	Pina de Ebro	d) Con tierras labradas y otras tierras, y sin pastos permanentes	24
50208	Pina de Ebro	e) Con tierras labradas, sin pastos permanentes ni otras tierras	260
50208	Pina de Ebro	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
50208	Pina de Ebro	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	9
50209	Pinseque	a) Sin tierras	2
50209	Pinseque	c) Con tierras labradas, pastos permanentes y sin otras tierras	4
50209	Pinseque	d) Con tierras labradas y otras tierras, y sin pastos permanentes	13
50209	Pinseque	e) Con tierras labradas, sin pastos permanentes ni otras tierras	36
50209	Pinseque	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	2
50210	Pintanos (Los)	b) Con tierras labradas, pastos permanentes y otras tierras	5
50210	Pintanos (Los)	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
50210	Pintanos (Los)	d) Con tierras labradas y otras tierras, y sin pastos permanentes	4
50210	Pintanos (Los)	e) Con tierras labradas, sin pastos permanentes ni otras tierras	7
50211	Plasencia de Jalón	a) Sin tierras	1
50211	Plasencia de Jalón	b) Con tierras labradas, pastos permanentes y otras tierras	3
50211	Plasencia de Jalón	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
50211	Plasencia de Jalón	d) Con tierras labradas y otras tierras, y sin pastos permanentes	7
50211	Plasencia de Jalón	e) Con tierras labradas, sin pastos permanentes ni otras tierras	34
50211	Plasencia de Jalón	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
50212	Pleitas	b) Con tierras labradas, pastos permanentes y otras tierras	1
50212	Pleitas	e) Con tierras labradas, sin pastos permanentes ni otras tierras	7
50213	Plenas	b) Con tierras labradas, pastos permanentes y otras tierras	1
50213	Plenas	c) Con tierras labradas, pastos permanentes y sin otras tierras	9
50213	Plenas	d) Con tierras labradas y otras tierras, y sin pastos permanentes	2
50213	Plenas	e) Con tierras labradas, sin pastos permanentes ni otras tierras	23
50213	Plenas	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
50214	Pomer	a) Sin tierras	1
50214	Pomer	b) Con tierras labradas, pastos permanentes y otras tierras	1
50214	Pomer	d) Con tierras labradas y otras tierras, y sin pastos permanentes	1
50215	Pozuel de Ariza	b) Con tierras labradas, pastos permanentes y otras tierras	3
50215	Pozuel de Ariza	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
50215	Pozuel de Ariza	e) Con tierras labradas, sin pastos permanentes ni otras tierras	4
50216	Pozuelo de Aragón	a) Sin tierras	2
50216	Pozuelo de Aragón	c) Con tierras labradas, pastos permanentes y sin otras tierras	3
50216	Pozuelo de Aragón	d) Con tierras labradas y otras tierras, y sin pastos permanentes	8
50216	Pozuelo de Aragón	e) Con tierras labradas, sin pastos permanentes ni otras tierras	44
50217	Pradilla de Ebro	a) Sin tierras	1
50217	Pradilla de Ebro	b) Con tierras labradas, pastos permanentes y otras tierras	2
50217	Pradilla de Ebro	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
50217	Pradilla de Ebro	d) Con tierras labradas y otras tierras, y sin pastos permanentes	10
50217	Pradilla de Ebro	e) Con tierras labradas, sin pastos permanentes ni otras tierras	61
50217	Pradilla de Ebro	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
50218	Puebla de Albortón	a) Sin tierras	1
50218	Puebla de Albortón	b) Con tierras labradas, pastos permanentes y otras tierras	3
50218	Puebla de Albortón	c) Con tierras labradas, pastos permanentes y sin otras tierras	9
50218	Puebla de Albortón	d) Con tierras labradas y otras tierras, y sin pastos permanentes	3
50218	Puebla de Albortón	e) Con tierras labradas, sin pastos permanentes ni otras tierras	26
