Municipio código	Municipio nombre	Estado	Número de edificios
22175	Peralta de Calasanz	Bueno	229
22176	Peraltilla	Malo	2
22176	Peraltilla	Deficiente	3
22176	Peraltilla	Bueno	88
22177	Perarrúa	Malo	4
22177	Perarrúa	Deficiente	19
22177	Perarrúa	Bueno	74
22178	Pertusa	Ruinoso	4
22178	Pertusa	Malo	5
22178	Pertusa	Deficiente	8
22178	Pertusa	Bueno	84
22181	Piracés	Deficiente	1
22181	Piracés	Bueno	45
22182	Plan	Ruinoso	1
22182	Plan	Malo	5
22182	Plan	Deficiente	8
22182	Plan	Bueno	121
22184	Poleñino	Ruinoso	3
22184	Poleñino	Malo	2
22184	Poleñino	Deficiente	10
22184	Poleñino	Bueno	105
22186	Pozán de Vero	Malo	4
22186	Pozán de Vero	Deficiente	40
22186	Pozán de Vero	Bueno	96
22187	Puebla de Castro (La)	Ruinoso	2
22187	Puebla de Castro (La)	Malo	5
22187	Puebla de Castro (La)	Deficiente	5
22187	Puebla de Castro (La)	Bueno	283
22188	Puente de Montañana	Malo	2
22188	Puente de Montañana	Deficiente	28
22188	Puente de Montañana	Bueno	61
22189	Puértolas	Ruinoso	2
22189	Puértolas	Malo	3
22189	Puértolas	Deficiente	4
22189	Puértolas	Bueno	92
22190	Pueyo de Araguás (El)	Ruinoso	2
22190	Pueyo de Araguás (El)	Malo	6
22190	Pueyo de Araguás (El)	Deficiente	19
22190	Pueyo de Araguás (El)	Bueno	32
22193	Pueyo de Santa Cruz	Ruinoso	3
22193	Pueyo de Santa Cruz	Malo	18
22193	Pueyo de Santa Cruz	Deficiente	29
22193	Pueyo de Santa Cruz	Bueno	100
22195	Quicena	Malo	7
22195	Quicena	Deficiente	12
22195	Quicena	Bueno	40
22197	Robres	Ruinoso	5
22197	Robres	Malo	3
22197	Robres	Deficiente	19
22197	Robres	Bueno	238
22199	Sabiñánigo	Ruinoso	25
22199	Sabiñánigo	Malo	15
22199	Sabiñánigo	Deficiente	89
22199	Sabiñánigo	Bueno	1293
22200	Sahún	Ruinoso	4
22200	Sahún	Deficiente	4
22200	Sahún	Bueno	179
22201	Salas Altas	Ruinoso	1
22201	Salas Altas	Deficiente	6
22201	Salas Altas	Bueno	142
22202	Salas Bajas	Ruinoso	3
22202	Salas Bajas	Malo	2
22202	Salas Bajas	Deficiente	41
22202	Salas Bajas	Bueno	59
22203	Salillas	Deficiente	3
22203	Salillas	Bueno	76
22204	Sallent de Gállego	Ruinoso	7
22204	Sallent de Gállego	Malo	7
22204	Sallent de Gállego	Deficiente	58
22204	Sallent de Gállego	Bueno	483
22205	San Esteban de Litera	Malo	29
22205	San Esteban de Litera	Deficiente	21
22205	San Esteban de Litera	Bueno	406
22206	Sangarrén	Ruinoso	6
22206	Sangarrén	Malo	3
22206	Sangarrén	Deficiente	20
22206	Sangarrén	Bueno	100
22207	San Juan de Plan	Deficiente	1
22207	San Juan de Plan	Bueno	48
22208	Santa Cilia	Malo	1
22208	Santa Cilia	Bueno	104
22209	Santa Cruz de la Serós	Deficiente	1
22209	Santa Cruz de la Serós	Bueno	74
22212	Santaliestra y San Quílez	Ruinoso	19
22212	Santaliestra y San Quílez	Malo	2
22212	Santaliestra y San Quílez	Deficiente	11
22212	Santaliestra y San Quílez	Bueno	45
22213	Sariñena	Ruinoso	15
22213	Sariñena	Malo	36
22213	Sariñena	Deficiente	93
22213	Sariñena	Bueno	1428
22214	Secastilla	Deficiente	3
22214	Secastilla	Bueno	72
22215	Seira	Ruinoso	2
22215	Seira	Malo	1
22215	Seira	Deficiente	16
22215	Seira	Bueno	80
