Año	Municipio código	Municipio nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2006	44232	Torrijo del Campo	552	5677	5677	22707	21677
2006	44234	Tramacastiel	360	1455	1455	9456	8711
2006	44235	Tramacastilla	366	6088	2664	10657	9833
2006	44236	Tronchón	261	1262	1262	5680	4914
2006	44237	Urrea de Gaén	660	6467	6467	25867	23947
2006	44238	Utrillas	2750	18677	18677	140075	125843
2006	44239	Valacloche	82	564	564	2255	1946
2006	44240	Valbona	625	8759	4160	31199	27494
2006	44241	Valdealgorfa	819	10048	10048	65312	55526
2006	44243	Valdecuenca	185	681	681	5452	4792
2006	44244	Valdelinares	214	1232	1232	4929	4353
2006	44245	Valdeltormo	494	5900	5900	35398	33852
2006	44246	Valderrobres	1840	38771	37942	227655	205865
2006	44247	Valjunquera	479	5505	5505	33029	31583
2006	44249	Vallecillo (El)	150	678	678	2710	2387
2006	44250	Veguillas de la Sierra	91	460	460	2760	2516
2006	44251	Villafranca del Campo	488	3710	3710	20405	18238
2006	44252	Villahermosa del Campo	129	872	872	3925	3628
2006	44256	Villanueva del Rebollar de la Sierra	132	715	715	3217	2880
2006	44257	Villar del Cobo	376	6278	3924	15695	13467
2006	44258	Villar del Salz	179	1033	1033	4133	3855
2006	44260	Villarluengo	418	2419	2419	9676	8188
2006	44261	Villarquemado	826	13766	13766	89476	83166
2006	44262	Villarroya de los Pinares	313	2133	2133	10664	9424
2006	44263	Villastar	413	3210	3210	23110	23038
2006	44264	Villel	596	4093	4093	28650	26713
2006	44265	Vinaceite	298	2737	2737	16424	14293
2006	44266	Visiedo	255	2011	2011	10660	10133
2006	44267	Vivel del Río Martín	336	1955	1955	11729	10936
2006	44268	Zoma (La)	89	260	260	1040	875
2006	50001	Abanto	296	1291	1291	5163	5163
2006	50002	Acered	368	1653	1653	11570	11570
2006	50003	Agón	168	1992	1992	11954	11954
2006	50004	Aguarón	865	9245	9245	77660	77660
2006	50005	Aguilón	511	2360	2360	11799	11799
2006	50006	Ainzón	1007	12166	12166	79080	79080
2006	50007	Aladrén	173	515	515	3602	3530
2006	50008	Alagón	3745	120487	104175	697971	697947
2006	50009	Alarba	219	2682	1735	6939	6939
2006	50010	Alberite de San Juan	95	560	560	2799	2799
2006	50011	Albeta	170	1485	1485	7795	7795
2006	50012	Alborge	164	1504	1378	10336	10336
2006	50013	Alcalá de Ebro	244	2763	2763	11052	11052
2006	50014	Alcalá de Moncayo	301	1363	1363	5450	5450
2006	50015	Alconchel de Ariza	483	2238	2238	8952	8952
2006	50016	Aldehuela de Liestos	151	1933	1106	4426	4426
2006	50017	Alfajarín	1453	66005	61346	288326	256501
2006	50018	Alfamén	947	14852	14852	98026	97840
2006	50019	Alforque	162	1489	1387	7908	7908
2006	50020	Alhama de Aragón	1282	53680	22483	146140	146140
2006	50021	Almochuel	107	455	455	2275	2275
2006	50022	Almolda (La)	524	10537	10537	52686	48858
2006	50023	Almonacid de la Cuba	435	1810	1810	12673	12673
2006	50024	Almonacid de la Sierra	1131	9180	9180	51409	51409
2006	50025	Almunia de Doña Godina (La)	4238	99349	99349	596096	595319
2006	50026	Alpartir	588	5116	5116	28138	28010
2006	50027	Ambel	551	2625	2625	22313	22312
2006	50028	Anento	187	1975	1088	9245	9245
2006	50029	Aniñón	869	8272	8272	41361	41361
2006	50030	Añón de Moncayo	761	5913	5913	29563	29563
2006	50031	Aranda de Moncayo	655	3551	3551	21306	21306
2006	50032	Arándiga	673	4578	4578	22892	22892
2006	50033	Ardisa	137	917	917	7340	6865
2006	50034	Ariza	1455	17011	17011	102067	102065
2006	50035	Artieda	136	894	894	5363	5363
2006	50036	Asín	172	2164	889	6221	6221
2006	50037	Atea	561	2941	2941	11762	11762
2006	50038	Ateca	1778	23194	23194	139164	139164
2006	50039	Azuara	1090	8998	8998	44992	44990
2006	50040	Badules	163	1216	1216	4866	4866
2006	50041	Bagüés	75	342	342	2118	2118
2006	50042	Balconchán	81	250	250	999	999
2006	50043	Bárboles	366	3919	3919	17245	17245
2006	50044	Bardallur	358	2869	2869	11477	11477
2006	50045	Belchite	1133	16334	16334	106169	106166
2006	50046	Belmonte de Gracián	306	2424	2424	12120	12120
2006	50047	Berdejo	147	1207	706	2825	2825
2006	50048	Berrueco	85	1462	771	4317	4317
2006	50050	Bijuesca	369	2865	1717	6869	6869
2006	50051	Biota	985	11990	11990	79137	79136
2006	50052	Bisimbre	117	2528	2528	15167	15092
2006	50053	Boquiñeni	720	9693	9693	45559	45559
2006	50054	Bordalba	215	940	940	3762	3762
2006	50055	Borja	4031	61015	61015	525339	525173
2006	50056	Botorrita	392	6168	6168	37008	37008
2006	50057	Brea de Aragón	1549	25659	25659	128295	128295
2006	50058	Bubierca	292	981	981	3925	3925
2006	50059	Bujaraloz	699	18559	18559	74236	72751
2006	50060	Bulbuente	396	2785	2785	23671	23671
2006	50061	Bureta	285	2582	2582	12909	12909
2006	50062	Burgo de Ebro (El)	1585	119916	77043	308171	308171
2006	50063	Buste (El)	202	1342	1342	8725	8725
2006	50064	Cabañas de Ebro	445	7273	7273	50911	50911
2006	50065	Cabolafuente	284	1386	1386	5546	5546
2006	50066	Cadrete	2279	69425	69425	347127	347127
2006	50067	Calatayud	15993	397390	397390	2185645	2177481
2006	50068	Calatorao	1926	36717	36717	179548	179547
2006	50069	Calcena	189	2174	985	5911	5911
2006	50070	Calmarza	239	1370	1370	9593	9593
2006	50071	Campillo de Aragón	312	4079	2693	16159	16159
2006	50072	Carenas	607	4615	4615	23076	22640
2006	50073	Cariñena	2244	45313	45313	249219	248848
2006	50074	Caspe	7203	144258	144258	1096363	1016162
2006	50075	Castejón de Alarba	203	865	865	3460	3460
2006	50076	Castejón de las Armas	236	973	973	3890	3890
2006	50077	Castejón de Valdejasa	415	5422	3249	19496	19496
2006	50078	Castiliscar	410	7919	5263	39470	39470
2006	50079	Cervera de la Cañada	408	3072	3072	12287	12287
2006	50080	Cerveruela	104	234	234	936	936
2006	50081	Cetina	913	11655	11655	60605	60605
2006	50082	Cimballa	340	3747	1976	11858	11858
2006	50083	Cinco Olivas	190	1809	1681	6724	6724
2006	50084	Clarés de Ribota	337	1761	1125	4501	4501
2006	50085	Codo	357	2904	2904	11618	11618
2006	50086	Codos	568	2990	2990	11960	11960
2006	50087	Contamina	82	379	379	2843	2843
2006	50088	Cosuenda	630	4937	4937	41467	41467
2006	50089	Cuarte de Huerva	3290	146702	146702	1173618	1171658
2006	50090	Cubel	373	2388	2388	9551	9551
2006	50091	Cuerlas (Las)	229	2995	1732	9697	9697
2006	50092	Chiprana	573	6243	6243	25598	25248
2006	50093	Chodes	190	1578	1578	6310	6310
2006	50094	Daroca	2357	49416	49416	271787	271787
2006	50095	Ejea de los Caballeros	12244	509929	318555	1968670	1955576
2006	50096	Embid de Ariza	225	859	859	3437	3437
2006	50098	Encinacorba	398	2838	2838	19865	19865
2006	50099	Épila	3122	76359	76359	586438	586163
2006	50100	Erla	437	5179	5179	29000	29000
2006	50101	Escatrón	1421	28078	27236	166139	166139
2006	50102	Fabara	1067	17013	17013	117387	117387
2006	50104	Farlete	336	4434	4434	17738	17737
2006	50105	Fayón	319	4185	4185	36828	34823
2006	50106	Fayos (Los)	250	1459	1459	8752	8752
2006	50107	Figueruelas	819	110384	110384	551918	551918
2006	50108	Fombuena	127	212	212	849	849
2006	50109	Frago (El)	191	1938	1158	6950	6950
2006	50110	Frasno (El)	928	7591	7591	49340	49340
2006	50111	Fréscano	220	2130	2130	13843	13842
2006	50113	Fuendejalón	790	8740	8740	48068	48068
2006	50114	Fuendetodos	226	2142	2142	8568	8568
2006	50115	Fuentes de Ebro	2509	46147	46147	276885	276885
2006	50116	Fuentes de Jiloca	465	6609	4238	25429	25429
2006	50117	Gallocanta	261	2050	2050	11682	11682
2006	50118	Gallur	2104	35536	35536	284289	284289
2006	50119	Gelsa	898	12586	12586	71743	71743
2006	50120	Godojos	210	1159	1159	4636	4636
2006	50121	Gotor	395	2235	2235	11176	11176
2006	50122	Grisel	184	1754	1754	7018	7018
2006	50123	Grisén	395	6651	6651	43232	43231
2006	50124	Herrera de los Navarros	1150	7173	7173	46625	46625
2006	50125	Ibdes	663	6342	6342	41222	41222
2006	50126	Illueca	2994	41282	41282	206411	175891
2006	50128	Isuerre	95	1272	827	5127	5127
2006	50129	Jaraba	502	20412	11790	82527	82524
2006	50130	Jarque	1007	6409	6409	38456	38456
2006	50131	Jaulín	305	2992	2992	13462	13462
2006	50132	Joyosa (La)	591	83154	26158	156949	148044
2006	50133	Lagata	248	1459	1459	5836	5836
2006	50134	Langa del Castillo	392	2116	2116	8464	8464
2006	50135	Layana	149	3452	2068	15514	15514
2006	50136	Lécera	862	8929	8929	44647	44647
2006	50137	Leciñena	836	22858	19428	87426	87426
2006	50138	Lechón	66	1246	736	2945	2943
2006	50139	Letux	555	4847	4847	19386	19386
2006	50140	Litago	385	1597	1597	9582	9582
2006	50141	Lituénigo	360	1224	1224	6120	6120
2006	50142	Lobera de Onsella	182	818	818	5071	5071
2006	50143	Longares	749	8822	8822	58228	58196
2006	50144	Longás	122	536	536	3320	3320
2006	50146	Lucena de Jalón	302	3712	3712	22275	22274
2006	50147	Luceni	798	13326	13326	62630	62630
2006	50148	Luesia	507	3182	3182	17818	17818
2006	50149	Luesma	177	507	507	2029	2029
2006	50150	Lumpiaque	850	10773	10773	64637	64637
2006	50151	Luna	940	11538	11538	61152	61152
2006	50152	Maella	1464	26156	26156	133396	133396
2006	50153	Magallón	994	17762	17762	92362	91415
2006	50154	Mainar	186	1494	1494	5977	5977
2006	50155	Malanquilla	297	3134	1778	7111	7111
2006	50156	Maleján	267	3962	2234	18989	18989
2006	50157	Malón	431	4880	4880	39037	39037
2006	50159	Maluenda	783	10708	10708	64247	64247
2006	50160	Mallén	1951	38166	38166	187015	187015
2006	50161	Manchones	236	1292	1292	7882	7882
2006	50162	Mara	328	2761	2761	11044	11044
2006	50163	María de Huerva	1939	62240	62240	404560	404557
2006	50164	Mediana de Aragón	330	2559	2559	12795	12795
2006	50165	Mequinenza	1730	29792	29792	163856	154784
2006	50166	Mesones de Isuela	511	3246	3246	12983	12983
2006	50167	Mezalocha	263	1482	1482	8890	8890
2006	50168	Mianos	52	429	429	2575	2575
2006	50169	Miedes de Aragón	553	7079	4440	19978	19977
2006	50170	Monegrillo	354	4667	4667	25667	25667
2006	50171	Moneva	286	1288	1288	6376	6376
2006	50172	Monreal de Ariza	387	2644	2644	13221	13221
2006	50173	Monterde	350	2537	2537	15223	15223
2006	50174	Montón	192	957	957	3827	3827
2006	50175	Morata de Jalón	1439	21222	21222	84890	84889
2006	50176	Morata de Jiloca	488	3732	3732	26127	26127
2006	50177	Morés	699	6676	6676	33382	33382
2006	50178	Moros	712	5959	3946	23678	23678
2006	50179	Moyuela	553	4409	4409	17637	17637
2006	50180	Mozota	223	4592	1951	11708	11708
2006	50181	Muel	1252	31491	31491	182649	182649
2006	50182	Muela (La)	2619	188611	188611	1131666	1131666
2006	50183	Munébrega	540	3343	3343	18723	18723
2006	50184	Murero	258	2804	1720	10839	10839
2006	50185	Murillo de Gállego	415	2919	2919	13137	13137
2006	50186	Navardún	150	883	883	5477	5477
2006	50187	Nigüella	213	943	943	3773	3773
2006	50188	Nombrevilla	88	364	364	1456	1456
2006	50189	Nonaspe	1113	13103	13103	85167	85167
2006	50190	Novallas	677	7302	7302	69370	69370
2006	50191	Novillas	436	7513	6862	42547	42547
2006	50192	Nuévalos	501	6803	6803	47621	44434
2006	50193	Nuez de Ebro	654	13140	13140	91980	89290
2006	50194	Olvés	289	910	910	7738	7738
2006	50195	Orcajo	209	698	698	2793	2793
2006	50196	Orera	158	3153	2226	8903	8812
2006	50197	Orés	257	1002	1002	6613	6613
2006	50198	Oseja	104	251	251	1005	1005
2006	50199	Osera de Ebro	444	8824	8824	66183	66183
2006	50200	Paniza	747	17600	9101	64618	64614
2006	50201	Paracuellos de Jiloca	522	7612	7612	45670	45670
2006	50202	Paracuellos de la Ribera	386	1511	1511	9820	9820
2006	50203	Pastriz	941	25100	23096	138578	138577
2006	50204	Pedrola	2147	173937	106071	583392	581701
2006	50205	Pedrosas (Las)	150	984	984	7874	7874
2006	50206	Perdiguera	482	21588	8990	53942	53942
2006	50207	Piedratajada	149	1402	1402	7012	7012
2006	50208	Pina de Ebro	1424	36367	36367	181834	176713
2006	50209	Pinseque	2266	123984	76426	420345	416526
2006	50210	Pintanos (Los)	193	1895	1042	6253	6253
2006	50211	Plasencia de Jalón	370	7050	7050	28199	28199
2006	50212	Pleitas	61	377	377	1760	1760
2006	50213	Plenas	444	2161	2161	8646	8646
2006	50214	Pomer	202	1147	815	3260	3260
2006	50215	Pozuel de Ariza	243	908	908	3631	3631
2006	50216	Pozuelo de Aragón	353	3425	3425	15413	15413
2006	50217	Pradilla de Ebro	528	8564	7740	60282	60282
2006	50218	Puebla de Albortón	199	1251	1251	5002	5002
2006	50219	Puebla de Alfindén (La)	3615	202904	169255	744722	724104
2006	50220	Puendeluna	112	706	706	5648	5648
2006	50221	Purujosa	206	185	185	740	740
2006	50222	Quinto	1433	22936	22936	110093	110091
2006	50223	Remolinos	781	9991	9991	64940	64940
2006	50224	Retascón	117	745	745	2978	2978
2006	50225	Ricla	1627	22017	22017	143110	143109
2006	50227	Romanos	148	1466	1466	5863	5862
2006	50228	Rueda de Jalón	362	4078	4078	24468	24468
2006	50229	Ruesca	83	1373	830	3321	3321
2006	50230	Sádaba	1417	23142	23142	136075	136075
2006	50231	Salillas de Jalón	386	3815	3815	23654	23654
2006	50232	Salvatierra de Esca	384	2431	2431	14587	14587
2006	50233	Samper del Salz	184	1053	1053	4211	4211
2006	50234	San Martín de la Virgen de Moncayo	671	4886	4886	31760	31759
2006	50235	San Mateo de Gállego	2289	176602	67142	369282	369282
2006	50236	Santa Cruz de Grío	371	2123	2123	13800	13800
2006	50237	Santa Cruz de Moncayo	186	799	799	4395	4395
2006	50238	Santa Eulalia de Gállego	256	1483	1483	6673	6673
2006	50239	Santed	136	2113	1129	6320	6320
2006	50240	Sástago	1088	20717	20050	84209	84209
2006	50241	Saviñán	665	8771	8771	74554	74453
2006	50242	Sediles	121	699	699	5244	5244
2006	50243	Sestrica	727	4493	4493	22465	22465
2006	50244	Sierra de Luna	366	4617	3721	29767	29766
2006	50245	Sigüés	257	1913	1913	11477	11477
2006	50246	Sisamón	363	1658	1658	6633	6633
2006	50247	Sobradiel	424	10922	10922	43687	43687
2006	50248	Sos del Rey Católico	787	8584	8584	53222	53222
2006	50249	Tabuenca	695	4243	4243	21214	21214
2006	50250	Talamantes	214	870	870	3482	3482
2006	50251	Tarazona	9385	148482	148482	1213990	1201624
2006	50252	Tauste	4943	101446	101446	720263	720263
2006	50253	Terrer	649	8770	8770	61389	61389
2006	50254	Tierga	401	2139	2139	8556	8556
2006	50255	Tobed	459	2952	2952	19187	19187
2006	50256	Torralba de los Frailes	334	4181	2612	10449	10448
2006	50257	Torralba de Ribota	303	1885	1885	7539	7539
2006	50258	Torralbilla	218	1022	1022	4086	4086
2006	50259	Torrehermosa	209	1463	1463	5853	5853
2006	50260	Torrelapaja	132	650	650	2601	2601
2006	50261	Torrellas	494	3306	3306	26446	26446
2006	50262	Torres de Berrellén	950	17563	17563	74644	74644
2006	50263	Torrijo de la Cañada	674	2823	2823	16938	16938
2006	50264	Tosos	381	3765	2611	16969	16969
2006	50265	Trasmoz	183	996	996	3986	3986
2006	50266	Trasobares	599	1830	1830	7319	7319
2006	50267	Uncastillo	944	9422	9422	70662	70662
2006	50268	Undués de Lerda	140	607	607	3761	3761
2006	50269	Urrea de Jalón	408	4306	4306	27988	27988
2006	50270	Urriés	139	643	643	2573	2573
2006	50271	Used	602	5465	5465	21861	21861
2006	50272	Utebo	10047	453028	348087	2053714	1919043
2006	50273	Valdehorna	128	508	508	2033	2033
2006	50274	Val de San Martín	121	418	418	1673	1639
2006	50275	Valmadrid	97	835	835	3342	3342
2006	50276	Valpalmas	197	1522	1522	12174	12174
2006	50277	Valtorres	252	1734	1734	6935	6935
2006	50278	Velilla de Ebro	335	3859	3859	37813	37813
2006	50279	Velilla de Jiloca	286	1500	1500	8999	8999
2006	50280	Vera de Moncayo	638	8485	5539	31018	31018
2006	50281	Vierlas	112	1065	1065	6387	6387
2006	50282	Vilueña (La)	177	1503	1503	6761	6761
2006	50283	Villadoz	165	953	953	3812	3812
2006	50284	Villafeliche	371	2896	2896	14480	14480
2006	50285	Villafranca de Ebro	532	7169	7169	48029	47132
2006	50286	Villalba de Perejil	90	532	532	2127	2127
2006	50287	Villalengua	603	2510	2510	15060	15060
2006	50288	Villanueva de Gállego	2283	148728	116916	666421	666024
2006	50289	Villanueva de Jiloca	258	2319	1471	5885	5885
2006	50290	Villanueva de Huerva	644	14170	8911	57921	57921
2006	50291	Villar de los Navarros	428	2056	2056	12338	12338
2006	50292	Villarreal de Huerva	286	9951	5080	20319	20319
2006	50293	Villarroya de la Sierra	1110	10891	6742	40455	40455
2006	50294	Villarroya del Campo	141	905	905	3621	3621
2006	50295	Vistabella	228	977	977	6543	6541
2006	50296	Zaida (La)	467	15271	13662	54648	54648
2006	50297	Zaragoza	430271	17818228	17818228	96806430	96178220
2006	50298	Zuera	4614	246825	166650	999898	999710
2006	50901	Biel	521	3257	3257	17914	17914
2006	50902	Marracos	109	1284	1284	8345	8345
2007	22001	Abiego	356	3427	3427	20565	20552
2007	22002	Abizanda	87	1499	1499	12741	12375
2007	22003	Adahuesca	157	1833	1833	12831	12831
2007	22004	Agüero	426	2063	2063	19594	19515
2007	22006	Aísa	2892	56505	56505	480292	480292
2007	22007	Albalate de Cinca	736	12305	12305	73832	73818
2007	22008	Albalatillo	251	2838	2838	14190	14172
2007	22009	Albelda	740	9052	9052	45259	44908
2007	22011	Albero Alto	81	2435	1127	4509	4509
2007	22012	Albero Bajo	98	1243	1243	10570	10570
2007	22013	Alberuela de Tubo	162	2182	2182	10911	10908
2007	22014	Alcalá de Gurrea	307	5286	5286	44932	42142
2007	22015	Alcalá del Obispo	398	4770	4770	19080	19080
2007	22016	Alcampell	892	10130	10130	70907	70893
2007	22017	Alcolea de Cinca	1008	16828	16648	79909	79612
2007	22018	Alcubierre	398	3895	3895	25086	25039
2007	22019	Alerre	167	4067	4067	26438	26429
2007	22020	Alfántega	125	1037	1037	8812	8808
2007	22021	Almudévar	1950	59570	41091	270790	268435
2007	22022	Almunia de San Juan	577	7314	7314	44616	44280
2007	22023	Almuniente	345	8243	5238	37189	37189
2007	22024	Alquézar	381	14163	8013	52082	52082
2007	22025	Altorricón	931	17166	17166	108830	108308
2007	22027	Angüés	454	4888	4888	19553	19542
2007	22028	Ansó	607	5719	5719	40034	40010
2007	22029	Antillón	107	756	756	5291	5291
2007	22032	Aragüés del Puerto	215	2674	2674	20055	20052
2007	22035	Arén	456	4488	4488	22441	22434
2007	22036	Argavieso	115	936	936	3746	3746
2007	22037	Arguis	253	3977	3977	23861	23827
2007	22039	Ayerbe	1212	13850	13850	124650	124650
2007	22040	Azanuy-Alins	363	2386	2386	21477	21477
2007	22041	Azara	148	1461	1461	10226	10214
2007	22042	Azlor	168	1358	1358	9506	9506
2007	22043	Baells	163	3517	1609	4827	4827
2007	22044	Bailo	340	2557	2557	16621	16620
2007	22045	Baldellou	200	1412	1412	5650	5337
2007	22046	Ballobar	945	15606	13922	94671	94671
2007	22047	Banastás	184	4465	4465	17861	17851
2007	22048	Barbastro	12709	388849	333879	2604256	2576415
2007	22049	Barbués	71	859	859	3436	3425
2007	22050	Barbuñales	120	1269	1269	7615	7609
2007	22051	Bárcabo	179	1511	1511	7557	7554
2007	22052	Belver de Cinca	847	12014	12014	54062	54041
2007	22053	Benabarre	1197	13577	13577	105902	105895
2007	22054	Benasque	4381	115847	115847	810932	810881
2007	22055	Berbegal	299	2694	2694	12123	12123
2007	22057	Bielsa	576	8812	8812	52874	51361
2007	22058	Bierge	315	10604	4468	26811	26787
2007	22059	Biescas	4888	157107	109564	723125	700313
2007	22060	Binaced	1059	19956	19956	119737	119205
2007	22061	Binéfar	6091	165315	155542	1399875	1399004
2007	22062	Bisaurri	188	1940	1940	8731	8731
2007	22063	Biscarrués	274	1779	1779	16009	15891
2007	22064	Blecua y Torres	191	1757	1757	9664	9664
2007	22066	Boltaña	1193	21908	21908	164307	162272
2007	22067	Bonansa	73	534	534	3207	3110
2007	22068	Borau	91	1082	1082	6495	6488
2007	22069	Broto	838	12379	12379	71801	71762
2007	22072	Caldearenas	274	3171	3171	23306	23028
2007	22074	Campo	677	36885	15889	95336	95336
2007	22075	Camporrells	279	2011	2011	11060	11046
2007	22076	Canal de Berdún	596	16173	7059	42355	42198
2007	22077	Candasnos	346	10255	8128	36575	36209
2007	22078	Canfranc	1854	30356	30356	197314	196327
2007	22079	Capdesaso	160	1791	1791	9849	9847
2007	22080	Capella	351	3371	3371	16854	16816
2007	22081	Casbas de Huesca	520	3959	3959	23753	23753
2007	22082	Castejón del Puente	348	5001	5001	35104	34920
2007	22083	Castejón de Monegros	555	7462	7462	37309	37309
2007	22084	Castejón de Sos	913	15765	15765	126122	126102
2007	22085	Castelflorite	101	1411	1411	6350	6350
2007	22086	Castiello de Jaca	870	15872	15872	87298	87298
2007	22087	Castigaleu	49	361	361	2166	2166
2007	22088	Castillazuelo	214	1503	1503	10522	10515
2007	22089	Castillonroy	386	4360	4360	21800	21800
2007	22090	Colungo	139	1088	1088	4352	4340
2007	22094	Chalamera	126	1096	1096	5482	5480
2007	22095	Chía	102	1172	1172	4688	4645
2007	22096	Chimillas	182	4552	4552	18208	18159
2007	22099	Esplús	642	6580	6580	39479	39451
2007	22102	Estada	177	5328	2492	9968	9968
2007	22103	Estadilla	790	14571	14571	81597	81597
2007	22105	Estopiñán del Castillo	243	1802	1802	14418	13337
2007	22106	Fago	94	482	482	2408	2408
2007	22107	Fanlo	150	749	749	6362	6352
2007	22109	Fiscal	428	6267	6267	58912	58887
2007	22110	Fonz	999	26606	10944	67415	67085
2007	22111	Foradada del Toscar	163	1543	1543	6173	6126
2007	22112	Fraga	9008	213182	208500	1918198	1898980
2007	22113	Fueva (La)	496	19088	8529	55440	55440
2007	22114	Gistaín	120	986	986	4929	4918
2007	22115	Grado (El)	766	33326	21305	104818	104658
2007	22116	Grañén	1398	42836	30206	229565	229565
2007	22117	Graus	3553	147713	74722	523053	523053
2007	22119	Gurrea de Gállego	1271	42004	27867	181138	181138
2007	22122	Hoz de Jaca	201	3332	3332	13328	13123
2007	22124	Huerto	260	3446	3446	17231	17217
2007	22125	Huesca	43838	1372650	1166138	10495243	10397104
2007	22126	Ibieca	127	975	975	4874	4874
2007	22127	Igriés	257	6251	6251	43760	43045
2007	22128	Ilche	216	1761	1761	7045	7045
2007	22129	Isábena	308	4360	4360	17442	17438
2007	22130	Jaca	25211	663295	663295	5173704	5121926
2007	22131	Jasa	178	1350	1350	10129	10124
2007	22133	Labuerda	197	3131	3131	17218	17201
2007	22135	Laluenga	231	2682	2682	16094	16090
2007	22136	Lalueza	830	26583	14233	118138	118131
2007	22137	Lanaja	1182	27596	16752	135692	135692
2007	22139	Laperdiguera	103	2157	1218	4870	4870
2007	22141	Lascellas-Ponzano	236	1990	1990	11937	11936
2007	22142	Lascuarre	166	1304	1304	10428	10427
2007	22143	Laspaúles	362	3471	3471	24297	24241
2007	22144	Laspuña	325	3513	3513	21080	20659
2007	22149	Loarre	508	4534	4534	18138	18126
2007	22150	Loporzano	646	5283	5283	31698	31363
2007	22151	Loscorrales	136	1047	1047	5235	5235
2007	22155	Monesma y Cajigar	54	331	331	2314	2314
2007	22156	Monflorite-Lascasas	271	4171	4171	22938	22828
2007	22157	Montanuy	305	2937	2937	17620	16946
2007	22158	Monzón	12293	256308	255657	2531000	2531000
2007	22160	Naval	247	2246	2246	19087	18542
2007	22162	Novales	120	1490	1490	5959	5959
2007	22163	Nueno	495	12313	12313	84959	84727
2007	22164	Olvena	72	1398	552	2210	2210
2007	22165	Ontiñena	508	5263	5263	18421	18417
2007	22167	Osso de Cinca	409	5482	5482	27411	27401
2007	22168	Palo	67	3344	1567	9399	9399
2007	22170	Panticosa	2481	49599	49599	265357	264093
2007	22172	Peñalba	468	13875	7899	37123	36752
2007	22173	Peñas de Riglos (Las)	597	6285	6285	37708	37330
2007	22174	Peralta de Alcofea	641	6559	6559	59032	59032
2007	22175	Peralta de Calasanz	453	12263	5259	26294	26291
2007	22176	Peraltilla	148	1447	1447	7959	7959
2007	22177	Perarrúa	173	1993	1993	7973	7972
2007	22178	Pertusa	181	1934	1934	15085	15085
2007	22181	Piracés	74	591	591	3249	3249
2007	22182	Plan	332	3267	3267	19604	19586
2007	22184	Poleñino	188	2477	2477	20563	20554
2007	22186	Pozán de Vero	209	1723	1723	13784	13784
2007	22187	Puebla de Castro (La)	594	14844	12345	51851	51850
2007	22188	Puente de Montañana	228	1513	1513	11344	11317
2007	22189	Puértolas	226	8892	4478	17911	17880
2007	22190	Pueyo de Araguás (El)	97	987	987	4934	4934
2007	22193	Pueyo de Santa Cruz	232	2595	2595	23351	23333
2007	22195	Quicena	199	4806	4806	19225	19225
2007	22197	Robres	474	8180	8180	49080	49080
2007	22199	Sabiñánigo	9858	187075	187075	1721088	1721088
2007	22200	Sahún	701	16445	16445	106891	106891
2007	22201	Salas Altas	276	2346	2346	14078	14078
2007	22202	Salas Bajas	132	1500	1500	4499	4499
2007	22203	Salillas	114	2487	1240	4959	4959
2007	22204	Sallent de Gállego	5018	99155	99155	575101	575099
2007	22205	San Esteban de Litera	775	10769	8735	74245	74245
2007	22206	Sangarrén	195	2871	2871	22972	22972
2007	22207	San Juan de Plan	127	1370	1370	8221	8139
2007	22208	Santa Cilia	250	10023	4440	26640	26589
2007	22209	Santa Cruz de la Serós	208	9909	5147	25737	25560
2007	22212	Santaliestra y San Quílez	101	907	907	5080	5078
2007	22213	Sariñena	3175	63901	63901	428135	425864
2007	22214	Secastilla	204	4700	4700	28200	27608
2007	22215	Seira	207	2659	2659	17285	17015
2007	22217	Sena	588	8355	7162	42975	42975
2007	22218	Senés de Alcubierre	77	826	826	4790	4790
2007	22220	Sesa	217	2634	2634	10536	10536
2007	22221	Sesué	223	3312	3312	26495	26495
2007	22222	Siétamo	559	8170	8170	40849	40811
2007	22223	Sopeira	188	1578	1578	7891	7517
2007	22225	Tamarite de Litera	2413	81236	48352	386818	386624
2007	22226	Tardienta	920	29052	19824	142735	140848
2007	22227	Tella-Sin	238	2751	2751	16508	15992
2007	22228	Tierz	356	6049	6049	24197	23955
2007	22229	Tolva	237	1715	1715	10805	10803
2007	22230	Torla-Ordesa	465	9552	9552	38207	38166
2007	22232	Torralba de Aragón	128	2464	2464	15275	15275
2007	22233	Torre la Ribera	85	900	900	5399	5399
2007	22234	Torrente de Cinca	657	11526	11526	63390	61396
2007	22235	Torres de Alcanadre	126	1196	1196	6578	6578
2007	22236	Torres de Barbués	170	2574	2574	14413	14413
2007	22239	Tramaced	85	1256	1256	7538	7532
2007	22242	Valfarta	93	1756	1259	5667	5446
2007	22243	Valle de Bardají	32	309	309	1854	1853
2007	22244	Valle de Lierp	53	534	534	3202	3184
2007	22245	Velilla de Cinca	400	5808	4854	24272	24272
2007	22246	Beranuy	117	1059	1059	4237	4237
2007	22247	Viacamp y Litera	39	170	170	1447	1447
2007	22248	Vicién	126	1383	1383	6914	6914
2007	22249	Villanova	248	4269	4269	25613	25613
2007	22250	Villanúa	2542	58369	58369	291844	291844
2007	22251	Villanueva de Sigena	391	6161	5346	34751	34751
2007	22252	Yebra de Basa	131	1293	1293	10345	10327
