Municipio código	Municipio nombre	Tipo edificio (agregado)	Tipo edificio (detalle)	Número de edificios
50128	Isuerre	Otro tipo	Locales	2
50128	Isuerre	Principalmente vivienda	Edificio sólo con una vivienda familiar	54
50128	Isuerre	Principalmente vivienda	Edificio sólo con varias viviendas familiares	3
50129	Jaraba	Otro tipo	Locales	8
50129	Jaraba	Principalmente vivienda	Edificio sólo con una vivienda familiar	193
50129	Jaraba	Principalmente vivienda	Edificio sólo con varias viviendas familiares	21
50129	Jaraba	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	11
50130	Jarque	Otro tipo	Locales	17
50130	Jarque	Principalmente vivienda	Edificio sólo con una vivienda familiar	298
50130	Jarque	Principalmente vivienda	Edificio sólo con varias viviendas familiares	27
50130	Jarque	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	12
50131	Jaulín	Otro tipo	Locales	7
50131	Jaulín	Principalmente vivienda	Edificio sólo con una vivienda familiar	147
50131	Jaulín	Principalmente vivienda	Edificio sólo con varias viviendas familiares	9
50131	Jaulín	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	7
50131	Jaulín	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
50132	Joyosa (La)	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
50132	Joyosa (La)	Otro tipo	Locales	10
50132	Joyosa (La)	Principalmente vivienda	Edificio sólo con una vivienda familiar	182
50132	Joyosa (La)	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
50132	Joyosa (La)	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	8
50132	Joyosa (La)	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
50132	Joyosa (La)	Principalmente vivienda	Alojamientos	2
50133	Lagata	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
50133	Lagata	Otro tipo	Locales	9
50133	Lagata	Principalmente vivienda	Edificio sólo con una vivienda familiar	146
50133	Lagata	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
50133	Lagata	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
50134	Langa del Castillo	Otro tipo	Locales	7
50134	Langa del Castillo	Principalmente vivienda	Edificio sólo con una vivienda familiar	192
50134	Langa del Castillo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	5
50135	Layana	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
50135	Layana	Otro tipo	Locales	7
50135	Layana	Principalmente vivienda	Edificio sólo con una vivienda familiar	107
50135	Layana	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
50135	Layana	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
50136	Lécera	Otro tipo	Locales	80
50136	Lécera	Principalmente vivienda	Edificio sólo con una vivienda familiar	525
50136	Lécera	Principalmente vivienda	Edificio sólo con varias viviendas familiares	54
50136	Lécera	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	42
50137	Leciñena	Otro tipo	Locales	18
50137	Leciñena	Principalmente vivienda	Edificio sólo con una vivienda familiar	350
50137	Leciñena	Principalmente vivienda	Edificio sólo con varias viviendas familiares	106
50137	Leciñena	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	23
50138	Lechón	Otro tipo	Locales	10
50138	Lechón	Principalmente vivienda	Edificio sólo con una vivienda familiar	33
50138	Lechón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
50139	Letux	Otro tipo	Locales	24
50139	Letux	Principalmente vivienda	Edificio sólo con una vivienda familiar	265
50139	Letux	Principalmente vivienda	Edificio sólo con varias viviendas familiares	74
50139	Letux	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	6
50140	Litago	Otro tipo	Locales	9
50140	Litago	Principalmente vivienda	Edificio sólo con una vivienda familiar	147
50140	Litago	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
50140	Litago	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
50141	Lituénigo	Otro tipo	Locales	10
50141	Lituénigo	Principalmente vivienda	Edificio sólo con una vivienda familiar	73
50141	Lituénigo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
50142	Lobera de Onsella	Otro tipo	Locales	2
50142	Lobera de Onsella	Principalmente vivienda	Edificio sólo con una vivienda familiar	32
50142	Lobera de Onsella	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
50143	Longares	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
50143	Longares	Otro tipo	Locales	6
50143	Longares	Principalmente vivienda	Edificio sólo con una vivienda familiar	293
50143	Longares	Principalmente vivienda	Edificio sólo con varias viviendas familiares	31
50143	Longares	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	11
50143	Longares	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
50143	Longares	Principalmente vivienda	Alojamientos	3
50144	Longás	Otro tipo	Locales	3
50144	Longás	Principalmente vivienda	Edificio sólo con una vivienda familiar	43
50144	Longás	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
50144	Longás	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
50146	Lucena de Jalón	Otro tipo	Locales	8
50146	Lucena de Jalón	Principalmente vivienda	Edificio sólo con una vivienda familiar	133
50146	Lucena de Jalón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	7
50146	Lucena de Jalón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
50146	Lucena de Jalón	Principalmente vivienda	Alojamientos	1
50147	Luceni	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
50147	Luceni	Otro tipo	Locales	11
50147	Luceni	Principalmente vivienda	Edificio sólo con una vivienda familiar	454
50147	Luceni	Principalmente vivienda	Edificio sólo con varias viviendas familiares	34
50147	Luceni	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	32
50147	Luceni	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
50148	Luesia	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	5
50148	Luesia	Otro tipo	Locales	3
50148	Luesia	Principalmente vivienda	Edificio sólo con una vivienda familiar	215
50148	Luesia	Principalmente vivienda	Edificio sólo con varias viviendas familiares	19
50148	Luesia	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	15
50148	Luesia	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	2
50149	Luesma	Otro tipo	Locales	1
50149	Luesma	Principalmente vivienda	Edificio sólo con una vivienda familiar	53
50149	Luesma	Principalmente vivienda	Edificio sólo con varias viviendas familiares	3
50149	Luesma	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
50150	Lumpiaque	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
50150	Lumpiaque	Otro tipo	Locales	9
50150	Lumpiaque	Principalmente vivienda	Edificio sólo con una vivienda familiar	531
50150	Lumpiaque	Principalmente vivienda	Edificio sólo con varias viviendas familiares	16
50150	Lumpiaque	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	13
50151	Luna	Otro tipo	Locales	26
50151	Luna	Principalmente vivienda	Edificio sólo con una vivienda familiar	449
50151	Luna	Principalmente vivienda	Edificio sólo con varias viviendas familiares	80
50151	Luna	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	11
50152	Maella	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	3
50152	Maella	Otro tipo	Locales	101
50152	Maella	Principalmente vivienda	Edificio sólo con una vivienda familiar	958
50152	Maella	Principalmente vivienda	Edificio sólo con varias viviendas familiares	94
50152	Maella	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	40
50153	Magallón	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
50153	Magallón	Otro tipo	Locales	32
50153	Magallón	Principalmente vivienda	Edificio sólo con una vivienda familiar	578
50153	Magallón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	29
50153	Magallón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	28
50154	Mainar	Otro tipo	Locales	12
50154	Mainar	Principalmente vivienda	Edificio sólo con una vivienda familiar	124
50154	Mainar	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
50154	Mainar	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
50155	Malanquilla	Principalmente vivienda	Edificio sólo con una vivienda familiar	108
50155	Malanquilla	Principalmente vivienda	Edificio sólo con varias viviendas familiares	11
50156	Maleján	Otro tipo	Locales	6
50156	Maleján	Principalmente vivienda	Edificio sólo con una vivienda familiar	150
50156	Maleján	Principalmente vivienda	Edificio sólo con varias viviendas familiares	19
50156	Maleján	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
50157	Malón	Otro tipo	Locales	14
50157	Malón	Principalmente vivienda	Edificio sólo con una vivienda familiar	274
50157	Malón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	13
50157	Malón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	9
50159	Maluenda	Otro tipo	Locales	26
50159	Maluenda	Principalmente vivienda	Edificio sólo con una vivienda familiar	465
50159	Maluenda	Principalmente vivienda	Edificio sólo con varias viviendas familiares	66
50159	Maluenda	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	5
50159	Maluenda	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
50160	Mallén	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	4
50160	Mallén	Otro tipo	Locales	65
50160	Mallén	Principalmente vivienda	Edificio sólo con una vivienda familiar	966
50160	Mallén	Principalmente vivienda	Edificio sólo con varias viviendas familiares	176
50160	Mallén	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	65
50160	Mallén	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
50161	Manchones	Otro tipo	Locales	1
50161	Manchones	Principalmente vivienda	Edificio sólo con una vivienda familiar	139
50161	Manchones	Principalmente vivienda	Edificio sólo con varias viviendas familiares	16
50161	Manchones	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
50162	Mara	Otro tipo	Locales	5
50162	Mara	Principalmente vivienda	Edificio sólo con una vivienda familiar	176
50162	Mara	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
50162	Mara	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	5
50163	María de Huerva	Otro tipo	Locales	130
50163	María de Huerva	Principalmente vivienda	Edificio sólo con una vivienda familiar	611
50163	María de Huerva	Principalmente vivienda	Edificio sólo con varias viviendas familiares	30
50163	María de Huerva	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	12
50163	María de Huerva	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
50164	Mediana de Aragón	Principalmente vivienda	Edificio sólo con una vivienda familiar	208
50164	Mediana de Aragón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	15
50165	Mequinenza	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	8
50165	Mequinenza	Otro tipo	Locales	22
50165	Mequinenza	Principalmente vivienda	Edificio sólo con una vivienda familiar	697
50165	Mequinenza	Principalmente vivienda	Edificio sólo con varias viviendas familiares	150
50165	Mequinenza	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	86
50166	Mesones de Isuela	Otro tipo	Locales	2
50166	Mesones de Isuela	Principalmente vivienda	Edificio sólo con una vivienda familiar	219
50166	Mesones de Isuela	Principalmente vivienda	Edificio sólo con varias viviendas familiares	21
50166	Mesones de Isuela	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
50167	Mezalocha	Otro tipo	Locales	12
50167	Mezalocha	Principalmente vivienda	Edificio sólo con una vivienda familiar	148
50167	Mezalocha	Principalmente vivienda	Edificio sólo con varias viviendas familiares	5
50168	Mianos	Otro tipo	Locales	3
50168	Mianos	Principalmente vivienda	Edificio sólo con una vivienda familiar	30
50168	Mianos	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
50168	Mianos	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
50169	Miedes de Aragón	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
50169	Miedes de Aragón	Otro tipo	Locales	40
50169	Miedes de Aragón	Principalmente vivienda	Edificio sólo con una vivienda familiar	268
50169	Miedes de Aragón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	32
50169	Miedes de Aragón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	10
50169	Miedes de Aragón	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
50170	Monegrillo	Otro tipo	Locales	19
50170	Monegrillo	Principalmente vivienda	Edificio sólo con una vivienda familiar	194
50170	Monegrillo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	22
50170	Monegrillo	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
50171	Moneva	Otro tipo	Locales	13
50171	Moneva	Principalmente vivienda	Edificio sólo con una vivienda familiar	136
50171	Moneva	Principalmente vivienda	Edificio sólo con varias viviendas familiares	7
50171	Moneva	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
50172	Monreal de Ariza	Otro tipo	Locales	5
50172	Monreal de Ariza	Principalmente vivienda	Edificio sólo con una vivienda familiar	154
50172	Monreal de Ariza	Principalmente vivienda	Edificio sólo con varias viviendas familiares	23
50172	Monreal de Ariza	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
50173	Monterde	Otro tipo	Locales	9
50173	Monterde	Principalmente vivienda	Edificio sólo con una vivienda familiar	246
50173	Monterde	Principalmente vivienda	Edificio sólo con varias viviendas familiares	16
50173	Monterde	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
50174	Montón	Otro tipo	Locales	2
50174	Montón	Principalmente vivienda	Edificio sólo con una vivienda familiar	136
50174	Montón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
50174	Montón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
50175	Morata de Jalón	Otro tipo	Locales	75
50175	Morata de Jalón	Principalmente vivienda	Edificio sólo con una vivienda familiar	725
50175	Morata de Jalón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	85
50175	Morata de Jalón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	27
50175	Morata de Jalón	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
50175	Morata de Jalón	Principalmente vivienda	Alojamientos	1
50176	Morata de Jiloca	Otro tipo	Locales	2
50176	Morata de Jiloca	Principalmente vivienda	Edificio sólo con una vivienda familiar	214
50176	Morata de Jiloca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	23
50177	Morés	Otro tipo	Locales	17
50177	Morés	Principalmente vivienda	Edificio sólo con una vivienda familiar	315
50177	Morés	Principalmente vivienda	Edificio sólo con varias viviendas familiares	34
50177	Morés	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	11
50178	Moros	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
50178	Moros	Otro tipo	Locales	6
50178	Moros	Principalmente vivienda	Edificio sólo con una vivienda familiar	368
50178	Moros	Principalmente vivienda	Edificio sólo con varias viviendas familiares	40
50178	Moros	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	5
50179	Moyuela	Principalmente vivienda	Edificio sólo con una vivienda familiar	223
50179	Moyuela	Principalmente vivienda	Edificio sólo con varias viviendas familiares	14
50180	Mozota	Otro tipo	Locales	24
50180	Mozota	Principalmente vivienda	Edificio sólo con una vivienda familiar	135
50180	Mozota	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
50180	Mozota	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	4
50180	Mozota	Principalmente vivienda	Alojamientos	1
50181	Muel	Otro tipo	Locales	1
50181	Muel	Principalmente vivienda	Edificio sólo con una vivienda familiar	469
50181	Muel	Principalmente vivienda	Edificio sólo con varias viviendas familiares	57
50181	Muel	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
50181	Muel	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
50182	Muela (La)	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
50182	Muela (La)	Otro tipo	Locales	83
50182	Muela (La)	Principalmente vivienda	Edificio sólo con una vivienda familiar	1014
50182	Muela (La)	Principalmente vivienda	Edificio sólo con varias viviendas familiares	114
50182	Muela (La)	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	37
50182	Muela (La)	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
50183	Munébrega	Otro tipo	Locales	9
50183	Munébrega	Principalmente vivienda	Edificio sólo con una vivienda familiar	291
50183	Munébrega	Principalmente vivienda	Edificio sólo con varias viviendas familiares	16
50183	Munébrega	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	11
50184	Murero	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
50184	Murero	Otro tipo	Locales	1
50184	Murero	Principalmente vivienda	Edificio sólo con una vivienda familiar	152
50184	Murero	Principalmente vivienda	Edificio sólo con varias viviendas familiares	7
50184	Murero	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
50185	Murillo de Gállego	Otro tipo	Locales	1
50185	Murillo de Gállego	Principalmente vivienda	Edificio sólo con una vivienda familiar	127
50185	Murillo de Gállego	Principalmente vivienda	Edificio sólo con varias viviendas familiares	9
50185	Murillo de Gállego	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
50186	Navardún	Otro tipo	Locales	6
50186	Navardún	Principalmente vivienda	Edificio sólo con una vivienda familiar	40
50186	Navardún	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
50187	Nigüella	Otro tipo	Locales	1
50187	Nigüella	Principalmente vivienda	Edificio sólo con una vivienda familiar	75
50187	Nigüella	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
50188	Nombrevilla	Otro tipo	Locales	4
50188	Nombrevilla	Principalmente vivienda	Edificio sólo con una vivienda familiar	52
50188	Nombrevilla	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
50189	Nonaspe	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
50189	Nonaspe	Otro tipo	Locales	66
50189	Nonaspe	Principalmente vivienda	Edificio sólo con una vivienda familiar	559
50189	Nonaspe	Principalmente vivienda	Edificio sólo con varias viviendas familiares	66
50189	Nonaspe	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	85
50190	Novallas	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
50190	Novallas	Otro tipo	Locales	16
50190	Novallas	Principalmente vivienda	Edificio sólo con una vivienda familiar	422
50190	Novallas	Principalmente vivienda	Edificio sólo con varias viviendas familiares	33
50190	Novallas	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	16
50191	Novillas	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
50191	Novillas	Otro tipo	Locales	21
50191	Novillas	Principalmente vivienda	Edificio sólo con una vivienda familiar	292
50191	Novillas	Principalmente vivienda	Edificio sólo con varias viviendas familiares	16
50191	Novillas	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
50191	Novillas	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
50192	Nuévalos	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
50192	Nuévalos	Otro tipo	Locales	25
50192	Nuévalos	Principalmente vivienda	Edificio sólo con una vivienda familiar	234
50192	Nuévalos	Principalmente vivienda	Edificio sólo con varias viviendas familiares	10
50192	Nuévalos	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	7
50193	Nuez de Ebro	Principalmente vivienda	Edificio sólo con una vivienda familiar	334
50193	Nuez de Ebro	Principalmente vivienda	Edificio sólo con varias viviendas familiares	5
50193	Nuez de Ebro	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	4
50194	Olvés	Otro tipo	Locales	8
50194	Olvés	Principalmente vivienda	Edificio sólo con una vivienda familiar	188
50194	Olvés	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
50195	Orcajo	Otro tipo	Locales	16
50195	Orcajo	Principalmente vivienda	Edificio sólo con una vivienda familiar	63
50195	Orcajo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
50196	Orera	Otro tipo	Locales	5
50196	Orera	Principalmente vivienda	Edificio sólo con una vivienda familiar	87
50196	Orera	Principalmente vivienda	Edificio sólo con varias viviendas familiares	9
50197	Orés	Otro tipo	Locales	7
50197	Orés	Principalmente vivienda	Edificio sólo con una vivienda familiar	112
50197	Orés	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
50198	Oseja	Otro tipo	Locales	3
50198	Oseja	Principalmente vivienda	Edificio sólo con una vivienda familiar	71
50198	Oseja	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
50199	Osera de Ebro	Otro tipo	Locales	11
50199	Osera de Ebro	Principalmente vivienda	Edificio sólo con una vivienda familiar	254
50199	Osera de Ebro	Principalmente vivienda	Edificio sólo con varias viviendas familiares	11
50199	Osera de Ebro	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	4
50199	Osera de Ebro	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
50200	Paniza	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
50200	Paniza	Otro tipo	Locales	8
50200	Paniza	Principalmente vivienda	Edificio sólo con una vivienda familiar	330
50200	Paniza	Principalmente vivienda	Edificio sólo con varias viviendas familiares	48
50200	Paniza	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
50201	Paracuellos de Jiloca	Otro tipo	Locales	16
50201	Paracuellos de Jiloca	Principalmente vivienda	Edificio sólo con una vivienda familiar	256
50201	Paracuellos de Jiloca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	11
50201	Paracuellos de Jiloca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
50202	Paracuellos de la Ribera	Otro tipo	Locales	2
50202	Paracuellos de la Ribera	Principalmente vivienda	Edificio sólo con una vivienda familiar	336
50202	Paracuellos de la Ribera	Principalmente vivienda	Edificio sólo con varias viviendas familiares	29
50202	Paracuellos de la Ribera	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	7
50203	Pastriz	Otro tipo	Locales	18
50203	Pastriz	Principalmente vivienda	Edificio sólo con una vivienda familiar	346
50203	Pastriz	Principalmente vivienda	Edificio sólo con varias viviendas familiares	21
50203	Pastriz	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	6
50204	Pedrola	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
50204	Pedrola	Otro tipo	Locales	39
50204	Pedrola	Principalmente vivienda	Edificio sólo con una vivienda familiar	901
50204	Pedrola	Principalmente vivienda	Edificio sólo con varias viviendas familiares	124
50204	Pedrola	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	27
50204	Pedrola	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
50205	Pedrosas (Las)	Otro tipo	Locales	2
50205	Pedrosas (Las)	Principalmente vivienda	Edificio sólo con una vivienda familiar	66
50205	Pedrosas (Las)	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
50205	Pedrosas (Las)	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
50206	Perdiguera	Otro tipo	Locales	23
50206	Perdiguera	Principalmente vivienda	Edificio sólo con una vivienda familiar	222
50206	Perdiguera	Principalmente vivienda	Edificio sólo con varias viviendas familiares	35
50206	Perdiguera	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
50207	Piedratajada	Otro tipo	Locales	3
50207	Piedratajada	Principalmente vivienda	Edificio sólo con una vivienda familiar	82
50207	Piedratajada	Principalmente vivienda	Edificio sólo con varias viviendas familiares	10
50207	Piedratajada	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
50208	Pina de Ebro	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	4
50208	Pina de Ebro	Otro tipo	Locales	84
50208	Pina de Ebro	Principalmente vivienda	Edificio sólo con una vivienda familiar	682
50208	Pina de Ebro	Principalmente vivienda	Edificio sólo con varias viviendas familiares	177
50208	Pina de Ebro	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	47
50209	Pinseque	Otro tipo	Locales	29
50209	Pinseque	Principalmente vivienda	Edificio sólo con una vivienda familiar	854
50209	Pinseque	Principalmente vivienda	Edificio sólo con varias viviendas familiares	91
50209	Pinseque	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	95
50209	Pinseque	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	3
50209	Pinseque	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	3
50210	Pintanos (Los)	Otro tipo	Locales	6
50210	Pintanos (Los)	Principalmente vivienda	Edificio sólo con una vivienda familiar	60
50210	Pintanos (Los)	Principalmente vivienda	Edificio sólo con varias viviendas familiares	5
50211	Plasencia de Jalón	Otro tipo	Locales	5
50211	Plasencia de Jalón	Principalmente vivienda	Edificio sólo con una vivienda familiar	176
50211	Plasencia de Jalón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	11
50211	Plasencia de Jalón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	4
50212	Pleitas	Otro tipo	Locales	2
50212	Pleitas	Principalmente vivienda	Edificio sólo con una vivienda familiar	51
50212	Pleitas	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
50213	Plenas	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
50213	Plenas	Otro tipo	Locales	44
50213	Plenas	Principalmente vivienda	Edificio sólo con una vivienda familiar	174
50213	Plenas	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
50213	Plenas	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	6
50214	Pomer	Otro tipo	Locales	3
50214	Pomer	Principalmente vivienda	Edificio sólo con una vivienda familiar	82
50214	Pomer	Principalmente vivienda	Edificio sólo con varias viviendas familiares	3
50215	Pozuel de Ariza	Principalmente vivienda	Edificio sólo con una vivienda familiar	103
50215	Pozuel de Ariza	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
50216	Pozuelo de Aragón	Otro tipo	Locales	6
50216	Pozuelo de Aragón	Principalmente vivienda	Edificio sólo con una vivienda familiar	159
50216	Pozuelo de Aragón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	3
50217	Pradilla de Ebro	Otro tipo	Locales	12
50217	Pradilla de Ebro	Principalmente vivienda	Edificio sólo con una vivienda familiar	270
50217	Pradilla de Ebro	Principalmente vivienda	Edificio sólo con varias viviendas familiares	27
50217	Pradilla de Ebro	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	7
50218	Puebla de Albortón	Otro tipo	Locales	4
50218	Puebla de Albortón	Principalmente vivienda	Edificio sólo con una vivienda familiar	93
50218	Puebla de Albortón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
50219	Puebla de Alfindén (La)	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	5
50219	Puebla de Alfindén (La)	Otro tipo	Locales	326
50219	Puebla de Alfindén (La)	Principalmente vivienda	Edificio sólo con una vivienda familiar	1322
50219	Puebla de Alfindén (La)	Principalmente vivienda	Edificio sólo con varias viviendas familiares	86
