Municipio código	Municipio nombre	Espacios Naturales Protegidos	Superficie de Espacios Naturales Protegidos	Lugares de Importancia Comunitaria	Superficie Lugares de Importacia Comunitaria	Zonas de especial Protección para las Aves	Superficie Zonas de Especial Protección para las Aves
50077	Castejón de Valdejasa	0	0	1	1918,517121	1	2763,059365
50078	Castiliscar	0	0	0	0	1	24,37554615
50079	Cervera de la Cañada	0	0	0	0	0	0
50080	Cerveruela	0	0	1	2348,535535	0	0
50081	Cetina	0	0	0	0	0	0
50082	Cimballa	0	0	1	16,74110485	0	0
50083	Cinco Olivas	0	0	1	47,84767303	0	0
50084	Clarés de Ribota	0	0	0	0	0	0
50085	Codo	0	0	1	479,5033659	1	331,0736859
50086	Codos	0	0	3	1681,639508	0	0
50087	Contamina	0	0	0	0	0	0
50088	Cosuenda	0	0	1	338,7490179	0	0
50089	Cuarte de Huerva	0	0	1	1,053525323	1	11,85058198
50090	Cubel	0	0	3	2533,572101	1	1782,641175
50091	Cuerlas (Las)	1	200	2	864,3798051	1	1108,156639
50092	Chiprana	1	161,98	1	154,8251534	0	0
50093	Chodes	0	0	0	0	1	1596,356885
50094	Daroca	0	0	0	0	0	0
50095	Ejea de los Caballeros	0	0	1	5837,733424	2	4573,76722
50096	Embid de Ariza	0	0	0	0	0	0
50098	Encinacorba	0	0	3	682,5885542	0	0
50099	Épila	0	0	2	4420,62104	0	0
50100	Erla	0	0	0	0	0	0
50101	Escatrón	0	0	2	287,3234168	0	0
50102	Fabara	0	0	4	337,2260173	1	5162,894755
50104	Farlete	0	0	2	3082,754371	2	5096,228629
50105	Fayón	0	0	1	100,4076212	1	6705,18083
50106	Fayos (Los)	0	0	0	0	1	256,3995643
50107	Figueruelas	0	0	0	0	0	0
50108	Fombuena	0	0	1	1457,965689	0	0
50109	Frago (El)	0	0	1	135,4992187	0	0
50110	Frasno (El)	0	0	2	918,7035131	1	1456,831803
50111	Fréscano	0	0	0	0	0	0
50113	Fuendejalón	0	0	0	0	0	0
50114	Fuendetodos	0	0	0	0	1	1677,503766
50115	Fuentes de Ebro	1	7,212016	3	4273,454356	1	2238,214568
50116	Fuentes de Jiloca	0	0	1	966,3361412	1	966,3360103
50117	Gallocanta	1	618,13	2	1403,184353	1	2099,156961
50118	Gallur	0	0	1	115,6027199	0	0
50119	Gelsa	0	0	1	3077,039628	2	3160,975655
50120	Godojos	0	0	0	0	0	0
50121	Gotor	0	0	0	0	0	0
50122	Grisel	0	0	0	0	0	0
50123	Grisén	0	0	0	0	0	0
50124	Herrera de los Navarros	0	0	1	3367,957182	1	1149,261556
50125	Ibdes	0	0	1	0,77251622	1	0,772514811
50126	Illueca	0	0	0	0	0	0
50128	Isuerre	0	0	1	73,93219742	1	95,69397528
50129	Jaraba	0	0	1	3064,489371	1	3064,489879
50130	Jarque de Moncayo	0	0	0	0	0	0
50131	Jaulín	0	0	0	0	1	4604,672756
50132	Joyosa (La)	0	0	0	0	0	0
50133	Lagata	0	0	0	0	0	0
50134	Langa del Castillo	0	0	2	1425,674576	1	21,67035411
50135	Layana	0	0	0	0	1	4,142325392
50136	Lécera	0	0	0	0	0	0
50137	Leciñena	0	0	1	7147,553916	1	9049,39318
50138	Lechón	0	0	0	0	0	0
50139	Letux	0	0	0	0	0	0
50140	Litago	1	104,96	2	126,4290108	1	107,5658068
50141	Lituénigo	1	15,07	1	16,56149626	1	16,56625397
50142	Lobera de Onsella	0	0	2	115,0665127	1	145,6768144
50143	Longares	0	0	0	0	0	0
50144	Longás	0	0	2	1374,926269	1	1493,435947
50146	Lucena de Jalón	0	0	0	0	0	0
50147	Luceni	0	0	1	49,0100113	0	0
50148	Luesia	0	0	2	4566,260177	1	4387,172314
50149	Luesma	0	0	1	1627,092926	0	0
50150	Lumpiaque	0	0	1	0,563233513	0	0
50151	Luna	0	0	1	252,3626041	0	0
50152	Maella	0	0	3	267,6649738	1	6265,942628
50153	Magallón	0	0	1	3435,610559	0	0
50154	Mainar	0	0	1	930,30508	0	0
50155	Malanquilla	0	0	0	0	0	0
50156	Maleján	0	0	0	0	0	0
50157	Malón	0	0	0	0	0	0
50159	Maluenda	0	0	1	1069,277196	1	1069,276522
50160	Mallén	0	0	0	0	0	0
50161	Manchones	0	0	0	0	0	0
50162	Mara	0	0	2	800,8481917	1	795,180292
50163	María de Huerva	0	0	1	2561,697162	1	6369,176349
50164	Mediana de Aragón	0	0	2	8021,103337	1	5580,206925
50165	Mequinenza	0	0	1	0,453713267	2	12442,57933
50166	Mesones de Isuela	0	0	1	0,74752303	0	0
50167	Mezalocha	0	0	0	0	1	2854,404775
50168	Mianos	0	0	2	483,1716337	1	70,73032624
50169	Miedes de Aragón	0	0	2	2502,199909	1	1433,88981
50170	Monegrillo	0	0	2	4565,582835	2	12194,68308
50171	Moneva	0	0	0	0	0	0
50172	Monreal de Ariza	0	0	0	0	0	0
50173	Monterde	0	0	1	3872,939458	0	0
50174	Montón	0	0	1	600,9058192	1	600,9059848
50175	Morata de Jalón	0	0	2	7,151764413	1	2138,785841
50176	Morata de Jiloca	0	0	1	845,9450411	1	845,9445804
50177	Morés	0	0	1	6,90942817	1	1361,840427
50178	Moros	0	0	0	0	0	0
50179	Moyuela	0	0	0	0	0	0
50180	Mozota	0	0	0	0	1	251,5417791
50181	Muel	0	0	0	0	1	450,9853228
50182	Muela (La)	0	0	1	459,4238041	0	0
50183	Munébrega	0	0	1	1,624329573	0	0
50184	Murero	0	0	1	0,797298141	1	0,797404386
50185	Murillo de Gállego	0	0	1	17,39834802	1	995,570224
50186	Navardún	0	0	1	89,50642977	1	281,5643473
50187	Nigüella	0	0	1	0,166757006	1	484,3416123
50188	Nombrevilla	0	0	0	0	0	0
50189	Nonaspe	0	0	2	968,3095373	1	11102,70994
50190	Novallas	0	0	0	0	0	0
50191	Novillas	0	0	1	255,2745916	0	0
50192	Nuévalos	0	0	1	953,2917476	0	0
50193	Nuez de Ebro	1	2,441289	0	0	1	43,11669447
50194	Olvés	0	0	1	0,359720801	0	0
50195	Orcajo	0	0	2	902,6879931	0	0
50196	Orera	0	0	1	927,8967071	0	0
50197	Orés	0	0	0	0	0	0
50198	Oseja	0	0	0	0	1	97,12724791
50199	Osera de Ebro	1	418,840109	2	302,1959476	1	6,939045269
50200	Paniza	0	0	1	1891,0639	0	0
50201	Paracuellos de Jiloca	0	0	1	849,897469	1	849,8976725
50202	Paracuellos de la Ribera	0	0	2	11,17876271	1	1494,856326
50203	Pastriz	1	500,608838	1	474,6946791	1	804,1965267
50204	Pedrola	0	0	1	15,49580878	0	0
50205	Pedrosas (Las)	0	0	1	3,684420261	1	2,749753311
50206	Perdiguera	0	0	1	4502,789768	1	4495,859009
50207	Piedratajada	0	0	0	0	0	0
50208	Pina de Ebro	0	0	4	8466,447512	3	21757,3822
50209	Pinseque	0	0	0	0	0	0
50210	Pintanos (Los)	0	0	1	1489,55536	0	0
50211	Plasencia de Jalón	0	0	0	0	0	0
50212	Pleitas	0	0	0	0	0	0
50213	Plenas	0	0	0	0	0	0
50214	Pomer	0	0	0	0	0	0
50215	Pozuel de Ariza	0	0	0	0	0	0
50216	Pozuelo de Aragón	0	0	1	5,190880886	0	0
50217	Pradilla de Ebro	0	0	1	60,40974384	1	321,1965237
50218	Puebla de Albortón	0	0	1	3878,275198	2	3915,881268
50219	Puebla de Alfindén (La)	1	0,16	1	0,100202804	1	17,69978506
50220	Puendeluna	0	0	0	0	0	0
50221	Purujosa	1	2946,7	1	2279,493087	1	2277,94157
50222	Quinto	0	0	2	962,1369545	1	218,6449245
50223	Remolinos	0	0	1	38,25741454	1	1115,894318
50224	Retascón	0	0	0	0	0	0
50225	Ricla	0	0	3	1,09054556	1	3356,027647
50227	Romanos	0	0	0	0	0	0
50228	Rueda de Jalón	0	0	2	960,616366	0	0
50229	Ruesca	0	0	1	493,4185317	0	0
50230	Sádaba	0	0	0	0	1	219,6733214
50231	Salillas de Jalón	0	0	0	0	0	0
50232	Salvatierra de Esca	0	0	3	2978,849148	2	2546,715294
50233	Samper del Salz	0	0	0	0	0	0
50234	San Martín de la Virgen de Moncayo	1	31,85	1	33,57442342	1	161,9832181
50235	San Mateo de Gállego	0	0	1	59,17097293	1	290,0480474
50236	Santa Cruz de Grío	0	0	2	1143,074309	0	0
50237	Santa Cruz de Moncayo	0	0	0	0	0	0
50238	Santa Eulalia de Gállego	0	0	0	0	0	0
50239	Santed	0	0	2	286,3512851	1	351,6770315
50240	Sástago	0	0	2	15814,51365	1	15101,73435
50241	Saviñán	0	0	1	5,129818106	1	1551,731351
50242	Sediles	0	0	1	28,07745694	0	0
50243	Sestrica	0	0	1	10,06545594	1	53,51156933
50244	Sierra de Luna	0	0	1	0,750535651	1	2,016593918
50245	Sigüés	0	0	4	4694,011477	2	4563,068945
50246	Sisamón	0	0	0	0	0	0
50247	Sobradiel	0	0	1	41,63775245	0	0
50248	Sos del Rey Católico	0	0	1	14,65185453	1	29,60567868
50249	Tabuenca	0	0	1	2694,051732	0	0
50250	Talamantes	1	975,83	2	393,2416134	1	393,2428163
50251	Tarazona	1	1473,28	1	1487,84004	1	3045,16658
50252	Tauste	0	0	3	1213,68066	2	3889,78359
50253	Terrer	0	0	0	0	0	0
50254	Tierga	0	0	1	1698,091271	1	1116,854112
50255	Tobed	0	0	2	1447,823614	0	0
50256	Torralba de los Frailes	0	0	1	2112,916327	1	1331,728084
50257	Torralba de Ribota	0	0	1	10,01980818	0	0
50258	Torralbilla	0	0	1	995,0627192	0	0
50259	Torrehermosa	0	0	0	0	0	0
50260	Torrelapaja	0	0	0	0	0	0
50261	Torrellas	0	0	0	0	0	0
50262	Torres de Berrellén	0	0	2	451,1808358	1	3034,646982
50263	Torrijo de la Cañada	0	0	0	0	0	0
50264	Tosos	0	0	1	2186,721775	1	2256,18156
50265	Trasmoz	1	300,56	2	375,2711298	1	303,5245861
50266	Trasobares	0	0	2	1364,73257	1	1927,684963
50267	Uncastillo	0	0	2	88,87049212	2	30,08298879
50268	Undués de Lerda	0	0	0	0	0	0
50269	Urrea de Jalón	0	0	1	1753,235233	0	0
50270	Urriés	0	0	1	47,62445373	1	58,87705509
50271	Used	0	0	3	2090,844442	1	5348,28044
50272	Utebo	0	0	2	65,53244604	0	0
50273	Valdehorna	0	0	0	0	0	0
50274	Val de San Martín	0	0	1	134,5529261	0	0
50275	Valmadrid	0	0	1	5001,915733	2	5056,577412
50276	Valpalmas	0	0	0	0	0	0
50277	Valtorres	0	0	0	0	0	0
50278	Velilla de Ebro	0	0	2	3112,54005	1	3012,954227
50279	Velilla de Jiloca	0	0	1	587,9853945	1	587,9852386
50280	Vera de Moncayo	0	0	1	388,9886047	0	0
50281	Vierlas	0	0	0	0	0	0
50282	Vilueña (La)	0	0	0	0	0	0
50283	Villadoz	0	0	1	768,5347916	0	0
50284	Villafeliche	0	0	1	30,68332527	1	30,68310307
50285	Villafranca de Ebro	0	0	1	5013,480759	1	11,12904531
50286	Villalba de Perejil	0	0	1	610,5837229	1	610,5839363
50287	Villalengua	0	0	0	0	0	0
50288	Villanueva de Gállego	0	0	1	173,5191212	1	79,08231941
50289	Villanueva de Jiloca	0	0	0	0	0	0
50290	Villanueva de Huerva	0	0	0	0	1	825,2089491
50291	Villar de los Navarros	0	0	0	0	0	0
50292	Villarreal de Huerva	0	0	1	1667,366708	0	0
50293	Villarroya de la Sierra	0	0	0	0	0	0
50294	Villarroya del Campo	0	0	0	0	0	0
50295	Vistabella	0	0	1	2181,336117	1	0,053464157
50296	Zaida (La)	0	0	2	47,64906932	0	0
50297	Zaragoza	1	257,060395	6	24652,07694	4	11358,63797
50298	Zuera	0	0	2	14954,08698	2	15043,70661
50901	Biel	0	0	2	4020,280464	1	3848,4052
50902	Marracos	0	0	0	0	0	0
50903	Villamayor de Gállego	0	0	0	0	0	0
