Mes y año	División (2 dígitos) código	División (2 dígitos) descripción	Afiliaciones en alta
Diciembre 2018	69	Actividades jurídicas y de contabilidad	7304
Diciembre 2018	70	Actividades de las sedes centrales; actividades de consultoría de gestión empresarial	1860
Diciembre 2018	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	5498
Diciembre 2018	72	Investigación y desarrollo	1857
Diciembre 2018	73	Publicidad y estudios de mercado	1387
Diciembre 2018	74	Otras actividades profesionales, científicas y técnicas	3249
Diciembre 2018	75	Actividades veterinarias	639
Diciembre 2018	77	Actividades de alquiler	1474
Diciembre 2018	78	Actividades relacionadas con el empleo	6624
Diciembre 2018	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	1113
Diciembre 2018	80	Actividades de seguridad e investigación	2760
Diciembre 2018	81	Servicios a edificios y actividades de jardinería	17924
Diciembre 2018	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	7721
Diciembre 2018	84	Administración Pública y defensa; Seguridad Social obligatoria	38931
Diciembre 2018	85	Educación	23327
Diciembre 2018	86	Actividades sanitarias	34981
Diciembre 2018	87	Asistencia en establecimientos residenciales	12123
Diciembre 2018	88	Actividades de servicios sociales sin alojamiento	6089
Diciembre 2018	90	Actividades de creación, artísticas y espectáculos	1383
Diciembre 2018	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	272
Diciembre 2018	92	Actividades de juegos de azar y apuestas	1136
Diciembre 2018	93	Actividades deportivas, recreativas y de entretenimiento	6382
Diciembre 2018	94	Actividades asociativas	5546
Diciembre 2018	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	2158
Diciembre 2018	96	Otros servicios personales	9019
Diciembre 2018	97	Actividades de los hogares como empleadores de personal doméstico	16552
Diciembre 2018	99	Actividades de organizaciones y organismos extraterritoriales	12
Septiembre 2018	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	39104
Septiembre 2018	02	Silvicultura y explotación forestal	2016
Septiembre 2018	03	Pesca y acuicultura	144
Septiembre 2018	05	Extracción de antracita, hulla y lignito	119
Septiembre 2018	07	Extracción de minerales metálicos	49
Septiembre 2018	08	Otras industrias extractivas	730
Septiembre 2018	09	Actividades de apoyo a las industrias extractivas	6
Septiembre 2018	10	Industria de la alimentación	14672
Septiembre 2018	11	Fabricación de bebidas	1442
Septiembre 2018	13	Industria textil	939
Septiembre 2018	14	Confección de prendas de vestir	1360
Septiembre 2018	15	Industria del cuero y del calzado	978
Septiembre 2018	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	2119
Septiembre 2018	17	Industria del papel	2613
Septiembre 2018	18	Artes gráficas y reproducción de soportes grabados	1643
Septiembre 2018	19	Coquerías y refino de petróleo	1
Septiembre 2018	20	Industria química	3853
Septiembre 2018	21	Fabricación de productos farmacéuticos	1288
Septiembre 2018	22	Fabricación de productos de caucho y plásticos	4211
Septiembre 2018	23	Fabricación de otros productos minerales no metálicos	3665
Septiembre 2018	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	3241
Septiembre 2018	25	Fabricación de productos metálicos, excepto maquinaria y equipo	10306
Septiembre 2018	26	Fabricación de productos informáticos, electrónicos y ópticos	1771
Septiembre 2018	27	Fabricación de material y equipo eléctrico	5396
Septiembre 2018	28	Fabricación de maquinaria y equipo n.c.o.p.	7016
Septiembre 2018	29	Fabricación de vehículos de motor, remolques y semirremolques	17244
Septiembre 2018	30	Fabricación de otro material de transporte	1268
Septiembre 2018	31	Fabricación de muebles	3644
Septiembre 2018	32	Otras industrias manufactureras	1568
Septiembre 2018	33	Reparación e instalación de maquinaria y equipo	3453
Septiembre 2018	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1112
Septiembre 2018	36	Captación, depuración y distribución de agua	1547
Septiembre 2018	37	Recogida y tratamiento de aguas residuales	246
Septiembre 2018	38	Recogida, tratamiento y eliminación de residuos; valorización	3200
Septiembre 2018	39	Actividades de descontaminación y otros servicios de gestión de residuos	29
Septiembre 2018	41	Construcción de edificios	11531
Septiembre 2018	42	Ingeniería civil	1791
Septiembre 2018	43	Actividades de construcción especializada	22119
Septiembre 2018	45	Venta y reparación de vehículos de motor y motocicletas	9654
Septiembre 2018	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	27712
Septiembre 2018	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	49777
Septiembre 2018	49	Transporte terrestre y por tubería	22516
Septiembre 2018	50	Transporte marítimo y por vías navegables interiores	5
Septiembre 2018	51	Transporte aéreo	99
Septiembre 2018	52	Almacenamiento y actividades anexas al transporte	6901
Septiembre 2018	53	Actividades postales y de correos	2150
Septiembre 2018	55	Servicios de alojamiento	6349
