Municipio codigo	Municipio nombre	Estado civil, código	Estado civil	Sexo, código	Sexo	Nº personas
44048	Cabra de Mora	1	Soltero	1	Hombre	33,5979819951
44049	Calaceite	1	Soltero	1	Hombre	213,0631996362
44050	Calamocha	1	Soltero	1	Hombre	656,162168244
44051	Calanda	1	Soltero	1	Hombre	543,4365183601
44052	Calomarde	1	Soltero	1	Hombre	13,0443935473
44053	Camañas	1	Soltero	1	Hombre	27,4646752677
44054	Camarena de la Sierra	1	Soltero	1	Hombre	34,8079064568
44055	Camarillas	1	Soltero	1	Hombre	25,719709185
44056	Caminreal	1	Soltero	1	Hombre	123,6312916831
44059	Cantavieja	1	Soltero	1	Hombre	133,7392717391
44060	Cañada de Benatanduz	1	Soltero	1	Hombre	8,8672264482
44061	Cañada de Verich (La)	1	Soltero	1	Hombre	6,5998717534
44062	Cañada Vellida	1	Soltero	1	Hombre	22,4867211231
44063	Cañizar del Olivar	1	Soltero	1	Hombre	19,8682897738
44064	Cascante del Río	1	Soltero	1	Hombre	23,8649002055
44065	Castejón de Tornos	1	Soltero	1	Hombre	8,2153585353
44066	Castel de Cabra	1	Soltero	1	Hombre	20,2474506244
44067	Castelnou	1	Soltero	1	Hombre	36,7405177017
44068	Castelserás	1	Soltero	1	Hombre	114,1077650972
44070	Castellar (El)	1	Soltero	1	Hombre	19,6605447715
44071	Castellote	1	Soltero	1	Hombre	124,7638095395
44074	Cedrillas	1	Soltero	1	Hombre	88,5706556405
44075	Celadas	1	Soltero	1	Hombre	77,2462264595
44076	Cella	1	Soltero	1	Hombre	494,9466292561
44077	Cerollera (La)	1	Soltero	1	Hombre	14,3386927994
44080	Codoñera (La)	1	Soltero	1	Hombre	52,1904877647
44082	Corbalán	1	Soltero	1	Hombre	13,4274231065
44084	Cortes de Aragón	1	Soltero	1	Hombre	11,9851049566
44085	Cosa	1	Soltero	1	Hombre	14,8380742232
44086	Cretas	1	Soltero	1	Hombre	98,3062900792
44087	Crivillén	1	Soltero	1	Hombre	17,4121423791
44088	Cuba (La)	1	Soltero	1	Hombre	5,9917862729
44089	Cubla	1	Soltero	1	Hombre	16,3454371894
44090	Cucalón	1	Soltero	1	Hombre	23,4800422045
44092	Cuervo (El)	1	Soltero	1	Hombre	18,2596267247
44093	Cuevas de Almudén	1	Soltero	1	Hombre	24,6587553572
44094	Cuevas Labradas	1	Soltero	1	Hombre	20,4471610918
44096	Ejulve	1	Soltero	1	Hombre	43,3647563099
44097	Escorihuela	1	Soltero	1	Hombre	38,6040697838
44099	Escucha	1	Soltero	1	Hombre	191,1063514833
44100	Estercuel	1	Soltero	1	Hombre	35,2601179789
44101	Ferreruela de Huerva	1	Soltero	1	Hombre	18,9368581908
44102	Fonfría	1	Soltero	1	Hombre	4,9345514789
44103	Formiche Alto	1	Soltero	1	Hombre	28,4571358082
44105	Fórnoles	1	Soltero	1	Hombre	31,5710467989
44106	Fortanete	1	Soltero	1	Hombre	50,2460300842
44107	Foz-Calanda	1	Soltero	1	Hombre	65,5147047416
44108	Fresneda (La)	1	Soltero	1	Hombre	69,6038007729
44109	Frías de Albarracín	1	Soltero	1	Hombre	40,2901722448
44110	Fuenferrada	1	Soltero	1	Hombre	8,159378791
44111	Fuentes Calientes	1	Soltero	1	Hombre	21,5665666635
44112	Fuentes Claras	1	Soltero	1	Hombre	109,5190474149
44113	Fuentes de Rubielos	1	Soltero	1	Hombre	26,9566438672
44114	Fuentespalda	1	Soltero	1	Hombre	57,3885159441
44115	Galve	1	Soltero	1	Hombre	31,4199075754
44116	Gargallo	1	Soltero	1	Hombre	15,5880105856
44117	Gea de Albarracín	1	Soltero	1	Hombre	73,6109793799
44118	Ginebrosa (La)	1	Soltero	1	Hombre	35,5607645663
44119	Griegos	1	Soltero	1	Hombre	40,918804417
44120	Guadalaviar	1	Soltero	1	Hombre	54,9077332802
44121	Gúdar	1	Soltero	1	Hombre	22,2007656417
44122	Híjar	1	Soltero	1	Hombre	232,3637394005
44123	Hinojosa de Jarque	1	Soltero	1	Hombre	27,3411308262
44124	Hoz de la Vieja (La)	1	Soltero	1	Hombre	17,4080985637
44125	Huesa del Común	1	Soltero	1	Hombre	7,519730374
44126	Iglesuela del Cid (La)	1	Soltero	1	Hombre	98,7681291489
44127	Jabaloyas	1	Soltero	1	Hombre	20,376021642
44128	Jarque de la Val	1	Soltero	1	Hombre	17,9118763089
44129	Jatiel	1	Soltero	1	Hombre	11,3215752507
44130	Jorcas	1	Soltero	1	Hombre	11,4114675289
44131	Josa	1	Soltero	1	Hombre	15,6298205228
44132	Lagueruela	1	Soltero	1	Hombre	8,6511895109
44133	Lanzuela	1	Soltero	1	Hombre	11,089382728
44135	Libros	1	Soltero	1	Hombre	31,8082458458
44136	Lidón	1	Soltero	1	Hombre	8,9400192164
44137	Linares de Mora	1	Soltero	1	Hombre	77,3902419838
44138	Loscos	1	Soltero	1	Hombre	37,8870267616
44141	Lledó	1	Soltero	1	Hombre	28,0775962042
44142	Maicas	1	Soltero	1	Hombre	7,3431088335
44143	Manzanera	1	Soltero	1	Hombre	97,9918650073
44144	Martín del Río	1	Soltero	1	Hombre	53,1831187328
44145	Mas de las Matas	1	Soltero	1	Hombre	233,6557533178
44146	Mata de los Olmos (La)	1	Soltero	1	Hombre	36,4247278002
44147	Mazaleón	1	Soltero	1	Hombre	107,731333203
44148	Mezquita de Jarque	1	Soltero	1	Hombre	36,4453485086
44149	Mirambel	1	Soltero	1	Hombre	25,37308167
44150	Miravete de la Sierra	1	Soltero	1	Hombre	7,557160613
44151	Molinos	1	Soltero	1	Hombre	69,5276013179
44152	Monforte de Moyuela	1	Soltero	1	Hombre	22,4753856366
44153	Monreal del Campo	1	Soltero	1	Hombre	368,5516016187
44154	Monroyo	1	Soltero	1	Hombre	86,8502348519
44155	Montalbán	1	Soltero	1	Hombre	235,5078308205
44156	Monteagudo del Castillo	1	Soltero	1	Hombre	20,9888657526
44157	Monterde de Albarracín	1	Soltero	1	Hombre	7,5355114701
44158	Mora de Rubielos	1	Soltero	1	Hombre	273,3042855025
44159	Moscardón	1	Soltero	1	Hombre	11,3234781917
44160	Mosqueruela	1	Soltero	1	Hombre	120,2196927615
44161	Muniesa	1	Soltero	1	Hombre	98,6753913646
44163	Noguera de Albarracín	1	Soltero	1	Hombre	25,7460855222
44164	Nogueras	1	Soltero	1	Hombre	13,1142794874
44165	Nogueruelas	1	Soltero	1	Hombre	45,6601086928
44167	Obón	1	Soltero	1	Hombre	1,9424353435
44168	Odón	1	Soltero	1	Hombre	30,3952368377
44169	Ojos Negros	1	Soltero	1	Hombre	82,2619524298
