Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	9	0	PACMA
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	10	8	PUM+J
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	11	5	pCUA
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	12	7	PSD-FIA
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	13	5	TA
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	14	13	FE de las JONS
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	15	7	PFyV
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	16	2	DN
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	17	1	POSI
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	18	7	AuN
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	19	7	FRENTE
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	20	3	AES
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	21	4	FA
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	22	3	PH
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	23	2	MCE
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	24	3	CTC
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	25	0	PCPE
20	Comunidad de Calatayud	2008	1	31156	PSOE
20	Comunidad de Calatayud	2008	2	25911	PP
20	Comunidad de Calatayud	2008	3	6773	PAR
20	Comunidad de Calatayud	2008	4	2702	CHA
20	Comunidad de Calatayud	2008	5	807	IU
20	Comunidad de Calatayud	2008	6	256	UPyD
20	Comunidad de Calatayud	2008	7	174	LV
20	Comunidad de Calatayud	2008	8	25	C's
20	Comunidad de Calatayud	2008	9	0	PACMA
20	Comunidad de Calatayud	2008	10	53	PUM+J
20	Comunidad de Calatayud	2008	11	36	pCUA
20	Comunidad de Calatayud	2008	12	29	PSD-FIA
20	Comunidad de Calatayud	2008	13	24	TA
20	Comunidad de Calatayud	2008	14	18	FE de las JONS
20	Comunidad de Calatayud	2008	15	21	PFyV
20	Comunidad de Calatayud	2008	16	15	DN
20	Comunidad de Calatayud	2008	17	10	POSI
20	Comunidad de Calatayud	2008	18	10	AuN
20	Comunidad de Calatayud	2008	19	8	FRENTE
20	Comunidad de Calatayud	2008	20	21	AES
20	Comunidad de Calatayud	2008	21	10	FA
20	Comunidad de Calatayud	2008	22	2	PH
20	Comunidad de Calatayud	2008	23	9	MCE
20	Comunidad de Calatayud	2008	24	12	CTC
20	Comunidad de Calatayud	2008	25	0	PCPE
21	Campo de Cariñena	2008	1	8459	PSOE
21	Campo de Cariñena	2008	2	6569	PP
21	Campo de Cariñena	2008	3	1201	PAR
21	Campo de Cariñena	2008	4	1256	CHA
21	Campo de Cariñena	2008	5	220	IU
21	Campo de Cariñena	2008	6	62	UPyD
21	Campo de Cariñena	2008	7	33	LV
21	Campo de Cariñena	2008	8	9	C's
21	Campo de Cariñena	2008	9	0	PACMA
21	Campo de Cariñena	2008	10	4	PUM+J
21	Campo de Cariñena	2008	11	2	pCUA
21	Campo de Cariñena	2008	12	10	PSD-FIA
21	Campo de Cariñena	2008	13	2	TA
21	Campo de Cariñena	2008	14	7	FE de las JONS
21	Campo de Cariñena	2008	15	0	PFyV
21	Campo de Cariñena	2008	16	3	DN
21	Campo de Cariñena	2008	17	2	POSI
21	Campo de Cariñena	2008	18	0	AuN
21	Campo de Cariñena	2008	19	12	FRENTE
21	Campo de Cariñena	2008	20	1	AES
21	Campo de Cariñena	2008	21	6	FA
21	Campo de Cariñena	2008	22	0	PH
21	Campo de Cariñena	2008	23	2	MCE
21	Campo de Cariñena	2008	24	1	CTC
21	Campo de Cariñena	2008	25	0	PCPE
22	Campo de Belchite	2008	1	4507	PSOE
22	Campo de Belchite	2008	2	4531	PP
22	Campo de Belchite	2008	3	1253	PAR
22	Campo de Belchite	2008	4	192	CHA
22	Campo de Belchite	2008	5	131	IU
22	Campo de Belchite	2008	6	36	UPyD
22	Campo de Belchite	2008	7	24	LV
22	Campo de Belchite	2008	8	7	C's
22	Campo de Belchite	2008	9	0	PACMA
22	Campo de Belchite	2008	10	3	PUM+J
22	Campo de Belchite	2008	11	2	pCUA
22	Campo de Belchite	2008	12	1	PSD-FIA
22	Campo de Belchite	2008	13	3	TA
22	Campo de Belchite	2008	14	6	FE de las JONS
22	Campo de Belchite	2008	15	0	PFyV
22	Campo de Belchite	2008	16	1	DN
22	Campo de Belchite	2008	17	1	POSI
22	Campo de Belchite	2008	18	1	AuN
22	Campo de Belchite	2008	19	4	FRENTE
22	Campo de Belchite	2008	20	0	AES
22	Campo de Belchite	2008	21	6	FA
22	Campo de Belchite	2008	22	0	PH
22	Campo de Belchite	2008	23	3	MCE
22	Campo de Belchite	2008	24	2	CTC
22	Campo de Belchite	2008	25	0	PCPE
23	Bajo Martín	2008	1	6495	PSOE
23	Bajo Martín	2008	2	4870	PP
23	Bajo Martín	2008	3	705	PAR
23	Bajo Martín	2008	4	518	CHA
23	Bajo Martín	2008	5	378	IU
23	Bajo Martín	2008	6	66	UPyD
23	Bajo Martín	2008	7	21	LV
23	Bajo Martín	2008	8	7	C's
23	Bajo Martín	2008	9	5	PACMA
23	Bajo Martín	2008	10	11	PUM+J
23	Bajo Martín	2008	11	3	pCUA
23	Bajo Martín	2008	12	10	PSD-FIA
23	Bajo Martín	2008	13	0	TA
23	Bajo Martín	2008	14	5	FE de las JONS
23	Bajo Martín	2008	15	1	PFyV
23	Bajo Martín	2008	16	1	DN
23	Bajo Martín	2008	17	5	POSI
23	Bajo Martín	2008	18	7	AuN
23	Bajo Martín	2008	19	0	FRENTE
23	Bajo Martín	2008	20	0	AES
23	Bajo Martín	2008	21	0	FA
23	Bajo Martín	2008	22	0	PH
23	Bajo Martín	2008	23	0	MCE
23	Bajo Martín	2008	24	2	CTC
23	Bajo Martín	2008	25	4	PCPE
24	Campo de Daroca	2008	1	4327	PSOE
24	Campo de Daroca	2008	2	5025	PP
24	Campo de Daroca	2008	3	2083	PAR
24	Campo de Daroca	2008	4	362	CHA
24	Campo de Daroca	2008	5	100	IU
