Municipio código	Municipio nombre	Sexo	Sector actividad, código	Sector actividad, descripción	Personas residentes viviendas familiares
22047	Banastás	Mujeres	2	Industria y energía	4
22047	Banastás	Mujeres	3	Construcción	1
22047	Banastás	Mujeres	4	Servicios	34
22048	Barbastro	Hombres	1	Agricultura, ganadería y pesca	236
22048	Barbastro	Hombres	2	Industria y energía	1099
22048	Barbastro	Hombres	3	Construcción	730
22048	Barbastro	Hombres	4	Servicios	1722
22048	Barbastro	Mujeres	1	Agricultura, ganadería y pesca	52
22048	Barbastro	Mujeres	2	Industria y energía	298
22048	Barbastro	Mujeres	3	Construcción	48
22048	Barbastro	Mujeres	4	Servicios	1981
22049	Barbués	Hombres	1	Agricultura, ganadería y pesca	16
22049	Barbués	Hombres	2	Industria y energía	2
22049	Barbués	Hombres	3	Construcción	4
22049	Barbués	Hombres	4	Servicios	1
22049	Barbués	Mujeres	4	Servicios	6
22050	Barbuñales	Hombres	1	Agricultura, ganadería y pesca	7
22050	Barbuñales	Hombres	2	Industria y energía	8
22050	Barbuñales	Hombres	3	Construcción	7
22050	Barbuñales	Hombres	4	Servicios	5
22050	Barbuñales	Mujeres	1	Agricultura, ganadería y pesca	2
22050	Barbuñales	Mujeres	2	Industria y energía	1
22050	Barbuñales	Mujeres	4	Servicios	8
22051	Bárcabo	Hombres	1	Agricultura, ganadería y pesca	10
22051	Bárcabo	Hombres	3	Construcción	6
22051	Bárcabo	Hombres	4	Servicios	15
22051	Bárcabo	Mujeres	1	Agricultura, ganadería y pesca	3
22051	Bárcabo	Mujeres	2	Industria y energía	2
22051	Bárcabo	Mujeres	4	Servicios	7
22052	Belver de Cinca	Hombres	1	Agricultura, ganadería y pesca	194
22052	Belver de Cinca	Hombres	2	Industria y energía	36
22052	Belver de Cinca	Hombres	3	Construcción	52
22052	Belver de Cinca	Hombres	4	Servicios	70
22052	Belver de Cinca	Mujeres	1	Agricultura, ganadería y pesca	13
22052	Belver de Cinca	Mujeres	2	Industria y energía	47
22052	Belver de Cinca	Mujeres	3	Construcción	3
22052	Belver de Cinca	Mujeres	4	Servicios	69
22053	Benabarre	Hombres	1	Agricultura, ganadería y pesca	106
22053	Benabarre	Hombres	2	Industria y energía	25
22053	Benabarre	Hombres	3	Construcción	68
22053	Benabarre	Hombres	4	Servicios	80
22053	Benabarre	Mujeres	1	Agricultura, ganadería y pesca	14
22053	Benabarre	Mujeres	2	Industria y energía	8
22053	Benabarre	Mujeres	3	Construcción	4
22053	Benabarre	Mujeres	4	Servicios	101
22054	Benasque	Hombres	1	Agricultura, ganadería y pesca	29
22054	Benasque	Hombres	2	Industria y energía	45
22054	Benasque	Hombres	3	Construcción	78
22054	Benasque	Hombres	4	Servicios	329
22054	Benasque	Mujeres	1	Agricultura, ganadería y pesca	7
22054	Benasque	Mujeres	2	Industria y energía	17
22054	Benasque	Mujeres	3	Construcción	9
22054	Benasque	Mujeres	4	Servicios	298
22055	Berbegal	Hombres	1	Agricultura, ganadería y pesca	50
22055	Berbegal	Hombres	2	Industria y energía	22
22055	Berbegal	Hombres	3	Construcción	28
22055	Berbegal	Hombres	4	Servicios	18
22055	Berbegal	Mujeres	1	Agricultura, ganadería y pesca	2
22055	Berbegal	Mujeres	2	Industria y energía	7
22055	Berbegal	Mujeres	3	Construcción	1
22055	Berbegal	Mujeres	4	Servicios	38
22057	Bielsa	Hombres	1	Agricultura, ganadería y pesca	12
22057	Bielsa	Hombres	2	Industria y energía	8
22057	Bielsa	Hombres	3	Construcción	14
22057	Bielsa	Hombres	4	Servicios	84
22057	Bielsa	Mujeres	4	Servicios	60
22058	Bierge	Hombres	1	Agricultura, ganadería y pesca	23
22058	Bierge	Hombres	2	Industria y energía	4
22058	Bierge	Hombres	3	Construcción	10
22058	Bierge	Hombres	4	Servicios	28
22058	Bierge	Mujeres	1	Agricultura, ganadería y pesca	2
22058	Bierge	Mujeres	2	Industria y energía	2
22058	Bierge	Mujeres	4	Servicios	18
22059	Biescas	Hombres	1	Agricultura, ganadería y pesca	22
22059	Biescas	Hombres	2	Industria y energía	65
22059	Biescas	Hombres	3	Construcción	72
22059	Biescas	Hombres	4	Servicios	163
22059	Biescas	Mujeres	1	Agricultura, ganadería y pesca	7
22059	Biescas	Mujeres	2	Industria y energía	11
