Año	Municipio código	Municipio nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2009	22130	Jaca	43	Actividades de construcción especializada	268
2009	22130	Jaca	45	Venta y reparación de vehículos de motor y motocicletas	43
2009	22130	Jaca	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	60
2009	22130	Jaca	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	456
2009	22130	Jaca	49	Transporte terrestre y por tubería	68
2009	22130	Jaca	52	Almacenamiento y actividades anexas al transporte	4
2009	22130	Jaca	53	Actividades postales y de correos	4
2009	22130	Jaca	55	Servicios de alojamiento	50
2009	22130	Jaca	56	Servicios de comidas y bebidas	235
2009	22130	Jaca	58	Edición	3
2009	22130	Jaca	60	Actividades de programación y emisión de radio y televisión	1
2009	22130	Jaca	62	Programación, consultoría y otras actividades relacionadas con la informática	1
2009	22130	Jaca	63	Servicios de información	3
2009	22130	Jaca	64	Servicios financieros, excepto seguros y fondos de pensiones	18
2009	22130	Jaca	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	2
2009	22130	Jaca	66	Actividades auxiliares a los servicios financieros y a los seguros	41
2009	22130	Jaca	68	Actividades inmobiliarias	190
2009	22130	Jaca	69	Actividades jurídicas y de contabilidad	50
2009	22130	Jaca	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	50
2009	22130	Jaca	72	Investigación y desarrollo	7
2009	22130	Jaca	73	Publicidad y estudios de mercado	8
2009	22130	Jaca	74	Otras actividades profesionales, científicas y técnicas	16
2009	22130	Jaca	75	Actividades veterinarias	8
2009	22130	Jaca	77	Actividades de alquiler	23
2009	22130	Jaca	78	Actividades relacionadas con el empleo	2
2009	22130	Jaca	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	9
2009	22130	Jaca	81	Servicios a edificios y actividades de jardinería	18
2009	22130	Jaca	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	21
2009	22130	Jaca	85	Educación	49
2009	22130	Jaca	86	Actividades sanitarias	57
2009	22130	Jaca	87	Asistencia en establecimientos residenciales	2
2009	22130	Jaca	90	Actividades de creación, artísticas y espectáculos	14
2009	22130	Jaca	92	Actividades de juegos de azar y apuestas	12
2009	22130	Jaca	93	Actividades deportivas, recreativas y de entretenimiento	30
2009	22130	Jaca	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	25
2009	22130	Jaca	96	Otros servicios personales	67
2009	22158	Monzón	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	139
2009	22158	Monzón	08	Otras industrias extractivas	4
2009	22158	Monzón	10	Industria de la alimentación	25
2009	22158	Monzón	13	Industria textil	6
2009	22158	Monzón	14	Confección de prendas de vestir	4
2009	22158	Monzón	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	6
2009	22158	Monzón	17	Industria del papel	1
2009	22158	Monzón	18	Artes gráficas y reproducción de soportes grabados	11
2009	22158	Monzón	20	Industria química	11
2009	22158	Monzón	22	Fabricación de productos de caucho y plásticos	4
2009	22158	Monzón	23	Fabricación de otros productos minerales no metálicos	12
2009	22158	Monzón	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	1
2009	22158	Monzón	25	Fabricación de productos metálicos, excepto maquinaria y equipo	53
2009	22158	Monzón	26	Fabricación de productos informáticos, electrónicos y ópticos	1
2009	22158	Monzón	27	Fabricación de material y equipo eléctrico	3
2009	22158	Monzón	28	Fabricación de maquinaria y equipo n.c.o.p.	8
2009	22158	Monzón	29	Fabricación de vehículos de motor, remolques y semirremolques	2
2009	22158	Monzón	30	Fabricación de otro material de transporte	1
2009	22158	Monzón	31	Fabricación de muebles	16
2009	22158	Monzón	32	Otras industrias manufactureras	5
2009	22158	Monzón	33	Reparación e instalación de maquinaria y equipo	12
2009	22158	Monzón	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	8
2009	22158	Monzón	37	Recogida y tratamiento de aguas residuales	1
2009	22158	Monzón	38	Recogida, tratamiento y eliminación de residuos; valorización	2
2009	22158	Monzón	41	Construcción de edificios	93
2009	22158	Monzón	42	Ingeniería civil	15
2009	22158	Monzón	43	Actividades de construcción especializada	216
2009	22158	Monzón	45	Venta y reparación de vehículos de motor y motocicletas	71
2009	22158	Monzón	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	105
2009	22158	Monzón	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	395
2009	22158	Monzón	49	Transporte terrestre y por tubería	104
2009	22158	Monzón	51	Transporte aéreo	1
2009	22158	Monzón	52	Almacenamiento y actividades anexas al transporte	11
2009	22158	Monzón	53	Actividades postales y de correos	2
2009	22158	Monzón	55	Servicios de alojamiento	12
2009	22158	Monzón	56	Servicios de comidas y bebidas	141
2009	22158	Monzón	58	Edición	7
2009	22158	Monzón	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	4
2009	22158	Monzón	60	Actividades de programación y emisión de radio y televisión	4
2009	22158	Monzón	61	Telecomunicaciones	1
2009	22158	Monzón	62	Programación, consultoría y otras actividades relacionadas con la informática	10
2009	22158	Monzón	63	Servicios de información	3
2009	22158	Monzón	64	Servicios financieros, excepto seguros y fondos de pensiones	14
2009	22158	Monzón	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	1
2009	22158	Monzón	66	Actividades auxiliares a los servicios financieros y a los seguros	64
2009	22158	Monzón	68	Actividades inmobiliarias	177
2009	22158	Monzón	69	Actividades jurídicas y de contabilidad	76
2009	22158	Monzón	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	70
2009	22158	Monzón	72	Investigación y desarrollo	4
2009	22158	Monzón	73	Publicidad y estudios de mercado	10
2009	22158	Monzón	74	Otras actividades profesionales, científicas y técnicas	20
2009	22158	Monzón	75	Actividades veterinarias	4
2009	22158	Monzón	77	Actividades de alquiler	23
2009	22158	Monzón	78	Actividades relacionadas con el empleo	3
2009	22158	Monzón	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	6
2009	22158	Monzón	80	Actividades de seguridad e investigación	2
2009	22158	Monzón	81	Servicios a edificios y actividades de jardinería	26
2009	22158	Monzón	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	47
2009	22158	Monzón	85	Educación	49
2009	22158	Monzón	86	Actividades sanitarias	38
2009	22158	Monzón	87	Asistencia en establecimientos residenciales	2
2009	22158	Monzón	88	Actividades de servicios sociales sin alojamiento	4
2009	22158	Monzón	90	Actividades de creación, artísticas y espectáculos	12
2009	22158	Monzón	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	3
2009	22158	Monzón	92	Actividades de juegos de azar y apuestas	15
2009	22158	Monzón	93	Actividades deportivas, recreativas y de entretenimiento	17
2009	22158	Monzón	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	17
2009	22158	Monzón	96	Otros servicios personales	70
2009	44013	Alcañiz	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	67
2009	44013	Alcañiz	02	Silvicultura y explotación forestal	1
2009	44013	Alcañiz	05	Extracción de antracita, hulla y lignito	3
2009	44013	Alcañiz	08	Otras industrias extractivas	7
2009	44013	Alcañiz	10	Industria de la alimentación	16
2009	44013	Alcañiz	13	Industria textil	7
2009	44013	Alcañiz	14	Confección de prendas de vestir	9
2009	44013	Alcañiz	15	Industria del cuero y del calzado	2
2009	44013	Alcañiz	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	12
2009	44013	Alcañiz	17	Industria del papel	1
2009	44013	Alcañiz	18	Artes gráficas y reproducción de soportes grabados	13
2009	44013	Alcañiz	20	Industria química	3
2009	44013	Alcañiz	22	Fabricación de productos de caucho y plásticos	1
2009	44013	Alcañiz	23	Fabricación de otros productos minerales no metálicos	11
2009	44013	Alcañiz	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	2
2009	44013	Alcañiz	25	Fabricación de productos metálicos, excepto maquinaria y equipo	23
2009	44013	Alcañiz	27	Fabricación de material y equipo eléctrico	1
2009	44013	Alcañiz	28	Fabricación de maquinaria y equipo n.c.o.p.	5
2009	44013	Alcañiz	29	Fabricación de vehículos de motor, remolques y semirremolques	5
2009	44013	Alcañiz	30	Fabricación de otro material de transporte	1
2009	44013	Alcañiz	31	Fabricación de muebles	8
2009	44013	Alcañiz	32	Otras industrias manufactureras	2
2009	44013	Alcañiz	33	Reparación e instalación de maquinaria y equipo	12
2009	44013	Alcañiz	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	17
2009	44013	Alcañiz	37	Recogida y tratamiento de aguas residuales	5
2009	44013	Alcañiz	38	Recogida, tratamiento y eliminación de residuos; valorización	1
2009	44013	Alcañiz	39	Actividades de descontaminación y otros servicios de gestión de residuos	2
2009	44013	Alcañiz	41	Construcción de edificios	180
2009	44013	Alcañiz	42	Ingeniería civil	37
2009	44013	Alcañiz	43	Actividades de construcción especializada	297
2009	44013	Alcañiz	45	Venta y reparación de vehículos de motor y motocicletas	103
2009	44013	Alcañiz	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	123
2009	44013	Alcañiz	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	547
2009	44013	Alcañiz	49	Transporte terrestre y por tubería	93
2009	44013	Alcañiz	52	Almacenamiento y actividades anexas al transporte	18
2009	44013	Alcañiz	53	Actividades postales y de correos	3
2009	44013	Alcañiz	55	Servicios de alojamiento	17
2009	44013	Alcañiz	56	Servicios de comidas y bebidas	157
2009	44013	Alcañiz	58	Edición	4
2009	44013	Alcañiz	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	1
2009	44013	Alcañiz	60	Actividades de programación y emisión de radio y televisión	8
2009	44013	Alcañiz	61	Telecomunicaciones	3
2009	44013	Alcañiz	62	Programación, consultoría y otras actividades relacionadas con la informática	15
2009	44013	Alcañiz	63	Servicios de información	2
2009	44013	Alcañiz	64	Servicios financieros, excepto seguros y fondos de pensiones	16
2009	44013	Alcañiz	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	4
2009	44013	Alcañiz	66	Actividades auxiliares a los servicios financieros y a los seguros	65
2009	44013	Alcañiz	68	Actividades inmobiliarias	271
2009	44013	Alcañiz	69	Actividades jurídicas y de contabilidad	68
