Año	Sexo	Edad (grupos quinquenales)	Nº Accidentes	Código	Municipio
2016	Hombres	35-39	2	50163	María de Huerva
2016	Hombres	40-44	2	50163	María de Huerva
2016	Hombres	45-49	2	50163	María de Huerva
2016	Hombres	50-54	1	50163	María de Huerva
2016	Hombres	55-59	2	50163	María de Huerva
2016	Hombres	60-64	3	50163	María de Huerva
2016	Mujeres	35-39	1	50163	María de Huerva
2016	Mujeres	40-44	2	50163	María de Huerva
2016	Mujeres	50-54	1	50163	María de Huerva
2016	Hombres	20-24	8	50182	Muela (La)
2016	Hombres	25-29	24	50182	Muela (La)
2016	Hombres	30-34	31	50182	Muela (La)
2016	Hombres	35-39	35	50182	Muela (La)
2016	Hombres	40-44	30	50182	Muela (La)
2016	Hombres	45-49	13	50182	Muela (La)
2016	Hombres	50-54	17	50182	Muela (La)
2016	Hombres	55-59	11	50182	Muela (La)
2016	Hombres	60-64	5	50182	Muela (La)
2016	Mujeres	20-24	1	50182	Muela (La)
2016	Mujeres	25-29	3	50182	Muela (La)
2016	Mujeres	30-34	3	50182	Muela (La)
2016	Mujeres	35-39	10	50182	Muela (La)
2016	Mujeres	40-44	5	50182	Muela (La)
2016	Mujeres	45-49	4	50182	Muela (La)
2016	Mujeres	50-54	1	50182	Muela (La)
2016	Mujeres	55-59	1	50182	Muela (La)
2016	Mujeres	60-64	2	50182	Muela (La)
2016	Hombres	20-24	11	50219	Puebla de Alfindén (La)
2016	Hombres	25-29	14	50219	Puebla de Alfindén (La)
2016	Hombres	30-34	34	50219	Puebla de Alfindén (La)
2016	Hombres	35-39	26	50219	Puebla de Alfindén (La)
2016	Hombres	40-44	34	50219	Puebla de Alfindén (La)
2016	Hombres	45-49	29	50219	Puebla de Alfindén (La)
2016	Hombres	50-54	25	50219	Puebla de Alfindén (La)
2016	Hombres	55-59	9	50219	Puebla de Alfindén (La)
2016	Hombres	60-64	1	50219	Puebla de Alfindén (La)
2016	Mujeres	20-24	1	50219	Puebla de Alfindén (La)
2016	Mujeres	30-34	2	50219	Puebla de Alfindén (La)
2016	Mujeres	35-39	6	50219	Puebla de Alfindén (La)
2016	Mujeres	40-44	7	50219	Puebla de Alfindén (La)
2016	Mujeres	45-49	3	50219	Puebla de Alfindén (La)
2016	Mujeres	50-54	8	50219	Puebla de Alfindén (La)
2016	Mujeres	60-64	1	50219	Puebla de Alfindén (La)
2016	Hombres	20-24	4	50251	Tarazona
2016	Hombres	25-29	3	50251	Tarazona
2016	Hombres	30-34	12	50251	Tarazona
2016	Hombres	35-39	11	50251	Tarazona
2016	Hombres	40-44	10	50251	Tarazona
2016	Hombres	45-49	11	50251	Tarazona
2016	Hombres	50-54	10	50251	Tarazona
2016	Hombres	55-59	6	50251	Tarazona
2016	Hombres	60-64	3	50251	Tarazona
2016	Mujeres	30-34	4	50251	Tarazona
2016	Mujeres	35-39	4	50251	Tarazona
2016	Mujeres	40-44	2	50251	Tarazona
2016	Mujeres	45-49	3	50251	Tarazona
2016	Mujeres	50-54	6	50251	Tarazona
2016	Mujeres	55-59	1	50251	Tarazona
2016	Hombres	20-24	7	50252	Tauste
2016	Hombres	25-29	2	50252	Tauste
2016	Hombres	30-34	13	50252	Tauste
2016	Hombres	35-39	13	50252	Tauste
2016	Hombres	40-44	13	50252	Tauste
2016	Hombres	45-49	12	50252	Tauste
2016	Hombres	50-54	10	50252	Tauste
2016	Hombres	55-59	10	50252	Tauste
2016	Hombres	60-64	3	50252	Tauste
2016	Mujeres	25-29	4	50252	Tauste
2016	Mujeres	30-34	3	50252	Tauste
2016	Mujeres	35-39	3	50252	Tauste
2016	Mujeres	40-44	2	50252	Tauste
2016	Mujeres	45-49	3	50252	Tauste
2016	Mujeres	50-54	3	50252	Tauste
2016	Mujeres	55-59	2	50252	Tauste
2016	Mujeres	60-64	1	50252	Tauste
2016	Hombres	16-19	2	50272	Utebo
2016	Hombres	20-24	5	50272	Utebo
2016	Hombres	25-29	12	50272	Utebo
2016	Hombres	30-34	20	50272	Utebo
2016	Hombres	35-39	22	50272	Utebo
2016	Hombres	40-44	27	50272	Utebo
2016	Hombres	45-49	12	50272	Utebo
2016	Hombres	50-54	10	50272	Utebo
2016	Hombres	55-59	15	50272	Utebo
2016	Hombres	60-64	6	50272	Utebo
2016	Mujeres	20-24	1	50272	Utebo
2016	Mujeres	25-29	5	50272	Utebo
2016	Mujeres	30-34	4	50272	Utebo
2016	Mujeres	35-39	7	50272	Utebo
2016	Mujeres	40-44	7	50272	Utebo
2016	Mujeres	45-49	10	50272	Utebo
2016	Mujeres	50-54	5	50272	Utebo
2016	Mujeres	55-59	5	50272	Utebo
2016	Mujeres	60-64	2	50272	Utebo
2016	Hombres	16-19	21	50297	Zaragoza
2016	Hombres	20-24	212	50297	Zaragoza
2016	Hombres	25-29	373	50297	Zaragoza
2016	Hombres	30-34	472	50297	Zaragoza
2016	Hombres	35-39	677	50297	Zaragoza
2016	Hombres	40-44	600	50297	Zaragoza
2016	Hombres	45-49	511	50297	Zaragoza
2016	Hombres	50-54	421	50297	Zaragoza
2016	Hombres	55-59	315	50297	Zaragoza
2016	Hombres	60-64	106	50297	Zaragoza
2016	Hombres	Más de 64	4	50297	Zaragoza
2016	Mujeres	16-19	6	50297	Zaragoza
2016	Mujeres	20-24	100	50297	Zaragoza
2016	Mujeres	25-29	193	50297	Zaragoza
2016	Mujeres	30-34	237	50297	Zaragoza
2016	Mujeres	35-39	299	50297	Zaragoza
2016	Mujeres	40-44	340	50297	Zaragoza
2016	Mujeres	45-49	297	50297	Zaragoza
2016	Mujeres	50-54	333	50297	Zaragoza
2016	Mujeres	55-59	259	50297	Zaragoza
2016	Mujeres	60-64	148	50297	Zaragoza
2016	Mujeres	Más de 64	11	50297	Zaragoza
2016	Hombres	20-24	3	50298	Zuera
2016	Hombres	25-29	12	50298	Zuera
2016	Hombres	30-34	9	50298	Zuera
2016	Hombres	35-39	26	50298	Zuera
2016	Hombres	40-44	20	50298	Zuera
2016	Hombres	45-49	15	50298	Zuera
2016	Hombres	50-54	7	50298	Zuera
2016	Hombres	55-59	4	50298	Zuera
2016	Hombres	60-64	8	50298	Zuera
2016	Mujeres	25-29	2	50298	Zuera
2016	Mujeres	30-34	3	50298	Zuera
2016	Mujeres	40-44	3	50298	Zuera
2016	Mujeres	45-49	4	50298	Zuera
2016	Mujeres	50-54	4	50298	Zuera
2016	Mujeres	55-59	5	50298	Zuera
2016	Mujeres	60-64	1	50298	Zuera
2016	Mujeres	Más de 64	1	50298	Zuera
2015	Hombres	20-24	9	22048	Barbastro
2015	Hombres	25-29	18	22048	Barbastro
2015	Hombres	30-34	11	22048	Barbastro
2015	Hombres	35-39	20	22048	Barbastro
2015	Hombres	40-44	11	22048	Barbastro
2015	Hombres	45-49	15	22048	Barbastro
2015	Hombres	50-54	9	22048	Barbastro
2015	Hombres	55-59	12	22048	Barbastro
2015	Hombres	60-64	13	22048	Barbastro
2015	Mujeres	16-19	1	22048	Barbastro
2015	Mujeres	20-24	3	22048	Barbastro
2015	Mujeres	25-29	5	22048	Barbastro
2015	Mujeres	30-34	5	22048	Barbastro
2015	Mujeres	35-39	2	22048	Barbastro
2015	Mujeres	40-44	7	22048	Barbastro
2015	Mujeres	45-49	11	22048	Barbastro
2015	Mujeres	50-54	8	22048	Barbastro
2015	Mujeres	55-59	6	22048	Barbastro
2015	Mujeres	60-64	4	22048	Barbastro
2015	Hombres	20-24	10	22061	Binéfar
2015	Hombres	25-29	12	22061	Binéfar
2015	Hombres	30-34	12	22061	Binéfar
2015	Hombres	35-39	20	22061	Binéfar
2015	Hombres	40-44	18	22061	Binéfar
2015	Hombres	45-49	10	22061	Binéfar
2015	Hombres	50-54	15	22061	Binéfar
2015	Hombres	55-59	15	22061	Binéfar
2015	Hombres	60-64	2	22061	Binéfar
2015	Mujeres	16-19	1	22061	Binéfar
2015	Mujeres	20-24	1	22061	Binéfar
2015	Mujeres	25-29	1	22061	Binéfar
2015	Mujeres	30-34	1	22061	Binéfar
2015	Mujeres	35-39	4	22061	Binéfar
2015	Mujeres	40-44	5	22061	Binéfar
2015	Mujeres	45-49	3	22061	Binéfar
2015	Mujeres	50-54	3	22061	Binéfar
2015	Mujeres	55-59	3	22061	Binéfar
2015	Hombres	16-19	1	22112	Fraga
2015	Hombres	20-24	8	22112	Fraga
2015	Hombres	25-29	21	22112	Fraga
2015	Hombres	30-34	30	22112	Fraga
2015	Hombres	35-39	29	22112	Fraga
2015	Hombres	40-44	24	22112	Fraga
2015	Hombres	45-49	26	22112	Fraga
2015	Hombres	50-54	13	22112	Fraga
2015	Hombres	55-59	18	22112	Fraga
2015	Hombres	60-64	2	22112	Fraga
2015	Mujeres	20-24	5	22112	Fraga
2015	Mujeres	25-29	6	22112	Fraga
2015	Mujeres	30-34	11	22112	Fraga
2015	Mujeres	35-39	8	22112	Fraga
2015	Mujeres	40-44	4	22112	Fraga
2015	Mujeres	45-49	2	22112	Fraga
2015	Mujeres	50-54	5	22112	Fraga
2015	Mujeres	55-59	4	22112	Fraga
2015	Hombres	16-19	5	22125	Huesca
2015	Hombres	20-24	27	22125	Huesca
2015	Hombres	25-29	46	22125	Huesca
2015	Hombres	30-34	47	22125	Huesca
2015	Hombres	35-39	58	22125	Huesca
2015	Hombres	40-44	49	22125	Huesca
2015	Hombres	45-49	49	22125	Huesca
2015	Hombres	50-54	37	22125	Huesca
2015	Hombres	55-59	36	22125	Huesca
2015	Hombres	60-64	10	22125	Huesca
2015	Mujeres	20-24	6	22125	Huesca
2015	Mujeres	25-29	7	22125	Huesca
2015	Mujeres	30-34	14	22125	Huesca
2015	Mujeres	35-39	30	22125	Huesca
2015	Mujeres	40-44	24	22125	Huesca
2015	Mujeres	45-49	19	22125	Huesca
2015	Mujeres	50-54	22	22125	Huesca
2015	Mujeres	55-59	32	22125	Huesca
2015	Mujeres	60-64	20	22125	Huesca
2015	Mujeres	Más de 64	1	22125	Huesca
2015	Hombres	20-24	3	22130	Jaca
2015	Hombres	25-29	4	22130	Jaca
2015	Hombres	30-34	7	22130	Jaca
2015	Hombres	35-39	6	22130	Jaca
2015	Hombres	40-44	6	22130	Jaca
2015	Hombres	45-49	5	22130	Jaca
2015	Hombres	50-54	11	22130	Jaca
2015	Hombres	55-59	1	22130	Jaca
2015	Hombres	60-64	1	22130	Jaca
2015	Mujeres	20-24	2	22130	Jaca
2015	Mujeres	25-29	2	22130	Jaca
2015	Mujeres	30-34	4	22130	Jaca
2015	Mujeres	35-39	5	22130	Jaca
2015	Mujeres	40-44	4	22130	Jaca
2015	Mujeres	45-49	7	22130	Jaca
2015	Mujeres	50-54	5	22130	Jaca
2015	Mujeres	55-59	2	22130	Jaca
2015	Mujeres	60-64	2	22130	Jaca
2015	Hombres	16-19	1	22158	Monzón
2015	Hombres	20-24	13	22158	Monzón
2015	Hombres	25-29	18	22158	Monzón
2015	Hombres	30-34	27	22158	Monzón
2015	Hombres	35-39	31	22158	Monzón
2015	Hombres	40-44	26	22158	Monzón
2015	Hombres	45-49	21	22158	Monzón
2015	Hombres	50-54	25	22158	Monzón
2015	Hombres	55-59	15	22158	Monzón
2015	Hombres	60-64	3	22158	Monzón
2015	Hombres	Más de 64	1	22158	Monzón
2015	Mujeres	20-24	1	22158	Monzón
2015	Mujeres	25-29	2	22158	Monzón
2015	Mujeres	30-34	5	22158	Monzón
2015	Mujeres	35-39	3	22158	Monzón
2015	Mujeres	40-44	8	22158	Monzón
2015	Mujeres	45-49	11	22158	Monzón
2015	Mujeres	50-54	8	22158	Monzón
2015	Mujeres	55-59	4	22158	Monzón
2015	Hombres	20-24	3	22199	Sabiñánigo
2015	Hombres	25-29	2	22199	Sabiñánigo
2015	Hombres	30-34	7	22199	Sabiñánigo
2015	Hombres	35-39	4	22199	Sabiñánigo
2015	Hombres	40-44	4	22199	Sabiñánigo
2015	Hombres	45-49	5	22199	Sabiñánigo
2015	Hombres	55-59	3	22199	Sabiñánigo
2015	Hombres	60-64	1	22199	Sabiñánigo
2015	Mujeres	16-19	1	22199	Sabiñánigo
2015	Mujeres	25-29	1	22199	Sabiñánigo
2015	Mujeres	35-39	3	22199	Sabiñánigo
2015	Mujeres	45-49	3	22199	Sabiñánigo
2015	Mujeres	50-54	3	22199	Sabiñánigo
2015	Hombres	16-19	1	44013	Alcañiz
2015	Hombres	20-24	2	44013	Alcañiz
2015	Hombres	25-29	5	44013	Alcañiz
2015	Hombres	30-34	9	44013	Alcañiz
2015	Hombres	35-39	7	44013	Alcañiz
2015	Hombres	40-44	10	44013	Alcañiz
2015	Hombres	45-49	10	44013	Alcañiz
2015	Hombres	50-54	10	44013	Alcañiz
2015	Hombres	55-59	3	44013	Alcañiz
2015	Hombres	60-64	1	44013	Alcañiz
2015	Mujeres	20-24	2	44013	Alcañiz
2015	Mujeres	25-29	3	44013	Alcañiz
2015	Mujeres	30-34	7	44013	Alcañiz
2015	Mujeres	35-39	2	44013	Alcañiz
2015	Mujeres	40-44	3	44013	Alcañiz
2015	Mujeres	45-49	6	44013	Alcañiz
2015	Mujeres	50-54	4	44013	Alcañiz
2015	Mujeres	55-59	5	44013	Alcañiz
2015	Mujeres	60-64	1	44013	Alcañiz
2015	Hombres	20-24	1	44025	Andorra
2015	Hombres	25-29	4	44025	Andorra
2015	Hombres	30-34	8	44025	Andorra
2015	Hombres	35-39	5	44025	Andorra
2015	Hombres	40-44	4	44025	Andorra
2015	Hombres	45-49	4	44025	Andorra
2015	Hombres	50-54	1	44025	Andorra
2015	Hombres	55-59	3	44025	Andorra
2015	Mujeres	25-29	1	44025	Andorra
2015	Mujeres	30-34	3	44025	Andorra
2015	Mujeres	35-39	2	44025	Andorra
2015	Mujeres	40-44	2	44025	Andorra
2015	Mujeres	45-49	1	44025	Andorra
2015	Mujeres	50-54	4	44025	Andorra
2015	Mujeres	55-59	1	44025	Andorra
2015	Mujeres	60-64	1	44025	Andorra
2015	Hombres	20-24	7	44216	Teruel
2015	Hombres	25-29	17	44216	Teruel
2015	Hombres	30-34	41	44216	Teruel
2015	Hombres	35-39	39	44216	Teruel
2015	Hombres	40-44	19	44216	Teruel
2015	Hombres	45-49	32	44216	Teruel
2015	Hombres	50-54	25	44216	Teruel
2015	Hombres	55-59	21	44216	Teruel
2015	Hombres	60-64	7	44216	Teruel
2015	Mujeres	20-24	5	44216	Teruel
2015	Mujeres	25-29	8	44216	Teruel
2015	Mujeres	30-34	11	44216	Teruel
2015	Mujeres	35-39	9	44216	Teruel
2015	Mujeres	40-44	8	44216	Teruel
2015	Mujeres	45-49	24	44216	Teruel
2015	Mujeres	50-54	19	44216	Teruel
2015	Mujeres	55-59	13	44216	Teruel
2015	Mujeres	60-64	8	44216	Teruel
2015	Hombres	20-24	4	50008	Alagón
2015	Hombres	25-29	2	50008	Alagón
2015	Hombres	30-34	5	50008	Alagón
2015	Hombres	35-39	5	50008	Alagón
2015	Hombres	40-44	6	50008	Alagón
2015	Hombres	45-49	5	50008	Alagón
2015	Hombres	50-54	2	50008	Alagón
2015	Hombres	55-59	1	50008	Alagón
2015	Hombres	60-64	1	50008	Alagón
2015	Mujeres	20-24	1	50008	Alagón
2015	Mujeres	30-34	2	50008	Alagón
2015	Mujeres	35-39	4	50008	Alagón
2015	Mujeres	40-44	7	50008	Alagón
2015	Mujeres	45-49	1	50008	Alagón
2015	Mujeres	50-54	1	50008	Alagón
2015	Mujeres	60-64	2	50008	Alagón
2015	Hombres	16-19	1	50025	Almunia de Doña Godina (La)
2015	Hombres	20-24	5	50025	Almunia de Doña Godina (La)
2015	Hombres	25-29	8	50025	Almunia de Doña Godina (La)
2015	Hombres	30-34	12	50025	Almunia de Doña Godina (La)
2015	Hombres	35-39	10	50025	Almunia de Doña Godina (La)
2015	Hombres	40-44	9	50025	Almunia de Doña Godina (La)
2015	Hombres	45-49	7	50025	Almunia de Doña Godina (La)
2015	Hombres	50-54	2	50025	Almunia de Doña Godina (La)
2015	Hombres	55-59	4	50025	Almunia de Doña Godina (La)
2015	Hombres	60-64	3	50025	Almunia de Doña Godina (La)
2015	Mujeres	16-19	1	50025	Almunia de Doña Godina (La)
2015	Mujeres	20-24	1	50025	Almunia de Doña Godina (La)
2015	Mujeres	25-29	4	50025	Almunia de Doña Godina (La)
2015	Mujeres	30-34	5	50025	Almunia de Doña Godina (La)
2015	Mujeres	35-39	7	50025	Almunia de Doña Godina (La)
2015	Mujeres	40-44	5	50025	Almunia de Doña Godina (La)
2015	Mujeres	45-49	7	50025	Almunia de Doña Godina (La)
2015	Mujeres	50-54	9	50025	Almunia de Doña Godina (La)
2015	Mujeres	55-59	3	50025	Almunia de Doña Godina (La)
2015	Mujeres	60-64	1	50025	Almunia de Doña Godina (La)
2015	Hombres	20-24	3	50067	Calatayud
2015	Hombres	25-29	12	50067	Calatayud
2015	Hombres	30-34	9	50067	Calatayud
2015	Hombres	35-39	12	50067	Calatayud
2015	Hombres	40-44	14	50067	Calatayud
2015	Hombres	45-49	19	50067	Calatayud
2015	Hombres	50-54	11	50067	Calatayud
2015	Hombres	55-59	13	50067	Calatayud
2015	Mujeres	20-24	6	50067	Calatayud
2015	Mujeres	25-29	6	50067	Calatayud
2015	Mujeres	30-34	9	50067	Calatayud
2015	Mujeres	35-39	6	50067	Calatayud
2015	Mujeres	40-44	7	50067	Calatayud
2015	Mujeres	45-49	7	50067	Calatayud
2015	Mujeres	50-54	8	50067	Calatayud
2015	Mujeres	55-59	4	50067	Calatayud
2015	Mujeres	60-64	3	50067	Calatayud
2015	Hombres	20-24	5	50074	Caspe
2015	Hombres	25-29	5	50074	Caspe
2015	Hombres	30-34	9	50074	Caspe
2015	Hombres	35-39	9	50074	Caspe
2015	Hombres	40-44	9	50074	Caspe
2015	Hombres	45-49	8	50074	Caspe
2015	Hombres	50-54	8	50074	Caspe
2015	Hombres	55-59	5	50074	Caspe
2015	Hombres	60-64	1	50074	Caspe
2015	Mujeres	20-24	2	50074	Caspe
2015	Mujeres	25-29	5	50074	Caspe
2015	Mujeres	30-34	2	50074	Caspe
2015	Mujeres	35-39	4	50074	Caspe
2015	Mujeres	40-44	5	50074	Caspe
2015	Mujeres	45-49	1	50074	Caspe
2015	Mujeres	50-54	4	50074	Caspe
2015	Mujeres	60-64	2	50074	Caspe
2015	Hombres	16-19	2	50089	Cuarte de Huerva
2015	Hombres	20-24	6	50089	Cuarte de Huerva
2015	Hombres	25-29	11	50089	Cuarte de Huerva
2015	Hombres	30-34	22	50089	Cuarte de Huerva
2015	Hombres	35-39	25	50089	Cuarte de Huerva
2015	Hombres	40-44	20	50089	Cuarte de Huerva
2015	Hombres	45-49	28	50089	Cuarte de Huerva
2015	Hombres	50-54	25	50089	Cuarte de Huerva
2015	Hombres	55-59	9	50089	Cuarte de Huerva
2015	Hombres	60-64	4	50089	Cuarte de Huerva
2015	Mujeres	20-24	1	50089	Cuarte de Huerva
2015	Mujeres	25-29	2	50089	Cuarte de Huerva
2015	Mujeres	30-34	4	50089	Cuarte de Huerva
2015	Mujeres	35-39	5	50089	Cuarte de Huerva
2015	Mujeres	40-44	1	50089	Cuarte de Huerva
2015	Mujeres	45-49	3	50089	Cuarte de Huerva
2015	Mujeres	50-54	5	50089	Cuarte de Huerva
2015	Mujeres	55-59	3	50089	Cuarte de Huerva
2015	Mujeres	60-64	1	50089	Cuarte de Huerva
2015	Hombres	16-19	1	50095	Ejea de los Caballeros
2015	Hombres	20-24	15	50095	Ejea de los Caballeros
2015	Hombres	25-29	20	50095	Ejea de los Caballeros
2015	Hombres	30-34	26	50095	Ejea de los Caballeros
2015	Hombres	35-39	26	50095	Ejea de los Caballeros
2015	Hombres	40-44	23	50095	Ejea de los Caballeros
2015	Hombres	45-49	13	50095	Ejea de los Caballeros
2015	Hombres	50-54	18	50095	Ejea de los Caballeros
2015	Hombres	55-59	13	50095	Ejea de los Caballeros
2015	Hombres	60-64	9	50095	Ejea de los Caballeros
2015	Mujeres	25-29	4	50095	Ejea de los Caballeros
2015	Mujeres	30-34	9	50095	Ejea de los Caballeros
2015	Mujeres	35-39	6	50095	Ejea de los Caballeros
2015	Mujeres	40-44	3	50095	Ejea de los Caballeros
2015	Mujeres	45-49	6	50095	Ejea de los Caballeros
2015	Mujeres	50-54	5	50095	Ejea de los Caballeros
2015	Mujeres	55-59	3	50095	Ejea de los Caballeros
2015	Mujeres	60-64	4	50095	Ejea de los Caballeros
2015	Hombres	20-24	2	50163	María de Huerva
2015	Hombres	25-29	1	50163	María de Huerva
2015	Hombres	30-34	4	50163	María de Huerva
2015	Hombres	35-39	1	50163	María de Huerva
2015	Hombres	40-44	7	50163	María de Huerva
2015	Hombres	45-49	8	50163	María de Huerva
2015	Hombres	50-54	2	50163	María de Huerva
2015	Hombres	55-59	3	50163	María de Huerva
2015	Mujeres	20-24	1	50163	María de Huerva
2015	Mujeres	25-29	2	50163	María de Huerva
2015	Mujeres	30-34	1	50163	María de Huerva
2015	Mujeres	35-39	1	50163	María de Huerva
2015	Mujeres	45-49	1	50163	María de Huerva
2015	Mujeres	50-54	2	50163	María de Huerva
2015	Hombres	20-24	5	50182	Muela (La)
2015	Hombres	25-29	12	50182	Muela (La)
2015	Hombres	30-34	30	50182	Muela (La)
2015	Hombres	35-39	23	50182	Muela (La)
2015	Hombres	40-44	33	50182	Muela (La)
2015	Hombres	45-49	12	50182	Muela (La)
2015	Hombres	50-54	14	50182	Muela (La)
2015	Hombres	55-59	10	50182	Muela (La)
2015	Hombres	60-64	5	50182	Muela (La)
2015	Mujeres	20-24	1	50182	Muela (La)
2015	Mujeres	25-29	1	50182	Muela (La)
2015	Mujeres	30-34	8	50182	Muela (La)
2015	Mujeres	35-39	5	50182	Muela (La)
2015	Mujeres	40-44	2	50182	Muela (La)
2015	Mujeres	45-49	3	50182	Muela (La)
2015	Mujeres	50-54	5	50182	Muela (La)
2015	Mujeres	55-59	1	50182	Muela (La)
2015	Mujeres	60-64	1	50182	Muela (La)
2015	Hombres	16-19	1	50219	Puebla de Alfindén (La)
2015	Hombres	20-24	8	50219	Puebla de Alfindén (La)
2015	Hombres	25-29	16	50219	Puebla de Alfindén (La)
2015	Hombres	30-34	24	50219	Puebla de Alfindén (La)
2015	Hombres	35-39	43	50219	Puebla de Alfindén (La)
2015	Hombres	40-44	28	50219	Puebla de Alfindén (La)
2015	Hombres	45-49	18	50219	Puebla de Alfindén (La)
2015	Hombres	50-54	15	50219	Puebla de Alfindén (La)
2015	Hombres	55-59	9	50219	Puebla de Alfindén (La)
2015	Hombres	60-64	3	50219	Puebla de Alfindén (La)
2015	Mujeres	16-19	1	50219	Puebla de Alfindén (La)
2015	Mujeres	20-24	1	50219	Puebla de Alfindén (La)
2015	Mujeres	25-29	3	50219	Puebla de Alfindén (La)
2015	Mujeres	30-34	2	50219	Puebla de Alfindén (La)
2015	Mujeres	35-39	4	50219	Puebla de Alfindén (La)
2015	Mujeres	40-44	3	50219	Puebla de Alfindén (La)
2015	Mujeres	45-49	4	50219	Puebla de Alfindén (La)
2015	Mujeres	50-54	3	50219	Puebla de Alfindén (La)
2015	Mujeres	60-64	1	50219	Puebla de Alfindén (La)
2015	Hombres	16-19	1	50251	Tarazona
2015	Hombres	20-24	4	50251	Tarazona
2015	Hombres	25-29	6	50251	Tarazona
2015	Hombres	30-34	14	50251	Tarazona
2015	Hombres	35-39	13	50251	Tarazona
2015	Hombres	40-44	14	50251	Tarazona
2015	Hombres	45-49	17	50251	Tarazona
2015	Hombres	50-54	12	50251	Tarazona
2015	Hombres	55-59	7	50251	Tarazona
2015	Hombres	60-64	1	50251	Tarazona
2015	Mujeres	35-39	2	50251	Tarazona
2015	Mujeres	45-49	5	50251	Tarazona
2015	Mujeres	50-54	5	50251	Tarazona
2015	Mujeres	55-59	3	50251	Tarazona
2015	Mujeres	60-64	3	50251	Tarazona
2015	Hombres	20-24	4	50252	Tauste
2015	Hombres	25-29	7	50252	Tauste
2015	Hombres	30-34	18	50252	Tauste
2015	Hombres	35-39	10	50252	Tauste
2015	Hombres	40-44	14	50252	Tauste
2015	Hombres	45-49	12	50252	Tauste
2015	Hombres	50-54	12	50252	Tauste
2015	Hombres	55-59	10	50252	Tauste
2015	Hombres	60-64	3	50252	Tauste
2015	Mujeres	20-24	2	50252	Tauste
2015	Mujeres	25-29	2	50252	Tauste
2015	Mujeres	35-39	4	50252	Tauste
2015	Mujeres	40-44	1	50252	Tauste
2015	Mujeres	45-49	5	50252	Tauste
2015	Mujeres	50-54	2	50252	Tauste
2015	Mujeres	55-59	4	50252	Tauste
2015	Hombres	20-24	6	50272	Utebo
2015	Hombres	25-29	6	50272	Utebo
2015	Hombres	30-34	22	50272	Utebo
2015	Hombres	35-39	22	50272	Utebo
2015	Hombres	40-44	27	50272	Utebo
2015	Hombres	45-49	20	50272	Utebo
2015	Hombres	50-54	13	50272	Utebo
2015	Hombres	55-59	7	50272	Utebo
2015	Hombres	60-64	3	50272	Utebo
2015	Mujeres	20-24	5	50272	Utebo
2015	Mujeres	25-29	1	50272	Utebo
2015	Mujeres	30-34	1	50272	Utebo
2015	Mujeres	35-39	3	50272	Utebo
2015	Mujeres	40-44	1	50272	Utebo
2015	Mujeres	45-49	3	50272	Utebo
2015	Mujeres	50-54	4	50272	Utebo
2015	Mujeres	55-59	1	50272	Utebo
2015	Mujeres	60-64	1	50272	Utebo
2015	Hombres	16-19	18	50297	Zaragoza
2015	Hombres	20-24	171	50297	Zaragoza
2015	Hombres	25-29	358	50297	Zaragoza
2015	Hombres	30-34	485	50297	Zaragoza
2015	Hombres	35-39	666	50297	Zaragoza
2015	Hombres	40-44	541	50297	Zaragoza
2015	Hombres	45-49	438	50297	Zaragoza
2015	Hombres	50-54	372	50297	Zaragoza
2015	Hombres	55-59	256	50297	Zaragoza
2015	Hombres	60-64	104	50297	Zaragoza
2015	Mujeres	16-19	4	50297	Zaragoza
2015	Mujeres	20-24	81	50297	Zaragoza
2015	Mujeres	25-29	165	50297	Zaragoza
2015	Mujeres	30-34	247	50297	Zaragoza
2015	Mujeres	35-39	296	50297	Zaragoza
2015	Mujeres	40-44	287	50297	Zaragoza
2015	Mujeres	45-49	282	50297	Zaragoza
2015	Mujeres	50-54	342	50297	Zaragoza
2015	Mujeres	55-59	283	50297	Zaragoza
2015	Mujeres	60-64	151	50297	Zaragoza
2015	Mujeres	Más de 64	9	50297	Zaragoza
2015	Hombres	16-19	1	50298	Zuera
2015	Hombres	20-24	4	50298	Zuera
2015	Hombres	25-29	11	50298	Zuera
2015	Hombres	30-34	13	50298	Zuera
2015	Hombres	35-39	17	50298	Zuera
2015	Hombres	40-44	16	50298	Zuera
2015	Hombres	45-49	12	50298	Zuera
2015	Hombres	50-54	9	50298	Zuera
2015	Hombres	55-59	6	50298	Zuera
2015	Hombres	60-64	2	50298	Zuera
2015	Mujeres	20-24	1	50298	Zuera
2015	Mujeres	25-29	1	50298	Zuera
2015	Mujeres	30-34	4	50298	Zuera
2015	Mujeres	35-39	4	50298	Zuera
2015	Mujeres	40-44	3	50298	Zuera
2015	Mujeres	45-49	1	50298	Zuera
2015	Mujeres	50-54	5	50298	Zuera
2015	Mujeres	55-59	8	50298	Zuera
2014	Hombres	20-24	10	22048	Barbastro
2014	Hombres	25-29	20	22048	Barbastro
2014	Hombres	30-34	17	22048	Barbastro
2014	Hombres	35-39	18	22048	Barbastro
2014	Hombres	40-44	11	22048	Barbastro
2014	Hombres	45-49	11	22048	Barbastro
2014	Hombres	50-54	12	22048	Barbastro
2014	Hombres	55-59	13	22048	Barbastro
2014	Hombres	60-64	3	22048	Barbastro
2014	Mujeres	20-24	1	22048	Barbastro
2014	Mujeres	25-29	3	22048	Barbastro
2014	Mujeres	30-34	2	22048	Barbastro
