Comarca código	Comarca nombre	Nivel estudios (agregado)	Personas residentes viviendas familiares	Nivel estudios (detalle)
21	Campo de Cariñena	Analfabetos	122	No sabe leer o escribir
21	Campo de Cariñena	Sin estudios	912	Sin estudios
21	Campo de Cariñena	Primer grado	2390	Primer grado
21	Campo de Cariñena	Segundo grado	317	FP Grado Medio
21	Campo de Cariñena	Segundo grado	814	Bachillerato Superior
21	Campo de Cariñena	Segundo grado	3476	ESO, EGB, Bachillerato Ele.
21	Campo de Cariñena	Segundo grado	363	FP Grado Superior
21	Campo de Cariñena	Tercer grado	16	Doctorado
21	Campo de Cariñena	Tercer grado	391	Diplomatura
21	Campo de Cariñena	Tercer grado	248	Licenciatura
22	Campo de Belchite	Analfabetos	87	No sabe leer o escribir
22	Campo de Belchite	Sin estudios	974	Sin estudios
22	Campo de Belchite	Primer grado	1782	Primer grado
22	Campo de Belchite	Segundo grado	151	FP Grado Medio
22	Campo de Belchite	Segundo grado	282	Bachillerato Superior
22	Campo de Belchite	Segundo grado	1433	ESO, EGB, Bachillerato Ele.
22	Campo de Belchite	Segundo grado	109	FP Grado Superior
22	Campo de Belchite	Tercer grado	10	Doctorado
22	Campo de Belchite	Tercer grado	116	Diplomatura
22	Campo de Belchite	Tercer grado	112	Licenciatura
23	Bajo Martín	Analfabetos	140	No sabe leer o escribir
23	Bajo Martín	Sin estudios	958	Sin estudios
23	Bajo Martín	Primer grado	2699	Primer grado
23	Bajo Martín	Segundo grado	183	FP Grado Medio
23	Bajo Martín	Segundo grado	370	Bachillerato Superior
23	Bajo Martín	Segundo grado	187	FP Grado Superior
23	Bajo Martín	Segundo grado	1521	ESO, EGB, Bachillerato Ele.
23	Bajo Martín	Tercer grado	8	Doctorado
23	Bajo Martín	Tercer grado	207	Diplomatura
23	Bajo Martín	Tercer grado	132	Licenciatura
24	Campo de Daroca	Analfabetos	89	No sabe leer o escribir
24	Campo de Daroca	Sin estudios	1164	Sin estudios
24	Campo de Daroca	Primer grado	2096	Primer grado
24	Campo de Daroca	Segundo grado	1203	ESO, EGB, Bachillerato Ele.
24	Campo de Daroca	Segundo grado	466	Bachillerato Superior
24	Campo de Daroca	Segundo grado	189	FP Grado Medio
24	Campo de Daroca	Segundo grado	163	FP Grado Superior
24	Campo de Daroca	Tercer grado	186	Licenciatura
24	Campo de Daroca	Tercer grado	258	Diplomatura
24	Campo de Daroca	Tercer grado	12	Doctorado
25	Jiloca	Analfabetos	139	No sabe leer o escribir
25	Jiloca	Sin estudios	1553	Sin estudios
25	Jiloca	Primer grado	4810	Primer grado
25	Jiloca	Segundo grado	212	FP Grado Medio
25	Jiloca	Segundo grado	1114	Bachillerato Superior
25	Jiloca	Segundo grado	2935	ESO, EGB, Bachillerato Ele.
25	Jiloca	Segundo grado	350	FP Grado Superior
25	Jiloca	Tercer grado	611	Diplomatura
25	Jiloca	Tercer grado	354	Licenciatura
25	Jiloca	Tercer grado	15	Doctorado
26	Cuencas Mineras	Analfabetos	214	No sabe leer o escribir
26	Cuencas Mineras	Sin estudios	732	Sin estudios
26	Cuencas Mineras	Primer grado	3457	Primer grado
26	Cuencas Mineras	Segundo grado	218	FP Grado Superior
26	Cuencas Mineras	Segundo grado	302	FP Grado Medio
26	Cuencas Mineras	Segundo grado	468	Bachillerato Superior
26	Cuencas Mineras	Segundo grado	2342	ESO, EGB, Bachillerato Ele.
26	Cuencas Mineras	Tercer grado	6	Doctorado
26	Cuencas Mineras	Tercer grado	143	Licenciatura
26	Cuencas Mineras	Tercer grado	290	Diplomatura
27	Andorra-Sierra de Arcos	Analfabetos	220	No sabe leer o escribir
27	Andorra-Sierra de Arcos	Sin estudios	1934	Sin estudios
27	Andorra-Sierra de Arcos	Primer grado	2606	Primer grado
27	Andorra-Sierra de Arcos	Segundo grado	687	Bachillerato Superior
27	Andorra-Sierra de Arcos	Segundo grado	446	FP Grado Superior
27	Andorra-Sierra de Arcos	Segundo grado	462	FP Grado Medio
27	Andorra-Sierra de Arcos	Segundo grado	2252	ESO, EGB, Bachillerato Ele.
27	Andorra-Sierra de Arcos	Tercer grado	5	Doctorado
27	Andorra-Sierra de Arcos	Tercer grado	208	Licenciatura
27	Andorra-Sierra de Arcos	Tercer grado	500	Diplomatura
28	Bajo Aragón	Analfabetos	256	No sabe leer o escribir
28	Bajo Aragón	Sin estudios	2082	Sin estudios
28	Bajo Aragón	Primer grado	6145	Primer grado
28	Bajo Aragón	Segundo grado	777	FP Grado Superior
28	Bajo Aragón	Segundo grado	843	FP Grado Medio
28	Bajo Aragón	Segundo grado	8070	ESO, EGB, Bachillerato Ele.
28	Bajo Aragón	Segundo grado	1880	Bachillerato Superior
28	Bajo Aragón	Tercer grado	742	Licenciatura
28	Bajo Aragón	Tercer grado	33	Doctorado
28	Bajo Aragón	Tercer grado	1275	Diplomatura
29	Comunidad de Teruel	Analfabetos	500	No sabe leer o escribir
29	Comunidad de Teruel	Sin estudios	4676	Sin estudios
29	Comunidad de Teruel	Primer grado	8793	Primer grado
29	Comunidad de Teruel	Segundo grado	1479	FP Grado Superior
29	Comunidad de Teruel	Segundo grado	4226	Bachillerato Superior
29	Comunidad de Teruel	Segundo grado	1499	FP Grado Medio
29	Comunidad de Teruel	Segundo grado	8704	ESO, EGB, Bachillerato Ele.
29	Comunidad de Teruel	Tercer grado	3166	Diplomatura
29	Comunidad de Teruel	Tercer grado	1984	Licenciatura
29	Comunidad de Teruel	Tercer grado	131	Doctorado
30	Maestrazgo	Analfabetos	67	No sabe leer o escribir
30	Maestrazgo	Sin estudios	721	Sin estudios
30	Maestrazgo	Primer grado	1094	Primer grado
30	Maestrazgo	Segundo grado	65	FP Grado Superior
30	Maestrazgo	Segundo grado	184	Bachillerato Superior
30	Maestrazgo	Segundo grado	927	ESO, EGB, Bachillerato Ele.
30	Maestrazgo	Segundo grado	48	FP Grado Medio
30	Maestrazgo	Tercer grado	118	Diplomatura
30	Maestrazgo	Tercer grado	3	Doctorado
30	Maestrazgo	Tercer grado	64	Licenciatura
31	Sierra de Albarracín	Analfabetos	137	No sabe leer o escribir
31	Sierra de Albarracín	Sin estudios	954	Sin estudios
31	Sierra de Albarracín	Primer grado	1279	Primer grado
31	Sierra de Albarracín	Segundo grado	116	FP Grado Superior
31	Sierra de Albarracín	Segundo grado	1127	ESO, EGB, Bachillerato Ele.
31	Sierra de Albarracín	Segundo grado	290	Bachillerato Superior
31	Sierra de Albarracín	Segundo grado	92	FP Grado Medio
31	Sierra de Albarracín	Tercer grado	101	Licenciatura
31	Sierra de Albarracín	Tercer grado	197	Diplomatura
31	Sierra de Albarracín	Tercer grado	1	Doctorado
32	Gúdar-Javalambre	Analfabetos	210	No sabe leer o escribir
32	Gúdar-Javalambre	Sin estudios	1372	Sin estudios
32	Gúdar-Javalambre	Primer grado	2029	Primer grado
32	Gúdar-Javalambre	Segundo grado	209	FP Grado Medio
32	Gúdar-Javalambre	Segundo grado	422	Bachillerato Superior
32	Gúdar-Javalambre	Segundo grado	1776	ESO, EGB, Bachillerato Ele.
32	Gúdar-Javalambre	Segundo grado	219	FP Grado Superior
32	Gúdar-Javalambre	Tercer grado	260	Diplomatura
32	Gúdar-Javalambre	Tercer grado	10	Doctorado
32	Gúdar-Javalambre	Tercer grado	188	Licenciatura
33	Matarraña / Matarranya	Analfabetos	107	No sabe leer o escribir
33	Matarraña / Matarranya	Sin estudios	1749	Sin estudios
33	Matarraña / Matarranya	Primer grado	2438	Primer grado
33	Matarraña / Matarranya	Segundo grado	2072	ESO, EGB, Bachillerato Ele.
33	Matarraña / Matarranya	Segundo grado	213	FP Grado Medio
33	Matarraña / Matarranya	Segundo grado	452	Bachillerato Superior
33	Matarraña / Matarranya	Segundo grado	181	FP Grado Superior
33	Matarraña / Matarranya	Tercer grado	184	Licenciatura
33	Matarraña / Matarranya	Tercer grado	5	Doctorado
33	Matarraña / Matarranya	Tercer grado	255	Diplomatura
