Comarca código	Comarca nombre	Año de construcción	Número hogares
20	Comunidad de Calatayud	 Antes de 1900	3811
20	Comunidad de Calatayud	1900 - 1920	1103
20	Comunidad de Calatayud	1921 - 1940	922
20	Comunidad de Calatayud	1941 - 1950	825
20	Comunidad de Calatayud	1951 - 1960	1038
20	Comunidad de Calatayud	1961 - 1970	1626
20	Comunidad de Calatayud	1971 - 1980	2442
20	Comunidad de Calatayud	1981 - 1990	1238
20	Comunidad de Calatayud	1991	222
20	Comunidad de Calatayud	1992	223
20	Comunidad de Calatayud	1993	204
20	Comunidad de Calatayud	1994	163
20	Comunidad de Calatayud	1995	289
20	Comunidad de Calatayud	1996	258
20	Comunidad de Calatayud	1997	178
20	Comunidad de Calatayud	1998	156
20	Comunidad de Calatayud	1999	195
20	Comunidad de Calatayud	2000	160
20	Comunidad de Calatayud	2001	161
21	Campo de Cariñena	  No aplicable	12
21	Campo de Cariñena	 Antes de 1900	804
21	Campo de Cariñena	1900 - 1920	350
21	Campo de Cariñena	1921 - 1940	287
21	Campo de Cariñena	1941 - 1950	224
21	Campo de Cariñena	1951 - 1960	277
21	Campo de Cariñena	1961 - 1970	333
21	Campo de Cariñena	1971 - 1980	676
21	Campo de Cariñena	1981 - 1990	368
21	Campo de Cariñena	1991	50
21	Campo de Cariñena	1992	79
21	Campo de Cariñena	1993	37
21	Campo de Cariñena	1994	34
21	Campo de Cariñena	1995	34
21	Campo de Cariñena	1996	54
21	Campo de Cariñena	1997	53
21	Campo de Cariñena	1998	28
21	Campo de Cariñena	1999	22
21	Campo de Cariñena	2000	32
21	Campo de Cariñena	2001	22
22	Campo de Belchite	  No aplicable	2
22	Campo de Belchite	 Antes de 1900	398
22	Campo de Belchite	1900 - 1920	286
22	Campo de Belchite	1921 - 1940	180
22	Campo de Belchite	1941 - 1950	379
22	Campo de Belchite	1951 - 1960	356
22	Campo de Belchite	1961 - 1970	200
22	Campo de Belchite	1971 - 1980	154
22	Campo de Belchite	1981 - 1990	250
22	Campo de Belchite	1991	20
22	Campo de Belchite	1992	12
22	Campo de Belchite	1993	10
22	Campo de Belchite	1994	11
22	Campo de Belchite	1995	8
22	Campo de Belchite	1996	16
22	Campo de Belchite	1997	12
22	Campo de Belchite	1998	14
22	Campo de Belchite	1999	17
22	Campo de Belchite	2000	16
22	Campo de Belchite	2001	7
23	Bajo Martín	  No aplicable	5
23	Bajo Martín	 Antes de 1900	672
23	Bajo Martín	1900 - 1920	120
23	Bajo Martín	1921 - 1940	139
23	Bajo Martín	1941 - 1950	248
23	Bajo Martín	1951 - 1960	187
23	Bajo Martín	1961 - 1970	262
23	Bajo Martín	1971 - 1980	497
23	Bajo Martín	1981 - 1990	484
23	Bajo Martín	1991	22
23	Bajo Martín	1992	40
23	Bajo Martín	1993	26
23	Bajo Martín	1994	37
23	Bajo Martín	1995	32
23	Bajo Martín	1996	16
23	Bajo Martín	1997	28
23	Bajo Martín	1998	21
23	Bajo Martín	1999	24
23	Bajo Martín	2000	21
23	Bajo Martín	2001	23
24	Campo de Daroca	  No aplicable	5
24	Campo de Daroca	 Antes de 1900	282
24	Campo de Daroca	1900 - 1920	222
24	Campo de Daroca	1921 - 1940	211
24	Campo de Daroca	1941 - 1950	163
24	Campo de Daroca	1951 - 1960	307
24	Campo de Daroca	1961 - 1970	262
24	Campo de Daroca	1971 - 1980	492
24	Campo de Daroca	1981 - 1990	480
24	Campo de Daroca	1991	28
24	Campo de Daroca	1992	14
24	Campo de Daroca	1993	14
24	Campo de Daroca	1994	19
24	Campo de Daroca	1995	36
24	Campo de Daroca	1996	17
24	Campo de Daroca	1997	20
24	Campo de Daroca	1998	31
24	Campo de Daroca	1999	20
24	Campo de Daroca	2000	28
24	Campo de Daroca	2001	12
25	Jiloca	  No aplicable	17
25	Jiloca	 Antes de 1900	1341
25	Jiloca	1900 - 1920	469
25	Jiloca	1921 - 1940	409
25	Jiloca	1941 - 1950	347
25	Jiloca	1951 - 1960	389
25	Jiloca	1961 - 1970	481
25	Jiloca	1971 - 1980	865
25	Jiloca	1981 - 1990	643
25	Jiloca	1991	68
25	Jiloca	1992	58
25	Jiloca	1993	59
25	Jiloca	1994	37
25	Jiloca	1995	54
25	Jiloca	1996	57
25	Jiloca	1997	45
25	Jiloca	1998	63
25	Jiloca	1999	50
25	Jiloca	2000	56
25	Jiloca	2001	47
26	Cuencas Mineras	  No aplicable	17
26	Cuencas Mineras	 Antes de 1900	816
26	Cuencas Mineras	1900 - 1920	197
26	Cuencas Mineras	1921 - 1940	147
26	Cuencas Mineras	1941 - 1950	173
26	Cuencas Mineras	1951 - 1960	376
26	Cuencas Mineras	1961 - 1970	331
26	Cuencas Mineras	1971 - 1980	652
26	Cuencas Mineras	1981 - 1990	670
26	Cuencas Mineras	1991	17
26	Cuencas Mineras	1992	9
26	Cuencas Mineras	1993	17
26	Cuencas Mineras	1994	28
26	Cuencas Mineras	1995	4
26	Cuencas Mineras	1996	26
26	Cuencas Mineras	1997	14
26	Cuencas Mineras	1998	20
26	Cuencas Mineras	1999	20
26	Cuencas Mineras	2000	24
26	Cuencas Mineras	2001	27
27	Andorra-Sierra de Arcos	  No aplicable	20
27	Andorra-Sierra de Arcos	 Antes de 1900	502
27	Andorra-Sierra de Arcos	1900 - 1920	180
27	Andorra-Sierra de Arcos	1921 - 1940	134
27	Andorra-Sierra de Arcos	1941 - 1950	219
27	Andorra-Sierra de Arcos	1951 - 1960	659
27	Andorra-Sierra de Arcos	1961 - 1970	328
27	Andorra-Sierra de Arcos	1971 - 1980	830
27	Andorra-Sierra de Arcos	1981 - 1990	619
27	Andorra-Sierra de Arcos	1991	70
27	Andorra-Sierra de Arcos	1992	36
27	Andorra-Sierra de Arcos	1993	156
27	Andorra-Sierra de Arcos	1994	33
27	Andorra-Sierra de Arcos	1995	21
27	Andorra-Sierra de Arcos	1996	23
27	Andorra-Sierra de Arcos	1997	25
27	Andorra-Sierra de Arcos	1998	42
27	Andorra-Sierra de Arcos	1999	14
27	Andorra-Sierra de Arcos	2000	16
27	Andorra-Sierra de Arcos	2001	26
28	Bajo Aragón	  No aplicable	21
28	Bajo Aragón	 Antes de 1900	1218
28	Bajo Aragón	1900 - 1920	415
28	Bajo Aragón	1921 - 1940	549
28	Bajo Aragón	1941 - 1950	500
28	Bajo Aragón	1951 - 1960	623
28	Bajo Aragón	1961 - 1970	1027
28	Bajo Aragón	1971 - 1980	1834
28	Bajo Aragón	1981 - 1990	1503
28	Bajo Aragón	1991	214
28	Bajo Aragón	1992	173
28	Bajo Aragón	1993	205
28	Bajo Aragón	1994	192
28	Bajo Aragón	1995	160
28	Bajo Aragón	1996	187
28	Bajo Aragón	1997	102
28	Bajo Aragón	1998	119
28	Bajo Aragón	1999	178
28	Bajo Aragón	2000	152
28	Bajo Aragón	2001	141
29	Comunidad de Teruel	  No aplicable	46
29	Comunidad de Teruel	 Antes de 1900	1297
29	Comunidad de Teruel	1900 - 1920	539
29	Comunidad de Teruel	1921 - 1940	810
29	Comunidad de Teruel	1941 - 1950	1031
29	Comunidad de Teruel	1951 - 1960	1350
29	Comunidad de Teruel	1961 - 1970	1886
29	Comunidad de Teruel	1971 - 1980	3330
29	Comunidad de Teruel	1981 - 1990	2869
29	Comunidad de Teruel	1991	265
29	Comunidad de Teruel	1992	261
29	Comunidad de Teruel	1993	205
29	Comunidad de Teruel	1994	213
29	Comunidad de Teruel	1995	284
29	Comunidad de Teruel	1996	225
29	Comunidad de Teruel	1997	158
29	Comunidad de Teruel	1998	135
29	Comunidad de Teruel	1999	220
29	Comunidad de Teruel	2000	129
29	Comunidad de Teruel	2001	244
30	Maestrazgo	  No aplicable	4
30	Maestrazgo	 Antes de 1900	550
30	Maestrazgo	1900 - 1920	43
30	Maestrazgo	1921 - 1940	41
30	Maestrazgo	1941 - 1950	108
30	Maestrazgo	1951 - 1960	118
30	Maestrazgo	1961 - 1970	141
30	Maestrazgo	1971 - 1980	187
30	Maestrazgo	1981 - 1990	202
30	Maestrazgo	1991	8
30	Maestrazgo	1992	12
30	Maestrazgo	1993	7
30	Maestrazgo	1994	9
30	Maestrazgo	1995	5
30	Maestrazgo	1996	12
30	Maestrazgo	1997	11
30	Maestrazgo	1998	16
30	Maestrazgo	1999	12
30	Maestrazgo	2000	12
30	Maestrazgo	2001	5
31	Sierra de Albarracín	  No aplicable	6
31	Sierra de Albarracín	 Antes de 1900	370
31	Sierra de Albarracín	1900 - 1920	221
31	Sierra de Albarracín	1921 - 1940	150
31	Sierra de Albarracín	1941 - 1950	101
31	Sierra de Albarracín	1951 - 1960	166
31	Sierra de Albarracín	1961 - 1970	158
31	Sierra de Albarracín	1971 - 1980	330
31	Sierra de Albarracín	1981 - 1990	304
31	Sierra de Albarracín	1991	9
31	Sierra de Albarracín	1992	21
31	Sierra de Albarracín	1993	27
31	Sierra de Albarracín	1994	18
31	Sierra de Albarracín	1995	19
31	Sierra de Albarracín	1996	27
31	Sierra de Albarracín	1997	21
31	Sierra de Albarracín	1998	18
31	Sierra de Albarracín	1999	19
31	Sierra de Albarracín	2000	22
31	Sierra de Albarracín	2001	11
32	Gúdar-Javalambre	  No aplicable	12
32	Gúdar-Javalambre	 Antes de 1900	781
32	Gúdar-Javalambre	1900 - 1920	226
32	Gúdar-Javalambre	1921 - 1940	194
32	Gúdar-Javalambre	1941 - 1950	139
32	Gúdar-Javalambre	1951 - 1960	241
32	Gúdar-Javalambre	1961 - 1970	288
32	Gúdar-Javalambre	1971 - 1980	488
32	Gúdar-Javalambre	1981 - 1990	439
32	Gúdar-Javalambre	1991	36
32	Gúdar-Javalambre	1992	42
32	Gúdar-Javalambre	1993	24
32	Gúdar-Javalambre	1994	30
32	Gúdar-Javalambre	1995	44
32	Gúdar-Javalambre	1996	42
32	Gúdar-Javalambre	1997	35
32	Gúdar-Javalambre	1998	31
32	Gúdar-Javalambre	1999	50
32	Gúdar-Javalambre	2000	31
32	Gúdar-Javalambre	2001	34
33	Matarraña / Matarranya	  No aplicable	3
33	Matarraña / Matarranya	 Antes de 1900	1518
33	Matarraña / Matarranya	1900 - 1920	165
