Municipio código	Municipio nombre	Explotaciones	Porcentaje SAU régimen tenencia código	Porcentaje SAU régimen tenencia
22181	Piracés	6	4	Más del 50% de la SAU en propiedad
22181	Piracés	3	5	Más del 50% de la SAU en arrendamiento
22181	Piracés	1	7	Ningún régimen superior al 50%
22182	Plan	1	0	Si no hay SAU
22182	Plan	20	1	Toda la SAU en propiedad
22182	Plan	3	2	Toda la SAU en arrendamiento
22182	Plan	4	3	Todo la SAU en aparcería u otro régimen de tenencia
22182	Plan	3	4	Más del 50% de la SAU en propiedad
22182	Plan	6	5	Más del 50% de la SAU en arrendamiento
22182	Plan	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22182	Plan	2	7	Ningún régimen superior al 50%
22184	Poleñino	1	0	Si no hay SAU
22184	Poleñino	29	1	Toda la SAU en propiedad
22184	Poleñino	7	2	Toda la SAU en arrendamiento
22184	Poleñino	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22184	Poleñino	10	4	Más del 50% de la SAU en propiedad
22184	Poleñino	3	5	Más del 50% de la SAU en arrendamiento
22184	Poleñino	3	7	Ningún régimen superior al 50%
22186	Pozán de Vero	1	0	Si no hay SAU
22186	Pozán de Vero	44	1	Toda la SAU en propiedad
22186	Pozán de Vero	2	2	Toda la SAU en arrendamiento
22186	Pozán de Vero	3	3	Todo la SAU en aparcería u otro régimen de tenencia
22186	Pozán de Vero	3	4	Más del 50% de la SAU en propiedad
22186	Pozán de Vero	4	5	Más del 50% de la SAU en arrendamiento
22186	Pozán de Vero	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22187	Puebla de Castro (La)	29	1	Toda la SAU en propiedad
22187	Puebla de Castro (La)	2	2	Toda la SAU en arrendamiento
22187	Puebla de Castro (La)	3	3	Todo la SAU en aparcería u otro régimen de tenencia
22187	Puebla de Castro (La)	2	4	Más del 50% de la SAU en propiedad
22187	Puebla de Castro (La)	2	5	Más del 50% de la SAU en arrendamiento
22187	Puebla de Castro (La)	2	7	Ningún régimen superior al 50%
22188	Puente de Montañana	3	1	Toda la SAU en propiedad
22188	Puente de Montañana	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22188	Puente de Montañana	1	4	Más del 50% de la SAU en propiedad
22188	Puente de Montañana	3	5	Más del 50% de la SAU en arrendamiento
22188	Puente de Montañana	2	7	Ningún régimen superior al 50%
22189	Puértolas	5	0	Si no hay SAU
22189	Puértolas	9	1	Toda la SAU en propiedad
22189	Puértolas	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22189	Puértolas	3	4	Más del 50% de la SAU en propiedad
22189	Puértolas	5	5	Más del 50% de la SAU en arrendamiento
22189	Puértolas	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22189	Puértolas	1	7	Ningún régimen superior al 50%
22190	Pueyo de Araguás (El)	2	0	Si no hay SAU
22190	Pueyo de Araguás (El)	26	1	Toda la SAU en propiedad
22190	Pueyo de Araguás (El)	2	2	Toda la SAU en arrendamiento
22190	Pueyo de Araguás (El)	3	4	Más del 50% de la SAU en propiedad
22190	Pueyo de Araguás (El)	3	5	Más del 50% de la SAU en arrendamiento
22193	Pueyo de Santa Cruz	21	1	Toda la SAU en propiedad
22193	Pueyo de Santa Cruz	1	2	Toda la SAU en arrendamiento
22193	Pueyo de Santa Cruz	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22193	Pueyo de Santa Cruz	2	4	Más del 50% de la SAU en propiedad
22193	Pueyo de Santa Cruz	9	5	Más del 50% de la SAU en arrendamiento
22193	Pueyo de Santa Cruz	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22195	Quicena	7	1	Toda la SAU en propiedad
22195	Quicena	2	2	Toda la SAU en arrendamiento
22195	Quicena	3	4	Más del 50% de la SAU en propiedad
22195	Quicena	2	5	Más del 50% de la SAU en arrendamiento
22195	Quicena	1	7	Ningún régimen superior al 50%
22197	Robres	12	0	Si no hay SAU
22197	Robres	46	1	Toda la SAU en propiedad
22197	Robres	4	2	Toda la SAU en arrendamiento
22197	Robres	8	3	Todo la SAU en aparcería u otro régimen de tenencia
22197	Robres	24	4	Más del 50% de la SAU en propiedad
22197	Robres	23	5	Más del 50% de la SAU en arrendamiento
22197	Robres	8	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22197	Robres	6	7	Ningún régimen superior al 50%
22199	Sabiñánigo	5	0	Si no hay SAU
22199	Sabiñánigo	92	1	Toda la SAU en propiedad
22199	Sabiñánigo	26	2	Toda la SAU en arrendamiento
22199	Sabiñánigo	5	3	Todo la SAU en aparcería u otro régimen de tenencia
22199	Sabiñánigo	18	4	Más del 50% de la SAU en propiedad
22199	Sabiñánigo	13	5	Más del 50% de la SAU en arrendamiento
22199	Sabiñánigo	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22199	Sabiñánigo	9	7	Ningún régimen superior al 50%
22200	Sahún	1	0	Si no hay SAU
22200	Sahún	13	1	Toda la SAU en propiedad
22200	Sahún	2	2	Toda la SAU en arrendamiento
22200	Sahún	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22200	Sahún	2	4	Más del 50% de la SAU en propiedad
22200	Sahún	1	5	Más del 50% de la SAU en arrendamiento
22200	Sahún	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22200	Sahún	1	7	Ningún régimen superior al 50%
22201	Salas Altas	56	1	Toda la SAU en propiedad
22201	Salas Altas	13	2	Toda la SAU en arrendamiento
22201	Salas Altas	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22201	Salas Altas	16	4	Más del 50% de la SAU en propiedad
22201	Salas Altas	7	5	Más del 50% de la SAU en arrendamiento
22201	Salas Altas	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22201	Salas Altas	1	7	Ningún régimen superior al 50%
22202	Salas Bajas	26	1	Toda la SAU en propiedad
22202	Salas Bajas	8	2	Toda la SAU en arrendamiento
22202	Salas Bajas	9	4	Más del 50% de la SAU en propiedad
22202	Salas Bajas	2	5	Más del 50% de la SAU en arrendamiento
22203	Salillas	1	0	Si no hay SAU
22203	Salillas	3	1	Toda la SAU en propiedad
22203	Salillas	2	2	Toda la SAU en arrendamiento
22203	Salillas	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22203	Salillas	9	4	Más del 50% de la SAU en propiedad
22203	Salillas	4	5	Más del 50% de la SAU en arrendamiento
22203	Salillas	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22204	Sallent de Gállego	3	0	Si no hay SAU
22204	Sallent de Gállego	34	1	Toda la SAU en propiedad
22204	Sallent de Gállego	3	2	Toda la SAU en arrendamiento
22204	Sallent de Gállego	4	3	Todo la SAU en aparcería u otro régimen de tenencia
22204	Sallent de Gállego	6	4	Más del 50% de la SAU en propiedad
22204	Sallent de Gállego	10	5	Más del 50% de la SAU en arrendamiento
22204	Sallent de Gállego	4	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22205	San Esteban de Litera	15	0	Si no hay SAU
22205	San Esteban de Litera	137	1	Toda la SAU en propiedad
22205	San Esteban de Litera	21	2	Toda la SAU en arrendamiento
22205	San Esteban de Litera	9	3	Todo la SAU en aparcería u otro régimen de tenencia
22205	San Esteban de Litera	22	4	Más del 50% de la SAU en propiedad
22205	San Esteban de Litera	21	5	Más del 50% de la SAU en arrendamiento
22205	San Esteban de Litera	9	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22205	San Esteban de Litera	6	7	Ningún régimen superior al 50%
22206	Sangarrén	2	0	Si no hay SAU
22206	Sangarrén	27	1	Toda la SAU en propiedad
22206	Sangarrén	7	2	Toda la SAU en arrendamiento
22206	Sangarrén	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22206	Sangarrén	5	4	Más del 50% de la SAU en propiedad
22206	Sangarrén	2	5	Más del 50% de la SAU en arrendamiento
22206	Sangarrén	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22206	Sangarrén	2	7	Ningún régimen superior al 50%
22207	San Juan de Plan	16	1	Toda la SAU en propiedad
22207	San Juan de Plan	1	2	Toda la SAU en arrendamiento
22207	San Juan de Plan	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22207	San Juan de Plan	1	5	Más del 50% de la SAU en arrendamiento
22207	San Juan de Plan	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22207	San Juan de Plan	2	7	Ningún régimen superior al 50%
22208	Santa Cilia	1	0	Si no hay SAU
22208	Santa Cilia	17	1	Toda la SAU en propiedad
22208	Santa Cilia	1	2	Toda la SAU en arrendamiento
22208	Santa Cilia	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22208	Santa Cilia	3	4	Más del 50% de la SAU en propiedad
22208	Santa Cilia	2	5	Más del 50% de la SAU en arrendamiento
22208	Santa Cilia	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22208	Santa Cilia	4	7	Ningún régimen superior al 50%
22209	Santa Cruz de la Serós	12	1	Toda la SAU en propiedad
22209	Santa Cruz de la Serós	1	2	Toda la SAU en arrendamiento
22209	Santa Cruz de la Serós	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22209	Santa Cruz de la Serós	2	4	Más del 50% de la SAU en propiedad
22209	Santa Cruz de la Serós	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22209	Santa Cruz de la Serós	5	7	Ningún régimen superior al 50%
22212	Santaliestra y San Quílez	10	1	Toda la SAU en propiedad
22212	Santaliestra y San Quílez	1	4	Más del 50% de la SAU en propiedad
22212	Santaliestra y San Quílez	1	5	Más del 50% de la SAU en arrendamiento
22212	Santaliestra y San Quílez	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22212	Santaliestra y San Quílez	1	7	Ningún régimen superior al 50%
22213	Sariñena	12	0	Si no hay SAU
22213	Sariñena	214	1	Toda la SAU en propiedad
22213	Sariñena	40	2	Toda la SAU en arrendamiento
22213	Sariñena	10	3	Todo la SAU en aparcería u otro régimen de tenencia
22213	Sariñena	66	4	Más del 50% de la SAU en propiedad
22213	Sariñena	26	5	Más del 50% de la SAU en arrendamiento
22213	Sariñena	7	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22213	Sariñena	8	7	Ningún régimen superior al 50%
22214	Secastilla	15	1	Toda la SAU en propiedad
22214	Secastilla	1	2	Toda la SAU en arrendamiento
22214	Secastilla	5	4	Más del 50% de la SAU en propiedad
22214	Secastilla	2	5	Más del 50% de la SAU en arrendamiento
22214	Secastilla	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22215	Seira	16	1	Toda la SAU en propiedad
22215	Seira	2	2	Toda la SAU en arrendamiento
22215	Seira	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22215	Seira	1	5	Más del 50% de la SAU en arrendamiento
22215	Seira	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22217	Sena	74	1	Toda la SAU en propiedad
22217	Sena	9	2	Toda la SAU en arrendamiento
22217	Sena	4	3	Todo la SAU en aparcería u otro régimen de tenencia
22217	Sena	23	4	Más del 50% de la SAU en propiedad
22217	Sena	17	5	Más del 50% de la SAU en arrendamiento
22217	Sena	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22217	Sena	3	7	Ningún régimen superior al 50%
22218	Senés de Alcubierre	13	1	Toda la SAU en propiedad
22218	Senés de Alcubierre	2	2	Toda la SAU en arrendamiento
22218	Senés de Alcubierre	3	4	Más del 50% de la SAU en propiedad
22218	Senés de Alcubierre	2	5	Más del 50% de la SAU en arrendamiento
22218	Senés de Alcubierre	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22220	Sesa	1	0	Si no hay SAU
22220	Sesa	9	1	Toda la SAU en propiedad
22220	Sesa	3	2	Toda la SAU en arrendamiento
22220	Sesa	12	4	Más del 50% de la SAU en propiedad
22220	Sesa	6	5	Más del 50% de la SAU en arrendamiento
22220	Sesa	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22220	Sesa	1	7	Ningún régimen superior al 50%
22221	Sesué	1	0	Si no hay SAU
22221	Sesué	4	1	Toda la SAU en propiedad
22221	Sesué	2	2	Toda la SAU en arrendamiento
22221	Sesué	1	4	Más del 50% de la SAU en propiedad
22221	Sesué	2	5	Más del 50% de la SAU en arrendamiento
22221	Sesué	1	7	Ningún régimen superior al 50%
22222	Siétamo	2	0	Si no hay SAU
22222	Siétamo	29	1	Toda la SAU en propiedad
22222	Siétamo	1	2	Toda la SAU en arrendamiento
22222	Siétamo	3	3	Todo la SAU en aparcería u otro régimen de tenencia
22222	Siétamo	15	4	Más del 50% de la SAU en propiedad
22222	Siétamo	6	5	Más del 50% de la SAU en arrendamiento
22222	Siétamo	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22222	Siétamo	2	7	Ningún régimen superior al 50%
22223	Sopeira	2	0	Si no hay SAU
22223	Sopeira	8	1	Toda la SAU en propiedad
22223	Sopeira	5	2	Toda la SAU en arrendamiento
22223	Sopeira	3	4	Más del 50% de la SAU en propiedad
22223	Sopeira	2	5	Más del 50% de la SAU en arrendamiento
22223	Sopeira	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22225	Tamarite de Litera	26	0	Si no hay SAU
22225	Tamarite de Litera	289	1	Toda la SAU en propiedad
22225	Tamarite de Litera	38	2	Toda la SAU en arrendamiento
22225	Tamarite de Litera	24	3	Todo la SAU en aparcería u otro régimen de tenencia
22225	Tamarite de Litera	53	4	Más del 50% de la SAU en propiedad
22225	Tamarite de Litera	30	5	Más del 50% de la SAU en arrendamiento
22225	Tamarite de Litera	10	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22225	Tamarite de Litera	10	7	Ningún régimen superior al 50%
22226	Tardienta	1	0	Si no hay SAU
22226	Tardienta	35	1	Toda la SAU en propiedad
22226	Tardienta	12	2	Toda la SAU en arrendamiento
22226	Tardienta	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22226	Tardienta	7	4	Más del 50% de la SAU en propiedad
22226	Tardienta	13	5	Más del 50% de la SAU en arrendamiento
22226	Tardienta	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22226	Tardienta	7	7	Ningún régimen superior al 50%
22227	Tella-Sin	3	0	Si no hay SAU
22227	Tella-Sin	7	1	Toda la SAU en propiedad
22227	Tella-Sin	3	2	Toda la SAU en arrendamiento
22227	Tella-Sin	4	4	Más del 50% de la SAU en propiedad
22227	Tella-Sin	4	5	Más del 50% de la SAU en arrendamiento
22227	Tella-Sin	1	7	Ningún régimen superior al 50%
22228	Tierz	1	0	Si no hay SAU
22228	Tierz	3	1	Toda la SAU en propiedad
22228	Tierz	4	2	Toda la SAU en arrendamiento
22228	Tierz	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22228	Tierz	5	4	Más del 50% de la SAU en propiedad
22228	Tierz	2	5	Más del 50% de la SAU en arrendamiento
22229	Tolva	1	0	Si no hay SAU
22229	Tolva	34	1	Toda la SAU en propiedad
22229	Tolva	11	2	Toda la SAU en arrendamiento
22229	Tolva	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22229	Tolva	7	4	Más del 50% de la SAU en propiedad
22229	Tolva	6	5	Más del 50% de la SAU en arrendamiento
22230	Torla	4	0	Si no hay SAU
22230	Torla	12	1	Toda la SAU en propiedad
22230	Torla	2	2	Toda la SAU en arrendamiento
22230	Torla	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22230	Torla	3	4	Más del 50% de la SAU en propiedad
22230	Torla	6	5	Más del 50% de la SAU en arrendamiento
22230	Torla	6	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22230	Torla	1	7	Ningún régimen superior al 50%
22232	Torralba de Aragón	22	1	Toda la SAU en propiedad
22232	Torralba de Aragón	3	2	Toda la SAU en arrendamiento
22232	Torralba de Aragón	3	3	Todo la SAU en aparcería u otro régimen de tenencia
22232	Torralba de Aragón	8	4	Más del 50% de la SAU en propiedad
22232	Torralba de Aragón	8	5	Más del 50% de la SAU en arrendamiento
22232	Torralba de Aragón	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22232	Torralba de Aragón	1	7	Ningún régimen superior al 50%
22233	Torre la Ribera	18	1	Toda la SAU en propiedad
22233	Torre la Ribera	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22233	Torre la Ribera	1	4	Más del 50% de la SAU en propiedad
22233	Torre la Ribera	1	5	Más del 50% de la SAU en arrendamiento
22233	Torre la Ribera	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22233	Torre la Ribera	1	7	Ningún régimen superior al 50%
22234	Torrente de Cinca	3	0	Si no hay SAU
22234	Torrente de Cinca	48	1	Toda la SAU en propiedad
22234	Torrente de Cinca	8	2	Toda la SAU en arrendamiento
22234	Torrente de Cinca	5	3	Todo la SAU en aparcería u otro régimen de tenencia
22234	Torrente de Cinca	10	4	Más del 50% de la SAU en propiedad
22234	Torrente de Cinca	8	5	Más del 50% de la SAU en arrendamiento
22234	Torrente de Cinca	5	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22234	Torrente de Cinca	5	7	Ningún régimen superior al 50%
22235	Torres de Alcanadre	3	0	Si no hay SAU
22235	Torres de Alcanadre	9	1	Toda la SAU en propiedad
22235	Torres de Alcanadre	1	2	Toda la SAU en arrendamiento
22235	Torres de Alcanadre	8	4	Más del 50% de la SAU en propiedad
22235	Torres de Alcanadre	1	5	Más del 50% de la SAU en arrendamiento
22235	Torres de Alcanadre	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22236	Torres de Barbués	4	0	Si no hay SAU
22236	Torres de Barbués	23	1	Toda la SAU en propiedad
22236	Torres de Barbués	5	2	Toda la SAU en arrendamiento
22236	Torres de Barbués	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22236	Torres de Barbués	8	4	Más del 50% de la SAU en propiedad
22236	Torres de Barbués	3	5	Más del 50% de la SAU en arrendamiento
22236	Torres de Barbués	1	7	Ningún régimen superior al 50%
22239	Tramaced	5	0	Si no hay SAU
22239	Tramaced	11	1	Toda la SAU en propiedad
22239	Tramaced	6	2	Toda la SAU en arrendamiento
22239	Tramaced	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22239	Tramaced	2	4	Más del 50% de la SAU en propiedad
22239	Tramaced	1	5	Más del 50% de la SAU en arrendamiento
22239	Tramaced	3	7	Ningún régimen superior al 50%
22242	Valfarta	14	1	Toda la SAU en propiedad
22242	Valfarta	2	2	Toda la SAU en arrendamiento
22242	Valfarta	3	3	Todo la SAU en aparcería u otro régimen de tenencia
22242	Valfarta	6	4	Más del 50% de la SAU en propiedad
22242	Valfarta	4	5	Más del 50% de la SAU en arrendamiento
22242	Valfarta	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22243	Valle de Bardají	5	1	Toda la SAU en propiedad
22243	Valle de Bardají	14	2	Toda la SAU en arrendamiento
22243	Valle de Bardají	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22243	Valle de Bardají	1	4	Más del 50% de la SAU en propiedad
22243	Valle de Bardají	5	5	Más del 50% de la SAU en arrendamiento
22243	Valle de Bardají	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22244	Valle de Lierp	10	1	Toda la SAU en propiedad
22244	Valle de Lierp	10	2	Toda la SAU en arrendamiento
22244	Valle de Lierp	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22244	Valle de Lierp	4	4	Más del 50% de la SAU en propiedad
22244	Valle de Lierp	3	5	Más del 50% de la SAU en arrendamiento
22244	Valle de Lierp	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22244	Valle de Lierp	2	7	Ningún régimen superior al 50%
22245	Velilla de Cinca	29	1	Toda la SAU en propiedad
22245	Velilla de Cinca	3	2	Toda la SAU en arrendamiento
22245	Velilla de Cinca	3	3	Todo la SAU en aparcería u otro régimen de tenencia
22245	Velilla de Cinca	11	4	Más del 50% de la SAU en propiedad
22245	Velilla de Cinca	6	5	Más del 50% de la SAU en arrendamiento
22245	Velilla de Cinca	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22246	Veracruz	13	1	Toda la SAU en propiedad
22246	Veracruz	2	2	Toda la SAU en arrendamiento
22246	Veracruz	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22246	Veracruz	2	4	Más del 50% de la SAU en propiedad
22246	Veracruz	1	5	Más del 50% de la SAU en arrendamiento
22247	Viacamp y Litera	11	1	Toda la SAU en propiedad
22247	Viacamp y Litera	16	2	Toda la SAU en arrendamiento
22247	Viacamp y Litera	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22247	Viacamp y Litera	3	4	Más del 50% de la SAU en propiedad
22247	Viacamp y Litera	9	5	Más del 50% de la SAU en arrendamiento
22247	Viacamp y Litera	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22247	Viacamp y Litera	1	7	Ningún régimen superior al 50%
22248	Vicién	2	1	Toda la SAU en propiedad
22248	Vicién	2	2	Toda la SAU en arrendamiento
22248	Vicién	2	4	Más del 50% de la SAU en propiedad
22248	Vicién	4	5	Más del 50% de la SAU en arrendamiento
22248	Vicién	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22249	Villanova	1	0	Si no hay SAU
22249	Villanova	3	1	Toda la SAU en propiedad
22249	Villanova	1	2	Toda la SAU en arrendamiento
22249	Villanova	1	4	Más del 50% de la SAU en propiedad
22249	Villanova	1	5	Más del 50% de la SAU en arrendamiento
22249	Villanova	1	7	Ningún régimen superior al 50%
22250	Villanúa	6	1	Toda la SAU en propiedad
22250	Villanúa	1	2	Toda la SAU en arrendamiento
22250	Villanúa	3	5	Más del 50% de la SAU en arrendamiento
22250	Villanúa	3	7	Ningún régimen superior al 50%
22251	Villanueva de Sigena	5	0	Si no hay SAU
22251	Villanueva de Sigena	67	1	Toda la SAU en propiedad
22251	Villanueva de Sigena	17	2	Toda la SAU en arrendamiento
22251	Villanueva de Sigena	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22251	Villanueva de Sigena	18	4	Más del 50% de la SAU en propiedad
22251	Villanueva de Sigena	7	5	Más del 50% de la SAU en arrendamiento
22251	Villanueva de Sigena	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22251	Villanueva de Sigena	3	7	Ningún régimen superior al 50%
22252	Yebra de Basa	15	1	Toda la SAU en propiedad
22252	Yebra de Basa	4	4	Más del 50% de la SAU en propiedad
22252	Yebra de Basa	4	5	Más del 50% de la SAU en arrendamiento
22252	Yebra de Basa	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22252	Yebra de Basa	1	7	Ningún régimen superior al 50%
22253	Yésero	2	1	Toda la SAU en propiedad
22253	Yésero	1	2	Toda la SAU en arrendamiento
22254	Zaidín	17	0	Si no hay SAU
22254	Zaidín	188	1	Toda la SAU en propiedad
22254	Zaidín	31	2	Toda la SAU en arrendamiento
22254	Zaidín	19	3	Todo la SAU en aparcería u otro régimen de tenencia
22254	Zaidín	31	4	Más del 50% de la SAU en propiedad
22254	Zaidín	25	5	Más del 50% de la SAU en arrendamiento
22254	Zaidín	8	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22254	Zaidín	5	7	Ningún régimen superior al 50%
22901	Valle de Hecho	2	0	Si no hay SAU
22901	Valle de Hecho	35	1	Toda la SAU en propiedad
22901	Valle de Hecho	3	2	Toda la SAU en arrendamiento
22901	Valle de Hecho	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22901	Valle de Hecho	8	4	Más del 50% de la SAU en propiedad
22901	Valle de Hecho	8	5	Más del 50% de la SAU en arrendamiento
22901	Valle de Hecho	5	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22901	Valle de Hecho	2	7	Ningún régimen superior al 50%
22902	Puente la Reina de Jaca	1	0	Si no hay SAU
22902	Puente la Reina de Jaca	30	1	Toda la SAU en propiedad
22902	Puente la Reina de Jaca	2	2	Toda la SAU en arrendamiento
22902	Puente la Reina de Jaca	7	4	Más del 50% de la SAU en propiedad
22902	Puente la Reina de Jaca	3	5	Más del 50% de la SAU en arrendamiento
22902	Puente la Reina de Jaca	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22902	Puente la Reina de Jaca	3	7	Ningún régimen superior al 50%
22903	San Miguel del Cinca	7	0	Si no hay SAU
22903	San Miguel del Cinca	84	1	Toda la SAU en propiedad
22903	San Miguel del Cinca	15	2	Toda la SAU en arrendamiento
22903	San Miguel del Cinca	13	3	Todo la SAU en aparcería u otro régimen de tenencia
22903	San Miguel del Cinca	51	4	Más del 50% de la SAU en propiedad
22903	San Miguel del Cinca	16	5	Más del 50% de la SAU en arrendamiento
22903	San Miguel del Cinca	6	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22903	San Miguel del Cinca	9	7	Ningún régimen superior al 50%
22904	Sotonera (La)	3	0	Si no hay SAU
22904	Sotonera (La)	159	1	Toda la SAU en propiedad
22904	Sotonera (La)	7	2	Toda la SAU en arrendamiento
22904	Sotonera (La)	4	3	Todo la SAU en aparcería u otro régimen de tenencia
22904	Sotonera (La)	26	4	Más del 50% de la SAU en propiedad
22904	Sotonera (La)	14	5	Más del 50% de la SAU en arrendamiento
22904	Sotonera (La)	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22904	Sotonera (La)	6	7	Ningún régimen superior al 50%
22905	Lupiñén-Ortilla	3	0	Si no hay SAU
22905	Lupiñén-Ortilla	29	1	Toda la SAU en propiedad
22905	Lupiñén-Ortilla	6	2	Toda la SAU en arrendamiento
22905	Lupiñén-Ortilla	3	3	Todo la SAU en aparcería u otro régimen de tenencia
22905	Lupiñén-Ortilla	16	4	Más del 50% de la SAU en propiedad
22905	Lupiñén-Ortilla	10	5	Más del 50% de la SAU en arrendamiento
22905	Lupiñén-Ortilla	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22905	Lupiñén-Ortilla	1	7	Ningún régimen superior al 50%
22906	Santa María de Dulcis	44	1	Toda la SAU en propiedad
22906	Santa María de Dulcis	3	2	Toda la SAU en arrendamiento
22906	Santa María de Dulcis	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22906	Santa María de Dulcis	10	4	Más del 50% de la SAU en propiedad
22906	Santa María de Dulcis	1	5	Más del 50% de la SAU en arrendamiento
22907	Aínsa-Sobrarbe	58	1	Toda la SAU en propiedad
22907	Aínsa-Sobrarbe	12	2	Toda la SAU en arrendamiento
22907	Aínsa-Sobrarbe	7	3	Todo la SAU en aparcería u otro régimen de tenencia
22907	Aínsa-Sobrarbe	32	4	Más del 50% de la SAU en propiedad
22907	Aínsa-Sobrarbe	18	5	Más del 50% de la SAU en arrendamiento
22907	Aínsa-Sobrarbe	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22907	Aínsa-Sobrarbe	5	7	Ningún régimen superior al 50%
22908	Hoz y Costeán	2	0	Si no hay SAU
22908	Hoz y Costeán	74	1	Toda la SAU en propiedad
22908	Hoz y Costeán	4	2	Toda la SAU en arrendamiento
22908	Hoz y Costeán	5	3	Todo la SAU en aparcería u otro régimen de tenencia
22908	Hoz y Costeán	6	4	Más del 50% de la SAU en propiedad
22908	Hoz y Costeán	6	5	Más del 50% de la SAU en arrendamiento
22908	Hoz y Costeán	1	7	Ningún régimen superior al 50%
22909	Vencillón	2	0	Si no hay SAU
22909	Vencillón	48	1	Toda la SAU en propiedad
22909	Vencillón	8	2	Toda la SAU en arrendamiento
22909	Vencillón	3	3	Todo la SAU en aparcería u otro régimen de tenencia
22909	Vencillón	2	4	Más del 50% de la SAU en propiedad
22909	Vencillón	5	5	Más del 50% de la SAU en arrendamiento
