Municipio código	Municipio nombre	Año de construcción	Número hogares
22182	Plan	1971 - 1980	4
22182	Plan	1981 - 1990	12
22182	Plan	1991	1
22182	Plan	1992	4
22182	Plan	1996	1
22182	Plan	1997	1
22182	Plan	1998	1
22182	Plan	1999	1
22182	Plan	2000	1
22184	Poleñino	 Antes de 1900	35
22184	Poleñino	1921 - 1940	2
22184	Poleñino	1941 - 1950	4
22184	Poleñino	1951 - 1960	10
22184	Poleñino	1961 - 1970	3
22184	Poleñino	1971 - 1980	9
22184	Poleñino	1981 - 1990	12
22184	Poleñino	1993	2
22184	Poleñino	1995	1
22184	Poleñino	1996	2
22184	Poleñino	1997	2
22186	Pozán de Vero	 Antes de 1900	2
22186	Pozán de Vero	1900 - 1920	5
22186	Pozán de Vero	1921 - 1940	30
22186	Pozán de Vero	1941 - 1950	17
22186	Pozán de Vero	1951 - 1960	20
22186	Pozán de Vero	1961 - 1970	7
22186	Pozán de Vero	1971 - 1980	3
22186	Pozán de Vero	1981 - 1990	4
22186	Pozán de Vero	1997	1
22186	Pozán de Vero	1998	1
22186	Pozán de Vero	1999	1
22187	Puebla de Castro (La)	 Antes de 1900	60
22187	Puebla de Castro (La)	1900 - 1920	9
22187	Puebla de Castro (La)	1921 - 1940	7
22187	Puebla de Castro (La)	1941 - 1950	3
22187	Puebla de Castro (La)	1951 - 1960	2
22187	Puebla de Castro (La)	1961 - 1970	2
22187	Puebla de Castro (La)	1971 - 1980	19
22187	Puebla de Castro (La)	1981 - 1990	18
22187	Puebla de Castro (La)	1991	1
22187	Puebla de Castro (La)	1993	4
22187	Puebla de Castro (La)	1994	5
22187	Puebla de Castro (La)	1995	1
22187	Puebla de Castro (La)	2000	2
22187	Puebla de Castro (La)	2001	3
22188	Puente de Montañana	  No aplicable	4
22188	Puente de Montañana	 Antes de 1900	17
22188	Puente de Montañana	1900 - 1920	6
22188	Puente de Montañana	1921 - 1940	11
22188	Puente de Montañana	1941 - 1950	3
22188	Puente de Montañana	1951 - 1960	4
22188	Puente de Montañana	1961 - 1970	1
22188	Puente de Montañana	1981 - 1990	2
22188	Puente de Montañana	1991	1
22188	Puente de Montañana	1993	1
22188	Puente de Montañana	1999	1
22189	Puértolas	  No aplicable	4
22189	Puértolas	 Antes de 1900	25
22189	Puértolas	1921 - 1940	1
22189	Puértolas	1941 - 1950	3
22189	Puértolas	1951 - 1960	3
22189	Puértolas	1961 - 1970	2
22189	Puértolas	1971 - 1980	7
22189	Puértolas	1981 - 1990	12
22189	Puértolas	1991	6
22189	Puértolas	1994	5
22189	Puértolas	1995	1
22189	Puértolas	1999	1
22189	Puértolas	2000	1
22189	Puértolas	2001	3
22190	Pueyo de Araguás (El)	 Antes de 1900	44
22190	Pueyo de Araguás (El)	1981 - 1990	1
22190	Pueyo de Araguás (El)	1993	1
22190	Pueyo de Araguás (El)	1996	1
22190	Pueyo de Araguás (El)	1997	1
22193	Pueyo de Santa Cruz	  No aplicable	3
22193	Pueyo de Santa Cruz	 Antes de 1900	22
22193	Pueyo de Santa Cruz	1900 - 1920	13
22193	Pueyo de Santa Cruz	1921 - 1940	9
22193	Pueyo de Santa Cruz	1941 - 1950	10
22193	Pueyo de Santa Cruz	1951 - 1960	15
22193	Pueyo de Santa Cruz	1961 - 1970	18
22193	Pueyo de Santa Cruz	1971 - 1980	5
22193	Pueyo de Santa Cruz	1981 - 1990	8
22193	Pueyo de Santa Cruz	1993	1
22193	Pueyo de Santa Cruz	1995	1
22193	Pueyo de Santa Cruz	1996	1
22193	Pueyo de Santa Cruz	2001	2
22195	Quicena	 Antes de 1900	20
22195	Quicena	1900 - 1920	2
22195	Quicena	1921 - 1940	5
22195	Quicena	1941 - 1950	3
22195	Quicena	1961 - 1970	1
22195	Quicena	1971 - 1980	6
22195	Quicena	1981 - 1990	3
22195	Quicena	1994	1
22197	Robres	  No aplicable	1
22197	Robres	 Antes de 1900	1
22197	Robres	1900 - 1920	3
22197	Robres	1921 - 1940	33
22197	Robres	1941 - 1950	29
22197	Robres	1951 - 1960	50
22197	Robres	1961 - 1970	44
22197	Robres	1971 - 1980	27
22197	Robres	1981 - 1990	24
22197	Robres	1992	12
22197	Robres	1996	1
22197	Robres	1997	2
22197	Robres	1998	1
22197	Robres	2001	1
22199	Sabiñánigo	  No aplicable	22
22199	Sabiñánigo	 Antes de 1900	290
22199	Sabiñánigo	1900 - 1920	100
22199	Sabiñánigo	1921 - 1940	62
22199	Sabiñánigo	1941 - 1950	90
22199	Sabiñánigo	1951 - 1960	327
22199	Sabiñánigo	1961 - 1970	660
22199	Sabiñánigo	1971 - 1980	846
22199	Sabiñánigo	1981 - 1990	187
22199	Sabiñánigo	1991	50
22199	Sabiñánigo	1992	70
22199	Sabiñánigo	1993	47
22199	Sabiñánigo	1994	18
22199	Sabiñánigo	1995	5
22199	Sabiñánigo	1996	21
22199	Sabiñánigo	1997	58
22199	Sabiñánigo	1998	58
22199	Sabiñánigo	1999	50
22199	Sabiñánigo	2000	50
22199	Sabiñánigo	2001	27
22200	Sahún	  No aplicable	4
22200	Sahún	 Antes de 1900	58
22200	Sahún	1921 - 1940	2
22200	Sahún	1951 - 1960	2
22200	Sahún	1961 - 1970	2
22200	Sahún	1971 - 1980	7
22200	Sahún	1981 - 1990	6
22200	Sahún	1992	3
22200	Sahún	1994	1
22200	Sahún	1996	1
22200	Sahún	1997	1
22200	Sahún	1998	2
22200	Sahún	1999	1
22200	Sahún	2000	1
22200	Sahún	2001	3
22201	Salas Altas	 Antes de 1900	8
22201	Salas Altas	1900 - 1920	1
22201	Salas Altas	1921 - 1940	6
22201	Salas Altas	1941 - 1950	10
22201	Salas Altas	1951 - 1960	8
22201	Salas Altas	1961 - 1970	16
22201	Salas Altas	1971 - 1980	28
22201	Salas Altas	1981 - 1990	22
22201	Salas Altas	1991	4
22201	Salas Altas	1992	2
22201	Salas Altas	1993	9
22201	Salas Altas	1994	3
22201	Salas Altas	1995	4
22201	Salas Altas	1997	6
22201	Salas Altas	1998	5
22201	Salas Altas	1999	1
22201	Salas Altas	2000	2
22202	Salas Bajas	 Antes de 1900	49
22202	Salas Bajas	1961 - 1970	2
22202	Salas Bajas	1971 - 1980	3
22202	Salas Bajas	1981 - 1990	2
22202	Salas Bajas	1993	1
22202	Salas Bajas	1994	1
22202	Salas Bajas	1998	2
22202	Salas Bajas	2001	1
22203	Salillas	 Antes de 1900	4
22203	Salillas	1921 - 1940	1
22203	Salillas	1941 - 1950	1
22203	Salillas	1951 - 1960	4
22203	Salillas	1961 - 1970	2
22203	Salillas	1971 - 1980	9
22203	Salillas	1981 - 1990	7
22203	Salillas	1991	1
22203	Salillas	1992	1
22203	Salillas	1993	3
22203	Salillas	1994	1
22203	Salillas	1995	1
22203	Salillas	1996	1
22203	Salillas	1997	6
22203	Salillas	1998	1
22203	Salillas	1999	2
22203	Salillas	2000	1
22203	Salillas	2001	3
22204	Sallent de Gállego	  No aplicable	8
22204	Sallent de Gállego	 Antes de 1900	105
22204	Sallent de Gállego	1900 - 1920	4
22204	Sallent de Gállego	1921 - 1940	12
22204	Sallent de Gállego	1941 - 1950	12
22204	Sallent de Gállego	1951 - 1960	27
22204	Sallent de Gállego	1961 - 1970	14
22204	Sallent de Gállego	1971 - 1980	36
22204	Sallent de Gállego	1981 - 1990	83
22204	Sallent de Gállego	1991	11
22204	Sallent de Gállego	1992	13
22204	Sallent de Gállego	1993	13
22204	Sallent de Gállego	1994	6
22204	Sallent de Gállego	1995	1
22204	Sallent de Gállego	1996	5
22204	Sallent de Gállego	1997	12
22204	Sallent de Gállego	1998	1
22204	Sallent de Gállego	1999	12
22204	Sallent de Gállego	2000	5
22204	Sallent de Gállego	2001	7
22205	San Esteban de Litera	  No aplicable	1
22205	San Esteban de Litera	 Antes de 1900	7
22205	San Esteban de Litera	1900 - 1920	25
22205	San Esteban de Litera	1921 - 1940	37
22205	San Esteban de Litera	1941 - 1950	23
22205	San Esteban de Litera	1951 - 1960	22
22205	San Esteban de Litera	1961 - 1970	24
22205	San Esteban de Litera	1971 - 1980	33
22205	San Esteban de Litera	1981 - 1990	36
22205	San Esteban de Litera	1991	4
22205	San Esteban de Litera	1992	2
22205	San Esteban de Litera	1994	1
22205	San Esteban de Litera	1995	4
22205	San Esteban de Litera	1996	9
22205	San Esteban de Litera	2000	2
22206	Sangarrén	 Antes de 1900	39
22206	Sangarrén	1900 - 1920	6
22206	Sangarrén	1921 - 1940	5
22206	Sangarrén	1941 - 1950	8
22206	Sangarrén	1951 - 1960	11
22206	Sangarrén	1961 - 1970	4
22206	Sangarrén	1971 - 1980	10
22206	Sangarrén	1981 - 1990	1
22206	Sangarrén	1991	1
22206	Sangarrén	1993	2
22206	Sangarrén	1994	4
22206	Sangarrén	1995	1
22206	Sangarrén	1996	1
22206	Sangarrén	1997	1
22206	Sangarrén	2001	1
22207	San Juan de Plan	 Antes de 1900	39
22207	San Juan de Plan	1900 - 1920	1
22207	San Juan de Plan	1941 - 1950	5
22207	San Juan de Plan	1951 - 1960	1
22207	San Juan de Plan	1971 - 1980	2
22207	San Juan de Plan	1981 - 1990	2
22207	San Juan de Plan	1993	1
22208	Santa Cilia	  No aplicable	2
22208	Santa Cilia	 Antes de 1900	18
22208	Santa Cilia	1900 - 1920	9
22208	Santa Cilia	1921 - 1940	5
22208	Santa Cilia	1941 - 1950	2
22208	Santa Cilia	1951 - 1960	11
22208	Santa Cilia	1961 - 1970	4
22208	Santa Cilia	1981 - 1990	5
22208	Santa Cilia	1991	1
22208	Santa Cilia	1994	13
22208	Santa Cilia	1997	1
22208	Santa Cilia	1998	1
22208	Santa Cilia	2000	2
22209	Santa Cruz de la Serós	 Antes de 1900	17
22209	Santa Cruz de la Serós	1900 - 1920	6
22209	Santa Cruz de la Serós	1921 - 1940	4
22209	Santa Cruz de la Serós	1941 - 1950	2
22209	Santa Cruz de la Serós	1951 - 1960	3
22209	Santa Cruz de la Serós	1961 - 1970	3
22209	Santa Cruz de la Serós	1971 - 1980	1
22209	Santa Cruz de la Serós	1981 - 1990	3
22209	Santa Cruz de la Serós	1991	1
22209	Santa Cruz de la Serós	1993	3
22209	Santa Cruz de la Serós	1994	9
22209	Santa Cruz de la Serós	1996	1
22212	Santaliestra y San Quílez	  No aplicable	1
22212	Santaliestra y San Quílez	 Antes de 1900	18
22212	Santaliestra y San Quílez	1900 - 1920	3
22212	Santaliestra y San Quílez	1921 - 1940	1
22212	Santaliestra y San Quílez	1941 - 1950	1
22212	Santaliestra y San Quílez	1951 - 1960	4
22212	Santaliestra y San Quílez	1961 - 1970	4
22212	Santaliestra y San Quílez	1971 - 1980	7
22212	Santaliestra y San Quílez	1981 - 1990	5
22212	Santaliestra y San Quílez	1991	3
22212	Santaliestra y San Quílez	1993	1
22212	Santaliestra y San Quílez	1995	1
22212	Santaliestra y San Quílez	1996	1
22212	Santaliestra y San Quílez	1997	1
22212	Santaliestra y San Quílez	1998	1
22212	Santaliestra y San Quílez	1999	1
22212	Santaliestra y San Quílez	2000	2
22213	Sariñena	  No aplicable	6
22213	Sariñena	 Antes de 1900	19
22213	Sariñena	1900 - 1920	9
22213	Sariñena	1921 - 1940	46
22213	Sariñena	1941 - 1950	112
22213	Sariñena	1951 - 1960	165
22213	Sariñena	1961 - 1970	296
22213	Sariñena	1971 - 1980	326
22213	Sariñena	1981 - 1990	236
22213	Sariñena	1991	8
22213	Sariñena	1992	11
22213	Sariñena	1993	12
22213	Sariñena	1994	8
22213	Sariñena	1995	6
22213	Sariñena	1996	6
22213	Sariñena	1997	12
22213	Sariñena	1998	19
22213	Sariñena	1999	27
22213	Sariñena	2000	44
22213	Sariñena	2001	3
22214	Secastilla	 Antes de 1900	41
22214	Secastilla	1921 - 1940	2
22214	Secastilla	1971 - 1980	1
22215	Seira	 Antes de 1900	30
22215	Seira	1900 - 1920	9
22215	Seira	1921 - 1940	5
22215	Seira	1961 - 1970	12
22215	Seira	1971 - 1980	1
22215	Seira	1981 - 1990	2
22215	Seira	1991	1
22215	Seira	1996	1
22215	Seira	1998	3
22215	Seira	1999	1
22215	Seira	2000	5
22215	Seira	2001	3
22217	Sena	 Antes de 1900	2
22217	Sena	1900 - 1920	2
22217	Sena	1921 - 1940	5
22217	Sena	1941 - 1950	6
22217	Sena	1951 - 1960	21
22217	Sena	1961 - 1970	34
22217	Sena	1971 - 1980	66
22217	Sena	1981 - 1990	36
22217	Sena	1991	3
22217	Sena	1992	4
22217	Sena	1993	4
22217	Sena	1994	6
22217	Sena	1995	3
22217	Sena	1996	4
22217	Sena	1997	1
22217	Sena	1998	5
22217	Sena	1999	4
22217	Sena	2000	2
22217	Sena	2001	1
22218	Senés de Alcubierre	 Antes de 1900	2
22218	Senés de Alcubierre	1900 - 1920	2
22218	Senés de Alcubierre	1921 - 1940	1
22218	Senés de Alcubierre	1941 - 1950	3
22218	Senés de Alcubierre	1961 - 1970	1
22218	Senés de Alcubierre	1971 - 1980	5
22218	Senés de Alcubierre	1991	1
22218	Senés de Alcubierre	2001	1
22220	Sesa	 Antes de 1900	17
22220	Sesa	1900 - 1920	2
22220	Sesa	1921 - 1940	4
22220	Sesa	1941 - 1950	3
22220	Sesa	1951 - 1960	5
22220	Sesa	1961 - 1970	12
22220	Sesa	1971 - 1980	19
22220	Sesa	1981 - 1990	18
22220	Sesa	1992	1
22220	Sesa	1994	1
22220	Sesa	1995	1
22220	Sesa	1996	1
22220	Sesa	1997	2
22220	Sesa	1998	2
22220	Sesa	1999	3
22220	Sesa	2000	1
22220	Sesa	2001	1
22221	Sesué	 Antes de 1900	14
22221	Sesué	1900 - 1920	7
22221	Sesué	1921 - 1940	3
22221	Sesué	1961 - 1970	1
22221	Sesué	1971 - 1980	2
22221	Sesué	1991	1
22221	Sesué	1992	1
22221	Sesué	1993	3
22221	Sesué	1994	1
22221	Sesué	1995	1
22221	Sesué	1996	1
22221	Sesué	1997	3
22221	Sesué	1998	3
22221	Sesué	1999	8
22221	Sesué	2000	1
22221	Sesué	2001	2
22222	Siétamo	 Antes de 1900	70
22222	Siétamo	1900 - 1920	12
22222	Siétamo	1921 - 1940	9
22222	Siétamo	1941 - 1950	5
22222	Siétamo	1951 - 1960	4
22222	Siétamo	1961 - 1970	5
22222	Siétamo	1971 - 1980	7
22222	Siétamo	1981 - 1990	3
22222	Siétamo	1991	2
22222	Siétamo	1992	3
22222	Siétamo	1993	2
22222	Siétamo	1994	2
22222	Siétamo	1996	6
22222	Siétamo	1997	1
22222	Siétamo	1998	3
22222	Siétamo	1999	29
22222	Siétamo	2000	7
22222	Siétamo	2001	2
22223	Sopeira	 Antes de 1900	34
22223	Sopeira	1900 - 1920	6
22223	Sopeira	1921 - 1940	1
22223	Sopeira	1941 - 1950	2
22223	Sopeira	1951 - 1960	1
22223	Sopeira	1991	1
22223	Sopeira	1992	1
22225	Tamarite de Litera	  No aplicable	6
22225	Tamarite de Litera	 Antes de 1900	237
22225	Tamarite de Litera	1900 - 1920	54
22225	Tamarite de Litera	1921 - 1940	59
22225	Tamarite de Litera	1941 - 1950	73
22225	Tamarite de Litera	1951 - 1960	121
22225	Tamarite de Litera	1961 - 1970	174
22225	Tamarite de Litera	1971 - 1980	230
22225	Tamarite de Litera	1981 - 1990	207
22225	Tamarite de Litera	1991	7
22225	Tamarite de Litera	1992	24
22225	Tamarite de Litera	1993	14
22225	Tamarite de Litera	1994	10
22225	Tamarite de Litera	1995	1
22225	Tamarite de Litera	1996	6
22225	Tamarite de Litera	1997	22
22225	Tamarite de Litera	1998	16
22225	Tamarite de Litera	1999	8
22225	Tamarite de Litera	2000	12
22225	Tamarite de Litera	2001	7
22226	Tardienta	  No aplicable	2
22226	Tardienta	 Antes de 1900	4
22226	Tardienta	1900 - 1920	9
22226	Tardienta	1921 - 1940	7
22226	Tardienta	1941 - 1950	15
22226	Tardienta	1951 - 1960	31
22226	Tardienta	1961 - 1970	41
22226	Tardienta	1971 - 1980	119
22226	Tardienta	1981 - 1990	110
22226	Tardienta	1991	10
22226	Tardienta	1992	8
22226	Tardienta	1993	7
22226	Tardienta	1994	5
22226	Tardienta	1995	2
22226	Tardienta	1996	6
22226	Tardienta	1997	9
22226	Tardienta	1998	3
22226	Tardienta	1999	4
22226	Tardienta	2000	12
22226	Tardienta	2001	5
22227	Tella-Sin	 Antes de 1900	11
22227	Tella-Sin	1900 - 1920	1
22227	Tella-Sin	1921 - 1940	33
22227	Tella-Sin	1941 - 1950	21
22227	Tella-Sin	1951 - 1960	15
22227	Tella-Sin	1961 - 1970	8
22227	Tella-Sin	1971 - 1980	11
22227	Tella-Sin	1981 - 1990	2
22227	Tella-Sin	1991	5
22227	Tella-Sin	1992	1
22227	Tella-Sin	1993	1
22227	Tella-Sin	1996	2
22227	Tella-Sin	1999	1
22227	Tella-Sin	2001	2
22228	Tierz	 Antes de 1900	21
22228	Tierz	1900 - 1920	2
22228	Tierz	1921 - 1940	7
22228	Tierz	1941 - 1950	8
22228	Tierz	1951 - 1960	3
22228	Tierz	1961 - 1970	6
22228	Tierz	1971 - 1980	4
22228	Tierz	1981 - 1990	5
22228	Tierz	1992	2
22228	Tierz	1993	2
22228	Tierz	1996	1
22228	Tierz	2001	1
22229	Tolva	 Antes de 1900	49
22229	Tolva	1900 - 1920	6
22229	Tolva	1921 - 1940	1
22229	Tolva	1941 - 1950	2
22229	Tolva	1951 - 1960	1
22229	Tolva	1961 - 1970	2
22229	Tolva	1971 - 1980	4
22229	Tolva	1981 - 1990	2
22229	Tolva	1991	3
22229	Tolva	1993	3
22229	Tolva	1996	1
22229	Tolva	1997	1
22229	Tolva	1998	1
22230	Torla	  No aplicable	5
22230	Torla	 Antes de 1900	64
22230	Torla	1900 - 1920	6
22230	Torla	1921 - 1940	2
22230	Torla	1941 - 1950	7
22230	Torla	1951 - 1960	2
22230	Torla	1961 - 1970	4
22230	Torla	1971 - 1980	11
22230	Torla	1981 - 1990	4
22230	Torla	1991	3
22230	Torla	1992	1
22230	Torla	1994	4
22230	Torla	1995	4
22230	Torla	1996	1
22230	Torla	1997	3
22230	Torla	1999	1
22230	Torla	2000	1
22230	Torla	2001	1
22232	Torralba de Aragón	 Antes de 1900	27
22232	Torralba de Aragón	1900 - 1920	8
22232	Torralba de Aragón	1921 - 1940	2
22232	Torralba de Aragón	1941 - 1950	1
22232	Torralba de Aragón	1951 - 1960	3
22232	Torralba de Aragón	1961 - 1970	3
22232	Torralba de Aragón	1971 - 1980	2
22232	Torralba de Aragón	1981 - 1990	3
22233	Torre la Ribera	 Antes de 1900	26
22233	Torre la Ribera	1900 - 1920	4
22233	Torre la Ribera	1921 - 1940	2
22233	Torre la Ribera	1941 - 1950	1
22233	Torre la Ribera	1951 - 1960	3
22233	Torre la Ribera	1961 - 1970	1
22233	Torre la Ribera	1971 - 1980	2
22234	Torrente de Cinca	 Antes de 1900	1
22234	Torrente de Cinca	1900 - 1920	2
22234	Torrente de Cinca	1921 - 1940	5
22234	Torrente de Cinca	1941 - 1950	7
22234	Torrente de Cinca	1951 - 1960	12
22234	Torrente de Cinca	1961 - 1970	36
22234	Torrente de Cinca	1971 - 1980	55
22234	Torrente de Cinca	1981 - 1990	108
22234	Torrente de Cinca	1991	10
22234	Torrente de Cinca	1992	14
22234	Torrente de Cinca	1993	6
22234	Torrente de Cinca	1994	5
22234	Torrente de Cinca	1995	5
22234	Torrente de Cinca	1996	10
22234	Torrente de Cinca	1997	22
22234	Torrente de Cinca	1998	31
22234	Torrente de Cinca	1999	8
22234	Torrente de Cinca	2000	24
22234	Torrente de Cinca	2001	14
22235	Torres de Alcanadre	 Antes de 1900	25
22235	Torres de Alcanadre	1900 - 1920	2
22235	Torres de Alcanadre	1921 - 1940	2
22235	Torres de Alcanadre	1941 - 1950	2
22235	Torres de Alcanadre	1951 - 1960	3
22235	Torres de Alcanadre	1961 - 1970	3
22235	Torres de Alcanadre	1971 - 1980	6
22235	Torres de Alcanadre	1981 - 1990	6
22236	Torres de Barbués	 Antes de 1900	11
22236	Torres de Barbués	1921 - 1940	1
22236	Torres de Barbués	1941 - 1950	1
22236	Torres de Barbués	1951 - 1960	4
22236	Torres de Barbués	1961 - 1970	96
22236	Torres de Barbués	1971 - 1980	3
22236	Torres de Barbués	1981 - 1990	3
22236	Torres de Barbués	1991	1
22236	Torres de Barbués	1999	1
22236	Torres de Barbués	2000	1
22239	Tramaced	 Antes de 1900	13
22239	Tramaced	1900 - 1920	1
22239	Tramaced	1921 - 1940	2
22239	Tramaced	1941 - 1950	2
22239	Tramaced	1951 - 1960	6
22239	Tramaced	1961 - 1970	3
22239	Tramaced	1971 - 1980	3
22239	Tramaced	1981 - 1990	1
22239	Tramaced	1993	1
22239	Tramaced	1998	1
22242	Valfarta	1900 - 1920	6
22242	Valfarta	1921 - 1940	13
22242	Valfarta	1941 - 1950	4
22242	Valfarta	1951 - 1960	6
22242	Valfarta	1961 - 1970	4
22242	Valfarta	1981 - 1990	1
22243	Valle de Bardají	 Antes de 1900	6
22243	Valle de Bardají	1941 - 1950	1
22243	Valle de Bardají	1951 - 1960	1
22243	Valle de Bardají	1961 - 1970	1
22243	Valle de Bardají	1971 - 1980	1
22243	Valle de Bardají	1981 - 1990	2
22243	Valle de Bardají	1995	1
22244	Valle de Lierp	 Antes de 1900	8
22244	Valle de Lierp	1900 - 1920	1
22244	Valle de Lierp	1951 - 1960	1
22244	Valle de Lierp	1981 - 1990	7
22244	Valle de Lierp	1998	1
22245	Velilla de Cinca	 Antes de 1900	68
22245	Velilla de Cinca	1900 - 1920	8
22245	Velilla de Cinca	1921 - 1940	8
22245	Velilla de Cinca	1941 - 1950	3
22245	Velilla de Cinca	1951 - 1960	16
22245	Velilla de Cinca	1961 - 1970	12
22245	Velilla de Cinca	1971 - 1980	24
22245	Velilla de Cinca	1981 - 1990	15
22245	Velilla de Cinca	1993	3
22245	Velilla de Cinca	1996	2
22245	Velilla de Cinca	1998	1
22245	Velilla de Cinca	1999	2
22246	Veracruz	 Antes de 1900	15
22246	Veracruz	1900 - 1920	5
22246	Veracruz	1921 - 1940	3
22246	Veracruz	1951 - 1960	7
22246	Veracruz	1961 - 1970	5
22246	Veracruz	1971 - 1980	4
22246	Veracruz	1981 - 1990	4
22246	Veracruz	1992	1
22246	Veracruz	1995	1
22246	Veracruz	1996	1
22246	Veracruz	1997	2
22246	Veracruz	2000	1
22247	Viacamp y Litera	 Antes de 1900	5
22247	Viacamp y Litera	1900 - 1920	1
22247	Viacamp y Litera	1921 - 1940	2
22247	Viacamp y Litera	1941 - 1950	1
22247	Viacamp y Litera	1951 - 1960	2
22247	Viacamp y Litera	1991	1
22247	Viacamp y Litera	2000	1
22248	Vicién	 Antes de 1900	8
22248	Vicién	1900 - 1920	10
22248	Vicién	1921 - 1940	1
22248	Vicién	1941 - 1950	4
22248	Vicién	1951 - 1960	3
22248	Vicién	1961 - 1970	1
22248	Vicién	1971 - 1980	3
22248	Vicién	1981 - 1990	4
22248	Vicién	1991	1
22248	Vicién	1992	1
22248	Vicién	1993	1
22248	Vicién	1994	2
22248	Vicién	1996	1
22248	Vicién	1997	1
22248	Vicién	1999	1
22248	Vicién	2000	1
22249	Villanova	  No aplicable	1
22249	Villanova	 Antes de 1900	16
22249	Villanova	1921 - 1940	1
22249	Villanova	1951 - 1960	5
22249	Villanova	1961 - 1970	1
22249	Villanova	1971 - 1980	3
22249	Villanova	1981 - 1990	9
22249	Villanova	1993	1
22249	Villanova	1995	2
22249	Villanova	1996	2
22249	Villanova	1997	3
22249	Villanova	1998	2
22249	Villanova	1999	3
22249	Villanova	2000	1
22249	Villanova	2001	1
22250	Villanúa	  No aplicable	1
22250	Villanúa	 Antes de 1900	50
22250	Villanúa	1900 - 1920	1
22250	Villanúa	1921 - 1940	6
22250	Villanúa	1951 - 1960	9
22250	Villanúa	1961 - 1970	7
22250	Villanúa	1971 - 1980	8
22250	Villanúa	1981 - 1990	40
22250	Villanúa	1991	6
22250	Villanúa	1992	3
22250	Villanúa	1993	2
22250	Villanúa	1996	3
22250	Villanúa	1997	4
22250	Villanúa	1998	2
22250	Villanúa	1999	2
22250	Villanúa	2000	1
22251	Villanueva de Sigena	  No aplicable	2
22251	Villanueva de Sigena	 Antes de 1900	1
22251	Villanueva de Sigena	1900 - 1920	8
22251	Villanueva de Sigena	1921 - 1940	18
22251	Villanueva de Sigena	1941 - 1950	10
22251	Villanueva de Sigena	1951 - 1960	12
22251	Villanueva de Sigena	1961 - 1970	22
22251	Villanueva de Sigena	1971 - 1980	43
22251	Villanueva de Sigena	1981 - 1990	25
22251	Villanueva de Sigena	1994	3
22251	Villanueva de Sigena	1996	1
22251	Villanueva de Sigena	1997	3
22251	Villanueva de Sigena	1998	4
22251	Villanueva de Sigena	2000	2
22252	Yebra de Basa	 Antes de 1900	35
22252	Yebra de Basa	1900 - 1920	1
22252	Yebra de Basa	1951 - 1960	1
22252	Yebra de Basa	1971 - 1980	2
22252	Yebra de Basa	1981 - 1990	5
22252	Yebra de Basa	1993	2
22252	Yebra de Basa	1995	1
22252	Yebra de Basa	1999	1
22252	Yebra de Basa	2000	4
22252	Yebra de Basa	2001	2
22253	Yésero	 Antes de 1900	13
22253	Yésero	1921 - 1940	5
22253	Yésero	1941 - 1950	1
22253	Yésero	1951 - 1960	1
22253	Yésero	1971 - 1980	6
22253	Yésero	1981 - 1990	4
22253	Yésero	1992	1
22253	Yésero	1999	1
22253	Yésero	2000	1
22254	Zaidín	  No aplicable	3
22254	Zaidín	 Antes de 1900	139
22254	Zaidín	1900 - 1920	57
22254	Zaidín	1921 - 1940	36
22254	Zaidín	1941 - 1950	32
22254	Zaidín	1951 - 1960	85
22254	Zaidín	1961 - 1970	51
22254	Zaidín	1971 - 1980	86
22254	Zaidín	1981 - 1990	54
22254	Zaidín	1991	2
22254	Zaidín	1992	3
22254	Zaidín	1995	2
22254	Zaidín	1997	1
22254	Zaidín	1998	6
22254	Zaidín	1999	3
22254	Zaidín	2000	5
22901	Valle de Hecho	  No aplicable	7
22901	Valle de Hecho	 Antes de 1900	63
22901	Valle de Hecho	1900 - 1920	8
22901	Valle de Hecho	1921 - 1940	15
22901	Valle de Hecho	1941 - 1950	12
22901	Valle de Hecho	1951 - 1960	36
22901	Valle de Hecho	1961 - 1970	51
22901	Valle de Hecho	1971 - 1980	41
22901	Valle de Hecho	1981 - 1990	77
22901	Valle de Hecho	1991	3
22901	Valle de Hecho	1992	2
22901	Valle de Hecho	1993	5
22901	Valle de Hecho	1994	2
22901	Valle de Hecho	1995	2
22901	Valle de Hecho	1996	6
22901	Valle de Hecho	1997	3
22901	Valle de Hecho	1998	2
22901	Valle de Hecho	1999	6
22901	Valle de Hecho	2000	2
22901	Valle de Hecho	2001	7
22902	Puente la Reina de Jaca	  No aplicable	1
22902	Puente la Reina de Jaca	 Antes de 1900	38
22902	Puente la Reina de Jaca	1900 - 1920	8
22902	Puente la Reina de Jaca	1921 - 1940	1
22902	Puente la Reina de Jaca	1941 - 1950	1
22902	Puente la Reina de Jaca	1951 - 1960	4
22902	Puente la Reina de Jaca	1961 - 1970	6
22902	Puente la Reina de Jaca	1971 - 1980	12
22902	Puente la Reina de Jaca	1981 - 1990	9
22902	Puente la Reina de Jaca	1992	9
22902	Puente la Reina de Jaca	1997	1
22902	Puente la Reina de Jaca	1998	4
22903	San Miguel del Cinca	 Antes de 1900	141
22903	San Miguel del Cinca	1900 - 1920	5
22903	San Miguel del Cinca	1921 - 1940	7
22903	San Miguel del Cinca	1941 - 1950	12
22903	San Miguel del Cinca	1951 - 1960	10
22903	San Miguel del Cinca	1961 - 1970	45
22903	San Miguel del Cinca	1971 - 1980	34
22903	San Miguel del Cinca	1981 - 1990	17
22903	San Miguel del Cinca	1992	4
