Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre
2007	49	75	Administración pública, defensa y seguridad social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007	49	45	Construcción	31	Sierra de Albarracín
2007	47	60	Transporte terrestre; transporte por tuberías	18	Ribera Baja del Ebro
2007	46	37	Reciclaje	18	Ribera Baja del Ebro
2007	44	15	Industria de productos alimenticios y bebidas	08	Cinca Medio
2007	44	45	Construcción	NC	Municipio del centro de trabajo fuera de Aragón
2007	42	45	Construcción	02	Alto Gállego
2007	41	45	Construcción	03	Sobrarbe
2007	41	45	Construcción	06	Hoya de Huesca / Plana de Uesca
2007	41	45	Construcción	17	Central
2007	41	75	Administración pública, defensa y seguridad social obligatoria	23	Bajo Martín
2007	41	60	Transporte terrestre; transporte por tuberías	26	Cuencas Mineras
2007	41	60	Transporte terrestre; transporte por tuberías	30	Maestrazgo
2007	41	45	Construcción	32	Gúdar-Javalambre
2007	41	75	Administración pública, defensa y seguridad social obligatoria	33	Matarraña / Matarranya
2007	36	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	29	Comunidad de Teruel
2007	33	60	Transporte terrestre; transporte por tuberías	16	Valdejalón
2007	33	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	24	Campo de Daroca
2007	32	28	Fabricación de productos metálicos, excepto maquinaria y equipo	07	Somontano de Barbastro
2007	31	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	10	Los Monegros
2007	30	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007	28	26	Fabricación de otros productos minerales no metálicos	21	Campo de Cariñena
2007	28	36	Fabricación de muebles; otras industrias manufactureras	26	Cuencas Mineras
2007	28	28	Fabricación de productos metálicos, excepto maquinaria y equipo	30	Maestrazgo
2007	27	75	Administración pública, defensa y seguridad social obligatoria	15	Ribera Alta del Ebro
2007	26	34	Fabricación de vehículos de motor, remolques y semirremolques	11	Bajo Cinca / Baix Cinca
2007	25	28	Fabricación de productos metálicos, excepto maquinaria y equipo	16	Valdejalón
2007	24	15	Industria de productos alimenticios y bebidas	02	Alto Gállego
2007	23	15	Industria de productos alimenticios y bebidas	20	Comunidad de Calatayud
2007	23	29	Industria de la construción de maquinaria y equipo mecánico	22	Campo de Belchite
2007	23	60	Transporte terrestre; transporte por tuberías	33	Matarraña / Matarranya
2007	22	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	01	La Jacetania
2007	21	15	Industria de productos alimenticios y bebidas	06	Hoya de Huesca / Plana de Uesca
2007	21	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	14	Aranda
2007	21	15	Industria de productos alimenticios y bebidas	28	Bajo Aragón
2007	20	60	Transporte terrestre; transporte por tuberías	10	Los Monegros
2007	19	25	Fabricacion de productos de caucho y materias plasticas	06	Hoya de Huesca / Plana de Uesca
2007	19	15	Industria de productos alimenticios y bebidas	17	Central
2007	17	60	Transporte terrestre; transporte por tuberías	14	Aranda
2007	17	60	Transporte terrestre; transporte por tuberías	27	Andorra-Sierra de Arcos
2007	16	75	Administración pública, defensa y seguridad social obligatoria	30	Maestrazgo
2007	15	45	Construcción	04	La Ribagorza
2007	15	26	Fabricación de otros productos minerales no metálicos	27	Andorra-Sierra de Arcos
2007	15	45	Construcción	29	Comunidad de Teruel
2007	15	45	Construcción	33	Matarraña / Matarranya
2007	15	26	Fabricación de otros productos minerales no metálicos	NC	Municipio del centro de trabajo fuera de Aragón
2007	14	28	Fabricación de productos metálicos, excepto maquinaria y equipo	05	Cinco Villas
2007	14	34	Fabricación de vehículos de motor, remolques y semirremolques	05	Cinco Villas
2007	14	15	Industria de productos alimenticios y bebidas	07	Somontano de Barbastro
2007	14	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	21	Campo de Cariñena
2007	13	45	Construcción	24	Campo de Daroca
2007	12	15	Industria de productos alimenticios y bebidas	04	La Ribagorza
2007	12	60	Transporte terrestre; transporte por tuberías	04	La Ribagorza
2007	12	45	Construcción	23	Bajo Martín
2007	12	28	Fabricación de productos metálicos, excepto maquinaria y equipo	NC	Municipio del centro de trabajo fuera de Aragón
2007	11	71	Alquiler de maquinaria y equipo sin operario, de efectos personales y enseres domesticos	13	Campo de Borja
2007	11	45	Construcción	14	Aranda
2007	11	75	Administración pública, defensa y seguridad social obligatoria	14	Aranda
2007	11	26	Fabricación de otros productos minerales no metálicos	22	Campo de Belchite
2007	11	45	Construcción	30	Maestrazgo
2007	10	75	Administración pública, defensa y seguridad social obligatoria	03	Sobrarbe
2007	10	25	Fabricacion de productos de caucho y materias plasticas	16	Valdejalón
2007	9	25	Fabricacion de productos de caucho y materias plasticas	05	Cinco Villas
2007	9	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	07	Somontano de Barbastro
2007	9	75	Administración pública, defensa y seguridad social obligatoria	11	Bajo Cinca / Baix Cinca
2007	9	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	14	Aranda
2007	9	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	22	Campo de Belchite
2007	9	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	25	Jiloca
2007	8	34	Fabricación de vehículos de motor, remolques y semirremolques	10	Los Monegros
2007	8	60	Transporte terrestre; transporte por tuberías	24	Campo de Daroca
2007	8	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	31	Sierra de Albarracín
2007	7	60	Transporte terrestre; transporte por tuberías	02	Alto Gállego
2007	7	55	Hostelería	03	Sobrarbe
2007	7	92	Actividades recreativas, culturales y deportivas	03	Sobrarbe
2007	7	63	Actividades anexas a los transportes; actividades de agencias de viajes	06	Hoya de Huesca / Plana de Uesca
2007	7	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro
2007	7	29	Industria de la construción de maquinaria y equipo mecánico	21	Campo de Cariñena
2007	7	60	Transporte terrestre; transporte por tuberías	23	Bajo Martín
2007	7	92	Actividades recreativas, culturales y deportivas	28	Bajo Aragón
2007	6	26	Fabricación de otros productos minerales no metálicos	08	Cinca Medio
2007	6	75	Administración pública, defensa y seguridad social obligatoria	09	La Litera / La Llitera
2007	6	36	Fabricación de muebles; otras industrias manufactureras	12	Tarazona y el Moncayo
2007	6	15	Industria de productos alimenticios y bebidas	18	Ribera Baja del Ebro
2007	6	15	Industria de productos alimenticios y bebidas	25	Jiloca
2007	6	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	26	Cuencas Mineras
2007	5	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	31	Sierra de Albarracín
2007	4	34	Fabricación de vehículos de motor, remolques y semirremolques	12	Tarazona y el Moncayo
2007	4	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	13	Campo de Borja
2007	4	25	Fabricacion de productos de caucho y materias plasticas	17	Central
2007	4	60	Transporte terrestre; transporte por tuberías	20	Comunidad de Calatayud
2007	4	55	Hostelería	21	Campo de Cariñena
