Mes y año	Provincia código	Provincia nombre	División (2 dígitos) código	División (2 dígitos) descripción	Afiliaciones en alta
Junio 2016	22	Huesca	37	Recogida y tratamiento de aguas residuales	65
Junio 2016	22	Huesca	38	Recogida, tratamiento y eliminación de residuos; valorización	265
Junio 2016	22	Huesca	39	Actividades de descontaminación y otros servicios de gestión de residuos	1
Junio 2016	22	Huesca	41	Construcción de edificios	2900
Junio 2016	22	Huesca	42	Ingeniería civil	290
Junio 2016	22	Huesca	43	Actividades de construcción especializada	4052
Junio 2016	22	Huesca	45	Venta y reparación de vehículos de motor y motocicletas	1963
Junio 2016	22	Huesca	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	4810
Junio 2016	22	Huesca	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	7527
Junio 2016	22	Huesca	49	Transporte terrestre y por tubería	2757
Junio 2016	22	Huesca	52	Almacenamiento y actividades anexas al transporte	231
Junio 2016	22	Huesca	53	Actividades postales y de correos	322
Junio 2016	22	Huesca	55	Servicios de alojamiento	2598
Junio 2016	22	Huesca	56	Servicios de comidas y bebidas	5519
Junio 2016	22	Huesca	58	Edición	98
Junio 2016	22	Huesca	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	69
Junio 2016	22	Huesca	60	Actividades de programación y emisión de radio y televisión	81
Junio 2016	22	Huesca	61	Telecomunicaciones	129
Junio 2016	22	Huesca	62	Programación, consultoría y otras actividades relacionadas con la informática	388
Junio 2016	22	Huesca	63	Servicios de información	52
Junio 2016	22	Huesca	64	Servicios financieros, excepto seguros y fondos de pensiones	828
Junio 2016	22	Huesca	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	101
Junio 2016	22	Huesca	66	Actividades auxiliares a los servicios financieros y a los seguros	377
Junio 2016	22	Huesca	68	Actividades inmobiliarias	286
Junio 2016	22	Huesca	69	Actividades jurídicas y de contabilidad	1296
Junio 2016	22	Huesca	70	Actividades de las sedes centrales; actividades de consultoría de gestión empresarial	111
Junio 2016	22	Huesca	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	662
Junio 2016	22	Huesca	72	Investigación y desarrollo	88
Junio 2016	22	Huesca	73	Publicidad y estudios de mercado	147
Junio 2016	22	Huesca	74	Otras actividades profesionales, científicas y técnicas	415
Junio 2016	22	Huesca	75	Actividades veterinarias	133
Junio 2016	22	Huesca	77	Actividades de alquiler	249
Junio 2016	22	Huesca	78	Actividades relacionadas con el empleo	1291
Junio 2016	22	Huesca	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	208
Junio 2016	22	Huesca	80	Actividades de seguridad e investigación	201
Junio 2016	22	Huesca	81	Servicios a edificios y actividades de jardinería	2658
Junio 2016	22	Huesca	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	393
Junio 2016	22	Huesca	84	Administración Pública y defensa; Seguridad Social obligatoria	6786
Junio 2016	22	Huesca	85	Educación	2057
Junio 2016	22	Huesca	86	Actividades sanitarias	4977
Junio 2016	22	Huesca	87	Asistencia en establecimientos residenciales	2195
Junio 2016	22	Huesca	88	Actividades de servicios sociales sin alojamiento	1082
Junio 2016	22	Huesca	90	Actividades de creación, artísticas y espectáculos	146
Junio 2016	22	Huesca	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	61
Junio 2016	22	Huesca	92	Actividades de juegos de azar y apuestas	131
Junio 2016	22	Huesca	93	Actividades deportivas, recreativas y de entretenimiento	935
Junio 2016	22	Huesca	94	Actividades asociativas	753
Junio 2016	22	Huesca	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	394
Junio 2016	22	Huesca	96	Otros servicios personales	1408
Junio 2016	22	Huesca	97	Actividades de los hogares como empleadores de personal doméstico	2251
Junio 2016	44	Teruel	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	6515
Junio 2016	44	Teruel	02	Silvicultura y explotación forestal	627
Junio 2016	44	Teruel	03	Pesca y acuicultura	37
Junio 2016	44	Teruel	05	Extracción de antracita, hulla y lignito	208
Junio 2016	44	Teruel	08	Otras industrias extractivas	306
Junio 2016	44	Teruel	09	Actividades de apoyo a las industrias extractivas	7
Junio 2016	44	Teruel	10	Industria de la alimentación	2197
Junio 2016	44	Teruel	11	Fabricación de bebidas	148
Junio 2016	44	Teruel	13	Industria textil	51
Junio 2016	44	Teruel	14	Confección de prendas de vestir	127
Junio 2016	44	Teruel	15	Industria del cuero y del calzado	8
Junio 2016	44	Teruel	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	700
Junio 2016	44	Teruel	17	Industria del papel	245
Junio 2016	44	Teruel	18	Artes gráficas y reproducción de soportes grabados	57
Junio 2016	44	Teruel	20	Industria química	369
Junio 2016	44	Teruel	21	Fabricación de productos farmacéuticos	8
Junio 2016	44	Teruel	22	Fabricación de productos de caucho y plásticos	164
Junio 2016	44	Teruel	23	Fabricación de otros productos minerales no metálicos	1071
Junio 2016	44	Teruel	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	422
Junio 2016	44	Teruel	25	Fabricación de productos metálicos, excepto maquinaria y equipo	575
Junio 2016	44	Teruel	26	Fabricación de productos informáticos, electrónicos y ópticos	44
Junio 2016	44	Teruel	27	Fabricación de material y equipo eléctrico	20
Junio 2016	44	Teruel	28	Fabricación de maquinaria y equipo n.c.o.p.	145
Junio 2016	44	Teruel	29	Fabricación de vehículos de motor, remolques y semirremolques	783
Junio 2016	44	Teruel	30	Fabricación de otro material de transporte	2
Junio 2016	44	Teruel	31	Fabricación de muebles	290
Junio 2016	44	Teruel	32	Otras industrias manufactureras	34
Junio 2016	44	Teruel	33	Reparación e instalación de maquinaria y equipo	241
Junio 2016	44	Teruel	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	282
Junio 2016	44	Teruel	36	Captación, depuración y distribución de agua	207
Junio 2016	44	Teruel	37	Recogida y tratamiento de aguas residuales	20
Junio 2016	44	Teruel	38	Recogida, tratamiento y eliminación de residuos; valorización	103
Junio 2016	44	Teruel	41	Construcción de edificios	2202
Junio 2016	44	Teruel	42	Ingeniería civil	126
Junio 2016	44	Teruel	43	Actividades de construcción especializada	2183
Junio 2016	44	Teruel	45	Venta y reparación de vehículos de motor y motocicletas	1205
Junio 2016	44	Teruel	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	1395
Junio 2016	44	Teruel	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	4211
Junio 2016	44	Teruel	49	Transporte terrestre y por tubería	1993
