Año	Comarca código	Comarca nombre	VAB	Sector VAB código	Sector VAB descripción
2015	24	Campo de Daroca	34616,8	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	25	Jiloca	56700,3	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	26	Cuencas Mineras	33356,8	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	27	Andorra-Sierra de Arcos	36735,7	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	28	Bajo Aragón	154560,3	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	29	Comunidad de Teruel	405194,5	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	30	Maestrazgo	15352,2	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	31	Sierra de Albarracín	24984,9	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	32	Gúdar-Javalambre	27171,8	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	33	Matarraña / Matarranya	28552,1	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2014	01	La Jacetania	25405	10	A Agricultura, ganadería, silvicultura y pesca
2014	02	Alto Gállego	10930,3	10	A Agricultura, ganadería, silvicultura y pesca
2014	03	Sobrarbe	30340,7	10	A Agricultura, ganadería, silvicultura y pesca
2014	04	La Ribagorza	78916,6	10	A Agricultura, ganadería, silvicultura y pesca
2014	05	Cinco Villas	138395,3	10	A Agricultura, ganadería, silvicultura y pesca
2014	06	Hoya de Huesca / Plana de Uesca	153905,1	10	A Agricultura, ganadería, silvicultura y pesca
2014	07	Somontano de Barbastro	73287	10	A Agricultura, ganadería, silvicultura y pesca
2014	08	Cinca Medio	59767,8	10	A Agricultura, ganadería, silvicultura y pesca
2014	09	La Litera / La Llitera	95126,3	10	A Agricultura, ganadería, silvicultura y pesca
2014	10	Los Monegros	159975,2	10	A Agricultura, ganadería, silvicultura y pesca
2014	11	Bajo Cinca / Baix Cinca	102922,3	10	A Agricultura, ganadería, silvicultura y pesca
2014	12	Tarazona y el Moncayo	12816,9	10	A Agricultura, ganadería, silvicultura y pesca
2014	13	Campo de Borja	48260,1	10	A Agricultura, ganadería, silvicultura y pesca
2014	14	Aranda	13936,7	10	A Agricultura, ganadería, silvicultura y pesca
2014	15	Ribera Alta del Ebro	19539,8	10	A Agricultura, ganadería, silvicultura y pesca
2014	16	Valdejalón	65158,6	10	A Agricultura, ganadería, silvicultura y pesca
2014	17	D.C. Zaragoza	64377,4	10	A Agricultura, ganadería, silvicultura y pesca
2014	18	Ribera Baja del Ebro	39276,4	10	A Agricultura, ganadería, silvicultura y pesca
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	65756,1	10	A Agricultura, ganadería, silvicultura y pesca
2014	20	Comunidad de Calatayud	91264,1	10	A Agricultura, ganadería, silvicultura y pesca
2014	21	Campo de Cariñena	45199,5	10	A Agricultura, ganadería, silvicultura y pesca
2014	22	Campo de Belchite	60274,4	10	A Agricultura, ganadería, silvicultura y pesca
2014	23	Bajo Martín	16576,6	10	A Agricultura, ganadería, silvicultura y pesca
2014	24	Campo de Daroca	55138,3	10	A Agricultura, ganadería, silvicultura y pesca
2014	25	Jiloca	32194,5	10	A Agricultura, ganadería, silvicultura y pesca
2014	26	Cuencas Mineras	8513,6	10	A Agricultura, ganadería, silvicultura y pesca
2014	27	Andorra-Sierra de Arcos	5249,4	10	A Agricultura, ganadería, silvicultura y pesca
2014	28	Bajo Aragón	35326,9	10	A Agricultura, ganadería, silvicultura y pesca
2014	29	Comunidad de Teruel	26417,5	10	A Agricultura, ganadería, silvicultura y pesca
2014	30	Maestrazgo	7315,1	10	A Agricultura, ganadería, silvicultura y pesca
2014	31	Sierra de Albarracín	4207,7	10	A Agricultura, ganadería, silvicultura y pesca
2014	32	Gúdar-Javalambre	6470,7	10	A Agricultura, ganadería, silvicultura y pesca
2014	33	Matarraña / Matarranya	32484	10	A Agricultura, ganadería, silvicultura y pesca
2014	01	La Jacetania	16204	21	B y E Extractivas; Energía y agua
2014	02	Alto Gállego	30328,3	21	B y E Extractivas; Energía y agua
2014	03	Sobrarbe	27959,1	21	B y E Extractivas; Energía y agua
2014	04	La Ribagorza	42853,8	21	B y E Extractivas; Energía y agua
2014	05	Cinco Villas	33591	21	B y E Extractivas; Energía y agua
2014	06	Hoya de Huesca / Plana de Uesca	64870,2	21	B y E Extractivas; Energía y agua
2014	07	Somontano de Barbastro	36380	21	B y E Extractivas; Energía y agua
2014	08	Cinca Medio	31150,6	21	B y E Extractivas; Energía y agua
2014	09	La Litera / La Llitera	14786,8	21	B y E Extractivas; Energía y agua
2014	10	Los Monegros	18225,3	21	B y E Extractivas; Energía y agua
2014	11	Bajo Cinca / Baix Cinca	44192,2	21	B y E Extractivas; Energía y agua
2014	12	Tarazona y el Moncayo	10530,5	21	B y E Extractivas; Energía y agua
2014	13	Campo de Borja	33761	21	B y E Extractivas; Energía y agua
2014	14	Aranda	9986,3	21	B y E Extractivas; Energía y agua
